@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,11,13,18-20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,102,11.055557,51.11111,50.11111,0.274353,-2.034054,4
80,95,1.222222,21.333334,16.222223,0.390436,-1.567327,1
121,113,1.722222,20,15.333333,0.396589,-1.585609,1
85,70,1.277778,23,17.88889,0.406015,-1.649603,1
85,124,1.222223,7.555555,12.333333,0.691123,-2.396682,3
99,132,0.444444,0.111111,0.111111,0.981482,-2.094395,3
103,174,1.444445,20.666668,29,0.32797,2.033698,7
14,110,1.722222,18.88889,13.444445,0.368848,-1.345096,1
180,123,1.722221,52.555557,51.333332,0.251194,-2.021502,4
145,33,0.888889,113.22222,119.55556,0.196297,-2.333537,2
199,25,1,89.111115,94.888885,0.297528,-2.252101,2
159,111,0.444445,7.666666,3.222222,0.581349,-0.872666,1
41,139,0.055556,0,0,1,-2.094395,5
249,178,2.277778,42.666668,42.333336,0.289863,-2.102536,6
161,73,0.833333,43,39.77778,0.184376,-1.720441,4
244,211,1.666667,10.777778,17.222223,0.374806,2.441017,7
97,123,1.555555,48,46.333332,0.280593,-1.994105,4
230,12,0.888888,107.22222,114.55556,0.207675,-2.368866,2
58,113,3.444445,16.88889,17.222223,0.414807,-2.125693,5
29,78,0.666665,59.666668,61.11111,0.325487,-2.145541,4
191,119,1.111111,36.22222,35.11111,0.271717,-2.006,4
190,105,1.888889,41.22222,39.666668,0.295992,-1.996082,4
108,138,0.277778,1.444444,1.444444,0.799603,-2.08783,5
25,199,1.111111,13.111111,21.555555,0.393002,2.690112,7
38,200,3.444445,49,48.666668,0.309826,-2.080206,6
18,66,8.666665,32.333336,37.77778,0.350169,-2.43063,3
35,132,0.5,7.111111,2.888889,0.593254,-0.808383,1
224,63,0.777776,108.44444,114.666664,0.211484,-2.315885,2
214,79,1.277778,2,3.333333,0.791667,-2.288981,3
181,115,0.222224,123.22222,129.77779,0.152134,-2.405477,2
217,115,1.166667,0.222222,0.777778,0.962963,-2.216604,3
217,145,0.555556,6.333334,3,0.564153,-1.068968,1
44,79,0.444444,93.888885,102.77778,0.258079,-2.377965,2
231,91,0.5,4.555555,3.666667,0.620651,-1.93491,5
10,112,0.333333,0,0.111111,0.666667,-2.151914,3
96,80,1.555556,24,19.555555,0.432471,-1.773594,1
179,69,0.722222,40.88889,36.555557,0.17869,-1.518761,4
145,163,3.111111,34,36.555557,0.281536,-2.425324,6
237,191,1,5.333334,11.222222,0.53582,2.122422,7
196,95,1.722222,6.777778,5.333334,0.512566,-1.749258,5
136,193,2.388889,54.444443,52.77778,0.295304,-2.018211,6
89,53,2.111111,22.777779,20.11111,0.474773,-1.937482,1
68,172,1.055555,24.555555,35.666668,0.312295,2.617801,7
125,46,0.611109,112.77778,119.888885,0.200124,-2.357688,2
220,124,0.222222,0,0.222222,1,-2.16176,3
171,89,0,0,0,0,0,5
169,131,2.388889,30.666666,30.666666,0.338619,-2.089186,4
95,95,0.722222,2.333334,4.555555,0.816909,-2.322295,3
163,210,1.555556,9.333334,17.333334,0.48874,2.043726,7
188,42,0.777779,95.666664,104.888885,0.241934,-2.410388,2
52,170,0.555556,20.11111,30.88889,0.349112,2.604013,7
199,66,1.277779,111,116.888885,0.205803,-2.307094,2
201,40,1.055556,113.333336,118.333336,0.188503,-2.292201,2
112,197,4.222223,44.666668,44.11111,0.296328,-2.071221,6
103,185,1.833332,27.777779,27.88889,0.250444,-2.45058,6
166,185,1.944445,48.555557,46.88889,0.302539,-2.008008,6
107,21,0.666662,115.77778,122.666664,0.184022,-2.370372,2
54,126,2.777777,21,20,0.305785,-1.96874,4
94,144,0.444444,0,0,1,-2.094395,3
22,200,2.888887,47.88889,47.22222,0.317362,-2.065663,6
205,190,1.277777,44.77778,43,0.290788,-1.987599,6
137,182,1.833333,31.444445,30.444445,0.285756,-2.001125,6
48,85,3.111111,1.333333,2.666667,0.885825,-2.271544,3
42,135,0.388889,1.333333,0.777778,0.849735,-1.972186,5
108,75,0.666667,105.888885,111.22222,0.20299,-2.295488,2
78,99,1.611111,1.111111,2.333334,0.9109,-2.255673,3
125,46,0.611109,112.77778,119.888885,0.200124,-2.357688,2
203,120,3.333333,44.88889,44,0.263467,-2.035243,4
239,137,1.777777,39.88889,37.333336,0.176066,-1.75799,4
93,231,2.444444,8.777778,17,0.485216,2.391307,7
174,59,0.833335,110.55556,116.77778,0.203326,-2.323173,2
103,237,1,6.555555,11.777778,0.522999,1.946502,7
145,170,1.277778,12.777778,19.555555,0.346719,2.737074,7
186,188,1.833332,45.11111,43.333332,0.294774,-1.99344,6
116,211,1.722222,11.111111,17.777779,0.375346,2.292041,7
138,188,2.055556,53.555557,52.555557,0.299511,-2.047211,6
28,188,1.444444,26.88889,26.555555,0.275863,-2.083566,6
150,113,0.5,7.111111,3,0.579365,-0.942558,1
20,137,0.111111,0,0,0.666667,-2.094395,3
11,108,1.333333,19,12.888889,0.388756,-1.302133,1
137,182,1.833333,31.444445,30.444445,0.285756,-2.001125,6
219,176,2.111112,53.333332,51.88889,0.314462,-2.030648,6
52,185,1.666667,14.888889,24.666666,0.396458,2.451836,7
10,61,2.222222,18.666668,14,0.419522,-1.591206,1
83,96,0.5,15.222222,15.111111,0.472764,-2.086083,5
110,174,0.388889,10.888889,17,0.359296,2.377854,7
19,55,1.444445,20.555555,15.888889,0.404791,-1.634416,1
161,136,0.611111,7.111111,3.333333,0.535714,-0.896533,1
73,31,0.555556,115.55556,121.888885,0.192456,-2.334831,2
34,116,5.777778,52.444443,54.11111,0.313235,-2.161793,4
103,64,0.666667,96.333336,103.77778,0.236797,-2.355443,2
183,157,0.666667,16.444445,23.88889,0.314187,2.405202,7
98,135,0.611111,7.444445,3.222222,0.565476,-0.787376,1
209,122,0.833333,35.77778,34.333336,0.282411,-1.985027,4
33,114,0.555555,11.777778,12.444445,0.510924,-2.149073,5
236,117,0.777779,39.555557,39.666668,0.330477,-2.09948,4
51,15,0.722226,123,128.33334,0.153616,-2.341041,2
235,35,0.444445,83,88.77778,0.319499,-2.248235,2
131,125,0.611111,0,0.222222,1,-2.130339,3
68,109,1.5,0.333333,0.777778,0.969136,-2.146531,3
74,64,1.833333,49.666668,49.11111,0.313003,-2.067168,4
18,90,1.055556,0.555556,1,0.926146,-2.164323,3
26,67,1,19.555555,14.555555,0.436939,-1.623202,1
204,161,1.27778,38,39.666668,0.308104,-2.238293,6
186,173,1.444444,13.555555,22.333334,0.396433,2.332739,7
21,122,0.444444,0,0.444444,0.555556,-2.444563,3
85,121,1.611111,8.888889,13.555555,0.696178,-2.335871,3
69,136,3.111111,16.88889,15.666667,0.425293,-1.61572,3
238,61,0.666667,5.888889,6.111111,0.588823,-2.121837,5
