@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R5,10,12,20'

@attribute Short-line-density-2 numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0,15.148149,14.555555,7
0,3.259259,7.666666,3
0.111111,44.037037,52.666668,3
0,19.037037,17,7
0,58.962963,71.55556,6
0,41.962963,51.22222,6
0,12.111111,8.111112,7
0,123.81481,138.11111,2
0,53.666668,66.88889,4
0.111111,58,71,6
0.222222,49.444443,61.11111,6
0,55.074074,66.333336,4
0,5.703704,7,1
0,137.88889,147.88889,2
0,6.777778,11,1
0,10.037037,15.111111,3
0,53.555557,67.333336,6
0,101.85185,123.22222,2
0,23.148148,19.11111,7
0,41.666668,51.333332,6
0,16.074074,14.555555,7
0,8.555555,7.555555,7
0,11.666667,9.777778,7
0,110.59259,128.66667,2
0,113.48148,128.55556,2
0,10.814815,7.666666,7
0,0,0,5
0,26.555555,37.666668,4
0,31.62963,39.333336,5
0,19.555555,18.11111,7
0,6.962963,8.444445,1
0,14.222222,22.11111,5
0,18.037037,25.11111,5
0,7.185185,12.111111,5
0,3.407408,6,3
0,56.925926,71.44444,6
0,63.48148,77.111115,4
0,63.62963,76.55556,4
0.111111,17.11111,23.444445,3
0,123.55556,139,2
0,54.962963,67.88889,6
0,29.814816,47.22222,3
0,68.96296,86.888885,4
0,123,140,2
0,48.703705,61,6
0,22.11111,28.11111,1
0,31.518518,38.77778,6
0,1,3,3
0,3.925926,4,1
0,23.814816,21.11111,7
0,18.925926,26.88889,5
0,0,0,5
0,122.666664,138.66667,2
0,18.592592,23.555555,1
0,11.185185,20,3
0,1.407407,4.111111,3
0,0,0,5
0,128.48148,142.77777,2
0,15.37037,13.111111,7
0,0.037037,0.111111,3
0,0,0,5
0.111111,49.74074,61.444443,6
0,72.888885,89.111115,4
0,22.555555,36,3
0,14.333333,14,7
0,0.777778,1.666667,5
0,59.48148,70.88889,4
0,93.14815,118.77778,2
0,25.074074,34.333336,1
0.111111,27.296297,38.666668,4
0,3,7.222222,3
0,5.333334,6.222222,1
0,0.703704,1.777778,5
0,7.851852,6.555555,7
0,40.444443,48.555557,6
0,36.185184,43,4
0,15.148149,14,7
0,14.814815,15.666667,7
0,106.85185,125.666664,2
0,21.851852,28,1
0,42.296295,54.11111,4
0,1.407407,3.444444,3
0,108.96296,126.888885,2
0,24.296297,24.222221,7
0,6.481482,4.888889,7
0,138.62962,147.55556,2
0,61.11111,76.77778,4
0,24.592592,31.222221,1
0,1.925926,4.444445,5
0,48.851852,60.666668,6
0,21.444445,30,4
0,7.074074,12.444445,3
0,117,134.11111,2
0,38.77778,49.22222,4
0,25.814816,34.666668,5
0,7.481482,5.111111,7
0,5.111111,6,1
0.222222,53.703705,67.22222,6
0,135.22223,145.88889,2
0,110.703705,129,2
0,2.259259,5.222222,3
0,20.592592,27.333334,1
0.111111,54.851852,68,6
0,3.592592,5.777778,5
0,0.740741,1.777778,5
0,0.703704,2,3
0,43.62963,52.88889,6
0,58.962963,73.333336,6
0,23.037037,30,1
0,16.37037,23.666666,4
0,2.888889,3.333333,5
0,37.592594,47.444443,4
0,113.48148,128.55556,2
0,143.44444,150.88889,2
0,55.851852,69.111115,6
