@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R7,18-20'

@attribute Vegde-sd numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
2.74074,0.269192,-1.932066,4
0.655461,0.404749,1.82234,7
0.298142,0.67037,-2.048717,5
0.750308,0.278387,-1.992997,6
0.722649,0.317206,-2.145045,4
0.272165,0.477222,-2.152852,5
0.462964,0.096263,-2.264532,2
188.50739,0.398824,-2.346057,3
2.115201,0.298302,-1.988249,6
0.151852,0.555776,-0.761648,1
1.289559,0.464325,2.060955,7
0.062963,0.620643,-2.120265,5
2.655532,0.694627,-2.344093,3
0.403687,0.555556,-2.444563,3
5.495115,0.275368,-2.175826,6
0.151852,0.179629,-2.300618,2
1.062842,0.190625,-2.333746,2
8.044466,0.769577,-2.14389,5
0.107407,0.571649,-0.987873,1
3.923811,0.324639,-2.096474,4
0.018519,0.777778,-2.094395,5
0.760115,0.247337,-2.337296,2
0.044444,0.674074,-0.87829,1
0.562961,0.19129,-2.366197,2
2.738614,0.313611,-2.03548,6
1.851851,0.390329,-1.447037,1
8.21111,0.561927,-0.004927,5
3.885185,0.271473,-2.101002,6
0.385185,0.56433,-1.134543,1
18.685184,0.837478,-2.193967,3
2.647851,0.317006,-2.084754,6
0.207407,0.422689,-1.622211,1
0.207407,0.573413,-0.837598,1
3.688889,0.466345,-1.823148,1
0.418519,0.907407,-2.351514,3
0.077778,0.777778,-2.094395,3
0.177778,0.318129,2.593543,7
0.266667,0.53858,-0.924817,1
1.986063,0.681266,-2.231261,3
0.998146,0.430243,1.956772,7
0.936898,0.420244,2.075874,7
0.118519,0.564153,-0.783647,1
99.75187,0.646298,-1.797435,5
0.3,0.144134,-2.309551,2
1.674074,0.457672,-2.569768,3
1.011051,0.448676,-2.118236,5
2.562963,0.465278,-2.101515,5
0.133333,0.400903,2.32489,7
0.516398,0.184022,-2.370372,2
1.705111,0.270271,-1.90381,4
4.449303,0.268186,-2.030048,4
0.329629,0.330513,2.264277,7
0.577778,0.420598,-1.705942,1
2.146487,0.422174,1.950405,7
2.379698,0.313397,-2.091572,4
0.388882,0.109655,-2.146204,2
1.490712,0.547232,-2.193098,5
0.58373,0.534151,-1.780255,5
0.562964,0.169635,-2.314232,2
1.577621,0.547103,-2.056119,5
0.151852,0.550044,-0.95784,1
1.572919,0.767235,-2.390992,3
0.928958,0.335026,-2.106235,4
3.855555,0.285756,-2.001125,6
5.555551,0.27504,-2.395566,6
2.123066,0.264152,-2.049172,4
2.238553,0.284495,-2.038956,6
0.516398,0.248136,-2.375282,2
0.32963,0.933333,-2.065536,5
0.162963,0.179483,-2.307657,2
0.807372,0.317156,-2.123641,4
1.962613,0.862771,-2.229493,3
0.389682,0.245241,-2.003259,4
12.329637,0.270907,-2.010178,4
0.922223,0.44538,2.432783,7
0.02963,0.222222,-2.094395,5
2.029414,0.54583,-2.06017,3
3.498677,0.252458,-2.053869,4
10.696298,0.28109,-2.10084,6
0.196296,0.509462,-2.188149,5
4.154872,0.317542,-2.122875,4
0.172133,1,-2.094395,5
