@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,11,15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
42,200,5.777778,-5.444445,7
79,57,24,28.222221,1
16,82,4.333334,18.222221,3
172,140,2.666667,5.333334,5
63,201,6.222222,-6.666666,7
33,131,0.222222,3.111111,3
36,243,9.888889,-3.666667,7
64,19,131.55556,26,2
86,67,99.44444,50.11111,2
105,193,53.11111,45,6
227,222,8.555555,-5,7
57,89,13,22.666666,5
247,197,4.111111,-6,7
137,94,20.666668,18.333334,1
196,244,6.666666,-2.222222,7
228,22,42.77778,39.666668,4
129,136,3.666667,13.444445,5
67,194,51.77778,41.22222,6
90,189,10.444445,-10.333333,7
185,35,96.44444,49,2
197,236,13.111111,1.777778,7
233,159,5.111111,10.444445,4
53,198,45.555557,37.666668,6
205,47,114.111115,47.77778,2
199,100,2.777778,16.444445,3
58,113,16.88889,22.777779,5
114,184,28.444445,17.777779,6
189,144,0,0,5
77,185,29.222221,21.333334,6
244,79,73.55556,77.666664,2
15,189,28.333334,24.666666,6
187,80,37.77778,21.444445,4
236,194,44.22222,37,6
115,75,115.888885,45.444443,2
17,124,0.222222,4.555555,3
73,105,53.333332,35.11111,4
167,189,51.333332,42.11111,6
78,62,100.77778,48.88889,2
77,135,41,39.88889,4
145,185,49.88889,40.88889,6
3,21,120.77778,39.22222,2
194,124,1,8.222222,3
32,206,50.444443,43.444443,6
145,34,131.44444,28.88889,2
41,150,16.222223,25.444445,4
197,144,0.333333,2.888889,5
146,72,23.777779,27.666666,1
235,81,1,11.888889,3
149,117,21.11111,15.333333,1
174,145,0,0,5
74,215,5.111111,-7.444445,7
25,91,0.888889,12.666667,3
217,195,39.666668,31.444445,6
154,128,7.333334,3.777778,1
24,83,19.11111,13.444445,1
96,193,54.77778,48.22222,6
96,96,2.666667,16.777779,3
196,129,7.888889,3,1
53,135,0,4.111111,3
138,203,8.777778,-9.444445,7
8,39,102.55556,55.88889,2
133,96,22.11111,16.333334,1
211,154,0,1.555556,5
185,186,44,32,6
176,118,7.666666,2.777778,1
69,139,16,13.444445,3
83,53,112.333336,44.333332,2
99,198,51.88889,42,6
187,135,20.222221,31.666666,5
104,134,0.111111,6.333334,3
54,138,0,1.222222,3
242,183,12.666667,-8.777778,7
248,200,41.333336,31.333334,6
6,217,11.444445,-3.666667,7
135,185,44.11111,28.11111,6
238,59,109.22222,51.88889,2
38,103,53.333332,34.11111,4
215,123,0,7.222222,3
91,19,115.44444,47.333332,2
227,196,42.11111,33.11111,6
248,149,14.444445,2.333333,7
153,208,13,-2.555556,7
140,125,1.555556,11.555555,3
68,117,20.666668,12.666667,1
124,201,14,-9,7
66,41,95.111115,57.555557,2
28,112,7.111111,3.888889,1
7,48,107.44444,50,2
77,186,31.11111,25.444445,6
16,128,6.888889,3.333333,1
208,240,10.888889,-3.444444,7
116,184,28.777779,18.88889,6
169,137,18.666668,33.666668,5
145,102,22.11111,20.11111,1
199,120,48.22222,24.444445,4
226,141,7,2.444444,1
225,22,133,27.11111,2
188,73,35.666668,28.777779,4
75,103,20.222221,11.444445,1
169,190,46.88889,37.333332,6
237,91,7.555555,25.555555,5
141,89,23.11111,19.666666,1
104,129,33.11111,28.666666,4
123,186,46.555557,35.666668,6
53,134,4.666667,12.777778,5
72,32,48.555557,49.22222,4
174,75,40.333336,13.666667,4
55,108,5.111111,16.333334,3
119,196,47.333332,37,6
60,126,16.444445,21.666666,4
164,202,12,-1,7
197,121,37.444443,25.222221,4
116,245,13.555555,-6.111111,7
68,135,4,12.666667,5
125,56,26.11111,27.11111,1
156,32,129.77779,30.11111,2
76,135,6.888889,1.333333,1
157,57,114.22222,44.88889,2
19,63,19.666668,20.555555,1
147,69,23.444445,26.333334,1
106,193,11.666667,-5.666666,7
217,148,21.444445,37.444443,4
83,114,20,14.444445,1
213,86,13.222222,22.555555,5
104,191,55.333332,48.444443,6
75,90,41.22222,39.666668,4
89,221,10.666667,-4.888889,7
2,98,18.333334,9.888889,1
5,210,45.444443,39.11111,6
245,110,29.11111,31,4
30,56,22.11111,22.88889,1
214,121,0,6.555555,3
101,130,7.444445,2.666667,1
104,41,99,51.666668,2
58,19,121,38.22222,2
42,57,59.444443,41.22222,4
13,149,4.111111,9.777778,1
226,110,0.111111,8.333333,3
178,122,7.333334,3.111111,1
205,177,28.444445,23.666666,6
82,51,111.77778,47.11111,2
150,158,7,11.333333,4
241,135,0,0.888889,5
16,117,6.888889,4.666666,1
84,62,53.444443,45.555557,4
117,224,15.444445,-7.444445,7
63,201,6.222222,-6.666666,7
160,95,2.111111,1.222222,5
224,34,111.44444,50.333332,2
7,203,47.666668,41,6
151,57,86.22222,65.333336,2
13,83,1.555556,6.888889,3
242,57,76.44444,79.22222,2
163,151,23.11111,36.88889,4
29,184,11.444445,-6.888889,7
19,147,3.888889,7.555555,1
