@relation glass

@attribute RI numeric
@attribute K numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51664,0.63963,8.03392,2
1.526139,0.19251,13.43544,2
1.516458,0.6831,8.09848,2
1.516389,0.62721,8.07696,2
1.515911,0.68931,7.96936,2
1.517893,0.55269,8.4428,2
1.518189,0.34776,9.42196,2
1.517073,0.621,7.99088,2
1.515911,0.39123,8.21684,2
1.518394,0.621,8.67952,2
1.516663,0.5589,8.6042,2
1.515911,0.68931,7.96936,2
1.518052,0.5589,8.37824,2
1.527255,0.08073,11.63852,2
1.518121,0.60237,8.78712,2
1.517118,0.60858,8.10924,2
1.515729,0.16146,7.35604,2
1.518508,0.57132,8.41052,2
1.518121,0.57753,8.15228,2
1.516891,0.73278,8.53964,2
1.518485,0.54027,8.32444,2
1.516048,0.44091,8.27064,2
1.515934,0.67068,7.82948,2
1.520809,0.49059,9.85236,2
1.515957,0.72036,7.9048,2
1.518007,0.54027,8.20608,2
1.515934,0.60858,7.86176,2
1.522221,0.09936,11.52016,2
1.516321,0.60858,7.89404,2
1.518462,0.50922,8.2814,2
1.518189,0,10.99292,2
1.520672,0.52785,9.5726,2
1.516276,0.60858,8.04468,2
1.518417,0.63963,8.95928,2
1.516184,0.60237,8.12,2
1.51828,0.55269,8.31368,2
1.517688,0.11178,8.6042,3
1.522107,0.22977,9.1422,3
1.516708,0.5589,8.4428,3
1.516093,0.5589,8.3352,3
1.516458,0.52164,8.58268,3
1.516093,0.58995,8.32444,3
1.516936,0.60858,8.78712,3
1.516435,0.57132,8.52888,3
1.516549,0.52164,8.64724,3
1.517779,0.0621,8.927,3
1.519351,0.16146,8.89472,3
1.521264,0,9.48652,3
1.51664,0.60237,8.37824,3
1.517961,0.57132,8.80864,3
1.517756,0.57753,8.78712,3
1.521196,0.13041,11.27268,5
1.523679,0.32292,12.24108,5
1.5132,6.21,6.92564,5
1.513155,6.21,6.95792,5
1.515137,1.68291,5.87116,5
1.519146,0.60237,10.08908,5
1.52172,0.47196,11.41256,5
1.520421,0.32913,12.49932,5
1.519692,0.37881,11.53092,5
1.520581,0.75762,9.70172,5
1.519943,0.47196,11.31572,5
1.516663,0.96876,10.17516,5
1.519055,0,9.5726,6
1.512995,0,7.59276,6
1.519169,0,10.88532,6
1.518531,0,9.32512,6
1.519374,0,9.76628,6
1.519692,0,11.21888,6
1.518872,0,9.9492,6
1.51115,0,6.64588,6
1.51623,0.03726,9.04536,7
1.516458,0,8.66876,7
1.518303,1.40967,6.47372,7
1.516025,0,8.75484,7
1.511309,1.75743,5.43,7
1.516139,0,8.66876,7
1.515091,0,8.3352,7
1.516503,0,8.47508,7
1.516822,0,8.51812,7
1.518371,1.45935,5.78508,7
1.522472,0.75762,9.75552,7
1.523155,0.60237,8.83016,7
1.515319,0.03726,9.07764,7
1.516572,0,8.2814,7
1.517187,0,8.52888,7
1.516093,0.04968,8.83016,7
1.515455,0.08073,9.06688,7
1.516162,0,8.7118,7
1.523656,0.3105,8.61496,7
1.516845,0,8.39976,7
1.516526,2.70135,8.927,7
1.516389,0,9.45424,7
1.51623,0.08073,9.18524,7
1.515137,0,8.389,7
1.517323,0,8.61496,7
1.520649,0,8.4428,7
