@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R6,8-9'

@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.096,0.0735,10
0.009,0.0075,5
0.2165,0.1785,9
0.1255,0.095,10
0.062,0.055,9
0.186,0.145,9
0.1785,0.14,11
0.0745,0.06,7
0.027,0.0225,5
0.077,0.065,8
0.2715,0.285,12
0.21,0.1505,8
0.198,0.107,7
0.239,0.185,7
0.41,0.1505,6
0.33,0.213,9
0.405,0.2335,8
0.434,0.185,8
0.4015,0.255,9
0.6055,0.285,9
0.6095,0.344,10
0.724,0.406,11
0.0135,0.0105,4
0.075,0.06,6
0.14,0.0825,8
0.2215,0.16,8
0.245,0.21,9
0.3045,0.19,9
0.3025,0.225,10
0.339,0.295,10
0.5055,0.367,11
0.6895,0.29,10
0.5395,0.285,10
0.6485,0.45,12
0.6255,0.3745,9
0.8265,0.461,9
0.1575,0.1095,7
0.4535,0.31,9
0.591,0.3485,9
0.0505,0.038,6
0.07,0.065,7
0.161,0.16,9
0.165,0.131,8
0.249,0.152,8
0.559,0.3165,11
0.5725,0.355,11
0.6115,0.445,12
0.6215,0.4535,11
0.618,0.325,11
0.4625,0.1965,9
0.678,0.266,11
1.2395,0.563,14
0.115,0.0945,6
0.1485,0.1455,8
0.182,0.16,9
0.237,0.165,7
0.326,0.245,9
0.4775,0.3155,9
0.6955,0.42,11
0.7765,0.401,10
0.5325,0.4485,10
0.5415,0.5965,14
1.0135,0.48,11
0.3685,0.345,11
0.0975,0.0725,7
0.088,0.075,7
0.5105,0.352,9
0.5345,0.345,13
0.6675,0.71,24
0.5835,0.396,10
0.291,0.195,15
0.426,0.32,12
0.0605,0.045,5
0.2395,0.18,9
0.1115,0.08,6
0.456,0.49,15
0.4125,0.545,16
0.258,0.255,8
0.2405,0.265,13
0.396,0.37,14
0.0605,0.045,5
0.169,0.145,11
0.493,0.565,18
0.275,0.225,15
0.437,0.33,14
0.302,0.265,12
0.1805,0.11,9
0.243,0.215,17
0.302,0.25,16
0.3265,0.165,13
0.171,0.158,8
0.4005,0.335,19
0.124,0.09,9
0.307,0.19,10
0.035,0.03,5
0.048,0.04,6
0.368,0.32,10
0.412,0.3,13
0.081,0.053,6
0.131,0.093,7
1.1455,0.5235,13
0.1955,0.126,7
0.4445,0.225,8
0.502,0.31,9
0.4495,0.345,11
0.525,0.405,10
0.8655,0.565,10
0.1375,0.075,6
0.509,0.3065,8
0.2375,0.1535,8
0.5045,0.335,12
0.7755,0.461,11
0.015,0.0125,3
0.097,0.054,6
0.072,0.0575,7
0.108,0.0625,7
0.229,0.1645,9
0.486,0.294,9
0.4905,0.31,10
0.583,0.4,8
0.4955,0.32,12
0.7395,0.405,10
0.0425,0.035,7
0.123,0.125,8
0.1515,0.1455,9
0.346,0.215,9
0.336,0.19,7
0.3535,0.236,10
0.481,0.305,10
0.61,0.3605,14
0.55,0.32,10
0.5975,0.4,11
0.622,0.398,10
0.873,0.435,11
0.323,0.164,7
0.3415,0.146,9
0.512,0.355,9
0.819,0.4525,13
0.2425,0.1465,8
0.3395,0.1945,10
0.2845,0.265,9
0.346,0.2735,10
0.2815,0.21,9
0.5105,0.39,10
0.678,0.456,14
0.0595,0.05,6
0.2435,0.175,8
0.012,0.005,4
0.1255,0.1035,7
0.282,0.275,12
0.236,0.255,11
0.056,0.05,5
0.273,0.295,13
0.7035,0.56,14
0.488,0.345,17
0.3455,0.275,10
0.2055,0.1085,15
0.0995,0.09,12
0.27,0.225,20
0.2725,0.19,14
0.2355,0.27,13
0.2115,0.255,13
0.271,0.1775,9
0.281,0.22,12
0.123,0.08,6
0.2035,0.135,7
0.115,0.055,6
0.3525,0.2015,9
0.503,0.2515,11
0.4865,0.285,10
0.8215,0.4705,11
0.449,0.215,10
0.4655,0.28,11
0.46,0.34,9
0.4675,0.31,9
0.327,0.174,8
0.4865,0.2755,10
0.2405,0.139,8
0.7755,0.4525,9
0.547,0.2585,10
0.404,0.255,8
0.331,0.24,10
0.1575,0.115,6
0.1255,0.081,7
0.15,0.088,7
