@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5,9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.7,1.8565,10
0.71,2.015,11
0.72,1.8275,10
0.74,2.119,12
0.535,1.0835,8
0.545,0.8935,8
0.6,1.3005,11
0.675,1.4465,10
0.185,0.027,5
0.41,0.3305,7
0.445,0.358,8
0.465,0.445,7
0.47,0.487,8
0.495,0.5,8
0.5,0.5605,9
0.515,0.5785,8
0.54,0.6255,8
0.555,0.7495,8
0.56,0.832,9
0.565,0.667,7
0.565,0.8715,10
0.57,0.88,13
0.575,0.876,10
0.575,0.8715,10
0.575,0.8245,11
0.58,0.8295,9
0.605,1.071,10
0.605,0.862,9
0.61,1.1785,11
0.615,1.219,10
0.62,1.035,11
0.64,1.1145,10
0.64,1.1285,9
0.65,1.375,10
0.655,1.348,10
0.21,0.0465,5
0.29,0.1195,6
0.35,0.17,7
0.36,0.2185,6
0.43,0.3675,8
0.6,0.837,10
0.455,0.594,8
0.46,0.4595,7
0.49,0.538,8
0.585,1.079,11
0.62,1.056,9
0.705,1.761,10
0.53,0.7455,10
0.425,0.361,7
0.665,2.1835,27
0.385,0.335,7
0.55,0.879,10
0.69,1.8465,19
0.55,0.897,9
0.19,0.0295,6
0.445,0.4475,9
0.645,1.4935,15
0.65,1.4005,13
0.42,0.4215,8
0.625,1.5765,16
0.555,0.7575,13
0.6,1.2675,13
0.645,1.4285,11
0.72,2.226,13
0.52,0.8705,14
0.67,1.406,13
0.485,0.5705,8
0.475,0.563,10
0.52,0.813,10
0.53,0.7365,12
0.45,0.4715,9
0.585,1.027,17
0.435,0.383,12
0.44,0.4285,11
0.625,0.972,14
0.555,0.8435,15
0.5,0.709,11
0.51,0.8185,16
0.59,1.161,12
0.39,0.271,8
0.49,0.592,15
0.415,0.4665,7
0.415,0.33,6
0.42,0.34,8
0.54,0.8115,9
0.37,0.2545,6
0.38,0.237,6
0.46,0.46,6
0.48,0.5135,8
0.62,1.2155,10
0.62,1.3245,9
0.635,1.596,11
0.475,0.1315,7
0.5,0.583,8
0.545,0.778,9
0.565,0.784,9
0.595,1.108,9
0.605,1.079,10
0.625,1.115,9
0.625,1.085,10
0.65,1.407,9
0.37,0.2065,7
0.385,0.244,8
0.405,0.91,8
0.405,0.2885,6
0.43,0.3645,7
0.48,0.5895,11
0.66,1.463,11
0.5,0.529,8
0.665,1.6385,11
0.72,1.613,12
0.735,2.2355,10
0.315,0.1285,4
0.335,0.1965,7
0.425,0.371,8
0.505,0.6115,9
0.575,0.9895,9
0.575,0.9655,8
0.605,0.9995,10
0.61,1.0625,11
0.67,1.4005,9
0.69,1.8445,13
0.745,1.884,12
0.51,1.183,9
0.535,1.2705,13
0.56,0.9415,9
0.64,1.006,9
0.455,0.372,9
0.47,0.5225,8
0.52,0.6625,11
0.52,0.6445,11
0.535,0.6885,9
0.55,0.783,11
0.57,0.871,10
0.6,0.8665,12
0.64,1.2015,9
0.625,1.3235,9
0.54,0.56,7
0.34,0.204,6
0.5,0.551,11
0.545,0.98,18
0.62,1.511,17
0.635,1.3035,17
0.6,1.1345,10
0.41,0.3745,12
0.61,1.2955,12
0.695,1.477,14
0.69,1.5715,15
0.61,1.213,15
0.505,0.655,9
0.655,1.1705,12
0.41,0.3595,11
0.6,1.057,16
0.44,0.451,16
0.375,0.2565,12
0.54,0.97,17
0.47,0.468,10
0.435,0.407,10
0.475,0.487,13
0.515,0.955,13
0.545,0.873,18
0.365,0.2205,9
0.455,0.5795,13
0.37,0.224,8
0.415,0.3595,6
0.61,1.0325,9
0.63,1.172,11
0.25,0.0805,4
0.64,1.4545,9
0.665,1.6885,11
0.72,1.787,11
0.47,0.4485,7
0.47,0.4155,7
0.475,0.7095,8
0.53,0.627,8
0.585,0.9835,9
0.61,1.214,10
0.72,1.7185,11
0.36,0.2055,7
0.45,0.514,8
0.505,0.5585,8
0.6,1.157,11
0.625,1.3335,10
0.625,1.1835,11
0.715,1.6,12
0.51,0.5805,7
0.655,1.27,10
0.27,0.084,6
0.295,0.1285,5
0.37,0.257,6
0.53,0.6765,9
0.545,0.737,9
0.55,0.717,9
0.6,1.122,10
0.625,1.15,11
0.67,1.217,11
0.36,0.465,7
0.485,0.9145,7
0.51,0.8415,10
0.625,1.124,9
0.285,0.106,5
0.475,0.452,8
0.575,0.927,9
0.62,1.107,11
0.675,1.593,11
0.695,1.8995,13
0.425,0.359,9
0.61,1.137,12
0.35,0.221,8
0.68,1.541,10
0.71,1.47,12
0.46,0.4485,14
0.425,0.4425,7
0.52,0.79,8
0.53,0.8255,9
0.37,0.2045,6
0.445,0.515,9
0.335,0.1785,9
0.655,1.373,16
0.56,0.97,12
0.565,0.8545,11
0.375,0.2225,10
0.475,0.541,13
0.54,1.0905,15
0.55,1.0985,14
0.465,0.6355,13
0.61,1.438,9
0.27,0.118,4
0.58,0.8915,6
0.645,1.37,10
0.67,1.8065,11
0.245,0.0785,5
0.52,0.5815,10
0.585,0.98,9
0.66,1.2275,8
0.54,0.702,10
0.55,0.672,11
0.575,0.9585,12
0.695,1.7715,10
0.5,0.439,8
0.56,0.9355,11
0.63,1.2435,11
0.57,0.9645,9
0.58,0.83,11
0.63,1.105,11
0.655,1.359,13
0.39,0.344,7
0.475,0.499,10
0.56,0.8675,8
