@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,4,9'

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.11,9
I,0.125,7
M,0.15,8
M,0.185,8
M,0.175,10
M,0.16,8
I,0.115,8
I,0.135,8
I,0.12,8
I,0.13,7
I,0.125,9
I,0.135,8
I,0.14,9
I,0.13,9
M,0.14,9
I,0.145,12
I,0.135,10
I,0.125,9
M,0.165,10
M,0.16,10
M,0.16,10
M,0.16,9
F,0.175,12
M,0.195,10
M,0.195,10
F,0.205,10
I,0.14,10
I,0.16,9
M,0.14,8
F,0.15,9
F,0.165,10
I,0.15,8
M,0.16,10
M,0.19,11
I,0.1,6
I,0.095,8
I,0.135,8
I,0.13,9
M,0.155,11
F,0.175,9
M,0.15,10
M,0.14,8
M,0.15,9
M,0.155,11
F,0.155,11
M,0.165,12
M,0.165,11
F,0.185,11
F,0.21,16
I,0.15,10
M,0.175,11
M,0.15,11
F,0.185,11
M,0.18,11
F,0.205,13
F,0.205,11
F,0.195,11
I,0.105,9
M,0.13,7
M,0.1,8
F,0.14,10
F,0.13,9
F,0.135,9
M,0.22,11
F,0.115,10
M,0.14,9
M,0.195,14
F,0.24,17
I,0.03,5
F,0.2,15
M,0.135,12
M,0.19,18
M,0.175,17
F,0.18,14
F,0.165,9
F,0.12,9
F,0.165,12
M,0.165,13
F,0.16,17
M,0.16,12
F,0.18,19
I,0.1,6
M,0.11,7
M,0.145,16
M,0.15,17
M,0.115,11
M,0.22,13
M,0.165,11
F,0.17,11
I,0.07,6
I,0.055,6
F,0.165,12
M,0.23,19
I,0.115,8
I,0.14,10
I,0.1,13
I,0.145,15
I,0.175,12
F,0.13,12
M,0.075,6
F,0.1,9
I,0.065,6
M,0.14,14
F,0.145,13
F,0.125,12
I,0.105,6
F,0.12,8
I,0.185,7
M,0.16,9
I,0.07,4
I,0.07,6
I,0.075,6
I,0.07,7
I,0.1,7
I,0.1,7
I,0.1,6
I,0.12,7
F,0.175,8
F,0.195,11
M,0.19,9
M,0.185,8
F,0.155,10
M,0.175,12
I,0.1,7
I,0.135,9
M,0.145,7
M,0.12,7
M,0.13,8
M,0.15,10
M,0.15,11
M,0.165,10
M,0.175,10
F,0.22,12
I,0.1,8
M,0.115,8
M,0.155,10
I,0.15,9
M,0.165,10
F,0.13,8
M,0.175,12
F,0.17,9
I,0.12,8
M,0.14,7
F,0.13,8
M,0.16,9
M,0.19,10
M,0.175,10
I,0.085,5
I,0.085,7
I,0.09,8
I,0.13,8
I,0.11,8
I,0.12,8
I,0.11,8
M,0.15,10
M,0.15,10
M,0.15,9
M,0.195,10
F,0.185,10
M,0.17,7
F,0.175,10
I,0.1,6
F,0.14,9
F,0.21,11
F,0.17,9
F,0.18,11
M,0.185,11
I,0.09,8
I,0.16,9
F,0.16,11
M,0.18,9
F,0.145,11
F,0.22,11
I,0.05,5
M,0.125,11
I,0.1,7
M,0.15,10
M,0.165,11
M,0.16,11
M,0.15,14
F,0.115,9
I,0.07,8
M,0.18,13
I,0.075,8
M,0.09,9
I,0.12,9
M,0.155,14
M,0.16,13
I,0.125,8
F,0.105,7
F,0.125,13
M,0.17,11
F,0.185,13
F,0.175,15
M,0.08,5
M,0.065,7
F,0.13,15
M,0.1,11
M,0.075,5
I,0.17,20
M,0.095,9
M,0.13,14
M,0.185,19
M,0.15,9
M,0.2,13
I,0.09,6
I,0.09,8
F,0.145,8
F,0.16,8
I,0.105,6
M,0.18,9
M,0.18,11
M,0.18,10
F,0.19,12
I,0.1,9
I,0.11,8
I,0.115,7
I,0.155,10
F,0.17,9
F,0.165,10
M,0.2,14
M,0.16,9
F,0.17,9
M,0.19,10
I,0.065,5
I,0.1,9
I,0.12,9
I,0.13,9
F,0.135,10
F,0.155,10
F,0.195,10
M,0.205,13
F,0.2,9
F,0.195,9
M,0.21,11
M,0.165,10
F,0.195,12
I,0.065,5
M,0.13,9
M,0.16,10
M,0.155,8
M,0.185,10
F,0.155,10
F,0.17,11
M,0.205,12
I,0.045,3
M,0.125,10
I,0.065,5
F,0.13,15
F,0.135,8
M,0.16,16
M,0.115,10
I,0.035,4
M,0.065,4
M,0.145,14
M,0.165,13
M,0.2,10
M,0.23,10
M,0.235,12
F,0.14,8
M,0.145,10
F,0.175,9
F,0.195,10
I,0.065,6
I,0.09,8
F,0.18,10
M,0.165,11
I,0.115,6
M,0.15,8
I,0.14,8
M,0.16,11
M,0.15,11
F,0.175,10
M,0.175,11
F,0.165,11
