@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.535,0.657,7
0.285,0.1185,7
0.44,0.495,7
0.34,0.185,7
0.505,0.6435,7
0.59,1.046,7
0.365,0.205,7
0.355,0.2235,7
0.355,0.2905,7
0.46,0.4155,7
0.435,0.4385,7
0.525,0.654,7
0.49,0.5265,7
0.425,0.3335,7
0.305,0.156,7
0.505,0.775,7
0.465,0.5795,7
0.44,0.3885,7
0.39,0.3055,7
0.445,0.4895,7
0.545,0.7835,7
0.31,0.1455,7
0.375,0.2385,7
0.4,0.368,7
0.395,0.3,7
0.455,0.5325,7
0.355,0.2255,7
0.475,0.498,7
0.385,0.2535,7
0.515,0.7355,7
0.465,0.5055,7
0.535,0.818,7
0.4,0.2815,7
0.34,0.1765,7
0.415,0.3735,7
0.39,0.203,7
0.56,0.9,7
0.45,0.47,7
0.39,0.281,7
0.45,0.3505,7
0.37,0.2295,7
0.425,0.3785,7
0.46,0.4635,7
0.33,0.187,7
0.38,0.243,7
0.63,1.1885,7
0.315,0.149,7
0.41,0.339,7
0.31,0.1345,7
0.28,0.0895,7
0.465,0.4955,7
0.35,0.2255,7
0.465,0.467,7
0.385,0.2485,7
0.425,0.301,7
0.385,0.257,7
0.4,0.127,7
0.515,0.5625,7
0.41,0.33,7
0.325,0.1735,7
0.615,1.198,7
0.495,0.61,7
0.36,0.1785,7
0.44,0.407,7
0.415,0.358,7
0.36,0.2205,7
0.435,0.298,7
0.41,0.3535,7
0.5,0.6425,7
0.45,0.3715,7
0.505,0.6005,7
0.38,0.6475,7
0.47,0.5225,7
0.42,0.3625,7
0.555,0.7075,7
0.485,0.568,7
0.5,0.5745,7
0.52,0.6645,7
0.52,0.77,7
0.31,0.15,7
0.29,0.1165,7
0.32,0.17,7
0.51,0.6925,7
0.455,0.5365,7
0.425,0.3295,7
0.38,0.2305,7
0.465,0.442,7
0.37,0.2445,7
0.475,0.5735,7
0.42,0.316,7
0.53,0.6515,7
0.275,0.086,7
0.435,0.3295,7
0.41,0.2645,7
0.37,0.2225,7
0.48,0.542,7
0.52,0.8115,7
0.395,0.317,7
0.45,0.478,7
0.485,0.513,7
0.545,0.778,7
0.395,0.313,7
0.445,0.336,7
0.39,0.279,7
0.46,0.466,7
0.435,0.4195,7
0.365,0.196,7
0.455,0.4555,7
0.405,0.2875,7
0.45,0.3935,7
0.445,0.434,7
0.5,0.494,7
0.41,0.2805,7
0.455,0.501,7
0.465,0.4705,7
0.43,0.425,7
0.265,0.084,7
0.575,0.9945,7
0.375,0.3155,7
0.575,0.948,7
0.525,0.7745,7
0.385,0.3315,7
0.42,0.325,7
0.415,0.336,7
0.435,0.334,7
0.415,0.3355,7
0.31,0.1275,7
0.37,0.2865,7
0.265,0.0975,7
0.36,0.1845,7
0.385,0.2895,7
0.46,0.4255,7
0.4,0.303,7
0.48,0.6315,7
0.36,0.2415,7
0.72,1.445,7
0.425,0.3075,7
0.425,0.3675,7
0.34,0.2225,7
0.405,0.2825,7
0.53,0.775,7
0.52,0.5545,7
0.49,0.5225,7
0.425,0.3975,7
0.44,0.4215,7
0.425,0.3685,7
0.455,0.4445,7
0.385,0.232,7
0.44,0.35,7
0.375,0.226,7
0.36,0.1865,7
0.445,0.4195,7
0.45,0.447,7
0.435,0.3915,7
0.365,0.196,7
0.235,0.0515,7
0.375,0.282,7
0.495,0.573,7
0.455,0.484,7
0.375,0.2145,7
0.37,0.22,7
0.375,0.218,7
0.485,0.6025,7
0.33,0.205,7
0.53,0.5965,7
0.45,0.494,7
0.415,0.3905,7
0.375,0.144,7
0.39,0.564,7
0.41,0.335,7
0.38,0.258,7
0.33,0.1715,7
0.375,0.2295,7
0.475,0.566,7
0.44,0.379,7
0.505,0.6125,7
0.475,0.5205,7
0.39,0.3265,7
0.375,0.3005,7
0.33,0.14,7
0.375,0.597,7
0.36,0.196,7
0.415,0.3335,7
0.495,0.512,7
0.445,0.4035,7
0.38,0.2285,7
0.345,0.2135,7
0.515,0.7125,7
0.42,0.43,7
0.46,0.4,7
0.555,0.963,7
0.465,0.474,7
0.295,0.1105,7
0.405,0.2825,7
0.425,0.3055,7
0.39,0.252,7
0.505,0.5445,7
0.435,0.418,7
0.475,0.689,7
0.51,0.6025,7
0.335,0.181,7
0.5,0.5495,7
0.44,0.39,7
0.405,0.385,7
0.365,0.2555,7
0.335,0.1825,7
0.55,0.952,7
0.315,0.1285,7
0.435,0.4475,7
0.33,0.1965,7
0.31,0.1515,7
0.37,0.2685,7
0.475,0.486,7
0.46,0.511,7
0.325,0.176,7
0.275,0.1155,7
0.46,0.4915,7
0.45,0.4195,7
0.325,0.1915,7
0.55,0.9235,7
0.38,0.2885,7
0.475,0.4175,7
0.485,0.4785,7
0.495,0.594,7
0.545,0.8035,7
0.205,0.0425,7
0.3,0.1425,7
0.39,0.2625,7
0.38,0.286,7
0.435,0.3535,7
0.365,0.24,7
0.445,0.378,7
0.515,0.625,7
0.51,0.5785,7
0.37,0.218,7
0.445,0.409,7
0.37,0.1855,7
0.585,0.938,7
0.33,0.1875,7
0.475,0.4905,7
0.47,0.544,7
0.285,0.1005,7
0.39,0.2665,7
0.395,0.293,7
0.365,0.2345,7
0.39,0.3095,7
0.42,0.3415,7
0.415,0.385,7
0.32,0.1735,7
0.355,0.1985,7
0.27,0.106,7
0.275,0.1165,7
0.35,0.4015,7
0.37,0.2655,7
0.365,0.223,7
0.41,0.282,7
0.385,0.302,7
0.405,0.271,7
0.315,0.1715,7
0.45,0.362,7
0.265,0.084,7
0.58,0.839,7
0.44,0.3705,7
0.48,0.524,7
0.305,0.156,7
0.465,0.4415,7
0.335,0.2015,7
0.335,0.222,7
0.405,0.3035,7
0.58,1.1155,7
0.6,1.059,9
0.56,0.894,9
0.5,0.5795,9
0.59,0.9235,9
0.67,1.4405,9
0.465,0.471,9
0.565,0.743,9
0.57,0.7745,9
0.61,1.281,9
0.405,0.3555,9
0.545,0.686,9
0.64,1.1545,9
0.6,1.285,9
0.54,0.836,9
0.5,0.577,9
0.585,1.058,9
0.535,0.6075,9
0.55,0.741,9
0.55,0.936,9
0.655,1.4095,9
0.475,0.4425,9
0.39,0.3055,9
0.555,0.7665,9
0.61,1.142,9
0.43,0.397,9
0.58,1.041,9
0.485,0.5885,9
0.58,1.0165,9
0.45,0.448,9
0.525,0.6995,9
0.565,0.768,9
0.475,0.447,9
0.54,0.7265,9
0.61,1.0765,9
0.345,0.2005,9
0.465,0.4075,9
0.405,0.347,9
0.55,0.9905,9
0.525,0.622,9
0.525,0.596,9
0.575,1.099,9
0.545,0.832,9
0.65,1.3825,9
0.575,0.9785,9
0.515,0.6295,9
0.64,1.1435,9
0.57,0.803,9
0.58,0.9615,9
0.65,1.122,9
0.715,1.79,9
0.625,1.2135,9
0.565,0.8445,9
0.645,1.2095,9
0.63,1.2795,9
0.675,1.4785,9
0.645,1.1665,9
0.575,0.886,9
0.455,0.462,9
0.585,0.97,9
0.575,1.078,9
0.575,0.8015,9
0.56,0.967,9
0.45,0.4165,9
0.47,0.6355,9
0.47,0.51,9
0.365,0.25,9
0.5,0.537,9
0.585,0.7635,9
0.57,1.018,9
0.61,1.136,9
0.62,1.1325,9
0.435,0.4075,9
0.62,1.1945,9
0.625,1.254,9
0.575,0.7955,9
0.57,0.867,9
0.645,1.251,9
0.53,0.6615,9
0.65,1.4415,9
0.56,1.6645,9
0.53,0.769,9
0.43,0.6485,9
0.645,1.33,9
0.535,0.725,9
0.515,0.565,9
0.53,0.6355,9
0.6,0.877,9
0.575,0.839,9
0.47,0.543,9
0.485,0.5565,9
0.62,1.195,9
0.575,1.08,9
0.6,1.13,9
0.56,0.714,9
0.545,0.687,9
0.375,0.276,9
0.645,1.4745,9
0.595,1.057,9
0.66,1.3195,9
0.38,0.283,9
0.6,1.247,9
0.555,0.812,9
0.65,1.1805,9
0.5,0.594,9
0.53,0.575,9
0.53,0.7905,9
0.37,0.25,9
0.635,1.1565,9
0.5,0.6615,9
0.6,1.176,9
0.615,1.224,9
0.6,0.776,9
0.485,0.498,9
0.555,0.8705,9
0.72,2.073,9
0.535,0.6025,9
0.295,0.124,9
0.46,0.517,9
0.51,0.681,9
0.64,1.382,9
0.63,1.3205,9
0.57,1.02,9
0.465,0.486,9
0.4,0.417,9
0.625,1.136,9
0.56,0.974,9
0.555,0.8625,9
0.435,0.3635,9
0.52,0.6375,9
0.675,1.4985,9
0.525,0.872,9
0.505,0.653,9
0.605,1.1775,9
0.5,0.528,9
0.405,0.3485,9
0.67,1.46,9
0.53,0.741,9
0.585,0.6735,9
0.54,0.7345,9
0.505,0.729,9
0.54,0.6275,9
0.595,1.1775,9
0.58,1.063,9
0.65,1.3875,9
0.525,0.842,9
0.42,0.3915,9
0.54,0.6555,9
0.625,1.025,9
0.635,1.211,9
0.46,0.447,9
0.505,0.596,9
0.57,0.9795,9
0.545,0.6765,9
0.63,1.2525,9
0.615,1.0375,9
0.57,0.908,9
0.575,0.847,9
0.555,0.913,9
0.61,1.022,9
0.5,0.6765,9
0.545,0.8,9
0.335,0.1975,9
0.53,0.555,9
0.52,0.646,9
0.59,0.755,9
0.65,1.464,9
0.6,1.4405,9
0.515,0.6965,9
0.535,0.599,9
0.625,1.2935,9
0.61,1.024,9
0.45,0.3715,9
0.615,1.0875,9
0.605,1.1175,9
0.495,0.976,9
0.605,1.076,9
0.455,0.433,9
0.69,1.5535,9
0.515,0.646,9
0.6,1.0265,9
0.41,0.3555,9
0.44,0.4775,9
0.525,0.8355,9
0.45,0.3955,9
0.575,0.869,9
0.415,0.3455,9
0.625,1.331,9
0.605,1.289,9
0.355,0.3275,9
0.53,0.677,9
0.55,0.912,9
0.63,1.147,9
0.655,1.1445,9
0.32,0.1565,9
0.6,1.038,9
0.435,0.3325,9
0.59,1.007,9
0.59,1.142,9
0.295,0.1385,9
0.615,1.084,9
0.375,0.253,9
0.59,1.077,9
0.625,1.179,9
0.59,1.0785,9
0.5,0.5765,9
0.58,0.953,9
0.56,0.8215,9
0.635,1.2915,9
0.55,0.765,9
0.485,0.968,9
0.325,0.155,9
0.465,0.4365,9
0.665,1.2975,9
0.5,0.5945,9
0.46,0.3945,9
0.595,1.0765,9
0.575,0.785,9
0.53,0.7675,9
0.55,0.7305,9
0.35,0.209,9
0.595,0.914,9
0.55,0.8105,9
0.58,0.9705,9
0.465,0.4325,9
0.67,1.4915,9
0.595,0.852,9
0.41,0.315,9
0.455,0.4925,9
0.625,1.2415,9
0.515,0.5755,9
0.515,0.7225,9
0.575,1.103,9
0.35,0.1915,9
0.65,1.542,9
0.65,1.3835,9
0.575,0.895,9
0.62,1.1,9
0.6,1.0105,9
0.525,0.6315,9
0.575,1.114,9
0.53,0.7835,9
0.665,1.349,9
0.455,0.4725,9
0.635,1.145,9
0.615,1.059,9
0.56,1.0315,9
0.51,0.6335,9
0.59,0.86,9
0.525,0.707,9
0.465,0.452,9
0.51,0.7175,9
0.56,0.9705,9
0.55,0.797,9
0.445,0.455,9
0.605,1.1685,9
0.69,1.454,9
0.505,0.625,9
0.46,0.3705,9
0.475,0.4625,9
0.515,0.578,9
0.445,0.4235,9
0.53,0.632,9
0.35,0.195,9
0.56,0.777,9
0.615,1.027,9
0.545,0.7405,9
0.6,1.0805,9
0.625,1.127,9
0.505,0.5525,9
0.53,0.702,9
0.595,0.944,9
0.575,0.9215,9
0.605,1.1035,9
0.4,0.2795,9
0.47,0.4615,9
0.66,1.5655,9
0.565,0.802,9
0.49,0.569,9
0.44,0.375,9
0.585,0.855,9
0.545,0.844,9
0.36,0.199,9
0.475,0.4225,9
0.395,0.282,9
0.535,0.728,9
0.505,0.635,9
0.5,0.6215,9
0.57,1.02,9
0.525,0.6875,9
0.52,0.872,9
0.515,0.573,9
0.5,0.7815,9
0.615,0.923,9
0.615,1.0805,9
0.55,0.8705,9
0.545,0.793,9
0.585,0.9325,9
0.485,0.457,9
0.56,0.932,9
0.63,1.306,9
0.555,0.873,9
0.655,1.204,9
0.56,0.898,9
0.43,0.3575,9
0.345,0.197,9
0.7,1.6465,9
0.59,1.004,9
0.61,0.9225,9
0.575,0.8515,9
0.54,0.8035,9
0.555,0.7905,9
0.57,0.795,9
0.41,0.306,9
0.615,1.055,9
0.5,0.542,9
0.685,1.4545,9
0.665,1.4355,9
0.525,0.756,9
0.725,1.51,9
0.505,0.5385,9
0.54,0.742,9
0.5,0.528,9
0.605,0.974,9
0.585,0.9565,9
0.385,0.24,9
0.45,0.438,9
0.565,0.895,9
0.575,0.78,9
0.55,0.793,9
0.7,1.751,9
0.575,0.857,9
0.465,0.421,9
0.615,1.4335,9
0.425,0.393,9
0.635,1.154,9
0.56,0.688,9
0.505,0.644,9
0.52,0.7765,9
0.6,0.9205,9
0.61,1.0835,9
0.44,0.482,9
0.5,0.6155,9
0.475,0.537,9
0.625,1.254,9
0.66,1.4045,9
0.44,0.394,9
0.28,0.127,9
0.44,0.3875,9
0.645,1.1845,9
0.585,0.9335,9
0.53,0.7245,9
0.515,0.4725,9
0.53,0.738,9
0.615,1.12,9
0.56,0.8995,9
0.59,1.09,9
0.555,0.837,9
0.575,0.941,9
0.55,0.651,9
0.5,0.5975,9
0.6,1.11,9
0.46,0.5105,9
0.625,1.082,9
0.535,0.717,9
0.725,1.523,9
0.52,0.6865,9
0.525,0.6095,9
0.625,1.273,9
0.645,1.2215,9
0.385,0.2775,9
0.515,0.5925,9
0.555,0.738,9
0.555,0.9685,9
0.45,0.381,9
0.58,0.8675,9
0.49,0.578,9
0.53,0.781,9
0.59,1.1735,9
0.57,0.811,9
0.47,0.5795,9
0.555,0.5585,9
0.575,0.9465,9
0.38,0.3215,9
0.6,1.1385,9
0.48,0.474,9
0.65,1.304,9
0.56,0.8825,9
0.5,0.5075,9
0.615,1.296,9
0.44,0.438,9
0.37,0.27,9
0.475,0.4535,9
0.56,0.8715,9
0.575,1.0535,9
0.62,1.307,9
0.645,1.192,9
0.675,1.711,9
0.63,1.1955,9
0.415,0.3895,9
0.52,0.6595,9
0.655,1.043,9
0.605,0.8025,9
0.4,0.2775,9
0.53,0.5685,9
0.64,1.3185,9
0.605,1.2525,9
0.355,0.271,9
0.475,0.5095,9
0.705,1.757,9
0.515,0.636,9
0.515,0.6145,9
0.435,0.38,9
0.525,0.6965,9
0.61,1.052,9
0.635,1.3555,9
0.58,0.93,9
0.61,0.9605,9
0.61,1.3305,9
0.65,1.3455,9
0.58,1.859,9
0.565,0.9595,9
0.59,0.998,9
0.655,1.494,9
0.41,0.301,9
0.49,0.511,9
0.515,0.6335,9
0.56,0.8205,9
0.675,1.494,9
0.425,0.3755,9
0.565,0.83,9
0.625,1.3745,9
0.6,1.259,9
0.47,0.4915,9
0.705,1.219,9
0.67,1.6385,9
0.575,0.8455,9
0.5,0.45,9
0.595,0.921,9
0.58,1.1335,9
0.585,0.9145,9
0.565,0.836,9
0.51,0.5775,9
0.29,0.152,9
0.53,0.5745,9
0.575,0.9175,9
0.54,0.891,9
0.55,0.7135,9
0.55,1.1655,9
0.625,1.288,9
0.49,0.674,9
0.635,1.2945,9
0.47,0.5225,9
0.625,1.044,9
0.44,0.4585,9
0.44,0.4035,9
0.635,1.4595,9
0.49,0.656,9
0.57,0.952,9
0.42,0.352,9
0.65,1.2655,9
0.57,1.0375,9
0.455,0.441,9
0.365,0.218,9
0.605,1.201,9
0.44,0.379,9
0.62,1.309,9
0.5,1.0615,9
0.59,0.9765,9
0.565,0.9255,9
0.67,1.2565,9
0.455,0.452,9
0.51,0.6855,9
0.565,1.1815,9
0.465,0.431,9
0.58,0.92,9
0.645,1.285,9
0.515,0.9225,9
0.54,0.709,9
0.5,0.7145,9
0.595,0.9125,9
0.615,1.118,9
0.62,1.1605,9
0.585,0.9355,9
0.605,0.9775,9
0.56,0.8875,9
0.445,0.4525,9
0.66,1.3275,9
0.605,1.056,9
0.725,2.3305,9
0.48,0.494,9
0.435,0.459,9
0.475,0.5465,9
0.615,0.9525,9
0.525,0.601,9
0.475,0.4865,9
0.595,1.0155,9
0.49,0.5755,9
0.335,0.17,9
0.58,0.984,9
0.475,0.4555,9
0.65,1.469,9
0.53,0.706,9
0.495,0.5415,9
0.42,0.28,9
0.44,0.501,9
0.59,0.853,9
0.54,0.7505,9
0.595,1.044,9
0.64,1.36,9
0.31,0.1295,9
0.685,1.7925,9
0.6,1.1405,9
0.59,1.262,9
0.525,0.664,9
0.475,0.49,9
0.575,0.9765,9
0.505,0.6855,9
0.345,0.195,9
0.46,0.5735,9
0.605,1.1345,9
0.58,0.8265,9
0.58,0.7095,9
0.52,0.633,9
0.525,0.6055,9
0.535,1.0015,9
0.62,1.2705,9
0.645,1.3815,9
0.635,1.2235,9
0.58,0.814,9
0.57,0.9415,9
0.54,0.8115,9
0.6,0.9625,9
0.555,0.7545,9
0.655,1.5475,9
0.545,0.82,9
0.61,1.1185,9
0.495,0.7555,9
0.58,0.701,9
0.44,0.4465,9
0.665,1.2975,9
0.56,0.8025,9
0.46,0.5165,9
0.635,1.2635,9
0.345,0.197,9
0.485,0.591,9
0.52,0.5805,9
0.36,0.2105,9
0.595,0.919,9
0.55,0.745,9
0.34,0.213,9
0.555,0.783,9
0.525,0.8435,9
0.62,1.0405,9
0.565,0.6545,9
0.605,1.167,9
0.4,0.2935,9
0.67,1.3645,9
0.745,2.25,9
0.62,0.9545,9
0.53,0.7045,9
0.425,0.4085,9
0.57,0.995,9
0.625,1.38,9
0.65,1.337,9
0.33,0.2,9
0.57,0.848,9
0.515,0.516,9
0.55,0.8745,9
0.63,1.0915,9
0.42,0.3435,9
0.575,0.8975,9
0.625,1.1415,9
0.51,0.5575,9
0.69,1.659,9
0.44,0.487,9
0.645,1.159,9
0.565,0.983,9
0.55,0.806,9
0.62,0.9505,9
0.45,0.425,9
0.64,1.2645,9
0.475,0.456,9
0.58,0.844,9
0.6,0.9165,9
0.57,0.9685,9
0.62,1.0725,9
0.605,1.1185,9
0.485,0.5085,9
0.605,1.161,9
0.625,1.264,9
0.615,1.1215,9
0.56,0.903,9
0.62,0.8565,9
0.49,0.591,9
0.485,0.869,9
0.685,1.5845,9
0.455,0.401,9
0.565,0.863,9
0.545,1.1185,9
0.51,1.2825,9
0.59,0.7715,9
0.54,0.9455,9
0.595,1.0045,9
0.565,1.0095,9
0.635,1.2615,9
0.65,1.368,9
0.64,1.5335,9
0.505,0.674,9
0.425,0.4405,9
0.515,0.5805,9
0.55,0.639,9
0.63,1.1315,9
0.57,0.8965,9
0.65,1.238,9
0.575,0.872,9
0.37,0.234,9
0.65,1.3105,9
0.625,1.177,9
0.575,0.907,9
0.58,0.93,9
0.635,1.4065,10
0.475,0.655,10
0.63,1.1105,10
0.705,2.381,10
0.645,1.546,10
0.55,0.741,10
0.425,0.3265,10
0.52,0.6805,10
0.695,1.8495,10
0.385,0.314,10
0.625,1.3325,10
0.535,0.7465,10
0.59,0.9745,10
0.71,1.3165,10
0.595,0.984,10
0.51,0.6515,10
0.58,0.7905,10
0.545,0.6855,10
0.5,0.6265,10
0.58,0.925,10
0.63,1.2005,10
0.51,0.6565,10
0.605,1.1155,10
0.475,0.588,10
0.635,1.1795,10
0.525,0.657,10
0.535,0.8075,10
0.595,1.03,10
0.515,0.623,10
0.6,0.8895,10
0.455,0.4385,10
0.55,0.8725,10
0.415,0.3215,10
0.645,1.129,10
0.465,0.7615,10
0.72,2.1505,10
0.575,0.795,10
0.4,0.4335,10
0.5,0.5765,10
0.62,1.1045,10
0.58,0.798,10
0.605,1.1,10
0.515,0.6935,10
0.37,0.2305,10
0.57,0.833,10
0.68,1.1095,10
0.585,0.953,10
0.595,0.7955,10
0.575,0.805,10
0.555,0.86,10
0.65,1.567,10
0.445,0.4415,10
0.57,1.0145,10
0.505,0.5895,10
0.66,1.6275,10
0.65,1.281,10
0.455,0.5725,10
0.595,0.886,10
0.655,1.367,10
0.535,0.7845,10
0.51,0.6905,10
0.57,0.9055,10
0.58,1.0735,10
0.56,0.8255,10
0.55,1.205,10
0.485,0.547,10
0.66,1.4415,10
0.645,1.1605,10
0.33,0.163,10
0.57,0.8295,10
0.55,1.3405,10
0.655,1.4245,10
0.54,0.7585,10
0.595,1.0305,10
0.625,1.0815,10
0.675,1.265,10
0.6,1.0165,10
0.65,1.5055,10
0.52,0.581,10
0.625,1.33,10
0.625,1.255,10
0.62,1.1295,10
0.49,0.585,10
0.7,1.6015,10
0.6,1.142,10
0.475,0.5305,10
0.615,1.3435,10
0.575,0.8145,10
0.695,1.8385,10
0.345,0.169,10
0.605,1.1835,10
0.37,0.241,10
0.595,1.185,10
0.575,0.992,10
0.52,0.712,10
0.515,0.646,10
0.635,1.1345,10
0.63,1.2615,10
0.445,0.3795,10
0.685,1.545,10
0.4,0.297,10
0.635,1.2435,10
0.61,1.137,10
0.66,1.583,10
0.515,0.6615,10
0.585,0.982,10
0.63,1.1655,10
0.585,1.0505,10
0.585,0.922,10
0.345,0.163,10
0.595,1.0455,10
0.585,0.985,10
0.625,1.4105,10
0.375,0.2705,10
0.635,1.181,10
0.625,1.1435,10
0.55,0.7625,10
0.555,0.874,10
0.605,1.382,10
0.595,0.799,10
0.69,1.872,10
0.655,1.6525,10
0.575,0.985,10
0.425,0.322,10
0.495,0.5125,10
0.33,0.197,10
0.58,1.48,10
0.58,0.9975,10
0.685,1.5105,10
0.58,1.017,10
0.625,1.223,10
0.45,0.478,10
0.55,0.6755,10
0.665,1.2475,10
0.575,0.858,10
0.58,1.4395,10
0.38,0.3105,10
0.685,1.533,10
0.46,0.491,10
0.355,0.216,10
0.57,0.751,10
0.625,1.362,10
0.55,1.0145,10
0.55,0.656,10
0.67,1.0145,10
0.59,1.207,10
0.635,1.2355,10
0.61,0.9665,10
0.635,1.101,10
0.535,0.8105,10
0.685,1.519,10
0.65,1.2075,10
0.37,0.25,10
0.585,0.9855,10
0.405,0.3625,10
0.58,1.012,10
0.605,1.1345,10
0.465,0.488,10
0.575,0.9575,10
0.47,0.5615,10
0.38,0.257,10
0.455,0.457,10
0.53,0.8315,10
0.69,1.658,10
0.58,0.824,10
0.475,0.53,10
0.44,0.516,10
0.575,1.1,10
0.425,0.388,10
0.58,0.7955,10
0.46,0.482,10
0.57,1.186,10
0.625,1.205,10
0.63,1.362,10
0.44,0.451,10
0.56,0.9125,10
0.625,1.065,10
0.395,0.2715,10
0.54,0.8655,10
0.645,1.463,10
0.66,1.4415,10
0.66,1.431,10
0.53,0.81,10
0.645,1.401,10
0.51,0.7005,10
0.63,1.31,10
0.64,1.1,10
0.625,1.1565,10
0.615,1.167,10
0.6,1.1315,10
0.525,0.7055,10
0.49,0.7605,10
0.4,0.3465,10
0.665,1.491,10
0.64,1.098,10
0.54,0.6665,10
0.575,1.068,10
0.525,0.6955,10
0.57,0.7655,10
0.585,0.885,10
0.44,0.402,10
0.67,1.6615,10
0.525,0.9605,10
0.605,1.1215,10
0.63,1.2155,10
0.515,0.8815,10
0.65,1.2895,10
0.625,0.8765,10
0.575,1.116,10
0.54,0.619,10
0.58,1.049,10
0.525,0.717,10
0.575,0.8285,10
0.615,1.2205,10
0.58,1.2255,10
0.535,0.879,10
0.615,1.054,10
0.685,1.885,10
0.51,0.8145,10
0.59,1.115,10
0.62,1.0865,10
0.69,1.5955,10
0.585,1.04,10
0.565,0.8765,10
0.55,0.869,10
0.625,1.0945,10
0.57,1.1935,10
0.455,0.458,10
0.66,1.489,10
0.695,1.679,10
0.545,0.7285,10
0.55,0.8395,10
0.41,0.3635,10
0.65,1.238,10
0.655,1.2905,10
0.485,0.5725,10
0.515,0.6725,10
0.345,0.207,10
0.625,1.217,10
0.515,0.7565,10
0.625,1.262,10
0.565,0.831,10
0.715,1.9525,10
0.545,0.8975,10
0.68,1.534,10
0.7,1.9125,10
0.63,1.167,10
0.605,1.1255,10
0.585,1.065,10
0.545,0.742,10
