@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.38,0.16,7
I,0.25,0.128,7
M,0.4,0.178,7
M,0.295,0.09,7
I,0.305,0.0865,7
I,0.31,0.09,7
I,0.37,0.14,7
I,0.31,0.0935,7
I,0.325,0.1025,7
I,0.265,0.0585,7
I,0.27,0.0595,7
I,0.35,0.1405,7
M,0.385,0.133,7
M,0.2,0.03,7
F,0.365,0.1335,7
I,0.23,0.0355,7
I,0.325,0.0965,7
M,0.42,0.17,7
I,0.3,0.0745,7
I,0.28,0.115,7
F,0.305,0.1,7
I,0.255,0.065,7
I,0.32,0.1,7
I,0.3,0.09,7
I,0.275,0.0735,7
I,0.36,0.137,7
I,0.39,0.172,7
I,0.345,0.106,7
I,0.315,0.12,7
I,0.29,0.082,7
I,0.345,0.125,7
I,0.305,0.085,7
I,0.355,0.12,7
I,0.33,0.15,7
I,0.28,0.08,7
F,0.265,0.06,7
I,0.27,0.07,7
I,0.28,0.07,7
M,0.41,0.175,7
I,0.405,0.18,7
I,0.32,0.109,7
I,0.335,0.145,7
I,0.34,0.13,7
I,0.26,0.058,7
I,0.29,0.073,7
I,0.235,0.05,7
I,0.335,0.1185,7
M,0.23,0.04,7
M,0.24,0.05,7
M,0.36,0.121,7
M,0.335,0.1035,7
M,0.43,0.228,7
M,0.51,0.348,7
I,0.37,0.13,7
I,0.305,0.1,7
I,0.25,0.1255,7
I,0.22,0.043,7
F,0.39,0.1405,7
I,0.25,0.0445,7
I,0.335,0.119,7
F,0.485,0.355,7
M,0.245,0.048,7
I,0.31,0.079,7
M,0.21,0.04,7
I,0.335,0.115,7
I,0.235,0.0495,7
I,0.275,0.058,7
F,0.375,0.17,7
I,0.355,0.13,7
I,0.27,0.065,7
M,0.4,0.185,7
I,0.335,0.113,7
M,0.39,0.161,7
I,0.325,0.1,7
M,0.265,0.077,7
M,0.235,0.08,7
I,0.38,0.1425,7
I,0.32,0.105,7
I,0.275,0.09,7
I,0.37,0.141,7
I,0.285,0.0775,7
I,0.27,0.066,7
I,0.305,0.095,7
M,0.405,0.1805,7
I,0.35,0.135,7
I,0.27,0.07,7
F,0.225,0.045,7
I,0.26,0.0575,7
F,0.35,0.1375,7
I,0.31,0.093,7
I,0.3,0.09,7
I,0.29,0.075,7
M,0.4,0.18,7
I,0.25,0.055,7
M,0.39,0.155,7
I,0.37,0.166,7
I,0.33,0.11,7
I,0.345,0.1135,7
I,0.275,0.0605,7
I,0.305,0.091,7
I,0.37,0.143,7
M,0.155,0.0155,7
I,0.32,0.106,7
F,0.26,0.062,7
I,0.265,0.0605,7
I,0.285,0.075,7
M,0.375,0.165,7
I,0.375,0.16,7
F,0.435,0.192,7
I,0.26,0.055,7
I,0.315,0.0985,7
I,0.25,0.0805,7
F,0.305,0.105,7
I,0.35,0.126,7
I,0.325,0.089,7
M,0.405,0.189,7
M,0.405,0.19,7
M,0.38,0.159,7
I,0.275,0.075,7
F,0.355,0.126,7
I,0.215,0.036,7
I,0.36,0.11,7
I,0.38,0.136,7
I,0.265,0.06,7
I,0.265,0.055,7
I,0.395,0.1895,7
M,0.345,0.116,7
I,0.325,0.105,7
I,0.365,0.123,7
I,0.235,0.047,7
M,0.25,0.06,7
M,0.28,0.143,7
I,0.335,0.11,7
I,0.325,0.125,7
M,0.21,0.0345,7
F,0.325,0.12,7
I,0.3,0.093,7
I,0.42,0.177,7
F,0.495,0.317,9
I,0.425,0.236,9
M,0.51,0.39,9
I,0.43,0.21,9
I,0.375,0.19,9
I,0.415,0.168,9
F,0.48,0.353,9
I,0.4,0.164,9
F,0.55,0.4395,9
I,0.395,0.195,9
M,0.405,0.202,9
F,0.53,0.3695,9
M,0.515,0.386,9
F,0.55,0.301,9
I,0.485,0.386,9
F,0.38,0.18,9
M,0.335,0.122,9
I,0.37,0.175,9
I,0.425,0.2,9
I,0.275,0.07,9
M,0.45,0.24,9
I,0.395,0.165,9
M,0.52,0.336,9
M,0.305,0.096,9
I,0.355,0.15,9
M,0.36,0.175,9
M,0.37,0.1625,9
M,0.465,0.247,9
F,0.43,0.225,9
M,0.5,0.315,9
F,0.46,0.29,9
F,0.52,0.317,9
I,0.395,0.183,9
F,0.5,0.3355,9
I,0.42,0.2365,9
F,0.44,0.2485,9
M,0.34,0.13,9
F,0.43,0.22,9
F,0.52,0.466,9
M,0.415,0.218,9
F,0.43,0.31,9
F,0.5,0.31,9
I,0.45,0.265,9
M,0.455,0.22,9
F,0.475,0.357,9
F,0.49,0.305,9
M,0.395,0.172,9
M,0.29,0.075,9
M,0.48,0.2505,9
F,0.415,0.2,9
M,0.32,0.115,9
M,0.46,0.227,9
M,0.49,0.3,9
F,0.46,0.2985,9
M,0.37,0.14,9
I,0.34,0.1045,9
F,0.355,0.165,9
F,0.425,0.335,9
F,0.485,0.38,9
M,0.255,0.07,9
M,0.365,0.1535,9
F,0.44,0.2185,9
M,0.475,0.315,9
M,0.47,0.2595,9
F,0.51,0.354,9
M,0.24,0.06,9
M,0.45,0.25,9
M,0.375,0.155,9
M,0.285,0.07,9
F,0.455,0.3,9
I,0.42,0.205,9
F,0.535,0.4215,9
F,0.475,0.2565,9
M,0.335,0.135,9
F,0.45,0.2645,9
F,0.515,0.29,9
I,0.375,0.17,9
I,0.465,0.286,9
F,0.525,0.3005,9
I,0.365,0.1465,9
F,0.43,0.1815,9
F,0.44,0.238,9
I,0.42,0.22,9
F,0.5,0.39,9
F,0.49,0.2925,9
I,0.385,0.21,9
F,0.365,0.14,9
M,0.475,0.275,9
F,0.385,0.205,9
F,0.445,0.218,9
M,0.41,0.155,9
I,0.24,0.055,9
M,0.445,0.27,9
F,0.485,0.345,9
M,0.405,0.175,9
M,0.305,0.0975,9
F,0.35,0.12,9
F,0.54,0.39,9
M,0.475,0.274,9
I,0.295,0.08,9
F,0.325,0.117,9
I,0.43,0.23,9
M,0.375,0.17,9
M,0.43,0.248,9
M,0.53,0.286,9
M,0.455,0.27,9
I,0.355,0.135,9
F,0.375,0.19,9
F,0.565,0.5385,9
F,0.51,0.315,9
F,0.475,0.3095,9
M,0.5,0.387,9
M,0.385,0.185,9
M,0.45,0.2365,9
M,0.35,0.185,9
M,0.45,0.235,9
I,0.36,0.145,9
F,0.37,0.155,9
M,0.51,0.32,9
I,0.385,0.1775,9
F,0.395,0.161,9
F,0.405,0.2065,9
F,0.4,0.223,9
F,0.41,0.2075,9
M,0.48,0.335,9
M,0.51,0.3725,9
M,0.49,0.237,9
F,0.485,0.352,9
M,0.37,0.2365,9
M,0.47,0.275,9
M,0.465,0.235,9
I,0.365,0.1135,9
F,0.465,0.307,9
F,0.44,0.245,9
M,0.435,0.2385,9
I,0.44,0.1965,9
F,0.44,0.2925,9
F,0.475,0.277,9
F,0.49,0.3225,9
I,0.43,0.247,9
I,0.4,0.168,9
F,0.43,0.231,9
M,0.435,0.222,9
F,0.42,0.1845,9
F,0.455,0.275,9
F,0.475,0.288,9
F,0.495,0.32,9
M,0.455,0.441,9
I,0.4,0.1835,9
I,0.445,0.253,9
F,0.455,0.274,9
I,0.37,0.165,9
M,0.37,0.15,9
F,0.48,0.306,9
M,0.48,0.289,9
M,0.285,0.0925,9
F,0.435,0.2265,9
M,0.44,0.2485,9
I,0.415,0.189,9
I,0.47,0.22,9
F,0.415,0.311,9
F,0.3,0.095,9
F,0.44,0.265,9
I,0.37,0.147,9
M,0.48,0.2785,9
I,0.365,0.1645,9
M,0.45,0.2575,9
I,0.46,0.238,9
I,0.41,0.165,9
F,0.445,0.2505,9
I,0.355,0.1275,9
F,0.38,0.161,9
F,0.49,0.299,9
F,0.48,0.356,9
M,0.37,0.146,9
M,0.45,0.264,9
F,0.455,0.274,9
F,0.445,0.295,9
F,0.48,0.355,9
M,0.51,0.317,9
F,0.405,0.185,9
M,0.445,0.2475,9
F,0.325,0.14,9
F,0.42,0.275,9
M,0.465,0.357,9
F,0.465,0.2415,9
M,0.37,0.159,9
I,0.375,0.185,9
I,0.4,0.21,9
F,0.33,0.123,9
F,0.525,0.42,9
F,0.325,0.11,9
M,0.4,0.168,9
I,0.4,0.1525,9
F,0.47,0.289,9
F,0.495,0.2885,9
M,0.39,0.2385,9
M,0.435,0.215,9
F,0.455,0.271,9
M,0.3,0.085,9
F,0.46,0.2655,9
F,0.45,0.248,9
F,0.425,0.295,9
M,0.505,0.3,9
M,0.48,0.29,9
F,0.41,0.22,9
I,0.33,0.12,9
F,0.46,0.2515,9
I,0.4,0.18,9
I,0.425,0.215,9
I,0.29,0.0745,9
M,0.485,0.33,9
I,0.355,0.142,9
M,0.425,0.2595,9
F,0.43,0.2015,9
F,0.49,0.3095,9
M,0.495,0.34,9
M,0.505,0.38,9
M,0.525,0.425,9
M,0.47,0.31,9
I,0.32,0.105,9
I,0.365,0.145,9
F,0.43,0.2285,9
F,0.47,0.3345,9
F,0.505,0.3745,9
M,0.475,0.285,9
M,0.525,0.387,9
F,0.485,0.288,9
F,0.475,0.32,9
F,0.45,0.209,9
F,0.5,0.4245,9
I,0.335,0.135,9
F,0.525,0.3995,9
M,0.405,0.205,9
F,0.365,0.175,9
F,0.505,0.3315,9
M,0.45,0.215,9
M,0.355,0.14,9
M,0.365,0.27,9
M,0.47,0.265,9
I,0.37,0.145,9
M,0.39,0.255,9
F,0.475,0.305,9
I,0.39,0.169,9
F,0.47,0.31,9
M,0.375,0.205,9
M,0.41,0.215,9
M,0.435,0.235,9
M,0.51,0.3665,9
I,0.355,0.165,9
M,0.52,0.405,9
F,0.425,0.245,9
M,0.44,0.255,9
M,0.38,0.1535,9
M,0.27,0.07,9
F,0.45,0.22,9
M,0.51,0.335,9
I,0.28,0.08,9
I,0.43,0.2295,9
F,0.37,0.135,9
M,0.41,0.213,9
I,0.37,0.15,9
F,0.365,0.15,9
F,0.515,0.321,9
F,0.47,0.238,9
M,0.455,0.23,9
F,0.49,0.3155,9
I,0.395,0.1905,9
F,0.425,0.2705,9
M,0.305,0.105,9
F,0.5,0.3345,9
I,0.47,0.295,9
M,0.49,0.3745,9
I,0.445,0.235,9
M,0.5,0.345,9
I,0.43,0.24,9
I,0.43,0.25,9
M,0.48,0.312,9
M,0.5,0.315,9
I,0.445,0.28,9
I,0.425,0.25,9
M,0.38,0.17,9
I,0.4,0.154,9
F,0.46,0.2875,9
I,0.435,0.255,9
M,0.35,0.13,9
I,0.5,0.3595,9
I,0.355,0.1325,9
M,0.5,0.354,9
M,0.47,0.254,9
F,0.49,0.38,9
I,0.39,0.178,9
M,0.455,0.235,9
M,0.455,0.292,9
M,0.37,0.296,9
F,0.34,0.16,9
F,0.505,0.36,9
F,0.42,0.21,9
F,0.5,0.4085,9
I,0.435,0.206,9
M,0.405,0.193,9
I,0.395,0.17,9
F,0.26,0.07,9
I,0.225,0.04,9
F,0.435,0.2095,9
F,0.505,0.355,9
I,0.26,0.07,9
I,0.32,0.12,9
F,0.41,0.214,9
I,0.425,0.217,9
M,0.27,0.059,9
I,0.39,0.12,9
I,0.465,0.2435,9
I,0.36,0.165,9
F,0.45,0.3,9
M,0.45,0.301,9
I,0.345,0.116,9
F,0.37,0.343,9
F,0.41,0.203,9
I,0.36,0.138,9
M,0.475,0.29,9
I,0.4,0.175,9
F,0.5,0.315,9
M,0.305,0.1,9
I,0.365,0.1335,9
M,0.475,0.269,9
M,0.49,0.289,9
I,0.395,0.1785,9
M,0.475,0.31,9
I,0.45,0.22,9
I,0.435,0.222,9
M,0.475,0.274,9
F,0.515,0.3315,9
F,0.52,0.37,9
I,0.425,0.215,9
F,0.39,0.1635,9
M,0.48,0.2725,9
M,0.445,0.228,9
M,0.435,0.213,9
F,0.51,0.305,9
I,0.425,0.21,9
I,0.355,0.125,9
M,0.5,0.341,9
M,0.38,0.145,9
M,0.405,0.245,9
I,0.41,0.1975,9
I,0.46,0.265,9
I,0.405,0.195,9
M,0.4,0.225,9
I,0.345,0.319,9
F,0.345,0.135,9
F,0.435,0.1835,9
M,0.315,0.09,9
F,0.4,0.18,9
M,0.465,0.262,9
I,0.35,0.115,9
M,0.425,0.1975,9
F,0.36,0.14,9
M,0.46,0.25,9
M,0.295,0.075,9
F,0.46,0.249,9
M,0.28,0.075,9
F,0.475,0.3275,9
M,0.5,0.354,9
M,0.41,0.212,9
F,0.35,0.145,9
M,0.485,0.302,9
F,0.455,0.288,9
F,0.485,0.401,9
I,0.34,0.12,9
M,0.34,0.105,9
F,0.5,0.335,9
F,0.45,0.2775,9
M,0.47,0.2945,9
M,0.47,0.31,9
M,0.395,0.175,9
M,0.495,0.339,9
M,0.385,0.16,9
M,0.405,0.201,9
M,0.57,0.52,9
F,0.46,0.294,9
F,0.395,0.13,9
F,0.485,0.332,9
M,0.375,0.195,9
I,0.4,0.1855,9
F,0.47,0.29,9
M,0.51,0.315,9
M,0.34,0.1225,9
F,0.41,0.245,9
I,0.39,0.1755,9
I,0.445,0.279,9
F,0.42,0.215,9
I,0.485,0.278,9
M,0.47,0.325,9
M,0.49,0.34,9
M,0.265,0.07,9
F,0.505,0.375,9
F,0.45,0.265,9
F,0.495,0.323,9
M,0.485,0.2835,9
M,0.525,0.381,9
I,0.45,0.26,9
M,0.455,0.325,9
M,0.35,0.165,9
M,0.34,0.12,9
F,0.54,0.461,9
F,0.505,0.353,9
F,0.495,0.355,9
F,0.39,0.1845,9
I,0.455,0.246,9
I,0.375,0.169,9
I,0.455,0.235,9
I,0.43,0.24,9
M,0.47,0.287,9
M,0.455,0.235,9
F,0.48,0.3,9
F,0.445,0.285,9
I,0.31,0.095,9
M,0.45,0.2265,9
I,0.415,0.185,9
F,0.255,0.06,9
M,0.455,0.305,9
I,0.355,0.135,9
M,0.475,0.343,9
M,0.46,0.29,9
I,0.3,0.12,9
M,0.425,0.215,9
M,0.485,0.2865,9
M,0.485,0.33,9
I,0.35,0.125,9
F,0.39,0.1785,9
I,0.4,0.195,9
M,0.41,0.1765,9
M,0.455,0.2745,9
M,0.46,0.2625,9
I,0.35,0.15,9
M,0.455,0.315,9
I,0.35,0.114,9
M,0.45,0.245,9
F,0.44,0.255,9
I,0.305,0.11,9
F,0.49,0.2725,9
M,0.3,0.1175,9
M,0.425,0.1965,9
F,0.395,0.195,9
I,0.405,0.19,9
I,0.205,0.042,9
M,0.465,0.251,9
M,0.255,0.063,9
M,0.355,0.145,9
F,0.465,0.259,9
F,0.415,0.2035,9
M,0.49,0.31,9
F,0.5,0.315,9
F,0.57,0.558,9
I,0.415,0.167,9
M,0.395,0.155,9
I,0.42,0.235,9
M,0.45,0.246,9
M,0.44,0.283,9
M,0.545,0.461,9
M,0.39,0.167,9
M,0.35,0.273,9
I,0.36,0.1035,9
I,0.39,0.1745,9
I,0.455,0.2035,9
M,0.47,0.298,9
F,0.455,0.275,9
M,0.495,0.3725,9
F,0.29,0.075,9
F,0.43,0.201,9
F,0.42,0.4525,9
M,0.525,0.3865,9
M,0.51,0.375,9
M,0.515,0.335,9
F,0.42,0.21,9
M,0.29,0.085,9
I,0.465,0.3095,9
F,0.435,0.23,9
M,0.42,0.2045,9
F,0.5,0.341,9
M,0.46,0.265,9
M,0.3,0.085,9
M,0.445,0.22,9
M,0.43,0.234,9
M,0.425,0.22,9
I,0.45,0.235,9
F,0.43,0.245,9
F,0.525,0.37,9
M,0.47,0.279,9
F,0.54,0.4165,9
M,0.565,0.446,9
M,0.4,0.185,9
M,0.47,0.2685,9
M,0.435,0.31,9
M,0.37,0.165,9
F,0.445,0.207,9
M,0.475,0.283,9
F,0.475,0.335,9
M,0.455,0.295,9
M,0.485,0.2825,9
M,0.465,0.238,9
I,0.395,0.192,9
F,0.44,0.234,9
I,0.445,0.24,9
I,0.44,0.2475,9
M,0.43,0.213,9
M,0.49,0.355,9
M,0.48,0.285,9
F,0.4,0.185,9
M,0.5,0.315,9
F,0.4,0.145,9
I,0.255,0.055,9
F,0.45,0.255,9
I,0.395,0.175,9
F,0.475,0.3175,9
F,0.335,0.11,9
F,0.43,0.275,9
M,0.325,0.105,9
M,0.515,0.361,9
F,0.465,0.287,9
F,0.485,0.239,9
M,0.47,0.271,9
M,0.445,0.239,9
I,0.42,0.237,9
M,0.52,0.391,9
F,0.495,0.2885,9
I,0.4,0.177,9
M,0.47,0.2785,9
M,0.475,0.3285,9
F,0.465,0.2515,9
M,0.3,0.09,9
I,0.305,0.0955,9
M,0.41,0.3795,9
I,0.43,0.189,9
F,0.285,0.0835,9
F,0.36,0.149,9
F,0.43,0.2215,9
F,0.44,0.259,9
M,0.485,0.31,9
F,0.465,0.255,9
I,0.42,0.208,9
M,0.51,0.48,9
M,0.47,0.3345,9
I,0.39,0.179,9
M,0.42,0.2235,9
F,0.35,0.1345,9
M,0.475,0.311,9
F,0.465,0.337,9
F,0.475,0.285,9
M,0.47,0.267,9
M,0.515,0.3275,9
F,0.475,0.271,9
I,0.36,0.14,9
I,0.45,0.245,9
M,0.535,0.5175,9
M,0.445,0.22,9
M,0.465,0.235,9
F,0.485,0.3485,9
I,0.4,0.175,9
M,0.33,0.155,9
F,0.525,0.475,9
I,0.4,0.221,9
I,0.37,0.1455,9
I,0.375,0.14,9
M,0.52,0.348,9
M,0.29,0.085,9
I,0.27,0.0735,9
F,0.395,0.162,9
I,0.375,0.16,9
F,0.53,0.425,9
F,0.465,0.35,9
I,0.325,0.115,9
F,0.485,0.2715,9
F,0.515,0.4025,9
I,0.355,0.1525,9
M,0.5,0.37,9
I,0.38,0.15,9
F,0.355,0.15,9
I,0.455,0.244,9
M,0.46,0.26,9
F,0.325,0.11,9
F,0.43,0.196,9
I,0.315,0.1,9
M,0.385,0.1555,9
F,0.425,0.265,9
F,0.41,0.253,9
M,0.445,0.2245,9
M,0.29,0.09,9
M,0.49,0.3165,9
F,0.4,0.25,9
F,0.47,0.3205,9
M,0.53,0.315,9
F,0.51,0.3225,9
M,0.225,0.044,9
M,0.47,0.276,9
I,0.36,0.16,9
F,0.55,0.5015,9
I,0.425,0.2165,9
I,0.415,0.1695,9
I,0.33,0.1,9
F,0.5,0.374,9
M,0.35,0.135,9
M,0.355,0.19,9
F,0.465,0.2705,9
I,0.265,0.075,9
M,0.495,0.345,9
M,0.45,0.253,9
I,0.445,0.25,9
M,0.435,0.194,9
I,0.395,0.19,9
F,0.49,0.3055,9
F,0.385,0.2845,9
M,0.46,0.228,9
M,0.355,0.145,9
I,0.265,0.08,9
F,0.46,0.3055,9
M,0.425,0.199,9
I,0.34,0.1465,9
F,0.39,0.2,9
M,0.47,0.34,10
M,0.46,0.305,10
M,0.48,0.33,10
M,0.435,0.194,10
I,0.3,0.08,10
M,0.505,0.416,10
M,0.51,0.345,10
F,0.475,0.2895,10
F,0.39,0.17,10
I,0.45,0.225,10
M,0.46,0.345,10
F,0.28,0.075,10
M,0.46,0.275,10
M,0.45,0.295,10
F,0.46,0.2745,10
M,0.48,0.327,10
M,0.48,0.285,10
F,0.47,0.2675,10
F,0.325,0.12,10
M,0.485,0.3175,10
M,0.48,0.305,10
M,0.525,0.421,10
I,0.44,0.242,10
F,0.445,0.2475,10
M,0.475,0.309,10
M,0.52,0.4125,10
F,0.475,0.33,10
M,0.51,0.3745,10
M,0.465,0.274,10
F,0.46,0.236,10
F,0.51,0.322,10
F,0.56,0.437,10
M,0.49,0.309,10
F,0.35,0.175,10
F,0.535,0.465,10
F,0.58,0.4715,10
I,0.43,0.2135,10
M,0.5,0.295,10
M,0.495,0.3885,10
F,0.495,0.3455,10
F,0.5,0.355,10
M,0.565,0.54,10
F,0.315,0.095,10
M,0.52,0.3465,10
M,0.48,0.3375,10
F,0.45,0.2665,10
F,0.405,0.205,10
I,0.375,0.2215,10
F,0.45,0.308,10
F,0.335,0.125,10
I,0.48,0.3,10
M,0.45,0.35,10
F,0.48,0.31,10
M,0.395,0.17,10
F,0.47,0.305,10
M,0.47,0.2635,10
M,0.5,0.335,10
M,0.39,0.175,10
F,0.585,0.413,10
I,0.42,0.1895,10
M,0.505,0.52,10
M,0.515,0.3755,10
