@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.11,7
M,0.095,7
I,0.09,7
I,0.13,7
I,0.1,7
I,0.07,7
I,0.1,7
I,0.095,7
I,0.135,7
I,0.11,7
I,0.145,7
M,0.14,7
I,0.12,7
I,0.095,7
I,0.135,7
F,0.125,7
I,0.09,7
I,0.11,7
F,0.145,7
I,0.09,7
I,0.1,7
F,0.115,7
I,0.1,7
M,0.13,7
I,0.1,7
I,0.09,7
I,0.1,7
M,0.095,7
I,0.11,7
I,0.14,7
I,0.11,7
I,0.105,7
I,0.1,7
F,0.14,7
I,0.09,7
I,0.085,7
M,0.1,7
I,0.1,7
F,0.18,7
I,0.09,7
I,0.12,7
M,0.08,7
I,0.075,7
I,0.095,7
I,0.12,7
F,0.115,7
I,0.085,7
M,0.135,7
I,0.095,7
I,0.085,7
I,0.075,7
F,0.07,7
I,0.105,7
I,0.1,7
I,0.09,7
F,0.12,7
M,0.09,7
I,0.11,7
I,0.13,7
I,0.085,7
M,0.145,7
I,0.09,7
F,0.145,7
I,0.095,7
I,0.09,7
I,0.1,7
I,0.115,7
I,0.095,7
I,0.095,7
I,0.11,7
I,0.09,7
I,0.115,7
I,0.1,7
M,0.085,7
I,0.1,7
I,0.1,7
I,0.145,7
F,0.11,7
I,0.12,7
I,0.105,7
I,0.07,7
I,0.115,7
I,0.1,7
I,0.1,7
I,0.125,7
M,0.125,7
F,0.115,7
I,0.095,7
I,0.08,7
M,0.17,7
I,0.1,7
I,0.105,7
F,0.16,7
I,0.1,7
I,0.075,7
M,0.14,7
I,0.13,7
I,0.115,7
M,0.12,7
I,0.09,7
M,0.08,7
F,0.15,7
I,0.1,7
I,0.1,7
I,0.12,7
F,0.1,7
I,0.1,7
I,0.11,7
F,0.09,7
I,0.11,7
I,0.105,7
M,0.11,7
I,0.07,7
I,0.1,7
I,0.075,7
F,0.1,7
I,0.065,7
M,0.125,7
I,0.1,7
I,0.115,7
I,0.115,7
I,0.085,7
I,0.1,7
I,0.115,7
I,0.09,7
I,0.135,7
F,0.08,7
I,0.1,7
I,0.085,7
I,0.105,7
F,0.115,7
I,0.09,7
I,0.11,7
I,0.095,7
I,0.1,7
I,0.1,7
I,0.14,7
I,0.075,7
I,0.12,7
I,0.1,7
I,0.1,7
M,0.07,7
I,0.1,7
M,0.155,7
I,0.1,7
I,0.11,7
M,0.105,7
I,0.105,7
M,0.155,7
I,0.095,7
I,0.09,7
M,0.105,7
I,0.065,7
M,0.1,7
F,0.15,7
F,0.115,7
I,0.11,7
M,0.135,7
I,0.125,7
M,0.15,7
M,0.15,7
I,0.105,7
I,0.08,7
I,0.105,7
M,0.095,7
I,0.105,7
F,0.12,7
I,0.1,7
I,0.1,7
I,0.08,7
M,0.105,7
I,0.08,7
I,0.135,7
I,0.085,7
F,0.11,7
M,0.125,7
M,0.135,7
I,0.09,7
I,0.09,7
I,0.13,7
M,0.08,7
M,0.15,7
I,0.08,7
F,0.12,7
F,0.105,7
I,0.09,7
I,0.11,7
I,0.095,7
I,0.11,7
M,0.13,7
I,0.11,7
I,0.12,7
M,0.105,7
I,0.085,7
I,0.1,7
M,0.1,7
I,0.12,7
I,0.085,7
I,0.125,7
I,0.09,7
I,0.095,7
F,0.08,7
I,0.085,7
I,0.12,7
I,0.12,7
F,0.14,7
I,0.065,7
M,0.135,7
I,0.1,7
I,0.075,7
I,0.1,7
I,0.09,7
M,0.12,7
F,0.15,7
I,0.115,7
I,0.075,7
I,0.115,7
M,0.1,7
I,0.115,7
I,0.095,7
I,0.09,7
I,0.075,7
I,0.11,7
I,0.08,7
I,0.13,7
M,0.17,7
I,0.085,7
M,0.125,7
I,0.11,7
I,0.09,7
M,0.095,7
I,0.13,7
I,0.105,7
I,0.075,7
F,0.15,7
M,0.125,7
F,0.14,7
I,0.06,7
I,0.09,7
F,0.18,7
I,0.11,7
I,0.11,7
I,0.11,7
M,0.13,7
F,0.12,7
I,0.09,7
M,0.055,7
M,0.115,7
I,0.095,7
I,0.12,7
F,0.135,7
I,0.095,7
I,0.125,7
F,0.125,7
I,0.085,7
I,0.055,7
F,0.115,9
F,0.12,9
M,0.2,9
F,0.21,9
M,0.15,9
M,0.135,9
F,0.155,9
M,0.15,9
M,0.105,9
F,0.155,9
M,0.165,9
F,0.15,9
I,0.09,9
F,0.17,9
M,0.175,9
F,0.115,9
M,0.16,9
F,0.15,9
M,0.155,9
F,0.175,9
F,0.15,9
M,0.165,9
F,0.16,9
F,0.125,9
I,0.12,9
I,0.125,9
I,0.145,9
M,0.155,9
F,0.18,9
F,0.09,9
F,0.16,9
I,0.125,9
M,0.13,9
I,0.14,9
F,0.14,9
F,0.17,9
M,0.17,9
I,0.1,9
I,0.13,9
M,0.155,9
F,0.18,9
I,0.15,9
F,0.16,9
F,0.18,9
F,0.16,9
F,0.15,9
I,0.135,9
I,0.125,9
M,0.16,9
M,0.16,9
I,0.105,9
M,0.15,9
F,0.16,9
F,0.145,9
F,0.145,9
M,0.15,9
F,0.165,9
F,0.135,9
I,0.125,9
I,0.13,9
F,0.135,9
I,0.15,9
F,0.17,9
M,0.105,9
M,0.165,9
F,0.175,9
F,0.135,9
F,0.155,9
F,0.15,9
I,0.15,9
F,0.155,9
M,0.12,9
M,0.155,9
M,0.09,9
F,0.15,9
M,0.19,9
M,0.125,9
F,0.165,9
M,0.155,9
M,0.155,9
M,0.15,9
M,0.175,9
M,0.155,9
M,0.095,9
M,0.16,9
F,0.115,9
I,0.135,9
I,0.115,9
F,0.105,9
M,0.17,9
M,0.155,9
F,0.105,9
I,0.12,9
M,0.15,9
M,0.15,9
M,0.125,9
M,0.13,9
M,0.15,9
I,0.095,9
F,0.125,9
I,0.11,9
I,0.125,9
I,0.105,9
M,0.16,9
I,0.135,9
M,0.16,9
F,0.14,9
F,0.145,9
M,0.15,9
M,0.11,9
M,0.14,9
F,0.16,9
M,0.095,9
M,0.15,9
F,0.135,9
M,0.145,9
M,0.145,9
M,0.155,9
F,0.175,9
F,0.105,9
M,0.125,9
M,0.085,9
M,0.145,9
I,0.14,9
F,0.165,9
M,0.15,9
F,0.125,9
M,0.175,9
F,0.15,9
M,0.15,9
I,0.175,9
I,0.12,9
I,0.125,9
I,0.14,9
F,0.155,9
F,0.165,9
M,0.145,9
F,0.165,9
I,0.135,9
I,0.105,9
F,0.195,9
F,0.17,9
M,0.205,9
M,0.125,9
F,0.155,9
M,0.09,9
F,0.17,9
M,0.15,9
F,0.155,9
I,0.105,9
M,0.14,9
F,0.09,9
F,0.125,9
I,0.125,9
I,0.12,9
F,0.15,9
F,0.14,9
I,0.17,9
M,0.14,9
M,0.145,9
M,0.1,9
I,0.135,9
M,0.16,9
M,0.17,9
F,0.16,9
M,0.14,9
I,0.125,9
F,0.1,9
F,0.115,9
F,0.13,9
F,0.125,9
F,0.165,9
M,0.12,9
I,0.105,9
F,0.135,9
I,0.14,9
M,0.135,9
I,0.12,9
F,0.15,9
I,0.135,9
M,0.17,9
F,0.205,9
M,0.16,9
M,0.19,9
I,0.145,9
F,0.155,9
M,0.16,9
M,0.175,9
M,0.165,9
F,0.15,9
M,0.16,9
M,0.145,9
M,0.14,9
F,0.155,9
I,0.12,9
F,0.105,9
F,0.165,9
M,0.15,9
I,0.14,9
I,0.115,9
I,0.075,9
M,0.205,9
F,0.145,9
M,0.15,9
M,0.155,9
I,0.16,9
F,0.155,9
I,0.105,9
I,0.125,9
I,0.125,9
M,0.13,9
M,0.175,9
F,0.155,9
F,0.18,9
M,0.11,9
F,0.14,9
I,0.125,9
M,0.13,9
I,0.145,9
I,0.125,9
M,0.175,9
I,0.135,9
F,0.18,9
M,0.12,9
F,0.175,9
F,0.15,9
I,0.15,9
F,0.145,9
F,0.135,9
M,0.165,9
M,0.175,9
M,0.155,9
M,0.13,9
I,0.155,9
I,0.17,9
M,0.17,9
I,0.13,9
I,0.125,9
M,0.115,9
I,0.08,9
I,0.12,9
F,0.175,9
F,0.165,9
M,0.14,9
M,0.1,9
I,0.135,9
I,0.12,9
F,0.175,9
I,0.145,9
M,0.16,9
M,0.165,9
M,0.14,9
M,0.145,9
F,0.16,9
M,0.16,9
I,0.17,9
M,0.125,9
I,0.135,9
M,0.155,9
F,0.155,9
F,0.175,9
F,0.135,9
M,0.14,9
I,0.11,9
I,0.12,9
F,0.175,9
F,0.14,9
M,0.15,9
F,0.175,9
I,0.125,9
F,0.2,9
F,0.125,9
F,0.165,9
M,0.08,9
F,0.16,9
F,0.155,9
M,0.14,9
F,0.15,9
F,0.135,9
M,0.15,9
F,0.095,9
M,0.1,9
F,0.195,9
M,0.12,9
F,0.165,9
I,0.125,9
F,0.13,9
M,0.125,9
M,0.18,9
F,0.205,9
M,0.135,9
I,0.15,9
M,0.15,9
M,0.09,9
F,0.16,9
I,0.14,9
I,0.145,9
I,0.16,9
M,0.18,9
M,0.19,9
M,0.13,9
M,0.165,9
M,0.155,9
M,0.165,9
I,0.14,9
M,0.135,9
I,0.115,9
M,0.15,9
I,0.135,9
M,0.195,9
M,0.13,9
F,0.15,9
F,0.16,9
F,0.155,9
M,0.18,9
M,0.18,9
M,0.18,9
F,0.125,9
M,0.155,9
I,0.175,9
I,0.135,9
M,0.13,9
F,0.18,9
F,0.15,9
M,0.155,9
F,0.17,9
M,0.1,9
M,0.155,9
I,0.11,9
M,0.17,9
M,0.135,9
M,0.115,9
M,0.155,9
M,0.16,9
I,0.12,9
M,0.105,9
F,0.175,9
F,0.16,9
F,0.14,9
I,0.145,9
F,0.16,9
M,0.11,9
F,0.2,9
I,0.11,9
M,0.125,9
M,0.17,9
I,0.115,9
M,0.125,9
M,0.12,9
F,0.16,9
F,0.165,9
F,0.185,9
F,0.175,9
F,0.2,9
F,0.145,9
I,0.135,9
F,0.15,9
I,0.13,9
M,0.19,9
M,0.105,9
M,0.175,9
F,0.16,9
F,0.19,9
F,0.15,9
I,0.13,9
M,0.135,9
I,0.085,9
M,0.15,9
I,0.115,9
M,0.135,9
F,0.15,9
F,0.165,9
M,0.165,9
M,0.18,9
F,0.165,9
I,0.11,9
M,0.14,9
F,0.115,9
F,0.135,9
M,0.195,9
F,0.15,9
F,0.205,9
M,0.18,9
F,0.15,9
F,0.165,9
I,0.08,9
F,0.16,9
F,0.125,9
I,0.145,9
F,0.17,9
M,0.145,9
F,0.15,9
M,0.17,9
I,0.145,9
M,0.165,9
F,0.145,9
M,0.145,9
F,0.135,9
M,0.13,9
F,0.175,9
M,0.12,9
I,0.145,9
I,0.145,9
I,0.105,9
M,0.17,9
F,0.115,9
F,0.15,9
I,0.14,9
I,0.145,9
M,0.125,9
M,0.165,9
M,0.075,9
M,0.15,9
I,0.145,9
M,0.16,9
F,0.12,9
M,0.13,9
I,0.125,9
F,0.14,9
F,0.135,9
M,0.135,9
M,0.13,9
F,0.13,9
M,0.15,9
I,0.125,9
I,0.14,9
M,0.17,9
I,0.135,9
F,0.17,9
M,0.185,9
M,0.1,9
F,0.16,9
M,0.16,9
M,0.15,9
F,0.19,9
M,0.135,9
M,0.15,9
I,0.125,9
M,0.1,9
M,0.105,9
I,0.125,9
F,0.145,9
M,0.145,9
F,0.155,9
I,0.155,9
F,0.14,9
I,0.14,9
I,0.08,9
M,0.12,9
I,0.125,9
M,0.12,9
M,0.14,9
M,0.125,9
M,0.16,9
F,0.18,9
M,0.175,9
F,0.18,9
F,0.15,9
F,0.165,9
M,0.125,9
I,0.13,9
F,0.15,9
F,0.155,9
I,0.105,9
I,0.13,9
F,0.19,9
M,0.11,9
M,0.165,9
F,0.14,9
M,0.155,9
F,0.14,9
M,0.075,9
I,0.125,9
I,0.12,9
I,0.165,9
I,0.17,9
I,0.105,9
M,0.11,9
F,0.16,9
I,0.125,9
M,0.16,9
I,0.11,9
I,0.115,9
F,0.14,9
M,0.2,9
F,0.135,9
F,0.14,9
F,0.125,9
M,0.15,9
M,0.145,9
M,0.105,9
I,0.125,9
F,0.135,9
F,0.165,9
F,0.16,9
F,0.175,9
I,0.135,9
M,0.12,9
F,0.13,9
M,0.15,9
M,0.13,9
I,0.155,9
M,0.12,9
F,0.015,9
M,0.105,9
I,0.14,9
F,0.18,9
F,0.13,9
M,0.175,9
I,0.14,9
M,0.16,9
I,0.11,9
I,0.125,9
F,0.11,9
I,0.12,9
F,0.15,9
M,0.095,9
F,0.195,9
F,0.185,9
I,0.135,9
F,0.16,9
I,0.135,9
I,0.125,9
F,0.19,9
I,0.13,9
M,0.09,9
F,0.12,9
F,0.135,9
M,0.12,9
I,0.13,9
F,0.16,9
M,0.17,9
M,0.125,9
F,0.16,9
M,0.19,9
F,0.16,9
M,0.155,9
M,0.17,9
M,0.145,9
M,0.155,9
M,0.135,9
M,0.16,9
M,0.095,9
M,0.135,9
I,0.14,9
M,0.13,9
M,0.14,9
M,0.13,9
M,0.09,9
F,0.105,9
M,0.115,9
M,0.155,9
F,0.13,9
M,0.125,9
M,0.12,9
M,0.175,9
M,0.195,9
F,0.135,9
I,0.095,9
F,0.155,9
F,0.19,9
M,0.13,9
F,0.155,9
F,0.15,9
F,0.135,9
I,0.12,9
M,0.185,9
I,0.135,9
I,0.11,9
I,0.13,9
M,0.145,9
M,0.15,9
F,0.105,9
M,0.18,9
I,0.085,9
F,0.14,9
M,0.105,9
I,0.125,9
M,0.14,9
M,0.15,9
F,0.14,9
F,0.08,9
I,0.13,9
F,0.195,9
F,0.175,9
I,0.13,9
M,0.165,9
M,0.14,9
I,0.14,9
I,0.14,9
F,0.145,9
I,0.115,9
M,0.165,9
F,0.155,9
M,0.12,9
I,0.11,9
M,0.125,9
M,0.16,9
I,0.14,9
F,0.12,9
M,0.125,9
M,0.155,9
I,0.125,9
I,0.09,9
I,0.11,9
F,0.185,9
F,0.16,9
M,0.125,9
F,0.16,9
M,0.16,9
I,0.12,9
F,0.175,9
F,0.16,9
I,0.14,9
F,0.14,9
M,0.19,9
I,0.08,9
M,0.11,9
M,0.175,9
M,0.145,9
M,0.205,10
F,0.11,10
F,0.16,10
F,0.135,10
F,0.155,10
M,0.065,10
M,0.125,10
I,0.1,10
F,0.11,10
M,0.14,10
M,0.16,10
F,0.105,10
F,0.15,10
I,0.105,10
I,0.115,10
F,0.09,10
F,0.155,10
I,0.17,10
M,0.165,10
M,0.175,10
M,0.2,10
I,0.15,10
M,0.15,10
F,0.155,10
M,0.14,10
M,0.185,10
I,0.145,10
F,0.125,10
F,0.175,10
F,0.175,10
M,0.13,10
M,0.17,10
I,0.125,10
F,0.16,10
F,0.125,10
I,0.15,10
M,0.085,10
M,0.2,10
M,0.155,10
M,0.14,10
M,0.215,10
F,0.17,10
F,0.115,10
I,0.125,10
I,0.14,10
F,0.155,10
M,0.135,10
F,0.23,10
M,0.135,10
M,0.13,10
F,0.165,10
F,0.175,10
M,0.175,10
I,0.155,10
F,0.15,10
I,0.115,10
I,0.155,10
M,0.19,10
I,0.145,10
F,0.125,10
I,0.14,10
M,0.175,10
M,0.16,10
I,0.135,10
F,0.145,10
M,0.17,10
M,0.19,10
M,0.155,10
M,0.135,10
I,0.145,10
F,0.15,10
M,0.185,10
M,0.155,10
M,0.15,10
M,0.2,10
M,0.15,10
M,0.125,10
F,0.17,10
F,0.15,10
F,0.145,10
I,0.135,10
I,0.1,10
M,0.175,10
F,0.15,10
F,0.17,10
M,0.09,10
F,0.15,10
F,0.145,10
M,0.165,10
F,0.165,10
I,0.14,10
F,0.17,10
F,0.175,10
M,0.13,10
M,0.09,10
F,0.185,10
F,0.15,10
F,0.175,10
F,0.175,10
F,0.145,10
M,0.085,10
M,0.155,10
M,0.21,10
F,0.19,10
F,0.11,10
F,0.17,10
M,0.175,10
M,0.15,10
F,0.115,10
I,0.13,10
F,0.15,10
F,0.14,10
I,0.125,10
I,0.14,10
F,0.105,10
M,0.175,10
F,0.15,10
M,0.155,10
M,0.175,10
F,0.195,10
F,0.175,10
F,0.175,10
M,0.18,10
F,0.12,10
I,0.15,10
I,0.145,10
I,0.13,10
M,0.165,10
F,0.135,10
M,0.14,10
M,0.155,10
M,0.135,10
F,0.17,10
M,0.175,10
F,0.165,10
F,0.165,10
F,0.13,10
F,0.145,10
F,0.125,10
M,0.155,10
F,0.185,10
I,0.14,10
I,0.11,10
M,0.18,10
F,0.145,10
F,0.18,10
F,0.15,10
F,0.145,10
I,0.14,10
M,0.16,10
F,0.185,10
F,0.13,10
F,0.175,10
M,0.13,10
F,0.185,10
F,0.185,10
F,0.165,10
M,0.16,10
M,0.17,10
M,0.17,10
M,0.17,10
M,0.145,10
M,0.155,10
F,0.145,10
F,0.12,10
I,0.13,10
I,0.11,10
I,0.14,10
M,0.16,10
M,0.15,10
M,0.175,10
F,0.125,10
F,0.15,10
M,0.19,10
F,0.16,10
F,0.15,10
M,0.135,10
I,0.1,10
F,0.175,10
M,0.15,10
M,0.165,10
M,0.1,10
M,0.145,10
F,0.175,10
F,0.14,10
F,0.17,10
F,0.125,10
I,0.135,10
I,0.15,10
F,0.155,10
M,0.165,10
F,0.17,10
M,0.155,10
M,0.09,10
M,0.11,10
F,0.155,10
F,0.165,10
F,0.15,10
M,0.105,10
F,0.175,10
F,0.16,10
M,0.165,10
M,0.175,10
M,0.15,10
M,0.17,10
I,0.15,10
F,0.2,10
M,0.14,10
M,0.18,10
I,0.1,10
F,0.16,10
M,0.145,10
I,0.135,10
F,0.225,10
F,0.165,10
M,0.16,10
M,0.12,10
F,0.175,10
I,0.155,10
M,0.155,10
F,0.125,10
M,0.205,10
M,0.155,10
F,0.19,10
F,0.14,10
F,0.175,10
I,0.145,10
I,0.15,10
M,0.135,10
M,0.09,10
F,0.18,10
M,0.15,10
M,0.19,10
M,0.12,10
I,0.22,10
M,0.155,10
I,0.105,10
F,0.155,10
M,0.19,10
I,0.145,10
M,0.145,10
F,0.16,10
M,0.135,10
F,0.145,10
F,0.12,10
F,0.16,10
M,0.18,10
M,0.155,10
F,0.18,10
M,0.09,10
M,0.12,10
F,0.165,10
M,0.14,10
M,0.185,10
F,0.16,10
M,0.16,10
I,0.12,10
F,0.185,10
F,0.15,10
M,0.145,10
I,0.115,10
M,0.105,10
F,0.17,10
F,0.19,10
F,0.12,10
M,0.14,10
F,0.185,10
F,0.115,10
I,0.145,10
M,0.175,10
M,0.195,10
F,0.125,10
M,0.125,10
F,0.165,10
F,0.13,10
I,0.17,10
I,0.15,10
M,0.155,10
F,0.14,10
M,0.14,10
M,0.15,10
F,0.225,10
F,0.16,10
M,0.16,10
M,0.175,10
M,0.185,10
M,0.185,10
M,0.155,10
F,0.19,10
M,0.185,10
M,0.13,10
F,0.195,10
F,0.18,10
F,0.13,10
F,0.175,10
M,0.165,10
F,0.175,10
M,0.145,10
M,0.1,10
F,0.19,10
F,0.175,10
F,0.17,10
I,0.105,10
I,0.11,10
M,0.135,10
M,0.165,10
F,0.165,10
F,0.175,10
M,0.17,10
I,0.13,10
M,0.15,10
M,0.145,10
M,0.175,10
M,0.09,10
M,0.12,10
M,0.185,10
I,0.155,10
M,0.18,10
I,0.085,10
F,0.205,10
M,0.14,10
F,0.16,10
M,0.155,10
F,0.19,10
F,0.165,10
F,0.135,10
M,0.185,10
M,0.125,10
I,0.13,10
F,0.125,10
M,0.14,10
F,0.13,10
F,0.155,10
M,0.17,10
I,0.14,10
I,0.15,10
F,0.16,10
M,0.135,10
M,0.13,10
F,0.105,10
F,0.22,10
F,0.17,10
I,0.105,10
F,0.155,10
F,0.205,10
M,0.11,10
F,0.15,10
F,0.09,10
M,0.195,10
F,0.15,10
M,0.165,10
F,0.195,10
M,0.165,10
F,0.165,10
F,0.165,10
M,0.175,10
F,0.165,10
M,0.19,10
F,0.185,10
I,0.14,10
I,0.11,10
F,0.15,10
M,0.175,10
F,0.16,10
M,0.09,10
M,0.155,10
M,0.145,10
F,0.21,10
F,0.14,10
M,0.19,10
F,0.155,10
M,0.12,10
F,0.155,10
M,0.16,10
F,0.13,10
F,0.12,10
I,0.13,10
M,0.2,10
I,0.165,10
M,0.15,10
M,0.155,10
M,0.515,10
I,0.135,10
F,0.14,10
M,0.18,10
F,0.125,10
F,0.14,10
M,0.17,10
F,0.14,10
F,0.19,10
M,0.195,10
M,0.12,10
M,0.185,10
F,0.16,10
M,0.18,10
F,0.175,10
M,0.155,10
M,0.14,10
F,0.15,10
F,0.175,10
I,0.145,10
M,0.18,10
M,0.13,10
F,0.095,10
I,0.15,10
M,0.185,10
M,0.17,10
M,0.17,10
M,0.095,10
I,0.155,10
I,0.14,10
F,0.155,10
M,0.165,10
I,0.135,10
M,0.18,10
F,0.195,10
F,0.15,10
F,0.135,10
F,0.175,10
M,0.175,10
M,0.185,10
F,0.17,10
M,0.155,10
F,0.19,10
M,0.16,10
F,0.15,10
F,0.18,10
F,0.155,10
M,0.205,10
M,0.18,10
M,0.12,10
F,0.15,10
M,0.17,10
M,0.135,10
M,0.165,10
F,0.15,10
I,0.145,10
M,0.215,10
M,0.14,10
M,0.135,10
F,0.17,10
F,0.14,10
F,0.095,10
M,0.105,10
M,0.17,10
I,0.145,10
M,0.16,10
M,0.13,10
M,0.185,10
I,0.135,10
M,0.13,10
M,0.165,10
M,0.14,10
M,0.16,10
F,0.175,10
I,0.135,10
F,0.175,10
M,0.145,10
F,0.17,10
M,0.17,10
M,0.14,10
F,0.125,10
F,0.18,10
F,0.165,10
M,0.13,10
F,0.1,10
M,0.175,10
M,0.195,10
M,0.16,10
M,0.185,10
F,0.15,10
M,0.19,10
M,0.17,10
M,0.18,10
F,0.2,10
M,0.08,10
M,0.165,10
F,0.165,10
I,0.115,10
M,0.14,10
F,0.155,10
F,0.155,10
F,0.065,10
F,0.14,10
F,0.135,10
F,0.145,10
M,0.08,10
M,0.14,10
F,0.11,10
M,0.115,10
M,0.165,10
M,0.185,10
M,0.19,10
M,0.08,10
F,0.13,10
F,0.175,10
F,0.21,10
M,0.14,10
F,0.18,10
M,0.155,10
F,0.17,10
I,0.105,10
M,0.135,10
F,0.11,10
M,0.145,10
M,0.165,10
M,0.195,10
F,0.18,10
M,0.155,10
I,0.145,10
M,0.145,10
F,0.145,10
F,0.16,10
F,0.19,10
M,0.15,10
F,0.155,10
M,0.155,10
I,0.155,10
F,0.17,10
F,0.12,10
F,0.175,10
M,0.195,10
I,0.15,10
I,0.185,10
M,0.21,10
M,0.135,10
M,0.13,10
M,0.18,10
M,0.165,10
F,0.125,10
F,0.16,10
F,0.16,10
M,0.15,10
I,0.14,10
F,0.13,10
M,0.175,10
F,0.14,10
F,0.165,10
F,0.145,10
M,0.155,10
M,0.105,10
M,0.175,10
M,0.125,10
M,0.13,10
F,0.17,10
F,0.145,10
M,0.165,10
M,0.17,10
M,0.18,10
I,0.1,10
M,0.21,10
F,0.17,10
M,0.13,10
M,0.135,10
F,0.175,10
F,0.15,10
I,0.155,10
F,0.145,10
M,0.165,10
I,0.14,10
I,0.15,10
F,0.125,10
M,0.135,10
M,0.16,10
M,0.145,10
M,0.145,10
I,0.16,10
M,0.16,10
F,0.16,10
M,0.18,10
M,0.185,10
I,0.135,8
I,0.155,8
M,0.2,8
F,0.125,8
F,0.13,8
I,0.13,8
M,0.135,8
M,0.1,8
I,0.145,8
I,0.105,8
F,0.13,8
M,0.075,8
M,0.12,8
F,0.13,8
M,0.145,8
M,0.13,8
M,0.14,8
I,0.145,8
I,0.11,8
F,0.135,8
I,0.115,8
F,0.15,8
I,0.125,8
F,0.17,8
M,0.125,8
I,0.125,8
I,0.13,8
F,0.18,8
M,0.11,8
I,0.11,8
F,0.105,8
F,0.155,8
I,0.12,8
I,0.11,8
M,0.12,8
M,0.14,8
M,0.15,8
M,0.165,8
F,0.135,8
I,0.1,8
I,0.12,8
F,0.125,8
I,0.14,8
F,0.15,8
F,0.125,8
I,0.14,8
F,0.115,8
I,0.11,8
I,0.12,8
F,0.14,8
F,0.13,8
I,0.125,8
I,0.12,8
M,0.115,8
I,0.13,8
M,0.13,8
I,0.1,8
I,0.09,8
M,0.12,8
I,0.11,8
M,0.14,8
F,0.135,8
M,0.15,8
I,0.11,8
M,0.14,8
I,0.145,8
M,0.155,8
M,0.175,8
I,0.135,8
I,0.14,8
I,0.12,8
M,0.085,8
M,0.135,8
I,0.125,8
I,0.095,8
I,0.09,8
I,0.125,8
I,0.12,8
F,0.18,8
I,0.14,8
M,0.115,8
I,0.18,8
F,0.15,8
I,0.15,8
M,0.11,8
I,0.15,8
M,0.14,8
F,0.135,8
I,0.11,8
I,0.085,8
