@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.255,0.2005,0.105,5
0.29,0.213,0.096,5
0.365,0.4305,0.184,8
0.4,0.6025,0.2895,9
0.435,0.717,0.3475,9
0.42,0.8655,0.4315,10
0.445,0.8,0.3535,9
0.405,0.5945,0.27,8
0.44,0.8735,0.414,11
0.485,1.238,0.6315,11
0.45,0.871,0.407,10
0.495,1.2555,0.5765,12
0.49,1.101,0.534,10
0.525,1.5075,0.7455,11
0.525,1.3595,0.564,10
0.55,1.614,0.743,11
0.105,0.014,0.0055,3
0.165,0.0515,0.019,4
0.255,0.1985,0.0785,5
0.3,0.2815,0.1185,7
0.34,0.369,0.164,5
0.38,0.573,0.2655,7
0.425,0.793,0.343,9
0.485,1.1005,0.5125,11
0.51,1.7835,0.8885,11
0.215,0.121,0.047,6
0.275,0.2205,0.0985,7
0.28,0.257,0.119,7
0.3,0.252,0.1065,7
0.37,0.474,0.179,9
0.425,0.686,0.3475,8
0.435,0.7625,0.327,10
0.445,0.8225,0.3685,10
0.45,0.959,0.463,10
0.47,0.8025,0.379,9
0.47,1.1185,0.5225,9
0.515,1.221,0.535,13
0.49,1.1745,0.5255,11
0.505,1.2235,0.5215,10
0.51,1.3835,0.6385,9
0.55,1.569,0.687,12
0.59,1.747,0.7275,11
0.175,0.2315,0.096,5
0.42,1.3405,0.6325,10
0.44,1.025,0.5075,10
0.475,1.2525,0.5575,9
0.47,1.0865,0.511,10
0.55,2.073,1.0715,9
0.36,0.5155,0.2465,8
0.38,0.6645,0.3285,7
0.43,0.677,0.298,8
0.43,0.7245,0.321,9
0.455,1.0015,0.53,9
0.45,0.738,0.304,9
0.44,0.9415,0.3805,9
0.44,0.803,0.382,9
0.455,1.013,0.4685,11
0.495,1.5145,0.579,15
0.47,0.984,0.475,11
0.525,1.195,0.5435,12
0.515,1.229,0.5055,10
0.49,1.1,0.488,10
0.51,1.189,0.483,13
0.605,2.173,0.801,13
0.21,0.097,0.0375,6
0.29,0.3,0.158,7
0.325,0.316,0.1385,8
0.41,0.6875,0.3435,9
0.435,0.8295,0.3875,10
0.195,0.1065,0.0475,5
0.355,0.4325,0.2005,9
0.5,1.238,0.6165,8
0.525,1.644,0.818,10
0.39,0.66,0.3045,8
0.305,0.2825,0.114,7
0.31,0.315,0.124,9
0.405,0.7185,0.3265,8
0.38,0.608,0.2705,8
0.37,0.433,0.201,9
0.325,0.3295,0.1365,7
0.36,0.5065,0.222,10
0.195,0.106,0.0465,7
0.3,0.3025,0.1335,8
0.45,1.098,0.414,20
0.4,0.6865,0.295,9
0.47,1.142,0.387,17
0.51,1.539,0.5635,17
0.26,0.19,0.0765,7
0.39,0.853,0.3285,14
0.2,0.086,0.0305,7
0.335,0.444,0.225,8
0.375,0.5105,0.192,9
0.57,2.033,0.751,15
0.24,0.137,0.0545,8
0.52,1.407,0.566,17
0.44,0.9025,0.3805,13
0.525,1.3665,0.5005,18
0.275,0.2065,0.0725,10
0.41,0.6315,0.2745,12
0.365,0.6195,0.2595,14
0.35,0.4485,0.1585,16
0.46,1.2395,0.55,14
0.36,0.4765,0.192,10
0.45,0.9315,0.358,13
0.4,0.796,0.258,16
0.33,0.463,0.186,10
0.26,0.198,0.0725,10
0.325,0.413,0.144,8
0.405,0.6915,0.276,11
0.415,0.8245,0.272,13
0.475,1.1825,0.474,11
0.44,1.122,0.393,20
0.355,0.441,0.1525,8
0.44,0.742,0.2025,14
0.37,0.5555,0.25,8
0.44,0.983,0.4475,9
0.485,1.1405,0.587,9
0.475,1.201,0.5395,10
0.545,1.6225,0.6555,12
0.355,0.474,0.23,7
0.425,0.963,0.44,7
0.465,1.0765,0.491,9
0.585,2.398,1.128,12
0.21,0.1045,0.0415,5
0.24,0.163,0.0745,6
0.29,0.219,0.0925,6
0.345,0.3755,0.1525,7
0.355,0.442,0.2085,7
0.375,0.5205,0.233,7
0.38,0.512,0.233,7
0.4,0.723,0.377,7
0.43,0.832,0.4355,9
0.515,1.1845,0.506,9
0.25,0.167,0.0675,6
0.325,0.326,0.1325,8
0.335,0.358,0.169,7
0.35,0.471,0.252,8
0.385,0.7665,0.3985,8
0.39,0.531,0.2415,8
0.415,0.7055,0.329,10
0.445,1.017,0.5265,10
0.44,1.2255,0.5405,10
0.465,0.9865,0.47,11
0.465,1.1605,0.6005,9
0.54,1.74,0.7885,13
0.565,1.601,0.706,11
0.235,0.183,0.098,7
0.445,0.95,0.484,8
0.49,1.2005,0.575,10
0.525,1.385,0.8875,11
0.205,0.181,0.088,5
0.43,0.742,0.3525,10
0.465,0.9065,0.371,8
0.45,0.9705,0.4615,9
0.45,0.855,0.3795,9
0.495,1.198,0.5415,10
0.515,1.217,0.667,10
0.49,0.92,0.437,10
0.485,1.3765,0.634,11
0.505,1.297,0.59,11
0.515,1.494,0.7255,12
0.505,1.3435,0.657,12
0.215,0.305,0.14,6
0.4,1.224,0.618,10
0.5,1.148,0.5475,10
0.45,0.894,0.3885,9
0.44,0.768,0.3305,9
0.46,0.921,0.4005,9
0.49,1.145,0.4915,13
0.535,1.5855,0.667,11
0.185,0.0925,0.039,6
0.32,0.262,0.1235,8
0.355,0.491,0.207,10
0.4,0.714,0.318,10
0.435,0.806,0.3415,9
0.49,1.194,0.4445,15
0.47,1.114,0.3925,15
0.45,0.9125,0.3595,10
0.265,0.2265,0.0995,6
0.145,0.0345,0.011,5
0.405,0.6835,0.271,10
0.34,0.384,0.1375,14
0.45,1.0055,0.3785,12
0.4,0.6025,0.216,11
0.35,0.56,0.231,13
0.48,0.8745,0.375,12
0.505,1.4435,0.6145,18
0.385,0.6625,0.3005,11
0.375,0.501,0.192,13
0.46,0.7085,0.305,12
0.355,0.4385,0.184,11
0.3,0.3375,0.1435,12
0.325,0.382,0.1465,12
0.21,0.1,0.038,8
0.4,0.6605,0.2605,15
0.465,1.1285,0.377,16
0.21,0.111,0.0425,6
0.285,0.257,0.1045,7
0.275,0.2505,0.0945,6
0.4,0.578,0.2545,8
0.46,1.065,0.4985,8
0.495,1.3635,0.583,10
0.525,1.478,0.5815,10
0.12,0.021,0.0075,3
0.265,0.2435,0.122,6
0.34,0.4385,0.21,8
0.46,0.929,0.38,10
0.24,0.131,0.0615,6
0.265,0.1785,0.0785,6
0.34,0.396,0.1775,8
0.36,0.4355,0.196,8
0.42,0.658,0.296,8
0.41,0.7025,0.31,8
0.47,1.186,0.6355,10
0.45,0.886,0.3605,9
0.47,0.907,0.444,11
0.47,1.041,0.54,9
0.465,1.0315,0.4265,11
0.515,1.463,0.658,11
0.285,0.226,0.1135,8
0.29,0.2745,0.135,8
0.355,0.4975,0.2375,8
0.365,0.4175,0.1645,7
0.425,0.8735,0.4205,10
0.42,1.034,0.437,11
0.46,0.7635,0.326,9
0.45,1.081,0.49,12
0.47,1.012,0.441,10
0.47,1.242,0.5675,11
0.495,1.276,0.6215,11
0.51,1.155,0.4955,12
0.51,1.261,0.5,10
0.535,1.5575,0.7035,11
0.25,0.4015,0.1725,7
0.28,0.2885,0.165,7
0.36,0.452,0.22,9
0.355,0.4915,0.1765,9
0.455,1.1215,0.533,10
0.42,0.675,0.294,10
0.41,0.612,0.2435,11
0.45,0.86,0.437,9
0.475,1.072,0.433,8
0.45,0.9275,0.477,8
0.46,1.03,0.4275,10
0.455,1.059,0.4735,9
0.47,1.1665,0.4605,11
0.325,0.3555,0.146,9
0.545,1.5415,0.5985,15
0.375,0.4915,0.2205,7
0.45,0.9315,0.431,12
0.5,1.221,0.4605,12
0.12,0.018,0.0075,4
0.39,0.6275,0.276,13
0.365,0.441,0.1515,9
0.48,1.21,0.53,11
0.35,0.635,0.352,6
0.515,1.4415,0.7055,10
0.31,0.2805,0.1125,8
0.335,0.334,0.1355,7
0.385,0.5125,0.2075,10
0.42,0.74,0.3595,8
0.495,1.234,0.6335,13
0.47,1.7855,0.675,13
0.49,1.1955,0.5845,9
0.53,1.4135,0.667,13
0.485,1.073,0.467,11
0.52,1.494,0.7365,9
0.42,0.7385,0.321,11
0.28,0.218,0.0995,7
0.355,0.4495,0.201,8
0.44,0.8025,0.35,9
0.4,0.615,0.2865,8
0.385,0.791,0.375,10
0.44,0.966,0.439,10
