@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.475,0.275,10
F,0.475,0.265,10
M,0.52,0.365,9
I,0.195,0.021,4
I,0.27,0.056,8
I,0.285,0.0675,6
I,0.365,0.123,7
M,0.4,0.1985,9
M,0.45,0.307,10
F,0.515,0.331,11
F,0.565,0.3875,11
I,0.25,0.0455,6
I,0.4,0.17,8
M,0.365,0.15,8
I,0.425,0.21,8
F,0.45,0.2895,9
M,0.47,0.265,10
M,0.49,0.233,10
M,0.52,0.367,11
M,0.485,0.355,10
M,0.55,0.44,11
M,0.475,0.322,9
M,0.47,0.276,9
M,0.505,0.395,11
M,0.51,0.364,12
M,0.52,0.385,11
I,0.17,0.017,4
M,0.4,0.184,9
M,0.415,0.1345,9
F,0.43,0.221,8
I,0.325,0.103,8
I,0.32,0.094,7
M,0.405,0.1455,10
F,0.49,0.3105,10
F,0.39,0.185,9
M,0.36,0.19,10
M,0.425,0.48,20
M,0.44,0.3,10
I,0.2,0.035,7
M,0.44,0.29,11
M,0.335,0.16,11
I,0.25,0.06,9
M,0.34,0.125,10
F,0.505,0.4,12
F,0.485,0.42,13
M,0.525,0.395,14
F,0.55,0.44,13
F,0.52,0.37,12
F,0.485,0.33,14
F,0.475,0.305,13
F,0.5,0.345,14
M,0.45,0.22,14
M,0.26,0.0655,9
F,0.555,0.52,19
I,0.285,0.07,8
M,0.255,0.057,8
I,0.13,0.009,5
F,0.375,0.1945,12
M,0.395,0.2495,18
M,0.395,0.185,9
F,0.48,0.371,8
I,0.265,0.06,5
I,0.27,0.063,6
I,0.35,0.131,8
F,0.39,0.146,8
F,0.58,0.4375,9
M,0.44,0.23,8
M,0.44,0.225,8
F,0.5,0.32,11
I,0.265,0.056,6
I,0.355,0.12,8
I,0.455,0.285,8
F,0.52,0.432,11
M,0.515,0.325,10
M,0.46,0.365,10
F,0.49,0.3045,11
F,0.5,0.37,9
M,0.525,0.4305,10
F,0.565,0.5675,13
I,0.32,0.1,8
I,0.35,0.1355,9
I,0.45,0.217,9
F,0.49,0.35,10
M,0.45,0.2935,10
M,0.31,0.184,9
M,0.375,0.2475,9
F,0.5,0.3235,11
M,0.465,0.2695,9
I,0.42,0.2255,9
F,0.42,0.2875,13
I,0.48,0.306,12
M,0.49,0.354,12
F,0.365,0.1325,8
M,0.385,0.175,10
M,0.445,0.24,9
M,0.54,0.4285,11
F,0.535,0.453,14
F,0.45,0.37,12
F,0.465,0.19,14
M,0.395,0.285,19
F,0.4,0.17,9
F,0.41,0.25,12
M,0.225,0.05,9
I,0.225,0.045,9
M,0.47,0.35,16
M,0.27,0.07,6
I,0.39,0.26,19
F,0.41,0.225,10
I,0.46,0.33,13
F,0.35,0.155,8
I,0.38,0.18,12
I,0.55,0.655,10
F,0.275,0.07,10
I,0.175,0.019,6
F,0.55,0.515,11
F,0.575,0.585,10
I,0.3,0.082,6
M,0.315,0.097,8
I,0.33,0.1025,7
I,0.135,0.01,4
I,0.31,0.083,6
I,0.39,0.1555,8
M,0.475,0.245,9
I,0.28,0.0605,7
I,0.27,0.0655,6
M,0.495,0.355,9
F,0.485,0.36,10
M,0.465,0.278,10
M,0.385,0.19,8
M,0.445,0.3,10
F,0.5,0.39,12
I,0.375,0.1765,8
M,0.525,0.657,11
M,0.55,0.445,11
I,0.25,0.041,6
F,0.455,0.2845,11
M,0.475,0.308,9
F,0.485,0.296,10
