@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5-6,9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.555,0.765,0.3945,8
0.555,0.9005,0.3845,11
0.575,0.9965,0.417,8
0.58,0.834,0.428,8
0.585,0.913,0.4305,10
0.61,1.1155,0.3835,10
0.625,1.362,0.6765,10
0.63,1.1965,0.514,8
0.635,1.489,0.715,13
0.645,1.363,0.573,10
0.665,1.2915,0.631,11
0.71,1.9805,0.9925,12
0.72,2.125,1.1455,13
0.465,0.5795,0.295,7
0.5,1.0615,0.494,9
0.515,0.9225,0.4185,9
0.525,0.9605,0.438,10
0.525,0.65,0.303,7
0.535,0.771,0.3765,8
0.575,0.8145,0.403,10
0.58,1.48,0.6535,10
0.6,1.038,0.4975,9
0.635,1.172,0.445,11
0.31,0.1275,0.0565,7
0.365,0.197,0.0815,6
0.365,0.223,0.098,7
0.415,0.2815,0.1245,6
0.51,0.7005,0.347,10
0.515,0.6725,0.2555,10
0.52,0.6375,0.308,9
0.525,0.6965,0.3045,8
0.55,0.7995,0.295,10
0.575,0.9765,0.495,9
0.575,0.992,0.432,10
0.58,0.7905,0.3525,10
0.61,0.957,0.4255,8
0.625,1.09,0.46,11
0.635,1.3405,0.5065,11
0.7,1.4405,0.6565,12
0.135,0.029,0.0125,4
0.285,0.0935,0.031,6
0.29,0.1115,0.048,5
0.325,0.1745,0.0875,7
0.47,0.441,0.167,10
0.51,0.6855,0.2875,9
0.58,1.063,0.513,9
0.59,1.115,0.5165,10
0.66,1.5655,0.7345,9
0.42,0.355,0.1895,6
0.5,0.6355,0.277,8
0.535,0.699,0.3125,8
0.685,1.7725,0.813,11
0.5,0.651,0.273,11
0.5,0.66,0.2655,19
0.49,0.5395,0.2175,11
0.585,1.04,0.434,10
0.675,1.6885,0.562,15
0.475,0.4555,0.177,9
0.435,0.4585,0.192,11
0.565,0.7145,0.3055,12
0.56,0.932,0.361,9
0.32,0.1735,0.076,7
0.47,0.4665,0.2025,10
0.745,1.966,0.8435,18
0.61,1.2715,0.4915,12
0.38,0.2735,0.115,6
0.575,0.925,0.342,12
0.58,1.071,0.3,14
0.43,0.3675,0.1355,13
0.27,0.081,0.0265,6
0.68,1.596,0.525,21
0.57,0.9245,0.3445,19
0.595,1.366,0.5065,13
0.625,1.352,0.4505,13
0.37,0.2225,0.0805,7
0.46,0.4755,0.2105,8
0.355,0.2275,0.0935,11
0.55,0.869,0.3155,10
0.655,1.259,0.487,20
0.42,0.352,0.1635,9
0.385,0.3315,0.1365,7
0.38,0.3215,0.1545,9
0.52,0.8045,0.3325,10
0.415,0.385,0.167,7
0.55,0.775,0.302,23
0.31,0.1455,0.0605,7
0.545,0.7745,0.2985,11
0.61,1.0385,0.4435,14
0.5,0.762,0.3795,14
0.44,0.435,0.159,16
0.58,1.017,0.3515,10
0.35,0.2145,0.1,13
0.52,0.525,0.1775,11
0.5,0.528,0.2125,9
0.37,0.27,0.1125,9
0.585,1.099,0.3975,20
0.615,1.2985,0.5135,14
0.46,0.6105,0.1955,14
0.63,1.235,0.5115,11
0.4,0.2935,0.096,9
0.31,0.2885,0.118,6
0.5,0.7715,0.37,8
0.525,0.872,0.4625,9
0.59,1.09,0.5,9
0.66,1.791,0.733,15
0.7,1.6015,0.707,10
0.73,2.0165,1.0685,10
0.205,0.04,0.02,4
0.23,0.064,0.0215,5
0.28,0.106,0.0415,5
0.45,0.468,0.2005,8
0.46,0.4215,0.1895,6
0.465,0.486,0.231,9
0.5,0.494,0.218,7
0.515,0.646,0.285,9
0.57,0.8585,0.3905,8
0.615,1.327,0.6,10
0.615,1.2,0.5085,8
0.645,1.251,0.5355,9
0.65,1.4415,0.741,9
0.355,0.2275,0.0955,6
0.44,0.4215,0.173,7
0.485,0.5535,0.266,8
0.585,0.6955,0.3085,8
0.595,0.852,0.4215,9
0.615,1.103,0.4635,10
0.65,1.122,0.545,9
0.19,0.0315,0.0125,3
0.45,0.3505,0.1615,7
0.455,0.486,0.261,8
0.525,0.607,0.2355,8
0.545,0.9475,0.366,8
0.6,1.285,0.6095,9
0.625,1.205,0.5175,10
0.325,0.1525,0.072,6
0.52,0.77,0.424,7
0.645,1.1665,0.4935,9
0.445,0.336,0.1555,7
0.51,0.5775,0.231,9
0.53,0.616,0.292,8
0.58,0.9525,0.4315,11
0.62,0.9545,0.455,9
0.63,1.2615,0.5505,10
0.63,1.2795,0.618,9
0.64,1.4585,0.625,11
0.65,1.676,0.693,15
0.67,1.527,0.5755,12
0.67,1.482,0.739,10
0.685,1.533,0.667,10
0.72,2.0885,0.9955,13
0.505,0.693,0.391,8
0.535,0.775,0.368,8
0.75,2.2635,0.821,12
0.255,0.074,0.0305,4
0.395,0.253,0.1155,6
0.435,0.3535,0.156,7
0.5,0.5285,0.226,8
0.59,0.974,0.453,8
0.655,1.204,0.5455,9
0.68,1.494,0.615,11
0.685,1.545,0.686,10
0.425,0.3075,0.139,7
0.575,0.9465,0.4355,9
0.18,0.033,0.0145,5
0.55,0.765,0.33,9
0.525,0.792,0.316,13
0.45,0.3955,0.147,9
0.49,0.539,0.229,12
0.72,2.2695,0.8835,16
0.585,1.0835,0.3745,14
0.57,1.0915,0.452,14
0.64,1.2355,0.4435,14
0.64,1.3765,0.44,16
0.57,0.96,0.387,11
0.635,1.467,0.5825,15
0.435,0.459,0.197,9
0.43,0.366,0.1705,6
0.595,1.107,0.402,12
0.52,0.7735,0.297,17
0.485,0.4775,0.2,12
0.565,0.868,0.348,11
0.53,0.738,0.2845,9
0.66,1.67,0.6525,11
0.62,1.166,0.483,13
0.345,0.163,0.0615,10
0.55,0.8095,0.2985,12
0.635,1.3655,0.6255,16
0.385,0.314,0.146,10
0.51,0.7005,0.312,11
0.495,0.515,0.175,13
0.48,0.59,0.232,12
0.445,0.4075,0.1365,11
0.61,1.097,0.4215,13
0.54,0.9715,0.3225,19
0.475,0.588,0.237,10
0.46,0.44,0.19,8
0.53,0.879,0.28,10
0.34,0.1765,0.0785,7
0.48,0.5785,0.25,8
0.43,0.378,0.188,6
0.5,0.596,0.3015,8
0.525,0.7115,0.3205,7
0.615,1.403,0.6715,8
0.64,1.1435,0.4915,9
0.4,0.314,0.1545,6
0.4,0.33,0.151,6
0.46,0.384,0.1795,8
0.495,0.594,0.28,7
0.575,0.895,0.3605,9
0.6,0.776,0.3545,9
0.625,1.273,0.564,9
0.42,0.325,0.1245,7
0.59,1.0425,0.4635,10
0.485,0.426,0.163,8
0.525,0.657,0.2985,10
0.545,0.654,0.2945,10
0.63,1.217,0.5515,11
0.63,1.306,0.516,9
0.78,2.548,1.1945,11
0.5,0.7865,0.332,8
0.625,1.223,0.565,10
0.4,0.3225,0.143,6
0.43,0.32,0.118,7
0.525,0.6055,0.2605,9
0.56,0.898,0.3895,9
0.62,1.2555,0.527,11
0.625,1.177,0.5055,9
0.655,1.472,0.6275,13
0.675,1.5545,0.6645,12
0.695,1.361,0.5465,10
0.68,1.543,0.7525,11
0.615,0.9525,0.3915,9
0.655,1.4155,0.508,18
0.49,0.656,0.2455,9
0.545,0.744,0.2875,15
0.45,0.447,0.203,12
0.455,0.458,0.1985,10
0.56,1.0285,0.4535,11
0.525,0.6955,0.2405,10
0.65,1.498,0.564,16
0.235,0.058,0.022,6
0.525,0.6295,0.2555,11
0.555,1.016,0.4935,10
0.295,0.1365,0.0575,6
0.4,0.252,0.1105,6
0.525,0.7745,0.416,7
0.6,1.262,0.6245,10
0.455,0.5365,0.2855,7
0.61,1.146,0.597,8
0.68,1.473,0.713,11
0.6,0.6655,0.285,11
0.69,1.826,0.797,11
0.63,1.336,0.553,11
0.485,0.464,0.2015,8
0.55,0.741,0.348,9
0.6,1.0105,0.423,9
0.67,1.4915,0.728,9
0.675,1.1965,0.475,11
0.715,1.79,0.844,9
0.48,0.519,0.2365,7
0.46,0.4495,0.1755,8
0.5,0.516,0.197,8
0.695,1.51,0.664,10
0.475,0.4895,0.2185,8
0.585,1.053,0.458,11
0.55,0.8395,0.3155,10
