@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.495,0.7775,0.2015,15
0.56,1.011,0.3835,15
0.48,0.5885,0.2475,15
0.52,0.595,0.2105,15
0.62,1.5145,0.579,15
0.695,1.5165,0.578,15
0.605,1.114,0.3925,15
0.64,1.221,0.51,15
0.645,1.626,0.587,15
0.65,1.2425,0.487,15
0.61,1.116,0.428,15
0.605,1.437,0.469,15
0.6,1.2415,0.485,15
0.67,1.5415,0.5985,15
0.635,1.415,0.605,15
0.62,1.115,0.378,15
0.6,1.0075,0.4425,15
0.52,0.6765,0.2865,15
0.52,0.6245,0.215,15
0.495,0.6605,0.2605,15
0.565,1.0035,0.406,15
0.605,1.153,0.503,15
0.61,1.1775,0.5655,15
0.38,0.243,0.0895,7
0.475,0.5195,0.279,7
0.325,0.1915,0.085,7
0.375,0.2295,0.095,7
0.4,0.258,0.104,7
0.39,0.279,0.1155,7
0.335,0.1965,0.0875,7
0.52,1.019,0.523,7
0.355,0.204,0.3045,7
0.615,1.198,0.707,7
0.395,0.317,0.153,7
0.4,0.368,0.173,7
0.46,0.4595,0.235,7
0.435,0.411,0.2025,7
0.485,0.637,0.38,7
0.425,0.3785,0.1705,7
0.39,0.3095,0.147,7
0.36,0.2205,0.0985,7
0.45,0.478,0.191,7
0.505,0.6005,0.239,7
0.43,0.3855,0.192,7
0.35,0.2,0.09,7
0.37,0.22,0.094,7
0.56,0.9,0.472,7
0.35,0.211,0.086,7
0.505,0.583,0.246,7
0.44,0.35,0.148,7
0.33,0.2085,0.102,7
0.435,0.3685,0.1615,7
0.305,0.156,0.0675,7
0.34,0.185,0.0625,7
0.405,0.2875,0.128,7
0.365,0.205,0.078,7
0.41,0.2805,0.114,7
0.46,0.4915,0.2205,7
0.31,0.1515,0.056,7
0.505,0.6435,0.3135,7
0.555,0.7075,0.332,7
0.265,0.084,0.0365,7
0.405,0.268,0.1145,7
0.52,0.6645,0.3285,7
0.47,0.4155,0.167,7
0.465,0.4705,0.1955,7
0.465,0.467,0.2315,7
0.32,0.129,0.0615,7
0.395,0.293,0.14,7
0.435,0.3915,0.154,7
0.46,0.511,0.2365,7
0.3,0.1425,0.057,7
0.33,0.14,0.0565,7
0.35,0.4015,0.1725,7
0.42,0.3415,0.1645,7
0.41,0.335,0.1525,7
0.48,0.6015,0.312,7
0.405,0.385,0.173,7
0.32,0.1755,0.073,7
0.39,0.2225,0.095,7
0.275,0.1035,0.0475,7
0.425,0.3055,0.126,7
0.405,0.271,0.0965,7
0.375,0.257,0.1045,7
0.43,0.391,0.1555,7
0.295,0.129,0.05,7
0.375,0.3155,0.187,7
0.425,0.3975,0.1815,7
0.36,0.1845,0.083,7
0.37,0.2655,0.122,7
0.285,0.1185,0.055,7
0.585,0.938,0.467,7
0.415,0.3335,0.1445,7
0.465,0.5055,0.234,7
0.52,0.8115,0.4035,7
0.52,0.6435,0.2885,7
0.36,0.2315,0.105,7
0.355,0.2255,0.11,7
0.36,0.465,0.21,7
0.37,0.2295,0.0885,7
0.36,0.196,0.0905,7
0.45,0.362,0.1575,7
0.35,0.2965,0.1365,7
0.445,0.409,0.1675,7
0.405,0.2825,0.112,7
0.535,0.7315,0.336,7
0.39,0.564,0.3035,7
0.515,0.572,0.237,7
0.385,0.232,0.0855,7
0.38,0.1375,0.086,7
0.475,0.689,0.3165,7
0.39,0.2665,0.1105,7
0.365,0.196,0.0825,7
0.34,0.2225,0.104,7
0.495,0.512,0.233,7
0.47,0.5225,0.201,7
0.46,0.466,0.2225,7
0.365,0.24,0.108,7
0.47,0.544,0.27,7
0.49,0.5225,0.235,7
0.39,0.2845,0.1255,7
0.275,0.086,0.0305,7
0.485,0.6025,0.2935,7
0.33,0.205,0.0895,7
0.435,0.3295,0.129,7
0.405,0.3035,0.15,7
0.37,0.2685,0.1165,7
0.32,0.17,0.0655,7
0.41,0.33,0.157,7
0.375,0.3005,0.1255,7
0.395,0.319,0.138,7
0.525,0.654,0.305,7
0.45,0.494,0.2205,7
0.43,0.397,0.1985,7
0.425,0.3675,0.1865,7
0.46,0.4255,0.2015,7
0.28,0.0895,0.036,7
0.42,0.316,0.1255,7
0.39,0.2625,0.117,7
0.485,0.4785,0.1995,7
0.39,0.3265,0.1665,7
0.45,0.3935,0.195,7
0.365,0.2225,0.0935,7
0.425,0.361,0.134,7
0.515,0.7355,0.3065,7
0.36,0.1865,0.0675,7
0.475,0.5205,0.233,7
0.28,0.1085,0.041,7
0.545,0.8035,0.409,7
0.375,0.226,0.0975,7
0.365,0.213,0.0945,7
0.43,0.3465,0.1635,7
0.38,0.6475,0.323,7
0.545,0.7865,0.403,7
0.435,0.3215,0.13,7
0.355,0.187,0.078,7
0.47,0.4485,0.156,7
0.565,0.667,0.302,7
0.435,0.38,0.1515,7
0.44,0.379,0.1725,7
0.61,1.2795,0.5735,7
0.45,0.4115,0.18,7
0.44,0.365,0.1655,7
0.415,0.313,0.139,7
0.58,1.1155,0.5575,7
0.38,0.286,0.1305,7
0.415,0.3355,0.1545,7
0.465,0.445,0.1635,7
0.265,0.084,0.034,7
0.475,0.486,0.1735,7
0.4,0.127,0.106,7
0.55,0.9235,0.412,7
0.545,0.7835,0.4225,7
0.465,0.474,0.23,7
0.365,0.2215,0.105,7
0.4,0.303,0.1335,7
0.44,0.495,0.231,7
0.545,0.778,0.3745,7
0.265,0.0975,0.04,7
0.585,0.9555,0.4595,7
0.455,0.5325,0.225,7
0.375,0.2145,0.0855,7
0.415,0.336,0.165,7
0.53,0.775,0.308,7
0.455,0.501,0.274,7
0.33,0.19,0.0765,7
0.435,0.346,0.159,7
0.38,0.2885,0.165,7
0.305,0.1485,0.0585,7
0.435,0.418,0.222,7
0.445,0.378,0.1795,7
0.57,0.9035,0.4075,7
0.515,0.625,0.3265,7
0.37,0.2065,0.096,7
0.53,0.6515,0.2715,7
0.485,0.9145,0.4145,7
0.415,0.4665,0.2285,7
0.425,0.4425,0.175,7
0.32,0.183,0.098,7
0.435,0.366,0.174,7
0.48,0.524,0.246,7
0.46,0.449,0.196,7
0.355,0.251,0.097,7
0.46,0.4635,0.2325,7
0.485,0.556,0.296,7
0.495,0.61,0.272,7
0.475,0.498,0.2375,7
0.375,0.597,0.272,7
0.33,0.1715,0.0655,7
0.485,0.513,0.219,7
0.54,0.56,0.2375,7
0.37,0.218,0.0995,7
0.5,0.6215,0.274,7
0.365,0.2555,0.097,7
0.35,0.1855,0.0745,7
0.31,0.1345,0.054,7
0.44,0.38,0.197,7
0.465,0.534,0.261,7
0.62,1.127,0.535,7
0.505,0.5445,0.246,7
0.43,0.3645,0.159,7
0.35,0.197,0.073,7
0.38,0.258,0.1055,7
0.475,0.1315,0.2025,7
0.425,0.3295,0.1365,7
0.385,0.2895,0.1215,7
0.27,0.106,0.0465,7
0.475,0.459,0.2175,7
0.51,0.6925,0.327,7
0.355,0.2905,0.095,7
0.315,0.1715,0.071,7
0.485,0.568,0.2505,7
0.525,0.7945,0.394,7
0.44,0.39,0.163,7
0.515,0.5625,0.25,7
0.51,0.5785,0.238,7
0.41,0.3535,0.157,7
0.575,0.948,0.429,7
0.43,0.3645,0.1575,7
0.415,0.358,0.169,7
0.325,0.1735,0.0765,7
0.375,0.22,0.109,7
0.48,0.6315,0.3445,7
0.51,0.769,0.3655,7
0.46,0.3755,0.1525,7
0.235,0.0515,0.018,7
0.465,0.4955,0.2665,7
0.335,0.181,0.0755,7
0.39,0.3055,0.121,7
0.37,0.2865,0.1505,7
0.51,0.6025,0.281,7
0.36,0.27,0.1185,7
0.59,1.046,0.4695,7
0.315,0.1285,0.043,7
0.5,0.5495,0.248,7
0.375,0.218,0.0945,7
0.72,1.445,0.631,7
0.475,0.5735,0.311,7
0.205,0.0425,0.017,7
0.385,0.257,0.119,7
0.305,0.156,0.0675,7
0.335,0.186,0.0945,7
0.35,0.2255,0.0995,7
0.4,0.2815,0.1185,7
0.575,0.9945,0.466,7
0.44,0.3885,0.175,7
0.425,0.301,0.1385,7
0.33,0.187,0.0945,7
0.505,0.594,0.2595,7
0.555,0.963,0.44,7
0.375,0.144,0.059,7
0.475,0.4285,0.1965,7
0.515,0.7125,0.3695,7
0.275,0.1165,0.0565,7
0.375,0.282,0.1405,7
0.58,0.839,0.3485,7
0.495,0.573,0.2655,7
0.37,0.1855,0.07,7
0.465,0.4415,0.1755,7
0.5,0.5695,0.259,7
0.49,0.5265,0.249,7
0.325,0.176,0.0595,7
0.465,0.442,0.2085,7
0.36,0.2055,0.096,7
0.435,0.4475,0.221,7
0.405,0.324,0.1265,7
0.39,0.281,0.1275,7
0.505,0.775,0.3445,7
0.345,0.2455,0.111,7
0.38,0.2305,0.1005,7
0.335,0.1825,0.0705,7
0.51,0.5805,0.2865,7
0.445,0.4895,0.2745,7
0.5,0.5745,0.306,7
0.535,0.657,0.2835,7
0.335,0.222,0.0935,7
0.36,0.2415,0.0915,7
0.455,0.484,0.2155,7
0.36,0.1785,0.0645,7
0.445,0.4035,0.169,7
0.45,0.3715,0.1865,7
0.445,0.4195,0.1695,7
0.455,0.4555,0.1945,7
0.385,0.2535,0.103,7
0.44,0.3705,0.1545,7
0.39,0.344,0.181,7
0.5,0.6725,0.336,7
0.4,0.3415,0.176,7
0.63,1.1885,0.4915,7
0.535,0.818,0.402,7
0.505,0.723,0.377,7
0.425,0.3515,0.1625,7
0.415,0.3045,0.1215,7
0.505,0.6125,0.267,7
0.29,0.1165,0.043,7
0.405,0.32,0.172,7
0.495,0.44,0.177,7
0.28,0.1135,0.045,7
0.415,0.3905,0.1925,7
0.48,0.542,0.2795,7
0.345,0.2135,0.082,7
0.53,0.5965,0.2555,7
0.475,0.4905,0.2035,7
0.46,0.4675,0.2125,7
0.495,0.5125,0.2185,7
0.325,0.173,0.0795,7
0.37,0.2445,0.089,7
0.31,0.15,0.0525,7
0.41,0.282,0.1255,7
0.43,0.425,0.217,7
0.46,0.4605,0.1775,7
0.375,0.2385,0.118,7
0.55,0.952,0.4895,7
0.425,0.3335,0.173,7
0.335,0.2015,0.096,7
0.385,0.302,0.152,7
0.365,0.196,0.0865,7
0.405,0.2825,0.114,7
0.38,0.2285,0.088,7
0.36,0.217,0.084,7
0.315,0.149,0.058,7
0.425,0.303,0.131,7
0.395,0.3,0.158,7
0.45,0.4195,0.181,7
0.42,0.43,0.175,7
0.285,0.1005,0.0425,7
0.385,0.335,0.147,7
0.35,0.1765,0.072,7
0.33,0.1965,0.0915,7
0.435,0.4195,0.194,7
0.365,0.2345,0.108,7
0.42,0.3625,0.174,7
0.435,0.3245,0.135,7
0.435,0.298,0.109,7
0.475,0.4175,0.1645,7
0.385,0.343,0.1705,7
0.52,0.5545,0.2355,7
0.395,0.313,0.131,7
0.435,0.4385,0.2075,7
0.455,0.4445,0.213,7
0.35,0.17,0.0725,7
0.375,0.2165,0.0935,7
0.41,0.3305,0.1405,7
0.44,0.407,0.209,7
0.445,0.414,0.199,7
0.425,0.3685,0.162,7
0.46,0.4155,0.198,7
0.41,0.2645,0.1,7
0.5,0.6425,0.3195,7
0.46,0.4155,0.18,7
0.435,0.334,0.1355,7
0.355,0.2235,0.0815,7
0.33,0.1875,0.0735,7
0.39,0.252,0.1065,7
0.58,0.93,0.385,9
0.575,0.857,0.3665,9
0.4,0.2775,0.1245,9
0.46,0.3945,0.1685,9
0.63,1.0915,0.4615,9
0.67,1.6385,0.8115,9
0.58,0.814,0.3775,9
0.545,0.687,0.2615,9
0.545,0.793,0.434,9
0.61,1.052,0.498,9
0.55,0.8705,0.4455,9
0.62,1.056,0.493,9
0.57,1.02,0.546,9
0.595,0.919,0.4335,9
0.625,1.115,0.484,9
0.59,1.151,0.613,9
0.62,1.1945,0.5105,9
0.375,0.276,0.1175,9
0.565,0.784,0.3495,9
0.575,0.9785,0.4505,9
0.505,0.6115,0.245,9
0.545,0.778,0.368,9
0.53,0.6615,0.2945,9
0.46,0.5735,0.2505,9
0.56,0.903,0.3575,9
0.725,1.51,0.8735,9
0.52,0.646,0.2965,9
0.52,0.663,0.3005,9
0.54,0.8115,0.3875,9
0.69,1.454,0.624,9
0.63,1.1315,0.481,9
0.525,0.6965,0.369,9
0.565,0.802,0.3595,9
0.505,0.635,0.29,9
0.34,0.213,0.081,9
0.45,0.438,0.1805,9
0.545,0.6765,0.29,9
0.46,0.447,0.161,9
0.575,1.0225,0.549,9
0.575,0.9895,0.495,9
0.575,0.927,0.333,9
0.565,0.836,0.406,9
0.615,0.923,0.4615,9
0.525,0.7555,0.3755,9
0.64,1.006,0.456,9
0.66,1.3195,0.667,9
0.445,0.515,0.2495,9
0.565,0.9255,0.4345,9
0.615,1.027,0.447,9
0.295,0.1385,0.048,9
0.55,0.897,0.377,9
0.53,0.7245,0.321,9
0.62,1.2705,0.5415,9
0.685,1.5845,0.7175,9
0.665,1.2975,0.6075,9
0.575,1.0535,0.516,9
0.67,1.4005,0.715,9
0.505,0.644,0.2475,9
0.515,0.573,0.213,9
0.65,1.238,0.647,9
0.625,1.044,0.438,9
0.6,1.059,0.504,9
0.595,1.04,0.452,9
0.57,0.908,0.4015,9
0.35,0.1915,0.08,9
0.35,0.195,0.0745,9
0.645,1.3815,0.672,9
0.5,0.559,0.2375,9
0.54,0.9455,0.3675,9
0.47,0.4205,0.163,9
0.5,0.5605,0.28,9
0.545,0.832,0.4355,9
0.535,0.6885,0.273,9
0.595,1.0155,0.491,9
0.59,0.86,0.437,9
0.55,0.797,0.297,9
0.46,0.5165,0.1885,9
0.59,1.007,0.4775,9
0.66,1.4045,0.6255,9
0.59,0.755,0.334,9
0.59,1.142,0.485,9
0.525,0.8355,0.3545,9
0.58,0.953,0.475,9
0.55,0.7305,0.3325,9
0.625,1.3235,0.6075,9
0.645,1.2095,0.603,9
0.615,1.059,0.4735,9
0.56,0.8825,0.3465,9
0.575,1.114,0.4955,9
0.335,0.17,0.062,9
0.575,0.785,0.318,9
0.555,0.7905,0.3485,9
0.6,1.247,0.5335,9
0.555,0.7665,0.341,9
0.49,0.674,0.3325,9
0.575,0.78,0.3275,9
0.485,0.5565,0.2215,9
0.64,1.5335,0.6635,9
0.53,0.7905,0.307,9
0.595,1.0045,0.4655,9
0.54,0.7505,0.368,9
0.42,0.3915,0.1575,9
0.58,1.0165,0.491,9
0.665,1.4355,0.643,9
0.475,0.4535,0.203,9
0.44,0.375,0.1425,9
0.625,1.179,0.605,9
0.435,0.38,0.1695,9
0.58,0.984,0.49,9
0.53,0.575,0.247,9
0.515,0.5805,0.2365,9
0.505,0.653,0.3315,9
0.36,0.1975,0.0745,9
0.575,0.839,0.4005,9
0.5,0.537,0.2165,9
0.455,0.462,0.1675,9
0.5,0.7145,0.3235,9
0.355,0.271,0.1425,9
0.645,1.192,0.6055,9
0.44,0.438,0.2115,9
0.64,1.4545,0.642,9
0.61,1.3305,0.783,9
0.625,1.38,0.5845,9
0.525,0.596,0.2805,9
0.565,0.895,0.415,9
0.435,0.4075,0.1535,9
0.725,2.3305,1.253,9
0.36,0.199,0.0695,9
0.625,1.1415,0.5795,9
0.635,1.154,0.4405,9
0.515,0.4725,0.1815,9
0.41,0.306,0.121,9
0.53,0.702,0.2975,9
0.61,1.0835,0.4525,9
0.605,1.1175,0.555,9
0.29,0.152,0.071,9
0.525,0.622,0.2655,9
0.53,0.6765,0.256,9
0.56,0.9705,0.4315,9
0.575,0.958,0.442,9
0.455,0.4925,0.216,9
0.525,0.6095,0.248,9
0.525,0.6315,0.3045,9
0.53,0.7835,0.313,9
0.515,0.578,0.191,9
0.475,0.456,0.182,9
0.595,0.921,0.4005,9
0.67,1.2565,0.5355,9
0.295,0.124,0.0485,9
0.54,0.6275,0.2505,9
0.53,0.677,0.2565,9
0.61,1.022,0.449,9
0.58,0.93,0.408,9
0.575,0.8455,0.401,9
0.63,1.1955,0.5845,9
0.625,1.331,0.5725,9
0.405,0.347,0.1605,9
0.6,0.877,0.4325,9
0.555,0.738,0.304,9
0.535,0.728,0.2845,9
0.415,0.3895,0.2015,9
0.6,0.9165,0.4135,9
0.525,0.664,0.3115,9
0.685,1.4545,0.6315,9
0.635,1.2915,0.594,9
0.505,0.674,0.3165,9
0.45,0.448,0.208,9
0.45,0.425,0.1865,9
0.7,1.751,0.895,9
0.595,1.057,0.4255,9
0.59,1.077,0.4545,9
0.485,0.457,0.1885,9
0.605,0.9775,0.468,9
0.57,0.9415,0.3805,9
0.49,0.5755,0.22,9
0.585,1.058,0.486,9
0.61,1.438,0.5185,9
0.585,0.7635,0.326,9
0.585,0.97,0.462,9
0.6,1.13,0.575,9
0.4,0.417,0.191,9
0.595,0.9125,0.4095,9
0.575,1.099,0.4735,9
0.595,1.1775,0.542,9
0.635,1.1565,0.5115,9
0.515,0.516,0.2015,9
0.625,1.025,0.46,9
0.55,0.806,0.3415,9
0.555,0.873,0.4625,9
0.55,1.1655,0.502,9
0.58,0.701,0.3285,9
0.485,0.5885,0.27,9
0.58,1.041,0.54,9
0.505,0.596,0.245,9
0.705,1.219,0.6395,9
0.545,1.1185,0.5425,9
0.615,1.4335,0.7315,9
0.46,0.5105,0.192,9
0.565,0.83,0.393,9
0.515,0.565,0.235,9
0.44,0.4775,0.132,9
0.57,0.803,0.382,9
0.59,0.9765,0.4525,9
0.36,0.2105,0.066,9
0.61,1.281,0.597,9
0.535,0.725,0.269,9
0.5,0.5765,0.273,9
0.655,1.5475,0.713,9
0.545,0.82,0.4615,9
0.44,0.482,0.186,9
0.5,0.6765,0.302,9
0.53,0.8255,0.375,9
0.5,0.5075,0.2115,9
0.475,0.4625,0.186,9
0.57,0.7745,0.3535,9
0.62,1.195,0.4605,9
0.56,0.8875,0.3345,9
0.65,1.3825,0.702,9
0.64,1.3185,0.6185,9
0.495,0.7555,0.3355,9
0.605,0.8025,0.379,9
0.475,0.447,0.1695,9
0.535,0.7145,0.335,9
0.31,0.1295,0.0455,9
0.615,1.12,0.5775,9
0.465,0.452,0.22,9
0.605,0.862,0.334,9
0.42,0.28,0.094,9
0.425,0.3755,0.142,9
0.545,0.8,0.3535,9
0.44,0.487,0.226,9
0.5,0.528,0.229,9
0.565,1.0095,0.447,9
0.65,1.3105,0.577,9
0.53,0.7675,0.419,9
0.63,1.1005,0.52,9
0.48,0.777,0.216,9
0.62,1.0405,0.464,9
0.5,0.6155,0.241,9
0.425,0.359,0.173,9
0.56,0.967,0.4525,9
0.39,0.3055,0.143,9
0.635,1.2615,0.5385,9
0.535,0.6025,0.2895,9
0.525,0.6875,0.3435,9
0.425,0.4405,0.152,9
0.45,0.4715,0.2035,9
0.4,0.2795,0.1115,9
0.63,1.147,0.5455,9
0.65,1.469,0.7115,9
0.38,0.283,0.1175,9
0.625,1.136,0.5265,9
0.615,1.084,0.5885,9
0.54,0.7265,0.3205,9
0.6,1.11,0.5105,9
0.44,0.501,0.2435,9
0.625,1.2415,0.6575,9
0.355,0.3275,0.134,9
0.65,1.3875,0.58,9
0.575,0.9215,0.354,9
0.66,1.5905,0.6425,9
0.53,0.7045,0.346,9
0.52,0.6595,0.2485,9
0.44,0.379,0.162,9
0.645,1.4745,0.605,9
0.61,1.142,0.62,9
0.565,0.768,0.3305,9
0.59,0.998,0.445,9
0.555,0.9685,0.4985,9
0.675,1.4785,0.628,9
0.57,0.9795,0.397,9
0.325,0.155,0.0475,9
0.56,0.894,0.3885,9
0.5,0.542,0.215,9
0.375,0.253,0.096,9
0.5,0.7815,0.361,9
0.655,1.494,0.6895,9
0.335,0.1975,0.0795,9
0.61,1.1185,0.5225,9
0.405,0.3555,0.151,9
0.615,1.296,0.545,9
0.455,0.372,0.138,9
0.58,0.9615,0.486,9
0.61,1.024,0.409,9
0.6,1.0265,0.485,9
0.53,0.632,0.2715,9
0.41,0.301,0.124,9
0.555,0.812,0.4055,9
0.605,1.1185,0.469,9
0.37,0.234,0.0905,9
0.445,0.4475,0.193,9
0.43,0.397,0.1575,9
0.425,0.4085,0.1755,9
0.56,0.8205,0.3715,9
0.53,0.6355,0.2635,9
0.625,1.3745,0.7335,9
0.605,1.1345,0.5265,9
0.505,0.625,0.305,9
0.605,1.201,0.417,9
0.595,1.0765,0.491,9
0.5,0.6615,0.2585,9
0.575,0.7955,0.3485,9
0.335,0.1785,0.071,9
0.41,0.3555,0.146,9
0.585,0.9325,0.365,9
0.625,1.264,0.5715,9
0.605,1.167,0.457,9
0.69,1.659,0.8715,9
0.54,0.6555,0.2705,9
0.64,1.1285,0.477,9
0.59,1.004,0.496,9
0.58,1.165,0.65,9
0.56,0.974,0.547,9
0.575,0.872,0.4675,9
0.495,0.5415,0.2375,9
0.605,0.974,0.393,9
0.44,0.394,0.157,9
0.625,1.082,0.4955,9
0.345,0.2005,0.094,9
0.58,0.844,0.3645,9
0.745,2.25,1.1565,9
0.485,0.498,0.2175,9
0.6,0.9625,0.4375,9
0.61,0.9225,0.436,9
0.625,1.2135,0.631,9
0.57,0.995,0.504,9
0.465,0.4075,0.1515,9
0.495,0.976,0.45,9
0.485,0.869,0.3085,9
0.63,1.2525,0.63,9
0.47,0.4615,0.229,9
0.64,1.382,0.646,9
0.58,0.8295,0.3365,9
0.615,1.0375,0.476,9
0.475,0.5465,0.229,9
0.605,1.056,0.433,9
0.54,0.836,0.3725,9
0.64,1.1545,0.4865,9
0.545,0.844,0.3945,9
0.565,0.983,0.4475,9
0.56,0.8995,0.464,9
0.5,0.6215,0.2925,9
0.54,0.742,0.32,9
0.45,0.4165,0.1655,9
0.65,1.542,0.7155,9
0.51,0.681,0.3435,9
0.53,0.694,0.3905,9
0.57,0.9685,0.446,9
0.49,0.511,0.2205,9
0.575,0.869,0.435,9
0.54,0.8035,0.38,9
0.62,1.3245,0.6865,9
0.425,0.393,0.13,9
0.475,0.4865,0.2155,9
0.445,0.4235,0.182,9
0.57,0.795,0.3385,9
0.525,0.756,0.2745,9
0.52,0.6865,0.295,9
0.63,1.3205,0.5945,9
0.595,0.944,0.3625,9
0.65,1.304,0.57,9
0.51,1.2825,0.569,9
0.615,1.055,0.543,9
0.575,1.078,0.511,9
0.545,0.7405,0.3565,9
0.455,0.4495,0.177,9
0.54,0.8115,0.392,9
0.585,0.9835,0.4845,9
0.585,0.98,0.4315,9
0.44,0.4035,0.175,9
0.55,0.7635,0.318,9
0.48,0.474,0.179,9
0.645,1.285,0.5775,9
0.605,1.076,0.463,9
0.525,0.6995,0.3115,9
0.485,0.591,0.287,9
0.365,0.2205,0.0855,9
0.55,0.793,0.343,9
0.645,1.159,0.4675,9
0.67,1.4405,0.6595,9
0.55,0.717,0.3315,9
0.54,0.7345,0.33,9
0.455,0.452,0.2165,9
0.59,1.187,0.5985,9
0.35,0.209,0.066,9
0.32,0.1565,0.057,9
0.58,1.859,0.945,9
0.575,0.9175,0.45,9
0.56,0.8715,0.4755,9
0.4,0.315,0.109,9
0.54,0.8195,0.3935,9
0.53,0.706,0.3355,9
0.535,0.717,0.3475,9
0.515,0.5925,0.265,9
0.625,1.254,0.5815,9
0.5,0.5975,0.27,9
0.49,0.569,0.256,9
0.72,2.073,1.0715,9
0.505,0.729,0.2675,9
0.53,0.5745,0.2525,9
0.455,0.4725,0.215,9
0.6,1.1385,0.502,9
0.46,0.3705,0.1575,9
0.455,0.433,0.201,9
0.565,0.743,0.31,9
0.575,0.8515,0.4555,9
0.525,0.842,0.428,9
0.59,0.7715,0.328,9
0.69,1.5535,0.7945,9
0.65,1.2655,0.615,9
0.535,1.0015,0.53,9
0.59,1.262,0.5685,9
0.575,0.886,0.3605,9
0.345,0.197,0.0665,9
0.44,0.3875,0.1755,9
0.5,0.5795,0.239,9
0.645,1.33,0.6665,9
0.635,1.3555,0.619,9
0.62,1.309,0.587,9
0.58,0.9705,0.4615,9
0.53,0.741,0.325,9
0.645,1.2415,0.5815,9
0.51,0.7175,0.3725,9
0.49,0.578,0.2395,9
0.415,0.3455,0.1405,9
0.555,0.913,0.4585,9
0.625,1.124,0.556,9
0.585,0.855,0.3795,9
0.59,1.1735,0.6245,9
0.575,1.103,0.538,9
0.59,0.853,0.326,9
0.505,0.655,0.3185,9
0.475,0.4425,0.1895,9
0.465,0.421,0.1565,9
0.62,1.1605,0.6005,9
0.56,0.9415,0.509,9
0.58,0.7095,0.303,9
0.515,0.7225,0.295,9
0.58,1.1335,0.586,9
0.37,0.25,0.111,9
0.575,0.8015,0.3475,9
0.6,0.9205,0.445,9
0.605,1.1775,0.611,9
0.48,0.494,0.2385,9
0.56,0.777,0.354,9
0.615,1.224,0.6035,9
0.585,0.9565,0.4025,9
0.6,1.259,0.6405,9
0.625,1.127,0.477,9
0.51,0.5575,0.2615,9
0.59,0.9235,0.4545,9
0.585,0.6735,0.2895,9
0.445,0.455,0.1785,9
0.65,1.3455,0.586,9
0.65,1.337,0.615,9
0.515,0.6335,0.288,9
0.655,1.4095,0.586,9
0.675,1.494,0.7365,9
0.55,0.745,0.347,9
0.55,0.651,0.2965,9
0.58,0.8265,0.4035,9
0.545,0.737,0.349,9
0.49,0.591,0.271,9
0.57,0.952,0.3895,9
0.47,0.5225,0.198,9
0.52,0.872,0.4515,9
0.47,0.4915,0.1765,9
0.64,1.36,0.653,9
0.475,0.49,0.223,9
0.47,0.5795,0.293,9
0.445,0.4525,0.18,9
0.725,1.523,0.8045,9
0.555,0.8705,0.407,9
0.5,0.594,0.2945,9
