@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9'

@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.38,0.135,0.6855,0.161,9
0.41,0.14,0.7405,0.203,9
0.46,0.165,0.9155,0.2385,8
0.465,0.2,1.259,0.357,9
0.48,0.165,1.0725,0.312,9
0.5,0.175,1.1105,0.329,10
0.485,0.14,1.175,0.215,8
0.5,0.19,1.519,0.415,10
0.5,0.185,1.741,0.4685,12
0.55,0.17,1.684,0.32,11
0.575,0.24,2.21,0.5015,13
0.27,0.075,0.1775,0.054,6
0.265,0.075,0.1845,0.055,7
0.285,0.095,0.243,0.075,7
0.37,0.12,0.4365,0.147,9
0.355,0.125,0.499,0.155,8
0.375,0.13,0.6025,0.16,7
0.41,0.145,0.646,0.165,9
0.39,0.12,0.664,0.178,9
0.43,0.15,0.831,0.219,10
0.445,0.155,0.867,0.28,9
0.45,0.125,0.78,0.235,9
0.48,0.17,0.9175,0.29,8
0.48,0.18,1.0645,0.325,10
0.47,0.165,1.059,0.275,9
0.475,0.145,0.884,0.27,8
0.475,0.155,0.983,0.266,10
0.47,0.16,1.0175,0.28,10
0.54,0.165,1.139,0.357,11
0.49,0.16,1.066,0.305,11
0.49,0.165,1.1165,0.3325,11
0.485,0.15,1.044,0.278,9
0.495,0.175,1.2695,0.328,11
0.5,0.19,1.5595,0.3845,14
0.48,0.19,1.371,0.35,12
0.505,0.195,1.4405,0.363,11
0.55,0.155,1.566,0.354,10
0.575,0.215,2.009,0.502,11
0.56,0.19,1.9425,0.5655,11
0.595,0.205,2.2205,0.63,12
0.62,0.195,2.5155,0.642,12
0.335,0.105,0.422,0.1,6
0.475,0.15,1.15,0.297,10
0.525,0.19,1.6125,0.3965,11
0.535,0.175,1.5845,0.4215,9
0.55,0.185,1.679,0.3965,10
0.575,0.21,2.069,0.643,11
0.385,0.13,0.568,0.154,7
0.47,0.145,1.0285,0.285,11
0.515,0.17,1.331,0.361,9
0.525,0.18,1.429,0.4,12
0.53,0.205,1.4015,0.416,12
0.24,0.07,0.133,0.041,6
0.27,0.085,0.196,0.053,7
0.275,0.085,0.22,0.0605,7
0.365,0.135,0.522,0.145,10
0.4,0.14,0.6335,0.168,9
0.39,0.135,0.7815,0.2385,9
0.43,0.16,0.844,0.231,9
0.45,0.12,0.8685,0.2605,8
0.435,0.15,0.839,0.192,7
0.575,0.215,2.1,0.602,12
0.555,0.18,1.6895,0.4935,10
0.29,0.1,0.25,0.085,10
0.49,0.17,1.2105,0.335,13
0.29,0.09,0.232,0.08,7
0.4,0.125,0.5765,0.185,10
0.31,0.1,0.127,0.085,7
0.24,0.08,0.18,0.055,6
0.33,0.115,0.4005,0.12,8
0.375,0.135,0.4935,0.17,12
0.37,0.14,0.585,0.195,10
0.305,0.105,0.3625,0.125,10
0.225,0.075,0.14,0.04,5
0.465,0.18,1.2125,0.525,27
0.38,0.135,0.486,0.185,7
0.59,0.2,1.5455,0.415,11
0.51,0.175,1.2125,0.36,14
0.48,0.23,1.0935,0.355,14
0.355,0.13,0.515,0.175,11
0.46,0.155,0.906,0.335,15
0.42,0.135,0.6295,0.215,9
0.56,0.175,1.7265,0.525,17
0.485,0.21,1.3445,0.515,20
0.525,0.2,1.449,0.505,13
0.34,0.11,0.382,0.109,8
0.43,0.15,0.7365,0.215,11
0.345,0.115,0.496,0.14,12
0.35,0.135,0.567,0.1525,11
0.25,0.09,0.197,0.0605,10
0.43,0.17,0.775,0.235,17
0.38,0.145,0.651,0.17,12
0.35,0.13,0.494,0.155,18
0.2,0.065,0.096,0.03,6
0.435,0.155,0.782,0.285,14
0.4,0.16,0.8175,0.3,23
0.435,0.17,0.884,0.28,14
0.305,0.105,0.282,0.096,9
0.4,0.145,0.6635,0.2515,13
0.38,0.145,0.57,0.187,11
0.315,0.09,0.3625,0.093,6
0.37,0.135,0.6315,0.161,7
0.475,0.135,1.4405,0.3175,9
0.5,0.185,1.362,0.384,10
0.345,0.115,0.545,0.1305,6
0.355,0.105,0.468,0.12,8
0.425,0.125,0.812,0.195,8
0.41,0.14,0.681,0.1835,6
0.45,0.155,0.948,0.259,7
0.47,0.155,1.1775,0.31,9
0.495,0.145,1.147,0.2885,9
0.545,0.205,1.933,0.498,13
0.6,0.215,2.1945,0.584,10
0.4,0.125,0.5925,0.168,9
0.495,0.185,1.3835,0.345,11
0.515,0.125,1.1805,0.3275,9
0.5,0.2,1.269,0.351,11
0.55,0.19,1.551,0.412,13
0.32,0.1,0.3075,0.09,8
0.41,0.14,0.7355,0.2,7
0.4,0.13,0.6445,0.2,8
0.425,0.145,0.89,0.236,10
0.42,0.155,0.912,0.205,9
0.44,0.14,0.825,0.245,10
0.47,0.145,0.9235,0.254,9
0.46,0.15,1.0265,0.2745,10
0.505,0.155,1.1955,0.346,11
0.17,0.05,0.0545,0.0155,5
0.265,0.095,0.196,0.0585,5
0.43,0.135,0.8435,0.1815,9
0.415,0.15,0.8115,0.2035,9
0.455,0.15,0.976,0.2765,10
0.475,0.175,1.11,0.285,9
0.5,0.13,1.082,0.25,8
0.595,0.19,2.3235,0.505,11
0.335,0.095,0.298,0.115,7
0.39,0.13,0.5075,0.1755,9
0.4,0.125,0.5935,0.204,8
0.445,0.125,0.8725,0.24,8
0.425,0.15,0.8765,0.228,8
0.48,0.17,1.056,0.3135,10
0.45,0.15,0.9625,0.2775,9
0.495,0.17,1.0915,0.335,13
0.515,0.16,1.2075,0.345,11
0.565,0.2,1.6645,0.43,12
0.525,0.16,1.277,0.394,13
0.485,0.175,1.2565,0.386,9
0.59,0.205,2.087,0.625,12
0.365,0.155,1.029,0.313,8
0.37,0.115,0.5745,0.141,7
0.43,0.165,0.9845,0.2725,8
0.515,0.17,1.4265,0.37,11
0.3,0.1,0.2665,0.084,7
0.28,0.09,0.215,0.079,8
0.32,0.105,0.3875,0.12,9
0.34,0.125,0.4045,0.1345,8
0.45,0.145,0.95,0.2845,10
0.435,0.155,0.8785,0.2425,10
0.56,0.195,1.664,0.545,11
0.395,0.115,0.5685,0.161,9
0.43,0.125,0.9115,0.121,10
0.455,0.145,0.942,0.277,11
0.465,0.18,1.193,0.3055,8
0.22,0.065,0.1235,0.0315,5
0.275,0.1,0.2815,0.068,5
0.53,0.17,1.5105,0.3725,10
0.42,0.125,0.764,0.265,11
0.4,0.14,0.6905,0.23,10
0.5,0.175,1.742,0.725,21
0.475,0.19,1.151,0.3805,13
0.54,0.175,1.571,0.475,18
0.285,0.1,0.2225,0.075,8
0.555,0.205,1.8165,0.515,19
0.5,0.165,1.06,0.275,11
0.38,0.135,0.528,0.16,14
0.355,0.11,0.415,0.13,12
0.475,0.155,0.9715,0.28,11
0.475,0.145,1.0185,0.27,15
0.395,0.12,0.6175,0.193,12
0.5,0.19,1.229,0.395,17
0.3,0.115,0.2595,0.08,10
0.36,0.125,0.45,0.145,12
0.3,0.105,0.259,0.085,8
0.475,0.185,0.8575,0.275,12
0.38,0.13,0.584,0.185,13
0.31,0.115,0.3625,0.12,11
0.345,0.125,0.44,0.135,12
0.33,0.135,0.522,0.195,16
0.475,0.16,1.616,0.34,18
0.265,0.11,0.209,0.075,9
0.15,0.055,0.0455,0.013,4
0.29,0.1,0.258,0.0815,7
0.33,0.11,0.38,0.09,7
0.42,0.16,0.7465,0.2185,10
0.51,0.18,1.233,0.322,10
0.5,0.175,1.3275,0.4085,9
0.185,0.06,0.0655,0.02,4
0.205,0.07,0.097,0.0305,4
0.23,0.085,0.1695,0.0505,6
0.325,0.11,0.405,0.1065,8
0.355,0.125,0.4865,0.142,9
0.4,0.135,0.636,0.1855,9
0.41,0.13,0.6075,0.1975,9
0.44,0.125,0.8515,0.1965,9
0.46,0.14,0.9265,0.27,10
0.47,0.15,0.928,0.275,8
0.48,0.16,1.1415,0.29,9
0.5,0.155,1.3765,0.335,12
0.3,0.09,0.2855,0.077,5
0.375,0.115,0.5755,0.1395,8
0.39,0.14,0.678,0.119,8
0.43,0.155,0.8035,0.228,7
0.325,0.1,0.342,0.105,6
0.405,0.13,0.573,0.195,9
0.415,0.14,0.6385,0.171,8
0.45,0.155,0.8075,0.2595,10
0.465,0.145,0.9855,0.2845,10
0.51,0.175,1.35,0.3885,10
0.54,0.195,1.764,0.47,11
0.51,0.17,1.527,0.341,11
0.53,0.17,1.564,0.44,10
0.38,0.135,0.681,0.17,9
0.42,0.19,1.764,0.4095,10
0.29,0.1,0.2575,0.086,6
0.375,0.11,0.4155,0.145,8
0.465,0.12,1.0535,0.235,9
0.52,0.175,1.4755,0.374,10
0.27,0.1,0.2255,0.064,7
0.275,0.095,0.2425,0.21,6
0.34,0.1,0.386,0.0965,8
0.385,0.12,0.562,0.153,8
0.445,0.14,0.836,0.2245,9
0.44,0.145,0.8815,0.2735,10
0.42,0.175,0.754,0.275,10
0.41,0.15,0.8105,0.24,11
0.26,0.075,0.22,0.085,6
0.45,0.155,0.91,0.355,14
0.465,0.155,0.9685,0.255,9
0.5,0.225,1.626,0.41,15
0.49,0.17,1.1775,0.295,15
0.3,0.1,0.286,0.09,7
0.38,0.135,0.6295,0.215,12
0.5,0.18,1.053,0.39,13
0.4,0.165,0.772,0.23,12
0.235,0.08,0.18,0.047,5
0.55,0.195,1.777,0.4305,11
0.55,0.205,2.173,0.496,10
0.22,0.065,0.1295,0.035,6
0.39,0.12,0.599,0.169,8
0.515,0.165,1.3855,0.3445,8
0.23,0,0.134,0.3505,6
0.27,0.09,0.2075,0.062,6
0.505,0.175,1.131,0.323,8
0.505,0.19,1.4385,0.178,11
0.325,0.11,0.4965,0.1075,8
0.405,0.125,0.6925,0.1805,7
0.44,0.155,0.811,0.235,11
0.425,0.155,0.873,0.239,10
0.45,0.16,0.998,0.301,9
0.5,0.175,1.0565,0.305,10
0.39,0.12,0.6125,0.1415,8
0.275,0.08,0.2325,0.072,6
0.31,0.085,0.317,0.0935,7
0.335,0.125,0.524,0.145,7
0.45,0.155,0.874,0.24,8
0.5,0.18,1.2915,0.37,9
0.495,0.16,1.3105,0.355,9
0.545,0.185,1.672,0.48,11
0.215,0.05,0.1185,0.042,4
0.47,0.17,0.985,0.315,10
0.5,0.17,1.13,0.335,11
0.535,0.19,1.2395,0.424,10
0.535,0.19,1.669,0.508,11
0.33,0.095,0.393,0.0885,6
0.36,0.14,0.5135,0.155,8
0.255,0.1,0.3175,0.092,8
