@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.8765,0.456,10
M,1.292,0.6,11
M,1.1795,0.4785,10
M,1.825,0.938,11
M,1.024,0.409,9
M,0.9785,0.4505,9
M,1.5595,0.695,11
M,1.3165,0.6345,12
M,1.3645,0.557,11
I,0.0515,0.019,4
M,0.622,0.2655,9
M,0.706,0.3355,9
F,0.655,0.2635,8
I,0.361,0.1605,8
I,0.3045,0.1215,7
M,0.7775,0.436,10
F,1.2155,0.4625,10
F,0.5565,0.2215,9
M,0.488,0.188,10
M,0.97,0.2885,20
M,0.875,0.279,10
I,0.1165,0.0565,7
M,0.9185,0.404,11
M,0.478,0.1865,11
I,0.1565,0.057,9
M,0.388,0.149,10
F,1.2765,0.4835,12
F,1.2315,0.4525,13
M,1.4995,0.6265,14
F,1.6365,0.694,13
F,1.3105,0.58,12
F,1.2515,0.5035,14
F,1.0385,0.414,13
F,1.22,0.4905,14
M,0.7485,0.3345,14
M,0.195,0.0745,9
F,1.4685,0.4715,19
I,0.239,0.105,8
M,0.1635,0.0615,8
I,0.0265,0.009,5
F,0.559,0.1955,12
M,0.6815,0.2145,18
M,0.674,0.3325,9
F,1.2495,0.4945,8
I,0.199,0.073,5
I,0.2155,0.0915,6
I,0.456,0.21,8
F,0.5725,0.2555,8
F,1.523,0.8045,9
M,0.85,0.4165,8
M,0.87,0.3945,8
F,1.1635,0.554,11
I,0.1735,0.0775,6
I,0.3615,0.1415,8
I,0.8725,0.349,8
F,1.6275,0.689,11
M,1.265,0.6025,10
M,1.14,0.423,10
F,1.3475,0.7045,11
F,1.4355,0.643,9
M,1.89,0.95,10
F,2.037,0.87,13
I,0.3275,0.1495,8
I,0.4225,0.1905,9
I,0.872,0.4675,9
F,1.1345,0.4305,10
M,1.0805,0.517,10
M,0.6485,0.2735,9
M,0.976,0.45,9
F,1.4045,0.694,11
M,0.8875,0.3345,9
I,0.701,0.3285,9
F,0.9845,0.442,13
I,1.1305,0.5285,12
M,1.09,0.407,12
F,0.5885,0.318,8
M,0.623,0.2855,10
M,0.8625,0.4225,9
M,1.7825,0.5565,11
F,1.604,0.6175,14
F,0.9765,0.322,12
F,1.082,0.3575,14
M,0.782,0.285,19
F,0.578,0.191,9
F,0.708,0.274,12
M,0.1385,0.048,9
I,0.152,0.071,9
M,0.853,0.292,16
M,0.219,0.0835,6
I,0.7325,0.2415,19
F,0.712,0.2845,10
I,1.066,0.4335,13
F,0.487,0.1955,8
I,0.6675,0.2745,12
I,2.0495,0.7735,10
F,0.205,0.0745,10
I,0.0615,0.0205,6
F,1.807,0.8225,11
F,2.1505,1.0745,10
I,0.277,0.1655,6
M,0.4015,0.199,8
I,0.3905,0.1925,7
I,0.032,0.011,4
I,0.34,0.181,6
I,0.597,0.293,8
M,1.142,0.62,9
I,0.196,0.0865,7
I,0.2155,0.1005,6
M,1.2935,0.5805,9
F,1.2255,0.5075,10
M,0.911,0.375,10
M,0.7275,0.343,8
M,1.0145,0.516,10
F,1.477,0.684,12
I,0.557,0.2275,8
M,1.7405,0.6205,11
M,1.6645,0.727,11
I,0.1695,0.0835,6
F,0.9945,0.4255,11
M,1.176,0.5255,9
F,1.0945,0.531,10
