@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.167,0.0675,6
I,0.326,0.1325,8
I,0.358,0.169,7
I,0.471,0.252,8
I,0.7665,0.3985,8
I,0.531,0.2415,8
F,0.7055,0.329,10
F,1.017,0.5265,10
M,1.2255,0.5405,10
F,0.9865,0.47,11
F,1.1605,0.6005,9
M,1.74,0.7885,13
M,1.601,0.706,11
I,0.183,0.098,7
F,0.95,0.484,8
M,1.2005,0.575,10
F,1.385,0.8875,11
I,0.181,0.088,5
I,0.742,0.3525,10
M,0.9065,0.371,8
F,0.9705,0.4615,9
I,0.855,0.3795,9
F,1.198,0.5415,10
M,1.217,0.667,10
F,0.92,0.437,10
F,1.3765,0.634,11
M,1.297,0.59,11
F,1.494,0.7255,12
F,1.3435,0.657,12
I,0.305,0.14,6
F,1.224,0.618,10
F,1.148,0.5475,10
M,0.894,0.3885,9
I,0.768,0.3305,9
F,0.921,0.4005,9
M,1.145,0.4915,13
F,1.5855,0.667,11
I,0.0925,0.039,6
I,0.262,0.1235,8
M,0.491,0.207,10
F,0.714,0.318,10
M,0.806,0.3415,9
M,1.194,0.4445,15
M,1.114,0.3925,15
M,0.9125,0.3595,10
M,0.2265,0.0995,6
I,0.0345,0.011,5
F,0.6835,0.271,10
I,0.384,0.1375,14
M,1.0055,0.3785,12
M,0.6025,0.216,11
F,0.56,0.231,13
F,0.8745,0.375,12
M,1.4435,0.6145,18
F,0.6625,0.3005,11
F,0.501,0.192,13
M,0.7085,0.305,12
I,0.4385,0.184,11
F,0.3375,0.1435,12
F,0.382,0.1465,12
I,0.1,0.038,8
M,0.6605,0.2605,15
M,1.1285,0.377,16
I,0.111,0.0425,6
I,0.257,0.1045,7
I,0.2505,0.0945,6
I,0.578,0.2545,8
F,1.065,0.4985,8
M,1.3635,0.583,10
M,1.478,0.5815,10
I,0.021,0.0075,3
I,0.2435,0.122,6
I,0.4385,0.21,8
M,0.929,0.38,10
I,0.131,0.0615,6
I,0.1785,0.0785,6
I,0.396,0.1775,8
I,0.4355,0.196,8
I,0.658,0.296,8
I,0.7025,0.31,8
M,1.186,0.6355,10
M,0.886,0.3605,9
I,0.907,0.444,11
M,1.041,0.54,9
I,1.0315,0.4265,11
M,1.463,0.658,11
I,0.226,0.1135,8
I,0.2745,0.135,8
I,0.4975,0.2375,8
I,0.4175,0.1645,7
F,0.8735,0.4205,10
F,1.034,0.437,11
I,0.7635,0.326,9
F,1.081,0.49,12
M,1.012,0.441,10
M,1.242,0.5675,11
M,1.276,0.6215,11
M,1.155,0.4955,12
M,1.261,0.5,10
F,1.5575,0.7035,11
I,0.4015,0.1725,7
I,0.2885,0.165,7
I,0.452,0.22,9
I,0.4915,0.1765,9
M,1.1215,0.533,10
M,0.675,0.294,10
I,0.612,0.2435,11
I,0.86,0.437,9
F,1.072,0.433,8
M,0.9275,0.477,8
M,1.03,0.4275,10
F,1.059,0.4735,9
M,1.1665,0.4605,11
M,0.3555,0.146,9
F,1.5415,0.5985,15
F,0.4915,0.2205,7
F,0.9315,0.431,12
M,1.221,0.4605,12
I,0.018,0.0075,4
I,0.6275,0.276,13
I,0.441,0.1515,9
M,1.21,0.53,11
I,0.635,0.352,6
M,1.4415,0.7055,10
I,0.2805,0.1125,8
I,0.334,0.1355,7
I,0.5125,0.2075,10
I,0.74,0.3595,8
F,1.234,0.6335,13
M,1.7855,0.675,13
M,1.1955,0.5845,9
M,1.4135,0.667,13
F,1.073,0.467,11
F,1.494,0.7365,9
M,0.7385,0.321,11
I,0.218,0.0995,7
I,0.4495,0.201,8
F,0.8025,0.35,9
F,0.615,0.2865,8
M,0.791,0.375,10
M,0.966,0.439,10
