@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-7,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.475,1.056,0.433,0.2195,9
M,0.485,1.3305,0.783,0.2255,9
F,0.465,0.923,0.4615,0.1825,9
F,0.53,1.346,0.546,0.2705,11
I,0.19,0.0835,0.039,0.015,5
I,0.23,0.1375,0.0545,0.031,5
I,0.27,0.196,0.0875,0.035,4
I,0.29,0.2445,0.089,0.0655,7
I,0.28,0.217,0.1095,0.035,6
I,0.29,0.2385,0.118,0.045,7
I,0.275,0.218,0.093,0.0405,6
I,0.32,0.3055,0.126,0.06,7
I,0.36,0.466,0.2225,0.099,7
I,0.435,0.7535,0.3285,0.1555,10
I,0.455,0.974,0.547,0.1615,9
F,0.42,0.857,0.461,0.147,10
M,0.45,0.7995,0.336,0.1855,8
M,0.455,0.8855,0.388,0.188,10
F,0.455,0.8895,0.419,0.1715,10
F,0.475,1.076,0.463,0.2195,9
I,0.465,0.9605,0.4495,0.1725,9
M,0.48,1.137,0.4565,0.29,10
F,0.48,1.2035,0.5865,0.239,12
M,0.51,1.542,0.7155,0.3735,9
F,0.515,1.337,0.615,0.3125,10
F,0.53,1.491,0.6345,0.342,10
F,0.57,1.5345,0.96,0.4195,12
M,0.575,2.173,0.9515,0.564,12
F,0.565,2.1275,0.949,0.46,12
F,0.65,2.255,0.8905,0.42,14
M,0.335,0.4475,0.2165,0.126,6
I,0.38,0.4725,0.2075,0.1075,6
M,0.44,0.8725,0.387,0.215,8
M,0.455,0.945,0.4365,0.2085,8
M,0.47,1.136,0.451,0.3245,11
F,0.505,1.1345,0.505,0.2655,10
F,0.545,1.5245,0.59,0.326,10
I,0.21,0.101,0.0415,0.017,5
I,0.27,0.2,0.073,0.056,8
I,0.27,0.2225,0.0935,0.0525,7
I,0.29,0.237,0.108,0.0395,6
I,0.315,0.303,0.131,0.0585,7
F,0.375,0.6065,0.3005,0.131,6
I,0.395,0.6635,0.32,0.14,8
I,0.42,0.5965,0.2555,0.141,7
I,0.4,0.555,0.1935,0.1305,9
I,0.415,0.7815,0.373,0.16,8
I,0.43,0.833,0.354,0.144,10
F,0.47,1.116,0.509,0.238,10
M,0.46,1.0335,0.469,0.2225,10
M,0.45,0.838,0.3965,0.194,10
I,0.45,0.924,0.358,0.2265,10
M,0.525,1.707,0.763,0.4205,11
M,0.5,1.3375,0.554,0.308,10
M,0.525,1.488,0.665,0.337,11
F,0.51,1.043,0.4795,0.223,9
M,0.5,1.3195,0.667,0.269,9
M,0.5,1.2975,0.6075,0.314,9
F,0.51,1.6075,0.714,0.339,11
F,0.565,2.1425,1.03,0.487,14
F,0.27,0.597,0.272,0.131,7
I,0.3,0.5965,0.259,0.139,8
M,0.455,0.953,0.3945,0.2685,10
F,0.475,1.1845,0.533,0.307,10
F,0.52,1.5475,0.713,0.314,9
I,0.31,0.2665,0.1185,0.0525,8
I,0.34,0.3405,0.1395,0.0665,8
I,0.37,0.457,0.1885,0.0965,9
I,0.4,0.7045,0.334,0.1425,8
I,0.41,0.5185,0.2165,0.0915,8
I,0.4,0.6095,0.248,0.159,9
F,0.425,0.9455,0.3675,0.2005,9
I,0.395,0.6555,0.2705,0.155,9
M,0.41,0.599,0.2345,0.1465,8
F,0.445,0.8305,0.3135,0.1785,11
M,0.45,0.895,0.415,0.195,9
M,0.455,0.832,0.3585,0.174,11
M,0.46,1.1805,0.456,0.337,11
M,0.47,1.1155,0.479,0.2565,10
F,0.46,1.1185,0.478,0.2945,10
F,0.495,1.062,0.372,0.213,11
M,0.49,1.2525,0.63,0.246,9
F,0.515,1.3115,0.4945,0.2555,10
F,0.5,1.2475,0.4625,0.2955,10
M,0.54,1.623,0.7165,0.354,12
M,0.54,1.534,0.671,0.379,10
F,0.575,1.6705,0.732,0.3605,12
I,0.11,0.0195,0.0075,0.005,4
I,0.28,0.226,0.105,0.047,6
I,0.35,0.4675,0.2125,0.099,7
M,0.345,0.4935,0.2435,0.1175,8
M,0.36,0.4955,0.2665,0.085,7
M,0.41,0.8705,0.4455,0.2115,9
M,0.465,0.919,0.4335,0.1765,9
M,0.495,1.2095,0.603,0.2225,9
F,0.385,0.616,0.243,0.1075,11
M,0.35,0.4775,0.1885,0.0885,8
I,0.225,0.1445,0.0675,0.0385,6
M,0.51,1.1505,0.4375,0.2265,12
M,0.35,0.401,0.1575,0.083,9
F,0.425,0.797,0.297,0.15,9
F,0.39,0.692,0.267,0.15,12
M,0.475,1.0965,0.419,0.229,17
F,0.325,0.3105,0.12,0.074,10
M,0.38,0.5825,0.2505,0.1565,8
M,0.375,0.487,0.226,0.0965,9
I,0.345,0.4475,0.221,0.112,7
I,0.265,0.18,0.068,0.036,6
I,0.26,0.179,0.076,0.0525,6
M,0.425,0.702,0.3335,0.1465,12
F,0.45,0.8075,0.322,0.181,13
M,0.375,0.5735,0.2505,0.119,9
F,0.5,1.1445,0.485,0.218,12
F,0.375,0.6,0.2225,0.129,16
F,0.475,0.925,0.391,0.165,14
M,0.435,0.8915,0.3415,0.177,13
F,0.385,0.6185,0.251,0.1175,12
I,0.39,0.5825,0.2315,0.121,15
F,0.63,2.526,0.933,0.59,23
F,0.48,0.957,0.3885,0.215,18
M,0.45,0.7895,0.343,0.159,12
M,0.475,1.0295,0.4635,0.1905,18
M,0.135,0.0305,0.011,0.0075,5
F,0.39,0.6005,0.2265,0.131,16
M,0.34,0.4495,0.165,0.1125,11
I,0.505,1.3315,0.5805,0.252,17
F,0.415,0.6985,0.3,0.146,12
M,0.225,0.1295,0.0535,0.026,10
F,0.375,0.5895,0.2635,0.12,10
M,0.315,0.287,0.1135,0.037,10
I,0.415,0.595,0.2105,0.142,15
M,0.415,0.879,0.339,0.208,10
I,0.205,0.096,0.036,0.0185,6
I,0.2,0.092,0.0385,0.0235,5
M,0.405,0.8505,0.312,0.146,17
M,0.515,1.6115,0.6745,0.384,14
M,0.385,0.7615,0.246,0.195,14
M,0.41,0.989,0.2815,0.213,19
I,0.23,0.127,0.052,0.03,6
I,0.3,0.144,0.059,0.03,7
F,0.35,0.6265,0.259,0.1445,8
I,0.525,1.786,0.6725,0.3615,11
F,0.555,1.925,0.713,0.358,13
F,0.55,1.689,0.694,0.371,13
I,0.265,0.185,0.0625,0.0395,7
I,0.31,0.3205,0.1575,0.066,6
M,0.465,1.046,0.4695,0.263,7
F,0.465,1.0255,0.412,0.2745,11
F,0.51,1.2705,0.5415,0.323,9
F,0.575,1.7975,0.7295,0.3935,13
F,0.56,2.381,0.9915,0.5005,10
I,0.205,0.1055,0.495,0.019,5
I,0.315,0.3645,0.1765,0.0795,8
I,0.37,0.5335,0.2645,0.108,6
M,0.38,0.5765,0.273,0.135,9
I,0.385,0.625,0.3095,0.119,8
M,0.45,1.02,0.546,0.204,9
F,0.43,0.811,0.3875,0.159,9
F,0.48,0.897,0.4235,0.1905,8
M,0.46,1.004,0.496,0.2165,9
F,0.46,1.0115,0.445,0.2615,8
F,0.52,1.285,0.5775,0.352,9
M,0.52,1.2655,0.615,0.2775,9
F,0.505,1.349,0.5985,0.3175,9
I,0.315,0.4025,0.1855,0.083,8
I,0.425,0.656,0.257,0.17,10
I,0.435,0.6975,0.262,0.1575,11
F,0.445,1.1465,0.551,0.244,8
I,0.43,0.8215,0.332,0.1685,11
M,0.48,1.05,0.457,0.2685,8
F,0.45,0.8725,0.389,0.1715,11
F,0.495,1.2265,0.49,0.377,11
M,0.55,2.165,1.1055,0.525,10
I,0.2,0.0925,0.038,0.021,4
I,0.29,0.2625,0.117,0.054,7
M,0.365,0.5945,0.309,0.1085,9
F,0.48,1.1045,0.535,0.25,10
F,0.51,1.286,0.526,0.295,12
F,0.515,1.309,0.524,0.346,11
M,0.54,1.691,0.768,0.363,11
I,0.305,0.2625,0.1,0.0515,6
I,0.425,0.8155,0.3675,0.1365,11
F,0.435,0.745,0.347,0.174,9
I,0.43,0.728,0.3355,0.1435,8
F,0.44,0.7855,0.363,0.1955,11
I,0.445,0.9205,0.445,0.2035,9
I,0.425,1.0485,0.507,0.1955,11
M,0.455,0.9335,0.382,0.247,10
F,0.525,1.5965,0.7765,0.397,10
M,0.405,1.406,0.6115,0.342,10
M,0.485,1.0835,0.5305,0.231,8
F,0.49,1.136,0.5265,0.1915,9
I,0.33,0.365,0.14,0.0825,8
I,0.375,0.507,0.241,0.103,8
M,0.42,0.6855,0.293,0.163,10
I,0.405,0.6755,0.3015,0.1465,10
I,0.43,0.7425,0.2895,0.2005,8
M,0.47,0.991,0.382,0.2395,12
M,0.48,0.9125,0.4095,0.1825,9
F,0.515,1.1635,0.4875,0.259,11
M,0.515,1.1955,0.492,0.247,11
F,0.505,1.251,0.577,0.227,11
M,0.35,0.458,0.2,0.111,8
M,0.5,1.461,0.5985,0.2425,11
M,0.525,1.489,0.6065,0.3795,10
I,0.3,0.2995,0.1265,0.068,8
M,0.415,0.751,0.3295,0.1835,8
F,0.425,0.952,0.4895,0.1945,7
M,0.335,0.4085,0.1755,0.092,9
F,0.22,0.17,0.076,0.0365,6
F,0.405,0.606,0.239,0.1235,11
M,0.3,0.2505,0.106,0.0535,8
F,0.295,0.2685,0.1165,0.056,7
M,0.505,1.307,0.4335,0.262,10
F,0.545,1.707,0.6995,0.387,13
F,0.415,0.8805,0.3645,0.234,11
I,0.38,0.523,0.2105,0.1045,15
M,0.435,0.973,0.2985,0.2135,18
F,0.335,0.4335,0.2105,0.1205,10
F,0.475,0.8595,0.3195,0.1775,13
F,0.39,0.5555,0.213,0.1075,15
M,0.455,1.156,0.5525,0.243,13
F,0.5,1.1055,0.4445,0.227,16
F,0.38,0.507,0.1915,0.1365,12
M,0.125,0.0245,0.0095,0.0045,4
I,0.475,0.967,0.3775,0.284,13
F,0.35,0.4435,0.185,0.09,11
F,0.365,0.385,0.166,0.046,13
I,0.4,0.51,0.1615,0.073,14
M,0.245,0.171,0.0655,0.0365,11
I,0.46,1.278,0.41,0.257,17
M,0.235,0.163,0.0615,0.034,10
I,0.19,0.0815,0.028,0.016,5
F,0.225,0.1485,0.0585,0.0335,7
M,0.42,0.9745,0.353,0.174,13
I,0.28,0.196,0.082,0.04,8
F,0.37,0.5265,0.249,0.1005,7
M,0.45,0.9,0.472,0.182,7
F,0.545,1.5055,0.6565,0.341,10
F,0.48,1.234,0.598,0.238,12
I,0.37,0.637,0.38,0.1335,7
I,0.405,0.599,0.3065,0.1155,8
M,0.44,0.838,0.4155,0.146,8
F,0.49,1.1345,0.4695,0.257,11
M,0.495,1.0815,0.4715,0.254,10
F,0.475,1.1545,0.4865,0.341,9
F,0.54,1.5585,0.7285,0.402,11
M,0.57,1.348,0.8985,0.4435,11
I,0.285,0.2305,0.1005,0.039,7
I,0.325,0.309,0.119,0.08,6
I,0.39,0.567,0.2875,0.1075,8
I,0.405,0.6615,0.2945,0.1395,9
M,0.495,1.3695,0.657,0.3055,10
M,0.515,1.6465,0.749,0.422,11
M,0.53,1.56,0.647,0.383,11
M,0.515,1.385,0.6355,0.2955,11
F,0.455,1.275,0.583,0.303,8
F,0.525,1.42,0.573,0.368,10
I,0.345,0.4035,0.169,0.0825,7
I,0.45,0.753,0.3445,0.1325,8
M,0.49,1.1245,0.492,0.222,11
I,0.47,0.966,0.447,0.171,11
M,0.5,1.273,0.5065,0.2925,13
M,0.555,2.14,1.2455,0.3725,11
F,0.525,1.238,0.647,0.2485,9
F,0.555,1.7525,0.7105,0.4215,12
I,0.265,0.1865,0.0675,0.037,7
I,0.335,0.3935,0.195,0.071,7
I,0.355,0.4775,0.2145,0.09,8
I,0.39,0.565,0.235,0.135,9
M,0.425,0.7905,0.307,0.171,9
M,0.47,0.9565,0.4025,0.2365,9
M,0.48,1.1785,0.526,0.2975,10
M,0.455,0.9685,0.49,0.182,10
I,0.23,0.129,0.0615,0.0275,7
I,0.31,0.3505,0.1645,0.071,8
F,0.375,0.5375,0.221,0.117,8
F,0.48,1.1685,0.4815,0.2305,9
M,0.46,1.127,0.535,0.2635,7
I,0.27,0.216,0.083,0.037,10
I,0.4,0.757,0.315,0.181,11
F,0.49,1.3065,0.479,0.3565,18
F,0.37,0.541,0.171,0.1175,11
I,0.355,0.5805,0.255,0.0915,8
M,0.385,0.556,0.296,0.104,7
M,0.375,0.6245,0.282,0.143,6
F,0.45,0.874,0.3545,0.2075,6
F,0.545,1.759,0.6865,0.313,11
M,0.53,1.12,0.5775,0.2095,9
F,0.49,1.36,0.653,0.347,9
I,0.4,0.622,0.278,0.1455,8
M,0.43,0.8265,0.4405,0.159,10
M,0.365,1.0765,0.488,0.249,9
I,0.4,0.7165,0.3495,0.1595,8
M,0.48,1.2415,0.6575,0.2625,9
M,0.49,1.229,0.535,0.29,11
I,0.23,0.14,0.0565,0.0365,7
I,0.315,0.384,0.1885,0.0715,8
