@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.21,0.109,0.033,5
I,0.365,0.53,0.1625,10
M,0.45,0.8795,0.2625,11
M,0.49,1.185,0.361,10
F,0.5,1.332,0.35,8
F,0.49,1.33,0.33,10
F,0.55,1.659,0.4395,9
I,0.17,0.0565,0.016,4
I,0.22,0.1315,0.03,5
I,0.335,0.3885,0.111,7
F,0.405,0.889,0.215,8
F,0.445,0.995,0.2505,9
F,0.46,1.235,0.29,8
I,0.375,0.5445,0.13,8
I,0.42,0.636,0.1755,8
M,0.49,1.9875,0.491,10
M,0.51,1.3415,0.375,10
M,0.465,1.027,0.176,8
M,0.55,1.523,0.4405,13
F,0.53,1.7315,0.405,11
I,0.175,0.0635,0.02,4
I,0.26,0.1795,0.06,5
I,0.275,0.2295,0.066,7
I,0.305,0.271,0.091,7
I,0.325,0.314,0.1,8
I,0.36,0.4235,0.14,9
I,0.345,0.415,0.11,8
I,0.355,0.5195,0.1325,7
I,0.365,0.4475,0.2305,8
I,0.365,0.5585,0.1615,10
I,0.435,0.72,0.251,11
F,0.435,0.8975,0.23,9
F,0.425,0.844,0.2705,9
I,0.42,0.6735,0.22,9
M,0.475,1.0305,0.278,10
M,0.45,0.877,0.24,9
M,0.5,1.096,0.295,10
M,0.525,1.3135,0.465,10
I,0.225,0.187,0.0425,7
I,0.35,0.4445,0.1115,7
F,0.42,0.8035,0.21,9
M,0.47,1.1735,0.2595,9
F,0.49,1.144,0.319,8
F,0.55,1.52,0.435,10
M,0.465,0.9505,0.255,8
I,0.435,0.804,0.244,8
I,0.475,0.9745,0.259,10
M,0.465,1.0475,0.315,11
I,0.49,1.1545,0.2915,11
F,0.515,1.1215,0.29,9
M,0.475,1.3585,0.3745,10
M,0.495,1.2075,0.3525,11
F,0.5,1.29,0.352,8
F,0.485,1.151,0.293,12
M,0.355,0.981,0.2505,8
M,0.485,1.281,0.33,9
F,0.505,1.2905,0.326,10
I,0.325,0.335,0.115,8
I,0.33,0.44,0.15,7
M,0.445,0.737,0.237,10
M,0.45,1.1275,0.335,11
I,0.475,0.907,0.3075,11
M,0.495,1.31,0.4695,10
I,0.27,0.204,0.0595,7
M,0.38,0.474,0.1545,10
F,0.43,0.728,0.235,11
I,0.325,0.3975,0.1175,7
M,0.42,0.8755,0.2315,8
M,0.36,0.547,0.19,8
I,0.15,0.046,0.0065,4
M,0.42,0.8465,0.245,13
F,0.53,1.8745,0.6855,12
F,0.375,0.513,0.13,11
F,0.35,0.397,0.12,9
F,0.36,0.4965,0.13,6
M,0.435,1.032,0.31,20
I,0.235,0.1515,0.05,7
F,0.485,1.271,0.37,11
F,0.32,0.4135,0.119,10
M,0.435,0.858,0.29,15
M,0.24,0.161,0.05,6
M,0.415,0.6445,0.22,12
M,0.54,1.6195,0.555,24
M,0.485,1.145,0.405,16
F,0.435,0.8085,0.22,16
I,0.355,0.5085,0.135,9
I,0.525,1.6935,0.42,15
F,0.525,1.71,0.58,16
M,0.33,0.34,0.112,14
I,0.3,0.3085,0.085,6
M,0.535,1.65,0.335,13
F,0.45,1.2225,0.385,13
I,0.315,0.3095,0.09,7
F,0.465,1.0315,0.337,9
M,0.47,1.1685,0.28,8
M,0.475,1.089,0.292,11
M,0.51,1.3715,0.409,10
I,0.24,0.152,0.045,6
I,0.28,0.2565,0.0645,6
I,0.37,0.5055,0.14,7
M,0.37,0.643,0.135,8
F,0.4,0.569,0.145,9
M,0.395,0.8115,0.2,7
M,0.485,1.1325,0.2825,9
I,0.315,0.2675,0.0765,6
M,0.44,0.985,0.27,8
M,0.415,0.7615,0.1955,8
M,0.41,0.939,0.268,8
M,0.47,1.179,0.271,9
I,0.355,0.494,0.15,9
F,0.42,0.8875,0.223,8
F,0.465,0.7955,0.2425,10
M,0.485,1.2135,0.302,9
M,0.515,1.3745,0.369,12
M,0.555,2.333,0.6195,12
I,0.125,0.028,0.009,4
I,0.37,0.514,0.126,8
M,0.475,1.4335,0.3285,9
I,0.345,0.3685,0.125,8
M,0.465,0.9895,0.28,8
I,0.47,0.9365,0.287,10
F,0.495,1.0835,0.317,9
M,0.51,1.4865,0.425,12
F,0.51,1.278,0.358,11
M,0.4,0.775,0.185,7
M,0.475,1.0375,0.283,9
I,0.395,0.475,0.148,8
I,0.4,0.705,0.22,10
I,0.45,0.795,0.26,10
M,0.48,1.2205,0.33,10
M,0.355,0.5315,0.1395,8
M,0.35,0.416,0.145,11
F,0.475,1.423,0.49,14
F,0.43,0.717,0.195,10
F,0.44,0.9705,0.255,9
M,0.4,0.7365,0.185,16
F,0.43,0.813,0.1775,12
M,0.48,1.064,0.36,16
I,0.44,0.8605,0.3,17
I,0.175,0.0645,0.0215,5
M,0.39,0.6555,0.19,11
M,0.44,0.991,0.375,20
M,0.365,0.6175,0.19,16
I,0.32,0.409,0.105,8
I,0.33,0.4095,0.119,6
I,0.35,0.494,0.1405,7
M,0.455,0.9795,0.275,8
I,0.375,0.562,0.1525,8
I,0.2,0.096,0.03,6
F,0.46,0.926,0.275,8
I,0.305,0.2645,0.085,7
I,0.43,0.7005,0.2095,8
I,0.465,1.1815,0.3095,9
M,0.475,1.337,0.37,11
F,0.49,1.7015,0.3855,11
M,0.545,1.9125,0.506,10
F,0.59,1.7495,0.48,11
M,0.525,1.3455,0.3865,9
M,0.265,0.197,0.077,7
I,0.35,0.4725,0.15,9
F,0.495,1.0805,0.32,9
F,0.505,1.357,0.43,11
I,0.215,0.124,0.03,6
M,0.38,0.577,0.1535,9
