@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.475,0.385,0.235,14
F,0.5,0.38,0.2405,17
F,0.49,0.385,0.241,23
M,0.535,0.405,0.3175,16
M,0.38,0.29,0.1175,9
I,0.315,0.23,0.043,7
I,0.155,0.105,0.005,4
F,0.395,0.315,0.1185,16
F,0.48,0.385,0.1895,14
M,0.4,0.3,0.191,9
M,0.375,0.3,0.104,11
M,0.505,0.38,0.227,13
F,0.52,0.405,0.2415,12
M,0.65,0.515,0.5295,20
F,0.54,0.44,0.2385,17
M,0.64,0.51,0.6215,14
M,0.545,0.45,0.3365,11
M,0.53,0.41,0.189,11
I,0.215,0.155,0.021,5
M,0.495,0.385,0.211,12
F,0.6,0.465,0.309,12
I,0.37,0.275,0.097,6
I,0.385,0.29,0.143,6
M,0.415,0.305,0.156,6
I,0.44,0.365,0.2435,9
I,0.445,0.335,0.2745,7
I,0.485,0.355,0.2175,9
F,0.595,0.475,0.547,6
F,0.62,0.505,0.6285,11
F,0.695,0.56,0.8455,11
I,0.265,0.195,0.0345,6
I,0.3,0.23,0.056,6
I,0.42,0.32,0.169,5
I,0.425,0.315,0.1645,6
I,0.435,0.325,0.1815,8
I,0.45,0.355,0.197,8
I,0.46,0.345,0.196,7
M,0.48,0.385,0.2925,6
M,0.5,0.385,0.3195,7
F,0.525,0.415,0.3475,8
F,0.55,0.445,0.544,9
M,0.59,0.47,0.479,8
M,0.605,0.475,0.572,9
M,0.63,0.48,0.5185,8
M,0.635,0.49,0.623,11
I,0.195,0.135,0.0135,4
I,0.315,0.235,0.065,6
I,0.435,0.345,0.222,7
I,0.45,0.365,0.2135,8
I,0.48,0.38,0.3395,8
F,0.51,0.4,0.261,6
I,0.535,0.39,0.2595,9
M,0.55,0.425,0.411,10
M,0.56,0.445,0.42,8
F,0.56,0.44,0.336,8
F,0.565,0.45,0.447,9
M,0.57,0.46,0.5415,9
M,0.575,0.435,0.401,9
M,0.58,0.455,0.945,9
M,0.61,0.485,0.5315,8
M,0.62,0.45,0.4285,8
F,0.685,0.54,0.664,14
M,0.7,0.565,0.895,9
F,0.72,0.58,1.0265,10
M,0.735,0.585,0.952,11
I,0.275,0.195,0.0545,6
I,0.345,0.255,0.105,5
I,0.375,0.29,0.096,5
F,0.455,0.365,0.184,8
I,0.535,0.4,0.2895,9
M,0.535,0.435,0.3475,9
F,0.54,0.42,0.4315,10
F,0.545,0.445,0.3535,9
I,0.545,0.405,0.27,8
I,0.565,0.44,0.414,11
I,0.605,0.485,0.6315,11
M,0.61,0.45,0.407,10
M,0.62,0.495,0.5765,12
M,0.635,0.49,0.534,10
M,0.645,0.525,0.7455,11
F,0.655,0.525,0.564,10
F,0.71,0.55,0.743,11
I,0.14,0.105,0.0055,3
I,0.23,0.165,0.019,4
I,0.365,0.255,0.0785,5
I,0.4,0.3,0.1185,7
I,0.44,0.34,0.164,5
F,0.495,0.38,0.2655,7
M,0.55,0.425,0.343,9
F,0.61,0.485,0.5125,11
M,0.655,0.51,0.8885,11
I,0.295,0.215,0.047,6
I,0.36,0.275,0.0985,7
I,0.385,0.28,0.119,7
I,0.39,0.3,0.1065,7
I,0.48,0.37,0.179,9
I,0.54,0.425,0.3475,8
M,0.55,0.435,0.327,10
I,0.56,0.445,0.3685,10
M,0.595,0.45,0.463,10
I,0.605,0.47,0.379,9
M,0.61,0.47,0.5225,9
M,0.62,0.515,0.535,13
M,0.63,0.49,0.5255,11
F,0.64,0.505,0.5215,10
M,0.65,0.51,0.6385,9
F,0.69,0.55,0.687,12
M,0.735,0.59,0.7275,11
I,0.275,0.175,0.096,5
M,0.55,0.42,0.6325,10
M,0.575,0.44,0.5075,10
M,0.605,0.475,0.5575,9
M,0.62,0.47,0.511,10
F,0.72,0.55,1.0715,9
I,0.485,0.36,0.2465,8
I,0.52,0.38,0.3285,7
I,0.53,0.43,0.298,8
I,0.53,0.43,0.321,9
I,0.535,0.455,0.53,9
I,0.555,0.45,0.304,9
M,0.57,0.44,0.3805,9
F,0.57,0.44,0.382,9
M,0.575,0.455,0.4685,11
M,0.62,0.495,0.579,15
F,0.625,0.47,0.475,11
M,0.635,0.525,0.5435,12
M,0.635,0.515,0.5055,10
I,0.64,0.49,0.488,10
F,0.65,0.51,0.483,13
M,0.76,0.605,0.801,13
I,0.29,0.21,0.0375,6
I,0.395,0.29,0.158,7
I,0.415,0.325,0.1385,8
M,0.525,0.41,0.3435,9
F,0.57,0.435,0.3875,10
I,0.27,0.195,0.0475,5
I,0.465,0.355,0.2005,9
M,0.65,0.5,0.6165,8
F,0.665,0.525,0.818,10
F,0.505,0.39,0.3045,8
I,0.405,0.305,0.114,7
I,0.41,0.31,0.124,9
M,0.525,0.405,0.3265,8
F,0.48,0.38,0.2705,8
I,0.455,0.37,0.201,9
M,0.425,0.325,0.1365,7
F,0.45,0.36,0.222,10
M,0.27,0.195,0.0465,7
F,0.4,0.3,0.1335,8
F,0.57,0.45,0.414,20
F,0.52,0.4,0.295,9
M,0.565,0.47,0.387,17
M,0.63,0.51,0.5635,17
I,0.33,0.26,0.0765,7
M,0.495,0.39,0.3285,14
I,0.275,0.2,0.0305,7
I,0.46,0.335,0.225,8
M,0.46,0.375,0.192,9
M,0.695,0.57,0.751,15
I,0.315,0.24,0.0545,8
M,0.64,0.52,0.566,17
M,0.555,0.44,0.3805,13
F,0.66,0.525,0.5005,18
M,0.34,0.275,0.0725,10
I,0.535,0.41,0.2745,12
F,0.485,0.365,0.2595,14
F,0.455,0.35,0.1585,16
I,0.625,0.46,0.55,14
F,0.465,0.36,0.192,10
I,0.575,0.45,0.358,13
F,0.515,0.4,0.258,16
F,0.42,0.33,0.186,10
M,0.35,0.26,0.0725,10
M,0.44,0.325,0.144,8
F,0.52,0.405,0.276,11
M,0.54,0.415,0.272,13
M,0.615,0.475,0.474,11
M,0.565,0.44,0.393,20
F,0.47,0.355,0.1525,8
F,0.5,0.44,0.2025,14
I,0.47,0.37,0.25,8
F,0.565,0.44,0.4475,9
F,0.6,0.485,0.587,9
M,0.605,0.475,0.5395,10
F,0.655,0.545,0.6555,12
I,0.465,0.355,0.23,7
F,0.555,0.425,0.44,7
F,0.595,0.465,0.491,9
M,0.765,0.585,1.128,12
I,0.29,0.21,0.0415,5
I,0.33,0.24,0.0745,6
I,0.375,0.29,0.0925,6
I,0.46,0.345,0.1525,7
I,0.465,0.355,0.2085,7
I,0.475,0.375,0.233,7
I,0.495,0.38,0.233,7
M,0.505,0.4,0.377,7
F,0.545,0.43,0.4355,9
M,0.645,0.515,0.506,9
I,0.335,0.25,0.0675,6
I,0.41,0.325,0.1325,8
I,0.415,0.335,0.169,7
I,0.46,0.35,0.252,8
I,0.51,0.385,0.3985,8
I,0.515,0.39,0.2415,8
F,0.525,0.415,0.329,10
F,0.57,0.445,0.5265,10
M,0.58,0.44,0.5405,10
F,0.58,0.465,0.47,11
F,0.62,0.465,0.6005,9
M,0.7,0.54,0.7885,13
M,0.71,0.565,0.706,11
I,0.32,0.235,0.098,7
F,0.58,0.445,0.484,8
M,0.63,0.49,0.575,10
F,0.65,0.525,0.8875,11
I,0.32,0.205,0.088,5
I,0.545,0.43,0.3525,10
M,0.58,0.465,0.371,8
F,0.58,0.45,0.4615,9
I,0.585,0.45,0.3795,9
F,0.615,0.495,0.5415,10
M,0.625,0.515,0.667,10
F,0.625,0.49,0.437,10
F,0.635,0.485,0.634,11
M,0.64,0.505,0.59,11
F,0.655,0.515,0.7255,12
F,0.68,0.505,0.657,12
I,0.32,0.215,0.14,6
F,0.535,0.4,0.618,10
F,0.62,0.5,0.5475,10
M,0.56,0.45,0.3885,9
I,0.565,0.44,0.3305,9
F,0.595,0.46,0.4005,9
M,0.615,0.49,0.4915,13
F,0.695,0.535,0.667,11
I,0.255,0.185,0.039,6
I,0.425,0.32,0.1235,8
M,0.46,0.355,0.207,10
F,0.525,0.4,0.318,10
M,0.55,0.435,0.3415,9
M,0.64,0.49,0.4445,15
M,0.605,0.47,0.3925,15
M,0.56,0.45,0.3595,10
M,0.35,0.265,0.0995,6
I,0.2,0.145,0.011,5
F,0.505,0.405,0.271,10
I,0.43,0.34,0.1375,14
M,0.565,0.45,0.3785,12
M,0.5,0.4,0.216,11
F,0.45,0.35,0.231,13
F,0.575,0.48,0.375,12
M,0.64,0.505,0.6145,18
F,0.495,0.385,0.3005,11
F,0.475,0.375,0.192,13
M,0.55,0.46,0.305,12
I,0.45,0.355,0.184,11
F,0.395,0.3,0.1435,12
F,0.425,0.325,0.1465,12
I,0.295,0.21,0.038,8
M,0.495,0.4,0.2605,15
M,0.565,0.465,0.377,16
I,0.28,0.21,0.0425,6
I,0.375,0.285,0.1045,7
I,0.38,0.275,0.0945,6
I,0.495,0.4,0.2545,8
F,0.575,0.46,0.4985,8
M,0.635,0.495,0.583,10
M,0.66,0.525,0.5815,10
I,0.165,0.12,0.0075,3
I,0.355,0.265,0.122,6
I,0.45,0.34,0.21,8
M,0.59,0.46,0.38,10
I,0.32,0.24,0.0615,6
I,0.36,0.265,0.0785,6
I,0.435,0.34,0.1775,8
I,0.475,0.36,0.196,8
I,0.53,0.42,0.296,8
I,0.54,0.41,0.31,8
M,0.57,0.47,0.6355,10
M,0.575,0.45,0.3605,9
I,0.58,0.47,0.444,11
M,0.58,0.47,0.54,9
I,0.63,0.465,0.4265,11
M,0.65,0.515,0.658,11
I,0.37,0.285,0.1135,8
I,0.39,0.29,0.135,8
I,0.465,0.355,0.2375,8
I,0.475,0.365,0.1645,7
F,0.525,0.425,0.4205,10
F,0.585,0.42,0.437,11
I,0.585,0.46,0.326,9
F,0.595,0.45,0.49,12
M,0.6,0.47,0.441,10
M,0.615,0.47,0.5675,11
M,0.65,0.495,0.6215,11
M,0.65,0.51,0.4955,12
M,0.66,0.51,0.5,10
F,0.675,0.535,0.7035,11
I,0.35,0.25,0.1725,7
I,0.38,0.28,0.165,7
I,0.465,0.36,0.22,9
I,0.47,0.355,0.1765,9
M,0.605,0.455,0.533,10
M,0.53,0.42,0.294,10
I,0.53,0.41,0.2435,11
I,0.59,0.45,0.437,9
F,0.63,0.475,0.433,8
M,0.57,0.45,0.477,8
M,0.595,0.46,0.4275,10
F,0.615,0.455,0.4735,9
M,0.625,0.47,0.4605,11
M,0.41,0.325,0.146,9
F,0.67,0.545,0.5985,15
F,0.46,0.375,0.2205,7
F,0.575,0.45,0.431,12
M,0.62,0.5,0.4605,12
I,0.16,0.12,0.0075,4
I,0.48,0.39,0.276,13
I,0.455,0.365,0.1515,9
M,0.63,0.48,0.53,11
I,0.48,0.35,0.352,6
M,0.66,0.515,0.7055,10
I,0.42,0.31,0.1125,8
I,0.435,0.335,0.1355,7
I,0.495,0.385,0.2075,10
I,0.54,0.42,0.3595,8
F,0.625,0.495,0.6335,13
M,0.625,0.47,0.675,13
M,0.63,0.49,0.5845,9
M,0.63,0.53,0.667,13
F,0.635,0.485,0.467,11
F,0.675,0.52,0.7365,9
M,0.55,0.42,0.321,11
I,0.37,0.28,0.0995,7
I,0.48,0.355,0.201,8
F,0.56,0.44,0.35,9
F,0.515,0.4,0.2865,8
M,0.52,0.385,0.375,10
M,0.59,0.44,0.439,10
