@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.515,0.625,0.3265,7
I,0.435,0.3295,0.129,7
F,0.38,0.6475,0.323,7
I,0.265,0.084,0.0365,7
I,0.36,0.1865,0.0675,7
M,0.265,0.084,0.034,7
I,0.495,0.44,0.177,7
F,0.435,0.3915,0.154,7
F,0.35,0.1855,0.0745,7
M,0.425,0.361,0.134,7
I,0.41,0.282,0.1255,7
M,0.525,0.65,0.303,7
I,0.43,0.3855,0.192,7
F,0.485,0.9145,0.4145,7
M,0.505,0.775,0.3445,7
F,0.525,0.7745,0.416,7
I,0.415,0.313,0.139,7
I,0.435,0.3245,0.135,7
I,0.39,0.2665,0.1105,7
M,0.525,0.7945,0.394,7
M,0.48,0.6015,0.312,7
I,0.365,0.2215,0.105,7
M,0.285,0.1185,0.055,7
I,0.46,0.4,0.176,7
F,0.475,0.566,0.281,7
I,0.51,0.5785,0.238,7
M,0.555,0.7075,0.332,7
I,0.375,0.2165,0.0935,7
I,0.465,0.445,0.1635,7
I,0.475,0.1315,0.2025,7
I,0.325,0.176,0.0595,7
F,0.72,1.445,0.631,7
I,0.36,0.196,0.0905,7
I,0.45,0.447,0.2335,7
I,0.45,0.3505,0.1615,7
I,0.5,0.5745,0.306,7
I,0.46,0.4255,0.2015,7
I,0.43,0.425,0.217,7
I,0.39,0.281,0.1275,7
M,0.385,0.335,0.147,7
I,0.44,0.365,0.1655,7
I,0.42,0.316,0.1255,7
F,0.325,0.1915,0.085,7
I,0.435,0.3535,0.156,7
I,0.335,0.1825,0.0705,7
I,0.37,0.2065,0.096,7
I,0.485,0.513,0.219,7
I,0.37,0.22,0.094,7
M,0.62,1.127,0.535,7
M,0.535,0.7315,0.336,7
M,0.425,0.3785,0.1705,7
M,0.465,0.4955,0.2665,7
M,0.46,0.4595,0.235,7
I,0.34,0.185,0.0625,7
I,0.34,0.2225,0.104,7
I,0.275,0.1035,0.0475,7
I,0.36,0.1845,0.083,7
I,0.335,0.1965,0.0875,7
I,0.44,0.4215,0.173,7
I,0.37,0.2655,0.122,7
I,0.34,0.1765,0.0785,7
M,0.54,0.56,0.2375,7
M,0.515,0.7125,0.3695,7
M,0.28,0.1085,0.041,7
M,0.335,0.222,0.0935,7
F,0.58,1.1155,0.5575,7
I,0.41,0.3535,0.157,7
F,0.485,0.4785,0.1995,7
M,0.545,0.7835,0.4225,7
I,0.36,0.27,0.1185,7
I,0.385,0.302,0.152,7
I,0.425,0.3685,0.162,7
F,0.51,0.5805,0.2865,7
M,0.495,0.61,0.272,7
I,0.325,0.1745,0.0875,7
I,0.45,0.47,0.2355,7
I,0.31,0.1515,0.056,7
M,0.435,0.4385,0.2075,7
I,0.515,0.5625,0.25,7
I,0.275,0.1165,0.0565,7
I,0.375,0.2295,0.095,7
I,0.475,0.4545,0.2165,7
I,0.435,0.38,0.1515,7
I,0.405,0.324,0.1265,7
I,0.35,0.2,0.09,7
I,0.28,0.0895,0.036,7
I,0.335,0.2015,0.096,7
I,0.42,0.325,0.1245,7
I,0.365,0.24,0.108,7
I,0.45,0.3715,0.1865,7
I,0.355,0.2235,0.0815,7
M,0.42,0.43,0.175,7
I,0.45,0.494,0.2205,7
I,0.365,0.205,0.078,7
I,0.475,0.4905,0.2035,7
I,0.36,0.2415,0.0915,7
I,0.4,0.127,0.106,7
I,0.445,0.434,0.1945,7
I,0.36,0.217,0.084,7
M,0.59,1.046,0.4695,7
I,0.47,0.4485,0.156,7
I,0.305,0.156,0.0675,7
I,0.33,0.1715,0.0655,7
I,0.425,0.3075,0.139,7
I,0.44,0.38,0.197,7
I,0.46,0.4155,0.18,7
M,0.37,0.2225,0.0805,7
M,0.31,0.1345,0.054,7
F,0.425,0.4425,0.175,7
I,0.315,0.149,0.058,7
I,0.405,0.2825,0.112,7
M,0.575,0.948,0.429,7
I,0.3,0.1425,0.057,7
I,0.38,0.243,0.0895,7
F,0.455,0.4555,0.1945,7
I,0.36,0.2315,0.105,7
I,0.425,0.3975,0.1815,7
M,0.595,1.213,0.621,9
M,0.61,1.0325,0.497,9
M,0.62,1.195,0.4605,9
F,0.65,1.4415,0.741,9
F,0.6,1.0265,0.485,9
M,0.605,1.1035,0.421,9
M,0.54,0.7345,0.33,9
F,0.725,1.523,0.8045,9
M,0.355,0.3275,0.134,9
M,0.415,0.3895,0.2015,9
M,0.56,0.8875,0.3345,9
F,0.55,0.897,0.377,9
F,0.625,1.254,0.591,9
M,0.515,0.6145,0.3415,9
F,0.49,0.569,0.256,9
F,0.625,1.136,0.5265,9
M,0.625,1.025,0.46,9
M,0.575,0.857,0.3665,9
M,0.635,1.154,0.4405,9
I,0.52,0.633,0.2985,9
F,0.455,0.4495,0.177,9
M,0.67,1.4915,0.728,9
M,0.575,1.114,0.4955,9
F,0.64,1.2645,0.565,9
F,0.69,1.659,0.8715,9
M,0.5,0.577,0.269,9
M,0.52,0.7765,0.3525,9
F,0.61,1.438,0.5185,9
M,0.51,1.2825,0.569,9
M,0.58,1.063,0.513,9
F,0.515,0.516,0.2015,9
F,0.55,0.765,0.33,9
F,0.635,1.2235,0.532,9
F,0.645,1.285,0.5775,9
I,0.59,0.7715,0.328,9
I,0.49,0.511,0.2205,9
M,0.525,0.872,0.4625,9
M,0.545,0.737,0.349,9
M,0.615,1.118,0.446,9
I,0.5,0.559,0.2375,9
F,0.56,1.6645,0.7755,9
M,0.31,0.1295,0.0455,9
I,0.485,0.591,0.287,9
M,0.63,1.2795,0.618,9
F,0.6,0.776,0.3545,9
M,0.425,0.4085,0.1755,9
I,0.61,0.9225,0.436,9
I,0.52,0.646,0.2965,9
I,0.575,0.9895,0.495,9
F,0.57,0.9685,0.446,9
I,0.455,0.4725,0.215,9
I,0.465,0.4365,0.188,9
M,0.66,1.5905,0.6425,9
M,0.6,1.247,0.5335,9
I,0.475,0.5465,0.229,9
M,0.665,1.2975,0.6075,9
I,0.54,0.709,0.3195,9
M,0.47,0.6355,0.2185,9
I,0.515,0.5805,0.2365,9
M,0.465,0.431,0.172,9
F,0.665,1.349,0.5985,9
F,0.625,1.264,0.5715,9
F,0.37,0.27,0.1125,9
F,0.515,0.6295,0.2815,9
F,0.625,1.115,0.484,9
I,0.565,0.743,0.31,9
M,0.57,0.952,0.3895,9
M,0.5,0.528,0.2125,9
F,0.6,1.4405,0.5885,9
F,0.62,1.1945,0.5105,9
I,0.56,0.8205,0.3715,9
F,0.47,0.4205,0.163,9
I,0.54,0.742,0.32,9
I,0.365,0.25,0.1075,9
M,0.45,0.381,0.1705,9
F,0.455,0.4925,0.216,9
M,0.385,0.24,0.0885,9
F,0.55,0.797,0.297,9
M,0.625,1.1415,0.5795,9
I,0.525,0.596,0.2805,9
M,0.445,0.4475,0.193,9
F,0.59,1.151,0.613,9
I,0.42,0.28,0.094,9
M,0.515,0.646,0.285,9
M,0.55,0.8745,0.413,9
F,0.435,0.3635,0.136,9
M,0.59,1.1735,0.6245,9
I,0.53,0.6765,0.256,9
I,0.5,0.6615,0.2585,9
F,0.63,1.3205,0.5945,9
M,0.43,0.6485,0.2735,9
I,0.57,0.867,0.3705,9
F,0.66,1.4045,0.6255,9
F,0.49,0.5755,0.22,9
M,0.61,1.024,0.409,9
F,0.575,1.099,0.4735,9
F,0.65,1.238,0.647,9
I,0.55,0.639,0.269,9
M,0.63,1.2525,0.63,9
I,0.475,0.4425,0.1895,9
F,0.505,0.729,0.2675,9
M,0.585,0.9565,0.4025,9
F,0.635,1.2615,0.5385,9
M,0.585,0.98,0.4315,9
M,0.57,1.02,0.4805,9
I,0.57,0.848,0.4,9
M,0.53,0.706,0.3355,9
M,0.505,0.653,0.3315,9
F,0.605,0.974,0.393,9
I,0.485,0.5085,0.21,9
I,0.55,0.912,0.495,9
I,0.53,0.7045,0.346,9
M,0.44,0.394,0.157,9
M,0.6,0.877,0.4325,9
F,0.405,0.3485,0.1455,9
M,0.425,0.3755,0.142,9
M,0.64,1.4545,0.642,9
I,0.525,0.6965,0.369,9
M,0.595,0.852,0.4215,9
M,0.425,0.359,0.173,9
M,0.67,1.4405,0.6595,9
F,0.57,0.9795,0.397,9
I,0.515,0.4725,0.1815,9
F,0.415,0.3455,0.1405,9
M,0.295,0.1385,0.048,9
I,0.52,0.6375,0.308,9
M,0.525,0.842,0.428,9
F,0.64,1.36,0.653,9
F,0.46,0.517,0.2205,9
F,0.665,1.4355,0.643,9
M,0.5,1.0615,0.494,9
M,0.6,1.1385,0.502,9
F,0.64,1.3185,0.6185,9
F,0.525,0.6995,0.3115,9
I,0.665,1.2975,0.6035,9
M,0.585,0.97,0.462,9
F,0.64,1.1545,0.4865,9
F,0.55,0.745,0.347,9
F,0.56,0.903,0.3575,9
M,0.345,0.2005,0.094,9
I,0.29,0.152,0.071,9
F,0.65,1.3105,0.577,9
I,0.555,0.7665,0.341,9
M,0.59,1.077,0.4545,9
M,0.545,0.82,0.4615,9
I,0.49,0.591,0.271,9
I,0.475,0.4865,0.2155,9
I,0.505,0.596,0.245,9
M,0.575,1.0535,0.516,9
I,0.5,0.5605,0.28,9
F,0.56,0.8825,0.3465,9
F,0.575,0.927,0.333,9
F,0.605,1.1685,0.4815,9
F,0.61,1.136,0.414,9
I,0.56,0.688,0.3095,9
I,0.475,0.49,0.223,9
M,0.65,1.368,0.6185,9
M,0.58,0.984,0.49,9
M,0.455,0.462,0.1675,9
M,0.575,0.9765,0.495,9
F,0.635,1.2635,0.512,9
I,0.62,0.8565,0.3595,9
F,0.55,0.7635,0.318,9
F,0.6,1.0805,0.4995,9
I,0.575,0.78,0.3275,9
F,0.575,0.8975,0.4115,9
M,0.62,1.309,0.587,9
I,0.435,0.3325,0.1485,9
F,0.62,1.3245,0.6865,9
I,0.485,0.869,0.3085,9
F,0.505,0.644,0.2475,9
F,0.44,0.4035,0.175,9
F,0.655,1.043,0.4795,9
F,0.625,1.127,0.477,9
M,0.6,0.9165,0.4135,9
F,0.56,0.8215,0.342,9
M,0.65,1.542,0.7155,9
I,0.56,0.832,0.3455,9
F,0.57,0.9645,0.531,9
I,0.6,0.9205,0.445,9
I,0.53,0.6615,0.2945,9
M,0.58,0.814,0.3775,9
F,0.55,1.1655,0.502,9
I,0.525,0.6315,0.3045,9
I,0.55,0.936,0.481,9
I,0.515,0.5925,0.265,9
M,0.67,1.6385,0.8115,9
F,0.65,1.122,0.545,9
F,0.655,1.204,0.5455,9
F,0.605,0.862,0.334,9
F,0.685,1.5845,0.7175,9
M,0.375,0.276,0.1175,9
M,0.625,1.2415,0.6575,9
F,0.475,0.447,0.1695,9
F,0.405,0.3555,0.151,9
F,0.56,0.8715,0.4755,9
M,0.565,0.802,0.3595,9
I,0.53,0.575,0.247,9
M,0.62,1.0725,0.4815,9
I,0.53,0.781,0.3905,9
M,0.58,0.8675,0.3935,9
F,0.605,1.1345,0.5265,9
M,0.52,0.872,0.4515,9
F,0.62,1.2705,0.5415,9
F,0.58,0.953,0.475,9
M,0.6,1.0105,0.423,9
I,0.5,0.542,0.215,9
F,0.59,1.007,0.4775,9
F,0.595,1.04,0.452,9
F,0.53,0.8255,0.375,9
F,0.56,1.0315,0.432,9
F,0.575,0.869,0.435,9
F,0.435,0.38,0.1695,9
F,0.675,1.4985,0.62,9
M,0.555,0.8625,0.4225,9
M,0.655,1.1445,0.53,9
M,0.57,0.795,0.3385,9
M,0.345,0.197,0.0665,9
F,0.65,1.464,0.6415,9
F,0.625,1.288,0.573,9
F,0.64,1.2015,0.559,9
I,0.55,0.717,0.3315,9
I,0.58,0.7095,0.303,9
F,0.495,0.7555,0.3355,9
I,0.56,0.777,0.354,9
I,0.59,0.755,0.334,9
M,0.59,1.262,0.5685,9
M,0.41,0.306,0.121,9
I,0.545,0.686,0.3285,9
M,0.645,1.2215,0.5695,9
M,0.505,0.625,0.305,9
I,0.515,0.636,0.3055,9
M,0.565,0.9255,0.4345,9
F,0.545,0.778,0.368,9
I,0.5,0.528,0.229,9
M,0.44,0.4775,0.132,9
M,0.59,0.9235,0.4545,9
M,0.525,0.7555,0.3755,9
M,0.555,0.9685,0.4985,9
F,0.64,1.1435,0.4915,9
I,0.575,0.9175,0.45,9
M,0.5,0.5945,0.309,9
M,0.5,0.6155,0.241,9
I,0.54,0.8195,0.3935,9
M,0.595,1.044,0.518,9
I,0.36,0.1975,0.0745,9
F,0.56,0.967,0.4525,9
F,0.555,0.7545,0.3525,9
F,0.56,0.932,0.361,9
I,0.47,0.4615,0.229,9
F,0.645,1.2415,0.5815,9
F,0.445,0.4525,0.18,9
M,0.59,1.09,0.5,9
F,0.705,1.757,0.8265,9
M,0.57,1.02,0.546,9
F,0.62,0.9545,0.455,9
I,0.485,0.457,0.1885,9
F,0.575,0.958,0.442,9
F,0.635,1.1565,0.5115,9
M,0.41,0.301,0.124,9
M,0.645,1.3815,0.672,9
F,0.435,0.459,0.197,9
F,0.635,1.2945,0.668,9
M,0.35,0.1915,0.08,9
M,0.59,0.9765,0.4525,9
M,0.58,1.1335,0.586,9
M,0.645,1.4745,0.605,9
F,0.37,0.25,0.111,9
M,0.48,0.777,0.216,9
I,0.525,0.601,0.2625,9
F,0.575,1.078,0.511,9
F,0.56,0.898,0.3895,9
M,0.555,0.873,0.4625,9
M,0.595,0.919,0.4335,9
M,0.51,0.681,0.3435,9
F,0.615,1.027,0.447,9
F,0.65,1.337,0.615,9
M,0.575,1.0225,0.549,9
F,0.62,1.056,0.493,9
I,0.355,0.271,0.1425,9
F,0.485,0.5565,0.2215,9
M,0.58,1.0165,0.491,9
M,0.61,1.0765,0.488,9
I,0.5,0.594,0.2945,9
I,0.335,0.1785,0.071,9
M,0.53,0.769,0.346,9
M,0.36,0.2105,0.066,9
M,0.615,1.4335,0.7315,9
F,0.65,1.3875,0.58,9
M,0.59,1.142,0.485,9
F,0.69,1.5535,0.7945,9
F,0.7,1.6465,0.8545,9
F,0.595,1.0045,0.4655,9
I,0.46,0.3945,0.1685,9
M,0.575,0.847,0.415,9
M,0.615,1.0375,0.476,9
F,0.505,0.674,0.3165,9
M,0.59,1.0785,0.4535,9
M,0.57,0.8965,0.383,9
M,0.6,1.259,0.6405,9
F,0.515,0.578,0.191,9
M,0.46,0.5735,0.2505,9
F,0.485,0.5885,0.27,9
M,0.53,0.7905,0.307,9
M,0.555,0.8705,0.407,9
F,0.595,1.0155,0.491,9
F,0.595,0.914,0.3895,9
F,0.58,0.844,0.3645,9
M,0.6,1.059,0.504,9
M,0.465,0.486,0.231,9
I,0.53,0.694,0.3905,9
M,0.65,1.407,0.7215,9
I,0.28,0.127,0.052,9
M,0.635,1.3555,0.619,9
I,0.575,0.872,0.4675,9
F,0.54,0.8035,0.38,9
I,0.565,0.8445,0.3975,9
M,0.37,0.234,0.0905,9
F,0.64,1.5335,0.6635,9
I,0.46,0.3705,0.1575,9
I,0.365,0.218,0.0935,9
M,0.505,0.635,0.29,9
M,0.62,0.9505,0.4915,9
F,0.67,1.46,0.6435,9
F,0.605,1.201,0.417,9
I,0.585,0.6735,0.2895,9
M,0.61,1.3305,0.783,9
I,0.52,0.5805,0.2445,9
M,0.625,1.331,0.5725,9
F,0.47,0.543,0.2295,9
F,0.745,2.25,1.1565,9
I,0.335,0.17,0.062,9
M,0.655,1.4095,0.586,9
M,0.49,0.674,0.3325,9
M,0.62,1.1325,0.5235,9
F,0.605,0.9775,0.468,9
M,0.55,0.8705,0.4455,9
M,0.575,1.08,0.595,9
F,0.55,0.7135,0.2565,9
I,0.5,0.537,0.2165,9
M,0.525,0.707,0.282,9
I,0.55,0.7305,0.3325,9
F,0.625,1.273,0.564,9
M,0.5,0.7815,0.361,9
M,0.65,1.2655,0.615,9
F,0.57,0.995,0.504,9
M,0.66,1.3195,0.667,9
F,0.63,1.147,0.5455,9
F,0.635,1.145,0.4775,9
F,0.57,0.908,0.4015,9
F,0.575,0.7955,0.3485,9
F,0.45,0.438,0.1805,9
F,0.6,0.9625,0.4375,9
I,0.505,0.5385,0.2645,9
I,0.565,1.1815,0.581,9
I,0.57,0.7745,0.3535,9
M,0.54,0.8115,0.392,9
I,0.625,1.044,0.438,9
M,0.515,0.7225,0.295,9
M,0.47,0.51,0.1915,9
M,0.515,0.6335,0.288,9
F,0.585,0.9325,0.365,9
M,0.475,0.537,0.222,9
