@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.405,0.6925,0.1805,7
I,0.31,0.339,0.09,7
I,0.29,0.2445,0.075,7
F,0.525,1.445,0.435,7
M,0.32,0.414,0.117,7
M,0.45,0.9,0.218,7
I,0.35,0.4905,0.135,7
I,0.31,0.127,0.085,7
I,0.335,0.4195,0.1345,7
I,0.29,0.319,0.082,7
I,0.37,0.637,0.128,7
I,0.25,0.186,0.0445,7
M,0.24,0.17,0.049,7
I,0.29,0.2825,0.0815,7
I,0.235,0.183,0.042,7
F,0.35,0.4195,0.13,7
I,0.335,0.3935,0.11,7
M,0.39,0.7125,0.155,7
M,0.405,0.818,0.189,7
I,0.27,0.196,0.053,7
I,0.26,0.1965,0.055,7
I,0.315,0.303,0.095,7
I,0.335,0.3305,0.105,7
I,0.28,0.196,0.0605,7
M,0.4,0.61,0.144,7
I,0.315,0.3675,0.0985,7
I,0.255,0.187,0.058,7
I,0.3,0.286,0.09,7
F,0.38,0.573,0.144,7
M,0.195,0.106,0.036,7
I,0.295,0.293,0.082,7
I,0.34,0.3515,0.094,7
I,0.355,0.4155,0.139,7
I,0.215,0.1155,0.035,7
I,0.27,0.2255,0.064,7
M,0.265,0.2965,0.085,7
I,0.31,0.317,0.0935,7
M,0.405,0.9235,0.24,7
I,0.38,0.6645,0.1425,7
I,0.335,0.4895,0.1105,7
I,0.28,0.2905,0.115,7
I,0.325,0.35,0.105,7
I,0.28,0.2235,0.08,7
F,0.46,0.9945,0.265,7
I,0.275,0.22,0.0605,7
I,0.215,0.1275,0.036,7
F,0.38,0.486,0.185,7
I,0.3,0.343,0.081,7
F,0.375,0.4915,0.17,7
I,0.355,0.495,0.125,7
I,0.325,0.313,0.0965,7
I,0.25,0.4015,0.1255,7
I,0.2,0.1165,0.035,7
I,0.32,0.3465,0.09,7
I,0.265,0.2,0.06,7
M,0.39,0.6435,0.161,7
I,0.3,0.316,0.1035,7
M,0.42,0.778,0.205,7
M,0.225,0.1345,0.05,7
F,0.37,0.5265,0.148,7
M,0.36,0.5795,0.12,7
I,0.28,0.218,0.0615,7
I,0.315,0.3685,0.12,7
M,0.39,0.7835,0.156,7
I,0.39,0.5545,0.1895,7
I,0.24,0.1455,0.045,7
I,0.335,0.3245,0.098,7
I,0.385,0.572,0.165,7
I,0.33,0.3905,0.1025,7
I,0.28,0.257,0.07,7
M,0.25,0.181,0.06,7
M,0.41,0.7355,0.2,7
I,0.2,0.0975,0.028,7
I,0.375,0.5695,0.157,7
I,0.375,0.6025,0.16,7
I,0.36,0.4635,0.115,7
I,0.2,0.1035,0.03,7
M,0.36,0.4285,0.112,7
I,0.36,0.466,0.11,7
I,0.195,0.084,0.025,7
I,0.23,0.14,0.046,7
I,0.27,0.1855,0.065,7
M,0.46,1.127,0.296,7
M,0.215,0.129,0.04,7
I,0.38,0.494,0.1325,7
I,0.28,0.2145,0.072,7
I,0.25,0.465,0.128,7
I,0.26,0.1765,0.0575,7
I,0.35,0.498,0.14,7
I,0.33,0.3715,0.0975,7
I,0.31,0.301,0.08,7
F,0.29,0.3055,0.09,7
I,0.385,0.5735,0.136,7
I,0.35,0.519,0.126,7
I,0.245,0.156,0.045,7
I,0.305,0.268,0.085,7
I,0.25,0.1745,0.04,7
F,0.37,0.594,0.1375,7
I,0.26,0.1785,0.075,7
I,0.26,0.1985,0.058,7
I,0.325,0.325,0.1025,7
I,0.32,0.3735,0.109,7
I,0.29,0.2285,0.075,7
I,0.29,0.232,0.08,7
I,0.345,0.4035,0.13,7
I,0.33,0.335,0.11,7
I,0.29,0.2225,0.073,7
I,0.335,0.334,0.0965,7
I,0.34,0.379,0.101,7
I,0.235,0.149,0.047,7
I,0.32,0.3045,0.094,7
F,0.44,0.7115,0.1915,7
M,0.28,0.2225,0.075,7
M,0.4,0.6725,0.1825,7
I,0.325,0.3335,0.1,7
I,0.29,0.2625,0.077,7
I,0.335,0.3295,0.11,7
M,0.325,0.3295,0.11,7
M,0.37,0.6315,0.161,7
I,0.315,0.2805,0.11,7
I,0.255,0.205,0.055,7
I,0.39,0.6125,0.172,7
F,0.325,0.4335,0.155,7
M,0.38,0.65,0.159,7
M,0.155,0.0425,0.0155,7
M,0.21,0.1185,0.04,7
I,0.25,0.176,0.063,7
M,0.23,0.1165,0.04,7
F,0.34,0.391,0.1405,7
I,0.22,0.1425,0.043,7
I,0.34,0.434,0.13,7
F,0.495,1.3105,0.355,9
F,0.465,0.9355,0.259,9
M,0.46,0.9505,0.228,9
F,0.5,1.438,0.3345,9
I,0.395,0.633,0.175,9
F,0.525,1.4785,0.42,9
M,0.455,0.97,0.295,9
F,0.5,1.159,0.31,9
I,0.43,0.783,0.247,9
F,0.5,1.2645,0.315,9
F,0.485,1.254,0.3485,9
F,0.415,1.1655,0.311,9
M,0.475,1.176,0.308,9
M,0.39,0.6355,0.255,9
M,0.38,0.681,0.17,9
M,0.355,0.4775,0.19,9
M,0.46,0.852,0.227,9
M,0.455,1.1035,0.325,9
M,0.315,0.306,0.09,9
M,0.37,0.6145,0.146,9
M,0.29,0.2795,0.075,9
F,0.465,1.1605,0.307,9
F,0.46,1.103,0.249,9
I,0.365,0.5465,0.172,9
I,0.445,0.9205,0.253,9
I,0.43,0.836,0.24,9
F,0.5,1.4355,0.37,9
I,0.47,0.8565,0.295,9
I,0.435,0.777,0.222,9
F,0.355,0.517,0.165,9
M,0.3,0.24,0.085,9
F,0.46,0.9325,0.29,9
I,0.42,0.701,0.2255,9
M,0.225,0.1295,0.044,9
F,0.45,0.9705,0.248,9
M,0.41,1.2825,0.3795,9
M,0.31,0.6485,0.184,9
M,0.45,1.02,0.25,9
F,0.465,1.099,0.35,9
M,0.525,1.4005,0.387,9
F,0.425,0.9455,0.295,9
M,0.48,1.192,0.285,9
F,0.44,1.018,0.265,9
M,0.27,0.195,0.059,9
M,0.455,0.7225,0.235,9
F,0.57,2.25,0.558,9
M,0.46,1.063,0.2625,9
I,0.435,0.741,0.206,9
M,0.455,0.952,0.2745,9
M,0.4,0.7765,0.185,9
M,0.5,1.2975,0.315,9
F,0.41,0.7405,0.203,9
M,0.465,1.0535,0.235,9
M,0.47,1.108,0.3345,9
F,0.45,0.8265,0.225,9
I,0.375,0.559,0.169,9
I,0.405,0.573,0.195,9
M,0.5,1.2915,0.37,9
I,0.28,0.199,0.08,9
M,0.39,0.7815,0.2385,9
F,0.445,0.903,0.295,9
F,0.475,1.1545,0.288,9
M,0.355,0.528,0.14,9
I,0.44,0.768,0.2475,9
M,0.4,0.6335,0.168,9
F,0.44,0.83,0.238,9
M,0.405,0.7175,0.17,9
F,0.325,0.455,0.14,9
F,0.415,0.8115,0.2035,9
M,0.39,0.653,0.167,9
M,0.445,0.847,0.22,9
M,0.435,0.725,0.25,9
M,0.41,0.793,0.19,9
F,0.475,1.0265,0.2565,9
M,0.48,0.9165,0.2725,9
I,0.415,0.596,0.1695,9
I,0.455,0.974,0.235,9
I,0.355,0.372,0.135,9
M,0.45,0.894,0.264,9
M,0.44,0.8705,0.255,9
M,0.37,0.968,0.2365,9
M,0.34,0.4475,0.13,9
M,0.5,1.154,0.387,9
I,0.445,0.7715,0.23,9
M,0.465,0.919,0.262,9
M,0.45,0.795,0.245,9
F,0.48,1.3235,0.355,9
I,0.395,0.5585,0.17,9
F,0.475,0.9545,0.277,9
I,0.355,0.4915,0.1325,9
F,0.525,1.711,0.475,9
F,0.43,0.7135,0.225,9
I,0.455,0.6855,0.2035,9
F,0.485,1.1945,0.352,9
M,0.395,0.674,0.185,9
I,0.395,0.5805,0.19,9
M,0.52,1.6385,0.391,9
M,0.48,1.1415,0.29,9
M,0.465,1.08,0.238,9
F,0.475,1.4405,0.3175,9
I,0.265,0.209,0.075,9
M,0.51,1.4745,0.48,9
F,0.475,1.055,0.2345,9
M,0.475,1.1385,0.31,9
F,0.49,1.056,0.2725,9
F,0.46,0.927,0.2985,9
I,0.46,0.7635,0.265,9
M,0.445,0.984,0.27,9
M,0.55,1.51,0.5085,9
F,0.475,1.3245,0.3275,9
M,0.35,0.393,0.165,9
M,0.26,0.195,0.0655,9
I,0.435,0.848,0.25,9
M,0.445,0.8625,0.24,9
M,0.375,0.777,0.17,9
F,0.485,1.3205,0.345,9
F,0.41,0.6765,0.22,9
F,0.44,0.863,0.27,9
F,0.425,0.932,0.335,9
F,0.47,1.0155,0.289,9
M,0.445,0.836,0.2245,9
F,0.33,0.4525,0.123,9
M,0.37,0.5095,0.165,9
M,0.465,0.8875,0.2695,9
M,0.365,0.5945,0.1535,9
F,0.305,0.3485,0.1,9
I,0.4,0.6055,0.21,9
M,0.35,0.5165,0.185,9
M,0.325,0.3555,0.105,9
M,0.47,1.041,0.279,9
I,0.365,0.528,0.1645,9
M,0.46,1.0165,0.265,9
F,0.49,1.122,0.3055,9
M,0.37,0.537,0.15,9
M,0.42,0.8115,0.2235,9
F,0.435,0.8715,0.1835,9
M,0.33,0.4405,0.155,9
F,0.5,1.4595,0.39,9
M,0.455,1.859,0.441,9
F,0.44,0.983,0.2485,9
F,0.45,0.9835,0.22,9
F,0.36,0.4715,0.149,9
F,0.325,0.3555,0.117,9
I,0.375,0.471,0.14,9
F,0.47,0.974,0.3345,9
M,0.415,0.706,0.1345,9
F,0.55,1.219,0.301,9
M,0.535,1.5905,0.5175,9
M,0.455,1.09,0.292,9
M,0.57,2.3305,0.52,9
I,0.45,0.78,0.235,9
F,0.35,0.4035,0.129,9
M,0.48,0.9465,0.2505,9
M,0.475,1.2525,0.343,9
I,0.44,0.8515,0.1965,9
I,0.39,0.664,0.178,9
M,0.48,1.0725,0.312,9
I,0.4,0.601,0.1835,9
F,0.43,0.811,0.2285,9
F,0.4,0.729,0.25,9
I,0.425,0.639,0.217,9
M,0.305,0.359,0.0975,9
F,0.445,0.9905,0.218,9
I,0.38,0.594,0.1565,9
M,0.475,1.161,0.275,9
I,0.365,0.501,0.1465,9
M,0.355,0.4625,0.145,9
I,0.355,0.4075,0.165,9
F,0.405,0.651,0.2,9
I,0.45,0.872,0.217,9
I,0.37,0.4365,0.147,9
F,0.49,1.136,0.2925,9
I,0.42,0.6885,0.237,9
F,0.42,0.756,0.275,9
M,0.51,1.285,0.315,9
M,0.51,1.3555,0.39,9
F,0.485,1.38,0.401,9
F,0.435,0.745,0.2265,9
I,0.36,0.447,0.16,9
M,0.425,0.9415,0.1975,9
M,0.305,0.282,0.096,9
F,0.45,0.9625,0.2775,9
M,0.475,1.077,0.3095,9
I,0.39,0.511,0.1745,9
M,0.35,0.9225,0.273,9
F,0.335,0.38,0.11,9
F,0.38,0.578,0.18,9
F,0.44,1.007,0.2925,9
F,0.5,1.273,0.374,9
M,0.525,1.4405,0.425,9
M,0.315,0.3895,0.103,9
F,0.52,1.5475,0.466,9
F,0.51,1.2415,0.315,9
I,0.455,1.0015,0.244,9
I,0.43,0.6545,0.21,9
M,0.49,1.1335,0.237,9
I,0.39,0.5075,0.1755,9
I,0.41,0.646,0.165,9
I,0.485,1.044,0.278,9
I,0.4,0.636,0.1855,9
M,0.515,1.1805,0.3275,9
M,0.47,1.1185,0.31,9
M,0.375,0.5105,0.205,9
F,0.475,0.895,0.271,9
F,0.465,1.151,0.2515,9
M,0.42,0.6765,0.2065,9
M,0.43,0.8995,0.234,9
I,0.465,0.936,0.2435,9
I,0.415,0.694,0.167,9
M,0.53,1.12,0.286,9
I,0.395,0.5805,0.165,9
M,0.445,0.814,0.22,9
M,0.425,0.7905,0.2595,9
M,0.375,0.487,0.155,9
F,0.395,0.3635,0.13,9
M,0.495,1.025,0.34,9
F,0.365,0.5885,0.175,9
M,0.37,0.51,0.1625,9
M,0.45,0.886,0.2575,9
I,0.37,0.5435,0.165,9
M,0.405,0.625,0.175,9
I,0.35,0.4225,0.1355,9
F,0.425,0.797,0.265,9
F,0.46,0.921,0.2875,9
I,0.36,0.452,0.1035,9
M,0.4,0.707,0.225,9
F,0.34,0.482,0.16,9
I,0.39,0.599,0.169,9
M,0.475,0.944,0.315,9
M,0.485,1.2215,0.33,9
F,0.43,0.898,0.245,9
I,0.42,0.7265,0.229,9
F,0.47,1.1775,0.292,9
M,0.4,0.622,0.184,9
F,0.58,1.523,0.4375,9
I,0.435,0.8445,0.255,9
I,0.45,0.738,0.22,9
F,0.47,1.084,0.246,9
M,0.36,0.431,0.175,9
I,0.4,0.6095,0.175,9
F,0.485,1.1405,0.288,9
M,0.46,0.9335,0.235,9
I,0.255,0.1785,0.055,9
I,0.335,0.4425,0.135,9
F,0.43,0.832,0.201,9
F,0.37,0.45,0.155,9
M,0.385,0.655,0.185,9
I,0.35,0.3705,0.114,9
I,0.425,0.742,0.25,9
F,0.415,0.7635,0.2,9
M,0.52,1.4095,0.405,9
M,0.525,1.4915,0.381,9
F,0.49,1.127,0.3185,9
M,0.485,1.0785,0.31,9
M,0.415,0.82,0.218,9
I,0.5,1.2975,0.3595,9
M,0.46,1.0375,0.25,9
I,0.45,0.728,0.265,9
F,0.525,1.238,0.3005,9
F,0.43,0.7955,0.22,9
M,0.285,0.2205,0.07,9
M,0.4,0.5975,0.166,9
I,0.355,0.4325,0.1275,9
F,0.29,0.25,0.075,9
F,0.45,0.908,0.255,9
F,0.45,1.136,0.3,9
M,0.305,0.2935,0.105,9
F,0.505,1.349,0.36,9
M,0.485,1.3305,0.2865,9
I,0.29,0.2615,0.0745,9
M,0.51,1.296,0.32,9
I,0.4,0.6965,0.175,9
M,0.47,1.0105,0.298,9
I,0.375,0.5795,0.185,9
I,0.345,0.869,0.319,9
F,0.455,1.04,0.288,9
M,0.29,0.283,0.085,9
M,0.475,1.142,0.245,9
M,0.48,1.2415,0.2785,9
I,0.485,1.2565,0.386,9
I,0.32,0.3875,0.12,9
I,0.315,0.347,0.1,9
F,0.505,1.3185,0.3315,9
I,0.35,0.3945,0.125,9
I,0.41,0.6075,0.1975,9
F,0.44,0.8025,0.259,9
M,0.34,0.462,0.12,9
M,0.28,0.234,0.075,9
F,0.255,0.197,0.06,9
I,0.425,0.6115,0.2,9
F,0.485,0.776,0.239,9
F,0.455,0.967,0.274,9
I,0.425,0.7675,0.21,9
M,0.37,0.5795,0.14,9
F,0.485,1.2945,0.2715,9
M,0.305,0.2775,0.1,9
F,0.41,0.7145,0.2075,9
M,0.53,1.2795,0.315,9
M,0.47,1.1005,0.276,9
I,0.395,0.6555,0.192,9
M,0.545,1.7925,0.461,9
M,0.435,0.9765,0.235,9
I,0.445,0.8015,0.25,9
M,0.495,1.2935,0.355,9
I,0.415,0.709,0.185,9
F,0.51,1.2705,0.3225,9
M,0.495,1.254,0.3185,9
F,0.525,1.6465,0.3995,9
I,0.365,0.441,0.145,9
F,0.465,0.9685,0.255,9
M,0.435,0.806,0.215,9
M,0.3,0.301,0.09,9
M,0.255,0.2005,0.063,9
M,0.425,0.702,0.22,9
M,0.455,1.02,0.29,9
I,0.37,0.474,0.175,9
F,0.39,0.5565,0.185,9
M,0.44,0.802,0.215,9
F,0.45,0.92,0.2895,9
F,0.53,1.5535,0.3695,9
F,0.385,0.656,0.205,9
M,0.46,1.247,0.29,9
F,0.38,0.6855,0.161,9
F,0.46,1.494,0.1825,9
I,0.405,0.6615,0.19,9
M,0.32,0.381,0.115,9
F,0.47,0.897,0.29,9
M,0.4,0.872,0.1985,9
M,0.475,0.857,0.269,9
I,0.425,0.781,0.215,9
F,0.42,0.677,0.21,9
I,0.45,0.86,0.245,9
M,0.5,1.4545,0.354,9
M,0.395,0.635,0.175,9
F,0.52,1.494,0.37,9
M,0.455,0.907,0.26,9
M,0.445,0.9255,0.2475,9
F,0.505,1.306,0.375,9
I,0.43,0.7665,0.23,9
M,0.3,0.3055,0.085,9
F,0.505,1.4045,0.3745,9
I,0.275,0.1975,0.07,9
M,0.45,0.9215,0.2365,9
I,0.3,0.315,0.12,9
F,0.43,0.8435,0.1815,9
M,0.41,0.737,0.212,9
F,0.395,0.5685,0.161,9
F,0.515,1.264,0.321,9
F,0.365,0.4205,0.14,9
I,0.425,0.688,0.2165,9
M,0.49,1.1955,0.3,9
M,0.35,0.401,0.135,9
F,0.495,1.337,0.335,9
M,0.475,1.11,0.285,9
M,0.3,0.417,0.1175,9
F,0.455,0.714,0.275,9
F,0.455,0.862,0.3,9
I,0.42,0.6275,0.235,9
M,0.325,0.3755,0.105,9
M,0.405,0.853,0.245,9
F,0.54,1.757,0.461,9
F,0.49,1.204,0.3225,9
F,0.49,1.1665,0.299,9
M,0.435,1.057,0.31,9
F,0.47,1.1775,0.31,9
I,0.395,0.537,0.1785,9
M,0.465,1.259,0.357,9
M,0.47,0.9235,0.254,9
I,0.375,0.6315,0.19,9
I,0.39,0.591,0.12,9
M,0.35,0.4585,0.13,9
I,0.37,0.433,0.145,9
I,0.455,0.9895,0.246,9
M,0.48,1.262,0.335,9
F,0.285,0.27,0.0835,9
I,0.39,0.565,0.179,9
M,0.485,1.006,0.2835,9
