@relation abalone

@attribute Height numeric
@attribute Whole_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.115,0.569,0.1325,9
0.12,0.4495,0.104,9
0.12,0.6315,0.114,9
0.105,0.3875,0.074,9
0.165,1.0835,0.273,9
0.195,1.5655,0.353,9
0.165,0.869,0.197,9
0.15,0.9785,0.196,9
0.12,0.375,0.0965,9
0.175,1.1685,0.2305,9
0.165,1.077,0.244,9
0.1,0.381,0.075,9
0.12,0.793,0.1405,9
0.115,0.3455,0.0765,9
0.13,0.5585,0.1245,9
0.135,0.8435,0.18,9
0.15,0.783,0.1755,9
0.105,0.372,0.0765,9
0.15,1.195,0.302,9
0.155,1.027,0.25,9
0.155,1.2525,0.246,9
0.14,0.7265,0.1445,9
0.13,0.5945,0.1085,9
0.16,0.844,0.1855,9
0.09,0.2005,0.0295,9
0.11,0.3945,0.0865,9
0.155,1.4785,0.3405,9
0.16,1.2415,0.2625,9
0.15,1.1315,0.2745,9
0.125,0.4625,0.107,9
0.14,0.795,0.148,9
0.12,0.3755,0.1065,9
0.15,1.2095,0.2225,9
0.2,1.5475,0.314,9
0.155,0.7905,0.171,9
0.145,0.646,0.1595,9
0.125,0.447,0.081,9
0.145,0.974,0.1615,9
0.16,1.262,0.2725,9
0.15,0.9625,0.2225,9
0.085,0.2205,0.0515,9
0.145,0.9835,0.242,9
0.095,0.24,0.059,9
0.13,1.1335,0.2565,9
0.11,0.5745,0.1235,9
0.165,1.038,0.2205,9
0.135,1.02,0.204,9
0.08,0.452,0.0995,9
0.19,1.6385,0.369,9
0.175,1.2705,0.323,9
0.18,1.4545,0.3105,9
0.14,0.4615,0.1105,9
0.17,0.9325,0.271,9
0.12,0.542,0.116,9
0.095,0.25,0.0545,9
0.13,0.622,0.147,9
0.135,0.6765,0.1415,9
0.15,1.142,0.265,9
0.095,0.1975,0.0375,9
0.15,1.0165,0.221,9
0.12,0.4475,0.1035,9
0.13,0.5755,0.13,9
0.105,0.282,0.065,9
0.135,0.633,0.1295,9
0.075,0.155,0.0355,9
0.15,1.0615,0.223,9
0.16,0.8675,0.221,9
0.15,1.296,0.3315,9
0.16,1.201,0.2875,9
0.17,1.281,0.3035,9
0.1,0.352,0.089,9
0.15,0.639,0.1345,9
0.15,0.923,0.1825,9
0.15,0.8745,0.1905,9
0.145,0.797,0.15,9
0.135,0.7635,0.21,9
0.14,0.778,0.215,9
0.14,0.852,0.2255,9
0.18,1.154,0.2315,9
0.12,0.674,0.1235,9
0.125,0.4775,0.0815,9
0.155,1.368,0.288,9
0.135,0.7715,0.1745,9
0.165,1.058,0.25,9
0.155,0.867,0.1705,9
0.15,1.1815,0.2215,9
0.11,0.359,0.0875,9
0.16,0.644,0.2025,9
0.145,1.147,0.266,9
0.195,1.4405,0.2675,9
0.17,0.836,0.1815,9
0.165,1.4595,0.2645,9
0.105,0.3635,0.098,9
0.15,0.995,0.185,9
0.13,0.738,0.17,9
0.155,0.9145,0.1965,9
0.13,0.487,0.0965,9
0.145,0.688,0.1305,9
0.15,1.044,0.2205,9
0.145,1.3305,0.2255,9
0.15,1.151,0.239,9
0.13,0.7175,0.158,9
0.16,1.063,0.2705,9
0.165,0.832,0.179,9
0.16,1.057,0.224,9
0.16,0.811,0.159,9
0.15,0.741,0.1855,9
0.18,0.908,0.217,9
0.16,1.2415,0.276,9
0.18,1.438,0.3735,9
0.11,0.315,0.067,9
0.14,0.8705,0.156,9
0.145,0.862,0.1985,9
0.165,0.9765,0.2395,9
0.15,0.9465,0.2605,9
0.135,0.9205,0.2035,9
0.16,0.656,0.171,9
0.13,0.5735,0.119,9
0.125,0.932,0.213,9
0.135,0.9215,0.209,9
0.125,0.596,0.097,9
0.185,1.3455,0.278,9
0.14,0.447,0.087,9
0.14,0.528,0.149,9
0.165,1.1325,0.2505,9
0.21,1.183,0.292,9
0.09,0.2615,0.0595,9
0.16,1.04,0.2655,9
0.075,0.152,0.059,9
0.15,1.043,0.223,9
0.165,0.729,0.155,9
0.135,0.636,0.1215,9
0.13,0.2935,0.0675,9
0.155,0.9765,0.2145,9
0.08,0.1915,0.0385,9
0.135,0.83,0.1735,9
0.145,0.8255,0.204,9
0.16,0.8295,0.2005,9
0.12,0.438,0.083,9
0.14,0.8565,0.16,9
0.15,0.8715,0.1835,9
0.165,1.349,0.3175,9
0.155,1.0325,0.2175,9
0.175,1.118,0.3195,9
0.14,0.7135,0.186,9
0.14,0.6055,0.108,9
0.115,0.3895,0.065,9
0.14,1.004,0.2165,9
0.155,1.1285,0.269,9
0.16,1.1415,0.2145,9
0.13,0.7745,0.1505,9
0.17,1.5535,0.3485,9
0.195,1.306,0.3305,9
0.14,0.745,0.174,9
0.165,1.108,0.2325,9
0.185,1.1185,0.2585,9
0.13,0.575,0.115,9
0.135,0.594,0.104,9
0.15,0.9595,0.2395,9
0.11,0.655,0.15,9
0.14,0.958,0.1815,9
0.12,0.471,0.119,9
0.125,0.6115,0.1375,9
0.19,1.464,0.339,9
0.2,1.3235,0.3055,9
0.135,0.462,0.158,9
0.14,0.836,0.1605,9
0.1,0.4085,0.092,9
0.12,0.5085,0.122,9
0.15,0.927,0.207,9
0.115,0.379,0.091,9
0.12,0.5885,0.131,9
0.12,0.5765,0.135,9
0.135,0.812,0.163,9
0.145,0.9255,0.212,9
0.16,1.2135,0.2235,9
0.175,1.2565,0.322,9
0.19,1.6465,0.307,9
0.175,1.3745,0.2715,9
0.115,0.6765,0.158,9
0.125,0.6965,0.1385,9
0.095,0.197,0.05,9
0.13,0.781,0.2005,9
0.15,0.8115,0.1875,9
0.135,0.6855,0.1565,9
0.1,0.2105,0.0525,9
0.11,0.3555,0.063,9
0.175,1.382,0.3115,9
0.12,0.3955,0.0765,9
0.15,0.9605,0.1725,9
0.16,1.09,0.2215,9
0.14,0.7665,0.165,9
0.16,0.869,0.185,9
0.15,0.7145,0.173,9
0.2,1.51,0.4265,9
0.125,0.537,0.1215,9
0.18,1.659,0.2655,9
0.135,0.717,0.1495,9
0.175,1.076,0.2195,9
0.105,0.5525,0.1245,9
0.145,0.9565,0.2365,9
0.09,0.195,0.041,9
0.12,0.632,0.148,9
0.14,0.6275,0.1175,9
0.145,0.8445,0.158,9
0.125,0.5805,0.1075,9
0.2,1.38,0.302,9
0.145,0.7765,0.1845,9
0.125,0.3915,0.1025,9
0.12,0.646,0.1365,9
0.12,0.591,0.1125,9
0.145,0.9685,0.168,9
0.19,1.4745,0.345,9
0.16,0.9455,0.2005,9
0.125,0.7095,0.1405,9
0.155,0.974,0.224,9
0.165,1.0155,0.1905,9
0.16,1.3825,0.304,9
0.13,0.4405,0.0935,9
0.12,0.706,0.1635,9
0.16,0.967,0.207,9
0.19,1.542,0.3735,9
0.14,0.7545,0.1835,9
0.115,0.49,0.1235,9
0.135,0.6965,0.1255,9
0.16,1.0265,0.2495,9
0.15,0.98,0.2545,9
0.16,1.1035,0.3015,9
0.16,0.984,0.201,9
0.13,0.686,0.1455,9
0.145,0.776,0.1585,9
0.195,1.1435,0.2345,9
0.125,0.4035,0.063,9
0.17,1.4545,0.3575,9
0.155,1.1385,0.2295,9
0.125,0.651,0.137,9
0.15,0.6355,0.0885,9
0.165,1.078,0.2095,9
0.145,0.847,0.1945,9
0.15,1.1185,0.2445,9
0.17,1.219,0.236,9
0.14,0.9615,0.1815,9
0.15,0.952,0.2155,9
0.08,0.127,0.039,9
0.155,1.145,0.3035,9
0.165,1.059,0.241,9
0.14,0.914,0.2225,9
0.2,1.259,0.1985,9
0.125,0.4225,0.079,9
0.135,1.1215,0.2305,9
0.15,1.309,0.4405,9
0.15,0.863,0.149,9
0.145,0.777,0.13,9
0.13,0.4725,0.0745,9
0.145,0.8995,0.1775,9
0.105,0.3705,0.077,9
0.165,1.4095,0.291,9
0.145,0.7905,0.1765,9
0.13,0.6615,0.1395,9
0.16,1.304,0.312,9
0.12,0.4365,0.0815,9
0.125,0.891,0.1915,9
0.145,1.1005,0.26,9
0.135,0.438,0.1165,9
0.19,1.4045,0.3375,9
0.15,1.247,0.2735,9
0.125,0.459,0.1145,9
0.145,0.872,0.18,9
0.15,1.2215,0.2735,9
0.19,1.4335,0.305,9
0.11,0.38,0.086,9
0.14,0.8195,0.1725,9
0.095,0.17,0.039,9
0.09,0.2775,0.0515,9
0.125,0.4075,0.074,9
0.17,0.8015,0.1465,9
0.14,1.1175,0.257,9
0.135,0.9415,0.2015,9
0.12,0.596,0.12,9
0.155,1.0805,0.19,9
0.175,1.1545,0.341,9
0.145,0.857,0.173,9
0.13,0.7145,0.144,9
0.16,1.3105,0.3315,9
0.115,0.578,0.1445,9
0.165,1.127,0.2365,9
0.145,0.5775,0.143,9
0.155,0.976,0.2285,9
0.135,0.516,0.132,9
0.15,0.5755,0.144,9
0.135,0.7305,0.1545,9
0.135,0.907,0.197,9
0.155,1.0785,0.2435,9
0.155,0.743,0.186,9
0.105,0.4715,0.0935,9
0.175,1.179,0.258,9
0.09,0.3275,0.086,9
0.125,0.642,0.133,9
0.15,0.919,0.1765,9
0.08,0.1565,0.034,9
0.1,0.5565,0.1155,9
0.155,0.968,0.2455,9
0.165,1.2945,0.2605,9
0.175,1.099,0.202,9
0.09,0.3055,0.0645,9
0.1,0.301,0.069,9
0.105,0.347,0.0785,9
0.155,1.115,0.277,9
0.16,1.494,0.331,9
0.135,0.728,0.1845,9
0.185,1.523,0.3595,9
0.1,0.2775,0.0605,9
0.14,0.601,0.1285,9
0.155,1.025,0.1945,9
0.155,1.177,0.278,9
0.155,0.912,0.1805,9
0.105,0.425,0.091,9
0.16,0.756,0.173,9
0.125,0.5925,0.1175,9
0.11,0.625,0.16,9
0.165,1.3195,0.269,9
0.125,0.515,0.087,9
0.09,0.1385,0.046,9
0.115,0.5685,0.1375,9
0.125,0.494,0.0835,9
0.11,1.136,0.1915,9
0.135,0.7815,0.1575,9
0.11,0.4555,0.0965,9
0.155,1.0765,0.249,9
0.19,1.018,0.207,9
0.125,0.663,0.131,9
0.205,1.3645,0.3025,9
0.125,0.8515,0.1715,9
0.085,0.1975,0.0415,9
0.16,1.056,0.244,9
0.12,0.653,0.1385,9
0.165,1.3875,0.3485,9
0.16,1.33,0.309,9
0.12,0.565,0.135,9
0.18,1.4915,0.343,9
0.15,0.725,0.1385,9
0.16,1.103,0.221,9
0.13,0.785,0.193,9
0.115,0.25,0.057,9
0.135,0.9795,0.2525,9
0.175,1.165,0.2205,9
0.175,1.211,0.2725,9
0.155,0.842,0.1415,9
0.13,0.6355,0.1565,9
0.14,0.737,0.15,9
0.155,0.578,0.1255,9
0.13,0.7675,0.1205,9
0.13,0.6995,0.131,9
0.17,1.0915,0.266,9
0.115,0.4075,0.0935,9
0.14,0.742,0.1395,9
0.145,0.6095,0.159,9
0.15,0.897,0.184,9
0.145,0.9235,0.173,9
0.125,0.741,0.1585,9
0.135,0.6295,0.127,9
0.16,0.895,0.221,9
0.17,1.3555,0.305,9
0.19,0.714,0.129,9
0.19,2.3305,0.541,9
0.175,1.4355,0.345,9
0.145,0.9775,0.1775,9
0.165,1.307,0.2545,9
0.13,0.777,0.173,9
0.12,0.537,0.1085,9
0.155,1.2825,0.291,9
0.15,1.044,0.2865,9
0.15,1.08,0.2065,9
0.175,1.224,0.261,9
0.175,1.2655,0.2775,9
0.215,2.25,0.446,9
0.135,0.709,0.174,9
0.18,1.1655,0.301,9
0.16,0.9175,0.1935,9
0.16,1.3245,0.233,9
0.13,0.784,0.1885,9
0.17,1.2635,0.322,9
0.135,0.814,0.1915,9
0.17,1.2615,0.2665,9
0.14,0.6155,0.1355,9
0.08,0.2,0.05,9
0.125,0.5095,0.1125,9
0.105,0.4535,0.08,9
0.125,0.7555,0.129,9
0.125,0.802,0.1825,9
0.135,0.6855,0.154,9
0.105,0.431,0.107,9
0.16,1.251,0.3345,9
0.105,0.486,0.1035,9
0.165,0.9355,0.2275,9
0.085,0.1785,0.0405,9
0.14,1.0045,0.2095,9
0.175,1.3275,0.2805,9
0.15,1.0875,0.283,9
0.14,0.953,0.2165,9
0.165,1.056,0.2195,9
0.155,1.337,0.3195,9
0.17,1.0805,0.2245,9
0.14,0.82,0.127,9
0.14,0.6375,0.1335,9
0.12,0.4165,0.095,9
0.155,0.9225,0.198,9
0.13,0.8705,0.2115,9
0.17,1.711,0.352,9
0.17,1.289,0.2945,9
0.125,0.577,0.1265,9
0.125,0.9225,0.19,9
0.125,0.5805,0.146,9
0.11,0.4465,0.089,9
0.135,0.7225,0.1625,9
0.165,1.1775,0.2275,9
0.14,0.8035,0.1805,9
0.165,1.213,0.2435,9
0.105,0.27,0.0585,9
0.135,0.681,0.142,9
0.13,0.694,0.111,9
0.11,0.28,0.0785,9
0.155,0.707,0.1605,9
0.08,0.3325,0.0635,9
0.175,1.254,0.286,9
0.115,0.6145,0.155,9
0.15,1.142,0.237,9
0.175,1.2975,0.314,9
0.155,1.407,0.298,9
0.175,1.0405,0.2225,9
0.12,0.7555,0.1555,9
0.195,0.8265,0.173,9
0.13,0.7045,0.1415,9
0.105,0.872,0.1615,9
0.125,0.5975,0.1275,9
0.18,1.6645,0.35,9
0.17,1.0985,0.22,9
0.175,1.024,0.261,9
0.125,0.591,0.141,9
0.15,0.8825,0.172,9
0.18,1.469,0.3335,9
0.12,0.664,0.147,9
0.16,0.839,0.198,9
0.14,0.6595,0.2035,9
0.165,0.9165,0.1965,9
0.115,0.421,0.091,9
0.12,0.913,0.196,9
0.1,0.276,0.0565,9
0.155,1.1945,0.271,9
0.14,0.701,0.102,9
0.205,1.7925,0.416,9
0.16,1.1665,0.3155,9
0.16,1.3815,0.326,9
0.125,0.455,0.1125,9
0.15,1.0375,0.2325,9
0.18,1.79,0.3535,9
0.16,0.895,0.195,9
0.2,1.46,0.328,9
0.18,0.51,0.1285,9
0.125,0.5435,0.101,9
0.175,1.3185,0.302,9
0.175,1.11,0.256,9
0.135,0.5385,0.095,9
0.135,0.837,0.171,9
0.095,0.3485,0.0895,9
0.13,0.573,0.134,9
0.115,0.457,0.0965,9
0.185,1.285,0.2745,9
0.17,1.1445,0.223,9
0.19,1.5905,0.297,9
0.165,1.052,0.242,9
0.12,0.511,0.103,9
