@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.0945,0.0445,6
F,0.197,0.071,9
I,0.0625,0.023,6
M,0.5905,0.2025,14
F,0.7,0.207,13
F,0.6905,0.219,12
I,0.365,0.159,6
F,0.6015,0.2765,8
I,0.6125,0.267,7
M,1.262,0.5685,9
I,0.0875,0.0345,4
I,0.126,0.0515,6
I,0.155,0.065,6
I,0.149,0.058,7
I,0.279,0.1155,7
I,0.3335,0.1445,7
I,0.4165,0.185,6
I,0.495,0.231,7
F,1.1075,0.4485,8
F,1.297,0.556,11
M,1.6385,0.8115,9
M,1.71,0.7725,8
F,1.8495,0.767,10
M,1.742,0.696,12
I,0.3515,0.1625,7
I,0.633,0.2985,9
M,0.778,0.3745,7
M,0.7865,0.403,7
M,0.852,0.41,8
M,1.1015,0.4965,10
M,1.3165,0.6325,11
M,1.4465,0.694,10
M,1.7585,0.8745,10
F,2.012,0.8915,12
I,0.3,0.124,8
M,0.4305,0.2235,8
M,0.7845,0.3285,10
I,0.936,0.481,9
M,0.885,0.4025,10
F,0.8755,0.411,8
M,1.221,0.555,12
F,1.711,0.8365,9
I,0.589,0.3075,8
M,0.818,0.402,7
F,0.782,0.3695,8
M,1.057,0.4255,9
M,1.1255,0.59,10
M,1.3405,0.656,10
I,0.198,0.0805,5
I,0.2145,0.0855,7
I,0.3245,0.151,8
I,0.587,0.264,8
I,0.494,0.211,8
I,0.614,0.2855,8
I,0.597,0.2935,8
M,0.8315,0.352,10
M,1.049,0.5205,10
M,1.142,0.485,9
M,1.34,0.617,10
F,1.167,0.548,10
M,1.1885,0.4915,7
F,1.3805,0.675,10
I,0.449,0.254,6
F,1.007,0.4775,9
F,1.5245,0.653,11
F,1.2235,0.532,9
F,1.3695,0.634,11
M,1.6135,0.75,11
I,0.237,0.106,8
I,0.9175,0.45,9
F,1.089,0.469,11
M,1.154,0.4405,9
F,1.1335,0.5525,11
F,1.666,0.647,11
I,0.057,0.026,5
M,0.5805,0.244,11
I,0.379,0.1725,7
M,1.206,0.581,10
M,1.1735,0.526,11
M,1.532,0.74,11
M,1.047,0.4315,14
F,0.6765,0.29,9
I,0.102,0.045,8
M,1.3315,0.5665,13
I,0.116,0.037,8
M,0.2775,0.109,9
I,0.375,0.1425,9
M,1.383,0.596,14
M,0.906,0.342,13
I,0.533,0.233,8
F,0.4195,0.194,7
F,0.8775,0.3345,13
M,0.81,0.317,11
F,1.522,0.6965,13
F,1.555,0.6465,15
M,0.099,0.037,5
M,0.084,0.034,7
F,0.5885,0.2475,15
M,0.3005,0.1215,11
M,0.106,0.0415,5
I,1.178,0.3935,20
M,0.306,0.121,9
M,0.721,0.3055,14
M,1.4605,0.5835,19
M,1.0165,0.491,9
M,1.9045,0.882,13
I,0.219,0.097,6
I,0.279,0.134,8
F,0.8815,0.43,8
F,1.0745,0.4925,8
I,0.4015,0.242,6
M,1.469,0.7115,9
M,1.492,0.7185,11
M,1.6615,0.8005,10
F,1.492,0.6425,12
I,0.2775,0.1245,9
I,0.4265,0.195,8
I,0.498,0.2375,7
I,0.8725,0.412,10
F,1.0805,0.4995,9
F,1.043,0.4835,10
M,1.304,0.5795,14
M,0.9505,0.4915,9
F,1.2645,0.565,9
M,1.5955,0.678,10
I,0.1195,0.052,5
I,0.4425,0.1895,9
I,0.511,0.2205,9
I,0.781,0.3905,9
F,0.964,0.5005,10
F,1.0455,0.4565,10
F,1.281,0.5985,10
M,1.4275,0.69,13
F,1.46,0.6435,9
F,1.4985,0.62,9
M,1.4385,0.655,11
M,1.167,0.4895,10
F,1.37,0.6065,12
I,0.101,0.041,5
M,0.702,0.2975,9
M,0.86,0.3345,10
M,0.8275,0.321,8
M,1.2425,0.5995,10
F,1.129,0.5015,10
F,1.4575,0.607,11
M,2.381,0.8155,12
I,0.0495,0.0235,3
M,0.655,0.266,10
I,0.1385,0.058,5
F,0.6355,0.2505,15
F,0.3975,0.1505,8
M,0.8615,0.2925,16
M,0.478,0.18,10
I,0.0145,0.005,4
M,0.0635,0.0245,4
M,0.8695,0.3075,14
M,0.8005,0.2635,13
M,1.5945,0.6705,10
M,2.003,0.8105,10
M,2.2385,0.984,12
F,1.011,0.479,8
M,1.181,0.665,10
F,1.382,0.646,9
F,1.658,0.708,10
I,0.1445,0.058,6
I,0.651,0.3165,8
F,1.2565,0.539,10
M,1.403,0.5755,11
I,0.318,0.1335,6
M,0.7805,0.3795,8
I,0.772,0.289,8
M,1.218,0.639,11
M,0.997,0.4055,11
F,1.2355,0.5205,10
M,2.0505,0.8005,11
F,0.887,0.37,11
