@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R5-6,9'

@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.1695,0.079,6
0.405,0.1695,8
0.4865,0.2155,9
0.636,0.3055,9
0.6075,0.268,9
0.8515,0.4555,9
0.9265,0.4135,10
0.928,0.4225,8
1.1415,0.5795,9
1.3765,0.6485,12
0.2855,0.1385,5
0.5755,0.31,8
0.678,0.341,8
0.8035,0.409,7
0.342,0.1335,6
0.573,0.213,9
0.6385,0.2945,8
0.8075,0.3655,10
0.9855,0.4325,10
1.35,0.575,10
1.764,0.8505,11
1.527,0.809,11
1.564,0.612,10
0.681,0.3435,9
1.764,0.914,10
0.2575,0.1,6
0.4155,0.17,8
1.0535,0.516,9
1.4755,0.6275,10
0.2255,0.11,7
0.2425,0.106,6
0.386,0.1805,8
0.562,0.289,8
0.836,0.406,9
0.8815,0.3605,10
0.754,0.256,10
0.8105,0.345,11
0.22,0.0855,6
0.91,0.326,14
0.9685,0.446,9
1.626,0.587,15
1.1775,0.5655,15
0.286,0.1305,7
0.6295,0.263,12
1.053,0.4405,13
0.772,0.2855,12
0.18,0.08,5
1.777,0.769,11
2.173,1.133,10
0.1295,0.052,6
0.599,0.251,8
1.3855,0.621,8
0.134,0.0575,6
0.2075,0.098,6
1.131,0.5425,8
1.4385,0.6775,11
0.4965,0.258,8
0.6925,0.327,7
0.811,0.3685,11
0.873,0.3615,10
0.998,0.445,9
1.0565,0.4615,10
0.6125,0.302,8
0.2325,0.093,6
0.317,0.153,7
0.524,0.246,7
0.874,0.369,8
1.2915,0.594,9
1.3105,0.577,9
1.672,0.7075,11
0.1185,0.048,4
0.985,0.3695,10
1.13,0.4405,11
1.2395,0.468,10
1.669,0.7465,11
0.393,0.219,6
0.5135,0.241,8
0.3175,0.137,8
