@relation abalone

@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.45,0.218,7
0.3,0.1035,7
0.345,0.106,7
0.2,0.035,7
0.26,0.058,7
0.265,0.06,7
0.27,0.06,7
0.325,0.1175,7
0.39,0.156,7
0.31,0.0935,7
0.31,0.09,7
0.325,0.095,7
0.325,0.1025,7
0.28,0.067,7
0.335,0.111,7
0.305,0.0805,7
0.335,0.1345,7
0.335,0.1185,7
0.32,0.1,7
0.34,0.103,7
0.27,0.065,7
0.3,0.089,7
0.465,0.263,7
0.27,0.066,7
0.42,0.17,7
0.35,0.1115,7
0.24,0.0535,7
0.27,0.07,7
0.295,0.1,7
0.26,0.062,7
0.415,0.202,7
0.29,0.077,7
0.25,0.1255,7
0.33,0.09,7
0.37,0.1375,7
0.46,0.265,7
0.325,0.12,7
0.45,0.2505,7
0.325,0.125,7
0.265,0.0615,7
0.335,0.11,7
0.195,0.036,7
0.325,0.105,7
0.305,0.091,7
0.39,0.1405,7
0.335,0.105,7
0.345,0.1135,7
0.32,0.106,7
0.42,0.205,7
0.33,0.15,7
0.35,0.1175,7
0.24,0.049,7
0.37,0.148,7
0.43,0.228,7
0.295,0.1035,7
0.32,0.164,7
0.385,0.1515,7
0.465,0.265,7
0.45,0.225,7
0.28,0.072,7
0.4,0.185,7
0.395,0.1895,7
0.42,0.177,7
0.305,0.1,7
0.26,0.075,7
0.2,0.03,7
0.33,0.123,7
0.33,0.0975,7
0.38,0.136,7
0.28,0.0605,7
0.335,0.119,7
0.275,0.09,7
0.35,0.14,7
0.195,0.025,7
0.275,0.08,7
0.27,0.1675,7
0.375,0.1455,7
0.23,0.0355,7
0.285,0.0775,7
0.155,0.0155,7
0.215,0.036,7
0.235,0.08,7
0.29,0.08,7
0.25,0.06,7
0.275,0.065,7
0.24,0.05,7
0.355,0.1325,7
0.36,0.175,9
0.4,0.1855,9
0.45,0.225,9
0.475,0.315,9
0.495,0.34,9
0.44,0.215,9
0.475,0.32,9
0.415,0.189,9
0.4,0.154,9
0.395,0.162,9
0.52,0.365,9
0.43,0.21,9
0.36,0.138,9
0.26,0.07,9
0.45,0.2645,9
0.49,0.2925,9
0.35,0.145,9
0.5,0.345,9
0.435,0.2095,9
0.395,0.185,9
0.485,0.2715,9
0.47,0.2595,9
0.33,0.1,9
0.49,0.355,9
0.435,0.23,9
0.48,0.289,9
0.485,0.239,9
0.47,0.267,9
0.27,0.0735,9
0.42,0.215,9
0.5,0.315,9
0.485,0.345,9
0.47,0.279,9
0.465,0.337,9
0.47,0.2945,9
0.45,0.2265,9
0.47,0.292,9
0.475,0.283,9
0.525,0.3865,9
0.54,0.461,9
0.375,0.155,9
0.41,0.3795,9
0.41,0.196,9
0.395,0.161,9
0.4,0.168,9
0.5,0.37,9
0.495,0.355,9
0.35,0.114,9
0.4,0.1525,9
0.27,0.07,9
0.525,0.3995,9
0.5,0.315,9
0.4,0.175,9
0.4,0.1985,9
0.295,0.075,9
0.41,0.253,9
0.24,0.055,9
0.38,0.161,9
0.405,0.2,9
0.515,0.321,9
0.445,0.295,9
0.4,0.166,9
0.485,0.31,9
0.46,0.2515,9
0.425,0.335,9
0.475,0.288,9
0.28,0.075,9
0.49,0.3185,9
0.5,0.341,9
0.465,0.2435,9
0.5,0.315,9
0.415,0.218,9
0.505,0.3315,9
0.34,0.12,9
0.375,0.16,9
0.43,0.25,9
0.32,0.12,9
0.445,0.28,9
0.485,0.352,9
0.47,0.275,9
0.475,0.308,9
0.375,0.19,9
0.55,0.5015,9
0.515,0.335,9
0.39,0.179,9
0.265,0.08,9
0.45,0.264,9
0.415,0.185,9
0.365,0.1465,9
0.46,0.2655,9
0.395,0.13,9
0.4,0.1835,9
0.5,0.37,9
0.365,0.15,9
0.45,0.2895,9
0.46,0.265,9
0.43,0.22,9
0.39,0.185,9
0.5,0.31,9
0.255,0.063,9
0.375,0.185,9
0.36,0.165,9
0.435,0.31,9
0.41,0.22,9
0.495,0.3725,9
0.205,0.042,9
0.5,0.315,9
0.34,0.1045,9
0.405,0.19,9
0.355,0.19,9
0.565,0.446,9
0.475,0.2565,9
0.35,0.15,9
0.48,0.2785,9
0.45,0.235,9
0.475,0.277,9
0.355,0.1275,9
0.425,0.295,9
0.51,0.48,9
0.36,0.14,9
0.4,0.21,9
0.505,0.3745,9
0.435,0.206,9
0.455,0.23,9
0.425,0.215,9
0.355,0.135,9
0.445,0.2245,9
0.225,0.05,9
0.395,0.195,9
0.415,0.168,9
0.455,0.295,9
0.5,0.39,9
0.445,0.22,9
0.44,0.238,9
0.525,0.37,9
0.44,0.255,9
0.51,0.39,9
0.39,0.1745,9
0.48,0.356,9
0.44,0.283,9
0.415,0.1345,9
0.45,0.245,9
0.475,0.245,9
0.44,0.2475,9
0.5,0.3595,9
0.38,0.17,9
0.34,0.105,9
0.495,0.345,9
0.37,0.135,9
0.425,0.21,9
0.415,0.311,9
0.475,0.285,9
0.475,0.335,9
0.39,0.12,9
0.47,0.246,9
0.44,0.259,9
0.425,0.215,9
0.4,0.195,9
0.49,0.299,9
0.305,0.1,9
0.49,0.295,9
0.255,0.063,9
0.49,0.38,9
0.355,0.142,9
0.505,0.353,9
0.37,0.147,9
0.43,0.1815,9
0.41,0.165,9
0.295,0.08,9
0.485,0.288,9
0.445,0.23,9
0.39,0.1845,9
0.39,0.1635,9
0.36,0.145,9
0.225,0.045,9
0.47,0.325,9
0.41,0.1975,9
0.47,0.3345,9
0.325,0.117,9
0.465,0.255,9
0.48,0.3,9
0.445,0.24,9
0.43,0.2285,9
0.29,0.085,9
0.325,0.115,9
0.435,0.1835,9
0.52,0.405,9
0.335,0.122,9
0.45,0.2775,9
0.315,0.09,9
0.52,0.37,9
0.4,0.223,9
0.455,0.27,9
0.36,0.1035,9
0.5,0.341,9
0.445,0.253,9
0.45,0.255,9
0.49,0.305,9
0.58,0.4375,9
0.51,0.32,9
0.39,0.167,9
0.38,0.18,9
0.475,0.3095,9
0.375,0.19,9
0.49,0.289,9
0.37,0.155,9
0.35,0.13,9
0.49,0.3055,9
0.48,0.29,9
0.51,0.305,9
0.4,0.168,9
0.36,0.16,9
0.43,0.23,9
0.475,0.343,9
0.44,0.265,9
0.335,0.135,9
0.505,0.38,9
0.43,0.189,9
0.42,0.4525,9
0.355,0.125,9
0.375,0.205,9
0.405,0.202,9
0.45,0.265,9
0.425,0.22,9
0.54,0.4165,9
0.39,0.2,9
0.465,0.357,9
0.38,0.1535,9
0.445,0.218,9
0.4,0.25,9
0.35,0.135,9
0.47,0.3205,9
0.45,0.215,9
0.455,0.275,9
0.405,0.245,9
0.5,0.374,9
0.465,0.307,9
0.47,0.265,9
0.51,0.375,9
0.55,0.4395,9
0.46,0.29,9
0.44,0.27,9
0.42,0.231,9
0.43,0.247,9
0.4,0.164,9
0.35,0.185,9
0.435,0.255,9
0.335,0.135,9
0.395,0.155,9
0.42,0.2065,9
0.3,0.085,9
0.495,0.323,9
0.425,0.217,9
0.3,0.1175,9
0.485,0.332,9
0.405,0.185,9
0.45,0.26,9
0.495,0.2885,9
0.38,0.1565,9
0.43,0.196,9
0.42,0.275,9
0.355,0.145,9
0.44,0.245,9
0.365,0.1135,9
0.55,0.5085,9
0.435,0.213,9
0.335,0.11,9
0.46,0.228,9
0.45,0.22,9
0.46,0.2875,9
0.45,0.2365,9
0.495,0.2885,9
0.48,0.353,9
0.345,0.116,9
0.48,0.285,9
0.525,0.42,9
0.395,0.1785,9
0.455,0.26,9
0.435,0.2385,9
0.435,0.2265,9
0.455,0.244,9
0.41,0.213,9
0.43,0.2015,9
0.455,0.271,9
0.43,0.231,9
0.37,0.296,9
0.495,0.335,9
0.46,0.294,9
0.475,0.274,9
0.385,0.21,9
0.425,0.2705,9
0.515,0.386,9
0.37,0.15,9
0.46,0.238,9
0.34,0.16,9
0.46,0.2625,9
0.37,0.1455,9
0.51,0.3225,9
0.415,0.2035,9
0.31,0.184,9
0.305,0.1,9
0.48,0.312,9
0.32,0.115,9
0.43,0.248,9
0.41,0.1765,9
0.42,0.205,9
0.43,0.24,9
0.46,0.26,9
0.45,0.24,9
0.465,0.287,9
0.45,0.301,9
0.44,0.2485,9
0.41,0.215,9
0.51,0.3665,9
0.5,0.4245,9
0.46,0.227,9
0.455,0.441,9
0.305,0.11,9
0.465,0.35,9
0.37,0.2365,9
0.505,0.36,9
0.465,0.2415,9
0.475,0.3095,9
0.38,0.145,9
0.48,0.335,9
0.535,0.4215,9
0.525,0.3005,9
0.39,0.169,9
0.41,0.214,9
0.385,0.1555,9
0.52,0.391,9
0.285,0.0835,9
0.48,0.3,9
0.45,0.253,9
0.435,0.25,9
0.455,0.325,9
0.325,0.11,9
0.45,0.25,9
0.455,0.275,9
0.505,0.375,9
0.49,0.237,9
0.475,0.285,9
0.465,0.251,9
0.365,0.1645,9
0.47,0.31,9
0.405,0.2065,9
0.37,0.175,9
0.305,0.0955,9
0.565,0.5385,9
0.37,0.145,9
0.45,0.2575,9
0.35,0.125,9
0.445,0.207,9
0.395,0.183,9
0.47,0.298,9
0.455,0.2745,9
0.42,0.235,9
0.405,0.205,9
0.31,0.095,9
0.45,0.245,9
0.57,0.52,9
0.4,0.145,9
0.5,0.3195,9
0.485,0.38,9
0.44,0.2185,9
0.425,0.265,9
0.32,0.105,9
0.495,0.339,9
0.35,0.165,9
0.455,0.235,9
0.33,0.155,9
0.34,0.1225,9
0.39,0.1785,9
0.225,0.044,9
0.445,0.235,9
0.53,0.3695,9
0.485,0.3485,9
0.425,0.25,9
0.365,0.175,9
0.47,0.31,9
0.385,0.16,9
0.45,0.248,9
0.315,0.103,9
0.24,0.06,9
0.26,0.0655,9
0.47,0.254,9
0.42,0.2045,9
0.49,0.31,9
0.455,0.274,9
0.46,0.235,9
0.465,0.262,9
0.51,0.317,9
0.485,0.33,9
0.515,0.3275,9
0.405,0.175,9
0.475,0.2345,9
0.46,0.25,9
0.46,0.1825,9
0.335,0.115,9
0.345,0.115,9
0.43,0.2215,9
0.42,0.2365,9
0.515,0.4025,9
0.53,0.425,9
0.395,0.175,9
0.43,0.245,9
0.525,0.475,9
0.5,0.315,9
0.39,0.2385,9
0.43,0.275,9
0.485,0.386,9
0.455,0.235,9
0.225,0.04,9
0.375,0.17,9
0.45,0.235,9
0.355,0.165,9
0.53,0.286,9
0.365,0.172,9
0.4,0.185,9
0.44,0.234,9
0.355,0.15,9
0.485,0.2825,9
0.3,0.09,9
0.465,0.259,9
0.35,0.129,9
0.43,0.24,9
0.435,0.222,9
0.475,0.29,9
0.445,0.22,9
0.525,0.381,9
0.52,0.336,9
0.475,0.305,9
0.375,0.2475,9
0.355,0.1325,9
0.35,0.1355,9
0.49,0.3225,9
0.34,0.12,9
0.35,0.1345,9
0.37,0.165,9
0.445,0.27,9
0.47,0.22,9
0.43,0.31,9
0.5,0.4085,9
0.405,0.193,9
0.4,0.184,9
0.49,0.3165,9
0.465,0.235,9
0.285,0.0925,9
0.405,0.195,9
0.47,0.271,9
0.52,0.466,9
0.35,0.12,9
0.52,0.348,9
0.49,0.3745,9
0.435,0.25,9
0.255,0.06,9
0.34,0.1465,9
0.48,0.2505,9
0.355,0.1525,9
0.425,0.236,9
0.455,0.305,9
0.315,0.1,9
0.435,0.275,9
0.325,0.14,9
0.375,0.195,9
0.505,0.355,9
0.385,0.2845,9
0.5,0.387,9
0.29,0.075,9
0.425,0.199,9
0.47,0.289,9
0.37,0.1625,9
0.4,0.175,9
0.29,0.075,9
0.445,0.2505,9
0.37,0.146,9
0.525,0.425,9
0.455,0.235,9
0.475,0.269,9
0.355,0.165,9
0.485,0.302,9
0.495,0.32,9
0.325,0.11,9
0.51,0.354,9
0.49,0.3,9
0.51,0.315,9
0.465,0.235,9
0.395,0.165,9
0.35,0.273,9
0.475,0.357,9
0.42,0.2255,9
0.325,0.105,9
0.465,0.3095,9
0.475,0.271,9
0.46,0.265,9
0.395,0.175,9
0.425,0.225,9
0.435,0.194,9
0.39,0.1755,9
0.505,0.3,9
0.385,0.1775,9
0.39,0.178,9
0.28,0.08,9
0.345,0.319,9
0.325,0.105,9
0.445,0.24,9
0.485,0.33,9
0.47,0.295,9
0.42,0.22,9
0.43,0.225,9
0.4,0.225,9
0.255,0.07,9
0.42,0.229,9
0.465,0.286,9
0.475,0.3285,9
0.39,0.255,9
0.435,0.222,9
0.415,0.1695,9
0.47,0.2685,9
0.37,0.14,9
0.4,0.17,9
0.45,0.246,9
0.455,0.292,9
0.41,0.203,9
0.54,0.39,9
0.475,0.275,9
0.36,0.14,9
0.485,0.278,9
0.515,0.3315,9
0.465,0.2695,9
0.355,0.145,9
0.305,0.105,9
0.29,0.085,9
0.4,0.177,9
0.395,0.19,9
0.46,0.29,9
0.48,0.2725,9
0.53,0.315,9
0.465,0.26,9
0.47,0.238,9
0.45,0.265,9
0.305,0.096,9
0.44,0.1965,9
0.33,0.123,9
0.395,0.192,9
0.45,0.3,9
0.44,0.255,9
0.4,0.185,9
0.475,0.322,9
0.3,0.095,9
0.375,0.14,9
0.475,0.3175,9
0.48,0.306,9
0.435,0.215,9
0.43,0.201,9
0.485,0.401,9
0.365,0.27,9
0.495,0.3185,9
0.47,0.276,9
0.38,0.165,9
0.455,0.2035,9
0.445,0.285,9
0.435,0.235,9
0.495,0.355,9
0.425,0.215,9
0.465,0.238,9
0.395,0.17,9
0.42,0.21,9
0.4,0.18,9
0.475,0.31,9
0.455,0.22,9
0.52,0.317,9
0.395,0.172,9
0.515,0.29,9
0.43,0.234,9
0.25,0.06,9
0.33,0.12,9
0.35,0.115,9
0.405,0.1875,9
0.26,0.07,9
0.265,0.075,9
0.515,0.361,9
0.55,0.301,9
0.425,0.2595,9
0.365,0.1335,9
0.45,0.217,9
0.355,0.14,9
0.29,0.09,9
0.44,0.2925,9
0.5,0.335,9
0.485,0.2865,9
0.365,0.1535,9
0.425,0.2165,9
0.495,0.317,9
0.37,0.15,9
0.51,0.3725,9
0.3,0.085,9
0.265,0.07,9
0.425,0.1965,9
0.42,0.21,9
0.365,0.145,9
0.475,0.311,9
0.445,0.2475,9
0.545,0.461,9
0.425,0.245,9
0.57,0.558,9
0.49,0.3155,9
0.46,0.249,9
0.345,0.135,9
0.42,0.1845,9
0.445,0.239,9
0.41,0.19,9
0.445,0.25,9
0.27,0.059,9
0.455,0.315,9
0.455,0.274,9
0.455,0.29,9
0.385,0.205,9
0.395,0.195,9
0.405,0.17,9
0.475,0.2755,10
0.525,0.4485,10
0.49,0.2925,10
0.495,0.4695,10
0.43,0.2285,10
0.445,0.26,10
0.33,0.145,10
0.46,0.274,10
0.37,0.136,10
0.445,0.253,10
0.475,0.3105,10
0.525,0.3745,10
0.515,0.3115,10
0.5,0.3185,10
0.455,0.275,10
0.405,0.19,10
0.57,0.435,10
0.255,0.054,10
0.375,0.145,10
0.46,0.285,10
0.475,0.3295,10
0.52,0.3465,10
0.515,0.395,10
0.35,0.175,10
0.48,0.305,10
0.56,0.388,10
0.525,0.3905,10
0.485,0.3705,10
0.515,0.415,10
0.46,0.27,10
0.435,0.2425,10
0.46,0.323,10
0.53,0.398,10
0.455,0.2835,10
0.465,0.2585,10
0.41,0.215,10
0.46,0.32,10
0.565,0.4135,10
0.525,0.372,10
0.5,0.4,10
0.405,0.177,10
0.53,0.495,10
0.44,0.26,10
0.475,0.345,10
0.48,0.365,10
0.365,0.158,10
0.515,0.175,10
0.37,0.195,10
0.54,0.384,10
0.53,0.44,10
0.43,0.208,10
0.465,0.278,10
0.45,0.2845,10
0.505,0.3745,10
0.36,0.15,10
0.405,0.168,10
0.315,0.0835,10
0.5,0.329,10
0.5,0.35,10
0.425,0.236,10
0.525,0.47,10
0.365,0.1615,10
0.43,0.25,10
0.285,0.081,10
0.42,0.25,10
0.475,0.3035,10
0.51,0.409,10
0.48,0.314,10
0.34,0.185,10
0.45,0.265,10
0.385,0.143,10
0.475,0.2885,10
0.35,0.12,10
0.47,0.355,10
0.345,0.125,10
0.4,0.18,10
0.425,0.203,10
0.505,0.36,10
0.465,0.225,10
0.435,0.2705,10
0.375,0.18,10
0.435,0.245,10
0.495,0.347,10
0.485,0.3,10
0.49,0.294,10
0.505,0.48,10
0.52,0.355,10
0.4,0.185,10
0.4,0.185,10
0.53,0.385,10
0.465,0.2425,10
0.515,0.325,10
0.36,0.125,10
0.5,0.3005,10
0.42,0.2185,10
0.6,0.584,10
0.405,0.389,10
0.315,0.113,10
0.355,0.174,10
0.45,0.3605,10
0.56,0.4375,10
0.495,0.39,10
0.43,0.195,10
0.29,0.069,10
0.5,0.38,10
0.32,0.119,10
0.31,0.115,10
0.47,0.33,10
0.47,0.321,10
0.44,0.202,10
0.38,0.1,10
0.305,0.08,10
0.515,0.3755,10
0.49,0.361,10
0.445,0.265,10
0.455,0.269,10
0.49,0.3465,10
0.325,0.105,10
0.55,0.404,10
0.44,0.2485,10
0.535,0.503,10
0.425,0.244,10
0.525,0.43,10
0.505,0.416,10
0.46,0.275,10
0.47,0.34,10
0.535,0.4395,10
0.515,0.4,10
0.48,0.285,10
0.5,0.335,10
0.535,0.465,10
0.5,0.415,10
0.47,0.2565,10
0.4,0.208,10
0.43,0.4155,10
0.51,0.36,10
0.45,0.3,10
0.505,0.315,10
0.515,0.3575,10
0.455,0.204,10
0.48,0.287,10
0.425,0.24,10
0.49,0.33,10
0.43,0.2405,10
0.37,0.185,10
0.405,0.2525,10
0.395,0.24,10
0.425,0.239,10
0.435,0.239,10
0.46,0.27,10
0.415,0.245,10
0.415,0.403,10
0.42,0.1895,10
0.385,0.175,10
0.45,0.2535,10
0.365,0.22,10
0.5,0.3,10
0.475,0.275,10
0.5,0.3725,10
0.475,0.285,10
0.525,0.465,10
0.495,0.3925,10
0.48,0.31,10
0.475,0.355,10
0.375,0.155,10
0.55,0.3965,10
0.46,0.295,10
0.6,0.5755,10
0.51,0.39,10
0.58,0.4715,10
0.375,0.18,10
0.475,0.325,10
0.51,0.3885,10
0.435,0.225,10
0.44,0.2795,10
0.425,0.26,10
0.34,0.13,10
0.52,0.3305,10
0.45,0.295,10
0.545,0.449,10
0.475,0.31,10
0.43,0.121,10
0.385,0.16,10
0.46,0.265,10
0.495,0.285,10
0.335,0.125,10
0.41,0.1945,10
0.265,0.0485,10
0.435,0.238,10
0.515,0.45,10
0.525,0.35,10
0.49,0.315,10
0.55,0.496,10
0.425,0.2165,10
0.465,0.275,10
0.34,0.13,10
0.53,0.3725,10
0.46,0.2955,10
0.49,0.341,10
0.29,0.0885,10
0.42,0.2125,10
0.36,0.16,10
0.475,0.3105,10
0.305,0.125,10
0.38,0.1545,10
0.5,0.415,10
0.305,0.1,10
0.475,0.26,10
0.44,0.263,10
0.335,0.115,10
0.325,0.144,10
0.435,0.27,10
0.365,0.145,10
0.47,0.405,10
0.535,0.42,10
0.49,0.365,10
0.4,0.22,10
0.495,0.3135,10
0.49,0.309,10
0.495,0.3455,10
0.455,0.31,10
0.295,0.1005,10
0.48,0.324,10
0.5,0.295,10
0.35,0.1565,10
0.43,0.2135,10
0.375,0.19,10
0.495,0.1625,10
0.45,0.26,10
0.51,0.3745,10
0.41,0.225,10
0.44,0.2375,10
0.415,0.285,10
0.485,0.36,10
0.435,0.245,10
0.49,0.233,10
0.4,0.253,10
0.48,0.33,10
0.355,0.155,10
0.47,0.3375,10
0.515,0.385,10
0.385,0.1535,10
0.405,0.21,10
0.49,0.3245,10
0.505,0.41,10
0.465,0.28,10
0.525,0.4075,10
0.46,0.365,10
0.45,0.265,10
0.45,0.254,10
0.51,0.339,10
0.435,0.2325,10
0.48,0.3135,10
0.385,0.18,10
0.45,0.35,10
0.39,0.175,10
0.465,0.274,10
0.435,0.255,10
0.48,0.225,10
0.48,0.305,10
0.4,0.23,10
0.43,0.2815,10
0.25,0.0605,10
0.38,0.21,10
0.51,0.325,10
0.455,0.2655,10
0.43,0.2545,10
0.48,0.29,10
0.55,0.354,10
0.405,0.195,10
0.425,0.195,10
0.34,0.165,10
0.43,0.28,10
0.395,0.3205,10
0.47,0.34,10
0.475,0.309,10
0.47,0.2635,10
0.355,0.185,10
0.3,0.08,10
0.46,0.3305,10
0.51,0.364,10
0.515,0.335,10
0.56,0.624,10
0.29,0.085,10
0.53,0.435,10
