@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,6,8-9'

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.358,0.11,8
I,0.32,0.175,9
I,0.372,0.227,8
M,0.3635,0.219,8
F,0.4,0.253,8
I,0.432,0.26,11
F,0.4475,0.2895,10
I,0.5165,0.28,10
F,0.705,0.39,9
M,0.876,0.469,13
F,0.6785,0.52,11
F,0.281,0.1335,7
M,0.239,0.1555,9
M,0.254,0.149,8
F,0.453,0.275,8
F,0.6,0.3315,9
I,0.353,0.251,8
M,0.797,0.388,10
I,0.063,0.0415,6
I,0.0715,0.058,7
I,0.135,0.09,8
I,0.176,0.1205,7
I,0.205,0.125,8
I,0.2505,0.19,8
I,0.2955,0.225,10
I,0.3285,0.18,9
I,0.358,0.22,8
I,0.269,0.217,9
I,0.3945,0.206,8
I,0.3845,0.2765,11
F,0.417,0.47,8
F,0.428,0.23,8
F,0.4305,0.253,10
F,0.3835,0.379,10
F,0.6765,0.3705,10
F,0.514,0.3995,8
I,0.715,0.3615,13
F,0.573,0.36,10
F,0.631,0.32,11
F,0.9925,0.48,12
M,1.1455,0.511,13
M,0.295,0.12,7
M,0.494,0.296,9
M,0.4185,0.273,9
M,0.438,0.276,10
M,0.303,0.159,7
F,0.3765,0.1795,8
I,0.403,0.213,10
F,0.6535,0.4155,10
M,0.4975,0.251,9
M,0.445,0.3475,11
I,0.0565,0.036,7
I,0.0815,0.065,6
I,0.098,0.075,7
I,0.1245,0.085,6
F,0.347,0.195,10
I,0.2555,0.235,10
I,0.308,0.168,9
I,0.3045,0.21,8
I,0.295,0.238,10
M,0.495,0.235,9
M,0.432,0.239,10
I,0.3525,0.242,10
F,0.4255,0.265,8
F,0.46,0.304,11
F,0.5065,0.412,11
M,0.6565,0.375,12
I,0.0125,0.008,4
I,0.031,0.03,6
I,0.048,0.03,5
I,0.0875,0.04,7
I,0.167,0.145,10
I,0.2875,0.2035,9
M,0.513,0.2625,9
M,0.5165,0.275,10
M,0.7345,0.386,9
I,0.1895,0.087,6
F,0.277,0.1785,8
F,0.3125,0.2035,8
M,0.813,0.49,11
M,0.273,0.22,11
M,0.2655,0.215,19
F,0.2175,0.165,11
M,0.434,0.285,10
F,0.562,0.6,15
I,0.177,0.145,9
F,0.192,0.13,11
M,0.3055,0.18,12
F,0.361,0.335,9
I,0.076,0.05,7
M,0.2025,0.155,10
F,0.8435,0.5855,18
M,0.4915,0.49,12
I,0.115,0.085,6
M,0.342,0.35,12
F,0.3,0.395,14
I,0.1355,0.12,13
I,0.0265,0.03,6
F,0.525,0.585,21
M,0.3445,0.295,19
F,0.5065,0.52,13
F,0.4505,0.53,13
M,0.0805,0.075,7
F,0.2105,0.16,8
I,0.0935,0.085,11
M,0.3155,0.32,10
M,0.487,0.445,20
I,0.1635,0.1,9
F,0.1365,0.1,7
F,0.1545,0.095,9
F,0.3325,0.285,10
I,0.167,0.125,7
F,0.302,0.26,23
I,0.0605,0.045,7
F,0.2985,0.265,11
I,0.4435,0.32,14
I,0.3795,0.19,14
I,0.159,0.14,16
F,0.3515,0.32,10
M,0.1,0.06,13
I,0.1775,0.185,11
M,0.2125,0.14,9
F,0.1125,0.0835,9
F,0.3975,0.358,20
F,0.5135,0.32,14
M,0.1955,0.235,14
F,0.5115,0.3065,11
M,0.096,0.105,9
I,0.118,0.083,6
M,0.37,0.211,8
M,0.4625,0.199,9
M,0.5,0.292,9
M,0.733,0.54,15
F,0.707,0.43,10
F,1.0685,0.435,10
I,0.02,0.013,4
I,0.0215,0.02,5
I,0.0415,0.031,5
I,0.2005,0.1325,8
I,0.1895,0.111,6
M,0.231,0.1225,9
I,0.218,0.1325,7
M,0.285,0.172,9
F,0.3905,0.2295,8
F,0.6,0.355,10
M,0.5085,0.292,8
M,0.5355,0.3165,9
F,0.741,0.341,9
I,0.0955,0.0715,6
I,0.173,0.113,7
I,0.266,0.157,8
F,0.3085,0.2245,8
M,0.4215,0.227,9
M,0.4635,0.2725,10
F,0.545,0.3055,9
I,0.0125,0.0105,3
I,0.1615,0.1185,7
I,0.261,0.1315,8
I,0.2355,0.195,8
F,0.366,0.275,8
M,0.6095,0.315,9
M,0.5175,0.3465,10
I,0.072,0.043,6
I,0.424,0.1895,7
F,0.4935,0.299,9
I,0.1555,0.0855,7
I,0.231,0.177,9
I,0.292,0.185,8
M,0.4315,0.287,11
F,0.455,0.277,9
F,0.5505,0.3885,10
M,0.618,0.315,9
M,0.625,0.4395,11
M,0.693,0.47,15
F,0.5755,0.44,12
M,0.739,0.365,10
M,0.667,0.41,10
M,0.9955,0.5305,13
F,0.391,0.1515,8
I,0.368,0.2055,8
F,0.821,0.726,12
I,0.0305,0.02,4
I,0.1155,0.075,6
I,0.156,0.1135,7
I,0.226,0.209,8
I,0.453,0.289,8
F,0.5455,0.3225,9
F,0.615,0.406,11
M,0.686,0.4055,10
I,0.139,0.093,7
M,0.4355,0.2505,9
I,0.0145,0.01,5
F,0.33,0.245,9
M,0.316,0.28,13
M,0.147,0.145,9
F,0.229,0.165,12
M,0.8835,0.665,16
F,0.3745,0.325,14
F,0.452,0.315,14
F,0.4435,0.365,14
M,0.44,0.47,16
M,0.387,0.275,11
M,0.5825,0.42,15
F,0.197,0.145,9
I,0.1705,0.11,6
F,0.402,0.31,12
M,0.297,0.255,17
M,0.2,0.17,12
M,0.348,0.26,11
M,0.2845,0.193,9
F,0.6525,0.49,11
F,0.483,0.355,13
M,0.0615,0.0485,10
I,0.2985,0.28,12
I,0.6255,0.425,16
F,0.146,0.08,10
F,0.312,0.2,11
I,0.175,0.212,13
F,0.232,0.23,12
I,0.1365,0.18,11
I,0.4215,0.335,13
M,0.3225,0.29,19
F,0.237,0.155,10
F,0.19,0.13,8
M,0.28,0.25,10
I,0.0785,0.05,7
I,0.25,0.184,8
I,0.188,0.09,6
I,0.3015,0.151,8
F,0.3205,0.1915,7
M,0.6715,0.365,8
F,0.4915,0.353,9
I,0.1545,0.087,6
I,0.151,0.08,6
I,0.1795,0.11,8
F,0.28,0.1375,7
F,0.3605,0.271,9
F,0.3545,0.239,9
F,0.564,0.374,9
I,0.1245,0.1025,7
F,0.4635,0.27,10
I,0.163,0.151,8
I,0.2985,0.168,10
F,0.2945,0.205,10
I,0.5515,0.31,11
F,0.516,0.375,9
M,1.1945,0.6745,11
I,0.332,0.2455,8
M,0.565,0.3375,10
I,0.143,0.091,6
I,0.118,0.123,7
I,0.2605,0.21,9
F,0.3895,0.245,9
M,0.527,0.3175,11
M,0.5055,0.345,9
F,0.6275,0.45,13
M,0.6645,0.512,12
F,0.5465,0.465,10
M,0.7525,0.374,11
F,0.3915,0.32,9
F,0.508,0.445,18
F,0.2455,0.205,9
M,0.2875,0.25,15
F,0.203,0.13,12
F,0.1985,0.12,10
I,0.4535,0.275,11
I,0.2405,0.253,10
F,0.564,0.425,16
I,0.022,0.018,6
F,0.2555,0.18,11
F,0.4935,0.263,10
I,0.0575,0.035,6
I,0.1105,0.066,6
F,0.416,0.18,7
M,0.6245,0.33,10
I,0.2855,0.1325,7
M,0.597,0.265,8
F,0.713,0.4295,11
M,0.285,0.269,11
F,0.797,0.499,11
F,0.553,0.35,11
I,0.2015,0.149,8
I,0.348,0.206,9
M,0.423,0.298,9
M,0.728,0.381,9
F,0.475,0.386,11
F,0.844,0.5385,9
I,0.2365,0.126,7
I,0.1755,0.15,8
I,0.197,0.165,8
M,0.664,0.385,10
M,0.2185,0.146,8
F,0.458,0.3,11
M,0.3155,0.2405,10
