@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.3785,0.1705,0.1,7
I,0.2,0.09,0.06,7
F,0.4335,0.178,0.155,7
I,0.1765,0.0785,0.05,7
I,0.336,0.165,0.0805,7
I,0.1865,0.0675,0.0615,7
I,0.0975,0.04,0.028,7
I,0.2485,0.122,0.065,7
I,0.5965,0.2555,0.177,7
I,0.5055,0.234,0.14,7
F,0.1855,0.0745,0.06,7
I,0.512,0.233,0.136,7
I,0.38,0.197,0.09,7
I,0.1735,0.076,0.05,7
I,0.44,0.177,0.15,7
I,0.4485,0.156,0.123,7
I,0.534,0.261,0.143,7
I,0.317,0.153,0.0935,7
I,0.3045,0.1215,0.094,7
M,0.948,0.429,0.259,7
M,0.3295,0.1365,0.11,7
I,0.2655,0.122,0.08,7
I,0.2415,0.0915,0.075,7
I,0.411,0.2025,0.1,7
I,0.6025,0.2935,0.16,7
M,0.1345,0.054,0.05,7
I,0.3715,0.1865,0.0975,7
I,0.1315,0.2025,0.123,7
F,0.3315,0.1365,0.1,7
M,0.6425,0.3195,0.1535,7
I,0.293,0.14,0.082,7
M,0.3355,0.1545,0.095,7
I,0.2865,0.1505,0.0795,7
I,0.286,0.1305,0.09,7
I,0.1985,0.0715,0.058,7
M,0.2255,0.0995,0.07,7
F,0.156,0.0675,0.048,7
M,0.106,0.0465,0.036,7
I,0.362,0.1575,0.1095,7
I,0.1375,0.086,0.0605,7
I,0.5325,0.225,0.1465,7
I,0.4195,0.181,0.1345,7
I,0.3885,0.175,0.111,7
M,0.7315,0.336,0.19,7
F,0.4425,0.175,0.175,7
I,0.2625,0.117,0.077,7
I,0.2085,0.102,0.052,7
I,0.27,0.1185,0.0745,7
I,0.442,0.2085,0.1185,7
I,0.2065,0.096,0.058,7
I,0.3645,0.159,0.105,7
I,0.1035,0.0475,0.03,7
M,0.564,0.3035,0.143,7
I,0.1285,0.043,0.04,7
M,0.0515,0.018,0.0195,7
M,0.65,0.303,0.159,7
I,0.2895,0.1215,0.09,7
I,0.4255,0.2015,0.13,7
I,0.324,0.1265,0.11,7
I,0.2055,0.096,0.0585,7
M,0.414,0.199,0.117,7
I,0.6645,0.3285,0.1425,7
F,0.4785,0.1995,0.129,7
I,0.5695,0.259,0.157,7
I,0.769,0.3655,0.18,7
M,0.222,0.0935,0.075,7
M,0.775,0.3445,0.185,7
M,0.556,0.296,0.133,7
I,0.335,0.1525,0.11,7
M,0.5225,0.201,0.165,7
I,0.501,0.274,0.1065,7
I,0.47,0.2355,0.1135,7
M,0.7355,0.3065,0.2,7
I,0.3675,0.1865,0.0985,7
I,0.494,0.218,0.1325,7
I,0.1735,0.0765,0.049,7
M,0.335,0.147,0.09,7
I,0.22,0.109,0.0605,7
M,0.43,0.175,0.13,7
M,0.1165,0.043,0.04,7
F,0.391,0.1555,0.1405,7
I,0.4035,0.169,0.13,7
I,0.542,0.2795,0.147,7
F,0.573,0.2655,0.144,7
M,0.5795,0.295,0.12,7
I,0.3685,0.162,0.1045,7
I,0.2825,0.114,0.095,7
I,0.3155,0.187,0.067,7
M,0.6315,0.3445,0.161,7
I,0.33,0.157,0.17,7
I,0.3305,0.1405,0.105,7
M,0.723,0.377,0.178,7
M,0.0425,0.017,0.0155,7
I,0.313,0.139,0.0965,7
I,0.447,0.2335,0.119,7
I,0.3535,0.156,0.1135,7
M,0.667,0.302,0.185,7
I,0.5545,0.2355,0.1895,7
I,0.187,0.078,0.058,7
I,0.17,0.0725,0.0495,7
I,0.196,0.0905,0.053,7
I,0.2645,0.1,0.085,7
F,0.3055,0.121,0.09,7
I,0.4545,0.2165,0.115,7
I,0.594,0.2595,0.18,7
M,0.181,0.0755,0.06,7
I,0.186,0.0945,0.0445,7
F,0.1915,0.085,0.062,7
M,0.39,0.163,0.113,7
I,0.2225,0.095,0.073,7
M,0.9,0.472,0.218,7
I,0.252,0.1065,0.08,7
I,0.1845,0.083,0.055,7
I,0.1855,0.07,0.065,7
I,0.251,0.097,0.08,7
F,0.3005,0.1255,0.1035,7
I,0.3035,0.15,0.088,7
I,0.2205,0.0985,0.066,7
I,0.3625,0.174,0.105,7
F,0.2685,0.1165,0.0835,7
I,0.183,0.098,0.042,7
I,0.282,0.1255,0.0875,7
M,0.6435,0.2885,0.161,7
I,0.4905,0.2035,0.135,7
I,0.478,0.191,0.137,7
I,0.2665,0.1105,0.084,7
I,0.4015,0.1725,0.1255,7
M,0.4955,0.2665,0.121,7
F,0.839,0.3485,0.192,7
M,1.127,0.535,0.296,7
F,0.9945,0.466,0.265,7
I,0.243,0.0895,0.075,7
F,0.5265,0.249,0.148,7
I,0.445,0.1635,0.166,7
I,0.1785,0.0645,0.075,7
I,0.4155,0.18,0.1175,7
I,0.366,0.174,0.109,7
M,0.258,0.1055,0.08,7
I,0.4155,0.167,0.139,7
I,0.1275,0.0565,0.036,7
I,0.3935,0.195,0.11,7
I,0.3855,0.192,0.1,7
I,0.358,0.169,0.105,7
M,0.197,0.073,0.077,7
M,0.17,0.0655,0.049,7
I,0.217,0.084,0.09,7
I,0.1515,0.056,0.05,7
I,0.5125,0.2185,0.16,7
I,0.2885,0.165,0.067,7
M,0.4115,0.18,0.135,7
I,0.1715,0.0655,0.06,7
I,0.343,0.1705,0.081,7
I,0.3295,0.129,0.11,7
I,0.6005,0.239,0.185,7
F,0.4605,0.1775,0.15,7
I,0.625,0.3265,0.16,7
F,0.583,0.246,0.175,7
I,0.465,0.21,0.128,7
F,0.4915,0.2205,0.17,7
M,0.1875,0.0735,0.06,7
I,0.258,0.104,0.0815,7
F,0.963,0.44,0.24,7
I,0.4195,0.1695,0.1195,7
I,0.409,0.1675,0.117,7
M,1.046,0.4695,0.263,7
F,0.566,0.281,0.1335,7
I,0.313,0.131,0.093,7
I,0.2455,0.111,0.065,7
I,0.568,0.2505,0.154,7
I,0.211,0.086,0.068,7
M,0.2555,0.097,0.1,7
I,0.336,0.1555,0.0855,7
I,0.3335,0.173,0.1,7
I,0.3415,0.1645,0.086,7
I,0.4895,0.2745,0.1105,7
F,0.938,0.467,0.225,7
I,0.1965,0.0915,0.055,7
I,0.1155,0.0485,0.035,7
I,0.1745,0.0875,0.04,7
I,0.1965,0.0875,0.056,7
F,0.368,0.173,0.105,7
I,0.319,0.138,0.082,7
I,0.3735,0.175,0.109,7
I,0.3095,0.147,0.09,7
M,0.4385,0.2075,0.1315,7
M,0.9555,0.4595,0.265,7
I,0.3215,0.13,0.1185,7
I,0.339,0.155,0.09,7
M,0.9035,0.4075,0.214,7
I,0.3905,0.1925,0.1025,7
I,0.2825,0.112,0.0815,7
I,0.271,0.0965,0.091,7
M,0.8035,0.409,0.228,7
I,0.513,0.219,0.13,7
I,0.204,0.3045,0.0595,7
I,0.3755,0.1525,0.125,7
M,0.4595,0.235,0.116,7
I,0.2015,0.096,0.048,7
I,0.223,0.098,0.075,7
I,0.2805,0.114,0.11,7
I,0.418,0.222,0.106,7
I,0.4175,0.1645,0.127,7
I,0.3975,0.1815,0.1175,7
M,0.4285,0.1965,0.112,7
F,1.2795,0.5735,0.355,7
I,0.1715,0.071,0.0535,7
I,0.257,0.1045,0.075,7
M,0.8115,0.4035,0.2,7
I,0.24,0.108,0.0735,7
I,0.196,0.0865,0.0605,7
F,0.5445,0.246,0.1405,7
M,0.1185,0.055,0.04,7
I,0.185,0.0625,0.07,7
I,0.5735,0.311,0.136,7
I,0.1005,0.0425,0.035,7
M,0.129,0.05,0.04,7
I,0.3075,0.139,0.093,7
I,0.298,0.109,0.115,7
I,0.4215,0.173,0.113,7
I,0.084,0.0365,0.025,7
I,0.3685,0.1615,0.12,7
I,0.3465,0.1635,0.09,7
M,0.2225,0.0805,0.075,7
I,0.3415,0.176,0.0865,7
I,0.511,0.2365,0.123,7
M,0.15,0.0525,0.048,7
I,0.281,0.1275,0.077,7
I,0.4,0.176,0.1205,7
I,0.1105,0.0405,0.032,7
I,0.187,0.0945,0.0425,7
I,0.5365,0.2855,0.1325,7
I,0.3505,0.1615,0.1185,7
I,0.2255,0.11,0.064,7
F,0.597,0.272,0.1675,7
F,0.775,0.308,0.255,7
F,0.6475,0.323,0.164,7
I,0.2815,0.1185,0.08,7
F,0.4555,0.1945,0.1375,7
I,0.637,0.38,0.128,7
I,0.3705,0.1545,0.12,7
I,0.303,0.131,0.095,7
I,0.4665,0.2285,0.114,7
I,0.1425,0.057,0.043,7
F,0.486,0.1735,0.185,7
F,0.952,0.4895,0.2185,7
M,0.397,0.1985,0.1035,7
I,0.474,0.23,0.12,7
F,0.5805,0.2865,0.148,7
I,0.268,0.1145,0.085,7
I,0.38,0.1515,0.11,7
I,0.3265,0.1665,0.089,7
I,0.0895,0.036,0.03,7
M,0.56,0.2375,0.175,7
I,0.1825,0.0705,0.055,7
I,0.524,0.246,0.145,7
I,0.572,0.237,0.165,7
I,0.434,0.1945,0.13,7
I,0.657,0.2835,0.175,7
I,0.203,0.0875,0.075,7
F,0.689,0.3165,0.1955,7
I,0.2535,0.103,0.085,7
F,1.445,0.631,0.435,7
M,0.6725,0.336,0.1825,7
I,0.385,0.167,0.125,7
I,0.344,0.181,0.079,7
I,0.5785,0.238,0.175,7
I,0.5205,0.233,0.1455,7
M,0.1085,0.041,0.0345,7
I,0.449,0.196,0.1265,7
I,0.2235,0.0815,0.08,7
I,0.466,0.2225,0.11,7
I,0.2905,0.095,0.115,7
M,0.7125,0.3695,0.155,7
I,0.4155,0.198,0.107,7
I,0.3245,0.135,0.098,7
I,0.407,0.209,0.103,7
I,0.346,0.159,0.095,7
I,0.257,0.119,0.07,7
I,0.14,0.0565,0.046,7
I,0.494,0.2205,0.1405,7
I,0.129,0.0615,0.0355,7
I,0.5195,0.279,0.1325,7
I,0.2875,0.128,0.0805,7
I,0.77,0.424,0.1895,7
I,0.127,0.106,0.085,7
I,0.1165,0.0565,0.035,7
M,1.198,0.707,0.2505,7
I,0.2135,0.082,0.07,7
I,0.1755,0.073,0.065,7
I,0.3,0.158,0.078,7
I,0.218,0.0945,0.07,7
I,0.1455,0.0605,0.045,7
I,0.4635,0.2325,0.115,7
I,0.2315,0.105,0.075,7
F,0.594,0.28,0.1375,7
I,0.4675,0.2125,0.1375,7
F,0.282,0.1405,0.08,7
I,0.2385,0.118,0.0695,7
I,0.2305,0.1005,0.0775,7
F,1.019,0.523,0.254,7
I,0.2225,0.0935,0.066,7
I,0.3055,0.126,0.106,7
I,0.2345,0.108,0.0625,7
M,0.7945,0.394,0.202,7
F,0.7115,0.3205,0.1915,7
I,0.2845,0.1255,0.081,7
F,0.9145,0.4145,0.273,7
I,0.086,0.0305,0.03,7
M,0.6215,0.274,0.1485,7
I,0.3535,0.157,0.1,7
M,0.6515,0.2715,0.186,7
I,0.5745,0.306,0.141,7
M,0.9235,0.412,0.24,7
F,0.4705,0.1955,0.126,7
I,0.4415,0.1755,0.12,7
I,0.325,0.1245,0.1025,7
F,1.1155,0.5575,0.29,7
I,0.144,0.059,0.044,7
M,0.544,0.27,0.129,7
M,0.361,0.134,0.125,7
I,0.5495,0.248,0.1585,7
I,0.316,0.1255,0.1035,7
I,0.365,0.1655,0.11,7
I,0.467,0.2315,0.113,7
I,0.35,0.148,0.105,7
I,0.32,0.118,0.123,7
I,0.334,0.1355,0.0965,7
I,0.1765,0.072,0.0575,7
I,0.459,0.2175,0.1165,7
I,0.4475,0.221,0.125,7
M,0.484,0.2155,0.165,7
I,0.32,0.172,0.093,7
I,0.232,0.0855,0.08,7
I,0.4445,0.213,0.1115,7
I,0.218,0.0995,0.0615,7
I,0.741,0.348,0.206,9
F,0.803,0.382,0.234,9
F,0.3485,0.1455,0.1,9
F,0.8035,0.38,0.21,9
M,0.9235,0.4545,0.254,9
M,0.5735,0.2505,0.195,9
M,0.919,0.4335,0.262,9
I,0.7715,0.328,0.23,9
F,1.349,0.5985,0.36,9
I,0.528,0.229,0.1645,9
F,1.6465,0.8545,0.3995,9
I,0.4325,0.2005,0.1275,9
I,0.694,0.3905,0.167,9
I,0.315,0.124,0.095,9
I,0.6075,0.268,0.1975,9
I,0.663,0.3005,0.1905,9
F,0.6865,0.295,0.185,9
I,0.3325,0.1485,0.105,9
F,1.183,0.508,0.343,9
M,1.187,0.5985,0.31,9
F,1.264,0.5715,0.321,9
M,0.82,0.4615,0.218,9
F,0.93,0.385,0.265,9
I,0.209,0.066,0.075,9
M,0.2935,0.096,0.105,9
I,0.4555,0.177,0.145,9
F,0.482,0.186,0.16,9
I,0.5465,0.229,0.172,9
M,1.309,0.587,0.325,9
M,0.51,0.1915,0.1625,9
M,0.9595,0.4565,0.23,9
M,1.1415,0.5795,0.29,9
M,0.537,0.222,0.15,9
M,0.234,0.0905,0.075,9
I,0.6095,0.248,0.175,9
I,0.6615,0.2585,0.196,9
F,1.1945,0.5105,0.352,9
M,1.1005,0.52,0.276,9
F,1.147,0.5455,0.2885,9
I,0.5925,0.265,0.168,9
M,1.1445,0.53,0.348,9
I,0.555,0.1935,0.195,9
M,1.2825,0.569,0.3795,9
M,0.872,0.4515,0.1985,9
M,0.5165,0.1885,0.185,9
M,1.4915,0.728,0.381,9
F,1.078,0.511,0.306,9
I,0.315,0.109,0.12,9
M,0.769,0.346,0.215,9
M,0.3055,0.143,0.085,9
M,1.0105,0.423,0.298,9
I,0.596,0.245,0.21,9
M,0.737,0.349,0.212,9
F,1.523,0.8045,0.4375,9
M,0.5415,0.2375,0.155,9
I,0.5385,0.2645,0.165,9
M,0.5975,0.27,0.166,9
I,0.768,0.3305,0.2475,9
F,0.578,0.191,0.17,9
F,1.0095,0.447,0.2645,9
F,0.677,0.2565,0.21,9
M,0.431,0.172,0.175,9
M,0.895,0.415,0.246,9
M,0.8295,0.3365,0.2485,9
M,0.9125,0.4095,0.289,9
M,0.681,0.3435,0.17,9
I,0.501,0.2435,0.1465,9
M,0.401,0.1575,0.135,9
I,0.3945,0.1685,0.125,9
M,0.7765,0.3525,0.185,9
I,0.6855,0.2875,0.2035,9
F,1.1655,0.502,0.311,9
I,0.6375,0.308,0.168,9
F,0.9325,0.365,0.29,9
M,0.381,0.1705,0.115,9
I,0.4365,0.188,0.147,9
F,0.9905,0.544,0.218,9
I,0.639,0.269,0.217,9
F,1.3245,0.6865,0.3275,9
I,0.5745,0.2525,0.189,9
M,0.528,0.2125,0.14,9
M,1.077,0.4545,0.3095,9
F,0.2,0.0625,0.07,9
M,0.3755,0.142,0.105,9
F,0.983,0.4475,0.2485,9
M,1.2135,0.631,0.302,9
M,1.296,0.545,0.32,9
F,1.219,0.6395,0.301,9
M,1.08,0.595,0.238,9
M,1.259,0.6405,0.357,9
F,0.895,0.3605,0.271,9
F,1.027,0.447,0.285,9
I,0.7635,0.326,0.265,9
I,0.5075,0.2115,0.1755,9
F,0.5685,0.249,0.161,9
I,0.4535,0.203,0.1465,9
I,0.199,0.0695,0.08,9
F,0.569,0.256,0.145,9
M,1.1315,0.481,0.305,9
M,1.177,0.5055,0.345,9
F,1.0265,0.485,0.2565,9
F,1.494,0.7365,0.37,9
M,0.622,0.2655,0.184,9
M,1.2935,0.5805,0.355,9
F,0.3635,0.136,0.13,9
M,0.6595,0.2485,0.16,9
M,1.12,0.5775,0.286,9
F,1.1685,0.4815,0.356,9
I,0.7265,0.3205,0.229,9
M,1.3815,0.672,0.315,9
M,0.7225,0.295,0.235,9
M,1.407,0.7215,0.335,9
F,0.8,0.3535,0.207,9
M,0.777,0.216,0.17,9
M,1.542,0.7155,0.375,9
M,0.8455,0.401,0.222,9
I,0.743,0.31,0.231,9
M,1.247,0.5335,0.29,9
F,0.7635,0.318,0.2,9
M,0.984,0.49,0.27,9
M,0.1975,0.0795,0.07,9
M,1.1385,0.502,0.31,9
F,0.811,0.3875,0.2285,9
M,0.213,0.081,0.07,9
M,1.0785,0.4535,0.31,9
I,0.124,0.0485,0.04,9
M,1.2655,0.615,0.336,9
I,0.5225,0.198,0.165,9
I,0.867,0.3705,0.28,9
I,0.728,0.2845,0.265,9
M,1.0375,0.5415,0.25,9
F,0.27,0.1125,0.0835,9
F,0.7145,0.3235,0.195,9
I,0.6965,0.32,0.175,9
F,1.2615,0.5385,0.38,9
M,1.4005,0.715,0.387,9
M,0.1295,0.0455,0.044,9
F,0.459,0.197,0.145,9
I,0.379,0.162,0.11,9
M,0.837,0.382,0.235,9
F,0.797,0.297,0.265,9
M,0.9255,0.4345,0.2475,9
I,0.78,0.3275,0.235,9
M,1.2915,0.594,0.37,9
M,1.022,0.449,0.2945,9
I,0.9605,0.4495,0.286,9
M,1.044,0.518,0.27,9
M,0.5095,0.2165,0.165,9
F,1.115,0.484,0.3095,9
F,1.0835,0.4525,0.317,9
F,1.238,0.647,0.3005,9
F,1.151,0.613,0.2515,9
F,0.7545,0.3525,0.2015,9
F,0.958,0.442,0.2705,9
M,0.5765,0.273,0.145,9
I,0.4865,0.2155,0.142,9
F,1.0405,0.464,0.3,9
I,0.855,0.3795,0.26,9
F,1.4415,0.741,0.341,9
M,0.5525,0.239,0.1555,9
F,0.832,0.4355,0.201,9
F,0.7405,0.3565,0.203,9
M,0.3895,0.2015,0.103,9
M,0.784,0.3495,0.213,9
F,1.1565,0.5115,0.2885,9
F,1.204,0.5455,0.3225,9
M,0.3955,0.147,0.145,9
M,1.041,0.54,0.279,9
M,0.642,0.289,0.155,9
M,0.725,0.269,0.25,9
I,0.599,0.2595,0.169,9
F,0.6995,0.3115,0.223,9
F,1.337,0.615,0.335,9
I,0.5805,0.2445,0.165,9
I,0.347,0.1605,0.1,9
F,1.2415,0.5815,0.315,9
I,0.3575,0.151,0.1045,9
F,1.3645,0.6075,0.353,9
F,0.974,0.393,0.3345,9
M,1.3305,0.783,0.2865,9
I,0.5605,0.28,0.15,9
F,1.38,0.5845,0.401,9
M,1.025,0.46,0.34,9
F,0.869,0.435,0.238,9
I,0.836,0.3725,0.24,9
M,0.487,0.226,0.155,9
F,1.285,0.5775,0.317,9
F,0.8255,0.375,0.245,9
F,0.8025,0.35,0.259,9
M,1.167,0.457,0.3745,9
F,1.5845,0.7175,0.4215,9
F,0.741,0.325,0.196,9
M,1.024,0.409,0.322,9
F,1.2015,0.559,0.3355,9
F,0.844,0.3945,0.231,9
I,0.5805,0.2365,0.19,9
M,0.944,0.3625,0.315,9
F,1.1405,0.587,0.288,9
I,0.601,0.2625,0.1835,9
M,0.886,0.3605,0.2575,9
M,0.7555,0.3755,0.201,9
M,0.836,0.406,0.2245,9
I,0.471,0.222,0.14,9
M,1.0985,0.4645,0.354,9
I,0.438,0.2115,0.12,9
M,0.6145,0.3415,0.146,9
M,0.9465,0.4355,0.2505,9
M,0.8965,0.383,0.275,9
F,0.745,0.347,0.2265,9
M,0.98,0.4315,0.247,9
I,0.372,0.138,0.135,9
M,1.2525,0.5575,0.343,9
F,0.644,0.2475,0.1635,9
M,1.114,0.4955,0.29,9
F,0.4925,0.216,0.135,9
F,0.674,0.3165,0.1785,9
I,0.6555,0.2705,0.192,9
F,0.9705,0.4315,0.255,9
I,0.701,0.3285,0.2255,9
M,0.968,0.419,0.2365,9
I,0.6055,0.2605,0.21,9
F,0.765,0.33,0.245,9
M,0.9225,0.4185,0.273,9
F,1.3235,0.6075,0.355,9
M,0.394,0.157,0.122,9
F,0.9455,0.3675,0.295,9
I,0.2615,0.111,0.0745,9
F,0.914,0.3895,0.271,9
I,0.8445,0.3975,0.255,9
F,0.941,0.3845,0.285,9
M,0.857,0.3665,0.269,9
M,0.717,0.3475,0.194,9
F,0.6335,0.231,0.2,9
F,0.92,0.393,0.2895,9
F,1.127,0.477,0.3185,9
F,0.8435,0.4325,0.1815,9
F,1.1185,0.469,0.335,9
F,0.8215,0.342,0.253,9
M,1.108,0.4915,0.3345,9
M,0.907,0.4245,0.26,9
M,0.5105,0.192,0.205,9
M,1.285,0.6095,0.315,9
F,0.397,0.1575,0.12,9
M,1.2795,0.618,0.315,9
I,0.5435,0.244,0.165,9
I,0.755,0.334,0.238,9
F,0.45,0.1715,0.155,9
F,0.898,0.3895,0.245,9
F,1.159,0.4675,0.31,9
M,0.276,0.1175,0.085,9
F,0.516,0.2015,0.162,9
F,0.6355,0.2635,0.185,9
F,0.9545,0.455,0.277,9
I,0.433,0.201,0.145,9
I,0.636,0.3055,0.1855,9
M,0.2105,0.066,0.075,9
M,1.09,0.5,0.292,9
F,0.9625,0.4375,0.2775,9
M,0.3555,0.146,0.105,9
M,0.8625,0.4225,0.24,9
M,0.9765,0.495,0.235,9
M,0.8705,0.4455,0.213,9
M,1.2215,0.5695,0.33,9
I,0.4075,0.1535,0.165,9
F,1.36,0.653,0.305,9
M,1.2975,0.6075,0.315,9
M,0.8745,0.413,0.248,9
F,1.4785,0.628,0.42,9
I,0.218,0.0935,0.07,9
F,1.1775,0.542,0.31,9
I,0.6765,0.256,0.208,9
I,0.591,0.287,0.12,9
I,0.6965,0.369,0.164,9
F,0.25,0.111,0.075,9
M,1.192,0.6055,0.285,9
M,0.873,0.4625,0.1965,9
I,0.4915,0.1765,0.1325,9
M,1.4335,0.7315,0.3285,9
F,0.9355,0.4035,0.259,9
F,0.921,0.4005,0.2875,9
M,0.253,0.096,0.0925,9
M,1.02,0.546,0.25,9
F,0.4165,0.1655,0.135,9
F,0.844,0.3645,0.2705,9
M,1.1185,0.5225,0.31,9
F,0.9705,0.4615,0.248,9
F,0.776,0.3545,0.239,9
I,0.457,0.1885,0.15,9
M,1.1,0.505,0.31,9
I,0.4235,0.182,0.14,9
F,0.8715,0.4755,0.1835,9
F,1.0765,0.491,0.287,9
I,0.6615,0.2945,0.19,9
F,0.656,0.2455,0.205,9
F,1.13,0.575,0.305,9
F,1.136,0.414,0.3,9
F,0.812,0.4055,0.2215,9
F,1.043,0.4795,0.305,9
F,1.289,0.6,0.3315,9
F,1.438,0.5185,0.3345,9
M,0.462,0.1675,0.12,9
I,0.3705,0.1575,0.114,9
F,0.9835,0.4845,0.22,9
F,1.055,0.543,0.2345,9
M,1.51,0.8735,0.5085,9
M,0.707,0.282,0.225,9
M,1.3455,0.586,0.3865,9
M,0.976,0.45,0.2475,9
I,0.7045,0.346,0.189,9
M,0.806,0.3415,0.215,9
I,0.8515,0.4555,0.1965,9
F,0.862,0.334,0.3,9
I,0.9225,0.436,0.26,9
I,0.49,0.223,0.1335,9
F,0.3215,0.1545,0.095,9
M,0.195,0.0745,0.0655,9
I,0.8565,0.3595,0.295,9
M,0.2205,0.0855,0.07,9
M,1.0915,0.4615,0.3,9
F,1.1345,0.5265,0.295,9
F,1.659,0.8715,0.4395,9
F,1.3825,0.702,0.3195,9
F,0.4495,0.177,0.15,9
M,0.393,0.13,0.165,9
M,0.5945,0.309,0.1535,9
F,0.995,0.504,0.2505,9
M,1.4745,0.605,0.48,9
M,0.9565,0.4025,0.265,9
M,0.646,0.285,0.172,9
I,0.494,0.2385,0.15,9
F,0.863,0.435,0.27,9
I,0.542,0.215,0.17,9
M,1.006,0.456,0.2835,9
I,0.7905,0.3485,0.225,9
F,1.5475,0.713,0.466,9
M,0.706,0.3355,0.1345,9
M,1.0725,0.4815,0.312,9
M,1.1335,0.586,0.237,9
M,1.254,0.5815,0.3185,9
I,0.441,0.1515,0.145,9
I,0.8195,0.3935,0.2295,9
F,0.5755,0.1975,0.1845,9
M,0.738,0.2845,0.193,9
F,0.953,0.475,0.2095,9
M,0.359,0.173,0.0975,9
F,0.778,0.368,0.18,9
I,0.6025,0.2895,0.154,9
F,1.0045,0.4655,0.2515,9
M,1.161,0.572,0.275,9
F,0.8825,0.3465,0.31,9
I,0.559,0.2375,0.169,9
M,0.9765,0.4525,0.235,9
