@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.47,0.9955,0.481,8
F,0.465,1.1025,0.5455,8
M,0.47,1.0195,0.5315,8
F,0.5,1.464,0.6415,9
F,0.54,1.454,0.624,9
F,0.53,1.5535,0.7945,9
I,0.27,0.218,0.0945,7
I,0.27,0.2105,0.0865,8
I,0.34,0.428,0.2065,8
I,0.34,0.346,0.1425,11
I,0.36,0.492,0.211,8
I,0.355,0.4965,0.214,8
I,0.38,0.5125,0.2185,7
I,0.375,0.5795,0.239,9
I,0.38,0.625,0.3265,7
I,0.42,0.711,0.337,13
I,0.4,0.5825,0.233,10
M,0.42,0.842,0.428,9
I,0.425,0.7675,0.419,9
I,0.43,0.7895,0.3745,11
I,0.43,0.7395,0.3135,10
F,0.445,1.224,0.5565,10
M,0.39,0.744,0.352,11
F,0.46,0.9795,0.397,9
M,0.475,1.065,0.5315,10
M,0.46,0.9595,0.4455,11
M,0.48,1.244,0.6345,12
F,0.475,1.115,0.484,10
M,0.565,1.521,0.644,15
M,0.525,1.3135,0.4865,10
M,0.5,1.401,0.6165,10
F,0.565,1.7635,0.7465,11
F,0.61,2.5085,1.232,14
I,0.27,0.232,0.1325,6
I,0.29,0.329,0.188,6
I,0.31,0.3425,0.1785,8
I,0.34,0.389,0.2015,6
I,0.345,0.4615,0.229,9
M,0.37,0.649,0.347,8
M,0.37,0.526,0.2485,6
I,0.395,0.556,0.2695,8
F,0.435,0.8715,0.4755,9
F,0.485,1.201,0.417,9
F,0.435,1.012,0.477,8
F,0.49,1.336,0.6805,10
F,0.515,1.389,0.5945,10
M,0.55,1.893,0.942,11
I,0.23,0.117,0.05,6
I,0.26,0.18,0.09,5
I,0.3,0.308,0.1525,8
I,0.34,0.3245,0.1385,8
I,0.39,0.5955,0.2455,8
M,0.4,0.707,0.282,9
M,0.455,0.972,0.419,10
I,0.42,0.816,0.3995,12
I,0.425,0.7965,0.364,10
I,0.445,0.8015,0.3475,9
I,0.46,0.8335,0.377,8
F,0.475,1.13,0.575,9
F,0.505,1.434,0.7285,11
F,0.465,1.0725,0.4835,10
F,0.485,1.2405,0.6025,12
M,0.475,1.224,0.6035,9
F,0.48,1.2215,0.582,12
M,0.5,1.4345,0.611,12
M,0.51,1.226,0.5885,10
M,0.55,1.274,0.586,10
F,0.51,1.382,0.6045,10
M,0.37,0.968,0.419,9
M,0.49,1.169,0.5275,11
M,0.5,1.3815,0.672,9
I,0.18,0.0555,0.0235,4
I,0.315,0.2805,0.114,7
I,0.325,0.368,0.1675,11
I,0.33,0.335,0.156,8
I,0.375,0.494,0.181,8
I,0.385,0.581,0.2555,10
I,0.425,0.8145,0.305,10
M,0.4,0.7075,0.332,7
I,0.435,0.8445,0.3975,9
F,0.43,0.7955,0.3485,9
M,0.475,0.857,0.3665,9
F,0.5,0.925,0.37,10
M,0.455,0.886,0.4315,10
M,0.49,1.195,0.4605,9
F,0.485,1.2695,0.5635,11
F,0.515,1.412,0.6195,11
M,0.55,1.6245,0.675,13
M,0.565,2.081,1.0815,11
I,0.2,0.0895,0.036,7
I,0.25,0.2875,0.128,7
I,0.315,0.3675,0.1865,7
M,0.33,0.4955,0.2575,8
F,0.43,0.741,0.325,9
F,0.405,0.6355,0.2635,9
M,0.445,0.9255,0.4345,9
I,0.28,0.2755,0.1305,8
M,0.39,0.617,0.25,8
I,0.42,0.668,0.2925,11
M,0.48,1.2435,0.5575,8
F,0.5,1.3165,0.6835,10
M,0.455,1.041,0.416,14
F,0.29,0.282,0.1405,7
M,0.375,0.4265,0.1685,8
F,0.41,0.6985,0.2945,10
M,0.35,0.4585,0.2,9
F,0.465,0.9995,0.405,16
I,0.35,0.3945,0.1685,9
F,0.51,1.3905,0.61,12
F,0.45,1.136,0.414,9
I,0.17,0.0605,0.0205,6
I,0.215,0.099,0.037,5
I,0.28,0.233,0.0905,11
M,0.345,0.43,0.175,7
M,0.505,1.6305,0.4865,18
M,0.475,0.857,0.356,13
M,0.335,0.406,0.166,8
F,0.51,1.456,0.581,13
F,0.445,0.8525,0.3465,13
M,0.51,1.598,0.6535,15
M,0.405,0.7575,0.3305,10
F,0.385,0.6905,0.3125,10
F,0.475,0.974,0.4305,10
I,0.385,0.585,0.2755,8
I,0.31,0.2875,0.1145,10
F,0.535,1.496,0.5775,17
M,0.49,1.103,0.425,23
F,0.435,0.631,0.2765,12
M,0.53,1.3185,0.548,18
M,0.495,1.081,0.4825,11
M,0.125,0.023,0.0085,3
F,0.325,0.3575,0.145,12
F,0.265,0.2165,0.096,10
M,0.115,0.024,0.009,5
I,0.395,0.537,0.2165,9
F,0.315,0.321,0.1255,10
I,0.24,0.17,0.062,9
M,0.355,0.4625,0.186,9
F,0.335,0.4565,0.1785,11
F,0.265,0.1855,0.0745,7
I,0.185,0.071,0.027,5
I,0.26,0.1925,0.077,8
M,0.4,0.8415,0.2715,12
M,0.375,0.5,0.21,8
I,0.345,0.4155,0.198,7
I,0.385,0.6005,0.239,7
F,0.42,0.828,0.41,6
M,0.435,0.7345,0.33,9
F,0.45,0.9045,0.405,8
F,0.44,0.8435,0.434,8
F,0.45,0.908,0.4015,9
M,0.48,1.192,0.6055,9
F,0.535,1.2895,0.6095,10
M,0.52,1.4775,0.724,11
I,0.15,0.04,0.0135,4
I,0.255,0.183,0.075,6
I,0.29,0.3,0.14,8
I,0.38,0.5215,0.2215,8
I,0.385,0.596,0.245,9
I,0.375,0.6315,0.3045,9
I,0.43,0.712,0.3025,10
I,0.46,0.8465,0.339,10
M,0.495,1.1145,0.5055,11
M,0.48,1.3065,0.6895,10
M,0.495,1.139,0.5395,10
M,0.51,1.446,0.6485,12
F,0.505,1.4045,0.6255,9
F,0.54,1.757,0.8265,9
I,0.335,0.362,0.1575,7
M,0.485,1.0785,0.4535,9
F,0.485,1.254,0.591,9
I,0.23,0.1245,0.0505,6
I,0.27,0.1855,0.07,7
I,0.36,0.447,0.161,9
F,0.35,0.4085,0.165,8
I,0.37,0.5445,0.249,8
F,0.475,1.194,0.559,11
F,0.5,1.217,0.5725,11
M,0.495,1.539,0.6115,12
F,0.5,1.528,0.6215,11
M,0.515,1.2345,0.618,11
M,0.425,0.873,0.4625,9
M,0.495,1.307,0.678,11
M,0.585,2.2305,1.2395,14
I,0.32,0.309,0.115,6
I,0.37,0.3965,0.1485,8
I,0.375,0.456,0.182,9
I,0.385,0.572,0.237,7
M,0.405,0.853,0.326,9
F,0.49,1.145,0.4775,9
M,0.54,1.403,0.6955,11
F,0.53,1.5175,0.7765,10
M,0.525,1.3575,0.5325,10
F,0.55,1.908,0.5415,14
F,0.575,2.073,1.0135,11
M,0.435,0.9385,0.3685,11
I,0.285,0.226,0.0975,7
I,0.29,0.2285,0.088,7
F,0.485,1.1945,0.5105,9
F,0.5,1.2785,0.5345,13
F,0.54,1.978,0.6675,24
F,0.505,1.367,0.5835,10
F,0.41,0.657,0.291,15
F,0.47,1.017,0.426,12
I,0.245,0.1495,0.0605,5
F,0.38,0.578,0.2395,9
F,0.3,0.2725,0.1115,6
F,0.53,1.3955,0.456,15
M,0.51,1.4985,0.4125,16
M,0.415,0.753,0.258,8
M,0.41,0.696,0.2405,13
F,0.51,1.092,0.396,14
I,0.23,0.15,0.0605,5
M,0.36,0.4365,0.169,11
F,0.53,1.428,0.493,18
M,0.42,0.72,0.275,15
F,0.485,1.0735,0.437,14
F,0.45,0.9285,0.302,12
F,0.325,0.438,0.1805,9
F,0.41,0.6345,0.243,17
F,0.425,0.7765,0.302,16
I,0.385,0.683,0.3265,13
I,0.365,0.4545,0.171,8
F,0.44,1.073,0.4005,19
M,0.3,0.301,0.124,9
I,0.405,0.7585,0.307,10
M,0.21,0.0905,0.035,5
I,0.235,0.127,0.048,6
M,0.435,1.0105,0.368,10
M,0.48,1.0765,0.412,13
I,0.265,0.192,0.081,6
I,0.31,0.313,0.131,7
M,0.605,2.4925,1.1455,13
F,0.355,0.4705,0.1955,7
F,0.42,0.931,0.4445,8
M,0.475,1.1385,0.502,9
F,0.495,1.1115,0.4495,11
F,0.47,1.255,0.525,10
F,0.585,2.0725,0.8655,10
I,0.3,0.2985,0.1375,6
F,0.475,1.1155,0.509,8
I,0.38,0.5345,0.2375,8
M,0.475,1.164,0.5045,12
F,0.575,1.7365,0.7755,11
I,0.15,0.041,0.015,3
I,0.26,0.192,0.097,6
I,0.26,0.1765,0.072,7
I,0.275,0.2345,0.108,7
I,0.365,0.528,0.229,9
F,0.46,1.058,0.486,9
F,0.475,1.088,0.4905,10
F,0.53,1.2835,0.583,8
F,0.5,1.12,0.4955,12
M,0.53,1.583,0.7395,10
I,0.225,0.1005,0.0425,7
I,0.34,0.344,0.123,8
I,0.37,0.4075,0.1515,9
M,0.41,0.769,0.346,9
M,0.405,0.7315,0.336,7
I,0.415,0.7915,0.3535,10
M,0.48,1.0855,0.481,10
F,0.485,1.3025,0.61,14
M,0.495,1.2075,0.55,10
M,0.525,1.3685,0.5975,11
F,0.53,1.431,0.622,10
F,0.56,1.792,0.873,11
F,0.32,0.6475,0.323,7
M,0.37,0.6145,0.3415,9
F,0.505,1.2635,0.512,9
F,0.525,1.8185,0.819,13
I,0.37,0.5065,0.2425,8
I,0.41,0.699,0.3395,10
I,0.45,0.728,0.2845,9
F,0.44,0.846,0.346,10
I,0.43,0.6545,0.2815,9
F,0.505,1.2075,0.5105,10
F,0.525,1.5785,0.678,14
I,0.23,0.1455,0.0595,6
I,0.4,0.5655,0.2435,8
I,0.105,0.034,0.012,4
F,0.295,0.3005,0.1255,7
M,0.41,0.785,0.282,12
F,0.4,0.731,0.236,11
I,0.25,0.1405,0.056,5
F,0.4,0.8085,0.273,13
M,0.575,1.829,0.7035,14
F,0.5,1.1765,0.488,17
F,0.46,0.8765,0.3455,10
M,0.345,0.476,0.2055,15
M,0.28,0.266,0.0995,12
F,0.4,0.7105,0.27,20
I,0.42,0.728,0.2725,14
F,0.415,0.7155,0.2355,13
F,0.425,0.717,0.2115,13
I,0.385,0.591,0.271,9
F,0.395,0.686,0.281,12
I,0.29,0.2875,0.123,6
I,0.35,0.4905,0.2035,7
I,0.28,0.2235,0.115,6
F,0.43,0.7545,0.3525,9
F,0.46,1.0035,0.503,11
M,0.48,1.065,0.4865,10
M,0.545,1.7475,0.8215,11
I,0.45,0.858,0.449,10
M,0.485,1.003,0.4655,11
M,0.495,1.025,0.46,9
F,0.5,1.159,0.4675,9
I,0.405,0.658,0.327,8
I,0.475,0.984,0.4865,10
M,0.365,0.5305,0.2405,8
F,0.42,1.6645,0.7755,9
F,0.465,1.1,0.547,10
M,0.435,0.9205,0.404,8
I,0.425,0.7655,0.331,10
I,0.35,0.3805,0.1575,6
I,0.29,0.2845,0.1255,7
I,0.3,0.3035,0.15,7
