@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.45,0.36,0.191,7
I,0.425,0.31,0.1385,7
M,0.57,0.46,0.4075,7
I,0.435,0.345,0.221,7
F,0.375,0.295,0.1255,7
I,0.46,0.35,0.18,7
I,0.315,0.235,0.058,7
I,0.355,0.26,0.0715,7
I,0.39,0.29,0.117,7
I,0.395,0.295,0.14,7
M,0.5,0.4,0.336,7
I,0.45,0.335,0.1615,7
I,0.475,0.35,0.2375,7
I,0.485,0.37,0.38,7
M,0.38,0.235,0.1055,7
F,0.305,0.225,0.0585,7
I,0.535,0.4,0.2835,7
I,0.39,0.29,0.1255,7
I,0.41,0.33,0.1525,7
F,0.455,0.35,0.1945,7
I,0.32,0.24,0.076,7
I,0.345,0.27,0.082,7
I,0.35,0.265,0.09,7
M,0.46,0.345,0.235,7
F,0.375,0.29,0.1405,7
I,0.365,0.27,0.0825,7
I,0.455,0.335,0.274,7
I,0.41,0.305,0.157,7
I,0.445,0.345,0.169,7
I,0.45,0.335,0.181,7
F,0.475,0.38,0.1735,7
I,0.335,0.245,0.096,7
I,0.43,0.325,0.217,7
I,0.455,0.35,0.2855,7
F,0.51,0.375,0.2865,7
I,0.41,0.305,0.1,7
M,0.52,0.395,0.4035,7
I,0.37,0.275,0.0885,7
M,0.335,0.265,0.0935,7
I,0.31,0.235,0.056,7
I,0.365,0.27,0.0935,7
I,0.34,0.25,0.0785,7
I,0.475,0.35,0.2035,7
I,0.53,0.42,0.2555,7
I,0.41,0.31,0.155,7
I,0.455,0.35,0.213,7
F,0.4,0.305,0.173,7
I,0.39,0.295,0.1155,7
I,0.48,0.335,0.246,7
I,0.44,0.34,0.1725,7
I,0.415,0.325,0.2285,7
I,0.425,0.31,0.139,7
M,0.425,0.325,0.1705,7
I,0.435,0.315,0.1615,7
F,0.385,0.305,0.1365,7
I,0.46,0.355,0.2015,7
M,0.385,0.295,0.147,7
I,0.375,0.285,0.0975,7
I,0.335,0.26,0.0875,7
F,0.325,0.26,0.085,7
I,0.365,0.275,0.098,7
M,0.495,0.4,0.272,7
I,0.44,0.34,0.209,7
M,0.405,0.31,0.173,7
I,0.45,0.335,0.195,7
F,0.485,0.37,0.1995,7
I,0.435,0.335,0.2025,7
M,0.455,0.375,0.2155,7
I,0.39,0.31,0.181,7
I,0.4,0.31,0.106,7
I,0.465,0.37,0.261,7
I,0.465,0.365,0.2315,7
I,0.295,0.225,0.0405,7
I,0.46,0.35,0.176,7
M,0.56,0.45,0.472,7
I,0.37,0.29,0.089,7
I,0.435,0.325,0.159,7
I,0.385,0.3,0.1215,7
F,0.72,0.525,0.631,7
M,0.35,0.265,0.073,7
M,0.265,0.2,0.034,7
F,0.485,0.365,0.4145,7
M,0.39,0.28,0.3035,7
F,0.55,0.425,0.4895,7
M,0.445,0.32,0.199,7
I,0.415,0.305,0.165,7
M,0.35,0.265,0.0995,7
I,0.43,0.34,0.159,7
I,0.37,0.27,0.07,7
I,0.33,0.255,0.0895,7
I,0.4,0.305,0.176,7
I,0.42,0.32,0.174,7
I,0.385,0.29,0.122,7
I,0.405,0.3,0.15,7
I,0.52,0.39,0.2355,7
M,0.545,0.43,0.409,7
F,0.425,0.35,0.175,7
F,0.375,0.27,0.272,7
I,0.415,0.325,0.1445,7
I,0.415,0.32,0.1215,7
I,0.475,0.385,0.311,7
I,0.365,0.28,0.0865,7
M,0.59,0.465,0.4695,7
F,0.305,0.23,0.0675,7
I,0.425,0.315,0.131,7
I,0.46,0.36,0.2225,7
F,0.505,0.4,0.246,7
I,0.355,0.27,0.3045,7
I,0.36,0.265,0.096,7
I,0.335,0.25,0.0945,7
I,0.375,0.28,0.0855,7
I,0.355,0.255,0.078,7
M,0.565,0.415,0.302,7
I,0.33,0.23,0.0565,7
I,0.38,0.3,0.1305,7
I,0.39,0.285,0.1275,7
F,0.525,0.44,0.3205,7
I,0.495,0.38,0.2185,7
I,0.44,0.335,0.175,7
I,0.515,0.4,0.25,7
F,0.505,0.39,0.246,7
I,0.365,0.275,0.108,7
I,0.435,0.335,0.135,7
I,0.405,0.3,0.172,7
I,0.475,0.355,0.279,7
I,0.385,0.3,0.1705,7
I,0.365,0.27,0.078,7
I,0.425,0.315,0.1865,7
F,0.35,0.265,0.0745,7
M,0.49,0.465,0.235,7
I,0.425,0.325,0.173,7
M,0.325,0.24,0.0795,7
I,0.275,0.2,0.0475,7
I,0.44,0.355,0.231,7
M,0.48,0.37,0.3445,7
M,0.31,0.225,0.054,7
M,0.505,0.385,0.3135,7
I,0.46,0.365,0.2365,7
M,0.35,0.265,0.1365,7
F,0.61,0.485,0.5735,7
I,0.355,0.27,0.11,7
I,0.37,0.28,0.1505,7
F,0.37,0.295,0.1165,7
I,0.375,0.28,0.0935,7
I,0.28,0.205,0.045,7
F,0.475,0.365,0.281,7
F,0.435,0.325,0.178,7
F,0.53,0.395,0.308,7
I,0.5,0.38,0.218,7
I,0.5,0.375,0.259,7
M,0.545,0.42,0.3745,7
I,0.5,0.37,0.306,7
M,0.31,0.245,0.0525,7
I,0.475,0.365,0.2175,7
I,0.445,0.35,0.1695,7
I,0.51,0.395,0.281,7
I,0.265,0.195,0.0365,7
I,0.425,0.325,0.162,7
I,0.45,0.33,0.1865,7
I,0.51,0.405,0.3655,7
I,0.33,0.225,0.0945,7
M,0.475,0.36,0.1965,7
M,0.285,0.21,0.055,7
I,0.37,0.275,0.096,7
M,0.4,0.32,0.1335,7
I,0.38,0.275,0.086,7
I,0.405,0.29,0.112,7
I,0.47,0.355,0.167,7
I,0.485,0.385,0.2505,7
M,0.42,0.345,0.175,7
I,0.44,0.345,0.1655,7
M,0.545,0.39,0.4225,7
I,0.415,0.325,0.139,7
I,0.36,0.25,0.21,7
I,0.405,0.305,0.0965,7
I,0.395,0.29,0.138,7
I,0.325,0.25,0.0765,7
I,0.445,0.345,0.1675,7
I,0.505,0.38,0.2595,7
I,0.505,0.39,0.267,7
F,0.435,0.325,0.154,7
I,0.38,0.285,0.0895,7
M,0.44,0.325,0.163,7
I,0.43,0.33,0.118,7
F,0.58,0.46,0.5575,7
I,0.41,0.3,0.1255,7
M,0.505,0.4,0.3445,7
I,0.43,0.32,0.1635,7
I,0.385,0.3,0.152,7
F,0.58,0.435,0.3485,7
F,0.49,0.37,0.249,7
M,0.615,0.45,0.707,7
M,0.235,0.17,0.018,7
I,0.435,0.335,0.129,7
I,0.405,0.25,0.128,7
I,0.32,0.255,0.073,7
I,0.39,0.29,0.095,7
I,0.31,0.24,0.0605,7
I,0.415,0.32,0.175,7
I,0.42,0.305,0.1645,7
I,0.395,0.31,0.153,7
I,0.31,0.215,0.0565,7
M,0.515,0.39,0.3695,7
I,0.465,0.37,0.234,7
M,0.555,0.4,0.332,7
I,0.525,0.4,0.305,7
I,0.405,0.305,0.1145,7
F,0.495,0.37,0.28,7
I,0.42,0.325,0.1245,7
I,0.375,0.275,0.095,7
I,0.285,0.225,0.0425,7
M,0.515,0.41,0.3065,7
I,0.42,0.3,0.1255,7
F,0.585,0.45,0.467,7
I,0.43,0.325,0.1575,7
I,0.515,0.38,0.3265,7
M,0.45,0.345,0.18,7
I,0.39,0.3,0.1665,7
M,0.53,0.405,0.2715,7
I,0.335,0.25,0.0705,7
I,0.51,0.375,0.238,7
M,0.37,0.28,0.0805,7
M,0.335,0.25,0.0755,7
I,0.465,0.37,0.1635,7
I,0.475,0.35,0.2165,7
M,0.485,0.385,0.296,7
I,0.435,0.33,0.1515,7
F,0.525,0.41,0.416,7
I,0.385,0.295,0.103,7
M,0.5,0.375,0.274,7
I,0.36,0.265,0.083,7
F,0.46,0.375,0.1775,7
I,0.425,0.325,0.1815,7
I,0.365,0.275,0.108,7
I,0.33,0.25,0.0655,7
I,0.46,0.345,0.198,7
M,0.525,0.38,0.303,7
M,0.47,0.36,0.27,7
I,0.38,0.285,0.1005,7
I,0.445,0.325,0.1795,7
I,0.485,0.375,0.2935,7
F,0.52,0.46,0.523,7
I,0.425,0.34,0.1625,7
I,0.5,0.375,0.248,7
M,0.63,0.51,0.4915,7
I,0.435,0.335,0.156,7
I,0.385,0.29,0.0855,7
I,0.445,0.31,0.1555,7
I,0.39,0.315,0.147,7
I,0.44,0.335,0.173,7
I,0.465,0.345,0.1755,7
I,0.37,0.28,0.122,7
I,0.375,0.27,0.0945,7
M,0.62,0.46,0.535,7
M,0.525,0.415,0.394,7
M,0.575,0.45,0.429,7
I,0.33,0.25,0.102,7
I,0.39,0.295,0.0875,7
I,0.44,0.33,0.1545,7
M,0.55,0.405,0.412,7
I,0.265,0.2,0.04,7
I,0.36,0.265,0.105,7
F,0.465,0.355,0.1955,7
I,0.46,0.35,0.2125,7
I,0.275,0.2,0.0565,7
I,0.41,0.315,0.114,7
I,0.36,0.265,0.0675,7
I,0.345,0.265,0.111,7
M,0.465,0.36,0.295,7
I,0.405,0.3,0.1265,7
M,0.205,0.155,0.017,7
I,0.34,0.265,0.0625,7
I,0.445,0.34,0.1945,7
M,0.52,0.39,0.2885,7
I,0.415,0.325,0.167,7
I,0.365,0.265,0.105,7
M,0.48,0.365,0.312,7
I,0.415,0.33,0.1925,7
I,0.28,0.2,0.036,7
M,0.425,0.33,0.134,7
I,0.435,0.325,0.174,7
I,0.45,0.335,0.2335,7
I,0.325,0.25,0.0875,7
I,0.315,0.24,0.071,7
I,0.44,0.33,0.197,7
I,0.36,0.275,0.084,7
M,0.33,0.255,0.0735,7
I,0.485,0.37,0.219,7
M,0.43,0.335,0.1985,7
M,0.465,0.36,0.2665,7
I,0.375,0.28,0.187,7
M,0.295,0.215,0.05,7
I,0.365,0.265,0.0945,7
I,0.3,0.22,0.057,7
I,0.355,0.28,0.0815,7
I,0.48,0.36,0.2795,7
M,0.51,0.405,0.327,7
M,0.535,0.405,0.402,7
I,0.425,0.32,0.126,7
M,0.545,0.42,0.403,7
I,0.36,0.3,0.1185,7
M,0.415,0.3,0.1545,7
I,0.41,0.335,0.1405,7
I,0.305,0.245,0.0675,7
I,0.46,0.36,0.2325,7
I,0.33,0.26,0.0915,7
I,0.495,0.33,0.177,7
M,0.58,0.49,0.586,9
I,0.59,0.46,0.334,9
I,0.515,0.405,0.213,9
I,0.565,0.42,0.31,9
F,0.615,0.475,0.3915,9
F,0.66,0.5,0.556,9
M,0.35,0.255,0.08,9
F,0.67,0.54,0.6435,9
M,0.425,0.35,0.13,9
M,0.52,0.385,0.2485,9
M,0.65,0.495,0.57,9
M,0.415,0.315,0.2015,9
I,0.5,0.38,0.2945,9
F,0.545,0.4,0.368,9
M,0.65,0.525,0.586,9
M,0.46,0.35,0.1885,9
M,0.455,0.34,0.1675,9
M,0.605,0.475,0.555,9
F,0.44,0.35,0.175,9
I,0.455,0.355,0.2165,9
M,0.56,0.465,0.3345,9
M,0.515,0.455,0.295,9
M,0.475,0.37,0.222,9
M,0.575,0.445,0.4005,9
M,0.635,0.51,0.619,9
F,0.63,0.505,0.516,9
I,0.575,0.45,0.3275,9
M,0.575,0.465,0.595,9
F,0.56,0.455,0.283,9
F,0.65,0.495,0.615,9
F,0.64,0.505,0.6185,9
M,0.6,0.45,0.4325,9
F,0.57,0.44,0.447,9
M,0.53,0.415,0.3355,9
F,0.505,0.39,0.3165,9
M,0.65,0.52,0.615,9
F,0.625,0.5,0.573,9
F,0.625,0.49,0.477,9
I,0.665,0.5,0.6035,9
I,0.565,0.465,0.581,9
F,0.56,0.44,0.4315,9
M,0.335,0.265,0.0795,9
F,0.485,0.39,0.2215,9
F,0.625,0.5,0.564,9
M,0.385,0.305,0.109,9
M,0.6,0.48,0.4135,9
M,0.53,0.425,0.2975,9
M,0.44,0.35,0.2,9
I,0.5,0.395,0.2925,9
M,0.295,0.225,0.048,9
F,0.595,0.47,0.491,9
I,0.4,0.265,0.1245,9
I,0.53,0.42,0.256,9
M,0.545,0.41,0.349,9
M,0.665,0.5,0.6075,9
M,0.65,0.52,0.6185,9
F,0.45,0.345,0.1655,9
F,0.65,0.5,0.702,9
M,0.515,0.37,0.3415,9
M,0.59,0.46,0.496,9
I,0.52,0.415,0.308,9
F,0.655,0.46,0.6895,9
M,0.645,0.495,0.603,9
F,0.605,0.455,0.334,9
M,0.525,0.4,0.2655,9
F,0.51,0.37,0.508,9
I,0.44,0.305,0.162,9
I,0.6,0.445,0.445,9
F,0.745,0.57,1.1565,9
F,0.625,0.48,0.6075,9
F,0.56,0.43,0.3895,9
M,0.46,0.375,0.2505,9
M,0.66,0.5,0.667,9
F,0.615,0.475,0.447,9
M,0.59,0.405,0.326,9
M,0.685,0.51,0.6315,9
I,0.555,0.395,0.222,9
M,0.425,0.335,0.1755,9
M,0.725,0.57,1.253,9
M,0.51,0.405,0.3725,9
F,0.67,0.505,0.6075,9
F,0.58,0.45,0.385,9
F,0.63,0.495,0.5455,9
I,0.55,0.425,0.3325,9
I,0.475,0.34,0.203,9
I,0.29,0.225,0.071,9
I,0.555,0.43,0.345,9
M,0.57,0.435,0.383,9
F,0.64,0.525,0.646,9
F,0.475,0.36,0.1695,9
M,0.625,0.495,0.5815,9
M,0.605,0.49,0.457,9
I,0.515,0.4,0.32,9
F,0.54,0.415,0.3875,9
F,0.575,0.435,0.4115,9
M,0.53,0.405,0.2845,9
I,0.45,0.33,0.208,9
F,0.565,0.44,0.435,9
M,0.65,0.515,0.5235,9
M,0.595,0.435,0.4255,9
F,0.54,0.42,0.38,9
I,0.57,0.435,0.4,9
F,0.615,0.465,0.4615,9
I,0.525,0.4,0.2625,9
M,0.58,0.45,0.3935,9
I,0.53,0.415,0.3905,9
M,0.59,0.47,0.4545,9
I,0.56,0.435,0.354,9
M,0.61,0.485,0.783,9
I,0.525,0.4,0.2605,9
I,0.53,0.425,0.3905,9
I,0.5,0.365,0.229,9
F,0.605,0.49,0.5265,9
F,0.65,0.5,0.6415,9
M,0.5,0.405,0.241,9
I,0.515,0.4,0.3055,9
I,0.32,0.25,0.057,9
M,0.59,0.455,0.5,9
M,0.385,0.3,0.0885,9
I,0.5,0.41,0.2585,9
M,0.505,0.39,0.3315,9
F,0.555,0.43,0.4055,9
F,0.49,0.375,0.22,9
M,0.585,0.47,0.4025,9
M,0.34,0.255,0.081,9
M,0.47,0.39,0.2185,9
M,0.425,0.305,0.173,9
F,0.655,0.49,0.5455,9
F,0.605,0.47,0.611,9
I,0.44,0.365,0.213,9
M,0.545,0.415,0.4615,9
F,0.55,0.415,0.502,9
M,0.425,0.33,0.152,9
F,0.43,0.35,0.1575,9
M,0.725,0.55,0.8735,9
M,0.58,0.46,0.491,9
M,0.6,0.465,0.6405,9
M,0.535,0.435,0.269,9
M,0.575,0.45,0.318,9
M,0.645,0.5,0.672,9
I,0.505,0.385,0.245,9
I,0.335,0.255,0.071,9
I,0.535,0.41,0.268,9
I,0.535,0.45,0.2845,9
I,0.58,0.445,0.303,9
I,0.575,0.45,0.4675,9
F,0.64,0.5,0.559,9
M,0.37,0.28,0.0905,9
M,0.53,0.425,0.307,9
I,0.51,0.4,0.231,9
I,0.4,0.3,0.109,9
M,0.44,0.375,0.226,9
M,0.625,0.495,0.5055,9
F,0.6,0.475,0.575,9
F,0.64,0.515,0.6635,9
M,0.6,0.47,0.423,9
M,0.625,0.485,0.631,9
I,0.555,0.43,0.341,9
F,0.415,0.325,0.1405,9
M,0.45,0.32,0.1705,9
I,0.475,0.36,0.177,9
F,0.515,0.395,0.2015,9
I,0.53,0.405,0.2715,9
I,0.56,0.455,0.547,9
I,0.5,0.395,0.2165,9
I,0.54,0.415,0.3195,9
M,0.59,0.47,0.6245,9
M,0.6,0.475,0.5255,9
F,0.33,0.26,0.0625,9
M,0.43,0.31,0.2735,9
F,0.635,0.49,0.4775,9
I,0.42,0.33,0.1635,9
F,0.61,0.5,0.5185,9
F,0.58,0.45,0.4035,9
M,0.565,0.445,0.406,9
F,0.615,0.515,0.545,9
M,0.56,0.43,0.464,9
I,0.5,0.375,0.2375,9
F,0.605,0.475,0.433,9
M,0.48,0.375,0.216,9
I,0.485,0.345,0.3085,9
F,0.635,0.505,0.512,9
I,0.53,0.405,0.2945,9
M,0.49,0.395,0.3325,9
F,0.605,0.485,0.417,9
F,0.54,0.42,0.368,9
F,0.56,0.455,0.4525,9
M,0.64,0.485,0.456,9
F,0.595,0.455,0.3895,9
M,0.515,0.35,0.4185,9
F,0.63,0.485,0.5945,9
M,0.62,0.47,0.587,9
M,0.555,0.435,0.4985,9
M,0.61,0.47,0.498,9
F,0.61,0.45,0.414,9
M,0.63,0.505,0.4615,9
F,0.47,0.365,0.163,9
F,0.565,0.44,0.393,9
M,0.515,0.395,0.285,9
M,0.57,0.45,0.546,9
F,0.545,0.43,0.3945,9
M,0.575,0.445,0.415,9
M,0.45,0.34,0.1605,9
F,0.69,0.53,0.7945,9
F,0.65,0.49,0.545,9
F,0.57,0.45,0.531,9
M,0.61,0.475,0.409,9
I,0.54,0.42,0.2505,9
I,0.335,0.24,0.062,9
F,0.635,0.49,0.5385,9
F,0.435,0.395,0.136,9
M,0.41,0.3,0.124,9
I,0.525,0.39,0.3115,9
M,0.59,0.45,0.445,9
F,0.575,0.47,0.435,9
M,0.54,0.435,0.33,9
F,0.45,0.325,0.1805,9
M,0.615,0.475,0.6035,9
F,0.495,0.41,0.3355,9
F,0.575,0.46,0.333,9
I,0.46,0.35,0.1685,9
I,0.545,0.4,0.3285,9
F,0.515,0.4,0.191,9
F,0.605,0.515,0.6,9
F,0.545,0.41,0.29,9
F,0.445,0.33,0.18,9
M,0.63,0.47,0.52,9
I,0.48,0.37,0.244,9
F,0.725,0.58,0.8045,9
M,0.465,0.34,0.231,9
M,0.63,0.53,0.618,9
M,0.565,0.455,0.4565,9
F,0.525,0.43,0.4325,9
F,0.605,0.48,0.4815,9
I,0.53,0.395,0.247,9
I,0.42,0.325,0.1575,9
I,0.475,0.365,0.223,9
M,0.6,0.47,0.504,9
I,0.515,0.39,0.235,9
F,0.575,0.465,0.4735,9
F,0.5,0.395,0.3235,9
F,0.37,0.29,0.111,9
M,0.505,0.395,0.29,9
F,0.625,0.515,0.5715,9
M,0.61,0.475,0.62,9
M,0.63,0.49,0.63,9
F,0.625,0.485,0.5845,9
M,0.615,0.47,0.4975,9
I,0.555,0.425,0.3485,9
M,0.485,0.37,0.419,9
M,0.5,0.4,0.27,9
M,0.375,0.29,0.1175,9
F,0.635,0.495,0.707,9
F,0.46,0.355,0.2205,9
I,0.44,0.35,0.1425,9
F,0.62,0.475,0.455,9
M,0.67,0.525,0.715,9
F,0.53,0.41,0.375,9
M,0.67,0.52,0.8115,9
F,0.595,0.47,0.542,9
I,0.475,0.335,0.1895,9
M,0.6,0.46,0.5335,9
M,0.475,0.37,0.2165,9
I,0.405,0.315,0.1605,9
M,0.62,0.49,0.505,9
I,0.535,0.42,0.273,9
M,0.595,0.475,0.3625,9
I,0.465,0.37,0.188,9
M,0.505,0.41,0.289,9
M,0.445,0.37,0.2495,9
M,0.685,0.545,0.8145,9
F,0.645,0.49,0.4935,9
M,0.575,0.465,0.516,9
F,0.65,0.525,0.647,9
F,0.65,0.5,0.741,9
M,0.505,0.385,0.3185,9
M,0.39,0.3,0.143,9
F,0.58,0.46,0.65,9
F,0.55,0.43,0.2565,9
M,0.64,0.5,0.642,9
I,0.52,0.395,0.2985,9
M,0.625,0.495,0.5805,9
F,0.66,0.505,0.6255,9
F,0.675,0.53,0.62,9
M,0.47,0.37,0.1915,9
M,0.44,0.355,0.132,9
M,0.555,0.425,0.4625,9
I,0.55,0.4,0.3315,9
F,0.585,0.46,0.486,9
F,0.54,0.425,0.3675,9
M,0.495,0.375,0.45,9
F,0.535,0.41,0.335,9
M,0.62,0.485,0.5235,9
F,0.555,0.405,0.4585,9
M,0.6,0.465,0.4975,9
F,0.56,0.425,0.361,9
I,0.61,0.465,0.4495,9
M,0.52,0.4,0.4515,9
M,0.495,0.395,0.2375,9
M,0.595,0.455,0.518,9
F,0.45,0.36,0.2035,9
F,0.59,0.465,0.613,9
F,0.645,0.52,0.5775,9
M,0.545,0.41,0.434,9
F,0.605,0.5,0.469,9
M,0.625,0.495,0.46,9
I,0.585,0.42,0.2895,9
I,0.67,0.485,0.5355,9
F,0.55,0.435,0.347,9
I,0.565,0.435,0.3975,9
I,0.465,0.37,0.1515,9
M,0.62,0.48,0.4815,9
M,0.655,0.52,0.53,9
F,0.625,0.49,0.484,9
F,0.605,0.47,0.393,9
F,0.615,0.495,0.52,9
F,0.405,0.305,0.1455,9
F,0.665,0.505,0.5985,9
F,0.545,0.385,0.5425,9
M,0.555,0.44,0.407,9
F,0.65,0.475,0.58,9
F,0.53,0.395,0.249,9
M,0.445,0.34,0.193,9
F,0.605,0.455,0.468,9
M,0.575,0.45,0.495,9
F,0.675,0.525,0.8365,9
M,0.585,0.455,0.462,9
F,0.57,0.445,0.504,9
M,0.6,0.475,0.5105,9
F,0.55,0.425,0.297,9
I,0.54,0.395,0.2705,9
M,0.625,0.5,0.4645,9
I,0.52,0.395,0.2445,9
I,0.5,0.375,0.239,9
M,0.41,0.315,0.121,9
M,0.5,0.38,0.269,9
I,0.51,0.455,0.2875,9
M,0.53,0.41,0.346,9
M,0.655,0.52,0.586,9
M,0.615,0.51,0.545,9
M,0.57,0.45,0.3385,9
M,0.5,0.42,0.302,9
I,0.525,0.415,0.2805,9
M,0.325,0.24,0.0475,9
F,0.445,0.325,0.1785,9
I,0.565,0.43,0.2815,9
F,0.47,0.365,0.2295,9
F,0.685,0.535,0.7175,9
I,0.455,0.35,0.215,9
I,0.515,0.4,0.265,9
F,0.62,0.49,0.493,9
M,0.345,0.255,0.094,9
F,0.435,0.335,0.1695,9
M,0.67,0.525,0.728,9
I,0.54,0.43,0.3935,9
F,0.545,0.41,0.3565,9
M,0.5,0.37,0.494,9
F,0.525,0.4,0.3115,9
M,0.615,0.53,0.5775,9
M,0.54,0.42,0.392,9
M,0.59,0.48,0.5685,9
I,0.55,0.425,0.269,9
F,0.38,0.3,0.1545,9
F,0.65,0.495,0.577,9
F,0.585,0.45,0.4845,9
M,0.5,0.365,0.309,9
M,0.52,0.4,0.3525,9
F,0.645,0.51,0.5815,9
I,0.55,0.435,0.348,9
F,0.49,0.4,0.256,9
M,0.47,0.37,0.293,9
I,0.54,0.43,0.3725,9
F,0.575,0.46,0.538,9
M,0.5,0.355,0.2125,9
I,0.42,0.345,0.1515,9
F,0.455,0.37,0.216,9
M,0.57,0.455,0.4805,9
F,0.64,0.48,0.4915,9
I,0.28,0.205,0.052,9
M,0.625,0.48,0.5795,9
F,0.6,0.45,0.4375,9
I,0.575,0.445,0.45,9
F,0.56,0.465,0.432,9
F,0.515,0.42,0.2815,9
M,0.59,0.47,0.5985,9
I,0.36,0.275,0.0745,9
F,0.625,0.49,0.5265,9
I,0.46,0.36,0.161,9
F,0.655,0.52,0.713,9
