@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.27,0.196,0.0905,7
I,0.265,0.2215,0.105,7
I,0.345,0.449,0.196,7
M,0.395,0.8115,0.4035,7
M,0.245,0.15,0.0525,7
I,0.385,0.572,0.237,7
M,0.45,0.9,0.472,7
M,0.405,0.9235,0.412,7
M,0.43,0.8035,0.409,7
I,0.385,0.568,0.2505,7
M,0.335,0.4385,0.2075,7
I,0.355,0.474,0.23,7
I,0.27,0.196,0.0825,7
F,0.39,0.5445,0.246,7
M,0.39,0.7835,0.4225,7
I,0.25,0.2875,0.128,7
I,0.345,0.4155,0.198,7
I,0.32,0.3045,0.1215,7
M,0.465,0.9555,0.4595,7
M,0.375,0.484,0.2155,7
I,0.22,0.1425,0.057,7
I,0.355,0.4485,0.156,7
I,0.25,0.2225,0.104,7
F,0.46,0.9945,0.466,7
M,0.4,0.723,0.377,7
I,0.325,0.3975,0.1815,7
I,0.275,0.2345,0.108,7
M,0.255,0.1875,0.0735,7
I,0.3,0.144,0.059,7
I,0.325,0.35,0.148,7
M,0.295,0.335,0.147,7
M,0.31,0.385,0.173,7
M,0.295,0.2555,0.097,7
I,0.2,0.0975,0.04,7
I,0.355,0.442,0.2085,7
M,0.42,0.7865,0.403,7
I,0.3,0.282,0.1255,7
F,0.425,0.952,0.4895,7
I,0.28,0.3155,0.187,7
I,0.305,0.2645,0.1,7
F,0.38,0.573,0.2655,7
I,0.345,0.3215,0.13,7
M,0.385,0.6425,0.3195,7
I,0.245,0.2015,0.096,7
F,0.45,0.938,0.467,7
I,0.26,0.1965,0.0875,7
I,0.35,0.4195,0.1695,7
I,0.235,0.1515,0.056,7
I,0.35,0.4445,0.213,7
I,0.275,0.251,0.097,7
I,0.3,0.302,0.152,7
I,0.25,0.1735,0.0765,7
I,0.29,0.319,0.138,7
I,0.325,0.4665,0.2285,7
I,0.345,0.418,0.222,7
I,0.3,0.2815,0.1185,7
I,0.305,0.268,0.1145,7
I,0.3,0.2665,0.1105,7
M,0.37,0.6315,0.3445,7
M,0.345,0.4115,0.18,7
I,0.28,0.257,0.119,7
I,0.37,0.534,0.261,7
M,0.21,0.1085,0.041,7
M,0.24,0.173,0.0795,7
M,0.17,0.0515,0.018,7
I,0.345,0.3755,0.1525,7
I,0.395,0.6025,0.281,7
F,0.375,0.4605,0.1775,7
I,0.29,0.2625,0.117,7
I,0.35,0.494,0.2205,7
I,0.26,0.19,0.0765,7
F,0.46,1.019,0.523,7
I,0.385,0.6005,0.239,7
I,0.355,0.4255,0.2015,7
M,0.39,0.7125,0.3695,7
M,0.325,0.3295,0.1365,7
F,0.375,0.5805,0.2865,7
M,0.4,0.7075,0.332,7
I,0.4,0.657,0.2835,7
I,0.27,0.2255,0.11,7
M,0.405,0.6515,0.2715,7
M,0.4,0.61,0.272,7
I,0.32,0.3465,0.1635,7
I,0.25,0.465,0.21,7
I,0.32,0.3855,0.192,7
I,0.33,0.44,0.177,7
M,0.41,0.7355,0.3065,7
M,0.265,0.222,0.0935,7
I,0.26,0.1765,0.072,7
M,0.195,0.106,0.0465,7
I,0.195,0.084,0.0365,7
I,0.3,0.252,0.1065,7
I,0.28,0.2145,0.0855,7
I,0.38,0.594,0.2595,7
I,0.225,0.187,0.0945,7
I,0.325,0.3335,0.173,7
M,0.385,0.556,0.296,7
M,0.3,0.3355,0.1545,7
I,0.28,0.2165,0.0935,7
I,0.33,0.3715,0.1865,7
I,0.29,0.2845,0.1255,7
I,0.255,0.187,0.078,7
I,0.205,0.1135,0.045,7
I,0.335,0.3295,0.129,7
I,0.26,0.211,0.086,7
I,0.27,0.2225,0.0935,7
M,0.24,0.17,0.0655,7
I,0.3,0.286,0.1305,7
I,0.3,0.316,0.1255,7
I,0.355,0.5195,0.279,7
F,0.295,0.3005,0.1255,7
I,0.325,0.425,0.217,7
I,0.335,0.4895,0.2745,7
I,0.3,0.343,0.1705,7
I,0.285,0.243,0.0895,7
I,0.365,0.467,0.2315,7
I,0.275,0.2205,0.0985,7
M,0.405,0.6925,0.327,7
I,0.36,0.542,0.2795,7
I,0.365,0.511,0.2365,7
F,0.305,0.368,0.173,7
I,0.3,0.2895,0.1215,7
I,0.36,0.478,0.191,7
I,0.25,0.1715,0.0655,7
I,0.265,0.213,0.0945,7
I,0.25,0.1825,0.0705,7
M,0.33,0.361,0.134,7
I,0.275,0.2295,0.095,7
I,0.245,0.156,0.0675,7
I,0.37,0.445,0.1635,7
I,0.29,0.2445,0.089,7
I,0.325,0.3335,0.1445,7
I,0.29,0.232,0.0855,7
I,0.305,0.336,0.165,7
I,0.335,0.334,0.1355,7
F,0.295,0.2685,0.1165,7
I,0.3,0.3035,0.15,7
I,0.325,0.313,0.139,7
M,0.32,0.303,0.1335,7
I,0.34,0.407,0.209,7
I,0.345,0.4035,0.169,7
M,0.36,0.4955,0.2665,7
I,0.2,0.0895,0.036,7
I,0.315,0.3685,0.1615,7
I,0.3,0.27,0.1185,7
I,0.335,0.298,0.109,7
I,0.275,0.217,0.084,7
M,0.365,0.6015,0.312,7
I,0.315,0.2805,0.114,7
I,0.235,0.183,0.098,7
I,0.305,0.271,0.0965,7
I,0.2,0.086,0.0305,7
I,0.35,0.4155,0.18,7
I,0.33,0.3905,0.1925,7
I,0.315,0.3675,0.1865,7
F,0.26,0.1915,0.085,7
M,0.215,0.129,0.05,7
F,0.355,0.4705,0.1955,7
I,0.37,0.637,0.38,7
I,0.25,0.186,0.0945,7
I,0.275,0.22,0.094,7
F,0.525,1.445,0.631,7
I,0.28,0.2865,0.1505,7
I,0.375,0.5785,0.238,7
I,0.275,0.1375,0.086,7
I,0.29,0.2225,0.095,7
I,0.42,0.5965,0.2555,7
F,0.4,0.583,0.246,7
M,0.465,1.046,0.4695,7
I,0.38,0.625,0.3265,7
I,0.355,0.5325,0.225,7
M,0.39,0.6435,0.2885,7
I,0.38,0.512,0.233,7
I,0.265,0.1845,0.083,7
I,0.355,0.4155,0.167,7
M,0.25,0.181,0.0755,7
F,0.34,0.391,0.1555,7
I,0.25,0.2085,0.102,7
I,0.285,0.2415,0.0915,7
I,0.38,0.5125,0.2185,7
I,0.23,0.129,0.0615,7
I,0.37,0.513,0.219,7
I,0.345,0.365,0.1655,7
I,0.365,0.459,0.2175,7
F,0.29,0.282,0.1405,7
M,0.405,0.818,0.402,7
I,0.275,0.2065,0.096,7
I,0.33,0.38,0.1515,7
I,0.375,0.5205,0.233,7
M,0.235,0.258,0.1055,7
M,0.32,0.414,0.199,7
I,0.28,0.2655,0.122,7
I,0.265,0.1865,0.0675,7
I,0.325,0.3685,0.162,7
I,0.35,0.4675,0.2125,7
I,0.345,0.4415,0.1755,7
I,0.32,0.3055,0.126,7
M,0.415,0.667,0.302,7
M,0.21,0.1185,0.055,7
I,0.405,0.769,0.3655,7
I,0.335,0.3885,0.175,7
I,0.31,0.317,0.153,7
M,0.345,0.4595,0.235,7
I,0.29,0.258,0.104,7
I,0.295,0.279,0.1155,7
I,0.335,0.33,0.157,7
F,0.37,0.4785,0.1995,7
F,0.46,1.1155,0.5575,7
F,0.265,0.1855,0.0745,7
I,0.305,0.3415,0.1645,7
M,0.405,0.7315,0.336,7
I,0.27,0.218,0.0945,7
I,0.35,0.4905,0.2035,7
F,0.365,0.9145,0.4145,7
I,0.325,0.366,0.174,7
I,0.265,0.2315,0.105,7
M,0.325,0.39,0.163,7
I,0.24,0.1715,0.071,7
I,0.28,0.218,0.0995,7
I,0.335,0.501,0.274,7
F,0.325,0.3915,0.154,7
I,0.23,0.14,0.0565,7
M,0.375,0.6215,0.274,7
I,0.28,0.2885,0.165,7
M,0.46,0.9035,0.4075,7
M,0.4,0.6725,0.336,7
F,0.23,0.156,0.0675,7
I,0.225,0.1005,0.0425,7
F,0.225,0.1485,0.0585,7
M,0.36,0.544,0.27,7
I,0.305,0.3535,0.157,7
I,0.28,0.196,0.0865,7
I,0.285,0.281,0.1275,7
F,0.425,0.963,0.44,7
I,0.265,0.2,0.09,7
I,0.305,0.2825,0.114,7
I,0.305,0.3415,0.176,7
M,0.265,0.2965,0.1365,7
I,0.29,0.2825,0.112,7
I,0.33,0.3705,0.1545,7
I,0.37,0.5745,0.306,7
I,0.375,0.5695,0.259,7
I,0.355,0.495,0.231,7
I,0.36,0.4635,0.2325,7
M,0.465,0.5225,0.235,7
I,0.345,0.4475,0.221,7
M,0.23,0.1165,0.043,7
I,0.375,0.6025,0.2935,7
I,0.335,0.4195,0.181,7
I,0.295,0.293,0.14,7
F,0.27,0.597,0.272,7
M,0.4,0.775,0.3445,7
M,0.385,0.6435,0.3135,7
I,0.27,0.1855,0.07,7
I,0.335,0.3305,0.1405,7
I,0.335,0.358,0.169,7
I,0.31,0.127,0.106,7
M,0.155,0.0425,0.017,7
I,0.34,0.379,0.1725,7
I,0.31,0.313,0.131,7
I,0.38,0.6645,0.3285,7
F,0.395,0.775,0.308,7
I,0.255,0.205,0.0895,7
I,0.26,0.1785,0.0645,7
I,0.375,0.5495,0.248,7
I,0.325,0.346,0.159,7
F,0.35,0.4555,0.1945,7
I,0.285,0.2305,0.1005,7
I,0.33,0.335,0.1525,7
I,0.335,0.411,0.2025,7
M,0.28,0.564,0.3035,7
I,0.385,0.5735,0.311,7
I,0.34,0.3645,0.159,7
I,0.345,0.409,0.1675,7
M,0.265,0.2255,0.0995,7
I,0.285,0.226,0.0975,7
I,0.39,0.6125,0.267,7
F,0.435,0.839,0.3485,7
I,0.29,0.2285,0.088,7
I,0.235,0.17,0.0725,7
M,0.36,0.4285,0.1965,7
I,0.3,0.3265,0.1665,7
I,0.275,0.2295,0.0885,7
M,0.41,0.56,0.2375,7
I,0.3,0.32,0.172,7
I,0.295,0.2535,0.103,7
M,0.325,0.3785,0.1705,7
I,0.2,0.1165,0.0565,7
F,0.32,0.6475,0.323,7
I,0.29,0.2385,0.118,7
I,0.28,0.2235,0.0815,7
I,0.4,0.5625,0.25,7
M,0.42,0.778,0.3745,7
I,0.27,0.2135,0.082,7
I,0.4,0.654,0.305,7
I,0.265,0.2455,0.111,7
I,0.25,0.4015,0.1725,7
I,0.275,0.22,0.109,7
I,0.325,0.378,0.1795,7
I,0.335,0.362,0.1575,7
I,0.265,0.185,0.0625,7
I,0.3,0.324,0.1265,7
I,0.235,0.149,0.058,7
I,0.27,0.205,0.078,7
I,0.35,0.498,0.2375,7
I,0.31,0.344,0.181,7
M,0.37,0.5225,0.201,7
F,0.485,1.2795,0.5735,7
I,0.27,0.204,0.3045,7
I,0.39,0.5545,0.2355,7
I,0.32,0.3625,0.174,7
F,0.29,0.3055,0.121,7
M,0.225,0.1345,0.054,7
M,0.415,0.7945,0.394,7
I,0.34,0.3515,0.1625,7
I,0.37,0.5055,0.234,7
I,0.335,0.524,0.246,7
I,0.265,0.2055,0.096,7
I,0.255,0.1755,0.073,7
M,0.45,1.198,0.707,7
I,0.365,0.4175,0.1645,7
M,0.2,0.084,0.034,7
I,0.23,0.1285,0.043,7
F,0.37,0.5265,0.249,7
M,0.51,1.1885,0.4915,7
M,0.345,0.43,0.175,7
M,0.45,0.948,0.429,7
M,0.46,1.127,0.535,7
I,0.26,0.1965,0.0915,7
F,0.38,0.486,0.1735,7
I,0.335,0.3245,0.135,7
I,0.25,0.176,0.0595,7
M,0.265,0.197,0.073,7
I,0.315,0.303,0.131,7
F,0.38,0.689,0.3165,7
F,0.35,0.4425,0.175,7
I,0.285,0.257,0.1045,7
I,0.325,0.3645,0.1575,7
I,0.315,0.3095,0.147,7
I,0.365,0.1315,0.2025,7
F,0.35,0.4195,0.194,7
I,0.28,0.2905,0.095,7
F,0.5,1.3275,0.556,9
I,0.42,0.6765,0.256,9
M,0.435,0.7345,0.33,9
F,0.505,1.3185,0.6185,9
F,0.37,0.4925,0.216,9
F,0.4,0.778,0.368,9
I,0.43,0.836,0.3725,9
M,0.51,1.33,0.6665,9
M,0.45,0.8675,0.3935,9
I,0.445,0.8015,0.3475,9
I,0.365,0.501,0.2435,9
F,0.345,0.4165,0.1655,9
F,0.48,1.1685,0.4815,9
I,0.355,0.4915,0.1765,9
I,0.29,0.2615,0.111,9
M,0.47,0.9565,0.4025,9
I,0.445,0.832,0.3455,9
I,0.43,0.6545,0.2815,9
M,0.405,0.853,0.326,9
F,0.54,1.454,0.624,9
I,0.36,0.4725,0.1815,9
F,0.325,0.438,0.1805,9
F,0.405,0.651,0.2965,9
M,0.48,1.262,0.5685,9
F,0.52,1.285,0.5775,9
I,0.36,0.447,0.161,9
I,0.425,0.8205,0.3715,9
I,0.31,0.315,0.124,9
I,0.34,0.4535,0.203,9
M,0.42,0.8115,0.392,9
I,0.395,0.537,0.2165,9
I,0.38,0.594,0.2945,9
M,0.48,1.1415,0.5795,9
F,0.365,0.4205,0.163,9
F,0.415,0.8115,0.3875,9
M,0.46,1.004,0.496,9
M,0.47,1.1005,0.52,9
F,0.48,1.078,0.511,9
M,0.425,0.702,0.2975,9
I,0.42,0.701,0.3285,9
M,0.445,0.9255,0.4345,9
F,0.475,1.1545,0.4865,9
M,0.475,1.1175,0.555,9
M,0.455,0.907,0.4245,9
M,0.52,1.1445,0.53,9
M,0.47,1.1735,0.6245,9
M,0.45,0.894,0.3885,9
M,0.5,1.3815,0.672,9
I,0.375,0.559,0.2375,9
F,0.41,0.7145,0.335,9
M,0.455,1.02,0.4805,9
F,0.42,0.756,0.2745,9
M,0.47,1.052,0.498,9
F,0.46,0.921,0.4005,9
F,0.41,0.8255,0.375,9
M,0.255,0.213,0.081,9
M,0.445,0.839,0.4005,9
I,0.365,0.49,0.223,9
F,0.42,0.7505,0.368,9
I,0.42,0.6885,0.273,9
I,0.275,0.1975,0.0745,9
I,0.345,0.4615,0.229,9
F,0.45,0.908,0.4015,9
M,0.455,0.9595,0.4565,9
I,0.46,0.7635,0.326,9
M,0.475,1.024,0.409,9
M,0.49,1.1335,0.586,9
M,0.26,0.195,0.0745,9
I,0.425,0.7305,0.3325,9
M,0.51,1.3835,0.6385,9
I,0.395,0.633,0.2985,9
M,0.5,1.154,0.4405,9
F,0.365,0.5885,0.27,9
F,0.455,0.862,0.334,9
M,0.515,1.331,0.5725,9
M,0.375,0.487,0.226,9
M,0.495,1.304,0.57,9
M,0.4,0.5975,0.27,9
F,0.395,0.7145,0.3235,9
M,0.475,1.2525,0.5575,9
F,0.43,0.811,0.3875,9
F,0.37,0.45,0.1715,9
I,0.45,0.872,0.4675,9
F,0.45,0.9645,0.531,9
I,0.295,0.25,0.1075,9
F,0.36,0.447,0.1695,9
F,0.47,1.084,0.5885,9
F,0.48,1.3235,0.6075,9
M,0.435,0.717,0.3475,9
M,0.535,1.5905,0.6425,9
F,0.43,0.812,0.4055,9
I,0.34,0.3575,0.151,9
F,0.52,1.5475,0.713,9
M,0.255,0.1915,0.08,9
M,0.3,0.301,0.124,9
M,0.365,1.0765,0.488,9
M,0.525,1.3455,0.586,9
M,0.4,0.7765,0.3525,9
M,0.35,0.401,0.1575,9
I,0.39,0.565,0.235,9
I,0.395,0.6215,0.2925,9
F,0.57,2.25,1.1565,9
F,0.42,1.6645,0.7755,9
M,0.405,0.891,0.4815,9
F,0.475,1.3875,0.58,9
I,0.3,0.315,0.109,9
I,0.355,0.4075,0.1535,9
F,0.415,1.1655,0.502,9
I,0.315,0.347,0.1605,9
F,0.45,0.9835,0.4845,9
F,0.505,1.349,0.5985,9
F,0.485,1.254,0.591,9
I,0.45,0.855,0.3795,9
F,0.405,0.6355,0.2635,9
M,0.425,0.873,0.4625,9
F,0.365,0.543,0.2295,9
F,0.45,0.9705,0.4615,9
M,0.295,0.2105,0.066,9
M,0.41,0.8705,0.4455,9
F,0.44,1.007,0.4775,9
F,0.49,1.1345,0.5265,9
F,0.305,0.3485,0.1455,9
I,0.455,1.0015,0.53,9
F,0.35,0.421,0.1565,9
M,0.395,0.5415,0.2375,9
F,0.43,0.844,0.3945,9
F,0.465,1.099,0.4735,9
F,0.43,0.8825,0.3465,9
I,0.35,0.3945,0.1685,9
F,0.325,0.3455,0.1405,9
M,0.485,1.2215,0.5695,9
M,0.485,1.0785,0.4535,9
I,0.445,0.7715,0.328,9
M,0.465,0.919,0.4335,9
F,0.45,0.8265,0.4035,9
F,0.485,1.1405,0.587,9
F,0.49,1.145,0.4775,9
M,0.41,0.737,0.349,9
M,0.38,0.681,0.3435,9
M,0.37,0.51,0.1915,9
I,0.39,0.5075,0.2115,9
M,0.475,0.944,0.3625,9
F,0.475,1.056,0.433,9
I,0.43,0.8195,0.3935,9
M,0.515,1.1805,0.5235,9
M,0.495,1.025,0.46,9
M,0.47,1.108,0.4915,9
M,0.475,1.11,0.5105,9
M,0.47,1.124,0.556,9
F,0.53,1.4985,0.62,9
I,0.435,0.777,0.354,9
I,0.365,0.528,0.229,9
I,0.38,0.5385,0.2645,9
M,0.43,0.8745,0.413,9
I,0.465,0.936,0.481,9
I,0.4,0.717,0.3315,9
M,0.47,1.309,0.587,9
M,0.485,1.2135,0.631,9
F,0.42,0.8035,0.38,9
I,0.335,0.4425,0.1895,9
M,0.465,1.259,0.6405,9
M,0.46,0.9505,0.4915,9
F,0.49,1.127,0.477,9
F,0.5,1.159,0.4675,9
I,0.365,0.4465,0.213,9
I,0.42,0.912,0.495,9
F,0.39,0.6335,0.231,9
I,0.24,0.17,0.062,9
M,0.545,1.7925,0.8145,9
M,0.455,1.1315,0.481,9
M,0.39,0.653,0.3315,9
I,0.225,0.152,0.071,9
M,0.39,0.6355,0.2185,9
F,0.395,0.516,0.2015,9
M,0.35,0.4585,0.2,9
M,0.465,0.8875,0.3345,9
I,0.395,0.5585,0.222,9
F,0.58,1.523,0.8045,9
M,0.41,0.793,0.434,9
M,0.41,1.2825,0.569,9
M,0.5,1.4545,0.642,9
I,0.255,0.1785,0.071,9
M,0.4,0.872,0.4515,9
I,0.27,0.271,0.1425,9
F,0.47,1.1775,0.542,9
I,0.365,0.441,0.1515,9
I,0.445,0.9175,0.45,9
F,0.455,1.059,0.4735,9
I,0.405,0.573,0.213,9
I,0.205,0.127,0.052,9
I,0.485,1.044,0.438,9
I,0.32,0.3875,0.1755,9
M,0.41,0.769,0.346,9
F,0.425,0.844,0.3645,9
F,0.325,0.3555,0.151,9
M,0.485,1.1325,0.5235,9
I,0.39,0.511,0.2205,9
M,0.355,0.4625,0.186,9
I,0.45,0.78,0.3275,9
M,0.28,0.234,0.0905,9
M,0.47,1.0875,0.4975,9
I,0.345,0.869,0.3085,9
F,0.44,0.8025,0.35,9
I,0.35,0.375,0.1425,9
I,0.465,1.1815,0.581,9
I,0.375,0.6315,0.3045,9
F,0.465,1.0315,0.432,9
M,0.485,1.3305,0.783,9
F,0.45,1.136,0.414,9
F,0.525,1.382,0.646,9
I,0.45,0.738,0.304,9
F,0.5,1.1185,0.469,9
F,0.55,1.219,0.6395,9
I,0.39,0.599,0.2595,9
F,0.43,0.832,0.4355,9
M,0.44,0.8295,0.3365,9
I,0.34,0.438,0.2115,9
F,0.47,1.1775,0.611,9
M,0.5,1.2915,0.594,9
F,0.46,1.165,0.65,9
I,0.355,0.498,0.2175,9
M,0.265,0.1975,0.0795,9
I,0.42,0.7265,0.3205,9
I,0.35,0.4225,0.1905,9
I,0.425,0.7675,0.419,9
M,0.455,0.837,0.382,9
M,0.41,0.6875,0.3435,9
M,0.315,0.3895,0.2015,9
I,0.445,0.867,0.3705,9
F,0.455,0.714,0.283,9
F,0.525,1.238,0.647,9
F,0.495,1.147,0.5455,9
F,0.42,0.6295,0.2815,9
F,0.47,1.0155,0.491,9
M,0.49,1.1,0.505,9
M,0.43,0.784,0.3495,9
I,0.44,0.768,0.3305,9
I,0.325,0.3915,0.1575,9
M,0.37,0.5795,0.293,9
F,0.47,0.897,0.377,9
I,0.395,0.6555,0.2705,9
I,0.415,0.694,0.3905,9
M,0.475,1.161,0.572,9
I,0.33,0.448,0.208,9
I,0.37,0.5435,0.244,9
I,0.265,0.2775,0.1245,9
M,0.34,0.4475,0.193,9
M,0.44,0.9415,0.3805,9
M,0.34,0.462,0.1675,9
F,0.415,0.7635,0.318,9
M,0.48,1.0725,0.4815,9
F,0.435,0.8975,0.4115,9
M,0.27,0.197,0.0665,9
F,0.51,1.2705,0.5415,9
M,0.24,0.155,0.0475,9
M,0.475,1.224,0.6035,9
M,0.385,0.655,0.3185,9
M,0.475,1.213,0.621,9
M,0.46,0.9335,0.478,9
M,0.45,0.785,0.318,9
M,0.37,0.6145,0.3415,9
M,0.415,0.82,0.4615,9
I,0.35,0.3705,0.1575,9
I,0.225,0.124,0.0485,9
I,0.36,0.452,0.22,9
F,0.38,0.6855,0.361,9
I,0.265,0.209,0.066,9
I,0.41,0.646,0.2965,9
I,0.47,0.8025,0.379,9
M,0.455,1.859,0.945,9
I,0.25,0.1565,0.057,9
M,0.485,1.006,0.456,9
I,0.385,0.596,0.245,9
F,0.46,0.9325,0.365,9
I,0.26,0.218,0.0935,9
F,0.485,1.38,0.5845,9
M,0.51,1.4745,0.605,9
M,0.465,0.98,0.4315,9
F,0.375,0.5755,0.22,9
M,0.415,0.706,0.3355,9
I,0.465,0.9225,0.436,9
F,0.495,1.337,0.615,9
I,0.43,0.7045,0.346,9
M,0.325,0.3555,0.146,9
M,0.445,0.984,0.49,9
I,0.345,0.3435,0.1515,9
M,0.475,1.142,0.62,9
M,0.35,0.5165,0.1885,9
F,0.35,0.397,0.1575,9
F,0.5,1.2015,0.559,9
F,0.455,1.04,0.452,9
M,0.435,1.057,0.4255,9
F,0.5,1.4355,0.643,9
M,0.315,0.306,0.121,9
M,0.4,0.622,0.2655,9
F,0.46,1.0045,0.4655,9
M,0.495,1.2095,0.603,9
I,0.435,0.8445,0.3975,9
F,0.45,1.0095,0.447,9
F,0.485,1.3745,0.7335,9
M,0.48,1.118,0.446,9
M,0.445,1.0225,0.549,9
F,0.495,1.1565,0.5115,9
M,0.5,1.2975,0.6075,9
M,0.225,0.1385,0.048,9
M,0.355,0.4775,0.132,9
I,0.425,0.7905,0.3485,9
F,0.475,1.076,0.463,9
M,0.405,0.6155,0.241,9
F,0.465,1.0765,0.491,9
I,0.355,0.372,0.138,9
M,0.52,1.4095,0.586,9
F,0.485,1.2945,0.668,9
F,0.29,0.25,0.111,9
F,0.26,0.2,0.0625,9
M,0.475,1.1385,0.502,9
M,0.5,1.0985,0.4645,9
I,0.4,0.601,0.2625,9
M,0.5,1.142,0.485,9
I,0.46,0.755,0.334,9
I,0.47,0.8565,0.3595,9
I,0.4,0.5575,0.2615,9
M,0.305,0.359,0.173,9
F,0.485,1.1945,0.5105,9
M,0.53,1.12,0.5775,9
M,0.485,1.281,0.597,9
I,0.36,0.5225,0.198,9
F,0.445,0.9905,0.544,9
I,0.4,0.6025,0.2895,9
I,0.405,0.632,0.2715,9
F,0.445,0.8,0.3535,9
F,0.495,1.0835,0.4525,9
F,0.51,1.2235,0.532,9
F,0.355,0.4495,0.177,9
I,0.365,0.5465,0.229,9
F,0.4,0.6865,0.295,9
F,0.445,0.903,0.3575,9
F,0.505,1.3645,0.6075,9
I,0.485,1.2565,0.5355,9
F,0.465,1.1605,0.6005,9
F,0.44,0.9705,0.4315,9
I,0.42,0.7745,0.3535,9
F,0.525,1.4785,0.628,9
I,0.43,0.783,0.345,9
M,0.435,0.8965,0.383,9
M,0.37,0.515,0.2495,9
M,0.47,1.187,0.5985,9
M,0.38,0.5765,0.273,9
M,0.375,0.777,0.216,9
M,0.525,1.4405,0.6595,9
M,0.45,0.877,0.4325,9
M,0.475,1.077,0.4545,9
I,0.43,0.7245,0.321,9
M,0.395,0.635,0.29,9
M,0.46,1.247,0.5335,9
I,0.4,0.6965,0.369,9
F,0.49,1.056,0.493,9
I,0.305,0.379,0.162,9
M,0.57,2.3305,1.253,9
F,0.515,1.264,0.5715,9
F,0.43,0.7955,0.3485,9
M,0.465,1.0535,0.516,9
