@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.63,1.525,0.45,15
0.66,1.6935,0.42,15
0.565,0.8115,0.255,15
0.65,1.676,0.47,15
0.605,1.1405,0.385,15
0.56,0.922,0.26,15
0.495,0.6605,0.19,15
0.35,0.4015,0.1255,7
0.445,0.414,0.117,7
0.45,0.47,0.1135,7
0.34,0.2225,0.055,7
0.425,0.3295,0.11,7
0.43,0.3645,0.105,7
0.435,0.3535,0.1135,7
0.37,0.2295,0.07,7
0.36,0.2315,0.075,7
0.4,0.258,0.0815,7
0.385,0.343,0.081,7
0.475,0.689,0.1955,7
0.445,0.4895,0.1105,7
0.32,0.1755,0.065,7
0.33,0.19,0.065,7
0.405,0.2825,0.0815,7
0.445,0.4195,0.1195,7
0.44,0.495,0.125,7
0.375,0.22,0.0605,7
0.33,0.1965,0.055,7
0.395,0.319,0.082,7
0.415,0.4665,0.114,7
0.425,0.301,0.08,7
0.63,1.1885,0.348,7
0.36,0.2055,0.0585,7
0.355,0.187,0.058,7
0.525,0.7745,0.18,7
0.4,0.303,0.1,7
0.365,0.2225,0.066,7
0.465,0.4955,0.121,7
0.35,0.2255,0.07,7
0.53,0.5965,0.177,7
0.425,0.303,0.095,7
0.44,0.4215,0.113,7
0.465,0.5055,0.14,7
0.435,0.3245,0.098,7
0.525,0.7115,0.1915,7
0.49,0.5265,0.148,7
0.44,0.39,0.113,7
0.53,0.775,0.255,7
0.41,0.33,0.17,7
0.46,0.466,0.11,7
0.36,0.217,0.09,7
0.315,0.1285,0.04,7
0.435,0.334,0.0965,7
0.35,0.17,0.0495,7
0.39,0.279,0.08,7
0.385,0.232,0.08,7
0.39,0.344,0.079,7
0.41,0.3305,0.105,7
0.35,0.2,0.06,7
0.415,0.3335,0.095,7
0.325,0.173,0.05,7
0.33,0.1715,0.06,7
0.515,0.7125,0.155,7
0.505,0.6125,0.172,7
0.495,0.61,0.144,7
0.36,0.1865,0.0615,7
0.28,0.1085,0.0345,7
0.355,0.2905,0.115,7
0.37,0.22,0.065,7
0.52,0.6435,0.161,7
0.27,0.106,0.036,7
0.425,0.3975,0.1175,7
0.425,0.361,0.125,7
0.33,0.205,0.055,7
0.36,0.1785,0.075,7
0.44,0.407,0.103,7
0.47,0.5225,0.165,7
0.38,0.286,0.09,7
0.235,0.0515,0.0195,7
0.435,0.3915,0.12,7
0.31,0.1515,0.05,7
0.45,0.447,0.119,7
0.395,0.317,0.0935,7
0.355,0.2255,0.064,7
0.355,0.251,0.08,7
0.375,0.2145,0.072,7
0.47,0.544,0.129,7
0.36,0.465,0.128,7
0.39,0.2225,0.073,7
0.46,0.4915,0.17,7
0.565,0.667,0.185,7
0.405,0.32,0.093,7
0.43,0.3855,0.1,7
0.365,0.196,0.0605,7
0.33,0.14,0.046,7
0.545,0.7865,0.17,7
0.475,0.4545,0.115,7
0.475,0.1315,0.123,7
0.435,0.4195,0.13,7
0.37,0.218,0.0615,7
0.415,0.3045,0.094,7
0.43,0.397,0.1035,7
0.41,0.335,0.11,7
0.42,0.3415,0.086,7
0.455,0.484,0.165,7
0.445,0.409,0.117,7
0.405,0.268,0.085,7
0.33,0.1875,0.06,7
0.435,0.346,0.095,7
0.5,0.5495,0.1585,7
0.31,0.1455,0.045,7
0.4,0.2815,0.08,7
0.415,0.3355,0.095,7
0.495,0.594,0.1375,7
0.395,0.3,0.078,7
0.615,1.198,0.2505,7
0.455,0.4445,0.1115,7
0.5,0.5695,0.157,7
0.4,0.3415,0.0865,7
0.46,0.4,0.1205,7
0.46,0.511,0.123,7
0.275,0.1165,0.035,7
0.295,0.129,0.04,7
0.39,0.2665,0.084,7
0.375,0.144,0.044,7
0.505,0.583,0.175,7
0.435,0.38,0.11,7
0.325,0.1745,0.04,7
0.525,0.7945,0.202,7
0.31,0.1275,0.036,7
0.415,0.3905,0.1025,7
0.39,0.3055,0.09,7
0.415,0.358,0.105,7
0.35,0.2965,0.085,7
0.42,0.3625,0.105,7
0.44,0.35,0.105,7
0.48,0.6315,0.161,7
0.31,0.15,0.048,7
0.295,0.1105,0.032,7
0.28,0.1135,0.0335,7
0.505,0.5445,0.1405,7
0.435,0.3685,0.12,7
0.32,0.1735,0.05,7
0.385,0.2895,0.09,7
0.545,0.8035,0.228,7
0.385,0.2535,0.085,7
0.315,0.149,0.047,7
0.335,0.2015,0.048,7
0.455,0.5325,0.1465,7
0.485,0.6025,0.16,7
0.46,0.4155,0.1175,7
0.4,0.127,0.085,7
0.46,0.4675,0.1375,7
0.46,0.4255,0.13,7
0.405,0.2825,0.095,7
0.475,0.5195,0.1325,7
0.475,0.566,0.1335,7
0.38,0.2305,0.0775,7
0.475,0.486,0.185,7
0.46,0.4635,0.115,7
0.375,0.2385,0.0695,7
0.485,0.556,0.133,7
0.415,0.3735,0.109,7
0.45,0.4115,0.135,7
0.425,0.3075,0.093,7
0.39,0.3095,0.09,7
0.555,0.963,0.24,7
0.45,0.494,0.1405,7
0.495,0.573,0.144,7
0.435,0.4335,0.155,7
0.52,0.77,0.1895,7
0.345,0.2135,0.07,7
0.325,0.1915,0.062,7
0.475,0.5735,0.136,7
0.435,0.4385,0.1315,7
0.3,0.1425,0.043,7
0.37,0.2445,0.075,7
0.52,0.5545,0.1895,7
0.545,0.778,0.205,7
0.375,0.597,0.1675,7
0.46,0.3755,0.125,7
0.33,0.187,0.0425,7
0.385,0.335,0.09,7
0.36,0.2415,0.075,7
0.425,0.3785,0.1,7
0.32,0.17,0.049,7
0.435,0.411,0.1,7
0.51,0.6025,0.162,7
0.55,0.9235,0.24,7
0.49,0.5225,0.141,7
0.375,0.257,0.075,7
0.33,0.2085,0.052,7
0.495,0.512,0.136,7
0.405,0.271,0.091,7
0.445,0.378,0.089,7
0.465,0.534,0.143,7
0.425,0.3515,0.094,7
0.5,0.6425,0.1535,7
0.37,0.2065,0.058,7
0.48,0.524,0.145,7
0.465,0.442,0.1185,7
0.47,0.4485,0.123,7
0.4,0.368,0.105,7
0.375,0.2165,0.07,7
0.485,0.513,0.13,7
0.36,0.1845,0.055,7
0.205,0.0425,0.0155,7
0.52,0.6645,0.1425,7
0.55,0.952,0.2185,7
0.34,0.1765,0.05,7
0.485,0.568,0.154,7
0.425,0.3335,0.1,7
0.5,0.494,0.1325,7
0.325,0.1735,0.049,7
0.525,0.654,0.169,7
0.405,0.385,0.11,7
0.72,1.445,0.435,7
0.385,0.3315,0.1,7
0.385,0.2485,0.065,7
0.355,0.2235,0.08,7
0.39,0.3265,0.089,7
0.515,0.5625,0.17,7
0.36,0.2205,0.066,7
0.505,0.723,0.178,7
0.42,0.316,0.1035,7
0.285,0.1185,0.04,7
0.44,0.3705,0.12,7
0.425,0.3055,0.106,7
0.475,0.459,0.1165,7
0.54,0.56,0.175,7
0.455,0.4555,0.1375,7
0.32,0.183,0.042,7
0.62,1.127,0.296,7
0.345,0.2455,0.065,7
0.465,0.467,0.113,7
0.375,0.3155,0.067,7
0.395,0.293,0.082,7
0.385,0.302,0.0735,7
0.45,0.3935,0.11,7
0.5,0.5745,0.141,7
0.475,0.5205,0.1455,7
0.29,0.1165,0.04,7
0.46,0.449,0.1265,7
0.48,0.6015,0.14,7
0.57,0.9035,0.214,7
0.405,0.324,0.11,7
0.44,0.379,0.101,7
0.52,1.019,0.254,7
0.43,0.3645,0.105,7
0.475,0.498,0.14,7
0.38,0.1375,0.0605,7
0.41,0.2645,0.085,7
0.445,0.434,0.13,7
0.335,0.186,0.0445,7
0.535,0.657,0.175,7
0.37,0.2685,0.0835,7
0.385,0.257,0.07,7
0.41,0.282,0.0875,7
0.52,0.8115,0.2,7
0.455,0.5365,0.1325,7
0.465,0.4415,0.12,7
0.265,0.084,0.03,7
0.365,0.24,0.0735,7
0.305,0.156,0.048,7
0.43,0.32,0.123,7
0.43,0.391,0.1405,7
0.365,0.196,0.06,7
0.45,0.4195,0.1345,7
0.265,0.0975,0.028,7
0.32,0.129,0.0355,7
0.44,0.38,0.09,7
0.46,0.4595,0.116,7
0.36,0.196,0.053,7
0.325,0.176,0.063,7
0.575,0.948,0.259,7
0.42,0.325,0.1025,7
0.51,0.769,0.18,7
0.495,0.44,0.15,7
0.455,0.501,0.1065,7
0.335,0.222,0.075,7
0.59,1.046,0.263,7
0.47,0.4155,0.139,7
0.525,0.65,0.159,7
0.39,0.203,0.075,7
0.44,0.3885,0.111,7
0.365,0.213,0.06,7
0.34,0.185,0.07,7
0.355,0.1985,0.058,7
0.535,0.818,0.189,7
0.305,0.1485,0.045,7
0.48,0.519,0.126,7
0.38,0.243,0.075,7
0.46,0.4605,0.15,7
0.375,0.2295,0.066,7
0.365,0.2555,0.1,7
0.51,0.5805,0.148,7
0.58,0.839,0.192,7
0.435,0.4475,0.125,7
0.435,0.3295,0.11,7
0.51,0.6925,0.1805,7
0.465,0.445,0.166,7
0.37,0.2655,0.08,7
0.51,0.5785,0.175,7
0.435,0.298,0.115,7
0.475,0.4175,0.127,7
0.36,0.27,0.0745,7
0.485,0.4785,0.129,7
0.41,0.339,0.09,7
0.505,0.594,0.18,7
0.415,0.385,0.125,7
0.53,0.6515,0.186,7
0.435,0.418,0.106,7
0.505,0.775,0.185,7
0.56,0.9,0.218,7
0.38,0.2885,0.067,7
0.37,0.2225,0.075,7
0.39,0.2625,0.077,7
0.35,0.197,0.077,7
0.445,0.336,0.0855,7
0.275,0.1035,0.03,7
0.445,0.4035,0.13,7
0.415,0.313,0.0965,7
0.31,0.1345,0.05,7
0.505,0.6435,0.1515,7
0.5,0.6215,0.1485,7
0.39,0.281,0.077,7
0.365,0.223,0.075,7
0.275,0.1155,0.035,7
0.545,0.7835,0.156,7
0.465,0.5795,0.12,7
0.585,0.9555,0.265,7
0.335,0.1965,0.056,7
0.48,0.542,0.147,7
0.365,0.205,0.07,7
0.415,0.336,0.0805,7
0.45,0.3715,0.0975,7
0.485,0.637,0.128,7
0.5,0.6725,0.1825,7
0.365,0.2215,0.0605,7
0.44,0.365,0.11,7
0.475,0.4285,0.112,7
0.305,0.156,0.045,7
0.275,0.086,0.03,7
0.39,0.564,0.143,7
0.38,0.258,0.08,7
0.265,0.084,0.025,7
0.435,0.366,0.109,7
0.43,0.3465,0.09,7
0.515,0.7355,0.2,7
0.45,0.3505,0.1185,7
0.43,0.425,0.095,7
0.485,0.9145,0.273,7
0.465,0.474,0.12,7
0.435,0.3215,0.1185,7
0.39,0.252,0.08,7
0.585,0.938,0.225,7
0.425,0.4425,0.175,7
0.61,1.2795,0.355,7
0.355,0.204,0.0595,7
0.535,0.599,0.169,9
0.585,0.97,0.295,9
0.7,1.751,0.446,9
0.54,0.891,0.202,9
0.67,1.4915,0.381,9
0.57,0.7745,0.2365,9
0.545,0.844,0.231,9
0.565,0.895,0.246,9
0.5,0.6215,0.195,9
0.33,0.2,0.07,9
0.42,0.352,0.1,9
0.58,1.1335,0.237,9
0.61,1.024,0.322,9
0.545,0.832,0.201,9
0.63,1.3205,0.345,9
0.715,1.79,0.5385,9
0.61,0.9605,0.286,9
0.53,0.575,0.183,9
0.555,0.812,0.2215,9
0.39,0.3055,0.085,9
0.625,1.2415,0.2785,9
0.475,0.4865,0.142,9
0.52,0.663,0.1905,9
0.615,1.055,0.2345,9
0.54,0.836,0.24,9
0.55,0.7305,0.215,9
0.625,1.115,0.3095,9
0.685,1.7925,0.461,9
0.45,0.3955,0.145,9
0.6,1.0805,0.3205,9
0.555,0.9685,0.2385,9
0.575,0.9785,0.276,9
0.535,0.6075,0.1975,9
0.42,0.3915,0.115,9
0.575,0.869,0.238,9
0.61,1.052,0.267,9
0.53,0.555,0.195,9
0.625,1.254,0.3185,9
0.55,0.806,0.215,9
0.465,0.452,0.1035,9
0.605,1.161,0.275,9
0.655,1.043,0.305,9
0.635,1.2915,0.37,9
0.64,1.1285,0.34,9
0.555,0.913,0.2065,9
0.5,0.5075,0.1755,9
0.57,0.995,0.2505,9
0.51,1.183,0.343,9
0.58,0.7095,0.235,9
0.47,0.4915,0.1325,9
0.5,0.6765,0.2065,9
0.43,0.6485,0.184,9
0.59,1.09,0.292,9
0.62,1.309,0.325,9
0.645,1.1665,0.299,9
0.49,0.511,0.1745,9
0.35,0.209,0.075,9
0.575,0.9765,0.235,9
0.615,0.9525,0.32,9
0.445,0.515,0.159,9
0.44,0.4465,0.1135,9
0.455,0.4495,0.15,9
0.625,1.2135,0.302,9
0.56,0.967,0.274,9
0.485,0.591,0.12,9
0.555,0.8705,0.255,9
0.615,1.4335,0.3285,9
0.53,0.6765,0.208,9
0.605,1.2525,0.343,9
0.665,1.4355,0.37,9
0.64,1.4545,0.354,9
0.57,0.848,0.25,9
0.6,0.9625,0.2775,9
0.595,1.057,0.31,9
0.65,1.238,0.3005,9
0.53,0.677,0.21,9
0.62,0.8565,0.295,9
0.58,0.953,0.2095,9
0.29,0.152,0.045,9
0.385,0.24,0.085,9
0.6,1.059,0.275,9
0.595,1.0155,0.289,9
0.55,0.745,0.2265,9
0.54,0.8115,0.2035,9
0.625,1.136,0.2925,9
0.465,0.431,0.175,9
0.635,1.2235,0.354,9
0.575,0.886,0.2575,9
0.65,1.337,0.335,9
0.58,0.93,0.22,9
0.5,0.5975,0.166,9
0.35,0.1915,0.063,9
0.48,0.494,0.15,9
0.58,1.859,0.441,9
0.655,1.204,0.3225,9
0.355,0.271,0.0735,9
0.55,0.741,0.206,9
0.555,0.8625,0.24,9
0.625,1.044,0.278,9
0.55,0.797,0.265,9
0.625,1.082,0.315,9
0.635,1.4595,0.39,9
0.545,0.8,0.207,9
0.58,0.9615,0.253,9
0.45,0.381,0.115,9
0.625,1.3235,0.355,9
0.425,0.3755,0.105,9
0.435,0.38,0.11,9
0.625,1.38,0.401,9
0.685,1.4545,0.3725,9
0.515,0.4725,0.138,9
0.35,0.195,0.0655,9
0.585,0.98,0.247,9
0.425,0.359,0.0975,9
0.625,1.288,0.315,9
0.605,0.8025,0.22,9
0.555,0.7905,0.225,9
0.52,0.7765,0.185,9
0.535,0.6885,0.237,9
0.505,0.644,0.1635,9
0.55,0.9905,0.218,9
0.28,0.127,0.042,9
0.57,0.952,0.2745,9
0.5,0.594,0.1565,9
0.54,0.8115,0.2235,9
0.555,0.5585,0.17,9
0.55,0.7635,0.2,9
0.495,0.976,0.2475,9
0.44,0.438,0.12,9
0.63,1.1005,0.276,9
0.47,0.5795,0.14,9
0.64,1.36,0.305,9
0.515,0.565,0.179,9
0.625,1.331,0.361,9
0.54,0.8195,0.2295,9
0.365,0.218,0.07,9
0.575,0.927,0.2985,9
0.345,0.195,0.059,9
0.505,0.5385,0.165,9
0.4,0.315,0.12,9
0.55,0.793,0.215,9
0.66,1.3275,0.4085,9
0.415,0.3455,0.11,9
0.65,1.407,0.335,9
0.65,1.304,0.3725,9
0.635,1.2615,0.38,9
0.505,0.653,0.167,9
0.595,1.0765,0.287,9
0.37,0.27,0.0835,9
0.655,1.494,0.1825,9
0.455,0.401,0.135,9
0.46,0.5735,0.195,9
0.53,0.5745,0.189,9
0.58,1.0165,0.265,9
0.505,0.655,0.185,9
0.65,1.2655,0.336,9
0.67,1.46,0.4165,9
0.59,0.9765,0.235,9
0.67,1.4405,0.425,9
0.575,0.847,0.22,9
0.67,1.4005,0.387,9
0.41,0.306,0.09,9
0.485,0.5885,0.175,9
0.5,0.5945,0.1535,9
0.64,1.2015,0.3355,9
0.6,1.176,0.308,9
0.61,1.022,0.2945,9
0.615,0.923,0.2415,9
0.515,0.516,0.162,9
0.675,1.4785,0.42,9
0.56,0.898,0.245,9
0.6,1.11,0.285,9
0.57,0.9685,0.255,9
0.43,0.397,0.12,9
0.36,0.2105,0.075,9
0.445,0.455,0.14,9
0.605,1.1685,0.356,9
0.585,0.9335,0.235,9
0.69,1.659,0.4395,9
0.6,1.247,0.29,9
0.44,0.501,0.1465,9
0.545,0.687,0.25,9
0.59,0.9235,0.254,9
0.585,0.9835,0.22,9
0.405,0.3555,0.117,9
0.36,0.199,0.08,9
0.615,1.059,0.274,9
0.65,1.3105,0.355,9
0.645,1.1845,0.335,9
0.435,0.3325,0.105,9
0.53,0.7905,0.2595,9
0.595,0.852,0.227,9
0.465,0.4365,0.147,9
0.535,1.0015,0.244,9
0.565,0.802,0.215,9
0.58,1.063,0.2625,9
0.495,0.5415,0.155,9
0.64,1.382,0.37,9
0.425,0.4085,0.135,9
0.585,0.855,0.26,9
0.445,0.4525,0.123,9
0.645,1.2415,0.315,9
0.56,0.9415,0.1975,9
0.295,0.124,0.04,9
0.54,0.9455,0.295,9
0.56,0.8875,0.2695,9
0.645,1.251,0.3165,9
0.41,0.315,0.095,9
0.665,1.2975,0.3595,9
0.675,1.494,0.37,9
0.575,0.9895,0.246,9
0.505,0.6855,0.161,9
0.55,0.897,0.29,9
0.63,1.2795,0.315,9
0.455,0.4725,0.15,9
0.515,0.646,0.172,9
0.745,2.25,0.558,9
0.595,0.914,0.271,9
0.7,1.6465,0.3995,9
0.62,0.9505,0.228,9
0.575,1.0225,0.228,9
0.54,0.7505,0.1845,9
0.51,0.6855,0.2035,9
0.58,0.93,0.265,9
0.57,0.9415,0.283,9
0.445,0.4235,0.14,9
0.64,1.2645,0.315,9
0.58,0.984,0.27,9
0.455,0.462,0.12,9
0.515,0.6965,0.175,9
0.63,1.147,0.2885,9
0.615,1.0875,0.2685,9
0.485,0.869,0.319,9
0.62,1.0405,0.3,9
0.54,0.8035,0.21,9
0.52,0.6595,0.16,9
0.59,0.86,0.245,9
0.58,0.8295,0.2485,9
0.53,0.5685,0.161,9
0.425,0.393,0.165,9
0.58,0.844,0.2705,9
0.53,0.7245,0.24,9
0.58,0.8675,0.215,9
0.62,1.3245,0.3275,9
0.4,0.2775,0.08,9
0.56,0.8025,0.259,9
0.615,1.296,0.32,9
0.62,1.0725,0.312,9
0.615,1.12,0.286,9
0.6,1.038,0.251,9
0.555,0.837,0.235,9
0.53,0.632,0.1875,9
0.56,0.714,0.275,9
0.625,1.1415,0.29,9
0.575,0.907,0.26,9
0.325,0.155,0.06,9
0.525,0.622,0.184,9
0.615,1.1215,0.29,9
0.545,0.737,0.212,9
0.605,1.1175,0.274,9
0.47,0.5225,0.165,9
0.575,1.099,0.35,9
0.575,0.941,0.285,9
0.56,0.8205,0.236,9
0.53,0.694,0.167,9
0.525,0.6965,0.164,9
0.34,0.213,0.07,9
0.665,1.2975,0.315,9
0.55,0.8105,0.275,9
0.525,0.596,0.1695,9
0.625,1.273,0.374,9
0.515,0.6295,0.215,9
0.63,1.0915,0.3,9
0.515,0.6335,0.168,9
0.62,1.1605,0.307,9
0.59,1.004,0.26,9
0.605,1.167,0.3745,9
0.44,0.487,0.155,9
0.545,0.6765,0.22,9
0.55,0.936,0.2435,9
0.525,0.872,0.199,9
0.59,1.262,0.335,9
0.56,1.0315,0.337,9
0.47,0.4205,0.14,9
0.475,0.5095,0.165,9
0.58,0.8265,0.225,9
0.51,0.7175,0.17,9
0.625,1.124,0.287,9
0.44,0.4775,0.19,9
0.67,1.6385,0.391,9
0.38,0.3215,0.095,9
0.645,1.33,0.317,9
0.405,0.347,0.1,9
0.62,1.307,0.315,9
0.37,0.234,0.075,9
0.5,1.0615,0.296,9
0.57,0.803,0.234,9
0.45,0.3715,0.105,9
0.605,1.076,0.335,9
0.295,0.1385,0.05,9
0.56,0.903,0.295,9
0.47,0.543,0.15,9
0.64,1.1435,0.353,9
0.505,0.642,0.155,9
0.65,1.122,0.3055,9
0.615,1.0805,0.32,9
0.455,0.452,0.125,9
0.535,0.6025,0.154,9
0.66,1.5655,0.386,9
0.72,2.073,0.5015,9
0.335,0.1975,0.07,9
0.675,1.711,0.475,9
0.625,1.3745,0.332,9
0.725,1.523,0.4375,9
0.565,0.836,0.2245,9
0.52,0.872,0.1985,9
0.605,1.1345,0.295,9
0.635,1.3555,0.39,9
0.51,0.6335,0.2,9
0.44,0.3875,0.12,9
0.53,0.8255,0.245,9
0.485,0.498,0.1525,9
0.565,0.743,0.231,9
0.5,0.6155,0.205,9
0.475,0.4535,0.1465,9
0.565,0.983,0.2485,9
0.59,0.998,0.301,9
0.4,0.417,0.1175,9
0.67,1.3645,0.353,9
0.595,1.108,0.3345,9
0.54,0.6555,0.192,9
0.53,0.702,0.22,9
0.52,0.633,0.175,9
0.345,0.197,0.07,9
0.55,0.8705,0.213,9
0.565,0.768,0.2475,9
0.575,0.958,0.2705,9
0.445,0.4475,0.13,9
0.535,0.725,0.25,9
0.575,0.872,0.217,9
0.625,1.264,0.321,9
0.635,1.211,0.323,9
0.45,0.448,0.12,9
0.63,1.306,0.375,9
0.525,0.7555,0.201,9
0.525,0.6995,0.223,9
0.605,1.289,0.3315,9
0.62,1.056,0.2725,9
0.56,0.688,0.2165,9
0.44,0.482,0.16,9
0.505,0.625,0.175,9
0.575,0.78,0.235,9
0.525,0.601,0.1835,9
0.5,0.528,0.14,9
0.485,0.5565,0.185,9
0.515,0.636,0.1855,9
0.575,0.839,0.239,9
0.655,1.1445,0.348,9
0.565,0.784,0.213,9
0.655,1.4095,0.405,9
0.455,0.433,0.145,9
0.6,1.285,0.315,9
0.57,1.02,0.29,9
0.565,1.1815,0.3095,9
0.5,0.5765,0.145,9
0.56,0.932,0.335,9
0.59,0.755,0.238,9
0.55,0.912,0.205,9
0.575,0.8975,0.23,9
0.595,0.944,0.315,9
0.65,1.3875,0.3095,9
0.6,1.0105,0.298,9
0.53,0.6615,0.19,9
0.49,0.674,0.185,9
0.56,0.974,0.235,9
0.61,1.438,0.3345,9
0.615,1.118,0.3,9
0.565,0.863,0.27,9
0.44,0.375,0.115,9
0.595,1.1775,0.31,9
0.725,1.51,0.5085,9
0.415,0.3895,0.103,9
0.605,1.056,0.357,9
0.65,1.368,0.365,9
0.36,0.1975,0.07,9
0.45,0.4165,0.135,9
0.5,0.7815,0.2385,9
0.55,0.639,0.217,9
0.655,1.5475,0.466,9
0.55,0.8745,0.248,9
0.59,1.007,0.2925,9
0.52,0.5805,0.165,9
0.52,0.6375,0.168,9
0.57,0.811,0.2285,9
0.465,0.486,0.1225,9
0.55,0.765,0.245,9
0.62,1.2705,0.3225,9
0.49,0.569,0.145,9
0.46,0.517,0.165,9
0.475,0.4225,0.1355,9
0.575,0.785,0.2265,9
0.585,0.9565,0.265,9
0.59,1.1735,0.2595,9
0.42,0.28,0.0955,9
0.61,1.0325,0.2785,9
0.615,1.084,0.246,9
0.335,0.1785,0.055,9
0.51,0.681,0.17,9
0.65,1.3835,0.3665,9
0.625,1.177,0.345,9
0.575,0.9175,0.24,9
0.575,1.0535,0.235,9
0.57,0.795,0.245,9
0.625,1.179,0.271,9
0.58,0.701,0.2255,9
0.66,1.3195,0.341,9
0.65,1.3455,0.3865,9
0.595,1.044,0.27,9
0.46,0.3705,0.114,9
0.62,1.1325,0.2825,9
0.65,1.542,0.375,9
0.61,1.3305,0.2865,9
0.665,1.349,0.36,9
0.425,0.4405,0.155,9
0.525,0.6095,0.175,9
0.545,1.1185,0.2845,9
0.605,1.1775,0.292,9
0.575,0.9465,0.2505,9
0.55,0.7135,0.225,9
0.5,0.5605,0.15,9
0.455,0.4925,0.135,9
0.565,1.0095,0.2645,9
0.505,0.6115,0.2,9
0.625,1.2935,0.355,9
0.385,0.2615,0.0745,9
0.555,0.783,0.247,9
0.565,0.9595,0.23,9
0.605,1.1185,0.335,9
0.31,0.1295,0.044,9
0.46,0.5105,0.205,9
0.53,0.738,0.193,9
0.48,0.777,0.17,9
0.515,0.9225,0.273,9
0.375,0.276,0.085,9
0.6,0.776,0.239,9
0.525,0.756,0.275,9
0.455,0.441,0.145,9
0.51,0.5575,0.1525,9
0.54,0.6275,0.235,9
0.43,0.3575,0.1045,9
0.5,0.577,0.1535,9
0.535,0.7145,0.2075,9
0.545,0.7405,0.203,9
0.6,0.9205,0.253,9
0.575,0.8515,0.1965,9
0.475,0.537,0.15,9
0.65,1.1805,0.3275,9
0.49,0.656,0.205,9
0.365,0.2205,0.07,9
0.435,0.4075,0.165,9
0.575,1.103,0.249,9
0.6,1.259,0.357,9
0.505,0.674,0.1785,9
0.67,1.2565,0.386,9
0.64,1.006,0.2835,9
0.515,0.573,0.195,9
0.61,1.142,0.245,9
0.61,1.0765,0.27,9
0.62,1.1,0.31,9
0.615,1.0375,0.283,9
0.6,1.4405,0.3175,9
0.61,1.281,0.33,9
0.515,0.5925,0.168,9
0.525,0.8355,0.245,9
0.705,1.219,0.301,9
0.585,0.9355,0.259,9
0.65,1.3825,0.3195,9
0.5,0.6615,0.196,9
0.57,0.9645,0.209,9
0.515,0.5805,0.19,9
0.45,0.425,0.115,9
0.5,0.45,0.155,9
0.395,0.282,0.096,9
0.52,0.646,0.165,9
0.465,0.4325,0.1275,9
0.525,0.6055,0.21,9
0.44,0.394,0.122,9
0.41,0.3555,0.105,9
0.585,0.9325,0.29,9
0.625,1.0985,0.354,9
0.645,1.285,0.317,9
0.515,0.7225,0.235,9
