@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,8-9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.475,0.983,0.4565,0.266,10
0.47,1.0175,0.473,0.28,10
0.54,1.139,0.4995,0.357,11
0.49,1.066,0.446,0.305,11
0.49,1.1165,0.4895,0.3325,11
0.485,1.044,0.438,0.278,9
0.495,1.2695,0.605,0.328,11
0.5,1.5595,0.741,0.3845,14
0.48,1.371,0.6925,0.35,12
0.505,1.4405,0.688,0.363,11
0.55,1.566,0.858,0.354,10
0.575,2.009,0.9895,0.502,11
0.56,1.9425,0.799,0.5655,11
0.595,2.2205,1.083,0.63,12
0.62,2.5155,1.1155,0.642,12
0.335,0.422,0.229,0.1,6
0.475,1.15,0.575,0.297,10
0.525,1.6125,0.777,0.3965,11
0.535,1.5845,0.7175,0.4215,9
0.55,1.679,0.805,0.3965,10
0.575,2.069,0.9285,0.643,11
0.385,0.568,0.2505,0.154,7
0.47,1.0285,0.4435,0.285,11
0.515,1.331,0.5725,0.361,9
0.525,1.429,0.6715,0.4,12
0.53,1.4015,0.643,0.416,12
0.24,0.133,0.0585,0.041,6
0.27,0.196,0.0905,0.053,7
0.275,0.22,0.109,0.0605,7
0.365,0.522,0.2395,0.145,10
0.4,0.6335,0.288,0.168,9
0.39,0.7815,0.361,0.2385,9
0.43,0.844,0.3945,0.231,9
0.45,0.8685,0.418,0.2605,8
0.435,0.839,0.3485,0.192,7
0.575,2.1,0.8565,0.602,12
0.555,1.6895,0.6555,0.4935,10
0.29,0.25,0.1025,0.085,10
0.49,1.2105,0.5185,0.335,13
0.29,0.232,0.0855,0.08,7
0.4,0.5765,0.2395,0.185,10
0.31,0.127,0.106,0.085,7
0.24,0.18,0.08,0.055,6
0.33,0.4005,0.143,0.12,8
0.375,0.4935,0.186,0.17,12
0.37,0.585,0.243,0.195,10
0.305,0.3625,0.1565,0.125,10
0.225,0.14,0.0515,0.04,5
0.465,1.2125,0.3245,0.525,27
0.38,0.486,0.1735,0.185,7
0.59,1.5455,0.654,0.415,11
0.51,1.2125,0.5735,0.36,14
0.48,1.0935,0.403,0.355,14
0.355,0.515,0.2,0.175,11
0.46,0.906,0.327,0.335,15
0.42,0.6295,0.2815,0.215,9
0.56,1.7265,0.637,0.525,17
0.485,1.3445,0.535,0.515,20
0.525,1.449,0.601,0.505,13
0.34,0.382,0.154,0.109,8
0.43,0.7365,0.3225,0.215,11
0.345,0.496,0.1905,0.14,12
0.35,0.567,0.2315,0.1525,11
0.25,0.197,0.085,0.0605,10
0.43,0.775,0.35,0.235,17
0.38,0.651,0.2935,0.17,12
0.35,0.494,0.1945,0.155,18
0.2,0.096,0.044,0.03,6
0.435,0.782,0.2715,0.285,14
0.4,0.8175,0.2515,0.3,23
0.435,0.884,0.2875,0.28,14
0.305,0.282,0.0975,0.096,9
0.4,0.6635,0.21,0.2515,13
0.38,0.57,0.167,0.187,11
0.315,0.3625,0.175,0.093,6
0.37,0.6315,0.3445,0.161,7
0.475,1.4405,0.5885,0.3175,9
0.5,1.362,0.5785,0.384,10
0.345,0.545,0.269,0.1305,6
0.355,0.468,0.201,0.12,8
0.425,0.812,0.4035,0.195,8
0.41,0.681,0.3095,0.1835,6
0.45,0.948,0.429,0.259,7
0.47,1.1775,0.542,0.31,9
0.495,1.147,0.5455,0.2885,9
0.545,1.933,0.7855,0.498,13
0.6,2.1945,1.0515,0.584,10
0.4,0.5925,0.265,0.168,9
0.495,1.3835,0.7105,0.345,11
0.515,1.1805,0.5235,0.3275,9
0.5,1.269,0.576,0.351,11
0.55,1.551,0.7105,0.412,13
0.32,0.3075,0.149,0.09,8
0.41,0.7355,0.3065,0.2,7
0.4,0.6445,0.345,0.2,8
0.425,0.89,0.4325,0.236,10
0.42,0.912,0.495,0.205,9
0.44,0.825,0.402,0.245,10
0.47,0.9235,0.4545,0.254,9
0.46,1.0265,0.4935,0.2745,10
0.505,1.1955,0.5565,0.346,11
0.17,0.0545,0.0205,0.0155,5
0.265,0.196,0.085,0.0585,5
0.43,0.8435,0.4325,0.1815,9
0.415,0.8115,0.3875,0.2035,9
0.455,0.976,0.465,0.2765,10
0.475,1.11,0.5105,0.285,9
0.5,1.082,0.5785,0.25,8
0.595,2.3235,1.1495,0.505,11
0.335,0.298,0.109,0.115,7
0.39,0.5075,0.2115,0.1755,9
0.4,0.5935,0.239,0.204,8
0.445,0.8725,0.417,0.24,8
0.425,0.8765,0.455,0.228,8
0.48,1.056,0.4575,0.3135,10
0.45,0.9625,0.4375,0.2775,9
0.495,1.0915,0.4365,0.335,13
0.515,1.2075,0.5385,0.345,11
0.565,1.6645,0.753,0.43,12
0.525,1.277,0.4975,0.394,13
0.485,1.2565,0.5355,0.386,9
0.59,2.087,0.909,0.625,12
0.365,1.029,0.4235,0.313,8
0.37,0.5745,0.306,0.141,7
0.43,0.9845,0.4525,0.2725,8
0.515,1.4265,0.6605,0.37,11
0.3,0.2665,0.1105,0.084,7
0.28,0.215,0.0845,0.079,8
0.32,0.3875,0.1755,0.12,9
0.34,0.4045,0.171,0.1345,8
0.45,0.95,0.4005,0.2845,10
0.435,0.8785,0.425,0.2425,10
0.56,1.664,0.58,0.545,11
0.395,0.5685,0.249,0.161,9
0.43,0.9115,0.446,0.121,10
0.455,0.942,0.43,0.277,11
0.465,1.193,0.5145,0.3055,8
0.22,0.1235,0.059,0.0315,5
0.275,0.2815,0.1505,0.068,5
0.53,1.5105,0.7385,0.3725,10
0.42,0.764,0.312,0.265,11
0.4,0.6905,0.259,0.23,10
0.5,1.742,0.595,0.725,21
0.475,1.151,0.4365,0.3805,13
0.54,1.571,0.627,0.475,18
0.285,0.2225,0.0865,0.075,8
0.555,1.8165,0.7785,0.515,19
0.5,1.06,0.402,0.275,11
0.38,0.528,0.2,0.16,14
0.355,0.415,0.215,0.13,12
0.475,0.9715,0.371,0.28,11
0.475,1.0185,0.4695,0.27,15
0.395,0.6175,0.262,0.193,12
0.5,1.229,0.524,0.395,17
0.3,0.2595,0.097,0.08,10
0.36,0.45,0.191,0.145,12
0.3,0.259,0.0955,0.085,8
0.475,0.8575,0.3465,0.275,12
0.38,0.584,0.224,0.185,13
0.31,0.3625,0.134,0.12,11
0.345,0.44,0.169,0.135,12
0.33,0.522,0.17,0.195,16
0.475,1.616,0.5495,0.34,18
0.265,0.209,0.066,0.075,9
0.15,0.0455,0.02,0.013,4
0.29,0.258,0.104,0.0815,7
0.33,0.38,0.197,0.09,7
0.42,0.7465,0.348,0.2185,10
0.51,1.233,0.592,0.322,10
0.5,1.3275,0.556,0.4085,9
0.185,0.0655,0.0295,0.02,4
0.205,0.097,0.0415,0.0305,4
0.23,0.1695,0.079,0.0505,6
0.325,0.405,0.1695,0.1065,8
0.355,0.4865,0.2155,0.142,9
0.4,0.636,0.3055,0.1855,9
0.41,0.6075,0.268,0.1975,9
0.44,0.8515,0.4555,0.1965,9
0.46,0.9265,0.4135,0.27,10
0.47,0.928,0.4225,0.275,8
0.48,1.1415,0.5795,0.29,9
0.5,1.3765,0.6485,0.335,12
0.3,0.2855,0.1385,0.077,5
0.375,0.5755,0.31,0.1395,8
0.39,0.678,0.341,0.119,8
0.43,0.8035,0.409,0.228,7
0.325,0.342,0.1335,0.105,6
0.405,0.573,0.213,0.195,9
0.415,0.6385,0.2945,0.171,8
0.45,0.8075,0.3655,0.2595,10
0.465,0.9855,0.4325,0.2845,10
0.51,1.35,0.575,0.3885,10
0.54,1.764,0.8505,0.47,11
0.51,1.527,0.809,0.341,11
0.53,1.564,0.612,0.44,10
0.38,0.681,0.3435,0.17,9
0.42,1.764,0.914,0.4095,10
0.29,0.2575,0.1,0.086,6
0.375,0.4155,0.17,0.145,8
0.465,1.0535,0.516,0.235,9
0.52,1.4755,0.6275,0.374,10
0.27,0.2255,0.11,0.064,7
0.275,0.2425,0.106,0.21,6
0.34,0.386,0.1805,0.0965,8
0.385,0.562,0.289,0.153,8
0.445,0.836,0.406,0.2245,9
0.44,0.8815,0.3605,0.2735,10
0.42,0.754,0.256,0.275,10
0.41,0.8105,0.345,0.24,11
0.26,0.22,0.0855,0.085,6
0.45,0.91,0.326,0.355,14
0.465,0.9685,0.446,0.255,9
0.5,1.626,0.587,0.41,15
0.49,1.1775,0.5655,0.295,15
0.3,0.286,0.1305,0.09,7
0.38,0.6295,0.263,0.215,12
0.5,1.053,0.4405,0.39,13
0.4,0.772,0.2855,0.23,12
0.235,0.18,0.08,0.047,5
0.55,1.777,0.769,0.4305,11
0.55,2.173,1.133,0.496,10
0.22,0.1295,0.052,0.035,6
0.39,0.599,0.251,0.169,8
0.515,1.3855,0.621,0.3445,8
0.23,0.134,0.0575,0.3505,6
0.27,0.2075,0.098,0.062,6
0.505,1.131,0.5425,0.323,8
0.505,1.4385,0.6775,0.178,11
0.325,0.4965,0.258,0.1075,8
0.405,0.6925,0.327,0.1805,7
0.44,0.811,0.3685,0.235,11
0.425,0.873,0.3615,0.239,10
0.45,0.998,0.445,0.301,9
0.5,1.0565,0.4615,0.305,10
0.39,0.6125,0.302,0.1415,8
0.275,0.2325,0.093,0.072,6
0.31,0.317,0.153,0.0935,7
0.335,0.524,0.246,0.145,7
0.45,0.874,0.369,0.24,8
0.5,1.2915,0.594,0.37,9
0.495,1.3105,0.577,0.355,9
0.545,1.672,0.7075,0.48,11
0.215,0.1185,0.048,0.042,4
0.47,0.985,0.3695,0.315,10
0.5,1.13,0.4405,0.335,11
0.535,1.2395,0.468,0.424,10
0.535,1.669,0.7465,0.508,11
0.33,0.393,0.219,0.0885,6
0.36,0.5135,0.241,0.155,8
0.255,0.3175,0.137,0.092,8
