@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,8-9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.575,0.247,0.183,9
M,0.9355,0.421,0.26,11
F,1.099,0.4735,0.35,9
M,1.0465,0.518,0.2795,10
M,1.031,0.4375,0.27,8
M,1.0875,0.4975,0.2685,9
M,1.0485,0.487,0.3215,11
F,1.2895,0.594,0.345,11
M,1.273,0.6535,0.365,12
M,1.1895,0.4765,0.35,11
F,1.4195,0.6735,0.3255,11
F,1.5535,0.616,0.474,16
I,1.238,0.5495,0.3305,10
M,1.218,0.5055,0.37,11
M,1.312,0.556,0.4115,11
F,1.473,0.6295,0.4245,11
M,1.6915,0.6655,0.5,11
F,1.773,0.605,0.538,13
F,1.6195,0.744,0.488,11
F,1.8325,0.83,0.44,11
I,0.271,0.1425,0.0735,9
M,0.6435,0.3135,0.1515,7
M,0.5115,0.246,0.1455,8
F,0.7655,0.3265,0.2365,10
F,0.7505,0.368,0.1845,9
F,0.83,0.393,0.238,9
M,1.914,0.9155,0.479,11
F,0.3465,0.1475,0.115,10
M,0.97,0.462,0.295,9
M,0.8085,0.3025,0.285,14
F,2.1995,0.7245,0.885,17
I,0.0385,0.0115,0.01,5
F,0.975,0.358,0.34,15
M,0.547,0.222,0.17,12
M,1.36,0.5305,0.47,18
M,1.035,0.401,0.385,17
F,0.958,0.296,0.39,14
F,0.729,0.2675,0.25,9
F,0.543,0.2295,0.15,9
F,0.998,0.345,0.315,12
M,0.7485,0.264,0.285,13
F,0.9215,0.312,0.3,17
M,0.8615,0.3725,0.255,12
F,1.1805,0.4345,0.425,19
I,0.185,0.08,0.065,6
M,0.2965,0.1365,0.085,7
M,0.991,0.4035,0.34,16
M,0.805,0.293,0.27,17
M,0.3045,0.0925,0.12,11
M,1.5515,0.566,0.445,13
M,0.86,0.4015,0.245,11
F,0.9,0.355,0.25,11
I,0.075,0.028,0.025,6
I,0.0235,0.009,0.008,6
F,1.065,0.4595,0.315,12
M,1.885,0.8665,0.5,19
I,0.354,0.1625,0.105,8
I,0.6505,0.2495,0.2215,10
I,0.437,0.163,0.17,13
I,1.25,0.5265,0.315,15
I,1.411,0.572,0.395,12
F,0.4805,0.1905,0.1475,12
M,0.0945,0.0445,0.03,6
F,0.197,0.071,0.06,9
I,0.0625,0.023,0.022,6
M,0.5905,0.2025,0.19,14
F,0.7,0.207,0.24,13
F,0.6905,0.219,0.2,12
I,0.365,0.159,0.105,6
F,0.6015,0.2765,0.135,8
I,0.6125,0.267,0.172,7
M,1.262,0.5685,0.335,9
I,0.0875,0.0345,0.0255,4
I,0.126,0.0515,0.035,6
I,0.155,0.065,0.0365,6
I,0.149,0.058,0.047,7
I,0.279,0.1155,0.08,7
I,0.3335,0.1445,0.095,7
I,0.4165,0.185,0.11,6
I,0.495,0.231,0.125,7
F,1.1075,0.4485,0.3595,8
F,1.297,0.556,0.37,11
M,1.6385,0.8115,0.391,9
M,1.71,0.7725,0.4325,8
F,1.8495,0.767,0.4175,10
M,1.742,0.696,0.505,12
I,0.3515,0.1625,0.094,7
I,0.633,0.2985,0.175,9
M,0.778,0.3745,0.205,7
M,0.7865,0.403,0.17,7
M,0.852,0.41,0.225,8
M,1.1015,0.4965,0.305,10
M,1.3165,0.6325,0.37,11
M,1.4465,0.694,0.3755,10
M,1.7585,0.8745,0.47,10
F,2.012,0.8915,0.471,12
I,0.3,0.124,0.1,8
M,0.4305,0.2235,0.1155,8
M,0.7845,0.3285,0.245,10
I,0.936,0.481,0.2435,9
M,0.885,0.4025,0.274,10
F,0.8755,0.411,0.225,8
M,1.221,0.555,0.34,12
F,1.711,0.8365,0.475,9
I,0.589,0.3075,0.1405,8
M,0.818,0.402,0.189,7
F,0.782,0.3695,0.1965,8
M,1.057,0.4255,0.31,9
M,1.1255,0.59,0.26,10
M,1.3405,0.656,0.337,10
I,0.198,0.0805,0.058,5
I,0.2145,0.0855,0.072,7
I,0.3245,0.151,0.088,8
I,0.587,0.264,0.174,8
I,0.494,0.211,0.1545,8
I,0.614,0.2855,0.161,8
I,0.597,0.2935,0.16,8
M,0.8315,0.352,0.2525,10
M,1.049,0.5205,0.305,10
M,1.142,0.485,0.345,9
M,1.34,0.617,0.3605,10
F,1.167,0.548,0.34,10
M,1.1885,0.4915,0.348,7
F,1.3805,0.675,0.325,10
I,0.449,0.254,0.097,6
F,1.007,0.4775,0.2925,9
F,1.5245,0.653,0.41,11
F,1.2235,0.532,0.354,9
F,1.3695,0.634,0.363,11
M,1.6135,0.75,0.3685,11
I,0.237,0.106,0.08,8
I,0.9175,0.45,0.24,9
F,1.089,0.469,0.384,11
M,1.154,0.4405,0.387,9
F,1.1335,0.5525,0.3015,11
F,1.666,0.647,0.455,11
I,0.057,0.026,0.016,5
M,0.5805,0.244,0.188,11
I,0.379,0.1725,0.101,7
M,1.206,0.581,0.323,10
M,1.1735,0.526,0.316,11
M,1.532,0.74,0.3815,11
M,1.047,0.4315,0.315,14
F,0.6765,0.29,0.22,9
I,0.102,0.045,0.034,8
M,1.3315,0.5665,0.405,13
I,0.116,0.037,0.04,8
M,0.2775,0.109,0.1,9
I,0.375,0.1425,0.115,9
M,1.383,0.596,0.485,14
M,0.906,0.342,0.295,13
I,0.533,0.233,0.185,8
F,0.4195,0.194,0.13,7
F,0.8775,0.3345,0.29,13
M,0.81,0.317,0.22,11
F,1.522,0.6965,0.405,13
F,1.555,0.6465,0.52,15
M,0.099,0.037,0.03,5
M,0.084,0.034,0.03,7
F,0.5885,0.2475,0.1595,15
M,0.3005,0.1215,0.104,11
M,0.106,0.0415,0.035,5
I,1.178,0.3935,0.315,20
M,0.306,0.121,0.09,9
M,0.721,0.3055,0.22,14
M,1.4605,0.5835,0.41,19
M,1.0165,0.491,0.265,9
M,1.9045,0.882,0.5,13
I,0.219,0.097,0.065,6
I,0.279,0.134,0.075,8
F,0.8815,0.43,0.2155,8
F,1.0745,0.4925,0.29,8
I,0.4015,0.242,0.109,6
M,1.469,0.7115,0.38,9
M,1.492,0.7185,0.355,11
M,1.6615,0.8005,0.43,10
F,1.492,0.6425,0.42,12
I,0.2775,0.1245,0.08,9
I,0.4265,0.195,0.1205,8
I,0.498,0.2375,0.14,7
I,0.8725,0.412,0.2425,10
F,1.0805,0.4995,0.3205,9
F,1.043,0.4835,0.31,10
M,1.304,0.5795,0.371,14
M,0.9505,0.4915,0.228,9
F,1.2645,0.565,0.315,9
M,1.5955,0.678,0.48,10
I,0.1195,0.052,0.035,5
I,0.4425,0.1895,0.135,9
I,0.511,0.2205,0.1745,9
I,0.781,0.3905,0.215,9
F,0.964,0.5005,0.2575,10
F,1.0455,0.4565,0.3085,10
F,1.281,0.5985,0.3825,10
M,1.4275,0.69,0.4355,13
F,1.46,0.6435,0.4165,9
F,1.4985,0.62,0.425,9
M,1.4385,0.655,0.462,11
M,1.167,0.4895,0.345,10
F,1.37,0.6065,0.407,12
I,0.101,0.041,0.034,5
M,0.702,0.2975,0.22,9
M,0.86,0.3345,0.275,10
M,0.8275,0.321,0.2445,8
M,1.2425,0.5995,0.335,10
F,1.129,0.5015,0.342,10
F,1.4575,0.607,0.44,11
M,2.381,0.8155,0.488,12
I,0.0495,0.0235,0.014,3
M,0.655,0.266,0.185,10
I,0.1385,0.058,0.05,5
F,0.6355,0.2505,0.195,15
F,0.3975,0.1505,0.135,8
M,0.8615,0.2925,0.365,16
M,0.478,0.18,0.155,10
I,0.0145,0.005,0.005,4
M,0.0635,0.0245,0.02,4
M,0.8695,0.3075,0.25,14
M,0.8005,0.2635,0.25,13
M,1.5945,0.6705,0.4505,10
M,2.003,0.8105,0.5755,10
M,2.2385,0.984,0.621,12
F,1.011,0.479,0.255,8
M,1.181,0.665,0.225,10
F,1.382,0.646,0.37,9
F,1.658,0.708,0.4715,10
I,0.1445,0.058,0.0505,6
I,0.651,0.3165,0.18,8
F,1.2565,0.539,0.35,10
M,1.403,0.5755,0.4545,11
I,0.318,0.1335,0.0935,6
M,0.7805,0.3795,0.216,8
I,0.772,0.289,0.2615,8
M,1.218,0.639,0.3,11
M,0.997,0.4055,0.251,11
F,1.2355,0.5205,0.347,10
M,2.0505,0.8005,0.355,11
F,0.887,0.37,0.249,11
