@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5,8-9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.54,0.7345,0.213,9
0.585,0.9045,0.2335,8
0.55,0.8435,0.185,8
0.57,0.908,0.255,9
0.645,1.192,0.285,9
0.65,1.2895,0.344,10
0.68,1.4775,0.406,11
0.21,0.04,0.0105,4
0.345,0.183,0.06,6
0.375,0.3,0.0825,8
0.485,0.5215,0.16,8
0.505,0.596,0.21,9
0.525,0.6315,0.19,9
0.55,0.712,0.225,10
0.585,0.8465,0.295,10
0.6,1.1145,0.367,11
0.61,1.3065,0.29,10
0.64,1.139,0.285,10
0.65,1.446,0.45,12
0.66,1.4045,0.3745,9
0.705,1.757,0.461,9
0.45,0.362,0.1095,7
0.59,1.0785,0.31,9
0.625,1.254,0.3485,9
0.31,0.1245,0.038,6
0.37,0.1855,0.065,7
0.46,0.447,0.16,9
0.465,0.4085,0.131,8
0.5,0.5445,0.152,8
0.615,1.194,0.3165,11
0.625,1.217,0.355,11
0.645,1.539,0.445,12
0.655,1.528,0.4535,11
0.68,1.2345,0.325,11
0.555,0.873,0.1965,9
0.64,1.307,0.266,11
0.73,2.2305,0.563,14
0.42,0.309,0.0945,6
0.46,0.3965,0.1455,8
0.475,0.456,0.16,9
0.515,0.572,0.165,7
0.59,0.853,0.245,9
0.635,1.145,0.3155,9
0.655,1.403,0.42,11
0.66,1.5175,0.401,10
0.665,1.3575,0.4485,10
0.73,1.908,0.5965,14
0.755,2.073,0.48,11
0.545,0.9385,0.345,11
0.375,0.226,0.0725,7
0.38,0.2285,0.075,7
0.62,1.1945,0.352,9
0.645,1.2785,0.345,13
0.7,1.978,0.71,24
0.655,1.367,0.396,10
0.505,0.657,0.195,15
0.61,1.017,0.32,12
0.325,0.1495,0.045,5
0.49,0.578,0.18,9
0.385,0.2725,0.08,6
0.665,1.3955,0.49,15
0.63,1.4985,0.545,16
0.52,0.753,0.255,8
0.485,0.696,0.265,13
0.655,1.092,0.37,14
0.3,0.15,0.045,5
0.465,0.4365,0.145,11
0.655,1.428,0.565,18
0.535,0.72,0.225,15
0.605,1.0735,0.33,14
0.565,0.9285,0.265,12
0.45,0.438,0.11,9
0.505,0.6345,0.215,17
0.535,0.7765,0.25,16
0.49,0.683,0.165,13
0.475,0.4545,0.158,8
0.58,1.073,0.335,19
0.41,0.301,0.09,9
0.54,0.7585,0.19,10
0.28,0.0905,0.03,5
0.31,0.127,0.04,6
0.575,1.0105,0.32,10
0.62,1.0765,0.3,13
0.35,0.192,0.053,6
0.395,0.313,0.093,7
0.74,2.4925,0.5235,13
0.465,0.4705,0.126,7
0.555,0.931,0.225,8
0.6,1.1385,0.31,9
0.625,1.1115,0.345,11
0.625,1.255,0.405,10
0.715,2.0725,0.565,10
0.4,0.2985,0.075,6
0.505,1.1155,0.3065,8
0.52,0.5345,0.1535,8
0.6,1.164,0.335,12
0.7,1.7365,0.461,11
0.215,0.041,0.0125,3
0.335,0.192,0.054,6
0.35,0.1765,0.0575,7
0.365,0.2345,0.0625,7
0.5,0.528,0.1645,9
0.585,1.058,0.294,9
0.6,1.088,0.31,10
0.655,1.2835,0.4,8
0.64,1.12,0.32,12
0.66,1.583,0.405,10
0.285,0.1005,0.035,7
0.44,0.344,0.125,8
0.465,0.4075,0.1455,9
0.53,0.769,0.215,9
0.535,0.7315,0.19,7
0.55,0.7915,0.236,10
0.62,1.0855,0.305,10
0.625,1.3025,0.3605,14
0.65,1.2075,0.32,10
0.65,1.3685,0.4,11
0.66,1.431,0.398,10
0.725,1.792,0.435,11
0.38,0.6475,0.164,7
0.515,0.6145,0.146,9
0.635,1.2635,0.355,9
0.695,1.8185,0.4525,13
0.485,0.5065,0.1465,8
0.52,0.699,0.1945,10
0.535,0.728,0.265,9
0.555,0.846,0.2735,10
0.565,0.6545,0.21,9
0.65,1.2075,0.39,10
0.665,1.5785,0.456,14
0.305,0.1455,0.05,6
0.525,0.5655,0.175,8
0.17,0.034,0.005,4
0.375,0.3005,0.1035,7
0.55,0.785,0.275,12
0.485,0.731,0.255,11
0.33,0.1405,0.05,5
0.5,0.8085,0.295,13
0.76,1.829,0.56,14
0.615,1.1765,0.345,17
0.565,0.8765,0.275,10
0.445,0.476,0.1085,15
0.395,0.266,0.09,12
0.5,0.7105,0.225,20
0.58,0.728,0.19,14
0.525,0.7155,0.27,13
0.53,0.717,0.255,13
0.49,0.591,0.1775,9
0.515,0.686,0.22,12
0.375,0.2875,0.08,6
0.475,0.4905,0.135,7
0.375,0.2235,0.055,6
0.555,0.7545,0.2015,9
0.585,1.0035,0.2515,11
0.625,1.065,0.285,10
0.72,1.7475,0.4705,11
0.575,0.858,0.215,10
0.62,1.003,0.28,11
0.625,1.025,0.34,9
0.645,1.159,0.31,9
0.545,0.658,0.174,8
0.595,0.984,0.2755,10
0.48,0.5305,0.139,8
0.56,1.6645,0.4525,9
0.605,1.1,0.2585,10
0.555,0.9205,0.255,8
0.57,0.7655,0.24,10
0.44,0.3805,0.115,6
0.39,0.2845,0.081,7
0.405,0.3035,0.088,7
