@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R3-4,7-8,13,17-20,22,27,29-31,36,38-39,41,49,51-52,54,56,62-65'

@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-6 numeric
@attribute Atr-7 numeric
@attribute Atr-12 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-18 numeric
@attribute Atr-19 numeric
@attribute Atr-21 numeric
@attribute Atr-26 numeric
@attribute Atr-28 numeric
@attribute Atr-29 numeric
@attribute Atr-30 numeric
@attribute Atr-35 numeric
@attribute Atr-37 numeric
@attribute Atr-38 numeric
@attribute Atr-40 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-51 numeric
@attribute Atr-53 numeric
@attribute Atr-55 numeric
@attribute Atr-61 numeric
@attribute Atr-62 numeric
@attribute Atr-63 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
11,16,3,0,13,0,0,0,0,16,5,16,15,1,16,16,10,0,0,8,16,0,0,0,0,0,7
14,14,4,0,5,0,4,16,4,0,16,16,11,0,6,16,4,0,0,1,7,12,0,0,0,0,5
0,0,2,0,16,0,0,3,15,16,16,16,16,3,6,16,0,0,0,0,4,16,0,16,3,0,1
0,10,0,0,12,0,1,15,10,0,16,5,0,0,16,15,3,0,0,11,10,10,2,14,9,0,6
5,9,2,0,10,0,0,0,0,13,7,14,14,6,14,8,2,0,0,6,15,0,0,0,0,0,7
4,14,0,0,1,0,8,12,0,2,15,16,16,8,16,0,0,0,0,15,8,12,0,10,0,0,8
11,16,0,0,16,0,1,3,1,8,0,14,2,0,16,0,0,0,0,13,15,12,0,15,2,0,2
7,16,0,0,16,0,6,16,14,7,8,16,8,0,0,15,2,0,0,0,0,13,0,14,4,0,9
14,16,0,0,16,0,10,9,5,2,0,14,0,0,14,0,0,0,0,16,16,6,0,16,12,0,2
8,12,10,0,13,0,0,0,0,11,8,15,12,2,15,8,4,0,0,8,11,0,0,0,0,0,7
4,12,0,0,10,0,13,10,2,4,12,9,0,0,16,3,0,0,0,10,9,10,0,14,5,0,8
6,14,0,0,14,0,3,6,1,9,2,16,11,0,12,16,2,0,0,6,13,15,0,5,0,0,3
9,15,4,0,4,0,0,0,0,15,0,16,8,0,4,13,1,0,0,6,4,15,0,5,0,0,3
1,8,0,0,10,0,14,10,2,0,14,0,0,0,13,0,0,0,0,2,13,16,0,11,1,0,5
16,9,0,0,10,0,0,1,7,13,5,8,16,3,0,12,7,0,0,15,14,10,0,1,0,0,0
0,5,0,0,13,0,0,5,16,0,8,0,0,0,12,6,0,0,0,8,15,12,0,15,5,0,6
0,1,2,0,12,0,4,16,15,16,16,9,16,2,0,14,0,0,0,0,0,3,0,0,0,0,9
8,13,1,0,14,0,5,14,14,14,0,16,6,0,11,0,0,0,0,7,16,0,0,0,0,0,9
3,10,0,0,12,0,6,16,11,16,7,16,12,0,0,10,0,0,0,5,12,5,0,0,0,0,9
4,10,10,0,8,0,0,0,0,10,1,8,16,6,16,13,1,0,0,0,14,0,0,0,0,0,7
0,8,0,0,5,0,0,11,13,0,16,0,1,0,0,16,3,0,0,16,16,16,0,15,3,0,4
0,12,0,0,16,0,5,15,16,3,14,15,12,0,0,16,2,0,0,0,7,15,0,14,5,0,1
5,12,0,0,7,0,0,15,7,16,8,16,9,0,16,1,0,0,0,16,16,7,0,1,0,0,8
3,15,3,0,13,0,0,0,0,16,6,16,16,9,16,14,7,0,0,2,16,0,0,0,0,0,7
14,10,0,0,4,0,0,9,8,0,0,4,0,0,15,0,0,0,0,16,13,16,0,16,7,0,2
0,10,0,0,16,0,0,4,16,5,16,16,6,0,16,11,0,0,0,0,15,14,0,9,0,0,1
7,15,0,0,13,0,0,7,1,7,0,16,11,0,1,15,6,0,0,13,9,13,0,9,1,0,3
4,14,1,0,16,0,0,0,15,16,7,16,13,0,16,12,0,0,0,5,16,12,0,5,0,0,1
2,15,0,0,14,0,2,15,2,13,16,0,9,8,0,10,7,0,0,14,14,9,0,1,0,0,0
0,14,0,0,5,0,0,12,12,14,16,13,11,0,7,14,3,0,0,5,13,4,0,0,0,0,4
8,16,0,0,16,0,3,3,9,3,0,15,2,0,1,13,1,0,0,7,8,12,0,16,4,0,3
0,13,0,0,14,0,0,15,16,0,9,14,0,0,10,2,0,0,0,0,1,11,0,15,0,0,1
12,16,0,0,5,0,11,13,0,0,12,0,0,0,10,8,0,0,0,16,12,5,0,16,10,0,6
13,15,0,0,10,0,11,12,0,0,7,4,1,0,11,14,3,0,0,16,14,1,3,15,15,0,6
7,15,2,0,0,0,1,15,5,13,7,13,1,0,12,4,0,0,0,11,4,16,0,12,0,0,8
7,13,0,0,4,0,8,8,0,16,11,1,16,1,13,15,5,0,0,0,0,11,0,9,0,0,9
12,16,0,0,16,0,0,0,11,0,1,9,0,0,4,5,0,0,0,3,1,11,0,16,9,0,3
6,12,0,0,9,0,5,13,0,3,7,12,0,0,12,10,0,0,0,10,0,11,0,9,1,0,8
13,12,2,0,5,0,3,14,2,0,16,16,9,0,0,15,2,0,0,6,4,15,0,10,0,0,5
0,3,0,0,14,0,0,0,12,0,3,3,0,0,14,6,0,0,1,16,16,16,0,5,0,0,4
12,12,1,0,4,0,8,14,8,1,15,14,12,0,0,14,4,0,0,8,4,15,0,7,0,0,5
10,16,10,0,6,0,0,0,0,13,9,16,16,6,13,13,5,0,0,6,16,0,0,0,0,0,7
0,1,0,0,16,0,0,5,12,4,16,16,3,0,9,5,0,0,0,0,6,12,0,14,1,0,1
3,14,11,0,7,0,0,15,3,14,4,10,7,0,15,16,3,0,0,0,14,0,0,0,0,0,7
0,14,0,0,3,0,0,15,7,0,16,7,2,0,13,14,5,0,0,11,10,4,2,16,13,1,6
0,1,2,0,16,0,6,12,13,16,16,16,16,0,0,16,0,0,0,0,0,16,0,16,6,0,1
11,15,0,0,16,0,5,13,0,16,16,10,16,8,12,14,8,0,0,12,10,15,0,10,1,0,9
0,6,0,0,8,0,0,10,14,0,14,8,3,0,15,15,4,0,0,9,13,6,0,15,13,1,6
0,10,0,0,10,0,2,16,9,0,16,4,1,0,15,13,0,0,0,5,13,9,0,16,6,0,6
16,13,0,0,4,0,12,6,10,0,1,10,0,0,15,0,0,0,0,13,16,12,0,16,16,0,2
6,12,0,0,13,0,5,10,0,8,0,14,3,0,0,8,0,0,0,7,9,11,0,13,5,0,3
10,15,0,0,16,0,0,0,0,16,1,7,16,3,16,16,1,0,0,3,16,0,0,0,0,0,7
11,8,0,0,1,0,0,13,16,0,12,6,0,0,15,0,0,0,0,16,16,16,3,16,16,11,1
11,14,0,0,10,0,0,0,0,16,0,16,14,0,4,16,7,0,0,9,8,14,0,10,3,0,3
0,9,0,0,8,0,0,8,14,0,13,0,0,0,16,15,5,0,0,8,15,9,0,16,8,0,6
6,15,0,0,15,0,10,11,1,4,9,15,3,0,1,4,0,0,0,5,16,15,2,11,13,1,2
0,8,0,0,10,0,0,12,13,0,16,1,0,0,16,12,1,0,0,12,14,16,0,9,2,0,6
6,15,0,0,15,0,4,16,7,12,16,16,16,3,11,14,10,0,0,0,2,16,0,11,1,0,9
14,4,0,0,16,0,3,11,5,15,0,16,10,0,9,16,6,0,0,15,4,12,0,15,3,0,3
5,14,0,0,3,0,7,12,4,5,13,0,1,7,0,1,8,0,0,14,1,13,0,9,1,0,0
0,4,0,0,16,0,2,9,16,4,16,16,4,0,6,4,0,0,0,0,6,6,0,2,0,0,1
0,10,0,0,10,0,0,6,15,0,10,0,0,0,16,7,0,0,0,5,15,7,1,16,15,1,6
1,15,0,0,3,0,5,16,7,9,13,8,16,11,12,12,0,0,0,0,13,0,0,0,0,0,4
0,14,0,0,6,0,0,8,15,0,12,4,3,0,16,16,10,0,0,9,13,0,12,16,16,7,6
8,15,0,0,11,0,3,8,1,13,0,16,13,1,5,15,9,0,0,14,12,15,0,13,1,0,3
3,13,0,0,0,0,0,14,6,0,16,0,0,0,15,8,0,0,0,13,11,2,3,16,13,1,6
12,16,0,0,15,0,3,6,1,3,0,16,9,1,14,16,6,0,0,16,8,15,0,13,1,0,3
5,12,2,0,5,0,7,6,0,13,13,11,1,0,14,2,0,0,0,14,3,11,0,14,3,0,8
3,12,0,0,10,0,4,16,3,12,13,0,9,6,0,5,8,0,0,15,8,13,0,9,0,0,0
11,15,0,0,1,0,0,9,16,0,11,0,9,5,11,11,13,0,0,16,16,15,4,0,15,7,4
12,16,1,0,3,0,7,11,1,13,0,16,15,3,1,14,11,0,0,14,0,16,0,10,0,0,3
6,15,0,0,15,0,0,2,0,15,2,14,15,2,16,16,10,0,0,2,15,0,0,0,0,0,7
0,11,0,0,3,0,0,10,14,1,16,0,13,9,8,16,8,3,0,3,7,3,0,0,0,0,4
4,14,0,0,15,0,7,9,0,12,6,0,6,7,0,4,8,0,0,12,16,16,0,8,0,0,0
0,4,0,0,9,0,0,15,9,0,15,0,0,0,0,0,0,0,0,9,15,13,0,16,10,0,6
0,9,4,0,6,0,0,9,12,15,11,15,5,0,16,0,0,0,0,11,8,16,0,13,0,0,8
7,11,0,0,16,0,0,0,3,6,2,16,8,1,16,16,10,0,0,8,13,0,0,0,0,0,7
7,14,0,0,2,0,1,14,16,0,16,9,0,0,9,0,0,0,0,4,10,13,1,16,16,3,1
4,13,5,0,12,0,0,8,15,0,10,16,15,2,13,16,7,0,0,0,7,16,0,7,0,0,5
0,4,12,0,13,0,2,15,16,16,0,0,14,6,0,15,1,0,0,0,0,3,0,0,0,0,9
2,16,0,0,15,0,4,14,3,14,15,0,6,8,0,6,8,0,0,14,16,11,0,2,0,0,0
1,13,0,0,10,0,3,15,10,12,9,0,8,7,0,8,7,0,0,13,7,10,0,3,0,0,0
9,15,0,0,15,0,2,14,4,14,7,15,14,6,1,7,9,0,0,6,0,6,0,16,6,0,9
0,2,1,0,13,0,0,9,15,6,16,8,14,12,16,16,10,0,0,0,0,10,0,4,0,0,4
0,3,0,0,9,0,0,3,16,10,13,1,16,3,13,16,2,0,0,0,2,2,0,0,0,0,4
0,4,0,0,10,0,0,11,15,4,16,4,16,3,14,16,2,0,0,0,0,6,0,2,0,0,4
0,0,0,0,14,0,0,3,15,3,13,0,13,7,13,16,3,0,0,0,1,7,0,1,0,0,4
7,14,0,0,16,0,0,15,12,6,6,16,4,0,16,11,0,0,0,15,11,16,0,12,6,0,8
12,16,2,0,6,0,6,15,0,0,16,8,0,0,12,6,0,0,0,4,6,12,0,0,0,0,5
4,9,0,0,12,0,3,16,5,0,16,7,0,0,15,1,0,0,0,13,10,6,0,0,0,0,5
11,9,1,0,14,0,7,16,0,12,1,15,5,0,10,0,0,0,0,12,16,0,0,0,0,0,7
5,10,0,0,16,0,11,16,4,15,12,11,14,0,5,9,0,0,0,10,16,16,0,9,12,1,2
11,16,1,0,13,0,10,12,0,16,16,15,16,8,4,16,6,0,0,7,10,15,0,6,0,0,9
5,12,0,0,13,0,2,15,4,16,0,13,12,0,11,13,2,0,0,8,11,14,0,12,3,0,3
5,10,0,0,11,0,7,14,0,15,6,10,12,0,2,6,0,0,0,4,16,16,2,8,8,1,2
7,15,0,0,14,0,0,12,16,4,12,16,2,0,16,2,0,0,0,14,16,14,0,8,0,0,1
5,12,0,0,16,0,0,15,16,6,14,16,4,0,16,9,0,0,0,8,16,15,0,4,0,0,1
14,16,0,0,15,0,6,16,7,14,16,0,14,4,3,10,6,0,0,16,9,15,0,9,0,0,0
0,0,0,0,15,0,0,0,4,3,0,15,3,0,14,16,1,1,0,10,14,16,0,9,0,0,4
1,12,0,0,6,0,2,16,5,0,16,0,0,0,11,3,0,0,0,11,16,7,5,16,13,1,6
7,11,0,0,12,0,5,16,13,8,15,8,15,6,0,8,8,0,0,13,9,13,0,9,0,0,5
14,14,5,0,12,0,4,16,11,1,16,16,9,0,0,16,2,0,0,6,9,14,0,2,0,0,5
0,2,0,0,15,0,0,2,14,0,13,2,6,0,2,14,0,4,1,8,10,7,0,6,0,0,4
8,16,0,0,11,0,0,0,0,13,7,15,5,0,14,14,4,0,0,4,14,0,0,0,0,0,7
4,12,0,0,16,0,0,10,16,3,12,16,3,0,16,2,0,0,0,8,16,6,0,4,0,0,1
9,16,0,0,12,0,4,16,0,16,8,2,16,0,0,13,0,0,0,4,11,10,0,9,13,0,2
9,15,0,0,16,0,0,14,11,16,7,16,7,0,16,0,0,0,0,16,14,4,0,1,0,0,8
12,16,0,0,13,0,0,3,14,14,0,14,2,0,7,5,0,0,0,6,5,16,0,15,3,0,3
0,10,0,0,9,0,0,8,12,0,10,1,0,0,16,15,3,0,0,6,14,9,0,15,4,0,6
0,13,0,0,6,0,0,15,13,5,16,4,16,9,5,16,2,0,0,0,11,2,0,0,0,0,4
6,13,1,0,9,0,6,9,0,16,15,15,15,8,5,10,8,0,0,9,4,15,0,2,0,0,9
0,5,0,0,15,0,0,10,16,2,16,0,13,10,6,16,6,0,0,0,4,11,0,11,0,0,4
0,8,0,0,9,0,0,13,10,0,15,8,1,0,11,10,0,0,0,8,11,16,0,7,0,0,6
8,3,2,0,7,0,1,16,1,14,11,12,1,0,16,0,0,0,0,10,5,0,0,0,0,0,8
9,16,0,0,11,0,0,0,2,16,0,16,6,0,3,13,2,0,0,4,2,12,0,16,11,0,3
0,5,1,0,6,0,5,16,2,9,14,14,16,1,8,10,0,0,0,0,5,0,0,0,0,0,9
14,16,0,0,12,0,1,2,1,11,1,13,1,0,10,9,0,0,0,5,0,12,0,13,1,0,3
1,11,3,0,5,0,6,16,8,15,16,16,16,7,6,14,1,0,0,0,9,0,0,0,0,0,9
1,16,0,0,16,0,0,7,16,3,10,16,3,0,16,0,0,0,0,11,16,0,0,9,0,0,1
9,16,2,0,5,0,16,14,10,16,8,16,13,0,13,1,0,0,0,12,10,0,0,0,0,0,9
5,14,0,0,8,0,3,9,0,4,14,13,0,0,14,0,0,0,0,10,7,6,0,1,0,0,8
2,16,0,0,13,0,0,0,6,10,0,16,3,0,15,12,0,0,0,16,5,7,0,16,12,2,8
2,13,0,0,15,1,15,9,0,2,13,13,0,0,16,0,0,0,0,4,12,11,0,8,0,0,8
2,13,0,0,13,0,0,13,15,0,16,0,0,0,15,2,0,0,0,11,12,16,0,15,0,0,6
1,16,0,0,16,0,0,6,16,0,6,14,0,0,16,0,0,0,0,6,16,0,0,0,0,0,1
1,13,0,0,11,0,0,13,15,0,16,0,0,0,5,10,3,0,0,13,11,8,7,16,12,2,6
9,13,0,0,9,0,6,14,1,7,13,16,12,3,16,0,0,0,0,14,2,4,0,0,0,0,8
3,11,1,0,4,0,0,15,12,16,6,16,13,1,15,13,1,0,0,16,5,15,0,6,0,0,8
4,11,0,0,0,0,0,15,4,0,16,7,2,0,12,14,4,0,0,16,9,16,0,8,0,0,6
0,7,0,0,11,0,0,0,12,4,5,2,16,5,7,16,0,0,0,2,8,9,0,2,0,0,4
12,14,0,0,15,0,6,11,1,15,14,13,16,8,0,12,8,0,0,13,2,13,0,9,0,0,9
12,11,0,0,16,0,10,11,1,15,14,15,15,8,4,14,2,0,0,11,9,8,0,0,0,0,9
4,15,0,0,16,0,7,16,3,15,16,0,4,8,3,6,8,0,0,13,16,16,0,9,0,0,0
0,8,0,0,5,0,0,8,12,16,15,6,14,0,10,16,7,0,0,2,7,0,0,0,0,0,4
4,8,0,0,9,0,7,13,0,16,14,15,12,3,11,14,0,0,0,0,8,0,0,0,0,0,9
8,16,0,0,16,0,5,5,7,0,0,14,9,0,8,15,7,0,0,15,5,15,0,6,0,0,3
4,11,1,0,5,0,8,13,0,16,15,11,16,5,2,13,0,0,0,1,13,0,0,0,0,0,9
10,14,15,1,8,0,0,0,0,14,0,11,11,1,5,2,0,0,0,7,14,0,0,0,0,0,7
5,12,0,0,11,0,0,16,5,14,14,16,3,0,16,4,0,0,0,16,7,16,0,11,1,0,8
0,6,0,0,8,0,3,15,9,0,15,0,0,0,4,3,0,0,0,7,14,11,0,15,8,0,6
2,12,0,0,11,0,5,12,0,11,14,13,1,0,16,0,0,0,0,8,7,6,0,4,0,0,8
2,12,0,0,1,0,2,15,1,0,13,0,0,0,10,5,0,0,0,15,11,11,0,12,3,0,6
0,6,0,0,7,0,7,15,3,0,16,8,0,0,5,7,0,0,0,0,5,16,0,9,0,0,5
0,2,8,0,16,0,3,15,16,16,0,16,16,6,0,16,4,0,0,0,4,16,0,16,1,0,1
6,11,0,0,11,0,0,4,16,0,5,0,0,0,10,0,0,0,0,7,12,0,0,0,0,0,8
10,16,0,0,16,0,0,0,0,13,0,14,16,3,0,15,12,0,0,0,2,16,0,7,0,0,3
9,15,0,0,10,0,9,13,8,0,8,9,0,0,14,0,0,0,0,9,14,15,0,5,2,0,2
7,13,8,0,16,0,0,1,4,8,0,16,9,1,0,15,10,0,0,0,5,16,0,7,0,0,3
5,10,0,0,16,0,0,0,1,8,0,16,2,0,5,14,2,0,0,1,10,15,0,2,0,0,3
0,6,0,0,11,0,0,8,15,0,16,0,6,6,16,15,12,0,0,0,1,10,0,2,0,0,4
0,8,0,0,10,0,1,14,15,0,16,0,0,0,16,16,6,0,0,0,3,10,0,3,0,0,4
0,13,0,0,4,0,1,14,11,0,16,6,16,5,14,14,1,0,0,0,15,0,0,0,0,0,4
3,13,16,3,13,0,0,11,16,4,4,16,15,1,2,16,1,0,0,0,5,7,0,0,0,0,5
7,16,0,0,16,0,1,6,4,7,0,15,2,0,14,0,0,0,0,10,16,16,0,7,0,0,2
5,14,0,0,14,0,0,6,9,0,0,8,0,0,15,0,0,0,0,11,16,15,0,7,0,0,2
9,16,0,0,15,0,0,5,2,2,2,16,3,0,16,16,8,0,0,9,12,0,0,0,0,0,7
9,16,0,0,16,0,0,0,0,11,1,16,3,0,14,13,0,0,0,1,4,15,0,3,0,0,3
5,14,0,0,14,0,0,7,16,16,13,16,12,0,16,2,0,0,0,15,16,4,0,1,0,0,8
2,15,0,0,16,0,0,3,16,5,4,16,0,0,16,0,0,0,0,11,16,0,0,1,0,0,1
4,14,0,0,1,0,6,15,1,0,12,0,0,0,10,14,0,0,0,16,16,16,0,8,1,0,6
13,16,0,0,15,0,0,15,3,9,7,9,11,0,0,11,0,0,0,7,9,3,0,16,16,8,2
3,14,0,0,15,0,2,16,5,16,14,4,16,1,0,15,1,0,0,14,11,16,0,4,0,0,0
0,2,0,0,16,0,0,0,11,11,8,16,11,0,16,10,0,0,0,0,4,9,0,10,0,0,1
11,16,0,0,14,0,0,0,0,10,0,13,9,5,16,15,8,0,0,1,16,0,0,0,0,0,7
1,12,12,0,4,0,0,0,0,8,0,4,12,8,12,16,8,0,0,0,6,0,0,0,0,0,7
4,13,0,0,1,0,4,13,0,6,14,9,14,2,15,1,0,0,0,8,12,2,0,2,0,0,8
8,16,0,0,6,0,0,16,5,16,9,16,16,11,6,10,12,0,0,13,5,11,0,16,6,0,9
2,10,6,0,8,0,4,16,0,0,16,15,2,0,8,6,0,0,0,0,6,4,0,0,0,0,5
3,14,0,0,4,0,5,12,0,9,9,0,5,8,0,3,8,0,0,15,3,9,0,9,0,0,0
5,15,10,0,8,0,4,16,16,3,15,13,13,1,0,16,4,0,0,0,3,9,0,1,0,0,5
0,2,14,0,13,0,2,15,7,15,15,7,16,5,16,16,10,0,0,0,3,1,0,0,0,0,4
4,14,0,0,8,0,8,16,0,11,14,0,6,6,0,3,9,0,0,12,9,13,0,10,1,0,0
5,13,0,0,8,0,3,16,4,13,14,0,8,9,0,4,8,0,0,15,13,11,0,0,0,0,0
7,11,0,0,15,0,3,16,5,10,16,0,7,7,0,6,8,0,0,15,4,14,0,2,0,0,0
2,12,0,0,11,0,1,16,7,13,16,0,9,5,2,2,10,0,0,10,7,16,0,6,0,0,0
15,16,0,0,16,0,2,6,4,3,0,16,4,0,8,1,0,0,0,15,16,12,0,12,12,0,2
7,16,5,0,8,0,1,16,2,5,15,15,15,3,5,12,4,0,0,6,8,8,0,0,0,0,5
0,8,0,0,16,0,1,10,16,5,16,16,3,0,16,0,0,0,0,4,16,4,0,11,0,0,1
3,14,0,0,13,0,7,16,2,15,16,0,9,7,0,9,8,0,0,13,11,16,0,9,1,0,0
4,12,0,0,12,0,7,10,4,14,13,11,14,0,0,13,2,0,0,4,2,7,0,11,2,0,9
0,5,0,0,11,0,1,13,14,2,16,0,12,15,0,16,6,0,0,8,11,8,0,3,0,0,4
6,15,1,0,14,0,0,0,0,14,4,16,13,2,16,16,10,0,0,3,16,0,0,0,0,0,7
15,16,0,0,16,0,3,3,1,8,0,16,4,0,14,0,0,0,0,16,15,11,0,16,8,0,2
15,15,0,0,16,0,1,5,0,16,0,16,13,1,12,1,0,0,0,0,4,8,0,6,0,0,3
7,12,0,0,13,0,0,0,0,10,0,16,14,7,16,9,2,0,0,5,14,0,0,0,0,0,7
6,14,0,0,0,0,5,12,0,16,14,15,5,0,12,0,0,0,0,16,16,0,0,0,0,0,8
0,7,0,0,16,0,2,15,16,1,16,12,0,0,16,0,0,0,0,0,14,3,0,12,0,0,1
0,4,0,0,8,0,0,7,14,0,16,0,11,4,0,15,2,0,0,8,6,8,0,0,0,0,4
0,4,0,0,15,0,0,1,14,16,14,16,16,0,10,16,0,0,0,0,5,16,0,15,4,0,1
2,14,2,0,13,0,0,0,0,14,2,14,12,2,16,16,9,0,0,3,15,0,0,0,0,0,7
0,9,0,0,5,0,0,9,11,2,16,9,11,0,4,13,3,0,0,4,10,2,0,0,0,0,4
0,5,16,1,8,0,0,1,0,11,0,4,14,8,16,16,8,0,0,0,1,3,0,0,0,0,7
2,11,0,0,9,0,0,12,5,7,9,10,0,0,15,1,0,0,0,13,7,13,0,13,2,0,8
1,12,0,0,1,0,0,2,11,15,0,11,9,0,6,6,0,0,0,12,2,1,0,8,15,1,8
16,9,0,0,2,0,8,9,16,0,4,7,0,0,14,0,0,0,0,14,16,13,1,8,11,2,2
0,10,3,0,10,0,0,3,1,14,0,8,8,0,8,15,8,0,0,2,9,0,0,0,0,0,7
14,8,0,0,4,0,1,10,14,0,0,13,0,0,8,0,0,0,0,11,16,16,2,1,3,1,2
7,16,0,0,12,0,2,15,1,16,13,16,16,5,1,11,8,0,0,14,9,16,0,9,0,0,9
9,13,0,0,12,0,0,16,0,2,3,16,2,0,2,3,0,0,0,13,16,8,0,12,13,0,2
1,7,0,0,16,0,5,13,16,9,14,16,8,0,16,7,0,0,0,0,8,16,0,13,5,0,1
15,16,0,0,16,0,9,9,2,2,0,16,0,0,14,0,0,0,0,16,14,12,0,16,7,0,2
5,15,0,0,7,0,6,12,1,14,0,12,2,0,14,3,0,0,0,0,0,14,0,14,4,0,3
0,8,0,0,12,0,0,12,12,0,15,0,0,0,3,14,2,0,0,9,16,10,1,15,8,0,6
2,12,0,0,11,0,8,16,8,16,5,6,13,0,0,8,0,0,0,1,16,16,0,6,13,0,2
7,15,0,0,16,0,0,3,16,11,5,16,13,0,16,14,0,0,0,7,16,15,0,15,7,0,1
8,14,0,0,8,0,7,12,0,0,16,4,0,0,9,0,0,0,0,6,9,0,0,0,0,0,5
16,16,0,0,15,0,0,0,4,5,12,16,9,5,16,11,5,0,0,16,6,0,0,0,0,0,7
1,14,0,0,8,0,3,16,1,10,11,0,6,6,0,3,9,0,0,12,5,12,0,7,0,0,0
1,16,0,0,15,0,7,16,16,0,16,12,0,0,10,0,0,0,0,0,10,0,0,0,0,0,1
6,10,1,0,6,0,5,16,0,5,14,0,6,8,0,12,2,0,0,15,8,4,0,0,0,0,0
4,12,0,0,9,0,7,16,0,16,15,4,16,8,12,14,8,0,0,2,3,7,0,16,4,0,9
2,11,0,0,16,0,0,11,16,8,15,16,10,0,16,8,0,0,0,5,16,13,0,10,0,0,1
5,9,9,0,16,0,0,3,3,16,0,12,16,10,16,13,5,0,0,3,16,0,0,0,0,0,7
12,7,0,0,3,0,7,11,8,0,14,8,0,0,14,0,0,0,0,15,16,13,0,16,7,0,2
0,7,12,5,1,0,1,16,5,14,16,13,16,10,15,13,5,0,0,0,9,0,0,0,0,0,4
1,11,0,0,11,0,0,11,5,16,0,7,14,2,7,7,0,0,0,0,12,15,0,7,0,0,3
9,0,0,0,8,0,4,16,16,15,16,12,15,8,0,7,8,0,0,15,16,16,0,7,0,0,0
0,8,13,8,13,0,0,13,6,12,14,5,10,0,10,14,2,0,0,0,14,0,0,0,0,0,7
13,16,0,0,16,0,0,9,11,7,0,14,0,0,11,12,1,0,0,11,6,8,3,16,16,2,3
0,10,0,0,6,0,0,7,9,13,1,15,6,0,15,9,0,0,0,13,5,0,0,14,12,0,8
12,12,9,0,4,0,0,0,4,16,16,16,11,4,9,0,0,0,0,11,7,0,0,0,0,0,7
0,7,0,0,4,0,0,14,10,6,16,4,16,8,16,16,6,0,0,0,3,6,0,0,0,0,4
0,5,0,0,7,0,0,9,14,6,16,4,12,8,10,16,4,0,0,0,1,3,0,0,0,0,4
15,15,0,0,10,0,8,10,8,0,1,15,0,0,6,0,0,0,0,11,16,16,0,10,7,0,2
3,14,11,0,8,0,0,0,0,15,2,9,16,1,16,16,6,0,0,1,16,0,0,0,0,0,7
11,13,0,0,16,0,7,16,1,15,13,13,14,0,16,5,0,0,0,16,6,12,0,5,0,0,8
2,8,0,0,10,0,1,16,9,0,16,14,3,0,10,14,0,0,0,7,10,15,0,12,0,0,6
0,2,0,0,10,0,0,0,12,8,4,6,13,0,8,10,0,0,0,10,11,8,0,0,0,0,4
16,16,9,0,14,0,0,0,2,13,0,16,5,0,16,0,0,0,0,16,15,0,0,0,0,0,7
9,12,0,0,9,0,0,12,8,0,15,14,1,0,8,10,0,0,0,7,13,8,0,0,0,0,5
