@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6,9,17,21,27-28,32-33,35-37,43,50,52-53,56,62-63,65'

@attribute Atr-0 numeric
@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-5 numeric
@attribute Atr-8 numeric
@attribute Atr-16 numeric
@attribute Atr-20 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-31 numeric
@attribute Atr-32 numeric
@attribute Atr-34 numeric
@attribute Atr-35 numeric
@attribute Atr-36 numeric
@attribute Atr-42 numeric
@attribute Atr-49 numeric
@attribute Atr-51 numeric
@attribute Atr-52 numeric
@attribute Atr-55 numeric
@attribute Atr-61 numeric
@attribute Atr-62 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,11,7,0,0,0,0,16,4,0,0,16,16,16,16,0,14,11,0,2,0,6
0,11,16,0,0,0,13,15,9,0,0,1,7,7,0,1,5,4,0,15,6,9
0,2,12,5,0,0,0,10,0,0,0,14,0,0,15,0,13,5,0,8,0,0
0,0,9,11,0,0,0,16,3,0,0,16,0,0,16,0,16,14,0,6,0,0
0,1,12,2,0,0,11,16,16,0,0,10,16,15,0,0,13,16,0,9,0,1
0,0,7,2,0,0,4,15,16,0,0,8,8,13,0,0,4,16,0,0,0,4
0,15,16,2,0,0,0,12,0,0,0,12,0,0,12,6,4,11,0,3,0,0
0,1,11,16,0,0,0,1,4,0,0,10,16,16,3,0,9,15,0,0,0,7
0,7,15,0,0,0,0,13,0,0,0,11,7,13,16,0,6,0,0,10,1,6
0,9,13,6,0,0,8,4,16,0,0,0,4,12,0,0,7,12,0,1,0,3
0,9,15,0,0,0,0,11,3,0,0,11,13,14,16,3,10,4,0,13,1,6
0,0,9,0,0,0,0,16,6,0,0,16,16,12,16,0,14,3,0,16,10,6
0,7,15,16,0,0,7,14,12,0,0,10,16,16,13,1,5,8,0,7,0,8
0,8,13,0,0,0,11,4,2,0,0,0,0,12,0,0,16,13,0,16,16,2
0,5,12,3,0,0,3,14,11,0,0,2,7,5,3,5,5,8,0,4,0,9
0,0,12,0,0,0,1,16,16,0,0,16,10,5,16,0,9,4,0,16,7,6
0,10,16,2,0,0,13,1,13,0,0,2,12,11,5,3,12,8,0,11,1,3
0,0,7,6,0,0,0,14,13,0,0,16,14,12,15,0,13,7,0,12,13,6
0,9,16,0,0,0,13,0,10,0,0,0,6,13,0,3,1,0,0,15,3,3
0,14,12,0,0,0,16,12,0,0,0,0,0,15,0,2,16,16,0,16,16,2
0,4,16,16,0,0,0,2,8,0,0,4,14,16,0,0,14,10,0,0,0,7
0,7,14,0,0,0,10,11,13,0,0,0,3,16,0,0,16,16,7,16,16,1
0,15,10,0,0,0,12,5,7,0,0,0,10,13,2,5,16,16,0,14,16,2
0,2,10,1,0,0,8,16,16,0,0,8,16,16,11,0,13,7,0,10,2,8
0,1,10,0,0,0,0,16,12,0,0,11,16,13,2,0,15,4,0,4,0,8
0,13,16,11,0,0,10,0,3,0,0,0,10,13,0,1,6,4,0,12,0,3
0,4,8,13,0,0,0,5,12,0,0,7,13,16,0,0,16,9,0,0,0,7
0,11,15,2,0,0,13,0,9,0,0,0,5,9,0,4,8,11,0,4,0,3
0,7,13,12,0,0,6,16,16,0,0,8,1,12,0,0,5,16,0,0,0,5
0,6,13,7,0,0,0,16,4,0,0,13,0,0,16,2,6,9,0,11,0,0
0,1,9,1,0,0,16,7,16,0,0,2,16,16,1,0,16,16,0,9,2,1
0,8,15,0,0,0,16,11,2,0,0,0,9,14,1,0,16,16,0,8,9,2
0,7,16,1,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,16,12,9
0,3,8,9,0,0,0,15,0,0,0,12,0,0,12,0,11,14,0,0,0,0
0,7,15,6,0,0,13,10,16,0,0,14,12,6,12,0,1,6,0,5,0,8
0,15,16,16,0,0,14,16,13,0,0,12,16,13,9,2,7,0,0,0,0,7
0,8,16,2,0,0,3,14,10,0,0,8,12,11,0,0,4,0,0,15,1,9
0,6,12,4,0,0,16,0,15,0,0,0,16,16,5,0,16,16,0,2,0,1
0,13,16,13,0,0,15,0,0,0,0,0,0,0,3,7,2,4,0,7,0,5
0,4,12,0,0,0,0,12,0,0,0,11,0,0,12,3,7,5,0,8,0,0
0,3,14,0,0,0,0,16,10,0,0,16,15,13,16,0,11,0,0,16,7,6
0,12,13,16,0,0,8,12,6,0,0,0,0,0,1,6,0,3,0,5,0,5
0,0,4,2,0,0,4,12,9,1,0,13,0,0,13,14,12,16,0,0,0,4
0,3,16,6,0,0,6,16,16,0,0,4,8,5,0,0,10,5,0,12,0,9
0,0,8,5,0,0,0,13,0,0,0,7,0,0,12,0,10,1,0,14,3,0
0,14,16,16,0,0,7,2,7,0,0,12,16,14,1,0,16,0,0,0,0,7
0,7,15,8,0,0,7,14,16,0,0,6,16,16,9,0,12,11,0,7,0,8
0,10,12,12,0,0,0,7,16,0,0,1,12,15,11,8,6,15,0,1,0,5
0,5,13,0,0,0,16,0,3,0,0,0,9,16,1,0,16,13,0,16,16,2
0,0,4,5,0,0,2,16,16,0,0,16,16,16,2,0,6,16,0,5,0,4
0,0,7,2,0,0,1,16,8,0,0,16,11,12,16,0,15,8,1,16,13,6
0,1,11,2,0,0,3,16,1,0,0,12,0,0,14,0,16,16,0,13,2,0
0,2,11,16,0,0,15,12,16,0,0,8,16,11,16,4,6,14,0,6,0,8
0,0,8,10,0,0,16,3,10,0,0,0,0,2,0,0,1,11,0,2,0,9
0,1,10,0,0,0,0,16,1,0,0,16,16,16,14,0,15,9,0,13,3,6
0,0,1,14,0,0,16,15,16,0,0,15,7,16,2,0,2,16,0,16,4,1
0,0,9,0,0,0,0,16,2,0,0,16,16,16,16,0,15,9,0,16,3,6
0,5,9,13,0,0,0,10,15,0,0,3,12,8,0,0,9,14,0,1,0,5
0,0,9,4,0,0,0,16,16,0,0,16,2,5,14,0,12,0,0,14,2,6
0,0,4,11,0,0,16,14,13,0,0,0,8,16,0,0,4,16,0,8,0,1
0,10,12,11,0,0,0,16,6,0,0,12,13,15,0,0,5,4,0,7,0,5
0,0,13,16,0,0,0,12,13,0,0,14,10,16,0,0,13,10,0,0,0,7
0,10,16,0,0,0,16,0,2,0,0,0,6,10,1,1,16,13,0,11,11,2
0,15,12,0,0,0,16,0,15,0,0,0,12,14,0,0,8,6,0,13,7,3
0,9,16,1,0,0,8,16,15,0,0,4,8,7,0,0,6,9,0,6,0,9
0,16,16,16,0,0,10,0,3,0,0,0,7,16,3,0,16,2,0,0,0,7
0,4,14,0,0,0,5,5,4,0,0,0,0,14,0,0,15,16,3,12,12,2
0,0,11,0,0,0,6,9,11,0,0,15,6,12,16,5,13,16,0,0,0,4
0,7,11,7,0,0,5,10,16,0,0,7,15,16,16,3,6,9,0,6,0,8
0,0,9,14,0,0,1,3,4,0,0,13,16,16,0,0,14,9,0,0,0,7
0,13,14,0,0,0,13,2,2,0,0,0,9,12,8,0,16,16,0,11,7,2
0,12,10,0,0,0,10,5,10,0,0,0,6,8,0,0,1,4,0,15,5,9
0,10,16,6,0,0,5,3,16,0,0,12,16,16,16,7,8,7,0,11,1,8
0,7,12,1,0,0,16,7,16,0,0,5,16,16,7,1,16,16,0,8,0,1
0,4,6,14,0,0,3,16,0,0,0,16,0,0,15,0,13,15,0,4,0,0
0,9,12,0,0,0,16,12,16,0,0,12,16,16,13,0,16,16,0,4,0,1
0,0,8,1,0,0,13,9,16,0,0,14,11,4,16,11,14,16,0,5,0,4
0,0,7,7,0,0,9,0,7,0,0,0,2,8,0,0,12,9,0,5,0,3
0,7,16,5,0,0,0,14,0,0,0,12,0,3,16,1,6,16,0,0,0,0
0,15,14,1,0,0,7,13,13,0,0,6,16,5,1,0,16,10,0,0,0,5
0,8,16,5,0,0,0,12,0,0,0,11,0,0,12,1,2,14,0,0,0,0
0,14,16,1,0,0,12,0,4,0,0,1,15,10,11,4,8,1,0,16,8,2
0,8,9,11,0,0,8,14,11,0,0,11,16,7,14,2,1,8,0,5,0,8
0,11,16,5,0,0,14,7,9,0,0,15,16,16,1,0,16,1,0,0,0,7
0,6,15,13,0,0,4,0,2,0,0,9,16,16,10,0,11,12,0,0,0,7
0,9,13,9,0,0,7,0,10,0,0,8,16,12,14,0,1,12,0,1,0,8
0,2,15,12,0,0,3,16,15,0,0,7,9,16,0,0,14,10,0,0,0,9
0,3,16,1,0,0,10,14,16,0,0,13,16,4,13,0,16,5,0,0,0,1
0,14,16,12,0,0,0,16,7,0,0,15,11,0,9,1,16,4,0,0,0,5
0,2,13,0,0,0,0,16,16,0,0,2,7,15,0,0,13,5,0,0,0,4
0,1,14,0,0,0,0,16,11,0,0,11,14,16,0,0,15,12,0,0,0,4
0,10,16,9,0,0,13,5,13,0,0,11,16,11,1,0,10,0,0,0,0,7
0,1,14,0,0,0,0,14,10,0,0,16,10,14,13,0,10,0,5,16,11,6
0,15,13,0,0,0,4,6,14,0,0,14,7,0,13,13,10,11,0,10,3,2
0,3,12,10,0,0,9,15,15,0,0,0,0,15,0,0,11,6,0,0,0,9
0,4,12,2,0,0,15,1,6,0,0,0,15,7,9,0,9,4,2,9,2,2
0,2,15,6,0,0,0,15,4,0,0,13,0,0,12,0,9,12,0,0,0,0
0,0,10,0,0,0,0,13,12,0,0,14,16,14,12,0,16,4,2,14,9,6
0,5,14,10,0,0,7,10,16,0,0,6,16,16,14,0,12,14,0,2,0,8
0,3,11,0,0,0,0,16,5,0,0,16,16,16,16,0,7,3,0,11,3,6
0,5,14,6,0,0,9,0,6,0,0,0,2,11,0,0,8,7,0,6,0,3
0,0,1,5,0,0,2,15,8,0,0,16,16,16,8,0,0,14,0,3,0,4
0,10,16,3,0,0,9,5,14,0,0,7,16,16,0,1,8,13,0,7,0,3
0,2,11,1,0,0,0,15,0,0,0,16,10,12,16,0,12,7,2,14,6,6
0,4,12,3,0,0,2,16,0,0,0,16,0,0,15,0,12,12,0,9,0,0
0,4,14,9,0,0,0,9,0,0,0,12,10,15,16,0,15,14,0,11,2,6
0,0,6,1,0,0,0,16,16,0,0,12,15,16,0,0,3,16,0,1,0,4
0,7,12,7,0,0,16,12,16,0,0,12,16,16,13,0,16,16,0,3,0,1
0,4,16,13,0,0,0,16,16,0,0,0,2,10,0,0,4,14,0,0,0,5
0,0,16,5,0,0,16,12,16,0,0,14,16,10,14,0,16,12,0,7,0,1
0,0,10,0,0,0,1,10,11,0,0,13,12,8,13,0,16,13,4,12,5,6
0,11,16,13,0,0,0,16,16,0,0,8,10,16,1,0,12,16,0,0,0,5
0,0,0,16,0,0,16,12,8,0,0,0,0,12,0,0,0,16,0,16,2,1
0,0,9,10,0,0,10,16,14,0,0,0,0,5,0,0,7,12,0,0,0,9
0,1,11,16,0,0,15,13,16,0,0,0,0,1,0,0,9,15,0,0,0,9
0,7,15,5,0,0,12,5,16,0,0,15,16,16,14,3,9,12,0,8,1,8
0,6,15,16,0,0,3,16,16,0,0,2,1,14,0,0,13,11,0,3,0,5
0,5,16,0,0,0,0,16,12,0,0,13,16,16,1,0,16,11,0,0,0,4
0,3,10,4,0,0,16,1,11,0,0,0,0,0,0,0,0,6,0,10,0,9
0,0,5,0,0,0,5,9,16,0,0,11,10,0,11,0,16,16,2,15,11,6
0,0,10,10,0,0,1,16,5,0,0,16,8,0,16,1,16,16,0,7,0,6
0,9,16,15,0,0,0,14,3,0,0,10,15,0,0,0,16,7,0,0,0,5
0,3,12,0,0,0,1,16,16,0,0,11,14,16,0,0,16,12,0,0,0,4
0,7,7,4,0,0,8,15,7,0,0,12,0,0,12,4,11,15,0,0,0,0
0,0,8,4,0,0,3,8,0,0,0,11,0,0,15,0,16,13,0,16,4,0
0,8,16,1,0,0,11,4,16,0,0,1,9,15,2,1,14,5,0,10,1,3
0,3,14,8,0,0,16,6,5,0,0,0,0,12,0,0,14,8,0,0,0,9
0,2,11,16,0,0,16,6,11,0,0,0,0,6,0,0,13,13,0,0,0,9
0,2,15,2,0,0,10,7,16,0,0,13,16,10,8,0,16,10,0,0,0,1
0,10,16,0,0,0,15,0,10,0,0,0,14,9,6,0,15,16,0,12,5,2
0,7,16,0,0,0,15,0,13,0,0,2,16,3,6,0,16,16,0,9,0,2
0,4,15,5,0,0,16,13,16,0,0,14,16,16,10,0,16,16,0,3,0,1
0,15,16,0,0,0,14,0,0,0,0,0,2,16,0,1,16,12,0,16,14,2
0,11,16,0,0,0,10,0,1,0,0,0,0,6,0,0,9,15,0,16,16,2
0,8,16,16,0,0,0,0,0,0,0,8,8,10,12,0,15,7,0,0,0,7
0,10,14,16,0,0,6,16,16,0,0,7,0,5,0,0,4,14,0,1,0,5
0,3,12,0,0,0,2,9,0,0,0,8,0,0,12,1,5,3,0,9,1,0
0,7,14,2,0,0,8,2,16,0,0,1,8,13,0,2,2,3,0,10,1,3
0,8,13,2,0,0,12,14,16,0,0,8,15,9,12,0,8,4,0,10,0,8
0,4,16,16,0,0,9,16,14,0,0,4,0,0,0,0,6,14,0,0,0,5
0,0,2,13,0,0,0,11,3,0,0,15,11,5,0,0,1,14,0,1,0,9
0,3,11,15,0,0,0,12,10,0,0,8,5,16,0,0,13,6,0,0,0,7
0,8,14,0,0,0,8,0,0,0,0,0,1,15,0,0,16,13,0,9,4,2
0,0,1,2,0,0,6,11,13,0,0,16,9,10,16,2,4,16,0,9,0,4
0,4,15,7,0,0,1,14,14,0,0,1,15,16,7,0,9,3,0,11,1,8
0,4,10,15,0,0,0,1,8,0,0,5,16,16,0,0,12,14,0,0,0,7
0,5,12,3,0,0,16,11,16,0,0,11,16,16,13,0,16,15,0,2,0,1
0,11,16,8,0,0,0,16,8,0,0,15,16,15,2,0,8,15,0,5,0,5
0,0,5,0,0,0,0,16,4,0,0,14,0,7,16,2,12,15,0,0,0,4
0,9,15,13,0,0,12,0,2,0,0,12,16,16,14,0,16,2,0,0,0,7
0,0,4,0,0,0,0,15,2,0,0,12,7,10,15,0,16,8,0,13,6,6
0,12,11,0,0,0,11,0,11,0,0,3,16,1,15,5,16,16,0,6,3,2
0,10,7,3,0,0,0,8,0,0,0,8,0,0,9,5,12,15,0,1,0,0
0,7,16,6,0,0,13,0,3,0,0,9,16,16,5,0,15,6,0,0,0,7
0,10,16,12,0,0,5,10,15,0,0,5,9,16,0,1,2,5,0,5,0,3
0,0,11,1,0,0,0,16,7,0,0,16,5,4,15,0,16,16,0,16,9,6
0,1,13,5,0,0,0,15,1,0,0,13,3,16,15,0,12,8,0,10,0,6
0,5,13,0,0,0,0,15,0,0,0,14,0,4,16,3,16,10,0,12,0,6
0,0,9,0,0,0,3,14,1,0,0,16,12,16,15,0,5,14,0,0,0,4
0,14,14,0,0,0,14,7,8,0,0,0,11,14,0,2,16,13,0,16,15,2
0,12,15,0,0,0,14,2,16,0,0,3,16,16,1,0,11,9,0,7,1,3
0,10,15,0,0,0,16,0,11,0,0,0,7,12,0,3,12,10,0,6,0,3
0,7,10,10,0,0,0,9,0,0,0,12,0,0,11,0,2,2,0,2,0,0
0,16,15,0,0,0,12,1,7,0,0,1,14,8,5,1,15,12,0,14,16,2
0,0,2,1,0,0,0,16,2,0,0,15,12,12,12,0,1,14,0,0,0,4
0,6,9,16,0,0,0,15,3,0,0,16,14,12,1,12,0,1,0,7,0,5
0,15,16,1,0,0,14,1,1,0,0,0,10,15,5,3,16,9,0,16,12,2
0,0,7,0,0,0,3,9,12,0,0,15,7,16,16,8,14,16,0,0,0,4
0,0,0,15,0,0,13,16,16,0,0,3,0,16,0,0,0,9,0,16,8,1
0,4,15,8,0,0,3,7,15,0,0,5,16,11,13,0,11,8,0,3,0,8
0,6,15,4,0,0,2,12,14,0,0,0,0,3,0,0,8,3,0,16,12,5
0,7,14,4,0,0,3,4,13,0,0,8,16,8,15,2,5,9,0,10,0,8
0,5,13,1,0,0,13,16,14,0,0,12,14,9,0,0,4,8,0,9,0,9
0,10,14,0,0,0,16,5,16,0,0,8,14,13,0,0,5,11,0,5,0,3
0,9,16,13,0,0,5,2,8,0,0,2,13,15,0,0,16,1,0,0,0,7
0,5,15,2,0,0,16,13,16,0,0,12,16,16,10,0,16,16,0,15,3,1
0,5,15,6,0,0,16,7,16,0,0,10,16,4,15,0,5,15,0,6,0,8
0,5,12,7,0,0,4,11,15,0,0,0,0,0,0,1,1,0,0,9,1,9
0,1,15,8,0,0,16,0,15,0,0,6,16,15,13,0,10,5,0,12,0,8
0,1,9,8,0,0,14,5,16,0,0,10,15,5,13,0,1,8,0,3,0,8
0,7,13,1,0,0,5,15,8,0,0,7,9,7,0,0,0,0,0,14,3,9
0,6,14,0,0,0,2,9,0,0,0,12,0,0,15,0,6,4,0,12,1,0
0,14,9,0,0,0,0,12,8,0,0,16,4,0,16,8,16,16,0,13,7,4
0,5,15,1,0,0,0,16,0,0,0,12,2,0,10,0,2,1,0,8,0,0
0,8,14,2,0,0,7,0,12,0,0,0,8,15,0,0,2,7,0,4,0,3
0,8,15,3,0,0,10,0,0,0,0,0,0,7,0,0,6,11,0,5,0,3
0,4,13,0,0,0,12,14,9,0,0,12,16,13,5,0,14,12,0,8,2,8
0,3,12,15,0,0,13,1,14,0,0,3,16,14,1,0,13,14,0,5,0,3
0,2,7,8,0,0,0,13,8,0,0,14,16,16,3,0,9,10,0,4,0,5
0,4,15,14,0,0,0,12,0,0,0,12,0,0,16,0,14,8,0,11,1,0
0,11,12,12,0,0,0,13,1,0,0,16,15,11,4,0,5,5,0,8,0,5
0,4,10,3,0,0,7,14,12,0,0,15,15,8,13,0,3,1,0,14,0,8
0,9,16,1,0,0,10,15,12,0,0,5,12,13,0,0,6,11,0,3,0,9
0,2,14,0,0,0,0,16,12,0,0,16,16,16,16,0,16,11,0,11,2,6
0,0,7,3,0,0,2,15,7,0,0,16,16,16,8,0,3,16,0,0,0,4
0,6,12,9,0,0,16,14,16,0,0,12,16,16,16,1,16,15,0,0,0,1
0,1,11,4,0,0,10,15,14,0,0,6,16,15,8,0,16,10,0,12,1,8
0,6,12,2,0,0,9,3,9,0,0,4,12,12,0,0,8,6,1,15,4,3
0,0,6,0,0,0,2,9,8,0,0,14,2,8,16,2,12,16,0,2,0,4
0,0,11,4,0,0,16,8,13,0,0,0,8,16,0,0,10,16,0,12,5,1
0,13,14,0,0,0,16,2,3,0,0,0,5,11,2,0,16,14,0,12,15,2
0,4,15,0,0,0,0,13,0,0,0,15,8,9,16,0,8,2,0,6,0,6
0,0,14,0,0,0,0,16,3,0,0,12,8,16,16,0,12,4,0,16,6,6
0,1,12,0,0,0,0,13,10,0,0,16,16,16,16,0,13,2,0,14,3,6
0,2,9,12,0,0,8,0,4,0,0,0,0,4,0,0,12,15,0,7,0,3
0,2,14,2,0,0,3,13,2,0,0,14,0,0,16,0,12,12,0,2,0,0
0,11,16,4,0,0,12,1,7,0,0,10,16,16,0,0,15,1,0,0,0,7
0,12,16,16,0,0,6,0,7,0,0,0,10,14,0,0,2,13,0,3,0,3
0,13,15,6,0,0,0,15,9,0,0,7,16,1,3,0,16,5,0,0,0,5
0,0,8,13,0,0,0,16,13,0,0,9,8,11,0,0,6,16,0,0,0,9
0,0,7,1,0,0,0,14,4,0,0,15,1,0,11,0,16,13,3,13,9,6
0,3,12,0,0,0,0,16,2,0,0,15,10,0,12,0,2,6,0,7,0,0
0,13,16,16,0,0,10,0,6,0,0,0,14,11,8,1,12,0,0,0,0,7
0,8,15,11,0,1,0,14,1,0,0,14,10,0,4,0,14,8,0,0,0,5
0,8,13,6,0,0,2,16,16,0,0,3,1,2,0,0,8,8,0,5,0,5
0,7,16,1,0,0,10,15,16,0,0,0,0,0,0,0,8,8,0,11,0,9
0,3,10,7,0,0,10,14,16,0,0,6,16,6,12,0,8,16,0,3,0,8
0,0,0,15,0,0,16,16,16,0,0,7,4,12,0,0,0,9,0,16,5,1
0,10,16,15,0,0,15,8,16,0,0,6,16,10,4,0,16,1,0,0,0,7
0,9,15,0,0,0,15,0,0,0,0,0,5,13,4,0,16,12,0,9,2,2
0,9,14,0,0,0,0,11,0,0,0,12,13,16,16,3,11,9,0,8,0,6
0,6,14,0,0,0,16,6,16,0,0,13,10,10,16,1,2,3,0,6,0,8
0,0,9,0,0,0,2,16,8,0,0,16,12,15,14,0,3,16,0,4,0,4
0,10,15,12,0,0,0,15,16,0,0,0,8,16,0,0,10,15,0,0,0,5
0,0,11,0,0,0,0,15,2,0,0,16,16,16,8,0,8,10,0,0,0,4
0,12,16,2,0,0,14,8,8,0,0,0,0,7,0,0,12,5,0,16,6,9
0,0,8,11,0,0,16,8,16,0,0,5,16,16,9,0,16,16,0,5,0,1
0,4,15,0,0,0,8,14,11,0,0,13,16,4,8,0,16,16,0,5,0,8
0,4,15,2,0,0,16,7,16,0,0,9,16,7,12,0,16,4,0,0,0,1
0,7,15,3,0,0,0,16,8,0,0,16,5,0,16,0,16,16,0,1,0,0
0,3,10,14,0,0,14,7,16,0,0,2,9,13,0,0,7,15,0,0,0,3
0,2,13,1,0,0,0,15,0,0,0,16,0,0,14,0,15,14,0,5,0,0
0,5,16,0,0,0,0,16,3,0,0,16,15,16,16,8,12,2,0,15,1,6
0,6,15,4,0,0,13,16,16,0,0,15,7,0,12,0,4,9,0,2,0,8
0,4,14,2,0,0,0,16,0,0,0,14,0,0,11,0,15,8,0,10,0,0
0,5,15,0,0,0,0,12,4,0,0,16,16,16,16,0,12,8,0,8,1,6
0,4,14,0,0,0,0,16,16,0,0,16,5,0,14,0,9,4,0,9,2,6
0,7,16,0,0,0,0,16,4,0,0,16,16,16,16,0,8,4,2,14,6,6
0,10,13,1,0,0,12,3,11,0,0,12,16,16,0,0,7,9,0,3,0,3
0,9,13,12,0,0,11,0,9,0,0,0,1,10,0,0,9,16,0,0,0,3
0,7,13,0,0,0,0,6,16,0,0,14,14,13,16,1,4,4,0,10,0,8
0,9,16,16,0,0,0,3,4,0,0,16,16,16,3,0,16,8,0,0,0,7
0,8,16,7,0,0,14,8,9,0,0,0,0,1,0,0,1,5,0,11,0,9
0,8,15,0,0,0,14,1,3,0,0,0,10,7,5,0,16,12,0,13,3,2
0,3,14,1,0,0,1,16,2,0,0,13,1,0,13,0,6,7,0,4,0,0
0,0,6,0,0,0,4,9,9,0,0,13,0,4,16,8,9,14,0,0,0,4
0,13,16,3,0,0,11,0,16,0,0,0,0,9,1,5,4,7,0,5,0,3
0,0,1,4,0,0,5,5,16,0,0,16,16,13,9,0,15,8,3,13,10,6
0,5,13,0,0,0,5,9,0,0,0,8,0,0,10,0,10,10,0,5,0,0
0,7,12,10,0,0,8,0,5,0,0,2,15,11,13,1,11,6,0,12,6,2
0,2,7,12,0,0,5,0,2,0,0,0,2,15,0,0,5,16,0,2,0,3
0,8,14,8,0,0,7,0,0,0,0,0,9,13,7,0,16,8,0,8,3,2
0,7,16,10,0,0,16,0,8,0,0,4,16,9,13,1,15,12,0,7,1,2
0,8,12,4,0,0,16,1,13,0,0,0,5,16,0,0,7,16,0,0,0,3
0,1,8,16,0,0,0,1,7,0,0,8,16,16,1,0,8,16,0,0,0,7
0,16,9,0,0,0,4,2,16,0,0,0,16,4,3,5,16,13,0,16,12,2
0,0,13,16,0,0,0,0,2,0,0,3,16,16,0,0,8,12,0,0,0,7
0,4,16,0,0,0,16,12,7,0,0,16,15,9,4,0,6,6,0,13,1,9
0,10,13,1,0,0,2,14,8,0,0,2,4,4,0,6,2,6,0,5,0,9
