@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
10,3.5,0.311,109,1
10,26.1,0.183,477,1
10,3.6,0.356,128,1
9,9.222,0.333,249,1
9,7.889,0.294,188,1
7,2.714,0.361,48,1
9,30.889,0.176,440,1
10,3.1,0.281,87,1
9,3.222,0.234,61,1
9,5.667,0.296,136,1
7,6.714,0.286,94,1
13,18.615,0.231,726,1
8,2.75,0.438,77,1
4,2.5,0.5,20,1
8,5.75,0.356,131,1
17,1.294,0.425,159,1
10,39.8,0.342,1361,1
6,36.167,0.25,326,1
7,1.143,0.375,21,1
5,0.6,0.467,7,1
8,8.125,0.269,140,1
14,13.071,0.39,998,1
9,11.222,0.442,402,1
12,14,0.255,515,1
9,11.667,0.236,223,1
9,5,0.442,179,1
10,6.6,0.273,180,1
3,1.333,0.833,10,1
8,15.125,0.431,417,1
7,0.714,0.486,17,1
23,5.739,0.95,2885,1
6,2.833,0.275,28,1
9,3.778,0.379,116,1
9,1.778,0.375,54,1
17,2,0.123,71,1
8,44.125,0.07,197,1
77,3.519,0.478,9981,1
9,4.111,0.517,172,1
16,19.313,0.382,1890,1
8,4,0.375,96,1
7,1.714,0.369,31,1
9,9.444,0.302,231,1
9,59.333,0.134,644,1
10,2,0.61,122,1
11,7.818,0.289,273,1
11,1.091,0.432,57,1
10,12.6,0.425,536,1
8,6.375,0.306,125,1
9,2.222,0.35,63,1
8,9.375,0.373,224,1
7,9.571,0.258,121,1
8,1.875,0.3,36,1
7,2.286,0.259,29,1
9,4.667,0.384,145,1
9,20,0.16,259,1
10,3.5,0.434,152,1
7,3.857,0.164,31,1
7,2.429,0.429,51,1
11,0.636,0.597,46,1
10,1.8,0.522,94,1
10,8.8,0.248,218,1
9,4.667,0.378,143,1
8,19.75,0.102,129,1
9,30.667,0.388,964,1
8,3.875,0.375,93,1
5,1.4,0.429,15,1
7,2.429,0.387,46,1
10,32.5,0.215,700,1
8,1.875,0.5,60,1
10,7.5,0.451,338,1
7,2.286,0.313,35,1
11,9.455,0.367,420,1
8,8.625,0.216,119,1
7,8.429,0.242,100,1
11,2.909,0.256,90,1
15,2.067,0.204,95,1
8,4.75,0.461,140,1
5,7.2,0.406,73,1
11,13.364,0.32,518,1
10,5.3,0.306,162,1
5,3.8,0.232,22,1
9,23.444,0.219,416,1
6,4.333,0.423,66,1
7,7.286,0.322,115,1
10,3.6,0.367,132,1
7,5.857,0.328,94,1
6,2.5,0.467,42,1
11,8.909,0.317,342,1
10,7.4,0.303,224,1
8,1.125,0.361,26,1
10,1.8,0.306,55,1
7,3.714,0.396,72,1
9,5.556,0.22,99,1
9,5.111,0.242,100,1
9,11.889,0.191,184,1
6,8.333,0.327,98,1
7,1.571,0.403,31,1
13,2.538,0.245,105,1
9,10.889,0.185,163,1
9,2.889,0.291,68,1
9,5.333,0.257,111,1
9,9.111,0.329,243,1
12,2.083,0.32,96,1
10,15.7,0.233,366,1
6,13.5,0.282,137,1
6,5.167,0.199,37,1
8,2.875,0.277,51,1
11,39.364,0.449,2137,1
10,8.2,0.3,246,1
6,0.667,0.417,10,1
8,66.875,0.171,731,1
10,2,0.32,64,1
7,6.286,0.218,67,1
6,2.167,0.128,10,1
7,0.857,0.286,12,1
8,0.75,0.583,28,1
9,18.444,0.336,502,1
11,16.818,0.487,991,1
8,5.125,0.21,69,1
9,4.333,0.293,103,1
8,1.875,0.458,55,1
9,14,0.484,549,1
7,15,0.127,93,1
7,6.571,0.155,50,1
11,17.273,0.239,500,1
11,5.727,0.413,286,1
10,1.9,0.568,108,1
8,0.5,0.406,13,1
6,16.167,0.266,155,1
9,18.778,0.343,522,1
7,1.571,0.234,18,1
9,59.444,0.088,425,1
7,3.571,0.354,62,1
9,4.778,0.377,146,1
8,4.625,0.375,111,1
16,22.25,0.377,2150,1
8,3.625,0.401,93,1
10,12.1,0.415,502,1
7,7.286,0.325,116,1
9,0.889,0.222,16,1
9,21.556,0.191,333,1
11,5.182,0.295,185,1
7,22.571,0.211,233,1
9,7,0.298,169,1
7,2.571,0.365,46,1
7,2.857,0.429,60,1
7,2.857,0.25,35,1
10,3.4,0.388,132,1
8,3.125,0.3,60,1
7,0.714,0.514,18,1
8,1.875,0.558,67,1
6,12.5,0.356,160,1
7,16.286,0.253,202,1
8,1,0.406,26,1
14,24.857,0.169,822,1
7,24,0.081,95,1
8,12,0.111,85,1
10,10.5,0.234,246,1
12,0.833,0.675,81,1
7,17.286,0.276,234,1
10,12.2,0.273,333,1
9,2.667,0.356,77,1
11,12.818,0.366,567,1
9,17.667,0.249,356,1
8,3.125,0.33,66,1
9,1.889,0.333,51,1
9,7.111,0.177,102,1
1,65,0.2,13,1
9,56.667,0.161,740,1
8,6,0.221,85,1
8,8.875,0.289,164,1
9,7.889,0.352,225,1
10,2.7,0.367,99,1
11,2.636,0.408,130,1
13,33.923,0.374,2144,1
11,8.818,0.266,284,1
10,7.9,0.306,242,1
9,1,0.358,29,1
6,1.167,0.476,20,1
12,7.5,0.183,198,1
8,1.875,0.517,62,1
9,1.333,0.407,44,1
9,2.222,0.367,66,1
9,4.111,0.396,132,1
8,1.875,0.467,56,1
8,5.125,0.265,87,1
5,3,0.093,7,1
7,4.857,0.286,68,1
8,2,0.383,49,1
9,9.111,0.37,273,1
8,12.875,0.425,350,1
5,2.2,0.455,25,1
11,9.182,0.239,265,1
7,2.571,0.278,35,1
10,5.1,0.41,209,1
12,1.917,0.576,159,1
9,9.333,0.222,168,1
9,15.333,0.155,193,1
8,8.625,0.312,172,1
8,1.125,0.361,26,1
10,12.5,0.456,570,1
8,4.625,0.392,116,1
8,5.625,0.297,107,1
19,6.474,0.089,207,1
6,8.5,0.294,90,1
7,5.286,0.282,73,1
5,3,0.547,41,1
10,26.2,0.273,716,1
9,56.444,0.188,861,1
8,3.875,0.298,74,1
12,8.167,0.245,288,1
14,19.5,0.373,1424,1
9,2,0.278,45,1
8,22.5,0.213,306,1
10,20.5,0.381,781,1
9,17.556,0.217,308,1
8,2.625,0.357,60,1
8,3,0.406,78,1
6,30.167,0.298,324,1
10,22.7,0.225,510,1
5,2.4,0.2,12,1
10,27.1,0.187,508,1
5,3.6,0.467,42,1
3,9,0.481,39,1
9,18.111,0.148,217,1
11,46.455,0.17,956,1
10,18.3,0.267,488,1
7,4.714,0.264,61,1
8,28.875,0.228,421,1
9,11.333,0.386,354,1
9,8.333,0.256,173,1
8,26.75,0.421,720,1
7,5,0.31,76,1
7,2.857,0.307,43,1
7,7.429,0.272,99,1
11,1.818,0.564,124,1
9,8.667,0.329,231,1
15,10.267,0.423,976,1
8,63.875,0.084,343,1
6,8.333,0.24,72,1
6,6.833,0.232,57,1
8,2.625,0.339,57,1
8,20.375,0.383,500,1
10,2,0.54,108,1
6,31.5,0.324,367,1
17,23.706,0.349,2388,1
14,28.357,0.342,1902,1
22,3.136,0.516,784,1
6,1.833,0.364,24,1
9,2.222,0.261,47,1
18,1.222,0.366,145,1
9,2.111,0.62,106,1
7,2.571,0.254,32,1
8,1.5,0.396,38,1
8,4,0.207,53,1
7,2,0.306,30,1
6,17.333,0.234,146,1
10,2.3,0.361,83,1
8,8.625,0.098,54,1
11,2.273,0.36,99,1
10,3.8,0.439,167,1
7,2.714,0.263,35,1
9,2.111,0.392,67,1
9,4.222,0.211,72,1
7,4.143,0.36,73,1
6,1.667,0.483,29,1
8,5.5,0.455,160,1
7,2,0.286,28,1
10,6.4,0.295,189,1
10,26,0.282,732,1
7,31.143,0.142,216,1
9,3.222,0.414,108,1
12,10.333,0.3,447,1
8,3,0.318,61,1
7,0.286,0.5,7,1
6,9.833,0.237,84,1
9,2.889,0.299,70,1
8,9.5,0.388,236,1
11,8.727,0.331,350,1
6,2.833,0.245,25,1
8,7.75,0.363,180,1
11,14,0.36,609,1
7,1,0.347,17,1
4,4.25,0.191,13,1
25,3.36,0.443,930,1
5,8.6,0.33,71,1
8,1.125,0.431,31,1
13,24.769,0.375,1571,1
9,4.333,0.444,156,1
8,12.5,0.245,196,1
10,25.9,0.351,908,1
3,4.667,0.381,16,1
10,7.6,0.474,360,1
10,0.9,0.344,31,1
7,10,0.265,130,1
9,16.889,0.379,518,1
7,4.857,0.223,53,1
5,15,0.269,101,1
6,2.333,0.274,23,1
7,1,0.306,15,1
7,4.857,0.265,63,1
7,0.571,0.25,7,1
9,16.667,0.237,320,1
6,15.833,0.256,146,1
7,3.857,0.238,45,1
8,2.375,0.401,61,1
11,1.818,0.568,125,1
8,1.5,0.438,42,1
1,41,0.39,16,1
11,13.273,0.238,383,1
7,1.714,0.226,19,1
9,5.111,0.297,123,1
5,19.6,0.316,155,1
10,27.2,0.206,559,1
12,23.75,0.411,1404,1
6,3.167,0.316,36,1
6,13.5,0.282,137,1
8,3.5,0.397,89,1
9,13.556,0.339,372,1
10,15.1,0.193,291,1
7,5.857,0.209,60,1
3,1,0.889,8,1
7,1.143,0.393,22,1
14,14.357,0.373,1050,1
11,0.636,0.468,36,1
7,5.714,0.311,87,1
10,7.9,0.347,274,1
7,1,0.306,15,1
9,3.889,0.381,120,1
11,2.636,0.32,102,1
5,1,0.36,9,1
8,1.625,0.423,44,1
10,4.1,0.312,128,1
8,26.875,0.366,629,1
10,0.4,0.375,15,1
7,2,0.337,33,1
8,27,0.408,705,1
24,7.417,0.491,2099,1
8,4.125,0.326,86,1
6,1.167,0.357,15,1
8,21.875,0.156,219,1
7,2.571,0.286,36,1
7,7.143,0.214,75,1
10,12.8,0.355,455,1
8,1.5,0.427,41,1
7,5.143,0.567,143,1
10,5.7,0.326,186,1
10,2.7,0.63,170,1
5,2.2,0.4,22,1
6,4.833,0.333,58,1
10,2.3,0.27,62,1
9,2.222,0.3,54,1
8,4.125,0.436,115,1
6,7.167,0.205,53,1
12,2.167,0.221,69,1
12,34.167,0.333,1636,1
11,12,0.189,274,1
9,5.778,0.306,143,1
10,27.2,0.232,631,1
11,7.273,0.492,433,1
9,36.778,0.195,582,1
10,3.9,0.285,111,1
5,7.2,0.211,38,1
6,6.5,0.303,71,1
7,1.857,0.791,72,1
8,3.25,0.346,72,1
8,16.125,0.232,239,1
12,25.167,0.199,721,1
8,2.5,0.394,63,1
6,3.333,0.367,44,1
7,2.571,0.27,34,1
8,3.125,0.515,103,1
8,5.375,0.387,133,1
7,5.857,0.425,122,1
12,34.167,0.324,1595,1
9,1.778,0.382,55,1
11,26.545,0.341,1096,1
8,2.625,0.435,73,1
7,2,0.316,31,1
9,9.444,0.308,236,1
7,18.286,0.203,182,1
10,13.7,0.191,261,1
8,1.625,0.365,38,1
9,59.444,0.165,793,1
8,2.625,0.548,92,1
11,4.909,0.273,162,1
9,6,0.27,131,1
9,1.111,0.389,35,1
5,2.6,0.246,16,1
8,2.25,0.424,61,1
7,1.143,0.393,22,1
9,12.333,0.184,184,1
9,4.556,0.425,157,1
8,13.625,0.271,236,1
7,0.571,0.286,8,1
7,6.857,0.292,98,1
8,10,0.303,194,1
1,25,1,25,1
5,0.8,0.45,9,1
11,9.182,0.253,281,1
9,1.667,0.407,55,1
13,5.923,0.258,258,1
8,5.5,0.486,171,1
7,1.571,0.299,23,1
11,0.818,0.384,38,1
10,3.8,0.308,117,1
7,9.429,0.294,136,1
8,0.75,0.417,20,1
7,1.714,0.25,21,1
11,22.818,0.355,979,1
8,0.875,0.411,23,1
10,4.8,0.579,278,1
9,9,0.388,283,1
9,9.222,0.391,292,1
8,2.75,0.398,70,1
10,17.7,0.26,461,1
9,20.667,0.16,268,1
6,15,0.298,161,1
8,0.625,0.475,19,1
10,53.5,0.166,889,1
9,1.889,0.608,93,1
24,3.5,0.474,956,1
11,11.182,0.25,338,1
7,5.571,0.293,80,1
10,17,0.499,849,1
9,11.444,0.164,152,1
9,13.667,0.362,401,1
9,18.667,0.315,476,1
4,22.25,0.34,121,1
8,1.625,0.635,66,1
7,1.286,0.317,20,1
10,2.4,0.267,64,1
14,13.214,0.254,657,1
23,5.957,0.855,2695,1
7,2.143,0.705,74,1
7,6.571,0.354,114,1
8,10.25,0.393,258,1
7,1.571,0.325,25,1
10,3.5,0.337,118,1
7,1.286,0.349,22,1
6,7.667,0.217,60,1
7,1.857,0.33,30,1
11,15.909,0.21,405,1
8,12.5,0.485,388,1
9,27.778,0.305,686,1
7,4.571,0.277,62,1
7,3.143,0.247,38,1
23,4,0.145,306,1
10,9.8,0.376,368,1
5,0.6,0.533,8,1
9,56.667,0.075,346,1
7,19.286,0.156,147,1
7,3.286,0.323,52,1
6,16,0.217,125,1
9,1.556,0.127,16,1
10,1.8,0.583,105,1
10,1.2,0.35,42,1
11,0.455,0.655,36,1
9,1,0.728,59,1
6,5.5,0.268,53,1
8,4.125,0.314,83,1
8,0.875,0.375,21,1
10,5.5,0.678,373,1
8,1.75,0.25,28,1
12,21.417,0.283,872,1
7,2.286,0.304,34,1
1,7,1,7,1
10,6.7,0.321,215,1
5,2.4,0.383,23,1
9,1.778,0.208,30,1
6,7.333,0.447,118,1
7,14.714,0.295,213,1
8,11.625,0.324,241,1
8,5.625,0.367,132,1
11,10.727,0.348,452,1
1,143,0.133,19,1
8,1.125,0.278,20,1
9,6.556,0.335,178,1
9,26.667,0.259,559,1
13,17.385,0.258,759,1
8,9.375,0.328,197,1
1,60,0.217,13,1
8,2.375,0.388,59,1
6,3.167,0.36,41,1
9,30.111,0.284,692,1
8,15.75,0.188,189,1
9,9.111,0.245,181,1
11,5.636,0.353,241,1
7,12.429,0.232,141,1
12,8.5,0.257,315,1
7,9,0.288,127,1
10,43,0.351,1508,1
10,1.6,0.3,48,1
6,3,0.537,58,1
6,43.833,0.124,196,1
8,1.875,0.267,32,1
12,22.667,0.249,812,1
10,1.1,0.491,54,1
10,2.7,0.367,99,1
13,2.923,0.334,165,1
10,3.3,0.294,97,1
25,11.68,0.479,3496,1
14,18.929,0.354,1315,1
7,2.571,0.167,21,1
11,7.727,0.257,240,1
8,1.5,0.438,42,1
16,2.75,0.376,265,1
11,0.818,0.485,48,1
9,1.333,0.37,40,1
9,1.333,0.38,41,1
8,1.625,0.365,38,1
10,5,0.326,163,1
10,8.2,0.362,297,1
7,6.429,0.238,75,1
8,5.125,0.363,119,1
10,7.9,0.324,256,1
12,41.417,0.269,1605,1
5,7.8,0.338,66,1
9,25,0.198,400,1
7,3.857,0.079,15,1
8,5.75,0.348,128,1
8,2.375,0.388,59,1
5,2.4,0.467,28,1
11,24.727,0.168,504,1
9,11.444,0.399,370,1
7,2.714,0.662,88,1
11,0.727,0.602,53,1
9,3.222,0.287,75,1
6,3,0.5,54,1
8,1.5,0.396,38,1
9,3.556,0.24,69,1
9,5.444,0.247,109,1
8,2.125,0.199,27,1
8,0.625,0.35,14,1
6,13.667,0.274,135,1
9,8.111,0.174,114,1
1,70,0.2,14,1
11,4.182,0.283,143,1
7,13.143,0.292,188,1
8,13,0.575,478,1
16,24.563,0.341,2145,1
7,26,0.203,259,1
7,16.571,0.262,213,1
7,11.429,0.361,202,1
13,10.231,0.36,622,1
8,4.625,0.375,111,1
10,1.9,0.142,27,1
11,2.091,0.415,105,1
9,2,0.63,102,1
5,8,0.44,88,1
11,17.727,0.358,768,1
8,5.625,0.156,56,1
14,24.286,0.383,1824,1
5,1.4,0.686,24,1
8,1.75,0.411,46,1
14,28.214,0.359,1988,1
14,2.429,0.279,133,1
6,4.5,0.475,77,1
7,1.571,0.416,32,1
9,18.444,0.386,576,1
17,6.235,0.927,1671,1
9,10.111,0.233,191,1
10,1,0.56,56,1
9,3.222,0.23,60,1
9,4.111,0.532,177,1
11,2.909,0.301,106,1
9,56.667,0.171,787,1
13,8.154,0.306,422,1
10,1.1,0.2,22,1
9,9,0.357,260,1
8,1.875,0.475,57,1
8,1.5,0.458,44,1
10,27.2,0.187,508,1
7,6.714,0.258,85,1
5,2.6,0.431,28,1
12,9.833,0.35,495,1
6,16.167,0.232,135,1
9,20.444,0.206,341,1
5,19,0.255,121,1
9,8.444,0.38,260,1
9,0.556,0.244,11,1
12,6,0.281,243,1
13,15.462,0.4,1046,1
9,56.778,0.225,1035,1
15,4.067,0.247,226,1
8,6.25,0.36,144,1
9,27.556,0.33,737,1
16,23.5,0.371,2232,1
10,12.7,0.388,493,1
7,34.714,0.198,336,1
7,13.714,0.271,182,1
7,3.143,0.247,38,1
7,36.571,0.135,242,1
7,3.857,0.259,49,1
8,1,0.5,32,1
14,29.071,0.353,2010,1
8,4.5,0.465,134,1
11,13.636,0.186,307,1
14,0.357,0.443,31,1
2,7,0.393,11,1
10,27.1,0.199,540,1
8,1.625,0.413,43,1
7,5.857,0.422,121,1
11,8.273,0.286,286,1
8,3,0.26,50,1
5,7.8,0.338,66,1
7,1.429,0.314,22,1
8,0.625,0.325,13,1
8,7.625,0.342,167,1
6,2.167,0.333,26,1
9,30.222,0.137,336,1
14,11.071,0.303,658,1
7,4.286,0.295,62,1
11,0.818,0.343,34,1
10,4.1,0.278,114,1
7,2.714,0.406,54,1
8,2.25,0.472,68,1
8,0.625,0.425,17,1
12,21.75,0.223,698,1
8,1.5,0.375,36,1
7,17.571,0.419,361,1
7,2.714,0.346,46,1
7,1.571,0.143,11,1
8,1.125,0.375,27,1
8,7.125,0.309,141,1
10,1.6,0.375,60,1
8,5.375,0.392,135,1
9,2,0.543,88,1
10,5.3,0.34,180,1
7,8,0.319,125,1
7,10.286,0.405,204,1
4,2,0.344,11,1
8,2,0.461,59,1
17,22.471,0.363,2355,1
9,5.444,0.231,102,1
5,1.2,0.233,7,1
5,2.2,0.309,17,1
9,22.333,0.152,275,1
5,0.8,0.35,7,1
11,6.818,0.27,223,1
7,6.714,0.322,106,1
7,1.857,0.363,33,1
7,2.429,0.395,47,1
9,19.111,0.167,258,1
8,5.625,0.206,74,1
6,4,0.292,42,1
10,1.8,0.467,84,1
9,10.222,0.35,290,1
4,6,0.573,55,1
9,3.556,0.302,87,1
8,4.375,0.443,124,1
5,7.6,0.426,81,1
10,3.3,0.327,108,1
11,25,0.287,868,1
9,9,0.287,209,1
11,0.727,0.443,39,1
19,0.684,0.215,53,1
2,34.5,0.087,12,1
10,2.6,0.296,77,1
9,5.222,0.385,163,1
13,8.923,0.292,441,1
8,15.5,0.427,424,1
8,2.75,0.375,66,1
9,4.556,0.374,138,1
7,1,0.327,16,1
12,4.833,0.343,239,1
38,9,0.275,3573,1
7,34.143,0.16,268,1
4,3.75,0.267,16,1
7,8.714,0.321,137,1
9,3.222,0.318,83,1
7,6,0.405,119,1
6,0.667,0.5,12,1
8,12.875,0.142,117,1
8,4.5,0.615,177,1
13,0.692,0.402,47,1
9,2.333,0.365,69,1
9,7.222,0.463,271,1
5,8.6,0.405,87,1
9,7.111,0.307,177,1
11,11.545,0.266,371,1
1,47,0.34,16,1
8,2.5,0.406,65,1
8,1.125,0.375,27,1
8,3.25,0.409,85,1
11,22.273,0.353,952,1
7,7.714,0.304,115,1
8,1,0.469,30,1
8,2.375,0.421,64,1
9,23.667,0.203,390,1
9,11.222,0.256,233,1
6,3.333,0.175,21,1
11,5.727,0.332,230,1
7,49.429,0.185,448,1
9,1,0.321,26,1
7,2.571,0.238,30,1
10,25.6,0.371,951,1
8,5.75,0.34,125,1
8,2.125,0.294,40,1
9,8.778,0.323,230,1
9,4.111,0.526,175,1
11,27.545,0.151,502,1
8,4.875,0.304,95,1
5,5.6,0.321,45,1
12,2.75,0.391,155,1
9,2.333,0.302,57,1
7,15.286,0.27,202,1
4,24.5,0.523,205,1
9,7.889,0.39,249,1
26,11.308,0.453,3464,1
1,42,0.405,17,1
10,15.1,0.381,575,1
10,14.3,0.355,508,1
12,22.667,0.219,715,1
6,9,0.549,178,1
9,20.222,0.378,619,1
9,12,0.364,354,1
7,22.429,0.439,482,1
24,11.667,0.449,3018,1
5,3,0.4,30,1
10,10.1,0.466,471,1
9,4.444,0.483,174,1
8,8.625,0.279,154,1
13,33.308,0.375,2109,1
6,1,0.417,15,1
9,1.889,0.523,80,1
11,33.364,0.221,891,1
11,1.909,0.316,73,1
5,1,0.52,13,1
9,17.222,0.366,511,1
7,13.571,0.296,197,1
13,3.385,0.171,98,1
8,20.25,0.204,265,1
10,27.1,0.168,454,1
10,26.1,0.264,689,1
8,7.875,0.256,129,1
7,1.286,0.365,23,1
9,9.222,0.292,218,1
7,4.571,0.339,76,1
6,15.5,0.238,133,1
9,4.444,0.319,115,1
10,12.6,0.456,575,1
6,8,0.316,91,1
6,1.167,0.452,19,1
10,2.5,0.332,83,1
12,5.917,0.631,538,1
6,0.833,0.367,11,1
8,4,0.402,103,1
10,15.5,0.35,542,1
5,0.8,0.45,9,1
8,15.875,0.314,319,1
25,19.76,0.462,5707,1
7,3,0.306,45,1
7,16.571,0.309,251,1
13,26.769,0.195,881,1
10,3.8,0.426,162,1
14,16.714,0.383,1256,1
5,19.2,0.404,194,1
8,5.125,0.323,106,1
13,26.308,0.231,1027,1
12,10.667,0.339,520,1
10,2.6,0.273,71,1
9,59.444,0.146,704,1
8,1.75,0.446,50,1
14,27.857,0.358,1956,1
9,59.333,0.102,491,1
9,3.556,0.413,119,1
9,13.667,0.395,437,1
10,2.5,0.384,96,1
3,10.333,0.226,21,1
6,1.667,0.433,26,1
5,7.8,0.328,64,1
6,7.667,0.315,87,1
9,5,0.319,129,1
9,2.778,0.329,74,1
7,8.714,0.321,137,1
4,2.75,0.432,19,1
14,0.857,0.429,72,1
8,2.875,0.364,67,1
9,2.111,0.292,50,1
8,6.125,0.441,173,1
6,6.5,0.342,80,1
11,14.636,0.333,589,1
6,2.833,0.255,26,1
8,0.5,0.375,12,1
8,1.5,0.479,46,1
8,5.875,0.266,100,1
6,4.833,0.356,62,1
10,7.6,0.322,245,1
6,21.5,0.195,151,1
9,2.333,0.497,94,1
10,1.6,0.444,71,1
9,27.222,0.16,353,1
13,8,0.198,268,1
8,1.875,0.317,38,1
6,2.5,0.244,22,1
7,9.857,0.188,91,1
8,1.625,0.49,51,1
5,1.8,0.333,15,1
8,30.25,0.232,450,1
10,6.5,0.445,289,1
10,15.5,0.275,427,1
9,11,0.461,411,1
9,5.444,0.222,98,1
14,7.286,0.356,509,1
9,10.889,0.285,251,1
10,2,0.485,97,1
7,2.857,0.436,61,1
13,31.846,0.357,1919,1
7,14.429,0.501,354,1
12,31.917,0.307,1409,1
25,4.72,0.268,791,1
9,0.889,0.681,49,1
10,18.5,0.36,666,1
8,4.125,0.375,99,1
8,37.375,0.186,446,1
8,1.75,0.464,52,1
11,13.364,0.257,416,1
10,47.4,0.187,886,1
10,4.9,0.529,259,1
8,1.25,0.238,19,1
10,3.4,0.303,103,1
8,16.875,0.131,142,1
9,5.889,0.317,151,1
9,4.111,0.381,127,1
22,2.136,0.319,330,1
5,1.4,0.543,19,1
9,1.222,0.222,22,1
9,59.111,0.154,736,1
8,25.375,0.149,242,1
9,0.889,0.583,42,1
