@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
11,24.727,1
12,3.25,1
11,5.545,1
10,13.1,1
6,16,1
9,1.889,1
6,1.833,1
9,2.222,1
11,17.545,1
7,2.857,1
9,28.778,1
8,5.75,1
17,1.412,1
9,29.667,1
11,0.727,1
6,8.333,1
9,4.889,1
7,1.143,1
11,4.909,1
6,4.167,1
10,0.9,1
1,45,1
8,1.875,1
10,1.9,1
9,18.111,1
7,5.429,1
24,7.792,1
9,1.667,1
8,27,1
10,9.8,1
12,27.917,1
10,11.8,1
12,3.333,1
9,2.556,1
8,4.375,1
10,4.1,1
9,2.111,1
8,4.5,1
10,51.1,1
10,11.6,1
8,2.625,1
7,1.857,1
5,15,1
11,5.909,1
8,3.125,1
5,5.4,1
9,0.556,1
7,1.714,1
10,1.5,1
12,8.5,1
10,12.6,1
6,2.167,1
6,2.333,1
6,2.167,1
8,42.875,1
7,5,1
8,7.5,1
11,23.818,1
10,3.3,1
7,6.429,1
3,1.333,1
8,5.25,1
9,21.889,1
7,2.714,1
6,7.333,1
8,5.75,1
10,2.3,1
18,9.333,1
8,1.125,1
8,3.75,1
10,2,1
12,2.167,1
7,1,1
13,6.538,1
10,9.6,1
7,9.286,1
9,13.556,1
8,4,1
24,8.708,1
10,1.9,1
7,2.714,1
13,10,1
6,7.167,1
9,2.222,1
8,4.625,1
9,1.778,1
10,1.9,1
8,1.5,1
11,30.636,1
7,1.714,1
9,3.111,1
6,6.167,1
11,2.909,1
8,2.625,1
6,4.667,1
16,11.313,1
8,10.5,1
11,26.545,1
10,4.4,1
8,0.875,1
10,9.7,1
6,2.167,1
8,6,1
9,6.222,1
9,3.667,1
9,0.111,1
7,20.143,1
7,5.429,1
5,3.8,1
9,29.333,1
24,7.417,1
13,11.615,1
8,10,1
6,2.167,1
6,2.833,1
8,3.25,1
9,27.667,1
4,1.75,1
7,1.143,1
6,4.5,1
7,6.429,1
9,2.889,1
7,5.286,1
9,4.778,1
10,17,1
6,16.833,1
8,5.625,1
8,0.5,1
8,0.375,1
6,2,1
7,2.286,1
10,0.8,1
7,1.857,1
7,4.429,1
6,1.167,1
8,3.125,1
10,4.9,1
7,4.429,1
23,11.783,1
9,59.333,1
8,3.125,1
11,9.182,1
9,10.111,1
6,2.667,1
10,11.6,1
8,1.625,1
10,8,1
11,8.909,1
6,3,1
7,3.429,1
8,18.5,1
9,30.667,1
1,40,1
5,5.8,1
9,3.556,1
1,13,1
9,5.111,1
1,70,1
24,7.375,1
11,0.818,1
15,23.733,1
9,2.556,1
17,2,1
7,4.571,1
6,3,1
10,1.3,1
25,11.68,1
6,2.167,1
8,9.375,1
11,0.727,1
7,1.857,1
10,13,1
5,1,1
7,5.429,1
10,23.8,1
5,3.8,1
9,19.444,1
7,6,1
5,0.4,1
9,4.667,1
6,31.5,1
9,30.889,1
9,0.667,1
8,2.625,1
12,13.917,1
10,3.9,1
9,3.778,1
8,5,1
9,41,1
10,26.2,1
1,41,1
8,43.25,1
8,20.25,1
4,63.25,1
7,1.286,1
14,21.429,1
7,4.143,1
10,1.8,1
10,5.9,1
24,5.625,1
8,16.875,1
23,5.957,1
8,3.5,1
8,1.875,1
10,3.3,1
8,1.625,1
1,74,1
8,2.125,1
6,2.167,1
9,59.556,1
24,4.125,1
6,1.333,1
17,6.471,1
15,23.733,1
9,20.333,1
4,6,1
7,27.286,1
9,8.444,1
10,6.1,1
10,1.2,1
9,3,1
8,65.625,1
13,2.923,1
10,1.8,1
9,12,1
9,13.778,1
7,2,1
9,1.333,1
7,31.286,1
16,7,1
22,2.136,1
9,9.111,1
7,3.714,1
7,31.857,1
11,21.818,1
5,2,1
7,6,1
7,4.714,1
27,3.926,1
10,2.2,1
8,12.75,1
8,34.375,1
9,1.222,1
6,4.667,1
9,18.222,1
6,2,1
8,3,1
10,4.1,1
8,2.125,1
10,18.4,1
9,56.556,1
13,10.231,1
9,9.111,1
16,7.563,1
8,6,1
11,0.818,1
10,1.9,1
9,18.778,1
12,1.667,1
12,34.5,1
8,7.875,1
10,26.2,1
9,12.333,1
6,13.333,1
8,3.25,1
7,15.429,1
4,3,1
24,2.667,1
11,0.727,1
9,29.778,1
8,0.75,1
10,4.7,1
14,14.357,1
7,2.143,1
7,0.857,1
1,47,1
7,3.714,1
6,16,1
9,29.778,1
6,7.5,1
9,2,1
12,5.75,1
8,1.75,1
5,4.8,1
8,2,1
8,2.25,1
17,4.529,1
2,3.5,1
14,18.143,1
9,9.111,1
10,1.8,1
10,5.2,1
12,5.917,1
5,0.4,1
9,27.778,1
7,16.429,1
6,2.167,1
8,1.5,1
9,38.111,1
9,6.667,1
8,1.5,1
8,5.875,1
11,10.727,1
12,8.5,1
9,59.556,1
8,1.75,1
10,21.9,1
10,12.6,1
8,1.75,1
10,1.6,1
7,5.714,1
11,7.818,1
14,28.214,1
1,42,1
10,0.9,1
5,1.2,1
7,3.714,1
6,1.5,1
9,2.444,1
11,3.364,1
8,4.125,1
9,13.889,1
8,8.625,1
9,1,1
7,2.286,1
7,5,1
12,0.833,1
6,0.667,1
8,8.625,1
8,1.875,1
7,1.857,1
9,2.111,1
6,15.833,1
8,2,1
8,4,1
11,1,1
8,4.75,1
11,4.545,1
12,9.583,1
5,1.4,1
11,46.455,1
9,14.333,1
6,3.167,1
9,3.111,1
8,1.5,1
7,7,1
11,1,1
1,12,1
11,7.727,1
8,5,1
10,1.6,1
7,26,1
7,1.857,1
7,2,1
11,0.727,1
5,2.6,1
14,27.5,1
8,0.875,1
10,25.1,1
7,49.429,1
5,19.8,1
10,51,1
10,15.5,1
10,4.6,1
9,4.333,1
11,2.636,1
13,5.923,1
6,5.5,1
11,6.727,1
8,3.875,1
12,1,1
10,8,1
5,2.6,1
7,1.571,1
8,1.25,1
9,59.333,1
9,6.889,1
9,10.889,1
6,16,1
16,21.313,1
10,0.8,1
10,15.5,1
10,0.8,1
3,30,1
8,7.5,1
9,1.778,1
11,3.818,1
7,2.571,1
11,9.182,1
4,4.5,1
12,0.583,1
8,1.75,1
9,6.556,1
5,16.2,1
7,2.143,1
8,8.75,1
8,1.125,1
14,24.286,1
8,3.75,1
10,12.1,1
6,6.667,1
3,1,1
10,1.6,1
10,8.5,1
9,9.111,1
7,7.429,1
9,9,1
5,4.6,1
7,3.571,1
12,6.667,1
4,28.5,1
8,7.625,1
10,8.4,1
8,4.25,1
10,1.9,1
12,9.75,1
9,2.333,1
4,1,1
5,5.4,1
11,5.636,1
9,2.222,1
10,2.6,1
5,5.2,1
1,60,1
7,5.857,1
14,1.929,1
7,4.714,1
10,2.5,1
12,5.75,1
6,3.167,1
7,2.857,1
16,24.563,1
7,5.857,1
9,17.222,1
12,0.667,1
4,4.75,1
8,7.875,1
8,3.625,1
9,9.222,1
10,26.9,1
10,15.4,1
6,0.667,1
8,9.375,1
12,34.083,1
13,17.462,1
8,5.375,1
7,8.857,1
14,31.429,1
7,1.857,1
8,10.25,1
7,1.571,1
13,32.538,1
8,4.375,1
4,4.5,1
8,34,1
5,2.4,1
7,5.714,1
5,0.6,1
10,3.3,1
8,6.375,1
12,1.833,1
6,6.5,1
8,2,1
9,19.444,1
12,27.667,1
6,5.167,1
13,2.923,1
15,4.067,1
8,1.5,1
10,5.2,1
13,26.308,1
12,7.083,1
2,9.5,1
10,2.9,1
7,0.429,1
8,5.625,1
7,2.857,1
19,1.474,1
9,4.111,1
9,5.111,1
11,14,1
11,14,1
9,6.556,1
6,6.833,1
7,7,1
8,65.375,1
7,2.571,1
8,1.25,1
6,13.667,1
11,9.182,1
7,6.143,1
8,13.5,1
5,0.6,1
8,3.375,1
7,5.429,1
14,22.429,1
13,33.923,1
9,8.667,1
11,23.727,1
8,2.625,1
9,2.333,1
6,4.667,1
6,1.167,1
28,1.143,1
8,4.75,1
9,7.778,1
7,1.286,1
16,24.313,1
11,27.545,1
1,9,1
10,1.2,1
7,2.857,1
17,22.882,1
10,10.1,1
10,13,1
10,1.6,1
8,2.5,1
10,3.8,1
5,7.8,1
8,3.5,1
9,3.778,1
8,1.75,1
8,19.375,1
10,27.1,1
8,3.875,1
12,2.75,1
11,1,1
5,3,1
7,25.857,1
7,2,1
6,4.667,1
7,2,1
7,3.571,1
7,6.143,1
10,4.1,1
7,1.571,1
8,8,1
6,6,1
7,6.857,1
9,30.556,1
7,2.857,1
16,25.313,1
9,5.111,1
8,3,1
10,5.8,1
6,11.833,1
10,4.4,1
5,3,1
6,15.667,1
8,2.25,1
10,21.5,1
10,8.3,1
5,1,1
8,10.5,1
11,7.727,1
11,14.182,1
7,3.286,1
7,34.286,1
8,1.75,1
8,2,1
5,23.6,1
7,30.857,1
9,50.333,1
9,2,1
7,2.571,1
9,1.444,1
25,6.76,1
8,1.125,1
11,11.182,1
12,0.833,1
9,1.889,1
1,36,1
8,3.375,1
8,1.875,1
9,4.889,1
14,20.286,1
10,1,1
8,2.375,1
14,30.143,1
10,1.9,1
7,2,1
11,12.818,1
10,8.7,1
13,4.385,1
9,33.222,1
8,1.5,1
9,36.778,1
7,1.857,1
3,1.667,1
8,3.25,1
7,2.857,1
10,28.8,1
9,7,1
11,16.727,1
4,2.5,1
5,2.8,1
8,2,1
9,20.667,1
10,11.9,1
6,36.167,1
8,1.75,1
10,50.9,1
9,1.333,1
9,59.333,1
8,1.875,1
8,2.375,1
14,29.929,1
7,2.429,1
8,1.75,1
9,4.556,1
9,9.667,1
6,2.333,1
9,18.444,1
9,12,1
8,15.25,1
14,0.857,1
10,2.2,1
7,5,1
5,2.6,1
13,8.923,1
10,50.4,1
8,49.75,1
8,18.125,1
7,2.286,1
8,2.125,1
8,22.5,1
7,5.714,1
9,11.889,1
9,18.444,1
8,5.375,1
14,11.071,1
7,30.714,1
7,2,1
12,22.583,1
15,20,1
7,1.286,1
8,0.5,1
7,5.429,1
13,17.538,1
8,1.875,1
8,2.625,1
10,4.4,1
10,18.1,1
10,12.8,1
7,12.429,1
8,5.375,1
8,12,1
13,20.538,1
8,6.625,1
7,1,1
13,31.462,1
9,4.111,1
9,11,1
10,10,1
9,8.333,1
3,3,1
7,1.571,1
8,3.375,1
7,1.429,1
10,0.9,1
7,4.429,1
8,32,1
13,17.077,1
10,5.3,1
9,3.667,1
7,4.143,1
12,2.333,1
9,20.111,1
11,7.182,1
12,34.167,1
7,20,1
9,3.889,1
10,2.6,1
9,8.889,1
10,0.9,1
2,3,1
7,3.571,1
9,5.444,1
8,2.625,1
8,1.875,1
6,11.333,1
16,21.5,1
7,1.857,1
8,6.625,1
9,10.222,1
7,3.286,1
8,7.375,1
8,16.5,1
7,3.286,1
9,33.222,1
23,5.739,1
2,5.5,1
10,5.2,1
8,6.5,1
5,0.6,1
10,1.9,1
11,0.818,1
9,7.667,1
11,8.364,1
7,4.286,1
11,2,1
9,34.444,1
8,2.875,1
8,0.875,1
5,0.4,1
9,54.667,1
7,2,1
10,9.8,1
7,2,1
24,7.375,1
5,1.6,1
10,3.2,1
14,0.786,1
8,8.625,1
7,2.857,1
4,23.75,1
7,1.571,1
7,2.286,1
6,1,1
13,29,1
7,4.857,1
8,3.125,1
9,11.444,1
8,4,1
7,9,1
1,12,1
10,3.8,1
9,5.889,1
7,12.286,1
9,4.889,1
6,5.5,1
10,7.4,1
9,7.111,1
6,4,1
7,1.429,1
9,2.444,1
8,3.5,1
5,0.8,1
7,37.429,1
7,1.571,1
10,2.5,1
9,56.444,1
8,2.25,1
10,12.1,1
16,1.5,1
5,2.2,1
17,1.412,1
9,12,1
8,5.25,1
5,2.4,1
7,19.286,1
9,4,1
9,32.778,1
9,1.778,1
7,2.571,1
7,6.429,1
9,11.222,1
11,1.091,1
8,6.5,1
8,1.75,1
9,7.111,1
7,11.286,1
7,1.571,1
5,6.4,1
8,8.625,1
7,3.429,1
11,9.091,1
11,6.455,1
8,1.875,1
7,6.143,1
9,2.556,1
9,4.333,1
14,25.643,1
7,3,1
8,8.875,1
9,59.111,1
8,1.125,1
77,3.182,1
6,15,1
1,7,1
7,3.143,1
5,2.8,1
5,2.6,1
9,5.556,1
11,1.091,1
12,3.5,1
10,26.2,1
7,31.857,1
9,2,1
5,1.4,1
9,3.667,1
8,33.875,1
8,3,1
7,2.429,1
16,22.25,1
9,5.111,1
10,4.8,1
5,7,1
8,4.75,1
7,0.857,1
5,2.6,1
11,24.636,1
6,6.167,1
9,4,1
9,11.889,1
8,1.625,1
22,3.045,1
7,7.714,1
12,4.167,1
7,3.286,1
9,29.667,1
7,5,1
9,9.111,1
31,10.387,1
9,9.222,1
9,5.111,1
11,16.727,1
10,2.1,1
10,6,1
9,2.222,1
4,4.5,1
9,5,1
7,21.857,1
3,1,1
9,10.222,1
14,16.714,1
6,4.667,1
12,0.667,1
10,6,1
10,1.8,1
8,13.5,1
6,2.667,1
5,2.6,1
6,16.5,1
7,3,1
7,1.571,1
11,3.545,1
9,3.556,1
38,5.974,1
7,24.429,1
7,1.571,1
3,1.333,1
12,3.75,1
13,3.462,1
14,26,1
10,3.1,1
9,9.556,1
8,3,1
9,11.333,1
10,33.6,1
19,10.579,1
5,19.8,1
9,8.889,1
7,53.571,1
9,5.444,1
10,3.5,1
8,7.75,1
7,1.143,1
17,1.294,1
7,7.286,1
8,2.625,1
10,18.6,1
12,1.083,1
6,15.5,1
6,28.667,1
10,7.5,1
7,2.286,1
14,20.286,1
8,3.375,1
9,7.333,1
6,1.833,1
5,8.6,1
8,15.375,1
8,2,1
7,1.429,1
8,21,1
13,2.538,1
8,3.875,1
8,8.625,1
24,14.042,1
7,6.143,1
11,6.818,1
8,1.625,1
10,5.2,1
10,6.7,1
6,1.167,1
7,4.429,1
10,8,1
10,2.2,1
11,21.182,1
6,0.667,1
11,1.727,1
7,2,1
25,11.76,1
7,2.143,1
6,4,1
5,7.8,1
7,15,1
6,5.5,1
9,8.444,1
23,2.043,1
7,21,1
5,10.6,1
8,12.25,1
9,51.556,1
8,4.125,1
8,3.75,1
8,2.125,1
7,9.286,1
8,30.25,1
9,2.333,1
12,2.25,1
24,14.167,1
7,2.714,1
8,8.375,1
9,29.778,1
8,1.875,1
9,9.111,1
8,1.625,1
10,27.1,1
9,1.222,1
8,1,1
9,15.222,1
9,54.444,1
7,4.286,1
14,4.143,1
6,1.333,1
9,5.222,1
10,51,1
10,2.6,1
7,25,1
10,1.8,1
8,0.625,1
8,1.25,1
8,0.75,1
6,16,1
7,2.143,1
8,23,1
10,5.3,1
9,1.889,1
13,26.769,1
25,7.12,1
8,4.375,1
7,2.714,1
5,1.6,1
5,1.4,1
7,20.429,1
8,32.625,1
11,1.727,1
7,13.714,1
10,1.8,1
8,2.75,1
14,30.929,1
6,3,1
9,3.556,1
8,1.5,1
12,11.833,1
7,0.571,1
33,4.848,1
8,4.25,1
11,0.909,1
8,16.625,1
8,2.25,1
7,1.143,1
12,7.083,1
8,5.375,1
10,12.2,1
7,2.286,1
8,5.375,1
12,22.583,1
7,1.857,1
5,1.6,1
1,89,1
12,19.333,1
7,24.571,1
10,3,1
6,19,1
8,3.125,1
6,4.667,1
25,7.44,1
7,1.571,1
8,1.5,1
9,5.444,1
9,12.333,1
11,6.091,1
10,26.1,1
8,2.125,1
5,0.8,1
9,1.444,1
5,19.4,1
10,13.1,1
10,1.3,1
1,77,1
11,2,1
9,7,1
9,6.111,1
7,1.429,1
12,7.417,1
9,2.444,1
5,5.6,1
27,4.259,1
7,19,1
7,0.571,1
8,2.25,1
11,0.636,1
9,1.889,1
8,1.75,1
67,4.418,1
20,1.6,1
7,2.857,1
9,1.667,1
8,4.125,1
25,11.64,1
11,1.909,1
9,24.667,1
10,3.5,1
14,28.5,1
10,0.6,1
10,12.2,1
7,2,1
10,3,1
10,1.1,1
24,11.667,1
7,4.857,1
8,3.25,1
8,0.875,1
10,5.5,1
8,24.125,1
8,19.25,1
6,30.167,1
8,1.75,1
7,13,1
7,12.286,1
6,8.333,1
10,8,1
5,0.6,1
7,1.429,1
11,14.636,1
8,4.875,1
8,5.375,1
12,8.583,1
7,16.571,1
9,5.444,1
16,22.438,1
8,8.75,1
7,1.571,1
7,1,1
10,9.8,1
7,4.714,1
7,4.143,1
24,4.875,1
10,6.7,1
7,20.143,1
8,5,1
1,118,1
8,4.375,1
6,4.833,1
6,2.333,1
28,1.143,1
9,8.556,1
33,5.455,1
8,2.625,1
11,5.091,1
8,3.75,1
6,2.333,1
8,4.125,1
7,19.286,1
8,6,1
8,7.625,1
4,1,1
25,3.36,1
8,30,1
8,1.25,1
1,18,1
9,0.556,1
7,3.857,1
9,1.889,1
7,2.714,1
7,1,1
7,3.857,1
7,6.143,1
6,16,1
8,23.125,1
7,2.714,1
8,2.25,1
8,4.875,1
10,26.1,1
8,10.375,1
7,1.571,1
10,24.2,1
11,7.455,1
10,14.5,1
9,2,1
7,35,1
10,1.5,1
2,15.5,1
17,23.412,1
9,5.556,1
7,8.714,1
7,4.857,1
8,2.5,1
74,2.473,1
8,2,1
10,17,1
10,1.2,1
7,7.571,1
9,4.444,1
25,10.44,1
7,4,1
7,7.714,1
15,4.467,1
8,3.875,1
8,1.5,1
7,4.429,1
10,12.6,1
11,0.727,1
10,0.7,1
7,2.571,1
25,8.12,1
12,9.833,1
10,15.9,1
8,6.25,1
4,1.5,1
8,10.375,1
8,3.5,1
13,15.462,1
9,7.111,1
14,29.714,1
7,0.857,1
18,1.333,1
7,17.286,1
9,4.444,1
10,10.7,1
8,5.875,1
14,22.929,1
9,3.556,1
8,0.875,1
11,1,1
14,13.286,1
7,1,1
11,19.364,1
5,2.6,1
7,8.857,1
7,5.429,1
5,1,1
10,1.1,1
10,3.2,1
8,0.5,1
9,16.778,1
13,31.462,1
7,5.714,1
3,1.333,1
7,5,1
8,2,1
8,6.25,1
10,0.8,1
6,11.333,1
8,4.875,1
11,24.636,1
6,2.167,1
8,0.625,1
9,18.444,1
9,10.111,1
14,28.714,1
7,4.429,1
6,2.833,1
10,26.8,1
9,3.333,1
10,26.3,1
5,7.8,1
5,3.4,1
9,2.444,1
25,7.44,1
7,22.286,1
9,20.111,1
7,1.143,1
10,12.3,1
16,1.5,1
12,0.583,1
10,13.7,1
8,2,1
9,38.556,1
7,2.857,1
8,1.5,1
6,2.167,1
11,2.364,1
6,6,1
8,6,1
7,1.714,1
6,1.167,1
8,22.5,1
5,1.2,1
7,10.286,1
11,15.273,1
9,2.222,1
10,12.5,1
11,8.545,1
10,1.7,1
10,3.2,1
8,2.125,1
8,10.375,1
9,4.222,1
24,7.333,1
14,29.214,1
9,2.222,1
9,4.667,1
8,1,1
7,5,1
10,2.5,1
7,1,1
5,1.2,1
7,2,1
16,26.5,1
12,5.5,1
9,3.778,1
9,1.778,1
8,0.75,1
7,1.286,1
6,4.833,1
9,4.556,1
9,28.778,1
9,30.889,1
11,2,1
8,2,1
9,30.222,1
5,8.6,1
8,4.5,1
1,40,1
12,41.417,1
12,20.417,1
6,4.833,1
8,1.875,1
26,6.538,1
9,23.667,1
24,6.542,1
10,1,1
5,1.2,1
7,2.429,1
9,4.111,1
7,4.286,1
9,4.556,1
16,25.938,1
5,7.6,1
8,2.375,1
11,17.182,1
9,1.333,1
9,2.111,1
8,30.25,1
9,20.556,1
5,1.8,1
10,25.6,1
8,10.75,1
4,23.25,1
7,28.286,1
9,1.889,1
7,1.143,1
9,9.222,1
9,2.222,1
7,0.857,1
11,5.636,1
10,1.9,1
6,4,1
7,1.571,1
8,5.125,1
6,1.167,1
7,5.714,1
7,0.286,1
25,4.72,1
11,16.818,1
10,3.1,1
7,0.571,1
5,18.8,1
9,1.556,1
8,7.875,1
7,0.571,1
8,12,1
13,0.692,1
8,2.375,1
10,15.5,1
12,4.667,1
11,13.636,1
7,1.571,1
5,5.4,1
6,8.333,1
10,0.8,1
12,14.583,1
7,1.857,1
11,2.273,1
10,13.1,1
5,3.6,1
3,1.333,1
9,1,1
24,13.917,1
12,3.667,1
8,6.75,1
4,7.75,1
9,21.222,1
9,5.444,1
7,10,1
8,44.125,1
11,8.545,1
7,5,1
8,1.5,1
9,27.111,1
7,3.571,1
10,3.4,1
9,10.778,1
7,1.571,1
9,11.333,1
8,6,1
12,1.667,1
8,3.25,1
9,5.444,1
12,8.667,1
11,27.545,1
6,2.167,1
8,1.5,1
8,2.75,1
8,1.875,1
9,11.222,1
8,12.5,1
8,1.125,1
8,29.125,1
10,1.1,1
10,2,1
9,3.556,1
7,1.857,1
6,6.667,1
7,36.571,1
11,0.818,1
6,2.333,1
9,4.556,1
8,11.5,1
8,3.25,1
6,15.833,1
11,4.455,1
8,6.125,1
7,1,1
1,31,1
7,6,1
5,1.8,1
11,24.727,1
9,21.556,1
36,0.139,1
9,4.111,1
7,8,1
10,2.8,1
7,4.714,1
6,5.333,1
9,20,1
8,0.625,1
10,10.1,1
6,10.333,1
7,1.857,1
10,0.9,1
8,3.75,1
10,4.9,1
9,2.556,1
10,5,1
9,11.778,1
11,23.818,1
10,1.9,1
8,9.5,1
10,5,1
7,4.429,1
7,1.571,1
8,5.5,1
7,74.429,1
11,0.818,1
8,5,1
5,1,1
7,2,1
3,18.667,1
11,8.091,1
10,2.7,1
11,1.818,1
2,7,1
8,1.125,1
8,7.875,1
6,1.333,1
9,4.111,1
8,4,1
6,31.167,1
5,9.2,1
6,1.5,1
10,2.8,1
8,16.125,1
13,37.462,1
8,0.75,1
10,1.8,1
9,10.111,1
8,8.75,1
10,17.1,1
10,3.7,1
10,0.7,1
10,17.9,1
9,25.889,1
9,59.556,1
6,4.833,1
10,3.7,1
5,4.2,1
5,1.6,1
5,35.4,1
8,0.875,1
8,0.875,1
10,12.7,1
5,3.2,1
7,1.143,1
9,4.556,1
10,3.8,1
7,15,1
8,3.25,1
9,28.667,1
8,2,1
8,1.25,1
14,18.929,1
8,28.875,1
9,41.778,1
8,3.375,1
8,0.5,1
11,23.727,1
8,3.375,1
7,6.857,1
7,16.571,1
8,14.25,1
10,27.1,1
9,9.111,1
5,1.4,1
8,2.25,1
7,2,1
11,7.727,1
7,1.714,1
12,1.833,1
5,3.6,1
8,3.5,1
8,2,1
8,1.875,1
6,12.5,1
11,6.727,1
8,1.625,1
10,3.4,1
9,12.667,1
8,30.25,1
6,16.167,1
8,1.5,1
5,5.4,1
9,0.778,1
7,10.143,1
1,95,1
8,7.25,1
10,5.3,1
3,9,1
10,3,1
7,3.286,1
13,25.923,1
8,1.25,1
17,1.118,1
9,4,1
8,1.125,1
6,1.667,1
8,1.25,1
9,2,1
4,34.25,1
9,5.222,1
9,1.889,1
8,5.25,1
7,2.429,1
11,0.727,1
10,24,1
7,30.429,1
11,2,1
9,1.778,1
5,3.6,1
6,4.833,1
10,53.5,1
9,4.111,1
7,5.571,1
10,2.6,1
10,24.9,1
11,16.273,1
9,4.778,1
12,23.667,1
8,2.625,1
5,3,1
10,2.3,1
6,0.667,1
8,4.5,1
9,2.222,1
7,22.571,1
12,3.583,1
7,4.857,1
10,6.5,1
7,1,1
11,3.818,1
9,4.667,1
10,9.9,1
4,24,1
8,1.5,1
13,17.538,1
5,2.4,1
6,1.167,1
8,1.625,1
14,13.357,1
9,3.889,1
5,3.4,1
10,4.9,1
4,4.25,1
7,5.286,1
7,43.571,1
9,11.667,1
8,3.625,1
9,2.889,1
9,59.333,1
6,1,1
6,2.333,1
8,2.5,1
7,1.571,1
10,1.1,1
9,30.444,1
12,5.583,1
6,15.833,1
11,9.182,1
8,22.875,1
5,0.8,1
10,10,1
11,1.364,1
9,14.889,1
7,2.571,1
7,5.143,1
6,2.167,1
9,6,1
8,5.375,1
1,88,1
24,7.75,1
16,6.625,1
10,1.9,1
8,3.5,1
6,1.833,1
7,0.857,1
7,1.857,1
9,13.444,1
8,6,1
28,10.036,1
9,59.444,1
9,4.667,1
7,1.286,1
13,4.462,1
9,1.333,1
6,2,1
39,9.051,1
7,7.143,1
5,10,1
7,19.429,1
6,2.333,1
9,14.222,1
9,1.333,1
9,4.111,1
12,4.833,1
8,15.875,1
8,1.625,1
6,1.333,1
9,31.222,1
11,8.909,1
8,9.125,1
9,4.667,1
8,1.75,1
10,4.8,1
8,2.375,1
8,4.5,1
11,8.909,1
17,1.412,1
9,10.222,1
10,5.8,1
12,9.75,1
8,0.375,1
9,7.111,1
7,16.857,1
8,2.875,1
8,6.625,1
10,17.6,1
12,18,1
9,14.778,1
10,6.1,1
5,3.8,1
8,2.375,1
7,25.429,1
8,3.25,1
9,59.444,1
6,1.833,1
7,2.429,1
9,6.111,1
6,2.5,1
6,9.667,1
12,8.167,1
16,26.063,1
8,27,1
7,1.714,1
8,2.375,1
7,13.571,1
8,1.5,1
5,4.2,1
8,5.625,1
9,2.222,1
8,1,1
6,12,1
6,2,1
8,5.375,1
9,19.333,1
10,6.1,1
8,7,1
9,2.778,1
10,1,1
12,6,1
6,2.833,1
5,2.8,1
7,5.143,1
16,22,1
10,5.7,1
8,4,1
5,2.8,1
9,20.111,1
8,13.625,1
8,5.25,1
9,3.667,1
4,6.25,1
15,2.067,1
13,28.385,1
6,2.5,1
9,11,1
9,36.222,1
8,1.75,1
8,3.375,1
8,3.25,1
8,2.75,1
6,2.833,1
10,1.9,1
25,2.84,1
8,24.875,1
8,15,1
7,2,1
1,14,1
8,1.625,1
5,4.6,1
6,5.5,1
9,56.778,1
7,1,1
12,3.583,1
9,11,1
17,23.706,1
