@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,10-11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
2.9,0.29,46,1
2.25,0.389,25,1
1.25,0.325,17,1
3.4,0.303,56,1
3.125,0.415,44,1
5,0.363,69,1
4,0.295,62,1
5.4,0.306,85,1
2,0.344,23,1
1.714,0.393,14,1
2.375,0.388,30,1
3,0.323,28,1
3.9,0.308,71,1
7.3,0.273,108,1
5.429,0.353,46,1
1.125,0.389,12,1
0.571,0.536,3,1
5.111,0.316,76,1
3,0.547,20,1
3,0.375,40,1
7.875,0.333,106,1
1.4,0.314,23,1
4.125,0.375,52,1
0.875,0.339,14,1
1.571,0.455,20,1
2.875,0.321,39,1
3.125,0.355,41,1
2.2,0.277,35,1
3.045,0.221,112,1
2.923,0.314,43,1
19.889,0.341,229,1
268,0.505,3,2
268,0.537,24,2
2.6,0.154,1,1
18.125,0.156,146,1
1,0.36,3,1
10.5,0.229,110,1
16.444,0.194,189,1
59.444,0.126,469,1
3.313,0.198,147,5
9.375,0.423,84,1
18.5,0.36,237,1
27.222,0.16,254,1
11.889,0.191,135,1
32,0.124,200,1
43.571,0.109,191,1
257,1,1,2
30.857,0.458,223,1
20.778,0.42,233,1
59.444,0.173,613,1
59.444,0.191,676,1
20.556,0.386,227,1
49,0.48,10,2
16.778,0.184,178,1
59.556,0.091,320,1
24.111,0.168,235,1
33.6,0.163,415,1
59.444,0.165,573,1
11.75,0.443,384,1
12,0.345,137,1
143,0.133,18,1
14.111,0.174,155,1
25.375,0.149,191,1
26,1,1,2
21.143,0.184,159,1
1.194,0.189,105,5
20.333,0.327,239,1
1.875,0.325,21,1
13.7,0.191,187,1
51.1,0.158,596,1
7.44,0.485,305,1
30.714,0.538,253,1
20.556,0.417,222,1
6.2,0.419,34,1
167,0.192,31,1
11.333,0.193,137,1
21.556,0.191,238,1
13.333,0.352,112,1
21.571,0.077,61,1
268.5,0.556,24,2
8,0.198,78,1
2.333,0.393,21,1
1.857,0.286,10,1
2,0.316,16,1
11.889,0.328,152,1
24.429,0.16,154,1
16,1,1,2
2,0.28,2,1
10.714,0.661,63,1
17.273,0.239,237,1
14,0.643,3,2
104,0.971,2,2
10,0.535,81,1
15.5,0.326,181,1
1,0.5,1,1
1,0.778,1,1
6.889,0.403,69,1
16.636,0.481,208,1
1.9,0.563,13,1
7.875,0.435,91,1
30.769,0.364,418,1
1.556,0.587,12,1
27.917,0.4,348,1
12.231,0.412,177,1
14.412,0.913,293,1
14.583,0.403,198,1
0.125,1,1,4
159,0.975,2,2
6.76,0.218,586,1
5.917,0.628,79,1
31.917,0.307,485,1
9.222,0.351,89,1
15.5,0.35,195,1
6.429,0.483,62,1
1.9,0.584,16,1
2,0.485,11,1
2.111,0.55,13,1
1.7,0.535,12,1
11.852,0.321,613,1
9.222,0.333,85,1
63,0.587,16,2
26.688,0.4,492,1
18,0.383,288,1
42,0.19,5,2
3.928,0.286,1025,5
1.333,0.488,215,3
10.387,0.689,408,1
1.333,0.917,1,1
22.438,0.376,399,1
7.778,0.433,98,1
1.727,0.579,16,1
5.091,0.386,77,1
26.5,0.371,471,1
5.217,0.942,149,1
25.6,0.363,327,1
1.833,0.538,17,1
1.667,0.525,14,1
3.829,0.296,703,1
21.455,0.354,316,1
0.4,0.9,1,4
5.625,0.911,158,1
1.833,0.568,20,1
27.438,0.384,530,1
25.556,0.399,314,1
1.625,0.683,10,1
6,0.354,81,1
31.6,0.366,422,1
21.25,0.277,236,1
39.8,0.342,557,1
20.25,0.204,85,1
13.625,0.447,158,1
0.125,1,1,1
36.167,0.25,214,1
34.286,0.215,221,1
14,0.18,45,1
40.6,0.239,187,1
8.778,0.198,229,1
0.647,0.417,8,1
6.8,0.141,19,1
9.2,0.174,28,1
27.429,0.136,135,1
30.143,0.257,223,1
10.579,0.238,439,1
5.8,0.402,83,1
18.8,0.183,53,1
23.75,0.311,78,1
16,0.267,102,1
0.007,0.993,1,4
16,0.274,100,1
5.75,0.245,100,1
1.141,0.403,26,3
1.048,0.491,46,3
27,0.778,6,2
5.182,0.343,73,1
23.444,0.219,282,1
1.714,0.226,8,1
76,0.961,2,2
1.167,0.333,6,1
1.5,0.296,8,1
2.667,0.333,6,1
4.889,0.412,66,1
2.4,0.2,7,1
11.6,0.09,22,1
45,0.356,15,1
16.857,0.386,141,1
4.857,0.252,42,1
2.167,0.295,15,1
1.2,0.4,6,1
2.2,0.309,10,1
2.143,0.2,14,1
5.25,0.259,50,1
3.6,0.322,20,1
14.667,0.189,146,1
50.182,0.816,1,2
16,0.938,1,2
33.364,0.221,544,1
30.143,0.18,624,1
23.923,0.216,537,1
17,1,1,2
2,0.275,29,1
8,1,1,2
17,1,1,2
15.222,0.235,171,1
16,0.238,99,1
39.875,0.174,353,1
9.286,0.215,71,1
13.143,0.309,106,1
106,0.434,45,2
0.8,0.5,6,1
1.607,0.368,59,1
4.222,0.211,32,1
9.583,0.256,203,1
0.455,0.655,3,1
27.545,0.151,67,1
1,0.57,18,1
1.816,0.476,292,1
10.071,0.278,240,1
0.143,1,1,4
1.1,0.491,12,1
1.091,0.492,15,1
5,0.306,74,1
