@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
6,414,83,1
5,65,11,1
5,265,46,1
8,96,18,1
6,84,18,1
10,190,9,1
7,98,20,1
7,63,10,1
7,98,18,1
7,266,55,1
9,1980,316,1
7,147,37,1
7,77,16,1
7,322,78,1
5,70,21,1
10,2620,344,1
7,140,35,1
7,462,93,1
9,486,88,1
6,114,26,1
7,322,64,1
9,72,9,1
6,198,41,1
7,280,60,1
5,35,8,1
7,77,18,1
7,91,17,1
7,28,4,1
7,91,17,1
7,77,14,1
7,56,8,1
5,65,21,1
7,119,27,1
7,210,50,1
9,153,25,1
9,171,33,1
7,140,27,1
6,66,15,1
8,216,45,1
7,147,27,1
5,30,8,1
4,80,22,1
7,238,50,1
9,180,26,1
8,136,9,1
7,231,51,1
7,154,32,1
7,182,23,1
7,63,13,1
9,99,17,1
7,357,75,1
7,140,27,1
7,105,22,1
9,396,67,1
7,49,9,1
4,16,2,1
7,133,31,1
5,15,3,1
7,245,50,1
7,140,26,1
9,738,122,1
5,20,1,1
7,231,56,1
8,136,25,1
7,161,31,1
7,161,31,1
7,329,66,1
6,348,82,1
7,315,65,1
7,70,18,1
9,171,31,1
5,160,51,1
8,432,59,1
7,378,91,1
8,224,40,1
24,432,29,5
8,104,23,1
8,144,30,1
8,240,47,1
7,77,5,5
8,152,34,1
9,108,20,1
11,242,36,1
11,352,52,1
21,273,20,1
13,65,4,5
8,192,36,1
9,81,16,1
8,32,2,5
10,330,45,1
9,81,10,1
8,80,16,1
9,387,73,1
8,240,49,1
9,198,16,1
9,2196,327,1
8,72,15,1
9,315,56,1
9,171,29,1
10,250,42,1
8,104,20,1
10,470,69,1
10,130,25,1
8,128,26,1
8,208,32,1
8,104,18,1
10,670,94,1
8,96,20,1
6,192,38,1
11,836,102,1
10,270,39,1
8,440,56,1
8,96,17,1
8,248,55,1
11,550,74,1
8,128,23,1
10,690,103,1
9,162,31,1
8,336,67,1
5,45,12,1
12,3132,364,1
8,248,46,1
9,180,35,1
11,462,68,1
8,112,20,1
8,296,69,1
6,84,21,1
8,152,27,1
8,64,12,1
10,260,38,1
8,128,20,2
8,112,16,1
7,49,4,1
10,1550,231,1
8,192,42,1
1,7,1,1
5,10,1,1
5,75,12,1
5,60,6,1
5,100,20,1
5,65,14,1
5,85,21,1
8,192,31,1
10,2610,388,1
9,81,13,1
8,96,20,1
10,280,45,1
6,18,1,1
10,330,56,1
8,56,9,1
6,180,26,1
5,130,27,1
5,110,27,1
5,55,12,1
8,112,18,1
8,288,39,1
5,115,24,1
8,96,20,1
10,140,18,1
11,209,26,1
8,48,9,1
8,232,39,1
7,42,9,1
10,180,29,1
7,434,91,1
8,112,19,1
11,2882,386,1
10,250,45,1
10,100,18,1
7,189,42,1
8,280,61,1
8,328,77,1
10,450,59,1
8,480,87,1
8,128,23,1
10,460,66,1
8,392,84,1
8,56,11,1
8,488,86,1
8,184,45,1
8,72,13,1
8,80,9,1
7,175,42,1
10,90,12,1
10,340,51,1
11,814,102,1
8,280,59,1
6,42,9,1
8,96,20,1
10,270,41,1
5,35,9,1
8,256,46,1
8,416,84,1
7,21,4,1
11,2882,373,1
7,217,47,1
10,430,61,1
8,24,4,1
7,154,33,1
8,384,72,1
7,343,57,1
8,424,86,1
10,1760,263,1
7,84,21,1
8,328,64,1
28,896,69,1
7,1498,243,1
8,2824,165,1
1,13,2,1
5,405,97,1
7,77,11,1
8,552,39,1
9,2979,308,1
25,4650,310,1
9,4572,563,1
9,4806,479,1
10,5340,548,1
13,494,41,1
9,972,125,1
9,1521,212,1
9,621,94,1
7,1351,203,1
8,496,80,1
2,830,25,2
2,126,4,2
9,4590,513,1
9,2691,274,1
9,4815,470,1
2,950,5,2
1,537,1,2
8,872,125,1
28,896,59,3
9,1521,220,1
8,1672,228,1
1,278,9,2
10,2500,253,1
1,81,3,2
9,1512,221,1
8,120,14,1
10,4740,585,1
10,5100,564,1
9,963,146,1
8,112,18,1
9,1755,144,1
8,456,68,1
7,441,83,1
7,238,45,1
9,4599,530,1
7,3647,260,1
2,1074,18,2
8,1184,181,1
9,4590,566,1
7,441,77,1
8,1728,222,1
8,656,98,1
2,208,12,1
9,3384,569,1
9,594,101,1
9,549,73,1
9,2412,351,1
9,918,151,1
7,350,61,1
24,4272,267,1
25,4675,303,1
9,999,115,1
8,4184,209,1
9,2979,452,1
8,552,82,1
1,99,18,1
8,1520,148,1
9,2097,274,1
1,118,21,1
1,50,9,1
11,1705,210,1
95,8835,1644,3
9,324,33,1
15,165,8,1
13,585,38,1
10,570,61,1
9,72,2,1
13,871,74,1
1,14,1,2
13,5733,463,1
10,2580,325,1
13,3861,318,1
10,200,12,1
1,117,3,2
1,47,1,2
14,5698,443,1
14,5096,396,1
10,1860,267,1
7,448,76,1
24,2568,138,1
11,1551,199,1
1,10,1,2
1,44,6,2
10,180,10,1
10,2050,257,1
12,3024,265,1
26,9828,650,1
12,12,1,4
11,2013,207,1
10,160,12,1
13,1768,160,1
10,200,15,1
10,190,14,1
14,6062,485,1
10,190,14,1
10,190,12,1
8,1544,246,1
13,2483,214,1
7,301,64,1
3,12,1,1
14,4480,355,1
9,2250,316,1
10,180,14,1
24,5016,269,1
11,1694,206,1
12,276,16,1
11,220,14,1
83,26062,838,5
17,1632,116,1
16,6224,424,1
14,868,63,1
16,4944,351,1
11,242,18,1
3,12,1,1
11,209,17,1
11,22,1,4
3,12,1,1
8,104,10,1
9,2088,326,1
10,1770,261,1
8,96,9,1
9,1467,130,1
8,1296,149,1
15,435,55,1
24,12240,268,2
9,1431,184,1
7,1701,230,1
8,872,119,1
5,135,13,1
8,760,106,1
8,1936,228,1
6,276,60,1
5,345,57,1
17,408,34,1
18,432,34,1
7,259,43,1
16,384,32,1
17,408,34,1
16,384,35,1
9,1647,252,1
6,582,94,1
4,384,73,1
7,980,167,1
160,45760,166,5
10,880,101,1
7,28,5,1
6,102,18,1
7,266,60,1
7,217,39,1
7,119,11,1
7,56,12,1
1,77,24,1
7,413,56,1
9,441,69,1
9,882,131,1
9,1998,266,1
5,80,10,1
5,10,1,4
9,414,74,1
7,119,27,1
5,145,25,1
17,1870,224,1
11,4697,14,2
6,42,1,1
23,460,11,1
10,1190,151,1
9,153,24,1
12,3624,429,1
1,235,8,2
1,107,5,2
13,4381,514,1
2,38,2,1
6,78,6,1
8,2768,339,1
20,600,19,1
20,360,9,1
20,640,13,1
8,256,3,1
7,294,58,1
9,90,8,1
8,1240,276,1
7,63,9,1
12,336,29,1
11,110,11,1
1,196,3,2
2,398,6,2
38,3648,478,1
1,9,1,2
14,1750,228,1
9,513,105,1
1,131,2,2
11,2123,325,1
4,2096,28,2
