@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
280,4.375,117,1
644,13.143,188,1
1370,13.7,261,1
250,2.5,102,1
133,2.714,35,1
3707,30.636,650,1
180,1.8,70,1
738,9.111,284,1
880,8.8,218,1
840,8.4,299,1
1392,21.75,224,1
980,20,248,1
512,8,197,1
451,3.727,152,1
32,0.5,13,1
4590,56.667,684,1
576,16,150,1
1260,12.6,575,1
594,4.909,188,1
56,3.5,15,1
133,2.714,44,1
65,2.6,31,1
184,2.875,64,1
3624,25.167,721,1
1712,26.75,720,1
639,7.889,188,1
424,6.625,161,1
130,5.2,64,1
88,0.727,39,1
220,1.818,37,1
126,2.571,30,1
266,5.429,110,1
30,1.2,13,1
180,1.8,53,1
28,0.571,10,1
512,8,129,1
4410,54.444,297,1
119,2.429,19,1
78,2.167,27,1
2565,31.667,866,1
891,7.364,302,1
396,4.889,182,1
3141,38.778,394,1
1000,10,267,1
315,12.6,116,1
342,4.222,152,1
935,7.727,240,1
144,2.25,61,1
4875,28.846,751,1
504,10.286,204,1
91,1.857,26,1
248,3.875,93,1
333,4.111,132,1
216,3.375,51,1
585,7.222,130,1
216,2.667,76,1
496,7.75,108,1
9,9,7,1
1080,13.333,190,1
12,12,7,1
2981,24.636,829,1
35,0.714,29,1
3270,32.7,1239,1
2310,10.267,976,1
1190,11.9,464,1
78,2.167,42,1
805,16.429,220,1
74,74,14,1
786,21.833,83,1
664,10.375,237,1
531,6.556,185,1
98,2,21,1
65,2.6,28,1
85,3.4,34,1
147,3,42,1
114,3.167,33,1
140,2.857,43,1
288,3.556,120,1
100,1,34,1
3984,6.917,3604,1
830,8.3,221,1
1020,7.083,311,1
333,4.111,148,1
427,8.714,137,1
152,2.375,69,1
35,0.714,15,1
465,2.067,95,1
77,1.571,30,1
242,2,157,1
77,1.571,29,1
192,3,74,1
270,7.5,114,1
1550,15.5,427,1
1771,14.636,582,1
96,1.5,45,1
357,7.286,116,1
1980,24.444,456,1
1744,27.25,252,1
300,3,128,1
440,6.875,99,1
156,4.333,66,1
180,2.222,47,1
850,8.5,275,1
287,5.857,122,1
682,5.636,149,1
640,10,222,1
5110,51.1,721,1
126,2.571,34,1
1188,14.667,225,1
154,3.143,61,1
135,1.667,24,1
5629,33.308,2109,1
1690,10,663,1
90,0.9,47,1
287,5.857,102,1
190,1.9,27,1
135,1.667,55,1
9,1,7,1
70,1.429,20,1
306,3.778,118,1
238,4.857,60,1
4280,66.875,731,1
392,24.5,205,1
6016,23.5,2232,1
126,2.571,35,1
3732,25.917,727,1
64,1,25,1
264,2.182,140,1
2720,27.2,559,1
400,4,171,1
21,0.429,12,1
1056,16.5,380,1
176,2.75,75,1
40,0.625,13,1
264,4.125,83,1
253,2.091,67,1
441,9,147,1
2470,6.842,514,1
160,2.5,58,1
315,3.889,125,1
552,8.625,119,1
5100,51,827,1
220,2.2,74,1
96,0.667,49,1
2205,45,124,1
319,2.636,102,1
1926,23.778,443,1
310,3.1,105,1
42,1.167,19,1
5740,29.286,1382,1
25748,3.829,7618,1
837,10.333,192,1
90,1.111,31,1
78,2.167,34,1
200,2,80,1
96,0.667,28,1
12,12,7,1
558,6.889,194,1
553,11.286,313,1
1298,10.727,452,1
2123,17.545,516,1
230,2.3,60,1
5340,53.4,703,1
40,0.625,16,1
104,1.625,38,1
220,2.2,73,1
990,9.9,261,1
140,2.857,50,1
352,2.909,118,1
108,1.333,48,1
259,5.286,135,1
184,2.875,47,1
4990,49.9,733,1
594,4.909,162,1
49,1,45,1
664,10.375,216,1
126,2.571,32,1
102,2.833,28,1
1701,34.714,372,1
540,3.75,252,1
549,6.778,117,1
270,2.7,99,1
414,5.111,121,1
540,5.4,204,1
1472,5.75,361,1
252,5.143,115,1
1078,8.909,297,1
387,4.778,146,1
1480,23.125,392,1
1353,11.182,649,1
96,1.5,46,1
208,3.25,49,1
40,1.6,22,1
387,4.778,106,1
98,2,33,1
590,5.9,238,1
1300,13,589,1
3783,22.385,1080,1
35,1.4,14,1
918,11.333,371,1
70,2.8,39,1
1650,16.5,426,1
594,7.333,143,1
1500,15,378,1
2618,13.357,693,1
2160,26.667,386,1
2250,27.778,781,1
896,1.143,411,1
1505,30.714,810,1
1413,17.444,313,1
231,4.714,85,1
1008,7,433,1
368,5.75,125,1
4446,26.308,1027,1
24,0.667,14,1
560,11.429,87,1
3123,38.556,347,1
963,11.889,369,1
320,5,125,1
747,9.222,219,1
297,3.667,107,1
72,1.125,28,1
176,2.75,57,1
1067,8.818,317,1
88,1.375,42,1
600,9.375,249,1
120,3.333,40,1
396,4.889,163,1
913,7.545,250,1
3972,27.583,942,1
56,1.143,19,1
42,1.167,30,1
360,3.6,128,1
10,0.4,8,1
864,10.667,243,1
90,2.5,42,1
162,2,101,1
1300,13,632,1
287,5.857,94,1
441,5.444,262,1
6851,23.706,2388,1
123,123,20,1
90,3.6,29,1
5080,50.8,506,1
119,2.429,43,1
156,4.333,81,1
264,4.125,99,1
189,2.333,57,1
2431,20.091,607,1
688,10.75,340,1
800,8,251,1
363,3,101,1
5110,51.1,822,1
153,1.889,93,1
63,1.286,23,1
770,15.714,134,1
230,9.2,64,1
41,41,16,1
2556,31.556,350,1
472,7.375,138,1
140,2.857,46,1
2025,25,400,1
168,4.667,62,1
400,4,111,1
294,8.167,84,1
35,1.4,16,1
657,8.111,196,1
4494,22.929,1624,1
108,1.333,44,1
48,1.333,29,1
28,0.571,20,1
288,3.556,87,1
32,0.5,15,1
2710,27.1,509,1
4740,47.4,886,1
200,3.125,71,1
354,9.833,84,1
12350,19.76,5707,1
280,11.2,34,1
203,4.143,74,1
333,4.111,127,1
324,4,187,1
90,2.5,22,1
1092,6.462,382,1
384,24,184,1
128,2,42,1
689,4.077,351,1
3178,16.214,754,1
627,5.182,170,1
354,9.833,95,1
1134,14,528,1
136,2.125,60,1
301,6.143,74,1
880,7.273,433,1
15,0.6,9,1
2814,14.357,1050,1
378,7.714,108,1
5317,31.462,1475,1
368,5.75,116,1
333,4.111,111,1
100,1,35,1
36,1,11,1
350,14,63,1
560,11.429,57,1
312,4.875,115,1
1242,15.333,336,1
2714,5.13,795,1
4224,7.333,2096,1
126,1.556,16,1
89,89,15,1
1815,15,643,1
84,2.333,33,1
20,0.8,10,1
520,8.125,140,1
280,5.714,94,1
96,1.5,41,1
190,1.9,116,1
1760,17.6,452,1
420,4.2,149,1
35,35,15,1
300,3,107,1
286,2.364,85,1
4088,63.875,343,1
170,6.8,38,1
885,35.4,200,1
13,13,10,1
320,5,119,1
4165,14.412,3801,1
108,3,48,1
56,0.875,27,1
77,1.571,24,1
275,2.273,92,1
1562,3.227,780,1
344,5.375,128,1
12,1.333,12,1
243,3,84,1
1350,16.667,320,1
145,5.8,40,1
469,9.571,121,1
40,0.625,18,1
6784,26.5,2518,1
864,6,551,1
1260,12.6,516,1
640,6.4,189,1
384,6,116,1
333,4.111,199,1
91,1.857,72,1
328,5.125,96,1
96,1.5,37,1
711,8.778,244,1
15,0.6,9,1
738,9.111,236,1
5621,46.455,956,1
65,2.6,22,1
200,3.125,83,1
49,49,14,1
30,0.833,11,1
1270,12.7,493,1
560,8.75,156,1
49,1,14,1
1188,14.667,199,1
35,0.714,9,1
1540,15.4,485,1
6720,11.667,3018,1
78,2.167,28,1
408,6.375,125,1
38,9.5,7,1
240,3.75,87,1
72,4.5,24,1
836,6.909,212,1
133,2.714,54,1
536,8.375,210,1
350,7.143,75,1
2088,25.778,573,1
70,70,14,1
296,4.625,99,1
830,8.3,296,1
40,1.6,17,1
96,1.5,39,1
963,11.889,209,1
64,1,14,1
1248,8.667,418,1
497,10.143,115,1
644,13.143,92,1
328,5.125,119,1
119,2.429,47,1
81,1,22,1
384,24,160,1
552,8.625,154,1
1550,15.5,542,1
99,0.818,34,1
572,4.727,150,1
160,1.6,48,1
1672,13.818,610,1
6285,27.933,2170,1
990,9.9,468,1
1352,8,332,1
96,2.667,47,1
180,1.8,53,1
803,6.636,217,1
1870,6.471,328,1
3160,31.6,1158,1
140,1.4,52,1
810,10,211,1
4815,59.444,786,1
132,1.091,57,1
1260,1.607,464,1
4872,24.857,822,1
189,3.857,49,1
121,1,65,1
1092,22.286,517,1
180,5,81,1
77,0.636,46,1
1386,11.455,379,1
2422,49.429,448,1
216,2.667,46,1
297,3.667,112,1
2928,11.438,1208,1
60,1.667,19,1
210,4.286,68,1
715,5.909,127,1
72,1.125,27,1
2981,24.636,502,1
60,60,13,1
91,1.857,33,1
329,6.714,94,1
65,2.6,16,1
1837,15.182,681,1
96,1.5,41,1
504,7.875,129,1
195,7.8,66,1
490,10,262,1
1298,10.727,338,1
42,0.857,16,1
4450,7.12,2115,1
568,8.875,177,1
98,2,35,1
80,1.25,34,1
238,4.857,71,1
1106,22.571,264,1
315,3.889,186,1
3647,74.429,333,1
380,3.8,71,1
410,4.1,128,1
28,0.571,12,1
20,0.8,14,1
364,7.429,99,1
328,5.125,139,1
648,8,156,1
360,4.444,128,1
60,1.667,20,1
78,2.167,23,1
15,0.6,8,1
42,0.857,20,1
217,4.429,58,1
118,118,22,1
208,3.25,85,1
576,7.111,172,1
1010,10.1,471,1
96,1.5,39,1
252,5.143,76,1
336,6.857,98,1
1250,12.5,570,1
261,3.222,61,1
3170,31.7,392,1
112,2.286,35,1
133,2.714,38,1
2620,26.2,754,1
168,2.625,60,1
650,6.5,289,1
189,2.333,69,1
4815,59.444,510,1
781,6.455,360,1
909,11.222,192,1
656,10.25,261,1
3311,27.364,1019,1
749,15.286,202,1
2710,27.1,679,1
1008,12.444,215,1
1380,9.583,353,1
656,10.25,274,1
133,2.714,27,1
3840,26.667,888,1
702,8.667,245,1
450,12.5,160,1
4788,59.111,736,1
520,5.2,153,1
161,3.286,45,1
144,2.25,68,1
240,3.75,85,1
195,7.8,96,1
160,1.6,60,1
735,15,93,1
380,3.8,164,1
225,2.778,85,1
112,2.286,47,1
6331,37.462,1564,1
110,1.1,42,1
64,1,30,1
768,12,85,1
32,0.5,12,1
336,5.25,124,1
610,6.1,177,1
60,2.4,36,1
315,6.429,120,1
915,4.067,226,1
976,15.25,222,1
112,1.75,54,1
1232,10.182,267,1
927,11.444,370,1
3710,18.929,1315,1
63,1.286,22,1
510,5.1,172,1
423,5.222,141,1
387,4.778,116,1
100,1,50,1
4392,54.222,326,1
40,1.6,17,1
117,1.444,43,1
252,5.143,70,1
485,19.4,162,1
120,0.833,53,1
1647,20.333,538,1
4625,7.4,2214,1
360,4.444,178,1
481,2.846,155,1
42,1.167,22,1
49,1,19,1
24,0.667,14,1
494,2.923,163,1
729,9,246,1
70,1.429,22,1
19789,3.338,9204,1
3684,25.583,1068,1
774,9.556,232,1
306,3.778,103,1
77,1.571,23,1
477,5.889,151,1
96,1.5,44,1
84,1.714,38,1
407,3.364,151,1
245,5,109,1
360,4.444,115,1
320,5,146,1
2176,34,404,1
360,5.625,56,1
34,8.5,11,1
176,2.75,66,1
195,7.8,80,1
330,3.3,116,1
162,4.5,77,1
312,2.167,69,1
1296,16,160,1
1590,15.9,564,1
120,1.2,42,1
399,8.143,109,1
110,1.1,22,1
105,2.143,24,1
200,3.125,56,1
42,0.857,21,1
738,9.111,253,1
2484,30.667,964,1
56,1.143,20,1
171,2.111,43,1
120,1.875,38,1
2004,13.917,451,1
1089,13.444,388,1
924,7.636,258,1
828,5.75,331,1
460,0.87,233,1
42,4.667,16,1
304,4.75,140,1
198,5.5,103,1
234,2.889,68,1
243,3,87,1
49,1,17,1
940,9.4,235,1
56,1.143,22,1
3184,49.75,887,1
747,9.222,249,1
96,1.5,42,1
2270,22.7,510,1
2720,27.2,508,1
488,7.625,101,1
40,40,16,1
2880,28.8,549,1
189,2.333,67,1
2710,27.1,675,1
315,6.429,80,1
20,0.8,8,1
1562,3.227,838,1
312,2.167,86,1
2466,30.444,390,1
2842,14.5,1028,1
246,6.833,57,1
76,4.75,32,1
63,0.778,18,1
396,4.889,178,1
918,11.333,354,1
48,0.75,18,1
99,0.818,38,1
5964,41.417,1605,1
352,5.5,160,1
2630,26.3,537,1
408,11.333,105,1
72,4.5,18,1
2050,20.5,781,1
301,6.143,164,1
931,19,196,1
77,1.571,28,1
10712,15.846,3424,1
96,2.667,47,1
156,4.333,45,1
1750,8.929,505,1
360,5.625,74,1
112,1.75,50,1
400,4,135,1
2882,23.818,747,1
660,6.6,178,1
630,6.3,158,1
72,1.125,26,1
110,1.1,47,1
781,6.455,520,1
120,1.2,40,1
3927,32.455,845,1
168,2.625,52,1
300,8.333,64,1
756,9.333,308,1
168,4.667,68,1
657,8.111,247,1
490,4.9,289,1
640,10,194,1
104,1.625,61,1
96,1.5,44,1
119,2.429,38,1
5110,51.1,805,1
480,7.5,208,1
1508,8.923,421,1
2754,34,530,1
70,2.8,31,1
180,5,56,1
4214,21.5,1084,1
4824,59.556,609,1
56,0.875,29,1
90,0.9,20,1
100,1,56,1
328,5.125,115,1
1544,24.125,617,1
16,1,8,1
963,11.889,316,1
423,5.222,171,1
1125,13.889,236,1
180,2.222,53,1
592,9.25,270,1
1440,14.4,368,1
288,3.556,102,1
576,16,154,1
140,2.857,49,1
24,1.5,10,1
1936,30.25,450,1
84,1.714,35,1
276,7.667,89,1
387,4.778,186,1
128,2,44,1
2120,21.2,508,1
28,0.571,7,1
104,26,15,1
1550,15.5,510,1
1280,12.8,455,1
200,2,108,1
2979,36.778,374,1
760,7.6,360,1
288,4.5,93,1
1122,31.167,211,1
1081,2.043,341,1
1368,16.889,518,1
1422,4.389,365,1
162,2,53,1
378,4.667,131,1
12,1.333,11,1
161,3.286,45,1
2560,25.6,928,1
156,4.333,53,1
88,0.727,62,1
870,8.7,326,1
368,5.75,131,1
552,8.625,113,1
351,4.333,156,1
1536,24,318,1
171,2.111,51,1
11775,18.84,5290,1
2412,29.778,441,1
544,8.5,183,1
380,3.8,117,1
891,11,413,1
25,1,11,1
1122,9.273,324,1
1134,14,549,1
24,0.667,11,1
1250,12.5,237,1
756,9.333,189,1
780,7.8,297,1
572,4.727,160,1
161,3.286,44,1
225,2.778,72,1
287,5.857,60,1
264,1.833,146,1
5130,22.8,1232,1
144,4,42,1
140,2.857,57,1
930,9.3,192,1
296,4.625,111,1
3240,5.625,2953,1
2116,4,306,1
664,10.375,261,1
120,1.875,67,1
98,2,31,1
120,3.333,38,1
560,11.429,202,1
70,1.429,23,1
99,0.818,47,1
190,1.9,111,1
490,4.9,259,1
1265,10.455,337,1
280,4.375,119,1
133,2.714,53,1
470,18.8,110,1
328,5.125,106,1
756,9.333,249,1
102,2.833,25,1
2882,23.818,722,1
297,3.667,126,1
1260,12.6,584,1
80,1.25,34,1
90,0.9,60,1
2871,23.727,698,1
140,2.857,61,1
408,1.412,163,1
2232,27.556,737,1
344,5.375,170,1
344,5.375,135,1
6768,11.75,2995,1
273,5.571,80,1
91,1.857,36,1
288,3.556,119,1
504,7.875,162,1
1464,10.167,381,1
864,13.5,301,1
48,0.75,28,1
198,5.5,53,1
75,3,42,1
70,2.8,27,1
140,2.857,65,1
568,8.875,164,1
200,2,87,1
96,1.5,20,1
2001,3.783,572,1
35,1.4,23,1
830,8.3,173,1
480,3.333,130,1
288,3.556,69,1
328,5.125,87,1
390,3.9,115,1
2979,36.778,582,1
424,6.625,157,1
2992,24.727,511,1
132,3.667,26,1
217,4.429,65,1
96,1.5,43,1
1183,24.143,197,1
396,4.889,184,1
324,4,184,1
1672,26.125,290,1
880,8.8,226,1
25,1,10,1
72,2,26,1
352,2.909,93,1
98,2,40,1
12375,19.8,5748,1
2100,3.36,930,1
126,3.5,44,1
77,1.571,25,1
230,2.3,73,1
3252,22.583,843,1
160,2.5,81,1
792,9.778,208,1
1012,8.364,365,1
136,2.125,27,1
1496,23.375,232,1
40,2.5,20,1
582,16.167,135,1
656,10.25,258,1
108,1.333,49,1
630,6.3,116,1
253,2.091,148,1
108,1.333,53,1
1494,18.444,502,1
132,1.091,65,1
672,10.5,154,1
330,3.3,93,1
400,6.25,101,1
243,3,84,1
612,7.556,205,1
2296,2.929,623,1
486,13.5,137,1
80,0.8,42,1
96,1.5,56,1
36,1,19,1
996,6.917,300,1
1386,28.286,76,1
2710,27.1,522,1
792,12.375,158,1
2483,14.692,1007,1
2976,5.167,2683,1
819,10.111,247,1
266,5.429,66,1
416,6.5,187,1
1832,28.625,308,1
49,1,12,1
161,3.286,55,1
96,6,55,1
81,1,26,1
350,3.5,32,1
468,5.778,134,1
530,5.3,156,1
472,7.375,152,1
2100,14.583,847,1
259,5.286,79,1
384,6,136,1
280,2.8,96,1
55,2.2,17,1
162,2,45,1
175,3.571,62,1
825,6.818,223,1
56,0.875,25,1
91,1.857,24,1
64,1,15,1
495,19.8,150,1
798,4.071,592,1
280,4.375,124,1
112,2.286,47,1
2384,37.25,329,1
48,0.75,24,1
24,0.375,12,1
287,5.857,53,1
608,9.5,191,1
288,3.556,86,1
35,1.4,16,1
70,2.8,32,1
168,0.857,72,1
64,1,23,1
738,9.111,181,1
234,6.5,92,1
1953,24.111,329,1
117,1.444,36,1
126,1.556,74,1
5208,26.571,1971,1
140,2.857,51,1
240,6.667,75,1
224,3.5,92,1
4581,56.556,563,1
310,3.1,200,1
494,2.923,160,1
1344,27.429,183,1
440,6.875,107,1
220,2.2,68,1
945,19.286,147,1
5382,31.846,1919,1
2013,16.636,969,1
200,2,75,1
294,8.167,94,1
168,2.625,61,1
5096,26,1865,1
738,9.111,280,1
378,7.714,188,1
84,1.714,39,1
207,2.556,46,1
999,12.333,188,1
5852,29.857,1525,1
576,9,230,1
609,12.429,141,1
2951,17.462,668,1
54,1.5,16,1
576,9,114,1
979,8.091,166,1
21,2.333,13,1
639,7.889,249,1
95,3.8,42,1
1584,24.75,341,1
324,9,178,1
77,1.571,24,1
896,18.286,182,1
423,5.222,130,1
999,12.333,209,1
1710,17.1,215,1
216,3.375,94,1
176,2.75,77,1
5350,53.5,606,1
324,4,212,1
56,0.875,18,1
190,1.9,72,1
65,2.6,36,1
81,1,59,1
140,2.857,36,1
288,3.556,78,1
171,2.111,50,1
28,0.571,8,1
120,3.333,44,1
70,0.7,30,1
152,2.375,47,1
152,2.375,60,1
28,7,11,1
3090,30.9,618,1
245,5,100,1
470,4.7,158,1
4172,21.286,862,1
9,1,8,1
340,3.4,143,1
5350,53.5,889,1
918,11.333,165,1
784,12.25,221,1
4826,3.342,2238,1
5866,29.929,2188,1
1720,26.875,715,1
171,2.111,67,1
592,9.25,244,1
5040,50.4,701,1
1508,8.923,441,1
4248,7.375,2182,1
280,2.8,82,1
42,0.857,12,1
1899,23.444,416,1
168,2.625,73,1
1008,7,284,1
350,3.5,133,1
35,1.4,21,1
909,11.222,402,1
168,18.667,11,1
180,2.222,83,1
232,3.625,48,1
120,1.875,36,1
68,4.25,13,1
1099,22.429,482,1
114,3.167,36,1
133,2.714,46,1
72,1.125,28,1
261,3.222,108,1
210,5.833,112,1
84,2.333,45,1
496,7.75,180,1
261,3.222,80,1
144,1.778,23,1
184,2.875,69,1
190,1.9,114,1
200,3.125,62,1
30,1.2,13,1
873,10.778,277,1
42,0.857,9,1
470,4.7,105,1
2112,14.667,637,1
378,4.667,75,1
1309,10.818,341,1
981,12.111,215,1
440,3.636,119,1
2620,26.2,736,1
376,5.875,122,1
2761,22.818,979,1
4788,6.107,1235,1
864,2.667,228,1
240,3.75,56,1
102,2.833,30,1
126,2.571,59,1
580,5.8,233,1
80,1.25,31,1
329,6.714,89,1
24,0.667,12,1
120,1.875,34,1
2710,27.1,469,1
1810,18.1,888,1
63,0.778,22,1
1536,10.667,520,1
20,0.8,12,1
91,1.857,33,1
2871,23.727,668,1
231,4.714,79,1
2439,30.111,712,1
220,1.818,124,1
88,0.727,23,1
378,7.714,101,1
78,2.167,26,1
104,1.625,44,1
2979,36.778,661,1
738,9.111,249,1
210,8.4,54,1
143,1.182,60,1
847,17.286,258,1
2322,28.667,401,1
184,2.875,85,1
399,8.143,165,1
494,2.923,164,1
2620,26.2,719,1
273,0.619,46,1
4760,24.286,1824,1
845,5,255,1
280,4.375,90,1
240,6.667,71,1
42,1.167,15,1
441,5.444,261,1
2013,16.636,937,1
572,3.385,98,1
135,5.4,74,1
324,4,164,1
144,2.25,58,1
468,5.778,173,1
72,2,23,1
1048,16.375,258,1
180,2.222,99,1
168,2.625,92,1
1016,15.875,319,1
56,0.875,28,1
216,2.667,77,1
33,33,12,1
819,10.111,132,1
371,7.571,127,1
168,3.429,41,1
42,0.857,15,1
112,1.75,47,1
1664,26,323,1
2135,43.571,232,1
790,7.9,256,1
576,7.111,268,1
558,15.5,133,1
126,1.556,89,1
333,4.111,175,1
322,6.571,98,1
72,0.889,16,1
98,2,28,1
5894,30.071,2236,1
207,2.556,51,1
140,2.857,53,1
812,16.571,251,1
408,1.412,174,1
198,5.5,49,1
576,7.111,199,1
60,2.4,12,1
630,6.3,185,1
650,6.5,309,1
1256,19.625,560,1
5110,51.1,721,1
1098,13.556,366,1
112,1.75,57,1
56,0.875,21,1
480,19.2,155,1
203,4.143,58,1
70,1.429,20,1
3264,22.667,1075,1
2412,29.778,1122,1
378,4.667,89,1
48,3,12,1
324,4,183,1
297,3.667,98,1
80,0.8,55,1
98,2,31,1
2934,36.222,501,1
315,6.429,63,1
690,6.9,191,1
1210,12.1,486,1
1755,10.385,864,1
162,2,102,1
2196,27.111,520,1
935,7.727,251,1
440,17.6,160,1
174,4.833,59,1
385,3.182,135,1
288,4.5,161,1
1359,16.778,251,1
572,1.182,162,1
664,10.375,268,1
2784,19.333,879,1
49,1,15,1
1050,21.429,187,1
56,1.143,20,1
418,3.455,137,1
310,3.1,88,1
66,1.833,21,1
2992,24.727,847,1
248,3.875,81,1
4524,26.769,881,1
78,2.167,22,1
356,22.25,121,1
621,7.667,213,1
90,3.6,36,1
2620,26.2,499,1
48,0.75,18,1
990,12.222,308,1
352,5.5,146,1
192,3,84,1
196,4,60,1
140,5.6,43,1
192,3,65,1
640,10,118,1
42,1.167,21,1
564,15.667,106,1
760,11.875,142,1
20,0.8,10,1
68,4.25,21,1
162,2,94,1
324,4,190,1
1085,22.143,193,1
405,16.2,126,1
72,1.125,28,1
1089,13.444,434,1
290,2.9,84,1
3458,20.462,1375,1
380,3.8,161,1
25,1,9,1
220,1.818,49,1
946,7.818,314,1
132,1.091,39,1
96,1.5,38,1
2875,4.6,851,1
25,1,9,1
12,1.333,11,1
5727,10.826,4409,1
14,0.286,7,1
120,1.875,56,1
3330,10.278,544,1
189,2.333,94,1
360,0.9,176,1
42,1.167,17,1
1012,63.25,131,1
637,13,104,1
496,7.75,147,1
312,4.875,113,1
108,1.333,48,1
168,2.625,60,1
45,0.556,17,1
3384,41.778,760,1
744,11.625,194,1
220,1.818,127,1
2422,49.429,404,1
1850,18.5,666,1
980,20,128,1
2016,14,515,1
167,167,32,1
3190,31.9,764,1
1701,34.714,336,1
203,4.143,57,1
3025,25,868,1
672,4.667,172,1
88,1.375,28,1
180,1.8,55,1
918,11.333,177,1
104,1.625,69,1
864,6,197,1
1332,16.444,264,1
656,10.25,189,1
9,9,9,1
120,1.875,39,1
384,1.5,151,1
558,139.5,42,1
120,0.833,81,1
1310,13.1,638,1
47,47,20,1
27,3,8,1
4806,59.333,491,1
64,1,33,1
49,1,17,1
344,5.375,112,1
3471,20.538,1392,1
2625,53.571,241,1
145,5.8,46,1
504,7.875,219,1
357,7.286,115,1
77,1.571,31,1
187,1.545,60,1
774,9.556,261,1
343,7,109,1
36,1,15,1
91,1.857,30,1
999,12.333,184,1
180,1.8,69,1
3766,19.214,1271,1
4176,51.556,658,1
2079,25.667,407,1
245,5,83,1
550,5.5,373,1
2250,27.778,686,1
312,4.875,64,1
2850,28.5,499,1
350,3.5,114,1
2070,25.556,826,1
348,9.667,96,1
980,9.8,384,1
150,4.167,41,1
8,0.5,7,1
20,0.8,14,1
120,1.875,32,1
5530,28.214,1988,1
42,42,17,1
378,4.667,170,1
380,23.75,118,1
1176,8.167,314,1
252,1.286,75,1
109,109,20,1
5200,30.769,1891,1
2613,15.462,1046,1
1818,22.444,158,1
516,3.583,160,1
2444,14.462,460,1
168,2.625,69,1
819,10.111,191,1
60,1.667,11,1
2710,27.1,724,1
441,5.444,111,1
36,0.444,16,1
2799,34.556,456,1
35,1.4,19,1
96,1.5,41,1
2142,26.444,359,1
960,9.6,401,1
77,0.636,36,1
4020,17.867,1661,1
870,8.7,299,1
80,3.2,45,1
189,3.857,15,1
363,3,107,1
490,4.9,81,1
98,2,32,1
882,10.889,251,1
108,1.333,44,1
6832,26.688,2736,1
65,2.6,17,1
4272,7.417,2099,1
670,6.7,201,1
259,5.286,63,1
91,1.857,26,1
324,4,136,1
190,7.6,60,1
248,3.875,74,1
105,2.143,46,1
861,17.571,120,1
1107,13.667,366,1
2502,30.889,645,1
1298,10.727,530,1
102,2.833,33,1
657,8.111,114,1
512,8,172,1
175,3.571,61,1
426,11.833,56,1
32,0.5,8,1
80,3.2,20,1
300,8.333,72,1
140,5.6,45,1
7644,11.308,3464,1
450,5.556,223,1
1143,14.111,199,1
410,4.1,146,1
1674,20.667,268,1
186,5.167,93,1
140,2.857,35,1
328,5.125,69,1
64,1,23,1
310,3.1,61,1
1629,20.111,601,1
24,0.375,10,1
516,3.583,184,1
456,12.667,161,1
4806,59.333,644,1
1656,20.444,354,1
261,3.222,81,1
450,4.5,127,1
64,1,22,1
2280,22.8,592,1
144,1.778,25,1
392,6.125,173,1
336,5.25,122,1
371,7.571,33,1
360,4.444,174,1
792,6.545,527,1
93,10.333,21,1
441,5.444,256,1
4968,34.5,1554,1
343,7,109,1
161,3.286,52,1
