@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
8,832,3.71,478,1
12,864,6.12,551,1
7,1204,2.07,354,1
25,4650,8.06,2121,1
8,360,1.89,132,1
10,150,2.24,47,1
9,1152,1.44,252,1
27,8640,4.53,2774,1
6,306,1.48,90,1
10,2790,2.7,1052,1
7,49,1.71,12,1
11,132,4.33,65,1
87,10092,104.95,4093,1
9,738,2.49,249,1
10,290,2.47,111,1
6,144,1.56,42,1
9,1566,1.71,279,1
8,184,1.51,59,1
5,155,1.91,65,1
12,4848,2.82,1617,1
9,495,1.92,136,1
7,112,1.41,38,1
5,140,1.39,43,1
10,1590,3.07,564,1
10,410,1.87,133,1
8,64,4.67,28,1
7,1064,1.27,228,1
7,1099,2.77,482,1
7,812,2.2,251,1
9,1548,1.28,258,1
8,64,2.33,28,1
7,1792,1.36,242,1
9,1080,1.98,358,1
39,13767,16.89,7667,1
9,2304,1.36,227,1
8,184,1.91,65,1
10,1650,1.65,426,1
7,63,1.46,19,1
10,350,2.67,32,1
24,2016,8.69,956,1
23,3036,20.76,2885,1
11,2981,1.99,829,1
24,6720,7.76,3018,1
7,686,1.53,174,1
9,207,1.51,62,1
7,49,2.14,15,1
7,126,1.35,35,1
10,70,1.77,23,1
8,112,1.55,45,1
5,575,2.03,240,1
8,704,1.49,137,1
7,483,1.28,91,1
9,756,2.75,308,1
9,225,2.13,85,1
6,258,1.77,53,1
9,756,1.81,168,1
9,414,1.72,131,1
5,40,1.63,13,1
8,664,2.15,264,1
25,4625,7.24,2214,1
9,702,2.17,245,1
11,2695,2.77,952,1
12,1224,1.77,315,1
10,190,8.43,118,1
11,594,2.07,188,1
5,55,1.67,25,1
11,2090,2.11,500,1
9,1089,2.08,351,1
8,112,1.71,36,1
11,99,9.2,46,1
7,280,1.38,65,1
10,280,2.33,105,1
10,180,1.96,53,1
8,72,2.31,30,1
23,4554,14.93,4210,1
9,441,3.12,259,1
8,48,3,18,1
6,684,1.76,190,1
12,1236,2.55,436,1
10,510,3.12,209,1
9,2475,1.39,500,1
12,5964,2.44,1605,1
8,72,1.8,27,1
8,184,2.08,83,1
6,192,1.41,55,1
7,42,1.89,17,1
8,512,1.63,129,1
8,496,1.43,106,1
7,91,1.85,24,1
8,8,8,8,1
9,1494,3.08,585,1
25,7275,7.29,3315,1
9,2412,1.24,319,1
10,230,2.4,72,1
9,819,1.37,169,1
9,387,2.73,150,1
11,88,5.1,51,1
4,40,4,20,1
6,186,1.94,93,1
8,168,2.56,69,1
8,176,2.6,52,1
9,3123,1.26,347,1
7,98,1.65,38,1
11,1716,1.52,385,1
7,168,1.38,33,1
8,56,2.67,24,1
7,168,1.38,47,1
11,924,1.74,269,1
10,800,5.08,442,1
8,64,2.91,32,1
8,1344,1.76,430,1
8,280,1.96,110,1
8,40,2.67,16,1
9,288,1.5,69,1
7,91,1.79,34,1
2,104,2.5,15,1
8,96,1.68,37,1
8,312,1.64,118,1
11,231,7.2,108,1
11,2882,1.85,722,1
4,72,6.5,13,1
7,91,1.58,30,1
24,8160,2.67,1718,1
7,945,1.43,191,1
9,2412,1.29,441,1
71,2414,1.91,227,1
6,48,3.1,31,1
6,84,3.07,43,1
9,684,2.18,248,1
5,60,1.38,29,1
10,500,2.74,236,1
11,572,2.05,160,1
6,576,1.61,114,1
8,96,2.47,37,1
9,918,1.27,168,1
10,400,2.09,111,1
12,84,3.6,18,1
9,162,7.29,102,1
9,306,1.61,95,1
9,45,1.83,11,1
6,576,3,183,1
7,63,1.5,15,1
14,798,11.88,570,1
12,396,4.08,155,1
8,664,1.98,237,1
7,1533,1.44,299,1
12,132,1.63,49,1
10,490,3.01,259,1
12,864,2.15,243,1
10,290,2.1,88,1
14,5208,4.99,1971,1
10,1700,1.66,444,1
11,715,1.65,127,1
8,192,1.56,61,1
10,350,1.88,109,1
8,344,2.4,137,1
10,610,3.13,297,1
9,774,2.85,305,1
8,2200,1.31,460,1
9,747,2.94,262,1
38,2622,4.27,1247,1
9,1359,1.48,349,1
9,423,2.75,157,1
7,1330,1.79,390,1
7,140,1.94,60,1
7,336,1.61,90,1
11,77,36,36,1
8,312,1.36,64,1
6,60,1.5,24,1
25,7300,7.23,3283,1
16,3392,5.75,1276,1
8,96,1.9,38,1
7,98,1.95,37,1
10,400,3.05,171,1
8,136,1.67,60,1
3,12,11,11,1
1,31,1.17,7,1
7,196,1.56,56,1
10,70,2.08,25,1
5,55,1.71,24,1
12,96,2.9,29,1
8,128,1.91,42,1
10,260,2.09,92,1
2,90,1.17,7,1
7,847,1.79,234,1
10,250,2,80,1
9,63,1.9,19,1
7,777,1.5,197,1
7,98,1.45,32,1
10,580,2.17,174,1
7,427,1.9,137,1
8,112,2.27,50,1
10,370,1.85,120,1
6,600,1.72,231,1
6,240,1.27,75,1
6,24,2.2,11,1
9,4815,1.35,752,1
9,4581,1.26,563,1
12,3252,1.86,805,1
5,100,2.35,54,1
8,96,2.3,46,1
9,495,1.92,148,1
11,935,1.73,234,1
8,400,1.7,151,1
10,5110,1.36,721,1
16,1936,5.6,767,1
8,640,1.72,191,1
7,322,2.63,134,1
10,590,1.7,148,1
10,350,2.23,147,1
6,120,1.5,21,1
13,4199,2.4,1076,1
8,1560,1.24,273,1
8,168,13.5,81,1
9,729,2.22,260,1
8,208,2.44,88,1
9,918,1.58,152,1
11,1089,2.14,250,1
9,153,2.22,60,1
8,88,1.63,39,1
6,300,1.31,64,1
9,333,2.03,130,1
9,306,1.56,98,1
8,96,2.73,41,1
7,252,1.67,92,1
8,120,2.5,55,1
8,328,2.08,110,1
7,63,1.73,19,1
1,65,1.08,13,1
9,369,3.28,187,1
9,99,1.56,28,1
10,870,2.23,326,1
8,152,1.52,47,1
10,1840,2.58,598,1
8,824,2.71,350,1
6,78,1.87,28,1
8,256,1.8,90,1
10,2490,2.32,731,1
7,70,1.77,23,1
14,4172,3.49,862,1
7,231,1.49,79,1
7,77,1.52,32,1
9,909,1.71,233,1
11,1122,1.53,250,1
11,429,2.47,136,1
7,371,1.5,33,1
8,200,2.64,103,1
9,180,2.2,66,1
11,2563,1.8,629,1
7,294,1.27,42,1
12,444,3.87,182,1
8,120,2.17,50,1
4,176,1.81,47,1
9,1665,3.13,694,1
6,138,2.36,52,1
14,2842,4.36,1028,1
10,310,1.98,87,1
10,810,2.11,226,1
12,6000,2.45,1584,1
13,494,3.88,163,1
13,4550,4.49,1732,1
8,792,1.39,158,1
3,24,1.33,8,1
8,64,2.36,33,1
9,738,2.8,269,1
6,72,1.53,23,1
8,1016,1.98,319,1
10,310,1.3,61,1
7,91,2.71,19,1
11,803,2.03,217,1
18,396,14.5,145,1
11,99,8.5,51,1
13,2925,3.27,740,1
9,4590,1.44,346,1
8,192,1.43,57,1
7,721,1.76,213,1
8,368,2.09,117,1
7,266,2.44,110,1
10,2620,1.32,499,1
23,2852,17.21,2684,1
8,664,2.52,290,1
8,168,2.35,73,1
9,315,2,104,1
10,300,2.42,109,1
7,133,2.25,27,1
8,2384,1.5,576,1
8,208,1.75,77,1
8,336,1.88,139,1
10,1010,2.92,446,1
6,432,4.08,261,1
9,423,2.34,131,1
10,1050,1.7,246,1
7,105,6.17,74,1
9,4815,1.37,425,1
7,217,1.58,68,1
8,48,1.88,15,1
77,20867,11.28,9981,1
9,180,8.25,99,1
24,4080,17.04,3799,1
9,360,1.6,99,1
7,287,1.43,73,1
9,576,2.29,199,1
8,1712,2.9,720,1
11,88,4.08,53,1
7,203,1.71,58,1
14,6160,1.54,975,1
25,4675,7.42,2272,1
8,200,1.65,66,1
10,580,1.62,47,1
25,4225,1.58,923,1
10,330,1.83,97,1
9,81,42,42,1
10,350,2.34,152,1
8,2104,1.19,325,1
7,707,3.19,354,1
7,77,1.64,23,1
8,128,1.91,42,1
10,270,1.87,99,1
8,2768,1.31,398,1
24,8088,18.29,7647,1
10,1080,1.84,321,1
12,480,1.97,130,1
8,72,2.07,31,1
7,56,1.15,15,1
8,1720,2.6,631,1
6,72,2.22,20,1
12,3192,2.72,1079,1
5,25,18,18,1
9,387,3.31,182,1
9,4815,1.36,921,1
14,168,9.25,111,1
7,91,1.63,26,1
7,175,1.41,58,1
8,472,1.82,138,1
8,96,2.14,45,1
11,2981,1.39,525,1
9,2529,1.73,687,1
9,1674,2.44,622,1
7,91,1.47,22,1
5,35,2.33,14,1
7,147,1.68,47,1
10,2800,2.63,998,1
12,4908,2.88,1482,1
5,25,1.29,9,1
10,2620,1.89,736,1
7,392,1.56,56,1
9,2754,1.4,530,1
7,98,1.57,36,1
7,140,2.46,59,1
16,6784,5.16,2518,1
7,224,1.3,52,1
3,42,3.2,16,1
7,112,2,28,1
7,280,1.44,95,1
12,852,6.4,518,1
9,297,1.81,98,1
5,195,3.67,77,1
6,264,1.23,70,1
7,259,1.34,63,1
8,800,3.43,388,1
9,2160,1.66,559,1
8,368,1.79,131,1
6,1578,1.11,196,1
9,180,2.59,83,1
17,6613,5,2273,1
9,1665,2.83,643,1
10,420,2.13,149,1
6,342,2.46,155,1
21,2226,1.99,302,1
6,102,1.3,35,1
8,1464,1.43,271,1
1,10,4,8,1
5,35,1.75,14,1
9,180,2.35,61,1
10,2420,2.08,630,1
11,1144,2.97,451,1
6,300,2,98,1
9,1332,1.37,258,1
6,84,1.28,23,1
6,510,1.42,122,1
9,504,2.22,171,1
10,1450,1.9,403,1
8,1200,1.23,189,1
4,96,2.04,55,1
5,75,1.4,7,1
9,2322,1.28,401,1
12,132,12.29,86,1
6,276,2,60,1
7,126,1.13,27,1
1,22,1.17,7,1
22,1562,11.25,810,1
9,189,3.33,100,1
9,1008,1.59,215,1
6,168,1.47,25,1
9,2709,1.3,482,1
12,864,6.73,538,1
8,1128,1.84,418,1
10,990,1.92,261,1
13,4875,1.44,751,1
24,1536,3.38,348,1
6,114,1.8,36,1
10,460,1.66,128,1
8,368,1.85,98,1
10,390,1.91,111,1
8,368,2.11,131,1
5,160,1.47,69,1
8,144,2.17,52,1
8,552,2.16,229,1
17,374,8.57,120,1
9,2448,1.87,659,1
8,72,2.08,27,1
11,869,2.11,279,1
6,54,2,20,1
14,2688,2.28,628,1
9,1953,1.4,329,1
7,238,1.81,96,1
5,195,2.06,64,1
7,217,2.44,100,1
8,496,2.12,180,1
9,171,7.57,106,1
9,2502,1.62,645,1
11,275,1.96,90,1
16,1792,2.72,546,1
5,85,1.31,34,1
10,120,1.82,40,1
9,1098,2.73,415,1
8,336,2.18,122,1
13,1001,2.4,298,1
8,200,1.89,83,1
8,4200,1.34,398,1
8,176,2.3,69,1
3,12,8,8,1
7,77,1.36,19,1
11,990,4.6,465,1
9,738,2,186,1
9,4176,1.3,658,1
7,189,2.5,15,1
8,192,2.65,61,1
6,234,1.77,92,1
12,3252,1.98,773,1
7,77,1.29,22,1
7,1596,1.4,245,1
7,406,2.26,86,1
8,496,3.03,179,1
10,300,2.29,110,1
14,252,5,75,1
11,781,6.19,520,1
14,70,6.2,31,1
7,56,1.54,20,1
8,1080,1.22,142,1
11,1265,1.79,337,1
20,380,12.53,188,1
8,1848,1.64,421,1
10,210,2.56,69,1
10,550,6.32,373,1
11,1606,1.83,383,1
1,49,7,14,1
11,143,2.08,50,1
8,64,1.83,22,1
10,840,1.65,234,1
7,147,2.09,46,1
6,78,1.65,28,1
6,108,1.76,37,1
13,325,10.86,76,1
17,6851,5.43,2388,1
11,1837,2.86,681,1
10,1220,2.1,359,1
8,72,2.86,20,1
8,328,1.43,96,1
24,6720,7.66,3064,1
8,376,1.26,83,1
3,9,7,7,1
12,804,2.99,302,1
8,1032,1.46,239,1
8,304,2.3,140,1
10,380,2.83,167,1
6,1122,1.26,211,1
9,333,2.7,151,1
9,216,2.17,76,1
10,170,2.38,38,1
5,85,2.91,32,1
7,231,1.53,81,1
1,27,4,16,1
11,5621,1.42,956,1
9,756,2.08,249,1
10,260,2.33,91,1
7,98,2.5,40,1
10,440,1.92,138,1
8,336,1.74,87,1
5,30,1.4,7,1
13,3146,2.33,726,1
9,657,2.63,247,1
13,5070,1.56,924,1
5,65,10,10,1
8,64,3.44,31,1
8,1960,1.36,389,1
8,160,2.25,63,1
8,1360,1.6,377,1
14,4760,2.45,1232,1
6,324,3.36,178,1
6,186,1.4,49,1
22,1034,2.13,330,1
6,1104,1.54,300,1
7,119,1.5,27,1
12,276,7.57,159,1
7,161,1.37,56,1
7,98,1.74,40,1
10,440,1.75,140,1
6,426,1.57,140,1
5,35,1.45,16,1
8,1472,1.64,349,1
16,6384,5.34,2357,1
7,63,1.77,23,1
5,65,1.69,27,1
3,9,8,8,1
13,5629,4.82,2109,1
10,190,1.69,59,1
7,847,1.79,258,1
8,880,1.66,202,1
10,2600,1.78,732,1
13,481,3.52,155,1
10,260,2.2,77,1
9,4797,1.34,799,1
7,217,1.84,83,1
6,132,2.89,26,1
6,786,1.38,83,1
6,24,5,15,1
2,28,3.67,11,1
7,161,1.45,55,1
6,60,1.19,19,1
10,1180,2.02,327,1
1,88,1,17,1
7,441,1.71,140,1
8,40,3,18,1
7,91,7.89,71,1
8,48,8,24,1
7,504,1.7,119,1
9,126,2.47,42,1
9,837,1.57,192,1
7,133,1.35,35,1
9,837,1.66,233,1
2,12,7,7,1
11,1309,1.88,341,1
11,88,39,39,1
9,405,2.77,172,1
11,880,4.98,433,1
8,128,1.94,31,1
7,49,2,16,1
8,32,4.67,14,1
14,3822,4.59,1424,1
7,455,1.38,98,1
8,216,1.29,58,1
5,480,2.14,158,1
1,9,7,7,1
9,693,2.63,337,1
8,200,1.84,81,1
9,108,4.79,67,1
10,530,1.79,156,1
7,112,1.36,34,1
16,5504,5.73,2053,1
9,4815,1.42,926,1
9,459,2.34,136,1
10,2720,1.43,573,1
11,418,1.96,137,1
9,333,2.05,127,1
5,20,2.4,12,1
14,4564,4.4,1657,1
7,140,1.46,35,1
7,245,1.52,85,1
8,600,3.02,254,1
8,320,1.81,112,1
11,352,1.86,117,1
10,250,2.05,82,1
8,816,1.25,173,1
8,256,2.47,94,1
17,1666,14.88,1548,1
7,287,1.33,61,1
10,180,2.6,52,1
9,1071,2.34,452,1
11,1067,2.04,284,1
8,288,1.89,117,1
10,640,2.25,189,1
9,207,1.57,44,1
5,40,1.89,17,1
10,310,1.69,88,1
9,180,2.32,65,1
8,608,2.73,289,1
5,85,1.83,33,1
7,147,1.46,38,1
8,2416,1.43,510,1
5,95,1.32,37,1
9,333,2,100,1
6,42,2,22,1
7,1673,1.51,268,1
9,891,1.39,187,1
6,42,1.38,11,1
4,384,2.56,184,1
9,4824,1.38,441,1
10,190,1.59,62,1
16,6288,5.13,2145,1
9,234,2.35,80,1
9,261,1.3,61,1
9,999,1.49,188,1
8,144,1.84,57,1
6,36,3.67,11,1
6,618,1.23,153,1
9,405,2.11,129,1
11,2981,1.36,483,1
8,784,1.42,221,1
8,400,1.93,162,1
11,2673,1.41,314,1
4,68,1.86,13,1
1,40,12,36,1
9,882,1.58,163,1
10,160,6.19,99,1
10,230,2.3,85,1
7,70,3.5,21,1
7,140,2.24,65,1
23,2714,2.06,795,1
5,40,1.83,22,1
9,225,1.51,56,1
9,108,2.33,42,1
8,160,2.06,66,1
7,875,1.4,236,1
7,525,1.52,138,1
10,60,2.5,20,1
8,1056,2.1,380,1
7,98,1.11,21,1
7,112,1.88,32,1
7,77,1.56,28,1
12,516,2.29,151,1
9,774,2.19,261,1
8,360,9.32,177,1
13,5291,2.31,1406,1
16,1696,1.49,325,1
9,387,1.68,106,1
8,984,2.71,396,1
8,80,1.73,19,1
10,330,1.95,121,1
10,380,2.78,164,1
10,1210,2.61,502,1
8,264,1.6,99,1
8,512,2.12,172,1
7,98,1.65,33,1
3,9,7,7,1
24,4248,8.02,2182,1
2,14,3.5,7,1
9,171,7.6,114,1
8,296,2.22,111,1
9,486,1.48,142,1
7,980,1.28,128,1
7,2422,1.17,386,1
4,48,1,7,1
6,156,2.36,66,1
9,675,2.19,173,1
7,224,1.46,76,1
6,84,1.2,24,1
7,637,1.24,114,1
5,70,2.79,39,1
8,568,1.83,187,1
10,180,2.97,92,1
8,592,2.14,244,1
67,19832,1.54,1748,1
8,216,2.14,47,1
8,40,3,21,1
6,42,2.1,21,1
9,972,2.22,378,1
10,980,2.22,371,1
10,3270,2.75,1239,1
7,1617,1.71,420,1
3,48,2.25,18,1
9,81,7.38,59,1
8,1040,2.21,374,1
9,189,1.22,39,1
8,488,1.31,101,1
8,264,1.92,98,1
7,1085,1.46,193,1
16,5392,5.19,1956,1
1,45,1.13,9,1
7,266,1.38,87,1
11,99,5.75,46,1
8,504,1.52,129,1
