@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
35,1.4,7,2
80,1.25,35,1
36,0.444,9,5
48,0.333,14,5
96,1.5,40,1
350,3.5,118,1
288,4.5,117,1
504,6.222,171,1
132,1.091,60,1
410,4.1,139,1
448,7,190,1
1474,12.182,422,1
19,19,14,2
64,1,25,1
161,3.286,72,1
96,1.5,41,1
2448,30.222,659,1
112,1.75,47,1
200,3.125,74,1
64,1,31,1
484,4,149,1
56,0.875,21,1
112,1.75,40,1
341,2.818,110,1
217,4.429,100,1
656,10.25,264,1
144,2.25,52,1
20,0.8,13,1
2640,21.818,714,1
160,2.5,73,1
144,1.778,47,1
84,2.333,48,1
168,2.625,69,1
594,4.909,153,1
96,1.5,42,1
306,3.778,109,1
105,2.143,47,1
360,3.6,115,1
176,2.75,69,1
2563,21.182,629,1
230,2.3,57,1
96,1.5,37,1
224,3.5,103,1
440,4.4,138,1
344,5.375,118,1
252,3.111,80,1
98,2,37,1
780,1.95,109,5
410,4.1,113,1
133,2.714,53,1
14,0.286,12,1
9,1,7,1
12,0.75,8,1
90,0.9,30,1
70,1.429,27,1
65,2.6,30,1
128,2,42,1
245,5,121,1
222,6.167,87,1
176,2.75,52,1
272,4.25,98,1
152,2.375,66,1
49,1,17,1
477,5.889,160,1
40,0.625,15,1
230,2.3,80,1
104,1.625,49,1
96,1.5,37,1
264,4.125,91,1
2620,26.2,761,1
296,4.625,99,1
300,3,109,1
260,2.6,91,1
580,5.8,174,1
2510,25.1,705,1
2610,26.1,701,1
2871,23.727,707,1
184,2.875,65,1
32,0.5,19,1
91,1.857,39,1
126,2.571,50,1
133,2.714,60,1
208,3.25,77,1
48,1.333,24,1
120,1.875,55,1
208,3.25,50,1
520,5.2,140,1
360,3.6,95,1
504,6.222,165,1
42,1.167,19,1
400,4,118,1
56,0.875,20,1
1344,21,430,1
48,0.75,15,1
590,5.9,148,1
140,2.857,65,1
245,5,99,1
56,1.143,23,1
140,2.857,47,1
161,3.286,56,1
828,5.75,337,1
4248,7.375,2157,1
441,9,140,1
848,13.25,304,1
1072,268,577,2
1864,29.125,488,1
357,7.286,74,1
88,88,17,1
91,1.857,24,1
40,40,7,1
91,1.857,28,1
4590,56.667,629,1
4077,50.333,326,1
462,9.429,79,1
816,12.75,329,1
155,6.2,55,1
4680,57.778,378,1
1184,18.5,246,1
808,12.625,179,1
12275,19.64,5572,1
427,8.714,136,1
896,1.143,431,3
1620,20,555,1
128,32,55,2
4797,59.222,799,1
1029,21,221,1
899,1.069,416,3
1074,268.5,544,2
1064,21.714,228,1
1596,32.571,245,1
4797,59.222,797,1
768,12,212,1
856,13.375,311,1
4824,59.556,913,1
198,49.5,50,2
1074,268.5,558,2
1208,18.875,210,1
2190,21.9,334,1
148,148,146,2
2510,25.1,354,1
987,20.143,161,1
60,60,12,1
552,8.625,88,1
187,187,180,2
4675,7.48,2272,1
1076,269,558,2
5110,51.1,588,1
304,4.75,39,1
1161,14.333,196,1
5080,50.8,813,1
287,5.857,73,1
1211,24.714,251,1
3168,39.111,651,1
2304,28.444,227,1
1435,29.286,156,1
1746,21.556,295,1
1503,18.556,568,1
496,7.75,106,1
1728,27,270,1
2331,28.778,441,1
78,2.167,27,1
1561,31.857,189,1
1070,267.5,589,2
4581,56.556,439,1
1332,16.444,195,1
819,16.714,152,1
342,4.222,107,1
1008,7,423,1
154,0.786,81,1
852,5.917,410,1
1020,7.083,486,1
2508,20.727,708,1
890,8.9,224,1
36,36,21,2
344,5.375,153,1
8088,14.042,7647,1
4396,22.429,1664,1
1590,15.9,600,1
180,1.8,97,1
1232,19.25,522,1
738,9.111,247,1
864,6,538,1
180,1.8,108,1
9,1,7,1
27,27,7,2
12,1.333,8,1
162,2,107,1
432,6.75,232,1
864,6,544,1
72,0.889,52,1
2886,17.077,1087,1
2520,25.2,950,1
190,1.9,103,1
2024,16.727,979,1
9,0.111,9,4
864,6,531,1
6525,10.44,5785,1
7868,10.036,2502,1
190,1.9,114,1
3321,41,1094,1
864,6,549,1
5824,29.714,2234,1
160,1.6,68,1
2024,16.727,931,1
2241,27.667,776,1
7209,9.889,2610,1
1815,8.067,776,1
2255,18.636,837,1
132,0.917,86,1
6256,24.438,2508,1
13767,9.051,7667,1
240,1.667,131,1
5075,8.12,4246,1
3330,14.8,1378,1
828,5.75,275,1
6112,23.875,2292,1
8016,13.917,7164,1
738,9.111,226,1
1034,8.545,393,1
2480,24.8,883,1
104,1.625,65,1
2380,23.8,840,1
2790,27.9,1052,1
720,8.889,219,1
1472,23,349,1
4956,1.424,3264,1
1104,30.667,300,1
608,9.5,141,1
904,14.125,190,1
282,7.833,50,1
100,6.25,28,1
1134,23.143,109,1
374,1.294,153,1
1890,18.9,498,1
1848,28.875,389,1
85,3.4,32,1
1561,31.857,320,1
900,11.111,222,1
176,11,47,1
535,21.4,132,1
13542,2.473,7366,1
2688,13.714,628,1
3976,20.286,938,1
427,8.714,103,1
470,18.8,130,1
570,15.833,156,1
470,18.8,147,1
133,2.714,38,1
558,15.5,154,1
384,1.5,169,1
1092,7.583,307,1
576,16,151,1
25935,3.132,4100,5
3250,0.769,1475,3
8,0.125,8,4
384,6,152,1
10,0.4,8,1
94,23.5,16,1
22,22,7,1
492,13.667,51,1
14,0.286,9,4
19832,4.418,1748,1
108,3,37,1
1696,6.625,325,1
196,4,56,1
455,9.286,185,1
510,14.167,122,1
140,5.6,43,1
154,3.143,15,1
280,5.714,64,1
240,6.667,53,1
48,1.333,20,1
238,4.857,65,1
12,12,8,2
940,9.4,269,1
277,277,275,2
287,5.857,75,1
200,50,92,2
9,0.111,9,4
1206,14.889,260,1
71,71,37,2
2768,43.25,398,1
810,22.5,170,1
945,19.286,191,1
637,13,114,1
315,12.6,66,1
40,2.5,12,1
10,10,10,2
176,2.75,70,1
24,0.667,10,1
1210,12.1,324,1
42,10.5,19,2
990,8.182,381,1
1144,9.455,451,1
1176,6,307,1
410,4.1,190,1
180,0.139,118,1
132,1.091,66,1
70,70,66,2
470,4.7,226,1
