@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
3.667,0.347,40,1
12,0.189,134,1
1.125,0.278,7,1
19.64,0.454,773,1
6.6,0.27,95,1
1.778,0.174,19,1
7.727,0.257,144,1
14.188,0.41,300,1
3.75,0.45,47,1
12.286,0.294,105,1
5,0.302,99,1
25.857,0.316,242,1
3.4,0.412,20,1
17,0.499,195,1
2.2,0.323,34,1
5.25,0.369,67,1
1.333,0.646,10,1
4.429,0.415,39,1
23,0.237,213,1
0.75,0.333,9,1
1.5,0.417,20,1
5,0.311,46,1
12.818,0.366,199,1
0.7,0.429,1,1
2.6,0.338,10,1
3.5,0.46,40,1
3.857,0.079,6,1
4,0.308,74,1
50.8,0.16,578,1
2.1,0.329,27,1
1.5,0.521,20,1
0.8,0.5,1,1
1,0.889,1,1
24.636,0.198,388,1
0.75,0.583,4,1
2.125,0.463,22,1
12.333,0.209,133,1
5.571,0.253,52,1
10.25,0.434,98,1
1.571,0.299,17,1
2.444,0.192,29,1
29.778,0.198,351,1
31.308,0.266,609,1
5.5,0.52,46,1
2.5,0.34,45,1
11.5,0.28,83,1
3,0.327,34,1
3.385,0.171,61,1
18.778,0.353,212,1
8.609,0.924,282,1
0.727,0.25,9,1
5.857,0.307,58,1
5.556,0.32,54,1
14,0.207,100,1
6.75,0.183,59,1
3,0.363,45,1
3.333,0.333,33,1
9,1,1,1
1.571,0.403,21,1
0.286,0.857,1,1
8.8,0.257,124,1
27.1,0.267,369,1
9.889,0.362,599,1
2.571,0.27,25,1
14,0.254,114,1
9.833,0.35,166,1
17.444,0.222,198,1
24,0.207,203,1
4.333,0.239,55,1
8.667,0.329,110,1
0.714,0.486,4,1
11.313,0.4,227,1
1.5,0.375,14,1
34.125,0.215,369,1
14.182,0.224,253,1
5,0.482,42,1
15,0.256,111,1
3.3,0.327,46,1
1.8,0.289,20,1
10.278,0.163,228,1
1.2,0.433,8,1
0.5,0.375,5,1
9.5,0.453,63,1
28,0.356,380,1
2.25,0.479,32,1
37.545,0.356,664,1
1.634,0.441,36,1
3.333,0.27,52,1
0.875,0.464,11,1
6.667,0.313,59,1
6.6,0.376,43,1
2.333,0.291,35,1
19.364,0.264,317,1
34,0.189,311,1
53.5,0.113,447,1
2.429,0.412,19,1
2,0.375,33,1
19,0.4,214,1
118,0.186,21,1
15.9,0.355,184,1
27.5,0.369,412,1
1.833,0.58,20,1
10.778,0.317,157,1
10.222,0.24,129,1
2,0.357,19,1
27.545,0.183,123,1
18.4,0.325,232,1
3.4,0.303,57,1
23,0.417,118,1
1.4,0.371,18,1
12.2,0.273,164,1
6.091,0.269,67,1
8.714,0.241,70,1
12.143,0.192,88,1
4.1,0.302,60,1
0.75,0.5,3,1
1.75,0.42,25,1
4.571,0.308,55,1
15,0.269,83,1
24.333,0.109,150,1
1.3,0.315,17,1
3.4,0.426,48,1
200,0.13,25,1
4.1,0.356,68,1
11,0.195,92,1
13.25,0.376,222,1
13.333,0.176,147,1
4.429,0.461,47,1
3.353,0.105,157,1
4,0.654,33,1
34.714,0.219,230,1
2.013,0.319,78,1
0.5,0.469,3,1
3.333,0.285,51,1
6,0.31,62,1
3.5,0.393,40,1
1.889,0.392,27,1
1.6,0.338,26,1
11.625,0.185,111,1
1.125,0.431,15,1
12,0.583,2,1
15.667,0.188,65,1
1.556,0.706,12,1
5.857,0.345,64,1
4.5,0.323,50,1
1.9,0.542,14,1
6.25,0.36,73,1
3.4,0.388,18,1
27.889,0.187,317,1
2.375,0.184,19,1
1,0.889,1,1
4,0.278,53,1
23.375,0.155,168,1
19.8,0.464,784,1
16.125,0.232,164,1
18.444,0.386,195,1
1.833,0.379,15,1
5.167,0.301,34,1
21.5,0.257,458,1
0.75,0.375,6,1
3,0.333,35,1
10,0.26,97,1
3.4,0.376,11,1
1.571,0.325,17,1
13,0.453,212,1
3,0.358,47,1
0.818,0.404,9,1
11.625,0.324,121,1
14.625,0.201,130,1
19,0.211,112,1
5.444,0.58,86,1
8.12,0.837,279,1
3.125,0.355,41,1
3.227,0.519,72,1
2,0.286,15,1
3,0.286,31,1
2.25,0.396,31,1
4.222,0.377,47,1
8.818,0.266,139,1
4.8,0.3,67,1
9.25,0.456,109,1
59.556,0.189,662,1
3.1,0.281,44,1
1.286,0.302,11,1
9.7,0.423,165,1
16.167,0.235,80,1
2.556,0.213,28,1
3.125,0.28,35,1
5.429,0.286,45,1
9.455,0.203,585,1
9.222,0.371,84,1
2,0.438,21,1
2.3,0.313,30,1
2.923,0.332,41,1
20,0.252,481,1
4.1,0.339,69,1
3.167,0.254,25,1
1.5,0.333,4,1
3.5,0.5,2,1
14.286,0.294,123,1
3.8,0.424,58,1
3.286,0.373,35,1
1.4,0.543,9,1
10.625,0.238,111,1
31.462,0.277,556,1
27.1,0.251,362,1
4.857,0.403,53,1
13.714,0.234,275,1
2.111,0.392,29,1
25.625,0.381,450,1
24.727,0.168,352,1
15.714,0.174,107,1
2.333,0.274,18,1
8.909,0.276,138,1
1.412,0.36,25,1
1.778,0.215,20,1
0.818,0.545,6,1
4.556,0.336,65,1
8.25,0.911,274,1
2.333,0.265,29,1
13,0.425,198,1
19.5,0.472,689,1
20.25,0.435,188,1
14.25,0.116,73,1
11,0.21,135,1
1.444,0.368,16,1
1.333,0.667,1,1
7.083,0.476,90,1
4.556,0.444,57,1
3.125,0.24,33,1
1.571,0.377,21,1
6.429,0.254,62,1
5.111,0.338,84,1
49.75,0.279,521,1
7.8,0.344,32,1
1,0.296,15,1
3.375,0.435,44,1
0.7,0.314,12,1
12.333,0.188,126,1
21.429,0.263,462,1
1.182,0.42,27,1
4.778,0.481,59,1
5.25,0.363,56,1
2.571,0.278,26,1
2.727,0.467,37,1
12.6,0.425,200,1
29,0.31,8,1
18.1,0.491,273,1
1.8,0.267,7,1
10.167,0.26,166,1
26.5,0.38,407,1
37.889,0.072,165,1
60,0.2,11,1
2,0.395,23,1
5.625,0.492,19,1
8,0.385,102,1
8.923,0.292,177,1
7.9,0.385,143,1
23.733,0.406,410,1
3.3,0.182,43,1
6.455,0.37,120,1
13.273,0.238,209,1
4.875,0.369,56,1
26.063,0.381,481,1
1.889,0.536,13,1
3.222,0.234,44,1
1.429,0.386,13,1
25.583,0.29,444,1
1.5,0.385,15,1
16,0.123,120,1
3.889,0.273,52,1
6.7,0.291,90,1
4.857,0.462,47,1
104,0.192,19,1
4.429,0.382,45,1
22,0.591,5,1
3.625,0.345,40,1
14.4,0.256,205,1
4.5,0.615,55,1
1.875,0.433,26,1
3.667,0.261,58,1
0.727,0.705,7,1
2.125,0.419,27,1
2.429,0.429,27,1
1.75,0.482,18,1
1.143,0.459,69,1
8.067,0.428,145,1
5.4,0.304,29,1
2,0.605,14,1
1,0.5,1,1
11.64,0.466,462,1
3.375,0.218,22,1
3.583,0.357,68,1
0.571,0.357,2,1
9.5,0.314,102,1
7.48,0.472,303,1
4.125,0.326,43,1
14.833,0.403,106,1
4.111,0.228,60,1
0.8,0.4,3,1
7.48,0.486,306,1
109,0.183,19,1
19.25,0.424,190,1
9.111,0.329,115,1
4.3,0.458,55,1
1.875,0.517,25,1
1.857,0.242,11,1
2.444,0.288,23,1
16.571,0.309,114,1
15.714,0.21,117,1
2,0.327,20,1
11.889,0.209,146,1
30.556,0.202,359,1
14,0.255,245,1
3.111,0.258,43,1
0.333,0.667,1,1
1.143,0.375,13,1
2.429,0.319,27,1
3.25,0.409,39,1
4.125,0.314,39,1
3.8,0.316,20,1
27.111,0.237,327,1
0.667,0.302,10,1
11.889,0.357,161,1
5.222,0.333,59,1
2.3,0.343,42,1
2.8,0.443,14,1
16.429,0.273,128,1
10.375,0.404,104,1
17.222,0.366,201,1
16,0.351,83,1
5.857,0.185,35,1
3.926,0.261,137,1
6.6,0.324,95,1
3.273,0.52,82,1
2.909,0.335,52,1
3.5,0.38,66,1
1.778,0.16,12,1
3.222,0.23,46,1
1.5,0.396,23,1
6.471,0.175,224,1
13.556,0.333,144,1
2.2,0.336,27,1
4.429,0.304,50,1
3.583,0.328,66,1
18.84,0.449,678,1
27.571,0.206,203,1
27.1,0.168,351,1
2.167,0.269,14,1
30.111,0.292,374,1
1.25,0.438,18,1
9.455,0.394,152,1
30.222,0.269,353,1
0.875,0.268,9,1
11.9,0.392,190,1
7.5,0.422,66,1
10.8,0.297,174,1
6,0.262,43,1
4.8,0.375,31,1
3.909,0.281,61,1
26.769,0.195,537,1
9.444,0.308,121,1
1.625,0.365,20,1
30.222,0.269,342,1
13.8,0.249,57,1
13.625,0.271,129,1
0.462,0.436,1,1
0.619,0.168,20,1
4.714,0.342,40,1
5.923,0.298,124,1
13.25,0.358,133,1
7.375,0.464,80,1
24.286,0.344,356,1
6,0.615,83,1
1.6,0.444,32,1
28.385,0.397,398,1
31.556,0.137,249,1
6,0.354,72,1
0.833,0.333,6,1
1.625,0.49,22,1
4.667,0.369,35,1
7.375,0.292,76,1
1,0.592,12,1
1.95,0.232,53,1
54.444,0.067,212,1
12.875,0.425,129,1
2.714,0.406,32,1
1.5,0.406,25,1
8.75,0.341,115,1
2.714,0.361,32,1
2.167,0.333,19,1
23.5,0.17,14,1
0.875,0.482,10,1
1.333,0.406,39,1
0.727,0.511,5,1
9.222,0.356,96,1
2.429,0.279,43,1
2.286,0.259,14,1
3.3,0.345,60,1
30,0.182,593,1
3.714,0.346,42,1
2,0.316,14,1
9,0.501,115,1
4,0.375,46,1
1.143,0.411,10,1
8,0.279,116,1
7.667,0.209,94,1
37.75,0.211,356,1
4.067,0.247,121,1
5.9,0.269,88,1
24.636,0.176,378,1
5.5,0.426,46,1
11,0.27,125,1
1,0.367,13,1
1.571,0.364,16,1
9.833,0.266,189,1
5.375,0.326,62,1
1.667,0.244,21,1
2,0.5,12,1
7.429,0.266,80,1
18,0.254,138,1
9.375,0.375,110,1
0.95,0.46,403,1
3.889,0.59,48,1
7.625,0.207,77,1
11.667,0.452,399,1
2.222,0.55,12,1
56.778,0.164,530,1
14.286,0.283,118,1
42,0.381,15,1
3.519,0.478,885,1
1.9,0.6,12,1
7.111,0.307,89,1
8.75,0.279,93,1
15.667,0.326,91,1
4,0.23,42,1
1.625,0.365,23,1
15,0.25,145,1
13.214,0.254,289,1
2.375,0.401,31,1
1.286,0.397,9,1
2.429,0.336,23,1
36.778,0.195,452,1
8.545,0.38,126,1
1.364,0.352,28,1
12.1,0.415,192,1
5.111,0.242,68,1
1.833,0.364,18,1
8.5,0.54,97,1
10.5,0.234,145,1
1.167,0.429,5,1
8.3,0.208,120,1
1.2,0.367,3,1
1.091,0.5,16,1
18.5,0.208,198,1
9.051,0.557,454,1
9.909,0.234,146,1
6,0.36,43,1
11.778,0.309,150,1
0.667,0.198,9,1
2.286,0.25,18,1
3,0.146,7,1
56.556,0.096,328,1
4.167,0.313,34,1
4.1,0.266,55,1
1.667,0.267,9,1
4.571,0.277,44,1
34,0.186,299,1
2.667,0.356,35,1
3.333,0.248,46,1
4.333,0.34,40,1
47,0.426,19,1
1,0.327,8,1
3.8,0.211,15,1
1.933,0.524,55,1
1.2,0.433,8,1
4.571,0.339,52,1
8,0.252,79,1
6.333,0.377,57,1
1.667,0.483,14,1
5.5,0.268,38,1
19.6,0.316,85,1
1.286,0.46,12,1
0.7,0.357,12,1
4.875,0.282,44,1
10.286,0.405,110,1
2.6,0.273,38,1
1.2,0.367,28,1
2.889,0.342,34,1
16.273,0.33,226,1
5.556,0.496,83,1
2,0.378,19,1
1.125,0.431,15,1
13.625,0.2,125,1
13.667,0.346,173,1
4.889,0.24,67,1
3.556,0.261,93,1
1.5,0.448,22,1
2.167,0.295,14,1
8.444,0.363,114,1
23.6,0.154,63,1
2.667,0.198,8,1
10,0.392,139,1
26.9,0.306,160,1
0.727,0.375,8,1
15,0.127,67,1
7.9,0.347,122,1
5.714,0.311,61,1
1.5,0.396,18,1
34.714,0.198,227,1
3.583,0.293,66,1
5.889,0.317,91,1
4.455,0.343,43,1
2,0.367,25,1
9.875,0.375,112,1
26.429,0.175,554,1
2.875,0.38,40,1
1,0.63,10,1
31.857,0.205,229,1
7.333,0.496,267,1
1.25,0.375,16,1
5.714,0.186,23,1
1.9,0.553,14,1
0.75,0.526,14,1
24.2,0.26,303,1
4.5,0.475,33,1
7.75,0.308,80,1
1.5,0.417,1,1
5.444,0.592,88,1
9.5,0.388,112,1
0.4,0.35,8,1
59.333,0.184,661,1
2.625,0.411,27,1
13.222,0.422,193,1
3.333,0.271,66,1
9.667,0.276,82,1
1.444,0.564,17,1
12.5,0.356,109,1
4.7,0.198,72,1
2.222,0.361,35,1
2.429,0.311,24,1
6.6,0.273,93,1
9.556,0.211,126,1
26.3,0.204,348,1
5.333,0.273,83,1
3.375,0.218,21,1
59.444,0.156,555,1
21.9,0.153,270,1
12,0.604,64,1
1.75,0.295,18,1
5.5,0.303,41,1
1,0.388,10,1
2.73,0.282,432,1
2,0.5,18,1
3.455,0.328,70,1
2,0.519,11,1
13.444,0.322,169,1
27.1,0.249,358,1
37.375,0.186,338,1
4.667,0.256,85,1
2.625,0.411,31,1
9.4,0.286,151,1
11.783,0.126,420,1
11.833,0.337,189,1
4.875,0.304,69,1
2,0.327,17,1
10.714,0.156,64,1
16,0.168,106,1
0.429,0.571,4,1
19.286,0.114,99,1
16.286,0.253,114,1
11.8,0.277,162,1
13.75,0.23,122,1
2,0.292,13,1
7,0.289,83,1
1.286,0.302,13,1
10.222,0.286,123,1
2.5,0.332,44,1
4.375,0.393,56,1
13.1,0.415,198,1
2.625,0.262,29,1
1.429,0.343,18,1
2.364,0.262,42,1
7.273,0.492,87,1
3.625,0.453,50,1
6,0.63,89,1
1.143,0.304,12,1
21.667,0.126,144,1
10,0.36,57,1
2.286,0.464,16,1
9.625,0.232,97,1
1.4,0.429,6,1
38.308,0.281,799,1
0.625,0.375,7,1
70,0.2,13,1
4.25,0.309,6,1
8.3,0.425,121,1
26.875,0.366,220,1
4.7,0.481,76,1
8.333,0.24,41,1
3.6,0.4,22,1
9.8,0.379,167,1
34,0.213,424,1
4.833,0.305,42,1
10.25,0.402,126,1
0.5,0.406,6,1
6.667,0.324,127,1
4.833,0.293,34,1
2,0.516,26,1
8.545,0.257,122,1
16,0.234,67,1
2.526,0.431,478,1
8.6,0.326,151,1
1.571,0.299,17,1
2.857,0.464,24,1
16,0.262,100,1
51.667,0.157,532,1
24.727,0.26,428,1
34.5,0.087,10,1
8.625,0.366,104,1
1.2,0.333,22,1
2.2,0.318,39,1
22.429,0.439,174,1
1.7,0.506,11,1
11.68,0.472,459,1
1.818,0.223,19,1
26.182,0.248,386,1
9.111,0.379,119,1
51,0.163,612,1
2.6,0.415,16,1
3.6,0.367,59,1
51.1,0.141,532,1
9.444,0.302,127,1
7,0.42,89,1
1.286,0.444,9,1
10.222,0.365,137,1
2.286,0.241,11,1
1.125,0.361,15,1
2.625,0.339,29,1
0.8,0.675,6,1
33.875,0.314,375,1
5.625,0.222,42,1
5.765,0.929,104,1
5.3,0.215,79,1
1,0.344,12,1
5.111,0.365,75,1
1.4,0.371,3,1
13.364,0.32,235,1
1.625,0.529,19,1
28.214,0.359,423,1
3,0.295,54,1
4.429,0.3,33,1
1.286,0.333,1,1
5.9,0.251,87,1
8.625,0.205,82,1
5.8,0.081,29,1
1.333,0.444,27,1
1.889,0.451,28,1
13.5,0.282,102,1
0.4,0.375,1,1
8.708,0.926,269,1
2.222,0.339,26,1
6.778,0.213,73,1
8.625,0.159,68,1
6,0.396,75,1
24.9,0.462,326,1
5.875,0.34,64,1
1,0.728,8,1
33.222,0.133,274,1
3.375,0.407,43,1
1.167,0.333,10,1
0.875,0.375,8,1
2.714,0.398,31,1
33.222,0.226,385,1
1.571,0.234,11,1
8.75,0.332,112,1
1,0.408,9,1
16,0.259,88,1
3.286,0.342,38,1
0.727,0.602,9,1
5.375,0.343,69,1
19.4,0.334,82,1
10.889,0.285,122,1
12,0.247,142,1
12.111,0.219,129,1
5.375,0.372,61,1
7.12,0.49,276,1
1.6,0.675,9,1
1.571,0.312,18,1
99,0.192,18,1
2.375,0.382,30,1
27.778,0.347,320,1
13,0.419,178,1
3.857,0.28,40,1
17.571,0.139,95,1
14.538,0.229,650,1
59.444,0.192,654,1
5.375,0.387,69,1
12.222,0.311,148,1
41.417,0.278,731,1
27.143,0.293,218,1
6,0.27,88,1
7.571,0.299,86,1
6.083,0.257,105,1
3.375,0.236,39,1
7.75,0.218,69,1
9,0.322,106,1
9.429,0.171,53,1
2.9,0.221,18,1
9.222,0.335,122,1
1.667,0.333,13,1
0.571,0.429,5,1
8.556,0.251,93,1
3,0.438,43,1
15.462,0.4,235,1
1,0.306,26,1
11.875,0.187,106,1
3,0.537,22,1
3,0.32,28,1
1.1,0.2,10,1
5.778,0.286,73,1
8.6,0.33,61,1
2.375,0.388,27,1
5.167,0.902,161,1
21.286,0.207,247,1
10.111,0.32,119,1
19.6,0.341,78,1
1,0.36,7,1
5.125,0.424,55,1
6.667,0.221,37,1
35,0.191,333,1
7.9,0.163,103,1
10,0.212,146,1
4.75,0.339,59,1
5.375,0.212,52,1
32.7,0.379,450,1
1.375,0.25,17,1
3.8,0.505,22,1
27.2,0.187,368,1
22.833,0.208,416,1
1.714,0.226,10,1
1.143,0.393,13,1
7.417,0.429,131,1
10.5,0.167,5,1
5.167,0.263,35,1
3,0.296,6,1
2.571,0.397,28,1
2.571,0.302,28,1
4.625,0.375,50,1
2.375,0.388,34,1
4.667,0.429,59,1
1.333,0.444,26,1
1.8,0.383,30,1
7.6,0.316,29,1
10,0.41,146,1
3,0.491,26,1
6.125,0.441,91,1
3,0.4,18,1
3.5,0.434,65,1
4.889,0.467,59,1
66.5,0.192,636,1
22.471,0.363,431,1
2.923,0.33,42,1
3,0.327,28,1
8.111,0.174,79,1
1.625,0.49,19,1
5.75,0.391,78,1
8,0.227,71,1
19.2,0.404,70,1
18.667,0.315,221,1
3.625,0.444,48,1
9,0.275,275,1
16.2,0.294,176,1
2.857,0.429,30,1
5.5,0.678,59,1
3.286,0.248,33,1
1.13,0.278,92,1
7.5,0.335,87,1
1.364,0.358,27,1
33.778,0.202,419,1
27.2,0.206,399,1
9.875,0.316,111,1
4.5,0.333,14,1
7.333,0.265,57,1
37.429,0.152,218,1
2.222,0.628,14,1
20,0.374,212,1
1.5,0.438,22,1
16.375,0.246,177,1
5.429,0.338,58,1
2.333,0.619,1,1
3.111,0.25,43,1
4.75,0.349,55,1
9.111,0.374,120,1
27,0.408,222,1
9.111,0.312,84,1
9,0.549,53,1
1.5,0.417,19,1
24.571,0.294,171,1
77,0.325,24,1
12,0.364,165,1
6.2,0.355,37,1
1.8,0.656,17,1
1,0.306,11,1
2.3,0.317,31,1
0.818,0.465,12,1
0.556,0.378,6,1
9.222,0.289,112,1
3.875,0.411,50,1
2.625,0.381,34,1
10.889,0.185,103,1
1.235,0.373,8,1
29.714,0.384,481,1
22.444,0.087,122,1
18.636,0.371,278,1
2.636,0.298,43,1
2.4,0.55,15,1
2.429,0.227,18,1
4.667,0.312,60,1
3,0.388,31,1
5.571,0.33,63,1
14.222,0.219,175,1
22.667,0.249,404,1
11.333,0.214,151,1
3.5,0.411,48,1
2.2,0.455,15,1
26.846,0.38,395,1
1.75,0.357,20,1
4.375,0.396,59,1
1.2,0.433,8,1
4.429,0.433,63,1
24.727,0.171,348,1
0.444,0.444,2,1
6,0.573,27,1
1.333,0.313,14,1
6.6,0.315,41,1
10.889,0.491,156,1
2.667,0.264,53,1
95,0.379,35,1
11.308,0.453,456,1
14.167,0.239,86,1
59.444,0.163,561,1
12.182,0.286,179,1
2.667,0.537,40,1
4.429,0.318,51,1
24.9,0.294,315,1
1.571,0.351,18,1
1,0.34,18,1
2,0.66,15,1
2.857,0.257,27,1
5.8,0.538,33,1
0.75,0.667,3,1
15.909,0.21,205,1
9,0.287,94,1
54.667,0.209,697,1
1.125,0.458,15,1
12,0.279,197,1
2.833,0.314,14,1
1.875,0.5,28,1
40,0.4,15,1
8.444,0.307,114,1
1.143,0.25,9,1
29.786,0.359,467,1
22.385,0.285,403,1
1.5,0.469,28,1
1.25,0.35,16,1
5.444,0.272,87,1
2.25,0.472,27,1
1.111,0.344,15,1
49.429,0.167,339,1
16.571,0.262,116,1
1.625,0.423,25,1
2.071,0.14,35,1
2.444,0.318,26,1
26.667,0.231,431,1
2.857,0.407,29,1
1.8,0.511,31,1
4.889,0.465,55,1
1.5,0.396,20,1
3.571,0.303,35,1
2.857,0.25,26,1
2.6,0.35,39,1
3,0.307,47,1
4,0.337,31,1
4.222,0.313,49,1
0.875,0.429,9,1
1.833,0.364,15,1
2.375,0.309,31,1
3.667,0.326,33,1
5,0.281,62,1
22.875,0.185,190,1
13,0.163,71,1
2.333,0.56,21,1
5.857,0.213,45,1
3.125,0.31,38,1
4.857,0.286,50,1
1,0.265,9,1
7.714,0.286,77,1
18.889,0.371,218,1
3.6,0.319,58,1
0.857,0.429,11,1
7.75,0.419,33,1
29.125,0.151,207,1
6.4,0.431,47,1
8,0.314,122,1
13.667,0.331,159,1
17.545,0.243,325,1
17.667,0.129,72,1
8.75,0.371,122,1
1.5,0.458,2,1
20.667,0.425,220,1
4,0.17,11,1
2.286,0.313,20,1
4.444,0.386,57,1
12.875,0.921,390,1
9.182,0.267,173,1
1.6,0.425,11,1
0.632,0.303,9,1
1.833,0.333,13,1
0.9,0.344,11,1
5,0.188,38,1
27.778,0.305,314,1
6.545,0.665,83,1
8.333,0.396,121,1
1.333,0.563,8,1
0.625,0.4,6,1
5.857,0.328,66,1
1.333,0.458,9,1
2.167,0.128,6,1
0.667,0.667,2,1
5.857,0.261,57,1
2.286,0.25,14,1
3.778,0.209,45,1
17.625,0.371,227,1
3,0.5,22,1
9,0.187,91,1
8.333,0.369,119,1
4.75,0.421,18,1
2.167,0.231,6,1
2.111,0.62,14,1
5.857,0.209,44,1
5.333,0.286,39,1
56.667,0.148,513,1
0.571,0.393,5,1
1.444,0.308,21,1
6.842,0.208,267,1
3.8,0.397,56,1
22.8,0.26,316,1
1.857,0.209,7,1
0.875,0.429,11,1
6.143,0.249,58,1
1.111,0.389,18,1
20.111,0.369,201,1
2.571,0.27,25,1
2.75,0.477,37,1
3.1,0.329,49,1
6.222,0.327,85,1
4.071,0.742,49,1
2.875,0.364,33,1
7.25,0.442,65,1
23.947,0.081,21,1
2,0.344,6,1
5,0.472,86,1
6.5,0.303,45,1
1,0.321,2,1
5.154,0.441,74,1
7.92,0.869,270,1
11,0.267,33,1
9.455,0.367,164,1
5.974,0.304,370,1
20.111,0.361,213,1
3.5,0.349,33,1
3.75,0.383,49,1
4.667,0.292,38,1
2.222,0.294,35,1
51.556,0.158,505,1
1.8,0.533,12,1
18.222,0.189,221,1
8.625,0.415,106,1
1.571,0.351,20,1
3.429,0.28,34,1
35,0.2,6,1
17.333,0.234,111,1
10.375,0.437,115,1
59.556,0.126,456,1
9.3,0.206,130,1
5.222,0.279,77,1
3.8,0.389,28,1
14,0.187,163,1
8.857,0.392,91,1
1.9,0.6,15,1
31.9,0.239,458,1
0.857,0.381,7,1
1.167,0.714,1,1
30.167,0.298,192,1
3,0.297,31,1
0.5,0.469,4,1
9.333,0.407,112,1
6.857,0.298,60,1
1.8,0.522,10,1
23.727,0.251,361,1
18.385,0.239,343,1
3.125,0.405,41,1
2,0.605,15,1
4.667,0.384,61,1
7.583,0.281,125,1
3.1,0.284,52,1
8.778,0.343,111,1
3.889,0.397,65,1
41.778,0.225,569,1
2,0.378,19,1
30.125,0.119,182,1
0.727,0.727,6,1
49.429,0.173,341,1
2.273,0.327,46,1
1.75,0.446,23,1
3.571,0.331,41,1
17.857,0.27,168,1
4.25,0.419,57,1
7,0.284,82,1
4.75,0.128,21,1
3.667,0.33,54,1
1.857,0.308,17,1
2.111,0.292,33,1
3.857,0.101,5,1
5,0.269,50,1
14,0.484,194,1
2.8,0.343,45,1
5.167,0.234,110,1
1.333,0.38,28,1
2,0.306,23,1
1.571,0.377,19,1
1.625,0.394,18,1
4.375,0.443,58,1
2.222,0.461,32,1
7.2,0.211,25,1
1.25,0.238,11,1
2.875,0.288,36,1
2.833,0.245,18,1
4.1,0.324,71,1
3.571,0.434,42,1
32.455,0.215,546,1
5.75,0.356,62,1
22.571,0.239,198,1
10.818,0.236,177,1
3.8,0.195,50,1
