@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
8,2.625,0.411,1
5,3,0.56,1
9,9.111,0.428,1
7,10.143,0.231,1
6,4.333,0.288,1
9,4.444,0.344,1
10,23.8,0.353,1
7,30.714,0.538,1
17,6.471,0.175,1
11,9.455,0.394,1
9,0.556,0.711,1
9,19.667,0.196,1
11,4.818,0.225,1
11,8.273,0.286,1
9,14.111,0.174,1
7,8,0.319,1
8,11.625,0.185,1
9,7.111,0.177,1
8,26.25,0.178,1
8,4.5,0.323,1
6,5,0.45,1
10,27.1,0.197,1
9,1.778,0.556,1
9,5.222,0.307,1
5,0.6,0.6,1
12,22.583,0.248,1
9,4.444,0.356,1
14,24.286,0.344,1
12,6.917,0.301,1
10,4,0.295,1
5,2.2,0.6,1
8,4.625,0.182,1
11,8.909,0.397,1
16,27.438,0.384,1
8,3.25,0.37,1
8,2.125,0.309,1
12,8.667,0.335,1
7,3.714,0.352,1
10,4.1,0.324,1
16,22.938,0.385,1
10,7.2,0.292,1
7,30.571,0.461,1
11,5.091,0.386,1
10,5.9,0.251,1
9,59.444,0.136,1
8,0.625,0.45,1
7,10,0.265,1
7,0.571,0.286,1
10,2.9,0.383,1
5,0.4,0.8,1
8,23.125,0.235,1
8,4.125,0.375,1
5,8.4,0.257,1
7,1.857,0.297,1
11,10.455,0.266,1
9,1.889,0.229,1
5,2.8,0.457,1
13,17.538,0.24,1
8,12.875,0.142,1
8,2.625,0.339,1
1,263,0.152,1
9,2,0.352,1
8,3.125,0.385,1
11,6.455,0.69,1
10,0.8,0.6,1
9,7.111,0.465,1
14,22.429,0.379,1
8,0.875,0.429,1
8,1,0.391,1
8,2.625,0.357,1
9,3.556,0.24,1
6,2.167,0.179,1
8,0.875,0.411,1
8,10,0.303,1
18,8.778,0.198,1
8,2,0.234,1
9,4.778,0.377,1
8,27,0.156,1
9,2,0.321,1
10,4.5,0.296,1
10,15.5,0.275,1
7,5,0.347,1
12,41.667,0.264,1
7,5.857,0.307,1
24,2.667,0.227,1
11,1.909,0.468,1
18,9.333,0.187,1
15,8.067,0.428,1
11,11.545,0.266,1
7,7.286,0.283,1
7,1.143,0.375,1
9,9.111,0.352,1
7,2.286,0.304,1
10,32.7,0.379,1
13,17.538,0.264,1
11,2.364,0.262,1
14,4.071,0.714,1
9,34,0.192,1
9,3.556,0.271,1
9,9.333,0.25,1
24,5.542,0.907,1
9,1.889,0.392,1
10,10,0.41,1
13,33.308,0.375,1
10,4.1,0.463,1
8,6.625,0.33,1
10,17.7,0.26,1
7,18.286,0.203,1
6,1.667,0.45,1
13,31.462,0.312,1
8,3.5,0.393,1
6,2.333,0.571,1
8,26.875,0.416,1
7,7.714,0.286,1
7,5.143,0.409,1
11,2.091,0.265,1
10,27.1,0.239,1
7,6.429,0.2,1
7,4.857,0.273,1
8,2,0.477,1
13,10.462,0.415,1
22,2.136,0.319,1
8,1,0.219,1
9,6.556,0.348,1
8,3.375,0.208,1
8,34,0.189,1
7,2.571,0.262,1
10,1.9,0.6,1
9,9,0.337,1
8,1.875,0.433,1
7,1.571,0.377,1
9,21.667,0.126,1
8,21.25,0.277,1
25,7.92,0.869,1
11,9.182,0.267,1
7,12.286,0.294,1
7,2.429,0.328,1
10,1.9,0.584,1
8,3.875,0.298,1
7,1.571,0.312,1
11,4.818,0.249,1
8,1.5,0.427,1
8,4.625,0.334,1
9,7.111,0.302,1
8,2,0.383,1
9,2.111,0.655,1
8,4.5,0.615,1
9,0.778,0.349,1
9,18.444,0.274,1
24,4.125,0.912,1
17,22.471,0.363,1
10,1,0.34,1
5,5.6,0.307,1
6,2.833,0.275,1
8,1.5,0.385,1
8,1,0.234,1
5,11.6,0.09,1
8,4,0.207,1
1,109,0.183,1
7,1.429,0.314,1
5,0.6,0.6,1
8,3.5,0.406,1
38,10.789,0.254,1
6,1.167,0.31,1
9,20.556,0.398,1
7,8.143,0.273,1
7,10.857,0.301,1
8,4.125,0.345,1
5,0.4,0.8,1
12,41.417,0.297,1
6,4.167,0.34,1
8,2.375,0.368,1
11,1.909,0.411,1
24,7.792,0.485,1
10,24.8,0.356,1
7,25.429,0.242,1
10,4.4,0.318,1
8,0.875,0.429,1
14,8.929,0.289,1
6,1.833,0.303,1
8,2.375,0.401,1
8,2,0.461,1
9,1.778,0.382,1
8,16.125,0.232,1
9,9.556,0.211,1
11,9.182,0.253,1
10,1.5,0.36,1
9,30,0.111,1
6,15.833,0.256,1
7,1.571,0.364,1
6,1.167,0.262,1
9,38.556,0.111,1
9,1.778,0.278,1
16,5.75,0.245,1
10,0.9,0.689,1
7,1.143,0.464,1
7,1,0.286,1
10,1,0.5,1
9,4.111,0.538,1
7,2,0.286,1
9,3.333,0.27,1
6,1,0.361,1
9,9.444,0.395,1
10,29.3,0.207,1
8,2,0.328,1
8,1,0.516,1
10,3.2,0.338,1
10,3.5,0.331,1
8,5.25,0.363,1
7,1.857,0.286,1
8,3.125,0.24,1
5,7.2,0.211,1
9,19,0.4,1
10,13,0.453,1
13,37.462,0.247,1
10,9.4,0.25,1
4,1.5,0.458,1
6,1,0.361,1
23,16.13,0.941,1
15,22.8,0.24,1
10,11.5,0.24,1
9,17.889,0.432,1
5,7.6,0.426,1
10,13,0.486,1
7,3.571,0.331,1
9,2.556,0.362,1
8,1.625,0.442,1
7,1.429,0.343,1
8,0.875,0.446,1
6,9.833,0.268,1
10,26.1,0.259,1
9,4.556,0.425,1
1,99,0.192,1
7,1.286,0.365,1
9,29.778,0.132,1
2,5.5,0.409,1
7,2.571,0.27,1
6,0.667,0.583,1
9,27.667,0.301,1
12,11.833,0.337,1
16,25.313,0.382,1
9,19.444,0.177,1
6,1.833,0.303,1
6,4.833,0.293,1
12,23.75,0.411,1
8,12.75,0.212,1
9,14.111,0.213,1
9,11.444,0.357,1
9,1.667,0.178,1
8,4.875,0.369,1
10,21.9,0.153,1
7,4.571,0.272,1
12,21.75,0.223,1
11,3.818,0.335,1
8,14.875,0.337,1
10,3.3,0.282,1
6,2.333,0.536,1
13,4.385,0.745,1
6,15,0.298,1
6,7.5,0.422,1
10,0.8,0.575,1
6,1.167,0.333,1
7,1.714,0.452,1
9,37,0.237,1
1,41,0.39,1
8,5.75,0.266,1
10,2.1,0.457,1
7,27,0.339,1
7,8.857,0.392,1
38,1.816,0.476,1
7,9.286,0.404,1
8,7.375,0.464,1
9,3.889,0.33,1
6,15.833,0.3,1
25,11.64,0.456,1
6,4.333,0.34,1
8,3.25,0.409,1
14,13.214,0.254,1
9,31.556,0.141,1
8,5.375,0.372,1
7,2.571,0.365,1
9,18,0.254,1
7,0.857,0.548,1
10,2,0.385,1
11,1,0.537,1
10,2.8,0.293,1
9,4.667,0.381,1
14,28.214,0.359,1
7,1.571,0.351,1
7,2.714,0.203,1
7,5.714,0.232,1
9,1,0.728,1
10,25.1,0.141,1
10,3.8,0.195,1
6,3.167,0.254,1
8,3,0.203,1
6,1.167,0.405,1
6,4,0.257,1
9,20,0.16,1
10,2.4,0.267,1
8,4.875,0.423,1
8,0.5,0.438,1
5,1.4,0.314,1
9,25.556,0.399,1
8,4.125,0.314,1
5,3.4,0.4,1
7,4.143,0.365,1
8,2.125,0.529,1
13,29,0.178,1
7,3.714,0.269,1
10,10,0.267,1
10,3.4,0.297,1
8,1.875,0.425,1
10,0.8,0.675,1
8,1.25,0.238,1
9,10.778,0.466,1
9,7.667,0.209,1
11,4.909,0.258,1
8,63.75,0.144,1
11,21.818,0.27,1
7,7.857,0.374,1
8,25.375,0.149,1
9,9.111,0.37,1
10,3,0.3,1
7,1.429,0.3,1
5,1,0.36,1
8,6.25,0.378,1
8,26,0.194,1
8,1.5,0.479,1
7,2.714,0.451,1
9,5.111,0.242,1
11,2.636,0.32,1
14,8.286,0.27,1
7,4.286,0.271,1
6,6.167,0.392,1
8,7.375,0.381,1
6,2.167,0.128,1
7,6.714,0.322,1
4,4.25,0.309,1
5,19.2,0.323,1
10,10.7,0.273,1
7,2.714,0.662,1
8,2.5,0.506,1
6,11.333,0.172,1
8,6,0.328,1
1,10,0.8,1
8,3,0.323,1
9,54.667,0.132,1
9,10.111,0.321,1
8,9,0.198,1
11,26.545,0.341,1
5,2.6,0.554,1
10,3.5,0.38,1
8,1.75,0.438,1
8,9.375,0.373,1
9,2.556,0.324,1
10,15.2,0.297,1
11,2.909,0.264,1
7,3.714,0.346,1
10,2,0.275,1
5,2.6,0.431,1
9,4.667,0.378,1
7,1.143,0.357,1
8,0.75,0.375,1
9,2.222,0.461,1
8,2.5,0.425,1
6,4.167,0.313,1
9,4,0.549,1
11,0.636,0.468,1
9,33.222,0.226,1
9,5.333,0.257,1
7,4.714,0.299,1
5,1.2,0.433,1
11,17.273,0.239,1
3,1.333,0.917,1
7,6.143,0.246,1
8,8.875,0.238,1
10,4.1,0.302,1
8,1.25,0.4,1
8,22.875,0.185,1
5,2.6,0.292,1
7,1.143,0.411,1
16,24.313,0.364,1
9,11.111,0.276,1
11,3,0.278,1
7,10.571,0.16,1
9,12.111,0.243,1
25,11.68,0.45,1
7,1.857,0.396,1
10,3.3,0.182,1
9,8.889,0.304,1
41,1.634,0.441,1
8,2.125,0.199,1
7,13.143,0.143,1
6,2.167,0.436,1
5,0.8,0.6,1
10,5.3,0.34,1
11,18.818,0.268,1
25,2.84,0.234,1
9,59.333,0.169,1
6,2.167,0.359,1
24,7.083,0.924,1
10,12.2,0.294,1
10,2.8,0.343,1
9,6.778,0.213,1
7,2,0.337,1
8,2.875,0.255,1
1,74,0.189,1
6,0.667,0.458,1
9,10.333,0.323,1
10,9.9,0.443,1
6,7.333,0.265,1
5,6.4,0.413,1
5,0.6,0.533,1
7,1.857,0.341,1
6,0.333,0.667,1
9,5.667,0.296,1
6,0.667,0.542,1
8,1,0.344,1
10,15.5,0.326,1
10,1.8,0.311,1
7,4,0.27,1
9,4,0.654,1
9,3.889,0.273,1
8,7.75,0.357,1
5,2.6,0.4,1
1,49,0.286,1
7,5.857,0.425,1
9,36.778,0.126,1
14,31.429,0.158,1
9,4.667,0.452,1
7,3.429,0.28,1
5,7.8,0.395,1
7,1.571,0.403,1
8,5,0.372,1
9,20,0.374,1
6,3.167,0.184,1
7,17.857,0.27,1
8,2.75,0.403,1
18,4.389,0.257,1
11,0.727,0.693,1
11,15.909,0.21,1
8,1.5,0.406,1
9,5.222,0.362,1
9,27.778,0.305,1
7,4.286,0.295,1
5,2.8,0.414,1
8,2,0.398,1
9,6,0.191,1
9,4,0.611,1
10,1.8,0.6,1
9,2.889,0.342,1
8,1.5,0.385,1
10,0.6,0.333,1
4,1.5,0.417,1
20,0.95,0.495,1
8,3.25,0.264,1
9,56.111,0.189,1
11,17.182,0.174,1
10,6.3,0.294,1
8,5.375,0.445,1
12,5.917,0.481,1
5,18.8,0.277,1
9,4.111,0.532,1
38,9,0.275,1
7,2.571,0.357,1
11,16.636,0.465,1
6,3.833,0.377,1
9,59.333,0.134,1
4,2.5,0.5,1
9,11.667,0.236,1
7,36.571,0.135,1
9,5,0.447,1
6,1.833,0.333,1
8,3,0.297,1
9,3.778,0.363,1
6,9.667,0.276,1
8,5.125,0.424,1
10,26.3,0.204,1
9,59.444,0.106,1
5,1,0.44,1
9,5.444,0.265,1
9,56.667,0.075,1
4,3.5,0.268,1
10,0.9,0.333,1
8,18.5,0.208,1
7,2,0.327,1
9,1.778,0.326,1
8,9.5,0.314,1
11,9.091,0.456,1
6,8.167,0.286,1
8,8.75,0.279,1
7,3.143,0.325,1
12,2.75,0.391,1
12,27.917,0.4,1
9,17.222,0.366,1
8,20.375,0.383,1
