@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7-8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
7,231,1.2,61,1
7,154,1.19,38,1
7,182,1.52,35,1
7,63,1.69,22,1
9,99,1.29,22,1
7,357,1.35,101,1
7,140,1.85,50,1
7,105,1.64,36,1
9,396,1.42,95,1
7,49,1.67,15,1
4,16,4.5,9,1
7,133,1.71,53,1
5,15,2.67,8,1
7,245,1.32,66,1
7,140,1.35,35,1
9,738,1.48,181,1
5,20,10,10,1
7,231,1.45,81,1
8,136,1.24,31,1
7,161,1.45,45,1
7,161,1.68,52,1
7,329,1.29,85,1
6,348,1.17,96,1
7,315,1.15,75,1
7,70,1.33,24,1
9,171,1.52,47,1
5,160,1.31,67,1
8,432,1.34,79,1
7,378,1.26,115,1
8,224,2.2,88,1
24,432,2.07,60,5
8,104,2,46,1
8,144,2.03,61,1
8,240,2.3,108,1
7,77,1.8,9,5
8,152,1.74,59,1
9,108,2,40,1
11,242,1.86,67,1
11,352,2.27,118,1
21,273,2.3,46,1
13,65,5.25,21,5
8,192,1.81,65,1
9,81,1.81,29,1
8,32,7,14,5
10,330,2.33,105,1
9,81,2.8,28,1
8,80,2.13,34,1
9,387,1.82,133,1
8,240,1.88,92,1
9,198,3.31,53,1
9,2196,1.59,520,1
8,72,2.2,33,1
9,315,2.14,120,1
9,171,2.31,67,1
10,250,2.43,102,1
8,104,2.1,42,1
10,470,2.3,159,1
10,130,2,50,1
8,128,2.54,66,1
8,208,2.41,77,1
8,104,2.28,41,1
10,670,2.29,215,1
8,96,2.2,44,1
6,192,2.11,80,1
11,836,2.08,212,1
10,270,2.38,93,1
8,440,1.77,99,1
8,96,2.59,44,1
8,248,1.87,103,1
11,550,1.89,140,1
8,128,2.57,59,1
10,690,1.85,191,1
9,162,1.84,57,1
8,336,1.85,124,1
5,45,2,24,1
12,3132,1.92,698,1
8,248,2,92,1
9,180,1.86,65,1
11,462,1.93,131,1
8,112,2.1,42,1
8,296,1.61,111,1
6,84,2.24,47,1
8,152,2,54,1
8,64,2.17,26,1
10,260,1.87,71,1
8,128,2.55,51,2
8,112,3.38,54,1
7,49,3.5,14,1
10,1550,1.85,427,1
8,192,1.9,80,1
1,7,7,7,1
5,10,7,7,1
5,75,3.17,38,1
5,60,4.67,28,1
5,100,2.35,47,1
5,65,2.57,36,1
5,85,2.33,49,1
8,192,1.84,57,1
10,2610,1.74,676,1
9,81,2.23,29,1
8,96,1.8,36,1
10,280,2.13,96,1
6,18,10,10,1
10,330,2.07,116,1
8,56,3.11,28,1
6,180,3.12,81,1
5,130,2.37,64,1
5,110,2.19,59,1
5,55,2.75,33,1
8,112,3,54,1
8,288,2.21,86,1
5,115,2.42,58,1
8,96,2.1,42,1
10,140,2.89,52,1
11,209,2.46,64,1
8,48,1.78,16,1
8,232,2.38,93,1
7,42,2.33,21,1
10,180,1.93,56,1
7,434,1.87,170,1
8,112,2.32,44,1
11,2882,1.94,747,1
10,250,1.89,85,1
10,100,1.89,34,1
7,189,1.81,76,1
8,280,1.64,100,1
8,328,1.61,124,1
10,450,2.25,133,1
8,480,1.85,161,1
8,128,2,46,1
10,460,2.09,138,1
8,392,1.93,162,1
8,56,2.45,27,1
8,488,1.94,167,1
8,184,1.89,85,1
8,72,2.38,31,1
8,80,3.22,29,1
7,175,1.81,76,1
10,90,2.25,27,1
10,340,1.86,95,1
11,814,1.97,201,1
8,280,1.88,111,1
6,42,2.22,20,1
8,96,2.5,50,1
10,270,1.98,81,1
5,35,2.33,21,1
8,256,2.09,96,1
8,416,1.88,158,1
7,21,3,12,1
11,2882,1.84,685,1
7,217,2.13,100,1
10,430,1.8,110,1
8,24,3,12,1
7,154,1.85,61,1
8,384,1.89,136,1
7,343,1.91,109,1
8,424,1.87,161,1
10,1760,1.72,452,1
7,84,1.62,34,1
8,328,1.66,106,1
28,896,5.96,411,1
7,1498,2.77,672,1
8,2824,1.19,197,1
1,13,5,10,1
5,405,1.3,126,1
7,77,1.64,18,1
8,552,1.38,54,1
9,2979,1.21,374,1
25,4650,7.16,2221,1
9,4572,1.3,732,1
9,4806,1.31,629,1
10,5340,1.28,703,1
13,494,4,164,1
9,972,1.73,216,1
9,1521,2.53,537,1
9,621,1.38,130,1
7,1351,1.37,278,1
8,496,1.91,153,1
2,830,16.76,419,2
2,126,10.75,43,2
9,4590,1.33,681,1
9,2691,1.31,358,1
9,4815,1.39,655,1
2,950,95.8,479,2
1,537,537,537,2
8,872,1.39,174,1
28,896,7.02,414,3
9,1521,2.3,507,1
8,1672,1.27,290,1
1,278,29.22,263,2
10,2500,1.19,301,1
1,81,24.33,73,2
9,1512,2.15,476,1
8,120,2.29,32,1
10,4740,1.51,886,1
10,5100,1.47,827,1
9,963,1.38,201,1
8,112,1.83,33,1
9,1755,1.53,221,1
8,456,2.91,198,1
7,441,1.8,149,1
7,238,1.4,63,1
9,4599,1.42,755,1
7,3647,1.28,333,1
2,1074,32.11,578,2
8,1184,1.28,232,1
9,4590,1.31,740,1
7,441,1.94,149,1
8,1728,3.18,705,1
8,656,2.91,285,1
2,208,1.08,13,1
9,3384,1.34,760,1
9,594,1.42,143,1
9,549,1.6,117,1
9,2412,1.36,478,1
9,918,1.3,196,1
7,350,1.23,75,1
24,4272,7.86,2099,1
25,4675,7.28,2207,1
9,999,1.6,184,1
8,4184,1.2,250,1
9,2979,1.29,582,1
8,552,1.38,113,1
1,99,1.06,19,1
8,1520,1.21,179,1
9,2097,1.26,345,1
1,118,1.05,22,1
1,50,1.11,10,1
11,1705,2.09,438,1
95,8835,3.63,5966,3
9,324,6.42,212,1
15,165,10.38,83,1
13,585,6.61,251,1
10,570,5.2,317,1
9,72,21,42,1
13,871,5.19,384,1
1,14,14,14,2
13,5733,4.63,2144,1
10,2580,2.67,869,1
13,3861,4.97,1579,1
10,200,9,108,1
1,117,38,114,2
1,47,25,25,2
14,5698,4.54,2010,1
14,5096,4.71,1865,1
10,1860,2.42,645,1
7,448,2.93,223,1
24,2568,16.91,2333,1
11,1551,2.85,567,1
1,10,10,10,2
1,44,5.33,32,2
10,180,9.4,94,1
10,2050,3.04,781,1
12,3024,4.75,1259,1
26,9828,3.46,2252,1
12,12,12,12,4
11,2013,4.53,937,1
10,160,7.25,87,1
13,1768,4.58,733,1
10,200,8.07,121,1
10,190,8.29,116,1
14,6062,4.44,2152,1
10,190,7.5,105,1
10,190,9.5,114,1
8,1544,2.51,617,1
13,2483,4.71,1007,1
7,301,2.56,164,1
3,12,9,9,1
14,4480,4.46,1584,1
9,2250,2.56,810,1
10,180,7.5,105,1
24,5016,17.27,4645,1
11,1694,2.96,609,1
12,276,9.94,159,1
11,220,8.93,125,1
83,26062,8.77,7353,5
17,1632,5.15,597,1
16,6224,5.35,2268,1
14,868,5.97,376,1
16,4944,5.38,1890,1
11,242,7.78,140,1
3,12,10,10,1
11,209,7.35,125,1
11,22,14,14,4
3,12,11,11,1
8,104,6.9,69,1
9,2088,1.76,573,1
10,1770,1.77,461,1
8,96,6.22,56,1
9,1467,2.98,387,1
8,1296,2.85,424,1
15,435,4.15,228,1
24,12240,38.65,10359,2
9,1431,1.93,356,1
7,1701,1.62,372,1
8,872,1.61,191,1
5,135,3.08,40,1
8,760,1.34,142,1
8,1936,1.45,331,1
6,276,1.48,89,1
5,345,1.51,86,1
17,408,4.79,163,1
18,432,5.76,196,1
7,259,3.14,135,1
16,384,4.72,151,1
17,408,4.88,166,1
16,384,4.51,158,1
9,1647,1.42,359,1
6,582,1.85,174,1
4,384,2.19,160,1
7,980,1.49,248,1
160,45760,55.42,9199,5
10,880,2.16,218,1
7,28,2.4,12,1
6,102,1.39,25,1
7,266,1.82,109,1
7,217,2.31,90,1
7,119,1.73,19,1
7,56,1.42,17,1
1,77,1.04,25,1
7,413,1.79,100,1
9,441,1.61,111,1
9,882,2.03,266,1
9,1998,1.52,403,1
5,80,2,20,1
5,10,7,7,4
9,414,1.66,123,1
7,119,1.41,38,1
5,145,1.6,40,1
17,1870,1.46,328,1
11,4697,189.79,2657,2
6,42,30,30,1
23,460,21.18,233,1
10,1190,1.59,240,1
9,153,2.13,51,1
12,3624,1.68,721,1
1,235,27.13,217,2
1,107,18.6,93,2
13,4381,1.58,811,1
2,38,3.5,7,1
6,78,3,18,1
8,2768,1.35,459,1
20,600,13.68,260,1
20,360,19.56,176,1
20,640,21.15,275,1
8,256,34.33,103,1
7,294,2.05,119,1
9,90,3.88,31,1
8,1240,1.64,454,1
7,63,3.11,28,1
12,336,3.07,89,1
11,110,4.36,48,1
1,196,64,192,2
2,398,32.17,193,2
38,3648,3.29,1574,1
1,9,9,9,2
14,1750,2.21,505,1
9,513,1.39,146,1
1,131,64,128,2
11,2123,1.59,516,1
4,2096,40.57,1136,2
