@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,8,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,30.111,0.285,696,1
9,22,0.289,515,1
7,9.286,0.316,144,1
6,2.833,0.343,35,1
11,24.636,0.198,591,1
8,0.125,0.875,7,5
8,1.25,0.313,25,1
4,2.25,0.417,15,1
10,10,0.212,212,1
7,0.714,0.2,7,1
8,30.625,0.198,389,1
10,6,0.223,134,1
7,2.429,0.328,39,1
8,5.75,0.285,105,1
8,32.875,0.154,325,1
1,10,0.8,8,1
7,1.286,0.317,20,1
4,1.5,0.333,8,1
6,4.667,0.292,49,1
14,2.071,0.14,57,1
8,1.375,0.159,14,1
6,2.167,0.295,23,1
7,5.857,0.213,61,1
6,1.833,0.333,22,1
4,3,0.292,14,1
9,2.556,0.213,44,1
5,2.6,0.415,27,1
1,27,0.407,11,2
9,1.889,0.183,28,1
7,2.286,0.25,28,1
10,5.3,0.215,114,1
6,1.167,0.262,11,1
7,2.571,0.27,34,1
9,5.111,0.242,100,1
8,3.375,0.269,58,1
7,0.571,0.321,9,1
7,4.714,0.299,69,1
7,1.143,0.286,16,1
7,3.857,0.28,53,1
8,5.875,0.221,83,1
9,2.444,0.192,38,1
9,0.556,0.244,11,1
8,10.125,0.221,143,1
5,3,0.36,27,1
7,5.857,0.345,99,1
10,4.9,0.196,96,1
7,0.714,0.257,9,1
6,1.833,0.303,20,1
9,6.222,0.196,99,1
5,1,0.52,13,1
9,4.556,0.244,90,1
7,2,0.337,33,1
7,1.286,0.349,22,1
7,6.857,0.33,111,1
7,3,0.293,43,1
9,6,0.191,93,1
9,4.333,0.239,84,1
6,1.167,0.357,15,1
7,2,0.357,35,1
7,5.571,0.33,90,1
7,3,0.327,48,1
7,1.571,0.377,29,1
7,2.286,0.286,32,1
7,3,0.333,49,1
7,1.143,0.268,15,1
7,1.571,0.312,24,1
9,3.333,0.248,67,1
5,2.2,0.364,20,1
7,3,0.279,41,1
7,5.429,0.338,90,1
7,2,0.265,26,1
6,2.333,0.274,23,1
6,4,0.264,38,1
6,2.167,0.308,24,1
7,2,0.327,32,1
6,2.5,0.267,24,1
6,1.167,0.286,12,1
8,5,0.213,68,1
9,2.889,0.175,41,1
7,2.286,0.259,29,1
9,1.889,0.229,35,1
7,29.571,0.249,361,1
9,3.111,0.258,65,1
6,6.333,0.377,86,1
9,4.333,0.259,91,1
7,6.429,0.254,80,1
7,8.429,0.228,94,1
9,11.444,0.243,225,1
6,2.167,0.308,24,1
9,2,0.259,42,1
7,1.429,0.3,21,1
5,5.4,0.304,41,1
7,7.429,0.266,97,1
9,2.222,0.261,47,1
7,1.571,0.377,29,1
5,6.4,0.413,66,1
7,1.571,0.299,23,1
7,2.571,0.302,38,1
9,2,0.241,39,1
7,2.429,0.269,32,1
7,5,0.347,85,1
5,2.2,0.436,24,1
7,5.714,0.339,95,1
7,5.857,0.321,92,1
9,4.889,0.258,102,1
7,1.143,0.464,26,1
9,3.889,0.362,114,1
10,1.2,0.208,25,5
8,1.25,0.475,38,1
12,22.583,0.248,805,1
16,1.313,0.095,32,5
8,2,0.477,61,1
53,0.906,0.181,460,5
9,2.556,0.386,80,1
5,1.4,0.2,7,2
8,1.25,0.438,35,1
9,0.444,0.25,9,5
12,0.333,0.292,14,5
8,1.5,0.417,40,1
10,3.5,0.337,118,1
8,4.5,0.406,117,1
9,6.222,0.339,171,1
11,1.091,0.455,60,1
10,4.1,0.339,139,1
8,7,0.424,190,1
11,12.182,0.286,422,1
1,19,0.737,14,2
8,1,0.391,25,1
7,3.286,0.447,72,1
8,1.5,0.427,41,1
9,30.222,0.269,659,1
8,1.75,0.42,47,1
8,3.125,0.37,74,1
8,1,0.484,31,1
11,4,0.308,149,1
8,0.875,0.375,21,1
8,1.75,0.357,40,1
11,2.818,0.323,110,1
7,4.429,0.461,100,1
8,10.25,0.402,264,1
8,2.25,0.361,52,1
5,0.8,0.65,13,1
11,21.818,0.27,714,1
8,2.5,0.456,73,1
9,1.778,0.326,47,1
6,2.333,0.571,48,1
8,2.625,0.411,69,1
11,4.909,0.258,153,1
8,1.5,0.438,42,1
9,3.778,0.356,109,1
7,2.143,0.448,47,1
10,3.6,0.319,115,1
8,2.75,0.392,69,1
11,21.182,0.245,629,1
10,2.3,0.248,57,1
8,1.5,0.385,37,1
8,3.5,0.46,103,1
10,4.4,0.314,138,1
8,5.375,0.343,118,1
9,3.111,0.317,80,1
7,2,0.378,37,1
20,1.95,0.14,109,5
10,4.1,0.276,113,1
7,2.714,0.398,53,1
7,0.286,0.857,12,1
3,1,0.778,7,1
4,0.75,0.667,8,1
10,0.9,0.333,30,1
7,1.429,0.386,27,1
5,2.6,0.462,30,1
8,2,0.328,42,1
7,5,0.494,121,1
6,6.167,0.392,87,1
8,2.75,0.295,52,1
8,4.25,0.36,98,1
8,2.375,0.434,66,1
7,1,0.347,17,1
9,5.889,0.335,160,1
8,0.625,0.375,15,1
10,2.3,0.348,80,1
8,1.625,0.471,49,1
8,1.5,0.385,37,1
8,4.125,0.345,91,1
10,26.2,0.29,761,1
8,4.625,0.334,99,1
10,3,0.363,109,1
10,2.6,0.35,91,1
10,5.8,0.3,174,1
10,25.1,0.281,705,1
10,26.1,0.269,701,1
11,23.727,0.246,707,1
8,2.875,0.353,65,1
8,0.5,0.594,19,1
7,1.857,0.429,39,1
7,2.571,0.397,50,1
7,2.714,0.451,60,1
8,3.25,0.37,77,1
6,1.333,0.5,24,1
8,1.875,0.458,55,1
8,3.25,0.24,50,1
10,5.2,0.269,140,1
10,3.6,0.264,95,1
9,6.222,0.327,165,1
6,1.167,0.452,19,1
10,4,0.295,118,1
8,0.875,0.357,20,1
8,21,0.32,430,1
8,0.75,0.313,15,1
10,5.9,0.251,148,1
7,2.857,0.464,65,1
7,5,0.404,99,1
7,1.143,0.411,23,1
7,2.857,0.336,47,1
7,3.286,0.348,56,1
12,5.75,0.407,337,1
24,7.375,0.508,2157,1
7,9,0.317,140,1
8,13.25,0.358,304,1
2,268,0.538,577,2
8,29.125,0.262,488,1
7,7.286,0.207,74,1
1,88,0.193,17,1
7,1.857,0.264,24,1
1,40,0.175,7,1
7,1.857,0.308,28,1
9,56.667,0.137,629,1
9,50.333,0.08,326,1
7,9.429,0.171,79,1
8,12.75,0.403,329,1
5,6.2,0.355,55,1
9,57.778,0.081,378,1
8,18.5,0.208,246,1
8,12.625,0.222,179,1
25,19.64,0.454,5572,1
7,8.714,0.319,136,1
28,1.143,0.481,431,3
9,20,0.343,555,1
2,32,0.43,55,2
9,59.222,0.167,799,1
7,21,0.215,221,1
29,1.069,0.463,416,3
2,268.5,0.507,544,2
7,21.714,0.214,228,1
7,32.571,0.154,245,1
9,59.222,0.166,797,1
8,12,0.276,212,1
8,13.375,0.363,311,1
9,59.556,0.189,913,1
2,49.5,0.253,50,2
2,268.5,0.52,558,2
8,18.875,0.174,210,1
10,21.9,0.153,334,1
1,148,0.986,146,2
10,25.1,0.141,354,1
7,20.143,0.163,161,1
1,60,0.2,12,1
8,8.625,0.159,88,1
1,187,0.963,180,2
25,7.48,0.486,2272,1
2,269,0.519,558,2
10,51.1,0.115,588,1
8,4.75,0.128,39,1
9,14.333,0.169,196,1
10,50.8,0.16,813,1
7,5.857,0.254,73,1
7,24.714,0.207,251,1
9,39.111,0.205,651,1
9,28.444,0.099,227,1
7,29.286,0.109,156,1
9,21.556,0.169,295,1
9,18.556,0.378,568,1
8,7.75,0.214,106,1
8,27,0.156,270,1
9,28.778,0.189,441,1
6,2.167,0.346,27,1
7,31.857,0.121,189,1
2,267.5,0.55,589,2
9,56.556,0.096,439,1
9,16.444,0.146,195,1
7,16.714,0.186,152,1
9,4.222,0.313,107,1
12,7,0.42,423,1
14,0.786,0.526,81,1
12,5.917,0.481,410,1
12,7.083,0.476,486,1
11,20.727,0.282,708,1
10,8.9,0.252,224,1
1,36,0.583,21,2
8,5.375,0.445,153,1
24,14.042,0.945,7647,1
14,22.429,0.379,1664,1
10,15.9,0.377,600,1
10,1.8,0.539,97,1
8,19.25,0.424,522,1
9,9.111,0.335,247,1
12,6,0.623,538,1
10,1.8,0.6,108,1
3,1,0.778,7,1
1,27,0.259,7,2
3,1.333,0.667,8,1
9,2,0.66,107,1
8,6.75,0.537,232,1
12,6,0.63,544,1
9,0.889,0.722,52,1
13,17.077,0.377,1087,1
10,25.2,0.377,950,1
10,1.9,0.542,103,1
11,16.727,0.484,979,1
9,0.111,1,9,4
12,6,0.615,531,1
25,10.44,0.887,5785,1
28,10.036,0.318,2502,1
10,1.9,0.6,114,1
9,41,0.329,1094,1
12,6,0.635,549,1
14,29.714,0.384,2234,1
10,1.6,0.425,68,1
11,16.727,0.46,931,1
9,27.667,0.346,776,1
27,9.889,0.362,2610,1
15,8.067,0.428,776,1
11,18.636,0.371,837,1
12,0.917,0.652,86,1
16,24.438,0.401,2508,1
39,9.051,0.557,7667,1
12,1.667,0.546,131,1
25,8.12,0.837,4246,1
15,14.8,0.414,1378,1
12,5.75,0.332,275,1
16,23.875,0.375,2292,1
24,13.917,0.894,7164,1
9,9.111,0.306,226,1
11,8.545,0.38,393,1
10,24.8,0.356,883,1
8,1.625,0.625,65,1
10,23.8,0.353,840,1
10,27.9,0.377,1052,1
9,8.889,0.304,219,1
8,23,0.237,349,1
59,1.424,0.659,3264,1
6,30.667,0.272,300,1
8,9.5,0.232,141,1
8,14.125,0.21,190,1
6,7.833,0.177,50,1
4,6.25,0.28,28,1
7,23.143,0.096,109,1
17,1.294,0.409,153,1
10,18.9,0.263,498,1
8,28.875,0.21,389,1
5,3.4,0.376,32,1
7,31.857,0.205,320,1
9,11.111,0.247,222,1
4,11,0.267,47,1
5,21.4,0.247,132,1
74,2.473,0.544,7366,1
14,13.714,0.234,628,1
14,20.286,0.236,938,1
7,8.714,0.241,103,1
5,18.8,0.277,130,1
6,15.833,0.274,156,1
5,18.8,0.313,147,1
7,2.714,0.286,38,1
6,15.5,0.276,154,1
16,1.5,0.44,169,1
12,7.583,0.281,307,1
6,16,0.262,151,1
91,3.132,0.158,4100,5
65,0.769,0.454,1475,3
8,0.125,1,8,4
8,6,0.396,152,1
5,0.4,0.8,8,1
2,23.5,0.17,16,1
1,22,0.318,7,1
6,13.667,0.104,51,1
7,0.286,0.643,9,4
67,4.418,0.088,1748,1
6,3,0.343,37,1
16,6.625,0.192,325,1
7,4,0.286,56,1
7,9.286,0.407,185,1
6,14.167,0.239,122,1
5,5.6,0.307,43,1
7,3.143,0.097,15,1
7,5.714,0.229,64,1
6,6.667,0.221,53,1
6,1.333,0.417,20,1
7,4.857,0.273,65,1
1,12,0.667,8,2
10,9.4,0.286,269,1
1,277,0.993,275,2
7,5.857,0.261,75,1
2,50,0.46,92,2
9,0.111,1,9,4
9,14.889,0.216,260,1
1,71,0.521,37,2
8,43.25,0.144,398,1
6,22.5,0.21,170,1
7,19.286,0.202,191,1
7,13,0.179,114,1
5,12.6,0.21,66,1
4,2.5,0.3,12,1
1,10,1,10,2
8,2.75,0.398,70,1
6,0.667,0.417,10,1
10,12.1,0.268,324,1
2,10.5,0.452,19,2
11,8.182,0.385,381,1
11,9.455,0.394,451,1
14,6,0.261,307,1
10,4.1,0.463,190,1
36,0.139,0.656,118,1
11,1.091,0.5,66,1
1,70,0.943,66,2
10,4.7,0.481,226,1
