@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
5.375,0.398,323,1
1.625,0.423,103,1
4.111,0.3,231,1
0.875,0.375,56,1
7.9,0.324,530,1
0.148,0.333,72,4
6.571,0.177,98,2
1.778,0.375,144,1
4.182,0.283,425,1
10.111,0.32,633,1
1.9,0.379,155,1
3,0.5,107,1
1.667,0.407,114,1
2.167,0.103,35,5
2.889,0.385,199,1
2.333,0.571,82,1
7.636,0.279,627,1
24.727,0.275,2222,1
4.25,0.426,268,1
2.8,0.375,184,1
6.375,0.37,303,1
4.5,0.427,288,1
3.714,0.445,178,1
2.222,0.361,126,1
7.111,0.345,400,1
4.636,0.294,462,1
5.455,0.32,401,1
1.5,0.438,96,1
2.6,0.296,245,1
1.8,0.383,180,1
19.364,0.264,1635,1
8.727,0.277,718,1
6.1,0.305,581,1
5.2,0.319,417,1
3.7,0.324,256,1
1,0.359,62,1
1.5,0.396,89,1
3.375,0.343,168,1
6.5,0.325,365,1
1.8,0.294,164,1
8,0.385,467,1
3.5,0.246,32,2
3.75,0.354,180,1
2,0.486,68,1
14,0.187,884,1
0.7,0.314,60,1
1,0.35,89,1
3,0.33,253,1
2.857,0.4,140,1
0.5,0.469,23,1
4.875,0.378,300,1
2.8,0.329,35,1
3.9,0.295,354,1
6.1,0.333,582,1
3.1,0.316,233,1
2.5,0.406,145,1
1.5,0.406,88,1
2.9,0.303,212,1
3.875,0.351,208,1
1.5,0.396,95,1
2.8,0.311,268,1
1.875,0.475,120,1
4.333,0.423,120,1
8.875,0.289,326,1
1.6,0.338,142,1
3.571,0.354,106,1
2,0.383,95,1
0.8,0.7,20,1
1.75,0.509,86,1
2.5,0.363,149,1
4.25,0.357,204,1
3.75,0.342,215,1
1.125,0.361,57,1
9.889,0.3,448,1
2,0.422,127,1
1.5,0.417,89,1
26.2,0.281,1811,1
2,0.5,98,1
5.3,0.294,481,1
10,0.347,597,1
3.222,0.318,233,1
23.818,0.242,1781,1
1.625,0.365,97,1
2,0.327,124,1
3.125,0.38,159,1
1.167,0.5,42,1
5.375,0.34,307,1
2.286,0.438,96,1
3.7,0.33,332,1
4.1,0.266,221,1
6.429,0.381,243,1
2,0.406,119,1
2,0.408,92,1
2.571,0.413,120,1
3.625,0.341,181,1
5.75,0.356,352,1
0.429,0.571,21,1
2.286,0.42,86,1
5.333,0.286,171,1
14.667,0.168,823,1
1.857,0.242,83,1
29.778,0.183,1654,1
2,0.278,72,1
51.667,0.157,2694,1
89,0.191,89,1
2,0.292,56,1
38.111,0.162,2091,1
56.444,0.164,3154,1
57.556,0.096,2001,1
2,0.154,823,5
13.75,0.23,767,1
30.222,0.137,1303,1
30.556,0.202,1775,1
21.286,0.207,2962,1
10.375,0.404,492,1
34.375,0.209,1621,1
56.444,0.184,3224,1
34.25,0.15,1277,1
49.9,0.147,3150,1
7.75,0.296,431,1
12.111,0.219,764,1
10.375,0.437,575,1
38.778,0.125,1422,1
19.76,0.462,11482,1
1.143,0.488,666,3
37.375,0.186,1643,1
10.375,0.393,465,1
214,1,214,2
31.111,0.165,1724,1
8.429,0.15,238,1
8.857,0.189,328,1
31.8,0.128,1625,1
11.667,0.334,821,1
269,0.637,756,2
17.6,0.181,972,1
30.9,0.2,2257,1
51.1,0.161,3238,1
28.846,0.154,2531,1
1.875,0.317,89,1
1.875,0.283,78,1
14.25,0.116,372,1
2.923,0.324,462,1
7.375,0.514,4082,1
9.111,0.383,473,1
18.444,0.386,1121,1
7.44,0.456,4035,1
20.111,0.369,1201,1
19.111,0.167,1050,1
39.222,0.187,2013,1
16,0.123,793,1
11,0.21,693,1
268.5,0.523,609,2
18.222,0.189,959,1
34.125,0.215,1764,1
12.375,0.211,702,1
26.875,0.367,1283,1
50.778,0.173,2590,1
24,0.081,434,1
36.222,0.171,1882,1
21.833,0.106,370,1
104,0.192,104,1
0.019,1,54,4
5.5,0.678,455,1
16.2,0.454,928,1
11,1,11,2
1.8,0.55,118,1
16.818,0.356,1572,1
26.308,0.231,2437,1
2.167,0.346,45,1
379,0.963,379,2
5,0.602,373,1
8,0.275,348,1
25,0.287,1928,1
5.143,0.567,234,1
15,0.733,15,2
17.625,0.447,1051,1
14,0.898,7729,1
0.143,1,7,2
4.144,0.37,34874,3
32,0.438,32,1
15.5,0.314,978,1
39,0.308,39,2
5.167,0.902,2859,1
1.9,0.568,147,1
27.933,0.345,3309,1
6.611,0.324,12422,5
9.222,0.391,594,1
0.1,1,10,4
6.235,0.927,1802,1
15.647,0.921,4522,1
1.889,0.627,141,1
193,0.57,193,2
6.25,0.528,382,1
15.4,0.315,984,1
24,0.383,1971,1
29.929,0.373,3535,1
2.111,0.62,143,1
22.786,0.37,2577,1
9,0.549,311,1
0.111,1,9,4
32,0.469,32,2
39.364,0.449,3365,1
30,0.376,3356,1
8.25,0.911,4670,1
27.778,0.366,1727,1
7.083,0.931,4075,1
1.9,0.611,166,1
20.588,0.363,3433,1
22.167,0.338,2130,1
11.313,0.4,2198,1
11.286,0.566,535,1
15.5,0.332,1065,1
8.667,0.464,625,1
6.364,0.381,492,1
5.917,0.608,735,1
12.875,0.921,7295,1
21.063,0.363,3225,1
13.25,0.376,2349,1
141.33,0.537,709,1
2.522,0.378,46133,3
17.222,0.346,1020,1
5.957,0.855,2943,1
7.909,0.319,601,1
17.222,0.376,1007,1
14,0.5,14,2
10.267,0.423,1626,1
18,0.507,1981,1
23.706,0.349,3568,1
34.364,0.33,2846,1
16.667,0.284,1020,1
1.625,0.635,82,1
11.429,0.361,538,1
16.375,0.246,834,1
25.75,0.236,1307,1
28.875,0.228,1052,1
4.75,0.421,70,1
1.294,0.425,286,1
19.286,0.156,712,1
14.625,0.173,601,1
3.5,0.198,56,4
7.75,0.419,117,1
15.5,0.238,397,1
18,0.389,18,1
32.3,0.198,2183,1
37.25,0.242,1886,1
31.9,0.239,2149,1
16,0.297,467,1
16,0.302,458,1
16.167,0.266,419,1
30.3,0.179,2028,1
17.25,0.377,265,1
0.031,1,32,4
4.222,0.377,250,1
17.778,0.215,1152,1
15,0.25,718,1
35,0.429,35,1
4.429,0.336,181,1
63,0.952,63,2
15,0.256,518,1
7.571,0.089,91,1
8.333,0.194,471,1
8.625,0.261,485,1
47,0.34,47,1
6.5,0.226,165,1
2.125,0.228,117,1
22.5,0.213,1143,1
5.714,0.25,233,1
13.714,0.271,462,1
15.429,0.362,610,1
184,0.967,184,2
183.33,0.329,619,2
1.8,0.289,134,1
2,0.281,162,1
2.3,0.313,205,1
154.33,0.296,531,2
2,0.309,146,1
8,1,8,2
16.769,0.216,2090,1
1,0.72,18,1
13.625,0.271,753,1
34.556,0.163,1629,1
26,0.231,55,2
1.057,0.16,7279,5
20.111,0.217,1077,1
6.143,0.219,296,1
4.364,0.237,206,5
25.667,0.196,1324,1
12.143,0.192,517,1
172,0.465,172,2
13.571,0.268,618,1
12.286,0.281,577,1
8.571,0.286,372,1
11.25,0.207,531,1
3.8,0.211,74,1
17.571,0.139,580,1
17.8,0.169,319,1
2.4,0.2,35,1
3.5,0.438,111,1
1,0.56,91,1
138,1,138,2
3.222,0.31,179,1
12.5,0.36,50,2
12,0.354,48,2
1,0.43,97,1
159,0.994,159,2
199,0.99,199,2
0.95,0.46,2843,1
14.182,0.224,1219,1
1.091,0.5,108,1
