@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
30.929,0.355,1
2.2,0.277,1
0.857,0.357,1
2.429,0.555,1
24,0.479,1
3.778,0.356,1
1.4,0.371,1
3.25,0.37,1
19.76,0.462,1
13.714,0.234,1
12,0.376,1
1.333,0.917,1
1.875,0.267,1
11.667,0.334,1
0.857,0.476,1
2.625,0.357,1
6.667,0.324,1
5.571,0.293,1
4.6,0.452,1
2.6,0.462,1
9,0.322,1
1,0.234,1
59.444,0.156,1
8.143,0.273,1
2.75,0.426,1
35,0.191,1
1.857,0.286,1
5,0.347,1
3.8,0.432,1
3.583,0.357,1
5.429,0.259,1
12.6,0.21,1
15.5,0.276,1
2.571,0.286,1
5.6,0.329,1
10.333,0.278,1
4.3,0.458,1
4.5,0.282,1
8.875,0.289,1
11.25,0.207,1
4,0.257,1
30.9,0.2,1
3.909,0.334,1
1,0.203,1
2.473,0.544,1
3.333,0.271,1
17.571,0.139,1
0.4,0.7,1
1.714,0.464,1
24.222,0.148,1
1.556,0.706,1
33.846,0.255,1
5.143,0.262,1
14,0.571,1
0.75,0.333,1
1.875,0.433,1
3.9,0.308,1
1,0.347,1
4.75,0.408,1
1.875,0.292,1
11.222,0.442,1
24.8,0.356,1
5,0.472,1
34,0.197,1
40.6,0.239,1
4.857,0.298,1
2.2,0.364,1
7.667,0.217,1
35,0.429,1
50.8,0.1,1
4.667,0.235,1
1.333,0.37,1
1.857,0.78,1
3.342,0.464,1
16.769,0.216,1
3.714,0.302,1
15.75,0.188,1
1,0.234,1
2.333,0.529,1
8.182,0.362,1
2.667,0.49,1
0.6,0.6,1
4.375,0.443,1
5.375,0.387,1
0.714,0.257,1
2,0.265,1
22.5,0.213,1
21,0.215,1
1.5,0.247,1
1.5,0.427,1
1.778,0.326,1
5.333,0.417,1
2.923,0.33,1
6.5,0.445,1
16.385,0.359,1
1.25,0.425,1
9.833,0.268,1
19.2,0.342,1
10,0.303,1
3,0.315,1
2.286,0.304,1
5.818,0.25,1
13.857,0.196,1
6.4,0.35,1
1.125,0.417,1
18.5,0.208,1
3.091,0.324,1
1.286,0.365,1
8.8,0.241,1
3.8,0.308,1
2,0.623,1
11.429,0.361,1
3.875,0.411,1
1.5,0.417,1
1.333,0.417,1
4,0.308,1
1.571,0.351,1
9.222,0.289,1
27.143,0.293,1
3.143,0.325,1
24.125,0.4,1
2.636,0.298,1
2,0.255,1
7.286,0.356,1
2,0.316,1
8.6,0.265,1
2,0.388,1
17.778,0.36,1
3.2,0.338,1
14.636,0.329,1
4.3,0.256,1
25,1,1
24.2,0.26,1
177,0.203,1
22.786,0.37,1
3.5,0.411,1
1.5,0.385,1
24.938,0.369,1
2,0.605,1
3,0.32,1
9.375,0.228,1
2.333,0.571,1
8,0.227,1
15.1,0.381,1
0.6,0.533,1
2.636,0.408,1
9.9,0.264,1
26.769,0.308,1
30.111,0.292,1
30.571,0.461,1
2.143,0.324,1
5.182,0.343,1
2.625,0.417,1
8.333,0.327,1
0.727,0.511,1
5.429,0.252,1
1.286,0.238,1
2.273,0.335,1
11.625,0.324,1
1,0.4,1
37.75,0.211,1
1.571,0.312,1
6.091,0.331,1
3.8,0.424,1
11.455,0.273,1
2.333,0.206,1
2.75,0.392,1
10.111,0.233,1
19.7,0.144,1
1.857,0.308,1
3.909,0.281,1
19.375,0.452,1
3.7,0.327,1
4.125,0.356,1
1.5,0.458,1
8.857,0.272,1
16.833,0.411,1
10.111,0.321,1
7.5,0.433,1
5.75,0.285,1
1.857,0.209,1
1.8,0.294,1
4,0.17,1
23.143,0.096,1
2.6,0.554,1
3,0.327,1
5.857,0.213,1
14.188,0.41,1
2.833,0.451,1
2.3,0.261,1
2.375,0.368,1
23.125,0.235,1
10,0.36,1
2.571,0.365,1
56.667,0.161,1
4.111,0.453,1
4,0.428,1
4,0.252,1
7.7,0.469,1
21.25,0.277,1
9.556,0.211,1
10.286,0.236,1
34.5,0.313,1
6.107,0.258,1
1.857,0.33,1
23.412,0.32,1
20.444,0.206,1
2.2,0.4,1
2.8,0.329,1
9.6,0.418,1
5.625,0.911,1
10.889,0.302,1
5.4,0.378,1
2.9,0.221,1
2.8,0.557,1
2.8,0.457,1
24,0.383,1
2,0.56,1
6.1,0.487,1
4,0.292,1
29.286,0.109,1
11.889,0.191,1
22.333,0.152,1
5.7,0.326,1
2.111,0.298,1
5.167,0.318,1
1.333,0.833,1
5,0.347,1
3.5,0.393,1
25.75,0.236,1
1,0.57,1
3,0.388,1
27.1,0.239,1
9.333,0.222,1
4.857,0.252,1
1.286,0.349,1
3.818,0.335,1
1.4,0.543,1
4.889,0.467,1
6.875,0.243,1
6.571,0.304,1
2.143,0.314,1
4.857,0.462,1
1.8,0.294,1
19.111,0.171,1
5.857,0.254,1
1.375,0.477,1
2.25,0.424,1
5.083,0.251,1
24.429,0.16,1
16.25,0.36,1
31.462,0.267,1
0.857,0.5,1
2.143,0.705,1
5.917,0.608,1
12.231,0.412,1
1.333,0.458,1
11.68,0.479,1
1,0.347,1
15,0.127,1
59.333,0.131,1
0.8,0.5,1
5.5,0.268,1
12.6,0.41,1
4.429,0.461,1
3.714,0.352,1
49,0.286,1
5.333,0.292,1
8.75,0.371,1
4,0.27,1
8.5,0.324,1
1.3,0.285,1
13.667,0.362,1
8.125,0.302,1
1.4,0.571,1
3.556,0.299,1
7,0.318,1
10.667,0.281,1
1.424,0.659,1
8.4,0.356,1
31.143,0.142,1
1.8,0.55,1
6.6,0.273,1
18.667,0.268,1
4.5,0.615,1
10.036,0.318,1
18.818,0.268,1
0.571,0.357,1
12.813,0.401,1
2,0.378,1
2,0.398,1
4.429,0.415,1
42.75,0.163,1
1.7,0.318,1
6.2,0.419,1
2.167,0.372,1
1.5,0.396,1
29.714,0.384,1
5,0.391,1
4,0.333,1
4.125,0.375,1
14,0.18,1
21.455,0.354,1
2,0.603,1
17.444,0.222,1
1.6,0.338,1
4.1,0.276,1
34,0.213,1
2.571,0.27,1
1.818,0.564,1
5.3,0.306,1
3,0.3,1
2.5,0.408,1
2.833,0.245,1
3.556,0.417,1
2,0.477,1
9.222,0.371,1
16.2,0.454,1
12,0.583,1
19.8,0.464,1
19.2,0.404,1
10.455,0.266,1
7.625,0.207,1
2.875,0.31,1
1.727,0.598,1
47.4,0.187,1
0.8,0.65,1
3,0.286,1
4.5,0.181,1
9,0.317,1
2,0.327,1
19.2,0.329,1
26.1,0.259,1
20.417,0.204,1
2.222,0.35,1
1,0.889,1
24.727,0.171,1
7.111,0.465,1
30,0.111,1
5.444,0.265,1
5,0.408,1
1.571,0.364,1
10,0.371,1
6.8,0.224,1
20.778,0.42,1
14.538,0.229,1
4.125,0.314,1
59.333,0.14,1
3.143,0.398,1
4.5,0.25,1
2.625,0.435,1
2.857,0.464,1
4.875,0.304,1
27.1,0.251,1
2.333,0.175,1
0.875,0.5,1
1,0.563,1
55.571,0.167,1
0.444,0.472,1
38.625,0.186,1
2.6,0.477,1
13.7,0.191,1
1.5,0.273,1
1.444,0.368,1
9.5,0.237,1
1.2,0.433,1
2.833,0.314,1
0.571,0.286,1
2.857,0.493,1
1.625,0.394,1
2.25,0.215,1
3.429,0.274,1
16,0.259,1
11.708,0.468,1
6,0.365,1
1.286,0.159,1
23.6,0.183,1
11.444,0.243,1
4,0.207,1
3.125,0.28,1
41.417,0.278,1
27.1,0.199,1
1.286,0.444,1
28.214,0.359,1
56.111,0.189,1
19,0.211,1
19.214,0.337,1
22,0.39,1
43.25,0.144,1
14.5,0.268,1
3.875,0.415,1
2.429,0.336,1
39.875,0.174,1
4.125,0.371,1
2,0.259,1
1.2,0.333,1
3.5,0.46,1
33.889,0.191,1
2.4,0.267,1
6,0.328,1
14.667,0.302,1
2.333,0.365,1
30.571,0.449,1
13.444,0.356,1
1,0.889,1
1.5,0.427,1
32.455,0.215,1
1.923,0.234,1
7.667,0.315,1
10.778,0.455,1
16.214,0.237,1
5,0.403,1
7.286,0.325,1
5.583,0.35,1
10.333,0.323,1
5.333,0.227,1
4.429,0.318,1
1,0.344,1
1.6,0.6,1
19.429,0.18,1
3.182,0.445,1
11.625,0.185,1
2.273,0.36,1
16.857,0.386,1
7.417,0.429,1
2.875,0.451,1
0.727,0.705,1
3.8,0.442,1
27.2,0.211,1
26.545,0.341,1
3,0.346,1
1.2,0.367,1
1.875,0.267,1
2.571,0.357,1
5.4,0.319,1
1.571,0.39,1
3,0.333,1
5.125,0.393,1
11.444,0.399,1
118,0.186,1
31.167,0.188,1
1,0.889,1
9.556,0.337,1
59.333,0.163,1
21.833,0.106,1
3.286,0.248,1
1.286,0.429,1
2,0.375,1
1.5,0.458,1
2.333,0.487,1
3.083,0.41,1
3.222,0.318,1
3.875,0.371,1
6.667,0.296,1
2.857,0.464,1
8.875,0.329,1
5.857,0.345,1
1.111,0.344,1
15.4,0.315,1
6.375,0.37,1
1.875,0.467,1
7,0.282,1
6.3,0.298,1
3,0.25,1
2,0.327,1
1.6,0.425,1
3,0.4,1
3.3,0.394,1
13.375,0.363,1
8.273,0.286,1
4.25,0.309,1
3.875,0.375,1
6.25,0.428,1
5.333,0.273,1
25.625,0.381,1
18.8,0.313,1
2.909,0.335,1
34.714,0.219,1
50.333,0.08,1
2.143,0.4,1
6.222,0.327,1
14.889,0.216,1
5.8,0.317,1
1.8,0.333,1
3.857,0.079,1
4.556,0.444,1
4,0.654,1
2,0.275,1
6,0.292,1
6,0.281,1
5.4,0.267,1
14.286,0.294,1
24.727,0.283,1
9.375,0.375,1
10.462,0.415,1
9.286,0.215,1
6.25,0.405,1
2,0.54,1
5.4,0.296,1
1.5,0.438,1
11.333,0.257,1
2.375,0.454,1
2.625,0.232,1
43.833,0.124,1
9.111,0.312,1
0.5,0.469,1
8.286,0.212,1
5.3,0.294,1
6.3,0.294,1
13.833,0.329,1
10,0.197,1
2,0.36,1
6.471,0.175,1
89,0.169,1
8.909,0.276,1
26.1,0.269,1
0.857,0.405,1
4,0.42,1
5,0.425,1
9.125,0.433,1
3.778,0.288,1
8.875,0.31,1
4.875,0.347,1
2.8,0.443,1
8.923,0.279,1
7.333,0.241,1
2.667,0.198,1
4.875,0.423,1
2,0.29,1
14.778,0.236,1
59.444,0.146,1
25.167,0.199,1
26.769,0.195,1
23.4,0.188,1
10.25,0.398,1
2,0.367,1
5.857,0.328,1
11.625,0.261,1
2.3,0.37,1
1,0.438,1
7.222,0.222,1
1.5,0.417,1
5.714,0.339,1
1.333,0.454,1
3.6,0.264,1
34.5,0.087,1
4.455,0.343,1
3.3,0.352,1
2.889,0.291,1
1.25,0.238,1
15.429,0.362,1
15.375,0.402,1
5.286,0.282,1
8.333,0.373,1
1.607,0.368,1
2.6,0.3,1
21.313,0.378,1
1,0.306,1
2.1,0.329,1
2.833,0.294,1
1.714,0.417,1
9.333,0.407,1
31.667,0.338,1
13.333,0.331,1
10.125,0.221,1
3.571,0.434,1
37.545,0.356,1
2.5,0.244,1
3.3,0.282,1
13.5,0.282,1
7.125,0.434,1
4.429,0.382,1
3.75,0.242,1
2.4,0.383,1
5.333,0.286,1
2.375,0.401,1
56.667,0.075,1
3.222,0.23,1
0.462,0.436,1
31.556,0.137,1
4.7,0.336,1
1.125,0.361,1
11.222,0.211,1
1.889,0.627,1
30,0.376,1
200,0.13,1
33.875,0.314,1
10.571,0.276,1
8.25,0.911,1
7.909,0.253,1
5.889,0.317,1
3.333,0.248,1
1.625,0.683,1
13.636,0.186,1
7.818,0.283,1
0.125,1,1
3.556,0.271,1
6.667,0.221,1
15.5,0.332,1
2.5,0.363,1
2.167,0.308,1
7.75,0.357,1
4.556,0.201,1
1.778,0.382,1
20.143,0.16,1
4.571,0.339,1
2.222,0.628,1
27.778,0.347,1
5.429,0.414,1
24.286,0.383,1
0.455,0.655,1
4,0.286,1
4.833,0.339,1
8.6,0.145,1
0.889,0.222,1
0.9,0.644,1
6.5,0.342,1
2,0.277,1
3.667,0.354,1
4.222,0.371,1
12,0.111,1
2,0.296,1
1.875,0.317,1
6,0.261,1
11.833,0.337,1
18,0.507,1
2.429,0.227,1
7.889,0.294,1
17.545,0.243,1
1.625,0.529,1
3.125,0.33,1
1.125,0.375,1
3.875,0.347,1
0.875,0.393,1
20.444,0.214,1
6.625,0.344,1
1.75,0.429,1
7.667,0.322,1
26.923,0.381,1
15.5,0.329,1
15.5,0.314,1
4.667,0.429,1
1.625,0.442,1
30.625,0.198,1
59.444,0.165,1
49.429,0.167,1
2.4,0.267,1
6.091,0.269,1
16.889,0.379,1
1.333,0.917,1
14.25,0.116,1
4.429,0.276,1
167,0.192,1
17.3,0.09,1
74,0.189,1
2.444,0.192,1
3.857,0.259,1
21.063,0.363,1
1.286,0.349,1
2.111,0.392,1
4.778,0.455,1
13.667,0.104,1
21.846,0.205,1
1.857,0.363,1
0.857,0.333,1
26,0.282,1
4.667,0.45,1
2.286,0.313,1
12.444,0.213,1
2.286,0.295,1
8,0.246,1
2.833,0.382,1
4,0.568,1
2.5,0.267,1
4.111,0.526,1
0.857,0.214,1
14.833,0.298,1
7.333,0.496,1
5,0.269,1
7.636,0.279,1
10,0.212,1
56.444,0.164,1
5.857,0.355,1
0.889,0.722,1
13.625,0.2,1
57.556,0.096,1
31.462,0.277,1
27.1,0.188,1
2.375,0.388,1
1,0.327,1
3.286,0.298,1
37,0.237,1
2.429,0.454,1
1.75,0.357,1
2.923,0.285,1
2.143,0.371,1
2.429,0.429,1
5.556,0.32,1
8.091,0.17,1
1.429,0.329,1
2.556,0.3,1
1.2,0.4,1
13.375,0.384,1
20.556,0.398,1
7.8,0.436,1
5.3,0.215,1
12,0.276,1
0.556,0.244,1
10.111,0.32,1
7.75,0.419,1
18.778,0.26,1
9.333,0.288,1
22,0.591,1
2.375,0.434,1
13,0.425,1
5.2,0.306,1
2,0.214,1
1.167,0.452,1
4.444,0.356,1
18.778,0.353,1
1.778,0.375,1
5.8,0.538,1
2.5,0.413,1
9.5,0.314,1
9.2,0.278,1
1.286,0.349,1
7.727,0.257,1
3.556,0.24,1
6.857,0.298,1
7.44,0.478,1
1.571,0.455,1
28.444,0.099,1
2,0.327,1
10.1,0.45,1
4.458,0.908,1
6.4,0.406,1
11.75,0.485,1
3.556,0.302,1
26.688,0.4,1
1.375,0.25,1
2.5,0.467,1
2.625,0.435,1
2.8,0.336,1
5.167,0.199,1
7.143,0.214,1
18.5,0.196,1
4.778,0.274,1
4.714,0.264,1
8.286,0.202,1
0.8,0.45,1
2.5,0.3,1
0.75,0.396,1
9.5,0.184,1
3,0.323,1
2.667,0.227,1
1.857,0.791,1
11.5,0.24,1
14.8,0.414,1
11.286,0.566,1
51.556,0.158,1
3.375,0.236,1
18,0.254,1
4.167,0.273,1
10.375,0.294,1
3.5,0.308,1
5.429,0.353,1
1.5,0.438,1
7.556,0.335,1
2.714,0.203,1
10.267,0.423,1
2.714,0.406,1
20.429,0.105,1
4.5,0.458,1
22.5,0.21,1
18.222,0.189,1
22.25,0.34,1
21,0.32,1
14.667,0.168,1
19,0.278,1
12.286,0.281,1
1,0.63,1
0.286,0.5,1
6.111,0.251,1
1.091,0.492,1
6.125,0.413,1
6.455,0.69,1
18.286,0.203,1
8.444,0.38,1
3.833,0.283,1
36.167,0.25,1
0.95,0.46,1
3.571,0.331,1
9.833,0.266,1
5.286,0.301,1
2,0.347,1
1,0.484,1
11,0.21,1
31.286,0.195,1
13.571,0.268,1
1.333,0.406,1
2.167,0.282,1
13.214,0.254,1
3.778,0.366,1
3.25,0.24,1
23.375,0.155,1
1.818,0.564,1
22.583,0.259,1
5,0.4,1
5.222,0.333,1
3.6,0.689,1
15.273,0.234,1
1.556,0.238,1
3,0.146,1
0.714,0.486,1
1.167,0.357,1
2.333,0.354,1
2.571,0.214,1
38.111,0.162,1
2.6,0.262,1
3.25,0.293,1
3.273,0.469,1
11.091,0.256,1
4.75,0.401,1
14.444,0.513,1
2.714,0.406,1
1.571,0.364,1
8.12,0.837,1
33.778,0.202,1
2.067,0.204,1
5.857,0.341,1
8.625,0.366,1
21.417,0.283,1
4,0.49,1
5.625,0.156,1
2.9,0.383,1
0.333,0.667,1
15.5,0.238,1
4.529,0.314,1
10.25,0.418,1
10.571,0.16,1
4.714,0.143,1
5,0.281,1
2.875,0.277,1
23.778,0.23,1
4.875,0.388,1
4.429,0.313,1
17.727,0.358,1
23.75,0.118,1
7.909,0.319,1
8.182,0.385,1
91,0.352,1
29.125,0.151,1
1.5,0.417,1
10.727,0.26,1
5.875,0.362,1
11,0.461,1
1.75,0.268,1
47,0.426,1
2.857,0.357,1
23.818,0.238,1
1.9,0.3,1
7.75,0.308,1
11.889,0.371,1
5.1,0.337,1
1,0.889,1
2.2,0.323,1
1.4,0.429,1
1,0.528,1
10.143,0.231,1
1.222,0.343,1
9.375,0.415,1
4.286,0.329,1
20.25,0.327,1
0.75,0.458,1
8.375,0.392,1
0.875,0.411,1
19.286,0.114,1
16.429,0.273,1
3.227,0.536,1
5.3,0.294,1
2.8,0.543,1
4.6,0.296,1
3.36,0.443,1
41,0.329,1
33.308,0.375,1
2,0.344,1
29.929,0.373,1
1,0.16,1
11.222,0.256,1
2.429,0.361,1
9.222,0.293,1
4.848,0.219,1
11.941,0.925,1
6.76,0.218,1
4.9,0.551,1
3.375,0.282,1
3.2,0.306,1
4.067,0.247,1
5.714,0.186,1
3.25,0.375,1
1.25,0.425,1
2.111,0.667,1
18.125,0.156,1
11.9,0.202,1
2,0.5,1
1.444,0.564,1
3.125,0.405,1
22.273,0.252,1
2.714,0.331,1
2,0.406,1
1.625,0.356,1
2.333,0.393,1
4,0.506,1
8.444,0.307,1
9.667,0.276,1
17.429,0.281,1
36.778,0.222,1
0.571,0.25,1
4.125,0.345,1
3.714,0.269,1
9.111,0.247,1
4,0.338,1
20.111,0.361,1
2.333,0.365,1
1,0.358,1
21.429,0.263,1
2,0.344,1
1,0.286,1
2.73,0.282,1
15.647,0.921,1
1.125,0.361,1
13.556,0.339,1
5.714,0.336,1
1.3,0.385,1
4.5,0.427,1
2.167,0.256,1
7.077,0.773,1
7.417,0.491,1
6.571,0.304,1
1,0.265,1
0.818,0.343,1
3.625,0.345,1
32.7,0.379,1
2.889,0.175,1
5.375,0.445,1
10.111,0.302,1
30.857,0.458,1
1.571,0.143,1
26.5,0.38,1
3.25,0.264,1
4.667,0.327,1
2.167,0.346,1
0.667,0.792,1
4.75,0.128,1
24.769,0.375,1
3.111,0.25,1
14.692,0.406,1
4.625,0.334,1
6,0.31,1
28.143,0.072,1
3,0.363,1
16.667,0.284,1
2,0.319,1
33,0.207,1
2,0.5,1
52,0.063,1
1.875,0.475,1
11.833,0.329,1
9.429,0.171,1
7.714,0.254,1
2.833,0.275,1
31.846,0.357,1
6.75,0.188,1
5,0.372,1
4.857,0.223,1
2,0.359,1
4.818,0.225,1
30.429,0.199,1
2.526,0.431,1
1.143,0.161,1
1.167,0.262,1
9.111,0.306,1
1.143,0.268,1
13.143,0.292,1
6.125,0.441,1
1,0.56,1
1.75,0.446,1
3,0.333,1
4.667,0.405,1
0.8,0.7,1
1.4,0.657,1
27.9,0.377,1
1.125,0.375,1
3.714,0.346,1
3.571,0.371,1
3,0.307,1
2,0.327,1
6.083,0.259,1
6.5,0.325,1
5.7,0.556,1
0.75,0.509,1
20.143,0.163,1
4.556,0.425,1
9.067,0.24,1
32.429,0.217,1
10.667,0.339,1
1.9,0.553,1
1.333,0.389,1
17.556,0.217,1
1.8,0.294,1
2.333,0.302,1
18.84,0.449,1
5.2,0.492,1
2,0.357,1
4.111,0.538,1
2.25,0.472,1
8.667,0.329,1
2.2,0.309,1
5.25,0.369,1
14.636,0.333,1
1.429,0.386,1
2.8,0.293,1
56.667,0.137,1
3.1,0.645,1
5.429,0.41,1
8,0.319,1
3.571,0.354,1
6.833,0.232,1
11.111,0.463,1
2.182,0.307,1
0.5,0.469,1
4.429,0.433,1
3.6,0.4,1
9.333,0.25,1
4.429,0.396,1
3.4,0.388,1
1.25,0.45,1
13.273,0.238,1
2.429,0.261,1
1.8,0.311,1
4.429,0.221,1
30.3,0.179,1
9.833,0.309,1
6.429,0.483,1
8.125,0.269,1
7.9,0.244,1
3.286,0.28,1
3,0.286,1
1.13,0.278,1
1.75,0.438,1
18.111,0.263,1
14.1,0.236,1
1.778,0.222,1
1.143,0.357,1
3.667,0.347,1
4.556,0.298,1
4.182,0.283,1
1.889,0.523,1
4.333,0.423,1
4,0.552,1
25.1,0.179,1
25.6,0.363,1
33.222,0.226,1
2,0.422,1
6.5,0.466,1
1.833,0.333,1
3.7,0.592,1
59.444,0.106,1
13.333,0.352,1
5.435,0.953,1
16.875,0.077,1
0.636,0.468,1
3.182,0.335,1
1.9,0.568,1
0.727,0.705,1
1.571,0.234,1
1.75,0.277,1
16,0.309,1
9.222,0.351,1
15.5,0.326,1
0.75,0.5,1
24.286,0.259,1
12.333,0.218,1
18.111,0.264,1
3.125,0.515,1
0.375,0.5,1
7.9,0.324,1
3.25,0.282,1
3.1,0.281,1
2.667,0.333,1
1,0.778,1
2.538,0.245,1
5.222,0.286,1
30.071,0.379,1
16.818,0.295,1
16.375,0.246,1
2.125,0.353,1
6.429,0.238,1
1.286,0.381,1
7,0.318,1
7.12,0.49,1
12.111,0.219,1
19.111,0.167,1
0.727,0.545,1
6.455,0.37,1
3,0.357,1
7.714,0.304,1
14.7,0.168,1
2,0.281,1
8.3,0.425,1
4.444,0.483,1
22.846,0.409,1
2.75,0.376,1
2,0.316,1
5.5,0.295,1
1.5,0.375,1
10.111,0.161,1
4,0.506,1
10,0.444,1
5.6,0.321,1
8,0.44,1
4,0.352,1
5.8,0.081,1
3.875,0.351,1
1,0.438,1
10.615,0.232,1
1.5,0.583,1
11.5,0.359,1
5.1,0.22,1
9.75,0.2,1
20.538,0.401,1
4.111,0.3,1
9.111,0.385,1
1.9,0.311,1
3.4,0.376,1
5.625,0.367,1
0.778,0.365,1
2,0.543,1
10.714,0.661,1
3.222,0.188,1
11,0.312,1
9.75,0.251,1
1.9,0.379,1
66.875,0.171,1
3.5,0.42,1
30,0.182,1
14.111,0.213,1
13.778,0.348,1
1.889,0.451,1
36.889,0.159,1
3.286,0.323,1
32.3,0.198,1
10.929,0.38,1
3,0.417,1
11.889,0.217,1
4.111,0.39,1
22.882,0.344,1
0.9,0.489,1
29.071,0.353,1
1.667,0.45,1
3,0.34,1
15.875,0.314,1
1,0.234,1
4.111,0.396,1
22.444,0.087,1
5.125,0.363,1
2.222,0.339,1
4.1,0.463,1
2,0.337,1
9.7,0.425,1
6.857,0.268,1
11.852,0.321,1
4.857,0.273,1
4.5,0.154,1
22.429,0.379,1
1.2,0.433,1
1.889,0.229,1
3.8,0.387,1
51.1,0.115,1
1,0.388,1
3.136,0.516,1
2.857,0.364,1
2.857,0.4,1
10.818,0.236,1
20.111,0.369,1
3.889,0.381,1
8,0.279,1
4.7,0.223,1
3.091,0.364,1
18.6,0.351,1
1.857,0.286,1
1.625,0.423,1
6.714,0.322,1
0.8,0.5,1
5,0.45,1
3.909,0.336,1
4.333,0.256,1
14.412,0.913,1
5.167,0.301,1
10.278,0.163,1
3.5,0.268,1
3.1,0.329,1
5.778,0.306,1
7.375,0.464,1
13.5,0.235,1
5.857,0.209,1
1.818,0.577,1
4.286,0.3,1
24.727,0.26,1
2.714,0.338,1
9.091,0.456,1
31.308,0.266,1
2.714,0.346,1
5.375,0.343,1
3.6,0.367,1
2.714,0.398,1
7,1,1
6.385,0.373,1
0.647,0.326,1
0.727,0.375,1
21.286,0.207,1
0.889,0.681,1
8,0.541,1
12.875,0.425,1
15,0.256,1
3.333,0.333,1
56.444,0.16,1
16.5,0.36,1
2,0.43,1
6.714,0.38,1
3,0.583,1
6.778,0.213,1
20.556,0.386,1
15,0.269,1
3.417,0.289,1
3.75,0.296,1
51.1,0.161,1
25,0.337,1
2.714,0.662,1
6.538,0.327,1
9.4,0.25,1
1.333,0.426,1
2.714,0.227,1
1.889,0.333,1
1.412,0.36,1
3,0.306,1
4.286,0.295,1
11.9,0.392,1
27.857,0.358,1
2.375,0.428,1
1.25,0.313,1
2.714,0.286,1
30.25,0.128,1
27,0.339,1
4.333,0.368,1
95,0.379,1
4.2,0.355,1
2.6,0.338,1
2.9,0.29,1
5.1,0.306,1
2.4,0.2,1
15.286,0.27,1
0.667,0.302,1
46.455,0.17,1
1,0.455,1
5.75,0.315,1
15,0.394,1
7.889,0.352,1
11,0.288,1
6.5,0.393,1
1.429,0.3,1
1.857,0.264,1
10.375,0.437,1
6.111,0.259,1
1.714,0.357,1
3.286,0.373,1
3.75,0.363,1
14.091,0.257,1
3.727,0.337,1
0.571,0.714,1
2,0.63,1
7,0.308,1
13.333,0.176,1
3.625,0.453,1
65.375,0.06,1
21.143,0.184,1
15.5,0.275,1
1.273,0.442,1
7.75,0.514,1
5.375,0.398,1
6.667,0.313,1
5.222,0.336,1
10.778,0.317,1
5,0.319,1
22.818,0.355,1
21.222,0.328,1
9.4,0.286,1
56.556,0.123,1
8.167,0.32,1
3.8,0.505,1
1.75,0.295,1
2.857,0.407,1
7,0.42,1
