@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
10,1.2,1
8,1.625,1
9,4.333,1
12,22.583,1
11,8.545,1
10,0.6,1
8,0.5,1
10,2.5,1
8,3.875,1
8,0.75,1
9,0.444,1
10,3,1
8,6.625,1
8,1.5,1
12,22.583,1
10,1.1,1
8,2,1
8,3.125,1
6,0.667,1
11,2.909,1
8,1.5,1
11,7.818,1
7,2.429,1
9,4.111,1
8,6.625,1
7,0.714,1
11,16.818,1
8,1.25,1
9,5.222,1
8,1.875,1
9,3.222,1
9,2.111,1
8,4.25,1
9,2.889,1
10,2.1,1
8,0.875,1
10,2.8,1
8,1,1
8,8.625,1
8,2.625,1
9,0.778,1
8,1,1
8,3.25,1
10,14.5,1
8,0.875,1
11,4,1
8,2,1
8,1.25,1
10,4,1
10,3.5,1
8,7.125,1
10,1.3,1
8,1.625,1
8,6.375,1
1,25,1
8,2.375,1
8,3.125,1
8,0.625,1
68,0.5,5
9,2.111,1
10,3.4,1
9,2.222,1
9,1.444,1
4,2.5,1
9,10.111,1
5,0.6,1
5,2,1
10,22.8,1
8,0.875,1
6,0.667,1
10,26.2,1
8,2.875,1
8,2.5,1
8,1.75,1
8,2.875,1
8,1.75,1
5,2.8,1
11,23.727,1
9,2,1
10,3.8,1
10,9.9,1
10,3.1,1
10,3.1,1
7,2.571,1
10,6.3,1
7,2,1
8,2.75,1
7,7.571,1
5,2.8,1
5,5.4,1
8,2.75,1
10,11.9,1
10,3.4,1
10,15.7,1
8,1.125,1
10,4.5,1
11,23.818,1
11,12,1
8,1.125,1
8,3.5,1
8,2.25,1
8,14.875,1
8,4.125,1
10,2.2,1
13,17.308,1
25,7.4,1
25,11.64,1
8,10.25,1
9,56.667,1
7,1.714,1
1,35,1
8,35,1
7,11.429,1
1,60,1
8,10.25,1
5,0.8,1
9,20,1
8,15.375,1
2,268,2
9,26.667,1
7,74.143,1
7,28.143,1
8,26.75,1
9,11.444,1
8,63.5,1
25,19.8,1
9,18.889,1
8,19,1
8,66.875,1
9,59.333,1
9,15.333,1
2,268.5,2
9,31.556,1
31,3.387,5
14,2.714,1
9,11.333,1
9,27.778,1
9,59.444,1
24,7.75,1
9,20.111,1
9,11.444,1
8,23.25,1
1,63,2
5,5.8,1
1,109,1
10,8.6,1
9,34.889,1
8,21.875,1
7,28.286,1
14,4.071,1
8,1.75,1
8,5,1
7,1.857,1
2,34.5,1
7,2,1
4,24.5,1
9,19,1
1,60,1
8,27.25,1
10,31.7,1
8,9,1
7,13.143,1
9,40.333,1
14,4.071,1
30,2.033,5
4,24.75,1
9,11.889,1
7,45,1
9,13.333,1
8,63.75,1
10,51.1,1
9,18.111,1
5,2.6,1
5,19.6,1
29,1.103,3
8,66.875,1
9,36.889,1
7,10.143,1
7,9.857,1
38,0.026,4
11,1.818,1
1,413,2
9,7.444,1
3,1,1
9,1.556,1
7,2.143,1
13,5.154,1
12,3.333,1
10,1,1
12,27.583,1
12,21.417,1
2,8,2
1,12,2
1,14,2
9,9.222,1
7,0.143,4
11,8.182,1
11,7.273,1
54,6.611,5
9,9.111,1
12,5.917,1
9,1,1
8,15.75,1
14,23.286,1
14,19.214,1
11,22.364,1
3,35.333,2
1,19,2
17,11.941,1
8,15.125,1
9,2,1
10,1.7,1
1,30,2
9,9.111,1
24,6.917,1
3,1,1
12,22.667,1
14,13.071,1
168,0.804,3
83,3.795,5
11,16.818,1
11,10.727,1
7,17.571,1
8,34,1
3,1,1
9,2.222,1
9,9.111,1
174,2.707,3
12,1.917,1
26,7.077,1
47,0.021,4
11,6.545,1
16,0.063,4
11,17.727,1
12,1.833,1
9,9.111,1
23,8.609,1
9,9.222,1
11,6.455,1
15,19.6,1
16,11.438,1
1,45,2
16,25.625,1
77,3.519,1
7,1.857,1
11,5.727,1
17,1.412,1
17,10.059,1
9,8.111,1
5,10.2,1
6,8,1
10,14.1,1
8,28.625,1
5,11.6,1
5,7.2,1
7,20.714,1
7,13,1
19,6.842,1
6,17.333,1
7,15.857,1
6,11.833,1
8,26.25,1
7,10.286,1
16,0.75,1
117,0.009,4
6,15.667,1
5,18.6,1
6,16,1
9,31.667,1
6,16.167,1
6,15.667,1
13,18.615,1
10,28.4,1
5,19.2,1
6,16,1
4,24,1
5,7.8,1
1,20,2
9,16.778,1
7,13.143,1
9,14.111,1
1,40,1
7,1.143,1
9,9.778,1
9,11.333,1
6,3.5,1
1,102,2
7,8.857,1
5,11.2,1
5,25.6,2
9,8,1
16,5.625,1
7,22.571,1
7,10.714,1
8,6.75,1
9,15.333,1
6,17.333,1
7,9.286,1
5,3.8,1
7,2,1
8,4.625,1
7,2.143,1
36,5.167,1
22,0.909,1
12,9.75,1
11,2.091,1
2,162.5,2
13,3.385,1
41,1.634,1
38,9,1
8,8.125,1
118,0.89,5
1,161,2
8,38.625,1
9,29.778,1
5,1.6,1
7,10,1
7,10.571,1
20,0.95,1
8,5.125,1
7,1.429,1
25,6.12,1
18,19,2
10,0.1,4
11,12.455,1
11,5.818,1
11,13.364,1
1,16,2
