@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
10,2710,1.38,1
8,72,4.5,5
10,510,1.29,1
8,2168,1.29,1
11,2079,1.41,1
10,1730,1.52,1
9,1575,1.35,1
8,568,1.31,1
8,232,1.6,1
6,120,1.5,1
5,90,1.62,1
8,1008,1.27,1
8,792,1.39,1
804,8844,15.64,4
5,60,1.46,1
7,98,1.56,1
9,1422,1.45,1
1,41,12.67,2
6,36,3.67,1
6,42,1.89,1
6,42,1.86,1
1,12,1.75,1
9,207,1.82,1
6,84,1.64,1
4,56,1.67,1
7,287,1.48,1
7,56,1.62,1
6,354,1.27,1
9,72,1.27,1
8,184,1.7,1
7,343,1.54,1
7,203,1.48,1
7,77,1.5,1
7,112,1.38,1
5,25,1.57,1
7,609,1.27,1
7,63,1.54,1
9,441,1.46,1
8,40,1.67,1
8,184,1.76,1
7,210,1.64,1
6,108,1.32,1
7,105,1.46,1
6,150,1.17,1
9,441,1.51,1
8,456,1.45,1
7,56,2,1
7,133,1.77,1
10,2620,1.32,1
7,112,1.41,1
7,280,1.47,1
7,63,1.4,1
7,399,1.3,1
7,91,1.61,1
7,63,2,1
7,245,1.48,1
7,140,1.61,1
7,161,1.59,1
8,312,1.21,1
7,133,1.77,1
8,160,1.38,1
9,261,1.53,1
7,231,1.57,1
7,154,1.23,1
9,648,1.61,1
7,252,1.36,1
7,210,1.54,1
7,224,1.53,1
7,28,3.67,1
7,357,1.66,1
7,154,1.32,1
6,84,1.2,1
8,128,1.42,1
7,42,1.4,1
7,168,1.38,1
6,162,1.11,1
7,147,1.46,1
6,156,1.41,1
8,240,1.35,1
7,161,1.29,1
9,819,1.37,1
5,160,1.41,1
6,78,1.65,1
5,35,1.75,1
7,455,1.57,1
5,215,1.45,1
7,252,1.27,1
7,126,1.55,1
8,48,1.64,1
5,25,1.75,1
7,70,1.28,1
9,963,1.34,1
9,450,1.32,1
8,328,1.43,1
6,42,1.38,1
9,1656,1.36,1
5,55,1.57,1
7,56,1.38,1
7,147,1.35,1
6,60,1.93,1
8,72,2.09,1
5,35,2.11,1
8,344,1.69,1
13,65,8,5
11,462,1.93,1
10,230,2.44,1
8,240,2.12,1
11,627,2.47,1
11,352,1.89,1
11,374,2.47,1
2,18,10,2
11,209,1.93,1
19,247,1.51,1
8,48,3,1
8,112,1.96,1
25,225,2.47,5
9,108,2.33,1
8,280,2.02,1
8,336,1.88,1
11,429,2.47,1
8,152,1.74,1
10,270,2.02,1
10,320,2.1,1
8,96,1.86,1
8,272,2.1,1
11,572,2.05,1
11,957,1.89,1
8,392,1.81,1
8,120,2.91,1
7,329,2.31,1
1,47,47,2
8,168,1.67,1
9,2160,1.66,1
9,315,2,1
8,112,2.6,1
8,256,2.47,1
8,304,2.65,1
8,280,2.39,1
10,200,2.14,1
9,468,2.4,1
11,143,2.08,1
11,132,3,1
8,112,2.27,1
11,275,2.56,1
12,3252,1.93,1
8,112,2.04,1
10,190,1.69,1
9,486,1.98,1
8,96,2.38,1
8,56,2.18,1
8,96,1.86,1
8,128,2.04,1
11,1342,1.94,1
8,176,2.3,1
8,80,1.88,1
8,96,2.56,1
11,363,2.1,1
6,42,2.1,1
11,297,2.43,1
6,876,1.83,1
7,49,3.25,1
7,42,1.89,1
10,130,1.61,1
10,510,1.66,1
10,370,1.83,1
10,110,2.5,1
6,78,2.27,1
6,102,2.56,1
34,918,3.09,5
8,256,2.1,1
16,464,2.58,5
10,1030,1.77,1
10,80,1.56,1
9,18,11,4
8,96,2.83,1
8,128,1.8,1
7,28,2.33,1
5,65,3,1
10,390,2.79,1
10,70,2.78,1
11,1397,2.23,1
8,112,2.23,1
8,152,2.16,1
10,180,1.96,1
8,192,1.56,1
5,35,2.5,1
10,300,2.14,1
8,160,2.25,1
8,200,1.84,1
10,300,1.79,1
8,320,1.75,1
9,126,2.47,1
10,410,1.93,1
8,72,1.63,1
10,2620,1.8,1
10,290,1.83,1
8,144,2.24,1
8,80,1.53,1
10,340,1.84,1
8,200,1.89,1
8,320,1.68,1
10,400,1.9,1
10,540,1.94,1
8,128,1.91,1
7,84,2.36,1
8,152,1.97,1
8,192,2.21,1
10,390,1.69,1
10,730,1.84,1
7,266,2.04,1
8,72,2.33,1
7,28,5,1
9,414,1.72,1
5,75,2.05,1
8,192,1.8,1
8,504,1.58,1
10,140,1.91,1
8,264,1.9,1
8,56,1.36,1
7,77,1.75,1
8,184,1.51,1
8,200,1.73,1
10,220,1.74,1
22,1474,2.91,1
13,494,3.6,1
9,1611,2.4,1
2,1072,180.33,2
2,1072,24,2
5,65,10,1
8,1160,1.24,1
5,25,3,1
8,672,1.4,1
9,1332,1.37,1
9,4815,1.29,1
32,3392,4.56,5
8,600,3.02,1
10,1850,2.81,1
9,2205,1.39,1
9,963,1.36,1
8,2048,1.26,1
7,2135,1.21,1
1,257,257,2
7,1512,3.11,1
9,1683,3.03,1
9,4815,1.36,1
9,4815,1.36,1
9,1665,2.83,1
2,196,9.4,2
9,1359,1.4,1
9,4824,1.38,1
9,1953,1.4,1
10,3360,1.32,1
9,4815,1.38,1
24,6768,7.8,1
9,972,2.45,1
1,143,1.06,1
9,1143,1.28,1
8,1624,1.27,1
1,26,26,2
7,1036,1.2,1
31,1147,2.07,5
9,1647,2.25,1
8,120,1.86,1
10,1370,1.4,1
10,5110,1.35,1
25,4650,7.39,1
7,1505,3.2,1
9,1665,3.13,1
5,155,1.91,1
1,167,1.03,1
9,918,1.29,1
9,1746,1.4,1
6,480,1.51,1
7,1057,1.33,1
2,1074,24.88,2
13,1352,3.44,1
6,84,1.57,1
7,91,2.6,1
7,98,1.94,1
9,963,2.08,1
7,1197,1.25,1
1,16,16,2
5,50,7,1
7,525,5.51,1
11,2090,2.11,1
1,14,3,2
1,104,50.5,2
7,490,3.23,1
10,1550,2.8,1
10,100,50,1
3,9,7,1
9,558,3.26,1
11,2013,4.66,1
10,190,8.23,1
8,504,2.41,1
13,5200,4.52,1
9,126,6.17,1
12,4020,4.61,1
13,2067,4.81,1
17,4165,12.97,1
12,2100,4.28,1
8,8,8,4
1,159,77.5,2
25,4225,1.58,1
12,852,6.77,1
12,4596,2.91,1
9,747,2.94,1
10,1550,2.78,1
7,315,2.45,1
10,190,6.94,1
10,200,8.82,1
9,171,7.23,1
10,170,7.58,1
27,8640,4.53,1
9,747,2.93,1
1,63,2.31,2
16,6832,5.56,1
11,2178,2.9,1
1,42,1.6,2
83,27058,7.55,5
72,6912,15.69,3
31,9982,16.87,1
3,12,11,1
16,5744,5.41,1
9,630,2.79,1
11,209,7.56,1
11,616,3.09,1
16,6784,5.34,1
23,2760,17.44,1
10,2560,2.84,1
12,264,8.35,1
12,240,9,1
82,25748,10.84,1
11,2596,2.91,1
5,10,9,4
24,3240,18.69,1
12,264,7.5,1
16,7024,5.09,1
9,2070,2.63,1
8,104,7.1,1
8,384,1.68,1
10,3160,2.74,1
8,1360,1.6,1
10,3980,2.44,1
8,1296,3.12,1
8,872,2.47,1
8,8,8,1
6,1302,1.52,1
7,1680,1.64,1
5,350,1.4,1
5,1015,1.3,1
18,2844,2.46,1
17,187,9.75,1
5,170,1.26,1
5,230,1.43,1
7,1344,1.36,1
7,1477,1.7,1
19,3819,2.07,1
10,580,2.81,1
5,470,1.62,1
4,380,1.51,1
6,576,1.51,1
136,136,135,4
6,576,1.58,1
16,1472,3.61,1
64,4672,72.38,3
63,4158,44.37,3
4,432,56,2
11,627,2.95,1
9,1899,1.48,1
7,84,2.38,1
1,76,36.5,2
6,42,2.33,1
6,54,2,1
3,24,1.33,1
9,396,2.47,1
5,60,1.71,1
5,290,1.18,1
1,45,1.07,1
7,826,2.26,1
7,238,1.43,1
6,78,1.53,1
5,30,2,1
5,55,1.7,1
7,105,1.5,1
8,336,1.74,1
5,90,1.45,1
9,1188,1.54,1
11,6072,4955,2
1,16,15,2
11,4037,1.64,1
14,5908,1.7,1
13,4043,1.63,1
1,17,17,2
10,200,1.9,1
1,8,8,2
1,17,17,2
9,1233,1.7,1
6,576,1.38,1
8,2552,1.26,1
7,455,1.38,1
7,644,1.88,1
1,106,1.02,2
20,320,26.67,1
28,1260,7.86,1
9,342,2.25,1
12,1380,1.74,1
11,55,12,1
11,3333,7.49,1
10,100,3.17,1
38,2622,4.27,1
14,1974,2.29,1
7,7,7,4
10,110,4.5,1
11,132,4.33,1
9,405,1.68,1
