@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,1206,260,1
1,71,37,2
8,2768,398,1
6,810,170,1
7,945,191,1
7,637,114,1
5,315,66,1
4,40,12,1
1,10,10,2
8,176,70,1
6,24,10,1
10,1210,324,1
2,42,19,2
11,990,381,1
11,1144,451,1
14,1176,307,1
10,410,190,1
36,180,118,1
11,132,66,1
1,70,66,2
10,470,226,1
