@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
12,5964,2.25,1
9,972,2.35,1
6,1104,1.99,1
6,1134,1.62,1
8,560,1.66,1
12,804,2.84,1
5,1665,36.65,2
9,360,2.92,1
12,2784,2.34,1
10,1190,2.46,1
10,1210,2.61,1
27,3105,2.35,1
10,830,2.92,1
10,1810,3.25,1
10,4130,2.47,1
10,510,3.12,1
12,828,3.48,1
6,234,2.1,1
24,1536,3.38,1
9,153,3.14,5
10,2720,1.98,1
15,210,1.92,5
10,2710,1.96,1
6,72,1.43,5
8,2176,1.41,1
10,2710,1.35,1
10,2710,1.39,1
8,624,1.35,1
7,98,1.75,1
10,2710,1.29,1
7,896,1.33,1
5,75,1.67,1
5,150,1.26,1
4,44,1.33,1
5,375,1.18,1
9,144,2.14,1
6,78,1.44,1
5,160,1.47,1
6,102,1.18,1
5,65,1.33,1
1,22,1.83,2
3,27,1.33,1
9,963,1.42,1
9,171,1.35,1
5,80,1.36,1
9,495,1.43,1
6,132,1.3,1
7,98,1.65,1
7,91,1.69,1
7,147,1.41,1
7,161,1.21,1
7,105,1.57,1
8,216,1.31,1
8,32,2.4,1
7,266,1.4,1
6,198,1.39,1
7,91,1.79,1
7,182,1.23,1
5,25,1.29,1
9,432,1.42,1
9,288,1.5,1
6,42,1.38,1
8,168,1.3,1
7,133,1.5,1
7,49,2.13,1
6,126,1.33,1
6,96,2.38,1
7,119,1.82,1
5,90,1.64,1
7,210,1.43,1
7,77,1.36,1
7,112,1.93,1
9,180,1.51,1
7,28,1.75,1
7,301,1.33,1
7,49,1.36,1
9,252,1.47,1
6,114,1.59,1
7,77,1.6,1
9,387,1.68,1
6,78,1.37,1
10,490,1.35,1
6,66,1.53,1
7,98,2,1
10,2510,1.37,1
7,168,1.61,1
7,77,1.47,1
5,70,1.69,1
7,392,1.45,1
6,66,1.57,1
9,45,1.83,1
9,198,1.62,1
7,77,1.52,1
7,49,2,1
5,40,1.83,1
5,45,1.88,1
7,182,1.66,1
6,84,1.79,1
6,198,1.46,1
6,408,1.15,1
7,63,1.73,1
7,175,1.41,1
8,64,2.5,1
7,91,1.37,1
9,369,1.3,1
9,1818,1.3,1
6,102,1.15,1
7,77,1.21,1
7,161,1.45,1
5,15,3,1
7,91,1.32,1
7,133,1.35,1
1,65,3,2
8,72,1.53,1
22,484,1.79,5
8,8,7,4
29,1392,5.06,5
9,243,1.69,1
8,96,2,1
7,112,2,1
21,84,3.71,5
19,893,3.89,5
11,165,2.19,1
8,72,1.93,1
8,72,2.3,1
9,1044,1.86,1
8,96,1.95,1
10,360,2.24,1
6,48,3.1,1
1,17,17,2
8,56,1.92,1
8,232,2.1,1
9,324,2.37,1
6,24,5,1
8,80,2,1
8,392,1.9,1
7,84,2.17,1
9,243,1.85,1
8,400,2.31,1
8,48,1.58,1
7,266,2.44,1
5,20,7,1
8,96,2.3,1
11,2992,2,1
8,112,2.17,1
11,264,2.08,1
8,128,2.67,1
10,300,1.96,1
8,128,2.2,1
10,500,1.94,1
6,216,1.91,1
8,176,2.03,1
10,410,1.94,1
10,70,1.77,1
8,96,2.11,1
11,1386,2.11,1
9,369,2.26,1
7,245,2.38,1
8,32,4.67,1
10,260,1.59,1
8,72,1.86,1
8,296,1.93,1
8,208,2.18,1
10,520,1.96,1
6,234,1.77,1
11,1606,1.83,1
8,336,2.07,1
7,105,1.83,1
9,1026,1.86,1
10,610,2.16,1
7,763,1.93,1
67,2010,2.26,5
5,60,3,1
10,550,1.98,1
10,1440,1.8,1
11,594,2.19,1
8,344,1.93,1
10,620,2.19,1
34,850,2.06,5
8,264,1.6,1
6,48,3.22,1
9,297,2.47,1
9,225,2.55,1
8,280,2.09,1
10,360,2.28,1
10,790,1.79,1
8,152,1.94,1
8,312,1.83,1
10,230,2.2,1
10,190,1.59,1
8,192,1.85,1
8,96,1.9,1
8,96,2.19,1
8,248,2.02,1
10,260,2.09,1
8,184,2.09,1
8,312,2.05,1
8,96,2.16,1
5,40,3,1
6,24,3.5,1
8,72,2.08,1
9,504,1.97,1
8,104,1.96,1
8,104,1.76,1
5,35,3,1
8,40,2.38,1
11,1067,2.04,1
9,360,1.6,1
8,168,1.94,1
9,297,2.02,1
8,112,1.88,1
10,230,2.3,1
7,63,3,1
8,200,2.22,1
7,175,2.26,1
7,42,1.67,1
5,115,1.79,1
8,96,2.05,1
8,144,1.65,1
9,1107,2.21,1
9,1485,2.54,1
3,27,2,1
9,2736,1.32,1
6,492,1.39,1
9,4788,1.29,1
6,78,1.54,1
4,48,3,1
5,490,2.14,1
24,6720,7.66,1
8,584,2.75,1
7,1498,2.95,1
9,2754,1.4,1
8,1392,1.3,1
9,2403,1.35,1
7,1792,1.36,1
1,249,1.02,1
9,4806,1.34,1
1,200,1.04,1
13,481,3.52,1
9,1638,2.95,1
9,972,2.27,1
6,174,1.92,1
10,5350,1.32,1
7,1505,3.35,1
9,747,2.49,1
9,918,1.27,1
8,488,1.31,1
7,1533,1.26,1
8,1584,1.31,1
13,2964,3.02,1
13,481,3.59,1
24,4272,8,1
1,186,9.06,2
9,1863,1.29,1
9,927,1.22,1
8,2744,1.2,1
1,62,61,2
25,4450,7.9,1
24,2016,8.69,1
8,1720,2.94,1
9,1719,2.14,1
6,192,1.67,1
9,4590,1.44,1
11,5621,1.42,1
2,1074,82.57,2
9,1575,1.26,1
3,1611,71.13,2
14,3178,3.34,1
9,999,1.7,1
2,1074,16.68,2
9,4824,1.34,1
2,558,1.05,1
8,1264,1.33,1
25,4450,7.95,1
9,1008,1.59,1
9,1116,2.85,1
9,1674,3.24,1
6,192,1.41,1
9,891,1.4,1
7,98,1.79,1
9,4590,1.27,1
6,486,1.26,1
7,497,1.43,1
9,4590,1.28,1
13,2951,3.11,1
9,918,2.43,1
1,74,1.08,1
9,4815,1.23,1
10,5040,1.19,1
7,2625,1.21,1
153,24174,46.95,3
83,22991,6.86,5
83,12367,28.77,3
39,39,39,4
1,180,88.5,2
13,1040,5.57,1
11,451,2.92,1
10,310,6.67,1
42,42,42,4
13,117,3.36,1
7,49,22.5,1
11,1969,2.88,1
4,36,22,2
12,852,6.64,1
14,5628,4.75,1
14,5390,4.83,1
10,90,58,1
3,9,8,1
1,34,1.71,2
11,2024,4.72,1
11,3784,4.71,1
9,162,7.77,1
28,4788,1.99,1
10,1550,2.88,1
9,774,2.85,1
8,1296,3,1
12,3420,4.33,1
3,9,8,1
9,144,6.67,1
9,1449,2.87,1
14,2842,4.36,1
14,5460,4.44,1
8,760,2.95,1
9,180,8.07,1
11,1672,2.88,1
10,100,52,1
9,1368,2.77,1
14,3556,4.72,1
23,3036,20.76,1
13,2769,4.65,1
13,1729,4.9,1
13,13,13,4
6,432,4.08,1
1,7,7,1
9,1386,2.93,1
12,4908,2.88,1
1,28,2.17,2
16,6640,5.17,1
24,4080,15.9,1
16,5456,5.23,1
10,590,2.98,1
12,264,9.65,1
17,6766,5.3,1
16,3632,4.97,1
11,220,8.47,1
12,3408,2.87,1
16,6784,5.16,1
12,864,6.12,1
16,6672,5.29,1
14,28,15,4
11,242,9.44,1
9,9,9,4
9,2529,1.73,1
9,3222,2.36,1
7,133,4.89,1
10,2690,5.15,1
9,1458,2.69,1
9,1467,2.82,1
7,35,29,1
87,10092,104.95,1
11,330,4.16,1
17,357,16.63,1
17,391,6.56,1
9,1494,1.88,1
7,1617,1.71,1
17,408,4.46,1
7,1589,1.6,1
3,15,4,1
7,679,1.68,1
7,1491,1.5,1
7,686,1.53,1
79,12561,51.4,1
13,4199,2.4,1
6,564,1.32,1
6,582,1.55,1
6,576,1.73,1
6,576,2.44,1
6,576,2.3,1
5,410,2.11,1
9,2979,1.57,1
10,2820,1.43,1
6,576,1.61,1
6,576,1.45,1
9,81,13,1
7,833,1.5,1
1,41,1.07,1
1,42,1.06,1
7,413,2.33,1
7,875,1.59,1
8,1032,1.46,1
7,532,1.38,1
6,300,1.76,1
1,47,1.05,1
7,210,1.33,1
9,2349,1.42,1
23,2116,1.44,1
7,147,1.35,1
6,354,1.38,1
6,270,1.73,1
5,135,1.71,1
8,552,1.43,1
5,120,1.32,1
7,196,1.36,1
5,35,1.83,1
38,8626,7.09,1
19,228,7.67,1
10,220,2.09,1
10,230,1.76,1
12,3732,1.64,1
13,4901,1.59,1
10,200,2.52,1
14,4872,1.56,1
8,632,1.8,1
8,472,1.49,1
8,2416,1.43,1
6,636,1.14,1
7,2422,1.23,1
7,945,1.09,1
8,2736,1.4,1
1,8,8,2
1,95,95,2
10,820,2.05,1
11,121,5,1
10,310,1.98,1
8,8,8,4
10,120,4.71,1
38,1976,3.49,1
14,2618,2.31,1
11,121,5.5,1
10,1700,1.66,1
10,1150,1.48,1
7,287,1.36,1
