@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
10,49.9,0.147,1
8,7.75,0.296,1
9,12.111,0.219,1
8,10.375,0.437,1
9,38.778,0.125,1
25,19.76,0.462,1
28,1.143,0.488,3
8,37.375,0.186,1
8,10.375,0.393,1
1,214,1,2
9,31.111,0.165,1
7,8.429,0.15,1
7,8.857,0.189,1
10,31.8,0.128,1
9,11.667,0.334,1
2,269,0.637,2
10,17.6,0.181,1
10,30.9,0.2,1
10,51.1,0.161,1
13,28.846,0.154,1
8,1.875,0.317,1
8,1.875,0.283,1
8,14.25,0.116,1
13,2.923,0.324,1
24,7.375,0.514,1
9,9.111,0.383,1
9,18.444,0.386,1
25,7.44,0.456,1
9,20.111,0.369,1
9,19.111,0.167,1
9,39.222,0.187,1
9,16,0.123,1
9,11,0.21,1
2,268.5,0.523,2
9,18.222,0.189,1
8,34.125,0.215,1
8,12.375,0.211,1
8,26.875,0.367,1
9,50.778,0.173,1
7,24,0.081,1
9,36.222,0.171,1
6,21.833,0.106,1
1,104,0.192,1
54,0.019,1,4
10,5.5,0.678,1
10,16.2,0.454,1
1,11,1,2
10,1.8,0.55,1
11,16.818,0.356,1
13,26.308,0.231,1
6,2.167,0.346,1
1,379,0.963,2
10,5,0.602,1
10,8,0.275,1
11,25,0.287,1
7,5.143,0.567,1
1,15,0.733,2
8,17.625,0.447,1
24,14,0.898,1
7,0.143,1,2
132,4.144,0.37,3
1,32,0.438,1
10,15.5,0.314,1
1,39,0.308,2
24,5.167,0.902,1
10,1.9,0.568,1
15,27.933,0.345,1
54,6.611,0.324,5
9,9.222,0.391,1
10,0.1,1,4
17,6.235,0.927,1
17,15.647,0.921,1
9,1.889,0.627,1
1,193,0.57,2
8,6.25,0.528,1
10,15.4,0.315,1
10,24,0.383,1
14,29.929,0.373,1
9,2.111,0.62,1
14,22.786,0.37,1
6,9,0.549,1
9,0.111,1,4
1,32,0.469,2
11,39.364,0.449,1
14,30,0.376,1
24,8.25,0.911,1
9,27.778,0.366,1
24,7.083,0.931,1
10,1.9,0.611,1
17,20.588,0.363,1
12,22.167,0.338,1
16,11.313,0.4,1
7,11.286,0.566,1
10,15.5,0.332,1
9,8.667,0.464,1
11,6.364,0.381,1
12,5.917,0.608,1
24,12.875,0.921,1
16,21.063,0.363,1
16,13.25,0.376,1
3,141.33,0.537,1
186,2.522,0.378,3
9,17.222,0.346,1
23,5.957,0.855,1
11,7.909,0.319,1
9,17.222,0.376,1
1,14,0.5,2
15,10.267,0.423,1
12,18,0.507,1
17,23.706,0.349,1
11,34.364,0.33,1
9,16.667,0.284,1
8,1.625,0.635,1
7,11.429,0.361,1
8,16.375,0.246,1
8,25.75,0.236,1
8,28.875,0.228,1
4,4.75,0.421,1
17,1.294,0.425,1
7,19.286,0.156,1
8,14.625,0.173,1
6,3.5,0.198,4
4,7.75,0.419,1
6,15.5,0.238,1
1,18,0.389,1
10,32.3,0.198,1
8,37.25,0.242,1
10,31.9,0.239,1
6,16,0.297,1
6,16,0.302,1
6,16.167,0.266,1
10,30.3,0.179,1
4,17.25,0.377,1
32,0.031,1,4
9,4.222,0.377,1
9,17.778,0.215,1
8,15,0.25,1
1,35,0.429,1
7,4.429,0.336,1
1,63,0.952,2
7,15,0.256,1
7,7.571,0.089,1
9,8.333,0.194,1
8,8.625,0.261,1
1,47,0.34,1
6,6.5,0.226,1
8,2.125,0.228,1
8,22.5,0.213,1
7,5.714,0.25,1
7,13.714,0.271,1
7,15.429,0.362,1
1,184,0.967,2
3,183.33,0.329,2
10,1.8,0.289,1
11,2,0.281,1
10,2.3,0.313,1
3,154.33,0.296,2
9,2,0.309,1
1,8,1,2
13,16.769,0.216,1
5,1,0.72,1
8,13.625,0.271,1
9,34.556,0.163,1
2,26,0.231,2
158,1.057,0.16,5
9,20.111,0.217,1
7,6.143,0.219,1
11,4.364,0.237,5
9,25.667,0.196,1
7,12.143,0.192,1
1,172,0.465,2
7,13.571,0.268,1
7,12.286,0.281,1
7,8.571,0.286,1
8,11.25,0.207,1
5,3.8,0.211,1
7,17.571,0.139,1
5,17.8,0.169,1
5,2.4,0.2,1
8,3.5,0.438,1
10,1,0.56,1
1,138,1,2
9,3.222,0.31,1
2,12.5,0.36,2
2,12,0.354,2
11,1,0.43,1
1,159,0.994,2
1,199,0.99,2
60,0.95,0.46,1
11,14.182,0.224,1
11,1.091,0.5,1
