@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,10-11'

@attribute Height numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,15,1
5,26,1
7,53,1
5,13,1
6,21,1
7,9,1
6,61,1
6,13,1
9,34,1
5,11,1
8,28,1
7,36,1
7,18,1
7,7,1
7,58,1
8,11,1
7,39,1
7,23,1
1,3,1
9,60,1
8,39,1
7,17,1
5,12,1
7,8,1
7,7,1
10,83,1
7,31,1
7,19,1
7,53,1
10,52,1
7,12,1
7,20,1
7,20,1
7,29,1
7,35,1
6,21,1
4,14,1
4,8,1
5,18,1
5,15,1
9,45,1
5,15,1
6,18,1
6,21,1
7,22,1
7,42,1
7,26,1
5,28,1
9,18,1
6,35,1
6,35,1
7,1,1
5,14,1
7,43,1
10,58,1
7,19,1
7,11,1
7,27,1
7,47,1
8,25,1
14,15,5
8,36,1
55,88,5
12,410,1
8,15,1
9,82,1
9,27,1
10,70,1
8,65,1
2,1,2
1,6,2
3,10,2
10,39,1
5,2,5
9,76,1
11,46,1
11,132,1
1,2,2
11,43,1
8,22,1
8,16,1
8,17,1
8,50,1
8,40,1
8,32,1
11,138,1
8,6,1
11,47,1
8,22,1
8,61,1
8,21,1
8,19,1
10,80,1
8,11,1
9,39,1
8,19,1
11,368,1
11,63,1
6,55,1
11,84,1
6,8,1
11,89,1
8,32,1
10,81,1
11,428,1
8,50,1
8,14,1
11,66,1
8,24,1
10,8,1
11,91,1
8,25,1
8,39,1
11,46,1
6,14,1
10,80,1
7,43,1
9,136,1
5,12,1
10,77,1
11,381,1
6,5,5
10,29,1
2,1,1
8,40,1
4,1,1
8,16,1
8,65,1
8,30,1
8,32,1
5,14,1
8,16,1
11,91,1
10,21,1
6,11,1
4,27,1
10,81,1
10,60,1
10,22,1
6,26,1
7,26,1
10,56,1
10,60,1
6,22,1
8,6,1
8,23,1
6,4,1
8,21,1
8,43,1
8,76,1
8,38,1
9,73,1
10,29,1
8,37,1
5,36,1
8,23,1
8,38,1
10,52,1
10,197,1
8,73,1
7,14,1
8,182,1
10,81,1
7,31,1
10,274,1
8,36,1
6,24,1
8,48,1
8,25,1
10,62,1
8,29,1
8,69,1
10,178,1
101,691,5
9,134,1
7,7,1
10,401,1
8,116,1
8,100,1
7,8,1
9,389,1
2,59,2
5,3,1
5,1,1
25,455,1
9,238,1
9,190,1
5,1,1
9,579,1
9,310,1
10,372,1
24,689,1
7,120,1
8,636,1
7,45,1
9,298,1
9,505,1
25,678,1
8,129,1
9,203,1
24,679,1
9,213,1
9,200,1
9,654,1
9,213,1
7,174,1
7,188,1
7,74,1
9,162,1
8,155,1
1,14,1
1,6,2
13,39,1
8,89,1
9,142,1
9,148,1
9,344,1
8,261,1
8,168,1
10,120,1
7,57,1
9,212,1
8,221,1
3,27,2
25,461,1
9,211,1
2,5,1
7,63,1
9,371,1
9,276,1
8,138,1
25,110,1
24,304,1
8,69,1
9,124,1
2,26,2
7,17,1
9,165,1
6,17,1
9,751,1
6,15,1
7,13,1
1,35,1
10,534,1
9,370,1
8,230,1
2,1,2
8,180,1
6,102,1
7,154,1
8,195,1
2,6,1
11,38,1
1,1,4
1,1,2
14,12,1
58,1,4
11,80,1
10,128,1
11,386,1
3,1,1
1,1,1
13,1,1
13,61,1
12,38,1
168,1488,3
10,15,1
14,466,1
14,98,1
11,191,1
24,155,1
187,786,3
10,108,1
9,11,1
14,395,1
10,11,1
14,294,1
13,386,1
9,14,1
8,65,1
14,425,1
14,398,1
10,16,1
11,238,1
11,371,1
1,36,2
1,1,2
10,195,1
8,80,1
13,398,1
8,65,1
18,1,4
27,1,4
17,104,1
1,16,2
13,156,1
14,217,1
14,467,1
9,13,1
28,718,1
9,10,1
13,286,1
11,213,1
7,1,2
9,151,1
11,77,1
16,137,1
8,97,1
16,482,1
17,455,1
16,387,1
11,19,1
4,1,4
11,564,1
8,119,1
6,63,1
8,72,1
7,12,1
10,220,1
9,398,1
7,17,1
8,179,1
7,100,1
5,117,1
17,14,1
6,67,1
7,112,1
3,13,2
84,1,4
9,452,1
9,278,1
17,25,1
10,397,1
5,79,1
7,78,1
10,518,1
9,375,1
6,98,1
6,67,1
6,89,1
7,95,1
9,108,1
6,61,1
5,78,1
63,9,3
7,56,1
7,36,1
1,35,1
8,21,1
9,122,1
7,12,1
8,97,1
7,7,1
7,7,1
8,38,1
6,10,1
7,34,1
7,44,1
8,111,1
5,33,1
20,53,1
1,2,2
13,537,1
10,16,1
1,11,2
14,632,1
14,551,1
1,5,2
7,8,1
9,385,1
8,59,1
8,120,1
7,213,1
7,64,1
6,323,1
8,355,1
7,339,1
9,40,1
9,6,1
11,123,1
2,1,2
14,174,1
38,657,1
1,1,2
1,1,2
9,236,1
8,30,1
22,585,1
