@relation page-blocks

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
7.222,527,1
13.25,592,1
7,446,1
3.75,375,1
10.556,726,1
0.727,88,1
1.857,80,1
30.143,965,1
2,77,1
3.8,337,1
4.714,196,1
31.6,2126,1
4.25,208,1
34.286,904,1
7.889,491,1
2.222,162,1
5.917,735,1
6,168,1
4,301,1
8.429,283,1
5.375,307,1
1.889,81,1
1.571,73,1
3.2,65,1
18.3,1248,1
4.556,274,1
2.833,61,1
2.182,192,1
11.111,762,1
4.667,311,1
2.571,117,1
12.75,758,1
2.167,70,1
16.875,317,1
2.857,140,1
5.444,440,1
1.5,86,1
12.1,1027,1
3.4,223,1
2.429,102,1
1.75,86,1
2.818,283,1
3.273,1356,1
9.8,926,1
2.5,116,1
1.857,91,1
11.6,881,1
3.778,231,1
3.3,281,1
6.1,401,1
1.833,52,1
1.9,171,1
1.75,76,1
3.9,304,1
3.556,286,1
28.667,1350,1
1.5,43,1
10.44,6164,1
6.25,71,1
5.167,105,1
0.636,77,1
10.778,820,1
23.75,2421,1
2,96,1
7.455,734,1
6,248,1
1.091,108,1
0.636,37,1
25.778,1633,1
42,42,1
3.375,165,1
28.8,1624,1
1.25,66,1
27.933,3309,1
8.182,873,1
1.375,85,1
2.167,283,1
3.571,175,1
5.222,383,1
18.667,84,1
9.051,8370,1
16.727,1791,1
1.875,120,1
1.75,86,1
2.8,57,1
8.364,861,1
6.625,1005,1
3.375,216,1
1.571,65,1
6,310,1
10.333,317,1
47.4,2740,1
10.222,531,1
24.5,1010,1
16.667,1020,1
0.727,75,1
7,1576,1
1.8,159,1
4.3,304,1
22.583,1999,1
0.667,24,1
41.417,4374,1
4.571,186,1
11.852,4845,1
3.75,189,1
16.13,8533,1
1.125,70,1
1.833,221,1
34.143,797,1
3.829,12923,1
6.857,219,1
2.909,176,1
63.875,1380,1
3,110,1
1,31,1
0.875,56,1
10.929,1378,1
14.667,698,1
21.889,1240,1
17.778,1152,1
9.5,21,1
31.8,1625,1
4.857,186,1
3,109,1
31.917,2771,1
1,43,1
3,219,1
0.9,84,1
9.182,947,1
4.375,248,1
2.167,78,1
2,94,1
3.286,133,1
14.188,2654,1
2.571,110,1
10.387,7519,1
29.778,1536,1
14.5,1904,1
23.412,4117,1
2,138,1
3,213,1
26.667,1975,1
5.429,253,1
4.111,269,1
0.889,55,1
11.625,400,1
5.143,234,1
3.286,135,1
1.9,163,1
5.714,219,1
6,351,1
22.8,2810,1
59.444,3257,1
10.222,698,1
15,1282,1
1,43,1
13.917,7740,1
7.375,317,1
0.75,39,1
2.714,88,1
4.778,234,1
4,147,1
17.556,761,1
6.154,557,1
13.25,2349,1
33.444,1881,1
11,839,1
14.4,900,1
0.75,48,1
3.375,168,1
3,132,1
2.556,105,1
17.625,1102,1
2.857,122,1
5.083,546,1
16.778,679,1
5.75,345,1
14.091,995,1
1.714,68,1
8.875,398,1
0.444,36,1
0.727,88,1
42,42,1
8.333,214,1
7.44,4379,1
1.333,9,1
0.857,23,1
1.143,54,1
22.833,2687,1
6,414,1
5.75,352,1
31.167,663,1
8.889,603,1
11,532,1
1.1,110,1
36.833,711,1
6.2,151,1
17.625,1051,1
13.667,455,1
1.333,106,1
10.8,806,1
5.182,451,1
25.583,2842,1
4.418,5649,1
27,932,1
3.727,286,1
2.333,162,1
5.111,280,1
31.429,3857,1
1.714,62,1
39.364,3365,1
10.375,603,1
0.625,38,1
26.308,2437,1
2.75,85,1
5.1,436,1
5.222,388,1
0.571,19,1
2.375,101,1
10.727,1036,1
2.167,63,1
12.231,1296,1
1.5,96,1
3.625,205,1
43.25,1828,1
4.286,160,1
4.125,219,1
6.083,651,1
5.125,306,1
2.25,117,1
18.5,740,1
2.714,112,1
28.5,3315,1
35.4,441,1
20.5,1451,1
4.143,171,1
11.111,573,1
6,217,1
22.438,3747,1
9.333,2207,1
23.6,293,1
45,45,1
6.542,3609,1
3.429,128,1
15.188,2756,1
10.75,1100,1
15.833,438,1
40,40,1
1,31,1
11.889,749,1
27.667,1725,1
1.833,64,1
3.4,272,1
4.111,315,1
2.222,175,1
1,7,1
34.125,1764,1
0.857,40,1
1.889,89,1
11,137,1
2.714,102,1
1,65,1
3.5,126,1
4.375,258,1
2.526,3051,1
24.636,1752,1
11.286,535,1
8.625,355,1
29.333,1558,1
7.92,4611,1
1,49,1
1.8,162,1
19.313,2713,1
7.8,586,1
26.2,1587,1
6.667,239,1
2,76,1
26.1,1860,1
59.333,3208,1
1.857,84,1
1.167,41,1
16.4,6872,1
0.667,24,1
7.375,3939,1
15.222,854,1
2.1,126,1
27.364,2435,1
11.222,742,1
49.429,1813,1
1.571,70,1
2.333,13,1
2.5,193,1
14.833,438,1
30.222,1704,1
30.25,792,1
2.636,240,1
1.333,108,1
5.125,286,1
28.667,936,1
37.429,1254,1
0.818,76,1
3.286,136,1
4.333,244,1
11.875,687,1
22.429,961,1
18.636,1616,1
11,714,1
16.2,392,1
18.444,1120,1
7.75,435,1
17.6,1026,1
0.8,9,1
5.857,246,1
1.353,316,1
3,161,1
1.286,43,1
177,177,1
23.706,3568,1
16.444,912,1
2.7,201,1
1.9,153,1
30.714,1500,1
4.75,244,1
16.667,782,1
8.625,456,1
9.8,832,1
2.714,110,1
34.083,2966,1
9.2,185,1
2,92,1
2.222,90,1
14.125,686,1
27.231,2750,1
50.333,1478,1
1.556,113,1
1.5,19,1
17.385,2852,1
2.25,144,1
7.8,145,1
1.333,11,1
27.455,2670,1
2.5,145,1
30.636,2361,1
0.75,43,1
2.9,166,1
1.167,42,1
29.333,1455,1
3.167,103,1
9.667,259,1
5.222,312,1
1.714,68,1
29.667,1242,1
1.857,85,1
24.375,1506,1
25.313,3863,1
4.286,210,1
24.636,1616,1
0.8,183,1
95,95,1
2.222,139,1
2,116,1
2,96,1
3.5,189,1
26.429,3357,1
1.875,111,1
11.667,821,1
1.9,159,1
1.1,60,1
2.167,72,1
23.2,455,1
1.857,77,1
0.875,56,1
13.556,910,1
25.167,2880,1
10.231,1247,1
1.75,108,1
17.286,547,1
8.75,471,1
13.667,1103,1
1.2,67,1
50.9,1974,1
0.667,19,1
2.286,96,1
9,9,1
1.167,23,1
5,373,1
2.833,89,1
1.75,79,1
3.875,182,1
4.286,199,1
1.5,96,1
3.25,197,1
0.75,38,1
2,128,1
11.667,547,1
12.625,674,1
14.429,688,1
3.778,294,1
2,94,1
22.5,1198,1
6,765,1
14.3,1108,1
5.6,115,1
4,302,1
11.75,139,1
3.5,250,1
0.727,42,1
0.727,88,1
1,47,1
2.857,120,1
0.875,54,1
9,437,1
1,61,1
2.75,176,1
6.4,256,1
14.667,823,1
1.8,157,1
1,36,1
5.857,225,1
1.857,84,1
39.636,3623,1
1.5,88,1
0.875,49,1
1.9,173,1
23.125,975,1
9.364,653,1
19.364,1635,1
9.5,549,1
2.5,162,1
2.571,120,1
19.429,738,1
3.5,187,1
0.571,28,1
1.875,92,1
4.889,374,1
51.667,2694,1
4.75,135,1
2,124,1
8,157,1
20,653,1
1.571,74,1
30.625,1088,1
3,106,1
56.667,3190,1
7.667,207,1
4.375,236,1
8.286,342,1
9,311,1
1.6,355,1
10.333,614,1
2.111,143,1
15,518,1
37.25,1412,1
29.111,1657,1
2.571,120,1
13.818,1278,1
0.5,7,1
27.1,1878,1
59.333,2419,1
2.167,61,1
2.833,82,1
6.167,168,1
0.8,20,1
1.8,164,1
16.818,1572,1
4.25,195,1
0.889,53,1
2.375,145,1
1.571,77,1
7.9,695,1
1.333,108,1
10.818,978,1
15,416,1
27.667,2626,1
18.778,1129,1
88,88,1
4.111,300,1
5.111,238,1
9.375,397,1
2.2,55,1
43.25,1607,1
9.222,554,1
2.6,213,1
19,1198,1
4.848,2054,1
4,229,1
2.125,100,1
2,205,1
3.125,123,1
10,846,1
7,252,1
2.429,113,1
29.111,1015,1
8.889,500,1
2.7,217,1
0.5,11,1
0.4,16,1
39.778,2782,1
4.909,464,1
16.714,694,1
1.857,86,1
10.6,162,1
3.1,240,1
3.182,253,1
1.667,45,1
2.6,245,1
22.273,2063,1
5.4,445,1
1.5,81,1
33,2215,1
2.8,70,1
3,138,1
7.429,349,1
1.167,40,1
1.571,56,1
10.333,709,1
7.286,311,1
53.571,1124,1
1.571,63,1
38.111,2091,1
16,448,1
18.444,905,1
1.125,72,1
10.111,599,1
12.111,832,1
1,49,1
15.647,4522,1
4.286,166,1
249,249,1
2.5,149,1
1.333,108,1
8.889,658,1
13,621,1
2.857,92,1
9.833,1039,1
123,123,1
1.667,205,1
3.375,184,1
3.857,141,1
15,434,1
6.5,366,1
15,301,1
26.2,1811,1
30.714,1495,1
24.8,1807,1
3.833,119,1
1.933,422,1
3.125,176,1
2.7,225,1
2,72,1
7.375,366,1
4.467,610,1
2.375,146,1
1.833,54,1
4.286,186,1
2.333,170,1
4.875,257,1
4,307,1
4.125,234,1
1.091,129,1
24.667,1421,1
22.5,85,1
1,7,1
2.091,217,1
8,639,1
1.4,31,1
2,74,1
1.889,131,1
3.9,281,1
2,146,1
17.8,319,1
0.7,61,1
0.5,10,1
1.9,146,1
57.556,2001,1
21.455,2084,1
2.875,173,1
4.5,48,1
16,405,1
18,1683,1
2.556,169,1
4.125,210,1
3.125,118,1
1.625,104,1
1.571,71,1
5.625,344,1
4.667,556,1
37.462,3988,1
2.625,168,1
5.4,120,1
14.692,1532,1
10.222,790,1
4.444,347,1
5,243,1
1.143,56,1
6.857,276,1
2.6,52,1
6.889,371,1
9.571,257,1
4.429,215,1
3.286,126,1
7,784,1
2.2,128,1
2.75,161,1
1.5,78,1
4.125,229,1
23.778,1440,1
2.4,35,1
9.222,561,1
0.727,88,1
22.5,1043,1
1,91,1
14.5,1083,1
1.3,107,1
1,25,1
1.143,45,1
27.9,1916,1
6.7,394,1
3.75,240,1
27.778,1600,1
3.429,143,1
1.889,136,1
0.75,71,1
24.727,2036,1
9.182,909,1
9.182,815,1
4.375,217,1
16.714,2077,1
2,65,1
1,61,1
19.333,1156,1
5.182,425,1
2,174,1
74,74,1
3.778,250,1
3.5,1758,1
28.875,1052,1
28.875,1003,1
11.875,490,1
4.875,298,1
5.4,84,1
28.385,3176,1
9.5,30,1
15.75,578,1
2.429,96,1
2.2,179,1
12.333,770,1
21.9,1317,1
0.6,14,1
8.12,4713,1
2.778,205,1
41,41,1
1.833,63,1
2,123,1
2,72,1
1.8,157,1
4.9,318,1
2.8,52,1
1.4,126,1
9.111,539,1
3.714,169,1
18.667,1054,1
15.5,1919,1
2.2,45,1
9.333,708,1
1.4,35,1
7,7,1
2.222,104,1
3.778,216,1
2.429,103,1
4.143,136,1
2,37,1
4,1126,1
12.429,521,1
1.875,119,1
1.286,47,1
3.167,101,1
1.125,53,1
2.375,152,1
25.75,1307,1
0.857,42,1
59.111,3073,1
4.375,257,1
2.875,182,1
24.9,1584,1
17.538,2765,1
22.167,2130,1
6.4,569,1
5,406,1
1.6,39,1
1.4,31,1
21.063,3225,1
12.143,517,1
10.579,2164,1
6.538,4017,1
7.417,4141,1
2.636,197,1
12.813,2622,1
19,757,1
2,47,1
3.125,159,1
6.111,345,1
8.909,781,1
15.5,978,1
9.111,699,1
1.9,163,1
1.917,172,1
6.727,566,1
2.429,94,1
18.444,1080,1
42.75,1702,1
15.875,838,1
0.556,28,1
5.333,185,1
23.6,1349,1
1.412,323,1
3.4,301,1
11.75,5944,1
2.125,130,1
8.429,272,1
13.444,918,1
18.4,1152,1
13.714,1584,1
1.833,53,1
7.667,544,1
4.889,239,1
2.333,153,1
0.8,80,1
59.444,2262,1
1.8,43,1
0.286,13,1
50.8,1742,1
1.125,49,1
15.75,690,1
22.938,3377,1
5.857,232,1
4.143,159,1
15.25,634,1
2.111,142,1
1.778,118,1
4.429,148,1
12,12,1
50.6,2980,1
1.75,99,1
54.222,1508,1
5.429,167,1
9.833,991,1
5.625,284,1
33.667,3267,1
3.625,205,1
0.5,23,1
11.8,879,1
1.143,56,1
1.667,56,1
3,126,1
2.75,44,1
9.273,930,1
27.2,1571,1
3,100,1
3,187,1
6,144,1
6.091,508,1
24,1971,1
2.143,93,1
4.444,357,1
7.083,626,1
2.714,88,1
9.091,970,1
2.714,133,1
30.111,1724,1
6.8,101,1
7.778,536,1
1.5,108,1
1.9,170,1
8.875,326,1
2.143,60,1
23.727,1830,1
2.7,224,1
0.625,40,1
5.647,1101,1
3.556,206,1
5.048,881,1
3,69,1
1.125,69,1
3.778,196,1
4,157,1
1.182,525,1
9.2,1552,1
17.778,1098,1
1.333,45,1
2.429,106,1
1.857,69,1
20,868,1
0.857,123,1
3.333,118,1
2,56,1
23.8,1730,1
8.714,422,1
9.444,569,1
4.2,357,1
4.545,308,1
5.75,301,1
1.9,160,1
1,29,1
3.857,179,1
10,476,1
23.4,1437,1
1.25,74,1
51,2741,1
56.444,2425,1
8,355,1
6.857,206,1
25.2,1953,1
1.2,112,1
2.714,54,1
1.75,112,1
2.25,127,1
4.833,152,1
7.8,668,1
10.75,650,1
13.375,628,1
1.5,96,1
2,116,1
12.875,511,1
21.846,2040,1
3,48,1
8.75,510,1
4.857,223,1
1.083,153,1
1.5,89,1
5.75,769,1
6.9,469,1
8.875,218,1
13,1005,1
2.5,160,1
6.333,190,1
10.375,634,1
15.833,532,1
1.625,83,1
1.75,88,1
4.5,263,1
11,807,1
8.7,784,1
4.4,383,1
1.5,92,1
9.111,682,1
2.455,177,1
1.75,62,1
10.857,457,1
1.5,358,1
9.75,1000,1
1.125,71,1
1.2,30,1
5.375,280,1
6.625,416,1
1.091,99,1
3.25,189,1
3.5,289,1
18.286,594,1
2.333,76,1
7,210,1
2.333,166,1
10.25,624,1
2.714,260,1
1.5,77,1
2.333,78,1
4.4,274,1
13,1069,1
2.222,100,1
5.1,415,1
4.857,202,1
3,125,1
59.444,3214,1
6.1,582,1
1.571,77,1
21.667,412,1
16.5,973,1
1.286,153,1
1,99,1
2.3,182,1
1.333,35,1
1.167,36,1
15.5,1065,1
3.2,74,1
4.429,187,1
3.857,130,1
21.063,3276,1
0.818,71,1
1.5,91,1
28.846,2531,1
17.4,1276,1
5.5,334,1
6,214,1
8.273,598,1
4.556,327,1
2,143,1
2.75,176,1
59.333,3043,1
1.2,115,1
24,1146,1
3.222,233,1
1,48,1
6.111,327,1
2.667,127,1
1.333,324,1
26.2,1984,1
1.167,36,1
8.444,598,1
1.7,124,1
5.333,296,1
2,215,1
4.75,70,1
0.556,25,1
1.4,35,1
8.778,621,1
0.4,7,1
1.556,113,1
1.25,54,1
9.125,469,1
30,1220,1
3.286,161,1
6.4,159,1
18,18,1
2,81,1
22.385,2371,1
1.5,72,1
27.1,1632,1
11.444,770,1
0.8,72,1
10.333,1293,1
2.875,162,1
2.125,89,1
14.167,370,1
14.25,372,1
7.563,1182,1
3,183,1
18.9,973,1
1.375,42,1
2.75,42,1
1.9,132,1
9.111,690,1
2.714,125,1
1.571,75,1
20.25,1024,1
1.286,51,1
2.5,67,1
6.7,435,1
59.556,2377,1
17.545,1451,1
1,106,1
4.1,284,1
3.875,216,1
7.75,431,1
9,428,1
13.714,462,1
19.111,1050,1
14.462,1736,1
13.143,577,1
2.6,61,1
5.25,316,1
1,71,1
25.1,1293,1
1.889,99,1
1.333,92,1
2.9,248,1
12,428,1
2.857,138,1
1.8,35,1
2.6,61,1
3.5,249,1
10.25,492,1
1.5,93,1
5.625,261,1
1.571,74,1
16,523,1
1.429,54,1
5.75,225,1
14.444,1026,1
0.818,63,1
4.667,213,1
1.143,44,1
27.778,1649,1
2.286,106,1
0.8,16,1
2.875,102,1
10.375,650,1
0.667,96,1
2.1,172,1
1.4,33,1
18.75,753,1
27.286,1000,1
1.667,33,1
0.75,31,1
9.429,417,1
0.8,14,1
1.8,111,1
59.444,2399,1
4.091,363,1
13,520,1
51.1,2846,1
8.333,471,1
19.5,2681,1
4,246,1
6,674,1
1.9,146,1
20.286,2777,1
22,22,1
6.917,753,1
2.833,76,1
8.125,377,1
4,204,1
3.667,392,1
4.714,228,1
8.5,250,1
1.8,156,1
0.625,38,1
3.286,126,1
8,433,1
2.083,193,1
3.5,177,1
12.111,764,1
1.9,155,1
8.909,649,1
7,515,1
9,440,1
22.818,2052,1
36.778,1570,1
10.545,1026,1
1.857,77,1
1.5,69,1
1.429,57,1
8,864,1
3,59,1
18,769,1
2.2,135,1
4,205,1
22.25,3279,1
8,325,1
4.556,256,1
2.923,484,1
26.545,2445,1
8.727,1007,1
10,10,1
2.1,159,1
3.556,263,1
1.625,101,1
1.857,75,1
2.167,45,1
20.333,1225,1
6.125,291,1
7.714,332,1
1.571,77,1
5.429,210,1
1.125,65,1
1.286,56,1
1.75,85,1
26.8,2022,1
3.6,558,1
2.25,129,1
8.3,602,1
14.286,594,1
17.222,1008,1
7.083,4068,1
59.556,2904,1
6.143,256,1
12,672,1
5.286,184,1
0.7,60,1
5.444,328,1
1.083,153,1
1.714,80,1
1.833,208,1
5.222,327,1
1,14,1
2.875,184,1
2.571,90,1
9,654,1
5,150,1
2.067,216,1
10,924,1
8.375,388,1
2.333,146,1
7.7,697,1
1,22,1
9.3,738,1
1.7,170,1
4.72,2198,1
5.455,3627,1
2,85,1
2.5,66,1
5.9,407,1
6.429,244,1
3.571,175,1
18.333,1059,1
9.375,573,1
19.625,10409,1
19.667,1195,1
5.2,391,1
4.909,414,1
4.714,221,1
3.333,215,1
1.368,1801,1
10.714,476,1
77,77,1
1.667,130,1
5.6,122,1
9,75,1
2,159,1
25.857,961,1
13.333,461,1
3.75,204,1
9.833,1086,1
4.429,146,1
12.375,762,1
1.1,110,1
2.556,118,1
9.5,432,1
4.667,99,1
2.571,126,1
20.25,534,1
27.2,1767,1
13.7,949,1
8.143,263,1
1.3,104,1
19.333,1154,1
5.429,194,1
6,214,1
35,35,1
7.333,478,1
1.556,119,1
11.25,531,1
29,29,1
1.667,51,1
5.778,387,1
23.818,2271,1
11.68,6967,1
2.923,462,1
4,99,1
6.2,151,1
1.625,82,1
2.125,113,1
5.435,2875,1
7,15,1
3,237,1
19.7,1160,1
5.957,2943,1
2.6,44,1
10.111,646,1
4.222,192,1
4,176,1
5.217,2760,1
3.5,41,1
4.857,224,1
9.8,863,1
59.444,3063,1
9,676,1
12.286,577,1
51.1,2114,1
8,348,1
4,396,1
10,565,1
0.5,23,1
3.429,119,1
5.5,455,1
0.6,49,1
1.25,65,1
0.667,18,1
1.571,56,1
2.75,139,1
4.556,286,1
10.714,398,1
2.125,109,1
8.333,206,1
8.75,514,1
6.667,175,1
8.444,556,1
17.286,514,1
9.182,987,1
7.875,425,1
7.545,822,1
7,7,1
1.143,38,1
2,100,1
0.875,56,1
22.875,972,1
3.625,231,1
24.75,1318,1
31.143,951,1
6.857,270,1
5.5,237,1
1.5,96,1
1.412,342,1
27.222,1338,1
2.5,204,1
26.9,1335,1
1.5,91,1
5.2,128,1
5,211,1
1.143,54,1
3.778,271,1
2.6,43,1
3,85,1
32.455,3232,1
13.917,1507,1
7.583,644,1
3.857,140,1
6.286,140,1
2.75,160,1
0.556,39,1
1.714,84,1
3.125,163,1
1.286,44,1
1.6,39,1
5.889,384,1
7,220,1
2,123,1
5,434,1
29.429,3869,1
51,2763,1
1.375,88,1
1,15,1
10.5,27,1
24.214,2596,1
1.571,56,1
5.111,345,1
1.667,58,1
5.818,420,1
2.2,131,1
1.429,54,1
31,31,1
3.6,256,1
2.444,191,1
10.375,465,1
1.5,89,1
21,1222,1
18.6,1434,1
6,210,1
2.143,87,1
141.33,709,1
16,405,1
1.143,29,1
19.4,403,1
2,85,1
6.4,158,1
4.6,115,1
12.7,1014,1
0.889,57,1
59.444,3052,1
2.727,198,1
3.714,143,1
4.5,276,1
4.1,259,1
8.625,426,1
60,60,1
2.667,90,1
1.6,160,1
2,98,1
7.571,252,1
24.727,1824,1
3.375,184,1
31.857,1036,1
4.385,741,1
1.143,667,1
1.333,8,1
17.538,2791,1
9.4,678,1
37.25,1886,1
26.8,1581,1
7.364,619,1
5.444,439,1
0.667,24,1
0.8,80,1
7.167,250,1
5.375,248,1
3.222,169,1
12.25,685,1
12.3,1092,1
6.571,322,1
5.5,416,1
16,385,1
16.429,567,1
1.5,359,1
2.222,180,1
11.889,811,1
0.571,20,1
10.222,733,1
4,272,1
34,1236,1
17.3,649,1
7,422,1
2.143,103,1
3.5,178,1
5.8,113,1
5.875,227,1
1.2,120,1
1.6,119,1
2.8,273,1
5.125,316,1
20.727,1558,1
11.889,829,1
1.444,103,1
10.286,426,1
4.7,332,1
37.545,3662,1
5.1,429,1
2.125,133,1
22.786,2577,1
1.75,112,1
13.667,994,1
4.5,288,1
9.6,851,1
1.889,144,1
12.889,919,1
2.167,77,1
33.889,2003,1
2.2,184,1
4,273,1
6.5,165,1
4.389,876,1
7.727,843,1
2.286,59,1
2.043,808,1
19,520,1
2.667,21,1
5.857,183,1
1.875,102,1
1.818,197,1
6.471,1128,1
5.429,225,1
5.7,410,1
20.667,1303,1
1.286,62,1
3.625,181,1
6.875,284,1
10,348,1
2,169,1
1.75,16,1
2.875,133,1
1.625,95,1
2.4,197,1
0.818,81,1
20.538,2299,1
21.182,1734,1
1,42,1
0.571,10,1
0.684,136,1
4.182,425,1
8.667,946,1
4.5,153,1
10.818,1045,1
2.3,156,1
0.9,62,1
5.3,430,1
5.714,198,1
2.929,895,1
1.333,9,1
2.111,153,1
20.444,1091,1
2.429,109,1
2.833,84,1
6.385,678,1
56.444,3224,1
6.286,226,1
3.3,261,1
2,68,1
1.5,122,1
1.714,44,1
143,143,1
24.563,4103,1
29.286,3400,1
6.714,249,1
1.625,103,1
9.455,2539,1
1.5,117,1
9.111,679,1
1.333,46,1
3.7,332,1
15.5,931,1
1.4,124,1
27.545,666,1
8.857,378,1
7.6,607,1
3.667,132,1
11.333,650,1
1.667,39,1
2,168,1
13.444,845,1
24.313,3544,1
0.6,11,1
4.857,178,1
1.2,30,1
1.25,74,1
0.583,49,1
21.5,2378,1
4.625,273,1
6.571,250,1
0.667,96,1
2.714,123,1
10.727,800,1
0.857,42,1
2,98,1
43.833,1041,1
28.714,3554,1
10.111,744,1
22.875,1112,1
30,1204,1
1.375,76,1
1.125,53,1
7.48,4390,1
7.625,392,1
3.5,290,1
5.545,493,1
1,32,1
1.571,47,1
2.286,71,1
49.429,1771,1
1.167,35,1
