@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
10,100,1,1
11,1276,194,1
7,63,9,1
9,315,60,1
9,882,122,1
8,80,13,1
10,330,43,1
7,133,26,1
6,96,24,1
11,3311,458,1
8,136,18,1
8,856,136,1
8,280,56,1
13,1040,81,1
7,112,21,1
7,777,131,1
79,12561,78,1
9,126,12,1
7,210,35,1
7,112,24,1
8,64,14,1
7,749,126,1
10,630,87,1
9,2412,178,1
8,312,56,1
10,2190,270,1
10,100,14,1
11,352,56,1
7,210,39,1
8,808,137,1
7,168,28,1
9,1089,176,1
9,99,18,1
10,180,11,1
14,378,25,1
4,32,6,1
5,100,11,1
13,3458,286,1
9,576,44,1
9,423,80,1
12,828,98,1
8,152,32,1
5,140,26,1
5,135,21,1
7,56,12,1
8,496,59,1
10,110,10,1
5,480,74,1
16,7024,530,1
10,220,34,1
8,128,16,1
9,54,2,1
11,2013,208,1
8,104,8,1
10,600,85,1
10,1550,195,1
9,468,69,1
10,1260,193,1
9,1242,180,1
9,2502,345,1
11,99,9,1
7,315,57,1
11,484,79,1
8,72,13,1
6,96,8,1
11,781,120,1
6,306,61,1
9,1512,214,1
10,820,120,1
11,3333,67,1
7,77,21,1
7,28,6,1
11,693,83,1
1,41,15,1
1,95,35,1
8,200,40,1
9,729,94,1
7,686,100,1
23,2714,385,1
8,136,26,1
9,1467,170,1
7,406,38,1
9,423,86,1
9,324,58,1
25,7275,455,1
10,840,142,1
10,5110,385,1
7,14,4,1
8,824,100,1
9,1422,212,1
6,78,15,1
6,66,17,1
9,4806,661,1
6,108,21,1
7,77,20,1
7,14,1,1
5,85,20,1
7,266,58,1
7,427,77,1
4,260,29,1
5,30,5,1
1,74,13,1
9,4815,573,1
2,90,6,1
12,696,62,1
6,534,106,1
10,2620,391,1
9,540,81,1
7,294,67,1
7,805,128,1
7,287,62,1
9,387,59,1
9,882,156,1
9,342,32,1
9,1548,225,1
9,2475,359,1
10,980,175,1
8,264,62,1
8,56,11,1
9,981,127,1
9,4824,662,1
8,664,123,1
10,900,115,1
9,1656,251,1
9,1449,218,1
8,200,41,1
9,1521,200,1
7,945,99,1
9,2448,365,1
13,1105,131,1
6,108,7,1
11,660,105,1
9,189,35,1
9,1134,186,1
1,47,14,1
7,98,18,1
18,864,53,1
13,481,44,1
11,2871,361,1
5,40,8,1
7,497,84,1
7,266,50,1
8,88,17,1
9,198,26,1
9,414,68,1
13,1963,229,1
7,182,47,1
8,600,106,1
8,2168,364,1
12,1404,190,1
8,2552,353,1
9,180,20,1
6,42,7,1
7,210,43,1
12,1704,189,1
7,1057,61,1
11,1606,209,1
10,2610,321,1
5,180,25,1
9,2556,286,1
10,1260,200,1
6,102,26,1
5,490,85,1
10,970,165,1
10,340,54,1
8,72,7,1
7,140,31,1
10,2710,351,1
12,312,43,1
10,300,47,1
6,300,49,1
5,120,31,1
9,1143,154,1
82,25748,703,1
12,1404,184,1
7,455,82,1
9,72,4,1
10,390,62,1
8,64,12,1
24,8064,455,1
16,5504,358,1
11,1078,138,1
12,1224,171,1
11,484,74,1
6,78,19,1
10,1590,184,1
11,1617,264,1
8,112,7,1
8,192,43,1
13,325,19,1
12,828,95,1
7,35,1,1
8,40,6,1
24,8016,501,1
7,161,37,1
7,2422,339,1
10,1220,164,1
10,870,132,1
11,1056,81,1
8,72,15,1
13,741,48,1
6,576,83,1
7,231,53,1
7,1106,198,1
7,392,71,1
7,525,91,1
8,120,24,1
10,530,91,1
8,152,30,1
7,168,24,1
7,1106,146,1
7,210,48,1
9,360,61,1
6,48,7,1
24,3768,186,1
5,155,18,1
39,13767,454,1
12,3252,391,1
9,288,35,1
3,12,1,1
2,138,10,1
9,2502,398,1
8,176,34,1
6,78,14,1
12,864,110,1
4,40,6,1
7,175,29,1
7,112,27,1
11,935,145,1
7,98,19,1
14,2688,275,1
8,1720,243,1
4,96,27,1
9,2439,382,1
10,490,60,1
9,144,24,1
7,133,23,1
4,16,1,1
6,42,8,1
9,342,68,1
8,160,31,1
7,35,8,1
8,4200,297,1
13,2067,177,1
9,261,47,1
8,312,65,1
8,120,14,1
16,1472,100,1
11,990,101,1
8,152,32,1
9,243,47,1
4,76,18,1
9,729,116,1
7,252,55,1
12,672,85,1
8,2744,294,1
7,105,23,1
25,4650,263,1
11,3784,358,1
10,70,13,1
10,930,130,1
10,450,69,1
11,253,18,1
8,872,158,1
9,423,86,1
24,4080,237,1
13,2964,235,1
5,580,100,1
7,1491,237,1
8,88,24,1
8,64,11,1
10,640,109,1
7,266,45,1
9,756,112,1
6,108,22,1
9,315,29,1
7,371,53,1
1,42,16,1
10,3230,465,1
9,927,129,1
8,1296,188,1
11,242,25,1
25,2875,333,1
8,120,28,1
12,1536,179,1
7,35,4,1
11,572,78,1
7,140,32,1
9,2556,249,1
8,1064,162,1
8,168,36,1
8,192,27,1
9,4572,579,1
8,168,31,1
12,324,39,1
8,256,43,1
4,48,7,1
8,272,56,1
7,707,111,1
12,996,151,1
6,510,86,1
7,133,31,1
7,77,20,1
7,105,24,1
6,78,14,1
9,4815,534,1
8,40,11,1
5,10,1,1
9,423,57,1
8,256,48,1
6,144,31,1
14,5530,423,1
77,20867,885,1
1,7,1,1
8,128,30,1
7,77,20,1
6,24,4,1
7,133,28,1
10,830,121,1
11,880,87,1
23,598,92,1
1,40,15,1
10,340,57,1
14,5026,405,1
9,360,57,1
9,639,102,1
9,4815,555,1
7,189,41,1
12,492,69,1
6,174,39,1
1,40,3,1
8,264,47,1
14,154,10,1
9,1917,276,1
7,497,67,1
7,49,10,1
6,54,12,1
7,49,7,1
5,350,45,1
9,522,79,1
8,1664,196,1
8,56,10,1
10,160,28,1
9,378,58,1
8,40,4,1
5,100,31,1
11,2981,371,1
5,35,6,1
7,287,43,1
5,410,70,1
7,63,13,1
10,2710,369,1
7,189,6,1
7,98,19,1
6,300,50,1
9,828,129,1
13,3146,312,1
5,65,10,1
7,203,43,1
11,132,27,1
11,2981,388,1
10,40,8,1
8,320,62,1
8,96,23,1
13,494,43,1
11,957,128,1
10,280,45,1
11,121,13,1
12,504,66,1
8,2048,200,1
11,220,15,1
11,4037,544,1
8,568,112,1
6,66,16,1
10,430,55,1
8,184,22,1
18,2844,229,1
9,1674,213,1
16,5632,418,1
9,234,34,1
5,35,3,1
36,6696,292,1
5,65,15,1
7,98,13,1
9,576,89,1
4,12,3,1
10,340,59,1
8,752,119,1
6,126,19,1
7,133,27,1
7,273,52,1
36,180,15,1
25,4450,266,1
7,161,29,1
14,1974,240,1
8,496,99,1
10,300,52,1
16,6384,441,1
8,416,77,1
9,522,80,1
10,670,94,1
10,1230,149,1
9,351,55,1
7,315,62,1
6,186,35,1
13,1079,115,1
7,378,77,1
8,120,19,1
9,918,128,1
13,5720,669,1
5,20,1,1
5,35,6,1
8,144,31,1
10,630,109,1
6,558,101,1
6,426,89,1
11,2343,317,1
8,64,9,1
6,150,34,1
15,465,24,1
7,28,3,1
5,95,4,1
8,128,31,1
3,93,10,1
12,852,81,1
8,72,10,1
13,5317,556,1
10,1000,159,1
10,190,11,1
5,85,26,1
6,576,100,1
9,4185,532,1
8,56,8,1
10,380,52,1
9,4815,654,1
8,424,89,1
1,27,4,1
7,294,52,1
9,1746,215,1
9,333,56,1
10,150,23,1
5,65,12,1
8,56,9,1
5,60,7,1
11,121,11,1
6,372,64,1
8,120,26,1
5,135,34,1
7,70,9,1
5,60,15,1
7,119,26,1
10,2510,398,1
10,940,138,1
9,1350,183,1
11,407,75,1
5,25,6,1
13,1690,139,1
8,48,4,1
5,470,80,1
9,1350,218,1
9,963,138,1
9,342,47,1
8,152,35,1
6,138,35,1
8,312,44,1
9,1674,255,1
17,357,8,1
11,330,37,1
5,80,25,1
24,4224,267,1
17,391,25,1
7,217,40,1
12,1008,142,1
7,2723,381,1
8,128,29,1
7,77,13,1
7,77,17,1
8,32,3,1
8,56,11,1
8,384,75,1
8,248,51,1
9,1359,236,1
9,207,39,1
8,1568,159,1
10,440,66,1
9,648,97,1
8,360,19,1
9,2484,373,1
9,2358,356,1
8,64,10,1
10,800,87,1
22,1562,71,1
19,532,24,1
12,1548,187,1
8,200,35,1
7,42,11,1
9,1332,189,1
9,657,79,1
7,49,12,1
8,192,36,1
7,91,15,1
10,300,46,1
1,47,19,1
6,108,28,1
9,126,22,1
8,184,40,1
8,160,32,1
8,272,48,1
10,810,107,1
25,7275,462,1
10,590,87,1
11,1716,253,1
10,130,23,1
9,423,76,1
9,1359,162,1
8,1536,279,1
10,150,26,1
7,280,44,1
8,208,38,1
9,54,8,1
9,1386,192,1
9,288,40,1
33,5280,182,1
14,476,43,1
7,280,50,1
12,5976,752,1
9,1143,155,1
6,66,14,1
8,816,122,1
9,153,34,1
7,84,20,1
14,5894,466,1
9,333,55,1
14,168,11,1
9,738,125,1
9,4815,613,1
8,160,29,1
8,552,68,1
6,582,80,1
5,90,18,1
8,216,31,1
7,105,20,1
7,644,106,1
9,180,28,1
10,5080,578,1
8,288,62,1
12,264,19,1
7,28,4,1
3,270,59,1
3,9,1,1
7,98,22,1
5,280,26,1
6,102,14,1
6,432,64,1
10,230,34,1
9,36,3,1
9,2430,213,1
10,160,21,1
11,506,79,1
24,1536,103,1
9,81,1,1
10,350,12,1
7,700,157,1
5,25,1,1
8,96,15,1
7,280,51,1
9,117,17,1
7,819,121,1
10,1450,212,1
8,400,89,1
7,140,27,1
6,192,39,1
7,455,89,1
9,369,68,1
27,3105,388,1
8,568,102,1
9,189,26,1
5,150,36,1
7,77,16,1
11,1848,279,1
10,410,66,1
12,576,85,1
8,208,44,1
9,2979,421,1
11,3333,123,1
5,75,18,1
10,800,116,1
10,120,6,1
7,77,19,1
1,89,14,1
7,112,14,1
5,35,11,1
13,3107,343,1
7,238,53,1
11,671,48,1
7,105,21,1
7,399,84,1
8,328,48,1
8,1488,234,1
6,282,31,1
6,42,10,1
10,140,23,1
7,112,24,1
8,216,21,1
14,3710,294,1
8,1360,236,1
17,374,14,1
6,198,46,1
9,108,22,1
6,42,6,1
7,945,134,1
9,180,32,1
11,2992,392,1
9,756,120,1
7,77,7,1
8,2720,355,1
8,80,11,1
7,294,33,1
8,112,10,1
10,1260,196,1
9,1242,144,1
26,7644,456,1
5,60,13,1
9,729,117,1
7,91,17,1
9,4590,561,1
9,963,186,1
10,2720,319,1
8,312,72,1
9,1629,213,1
7,672,118,1
8,96,21,1
2,28,3,1
7,259,47,1
9,81,15,1
5,35,2,1
8,344,62,1
11,121,10,1
8,576,102,1
7,1274,204,1
7,147,35,1
7,105,27,1
7,126,30,1
7,119,23,1
7,28,2,1
7,987,139,1
7,140,26,1
10,1590,192,1
10,5100,612,1
10,5350,447,1
13,4186,340,1
10,370,61,1
8,936,125,1
9,405,62,1
10,1210,180,1
9,162,14,1
7,77,16,1
25,7300,461,1
5,35,3,1
9,1467,137,1
4,68,7,1
7,1337,247,1
8,2752,486,1
11,363,54,1
9,180,26,1
10,100,2,1
10,2590,362,1
11,825,107,1
12,1248,170,1
5,90,22,1
13,1352,82,1
8,512,81,1
7,287,57,1
6,786,60,1
11,385,60,1
10,180,16,1
8,952,189,1
10,480,67,1
11,1309,181,1
8,1400,183,1
6,78,14,1
10,90,5,1
8,1584,260,1
9,369,67,1
7,91,19,1
9,333,60,1
8,160,32,1
9,1575,221,1
7,378,55,1
10,660,95,1
9,1539,214,1
7,1029,173,1
7,77,17,1
9,819,112,1
7,175,35,1
8,152,31,1
9,576,110,1
8,64,6,1
7,644,63,1
7,1134,73,1
9,1548,202,1
6,24,2,1
5,65,22,1
10,460,83,1
9,162,15,1
8,120,22,1
9,828,118,1
5,195,21,1
7,112,28,1
8,96,20,1
9,747,113,1
9,162,29,1
9,684,126,1
8,328,37,1
6,174,42,1
6,1122,168,1
7,126,21,1
10,330,40,1
9,1188,149,1
9,450,75,1
12,156,26,1
9,774,107,1
8,40,7,1
6,426,43,1
8,656,95,1
9,216,35,1
7,42,10,1
14,6160,632,1
9,369,58,1
7,266,46,1
1,65,12,1
9,4815,561,1
13,429,27,1
10,250,39,1
11,352,63,1
9,1062,164,1
6,24,3,1
9,1566,163,1
14,798,49,1
8,552,106,1
11,1815,190,1
8,368,48,1
11,1386,180,1
9,2997,452,1
8,800,124,1
7,1141,185,1
7,154,11,1
16,1936,137,1
8,256,42,1
13,871,57,1
7,245,42,1
11,88,10,1
9,207,28,1
10,500,81,1
10,310,59,1
8,112,25,1
10,130,6,1
10,800,122,1
11,539,43,1
8,632,111,1
10,660,93,1
8,56,11,1
8,288,53,1
8,104,25,1
7,322,12,1
12,96,9,1
9,324,58,1
5,135,35,1
11,1309,177,1
16,6672,481,1
8,384,62,1
9,2745,375,1
18,1422,115,1
11,2992,423,1
10,380,59,1
7,140,38,1
1,33,11,1
10,2680,220,1
10,3250,463,1
7,357,77,1
8,136,25,1
6,48,9,1
10,190,14,1
12,96,10,1
9,315,58,1
8,2176,311,1
9,207,41,1
9,4806,607,1
9,1332,198,1
7,154,38,1
12,3972,431,1
7,266,43,1
10,830,130,1
10,2150,239,1
23,4554,282,1
17,1309,140,1
14,812,46,1
7,133,12,1
5,115,28,1
9,1170,199,1
7,119,26,1
7,98,16,1
8,168,29,1
10,860,151,1
7,672,119,1
11,99,6,1
8,352,71,1
9,1782,274,1
6,192,39,1
8,1864,207,1
8,760,120,1
6,876,156,1
10,350,66,1
1,22,6,1
9,324,56,1
1,49,2,1
14,168,12,1
25,12375,784,1
7,413,45,1
14,70,5,1
10,2720,399,1
7,259,54,1
9,837,131,1
10,80,8,1
24,4464,305,1
25,12350,776,1
8,96,19,1
9,4572,640,1
8,864,182,1
7,266,45,1
14,3276,299,1
8,360,70,1
10,5080,527,1
9,963,152,1
8,200,41,1
10,90,18,1
8,144,31,1
7,63,9,1
10,230,37,1
8,2384,383,1
6,570,104,1
10,830,105,1
8,160,24,1
10,2710,381,1
4,1012,93,1
9,1575,222,1
9,774,105,1
7,77,18,1
11,2695,344,1
6,24,2,1
27,7209,599,1
9,108,27,1
12,264,16,1
11,682,92,1
9,1899,282,1
8,32,3,1
10,330,63,1
9,585,96,1
15,2070,164,1
8,64,12,1
6,162,9,1
9,36,2,1
13,5291,609,1
7,700,120,1
8,64,10,1
14,2170,238,1
10,200,23,1
6,60,6,1
7,294,33,1
8,160,30,1
9,477,91,1
8,568,95,1
9,2826,352,1
6,42,2,1
13,4446,477,1
9,81,13,1
8,2416,356,1
9,1638,210,1
8,48,6,1
7,98,23,1
11,363,48,1
4,112,40,1
9,108,28,1
6,162,33,1
10,370,41,1
8,328,67,1
6,132,9,1
4,72,2,1
5,65,7,1
7,126,25,1
8,152,31,1
9,1746,238,1
9,396,59,1
9,171,19,1
7,203,37,1
9,675,121,1
11,3707,296,1
8,112,29,1
9,333,61,1
7,28,3,1
9,873,162,1
7,126,21,1
10,1740,239,1
9,72,4,1
7,875,168,1
10,3170,298,1
8,128,20,1
8,1056,181,1
9,108,29,1
5,215,61,1
9,3267,326,1
10,630,84,1
10,1260,202,1
8,168,31,1
10,60,10,1
6,276,30,1
10,270,53,1
12,3252,423,1
3,9,1,1
7,322,78,1
9,4815,469,1
9,684,114,1
10,1000,146,1
12,144,26,1
9,4428,476,1
9,621,122,1
10,180,10,1
9,2160,336,1
7,112,17,1
9,261,48,1
5,20,6,1
9,2754,378,1
9,108,14,1
8,424,80,1
1,40,7,1
9,351,55,1
7,49,9,1
6,498,104,1
8,64,11,1
8,96,23,1
11,264,39,1
7,119,17,1
6,174,33,1
7,49,11,1
7,238,40,1
9,405,75,1
3,27,4,1
6,594,123,1
1,36,7,1
6,90,10,1
7,63,11,1
8,1200,154,1
6,48,9,1
9,1377,203,1
1,88,17,1
9,1611,229,1
10,1270,210,1
10,400,71,1
9,729,115,1
7,28,4,1
7,329,54,1
11,594,74,1
6,186,20,1
9,1494,195,1
7,91,9,1
8,168,29,1
6,354,75,1
9,738,115,1
23,2116,212,1
9,2322,313,1
6,66,15,1
7,490,93,1
6,114,20,1
8,904,135,1
13,6331,745,1
8,128,23,1
11,1111,178,1
7,98,19,1
8,656,99,1
6,42,8,1
7,217,33,1
10,90,11,1
16,6832,492,1
8,152,19,1
10,1540,192,1
5,105,24,1
7,98,16,1
10,890,69,1
10,250,44,1
7,637,121,1
10,110,26,1
8,320,69,1
11,242,17,1
11,946,138,1
11,319,46,1
7,1701,227,1
10,3190,458,1
8,128,23,1
4,44,12,1
6,576,80,1
8,816,138,1
7,1183,154,1
8,104,22,1
5,1015,187,1
9,837,125,1
8,64,14,1
9,864,124,1
9,324,65,1
8,1720,220,1
11,242,16,1
5,75,5,1
7,231,54,1
9,2412,258,1
12,540,38,1
74,13542,58,1
10,2820,378,1
9,396,53,1
8,312,58,1
12,3084,291,1
7,343,77,1
7,14,1,1
10,110,28,1
10,320,59,1
10,260,40,1
11,220,19,1
9,360,60,1
8,128,19,1
7,126,28,1
7,112,14,1
11,627,75,1
25,4225,586,1
9,45,6,1
7,420,80,1
10,960,161,1
11,275,46,1
9,576,87,1
12,3732,443,1
11,2145,256,1
10,1540,207,1
8,1160,146,1
10,210,33,1
8,112,19,1
8,248,49,1
10,1500,183,1
11,385,27,1
10,540,94,1
5,25,2,1
5,30,6,1
8,200,39,1
10,350,65,1
17,1666,104,1
8,480,69,1
8,96,22,1
8,560,122,1
10,410,55,1
9,900,130,1
25,4950,270,1
9,738,124,1
6,270,66,1
10,410,71,1
8,1200,187,1
9,450,54,1
8,240,45,1
12,276,14,1
9,378,72,1
6,576,71,1
7,1092,218,1
6,156,40,1
9,765,130,1
9,2241,306,1
10,1450,213,1
8,120,26,1
4,24,2,1
8,1440,220,1
8,56,11,1
7,203,20,1
10,2280,316,1
6,42,4,1
14,2814,217,1
10,1520,208,1
10,660,95,1
11,1100,165,1
8,352,58,1
12,1392,172,1
7,854,139,1
8,48,12,1
8,112,23,1
10,200,30,1
6,48,11,1
8,64,10,1
8,416,65,1
6,60,16,1
10,1550,181,1
16,384,32,1
8,560,115,1
11,132,13,1
8,224,40,1
10,780,113,1
7,126,26,1
9,306,68,1
9,1116,144,1
18,396,10,1
7,217,51,1
11,3025,307,1
9,4815,617,1
6,78,16,1
4,8,1,1
10,360,51,1
7,84,18,1
11,2871,366,1
6,78,19,1
5,35,11,1
10,520,89,1
6,108,26,1
10,1280,202,1
7,140,29,1
11,1375,196,1
9,4797,612,1
5,200,63,1
8,112,22,1
10,1550,184,1
8,96,18,1
10,1410,148,1
11,99,6,1
9,225,37,1
3,1272,5,1
8,368,70,1
11,473,64,1
14,3556,284,1
8,224,44,1
11,99,8,1
8,1960,286,1
7,91,17,1
5,195,39,1
8,4280,520,1
9,630,98,1
23,2001,242,1
11,121,21,1
9,765,121,1
13,5200,418,1
9,369,57,1
9,729,119,1
17,1802,115,1
9,171,30,1
9,837,122,1
8,96,21,1
7,245,55,1
10,5110,534,1
13,2834,344,1
8,368,78,1
7,56,10,1
7,1379,66,1
9,972,137,1
14,2142,183,1
8,424,87,1
1,9,1,1
6,300,49,1
17,3451,225,1
8,1480,199,1
7,133,22,1
8,256,38,1
8,544,97,1
6,450,109,1
7,329,40,1
8,304,61,1
7,217,45,1
7,413,82,1
8,2168,375,1
6,96,22,1
9,1134,194,1
7,91,18,1
28,2296,70,1
10,580,80,1
7,98,23,1
7,1561,142,1
7,98,19,1
5,50,2,1
8,560,98,1
9,675,119,1
4,24,4,1
8,568,92,1
9,3168,486,1
10,90,12,1
8,240,43,1
12,1008,89,1
9,324,61,1
7,42,10,1
9,2709,371,1
9,297,40,1
3,9,1,1
8,96,25,1
9,243,45,1
8,272,52,1
8,768,120,1
8,96,21,1
14,3178,226,1
8,232,41,1
10,90,1,1
7,945,120,1
9,261,45,1
7,700,118,1
8,304,21,1
9,2448,342,1
9,441,88,1
6,534,99,1
8,32,4,1
9,963,166,1
9,144,26,1
7,63,10,1
10,1550,177,1
12,96,7,1
9,648,82,1
8,736,151,1
67,19832,1134,1
24,6744,397,1
9,828,137,1
11,946,144,1
11,77,10,1
8,112,25,1
24,3000,129,1
7,91,13,1
10,410,69,1
8,216,22,1
9,171,13,1
7,98,22,1
12,528,58,1
9,9,1,1
10,190,14,1
9,162,28,1
8,72,15,1
7,182,29,1
11,3322,448,1
8,376,66,1
25,7350,448,1
6,246,44,1
8,32,1,1
16,6480,467,1
9,1107,153,1
7,21,3,1
5,145,36,1
12,1020,160,1
7,861,137,1
7,91,19,1
8,200,40,1
8,296,60,1
10,290,18,1
5,20,4,1
9,63,6,1
6,144,27,1
5,45,7,1
8,160,33,1
12,264,17,1
9,288,42,1
6,78,17,1
9,351,64,1
16,3632,300,1
9,1809,216,1
8,160,35,1
8,312,55,1
9,2232,308,1
7,392,78,1
9,2241,344,1
8,112,23,1
8,1496,168,1
15,5340,410,1
6,570,82,1
7,154,15,1
10,2610,390,1
8,640,84,1
7,553,88,1
10,510,86,1
9,639,114,1
11,209,16,1
8,1216,191,1
9,837,140,1
8,248,48,1
7,217,39,1
13,494,42,1
12,864,92,1
7,252,56,1
8,24,5,1
10,350,60,1
16,5392,377,1
7,245,42,1
10,410,68,1
8,344,57,1
8,464,65,1
9,585,102,1
8,1392,172,1
9,1773,278,1
5,160,47,1
11,1771,191,1
10,2690,160,1
5,195,24,1
8,640,85,1
6,186,34,1
8,664,120,1
7,91,21,1
7,1589,215,1
9,108,7,1
7,84,19,1
25,1775,187,1
8,192,39,1
9,441,77,1
8,128,19,1
10,5090,401,1
7,2135,191,1
16,6016,401,1
6,102,18,1
13,2964,238,1
10,210,27,1
9,378,65,1
8,136,21,1
1,104,19,1
8,664,115,1
7,70,17,1
9,675,113,1
10,400,56,1
12,516,69,1
11,990,158,1
8,104,27,1
9,2250,317,1
11,803,107,1
9,1395,201,1
6,12,1,1
9,162,10,1
8,64,3,1
7,217,50,1
8,80,16,1
6,582,85,1
10,260,49,1
24,3192,155,1
15,810,107,1
11,220,15,1
8,448,91,1
10,1010,154,1
4,40,4,1
8,72,15,1
9,774,109,1
7,140,31,1
13,494,39,1
6,60,13,1
14,252,12,1
9,918,132,1
12,864,80,1
8,48,5,1
16,6256,477,1
10,390,58,1
10,650,112,1
13,2821,334,1
9,972,165,1
16,1792,201,1
9,144,12,1
13,1755,157,1
13,1001,124,1
9,162,13,1
5,255,49,1
12,516,66,1
7,119,27,1
7,1715,175,1
5,470,77,1
9,225,32,1
6,576,99,1
24,4080,223,1
9,162,27,1
8,48,10,1
11,88,8,1
8,352,70,1
7,147,31,1
9,4077,269,1
7,98,23,1
9,72,15,1
7,63,12,1
11,385,24,1
14,4760,356,1
7,231,40,1
13,1573,159,1
9,306,57,1
9,738,124,1
7,203,42,1
7,238,42,1
9,144,14,1
8,96,20,1
7,56,14,1
9,747,84,1
24,4752,274,1
10,390,55,1
8,120,23,1
7,861,95,1
9,1044,190,1
6,240,59,1
10,3300,425,1
9,909,150,1
7,126,12,1
