@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R7-8,10-12,17-18,20-21,24-25,28-30,33-34,36-37'

@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
118,92,103,113,85,93,116,96,88,87,90,96,95,113,95,113,92,3
108,85,103,113,85,88,103,87,84,79,82,78,70,79,70,75,63,3
87,67,79,83,67,75,83,67,75,71,74,74,74,83,74,83,70,7
128,129,34,123,129,43,34,133,43,133,42,139,42,32,42,32,135,2
104,83,107,113,87,86,104,85,86,89,87,86,87,112,83,103,83,3
109,92,107,113,92,82,104,89,86,92,87,90,83,103,87,108,90,3
100,81,100,96,78,83,99,79,83,79,93,90,89,106,74,75,83,3
138,151,29,138,151,42,30,157,42,150,50,115,44,34,42,29,150,2
122,125,32,117,129,49,34,131,46,124,42,129,44,34,44,34,126,2
108,89,104,108,89,87,103,86,83,90,89,87,85,106,89,111,90,3
80,70,83,84,70,63,70,57,71,64,67,58,63,63,67,71,65,7
80,66,75,76,63,71,77,64,67,64,67,65,70,79,78,84,73,7
84,66,87,92,74,71,77,68,71,72,74,69,70,79,67,79,65,7
135,105,122,130,105,93,125,104,97,101,88,102,92,120,97,115,94,3
130,135,32,130,135,44,31,140,44,133,47,135,44,31,47,31,135,2
119,131,45,110,109,44,31,136,44,126,44,135,44,31,44,31,131,2
130,131,34,124,131,42,34,129,44,129,44,135,44,31,44,31,128,2
110,90,103,105,90,89,111,90,85,87,92,87,88,106,88,106,87,3
105,83,112,114,90,89,111,94,97,97,92,91,92,115,92,120,94,3
101,83,95,101,79,70,84,65,67,62,60,57,64,69,64,66,54,5
79,60,66,72,60,67,71,58,63,55,60,54,64,69,64,66,54,7
114,108,37,119,126,53,40,116,44,135,80,74,64,64,46,36,139,2
124,136,34,129,140,44,34,139,47,139,43,143,43,29,46,31,150,2
119,136,34,129,136,47,31,135,44,135,46,143,50,31,50,31,132,2
110,90,97,105,80,76,85,68,64,61,68,59,60,57,53,54,38,5
78,65,75,74,62,68,69,57,64,57,71,63,68,75,68,68,56,7
125,135,31,125,135,46,31,143,46,143,44,141,44,34,44,29,146,2
111,116,31,131,142,53,45,103,50,128,48,125,48,40,51,45,100,2
120,128,34,115,124,46,34,125,46,121,44,125,48,29,44,32,121,2
120,124,34,120,120,46,34,121,43,121,48,112,51,37,48,40,112,2
111,109,69,102,79,50,36,128,53,103,48,125,48,34,48,37,121,2
111,87,111,115,87,92,107,88,88,88,93,92,93,111,93,111,92,3
111,87,106,111,87,88,107,92,92,88,93,87,88,107,88,107,87,3
111,91,111,115,91,92,112,88,92,92,88,87,93,111,88,103,83,3
102,76,85,90,68,68,71,59,60,45,75,58,63,61,55,51,29,5
90,68,77,78,61,60,57,45,53,38,63,42,55,51,55,54,37,5
86,68,73,74,61,71,79,63,71,67,67,62,71,79,71,87,75,7
74,57,66,67,54,64,71,59,68,59,63,58,67,72,71,75,67,7
113,88,107,113,88,88,111,92,84,92,95,85,90,113,95,113,92,3
133,143,31,133,150,44,32,141,48,141,46,144,46,32,46,32,144,2
133,139,31,133,135,44,32,137,44,129,52,103,49,37,43,29,140,2
118,121,36,118,121,51,37,112,48,112,46,114,46,34,49,34,111,2
109,87,95,104,83,86,104,89,82,78,92,86,83,99,79,91,75,3
139,141,34,139,146,46,34,144,43,144,71,79,56,42,42,32,146,2
134,133,34,123,133,49,32,133,46,129,42,135,42,32,46,32,135,2
113,87,103,104,83,90,109,89,90,89,79,75,92,108,92,108,90,3
70,58,72,74,58,59,63,59,63,55,59,64,63,63,63,63,53,7
104,78,96,104,81,79,91,75,83,79,78,80,78,92,82,92,80,4
76,63,71,73,59,59,66,57,63,64,57,58,63,67,67,71,62,7
124,139,34,124,135,44,34,140,44,136,47,139,44,31,44,31,139,2
119,127,34,110,120,44,31,133,44,122,47,120,44,31,47,31,128,2
110,116,34,110,116,47,34,126,47,122,47,128,47,31,47,34,120,2
119,90,108,119,90,93,115,94,93,94,97,94,97,115,88,115,94,3
119,90,112,119,94,97,115,97,97,94,88,94,88,111,88,106,87,3
72,60,54,72,60,53,49,55,57,62,53,50,53,52,57,55,61,5
72,60,63,75,64,50,43,101,44,108,44,124,44,29,44,31,116,2
124,94,115,119,94,92,115,94,88,87,80,81,84,95,80,91,78,3
105,111,43,110,111,47,40,116,50,102,50,121,46,36,50,39,117,2
97,76,102,105,76,68,81,68,76,76,68,59,68,75,71,79,67,7
74,58,67,74,58,72,81,65,64,57,71,70,71,79,68,75,63,7
102,76,94,98,72,76,87,74,76,74,79,79,84,95,79,95,75,4
90,76,89,94,76,76,87,78,80,78,84,79,79,95,79,99,79,4
131,139,31,136,139,46,31,143,46,139,44,137,44,32,48,32,129,2
71,57,59,78,65,60,61,67,60,67,59,67,63,61,59,58,67,5
82,65,62,78,68,60,54,63,60,67,51,62,55,51,59,58,67,5
128,132,31,118,125,44,32,125,44,121,46,122,49,34,49,34,125,2
113,114,39,104,103,59,51,83,63,67,63,74,66,63,66,71,59,2
122,92,112,118,92,84,103,83,79,79,70,63,66,83,74,87,74,3
83,67,75,83,67,71,75,67,71,67,70,70,74,79,70,75,66,7
67,52,51,67,52,55,54,62,59,54,56,55,56,53,59,53,66,5
77,58,79,81,62,66,75,63,66,63,67,57,67,77,67,73,64,7
85,62,83,85,62,66,83,63,70,63,67,64,71,77,71,81,64,7
85,67,75,85,67,70,83,70,74,66,75,68,71,81,71,77,68,7
67,54,51,67,50,52,46,63,56,59,59,72,56,48,52,48,60,5
113,116,45,85,71,43,27,129,43,133,42,135,42,30,42,28,127,2
77,67,61,89,79,52,46,66,56,66,49,72,52,42,52,42,72,5
104,78,96,100,81,79,95,79,79,75,82,76,78,92,82,92,80,4
104,81,96,104,81,79,99,83,83,83,85,80,82,102,85,106,83,3
92,74,96,100,78,79,91,72,79,75,74,69,78,88,82,92,76,7
80,63,83,88,70,75,84,72,75,75,67,69,70,79,74,84,73,7
80,63,63,76,66,59,57,68,59,68,57,73,57,53,57,56,65,5
84,63,49,84,70,56,48,64,59,72,57,65,53,49,50,49,87,5
101,79,95,97,79,89,106,83,85,80,97,94,97,111,88,102,83,3
82,68,81,82,64,67,75,69,70,69,72,72,68,77,68,73,72,7
97,76,92,97,80,84,102,83,84,83,92,88,92,107,88,103,81,3
82,62,79,85,65,68,73,57,68,61,68,56,68,71,68,75,59,7
93,73,84,89,76,72,81,72,72,72,68,74,68,75,68,75,67,7
111,91,102,106,83,97,116,96,97,92,93,96,97,116,93,111,92,3
106,83,98,102,83,97,112,92,92,88,97,96,93,111,93,116,96,3
82,61,85,86,68,71,75,59,68,63,71,67,71,79,75,83,67,7
90,72,81,86,72,68,75,67,68,70,67,67,67,72,71,72,67,5
90,76,52,78,72,60,61,74,56,74,71,71,67,68,63,61,79,5
94,98,31,98,113,43,31,117,40,121,48,108,48,37,44,29,121,2
94,87,34,90,87,46,34,103,46,96,41,112,44,32,48,37,100,2
122,96,116,122,96,97,116,96,93,96,99,92,95,118,95,118,92,3
118,85,112,118,92,97,111,96,97,96,95,92,95,113,104,113,96,3
75,56,71,71,56,67,68,54,67,54,66,59,66,71,66,71,55,7
83,70,57,79,70,63,58,75,63,71,70,74,70,75,63,67,78,5
104,117,42,96,96,44,29,121,44,116,46,118,46,34,40,29,122,2
104,103,39,91,96,44,32,112,48,100,43,103,40,32,43,29,107,2
109,87,107,109,92,95,113,89,90,89,92,90,92,112,92,108,94,3
74,54,72,74,58,66,71,55,66,55,71,60,67,73,63,70,57,7
96,96,34,100,100,43,27,125,46,122,46,120,42,32,46,30,127,2
104,104,32,109,104,43,29,107,43,107,46,113,39,30,42,30,113,2
117,89,109,117,89,92,108,86,87,83,89,87,85,97,82,88,73,3
117,89,113,112,92,87,99,83,83,79,85,80,82,88,78,84,69,3
66,55,67,73,55,63,66,57,63,57,60,55,63,67,63,71,55,7
88,74,79,96,78,83,99,75,79,75,78,76,85,97,82,92,80,7
96,78,79,92,81,79,84,75,71,79,85,76,82,92,74,84,73,7
80,66,71,73,66,63,66,68,63,68,70,76,67,79,70,79,80,5
80,66,75,80,70,63,70,68,67,72,70,80,70,84,70,79,73,5
80,70,75,88,70,67,73,72,71,72,70,73,70,79,74,84,76,7
104,114,29,112,122,46,32,116,46,120,47,111,44,31,44,31,122,2
92,92,32,104,107,49,40,101,46,113,42,129,44,34,50,37,119,2
119,90,112,114,94,93,115,90,93,90,92,91,92,111,97,115,94,3
72,53,70,75,53,63,67,51,60,55,64,54,64,69,64,69,57,7
82,64,77,82,64,67,75,58,63,55,72,57,68,77,64,73,61,7
82,68,91,97,75,78,92,73,78,76,76,76,76,85,76,98,76,7
105,79,99,105,75,78,92,76,85,76,76,76,80,98,80,94,76,7
75,60,66,68,60,67,75,65,67,62,72,76,72,81,72,85,72,4
78,55,67,74,55,64,69,57,64,57,68,56,64,75,64,75,59,7
78,58,75,78,58,68,73,57,72,61,64,59,68,75,64,75,59,7
97,80,75,93,76,72,81,76,72,79,80,78,80,91,80,99,88,7
97,76,88,97,76,72,85,79,68,83,71,81,76,99,76,95,92,4
74,57,73,74,61,64,75,63,68,56,67,58,67,72,67,75,58,7
82,61,77,74,57,64,75,59,68,59,67,58,63,72,67,75,58,7
82,61,77,74,61,68,75,63,68,59,67,58,67,72,71,72,62,7
98,79,66,106,98,71,83,74,71,81,67,67,75,79,75,83,71,4
67,56,75,71,52,63,68,54,67,54,66,55,63,71,66,75,55,7
75,59,79,79,63,71,79,58,67,58,66,63,66,79,66,75,59,7
75,59,75,79,63,67,72,58,67,58,63,59,63,75,63,75,55,7
85,62,72,70,50,74,83,66,66,55,71,68,71,81,67,77,57,7
81,58,79,77,58,66,79,59,66,59,63,57,63,77,67,73,60,7
85,62,79,85,62,66,79,63,66,63,67,60,67,77,63,77,60,7
93,71,79,100,83,70,79,66,70,74,71,75,71,84,71,84,72,4
122,96,118,122,96,96,117,98,96,94,97,90,89,102,82,88,73,3
104,85,104,104,81,83,103,86,87,83,85,87,85,106,89,106,87,4
96,70,83,88,66,71,84,64,71,68,78,73,67,79,70,79,62,7
80,63,75,80,59,67,77,64,67,60,67,62,67,79,63,71,62,7
73,55,71,73,59,67,73,57,63,57,63,55,63,71,63,71,58,7
93,72,81,90,72,67,84,80,67,76,68,87,64,89,64,81,72,4
97,101,40,97,105,60,56,83,63,73,68,68,72,94,76,94,76,2
110,87,106,105,87,88,106,87,88,87,88,88,84,107,84,103,85,4
85,62,84,82,58,68,81,65,68,65,71,70,71,83,68,79,67,7
82,62,79,82,58,72,77,61,68,61,68,67,68,75,68,75,56,7
82,58,75,82,62,68,81,61,68,61,71,67,68,79,68,79,63,7
82,58,79,74,58,68,77,57,68,54,68,59,68,75,64,75,59,7
78,61,89,94,76,64,75,59,68,63,63,58,67,75,63,75,58,7
78,61,73,74,57,68,75,56,71,56,67,58,67,75,67,72,58,7
74,65,77,82,65,64,79,63,71,67,71,67,71,83,67,83,67,7
74,57,73,78,61,64,75,59,64,63,67,62,67,79,67,79,67,7
90,76,73,86,72,68,75,63,68,70,67,58,67,68,67,72,62,7
79,63,99,104,85,63,75,58,67,67,66,59,66,75,66,75,59,7
104,85,116,122,99,67,83,67,79,87,66,63,66,75,63,71,59,7
108,88,103,108,85,84,103,83,84,83,82,89,82,96,82,100,81,4
75,56,75,75,59,67,72,58,67,58,70,63,66,75,70,79,59,7
79,59,79,79,63,67,75,62,67,62,63,59,63,75,63,79,63,7
79,59,79,79,59,67,72,62,67,62,63,74,63,60,59,56,85,7
122,96,112,122,99,75,111,100,71,100,66,100,66,113,66,113,100,1
96,74,91,91,70,71,79,67,71,62,66,59,63,63,59,63,52,7
100,79,95,93,75,86,100,81,82,78,87,83,87,99,79,99,83,4
93,75,91,96,75,82,96,78,78,74,87,79,79,99,79,95,75,4
77,58,75,77,58,66,79,63,70,63,71,64,71,81,75,88,68,7
123,100,116,123,100,78,113,96,74,100,75,101,79,112,79,112,98,1
100,79,95,100,79,63,67,59,70,70,67,60,63,66,59,70,60,7
76,59,79,80,66,67,77,60,67,64,60,65,63,75,63,79,62,7
117,100,113,122,100,67,112,98,67,98,67,101,67,111,63,111,97,1
82,64,77,79,60,60,67,65,63,62,57,72,57,59,60,66,65,7
124,101,108,135,98,63,115,101,67,101,64,102,64,115,60,111,98,1
72,60,66,68,57,67,67,62,67,58,68,57,64,66,64,69,57,7
78,62,75,78,58,68,77,61,64,61,68,63,64,79,64,75,59,7
105,83,97,105,80,84,102,83,84,79,84,78,80,95,84,99,85,4
82,65,94,102,79,68,75,59,68,70,67,62,67,75,67,79,62,7
82,61,69,78,65,71,79,63,64,67,79,83,79,91,71,72,58,7
98,87,59,98,87,60,51,74,56,70,55,50,51,51,55,51,54,5
120,98,115,125,98,71,112,99,68,96,71,96,71,107,67,107,96,1
120,102,106,111,91,68,116,103,68,96,67,100,71,111,71,116,100,1
74,57,66,71,54,64,75,59,68,59,67,62,67,68,63,68,58,7
79,63,75,79,59,67,79,62,67,62,66,63,66,79,66,79,63,7
100,78,87,91,67,75,91,71,75,62,70,66,78,83,74,87,66,7
118,99,112,122,96,71,107,96,67,96,66,92,66,109,66,109,96,1
122,99,121,122,96,67,116,100,71,100,66,100,66,113,66,113,100,1
128,96,103,113,88,71,116,100,71,96,70,100,70,113,70,118,100,1
89,71,83,85,67,74,87,70,78,74,71,72,75,88,75,88,68,4
81,67,79,85,62,56,56,74,56,66,52,72,52,54,52,57,64,5
128,100,116,123,100,70,113,100,70,100,71,101,67,112,67,112,98,1
109,83,91,93,79,70,113,96,66,89,67,101,71,108,71,108,90,1
84,63,83,84,66,75,84,68,75,75,78,80,78,92,78,92,83,7
66,41,49,56,33,63,66,34,52,42,78,69,60,63,50,46,44,5
93,68,91,93,72,74,84,65,74,69,72,68,76,85,76,85,68,4
93,72,84,90,68,74,88,69,78,73,76,68,76,85,76,94,72,4
79,72,51,79,72,60,56,80,57,73,64,79,60,55,57,55,72,5
68,57,77,75,64,60,67,58,60,58,64,57,64,66,64,62,57,7
85,69,97,101,83,68,81,65,72,72,68,67,68,83,68,83,67,7
101,83,102,110,87,72,89,72,80,87,68,63,68,83,76,91,81,7
82,73,53,78,69,57,55,72,57,61,64,74,60,61,60,57,67,5
67,51,53,74,58,53,52,57,53,68,53,52,53,54,56,57,63,5
78,69,53,74,69,57,55,61,53,61,53,63,53,54,53,54,67,5
119,94,111,119,97,68,111,98,64,98,68,99,64,112,68,107,96,1
70,58,67,70,55,60,69,57,60,57,60,56,64,64,60,68,56,7
70,55,71,70,58,60,62,57,64,57,64,56,60,68,64,68,56,7
71,46,52,71,57,53,51,52,53,59,55,46,51,54,55,58,58,5
78,68,52,82,72,56,57,63,60,59,55,58,55,54,55,54,62,5
78,65,55,74,57,56,57,59,53,63,55,58,51,54,55,54,58,5
125,102,115,120,102,68,107,99,68,99,71,100,71,111,71,111,104,1
91,70,83,91,67,75,87,67,79,71,78,74,74,87,74,87,74,4
87,67,91,96,81,71,79,62,71,67,66,66,66,79,66,83,63,7
79,63,54,75,59,55,54,58,55,62,52,52,56,56,52,56,59,5
87,63,79,87,67,55,68,71,63,71,56,78,59,71,63,87,78,5
122,99,112,122,99,67,111,100,67,96,70,100,66,113,66,109,96,1
122,99,99,108,85,71,111,100,71,96,66,100,70,113,70,113,103,1
89,71,87,93,71,78,87,70,78,74,75,72,79,88,79,88,72,4
89,67,87,96,75,66,83,63,70,66,67,64,67,77,67,81,64,7
96,75,79,89,75,82,91,81,82,78,67,68,75,91,79,95,79,4
70,58,64,70,58,63,67,59,63,55,67,60,67,66,63,66,57,7
88,78,71,88,78,75,91,86,79,90,93,97,93,120,82,120,101,3
96,74,91,100,78,67,99,83,75,79,70,94,67,106,63,92,80,1
117,100,113,122,100,67,108,98,63,98,67,94,67,106,67,106,94,1
122,103,109,122,96,63,112,98,67,98,63,97,67,111,67,106,94,1
122,96,96,104,89,67,108,98,63,94,67,97,67,106,67,111,101,1
93,72,91,97,72,78,92,73,82,69,80,72,80,94,80,94,72,4
75,68,73,82,72,53,49,58,60,65,60,57,53,49,64,69,72,5
105,83,84,90,68,82,102,90,74,80,84,94,84,106,84,102,87,3
114,98,108,119,98,67,106,94,67,94,64,94,64,106,64,106,98,1
119,98,99,110,94,67,106,94,67,101,68,98,68,111,72,111,98,1
68,57,63,68,53,63,71,58,63,51,64,61,64,73,64,66,57,7
89,69,88,89,69,76,89,68,80,68,71,70,76,87,76,87,70,4
119,94,106,114,90,68,106,91,68,91,71,88,71,103,68,107,92,1
124,94,106,114,94,64,106,98,64,94,60,92,60,99,64,103,92,1
114,90,106,119,94,64,102,94,64,94,64,96,64,103,64,107,96,1
115,91,89,102,79,68,107,92,64,85,71,96,71,107,63,107,92,1
94,79,89,98,83,56,91,81,60,88,63,92,63,99,63,103,92,1
115,94,106,115,98,60,103,92,60,92,63,87,63,107,63,99,92,1
115,98,106,120,94,60,99,92,64,92,63,92,63,99,59,99,92,1
91,70,87,87,70,75,83,67,75,67,74,66,70,83,74,83,66,4
75,52,54,75,59,63,61,54,59,54,63,59,70,75,63,56,55,5
91,70,91,96,74,75,87,75,79,75,82,85,82,91,78,91,78,7
118,92,99,104,85,71,107,96,63,92,70,92,66,104,63,104,92,1
96,78,79,91,74,67,99,83,63,75,74,100,70,109,66,100,85,1
96,71,87,93,71,74,91,70,74,66,75,68,75,84,71,81,64,4
118,96,107,113,92,95,109,96,90,92,96,98,92,108,87,99,90,3
113,92,103,113,87,63,104,92,59,92,59,90,59,99,63,99,90,1
92,70,87,92,66,75,84,68,71,64,67,58,63,75,63,71,55,4
117,92,104,112,89,87,99,90,83,90,89,94,85,106,78,115,97,3
117,96,104,112,92,59,103,94,63,94,57,87,63,97,60,97,87,1
117,92,104,117,92,63,103,90,59,90,60,87,57,92,57,92,83,1
112,92,104,112,92,59,88,90,59,90,53,87,57,88,60,97,94,1
108,89,100,104,89,63,99,86,67,83,60,94,63,102,67,97,80,1
82,68,81,82,64,63,75,55,63,55,64,57,64,69,64,73,61,7
82,60,73,79,57,63,67,58,63,58,64,61,64,73,68,69,57,7
72,57,73,79,60,63,71,58,63,58,68,57,64,73,64,73,57,7
114,94,103,110,90,60,97,87,57,87,57,87,57,85,53,89,87,1
110,86,88,110,90,53,92,87,57,87,53,83,53,85,53,85,83,1
110,90,99,114,90,57,88,87,60,94,53,83,53,85,57,98,91,1
101,86,95,101,83,63,102,87,67,80,64,94,64,106,64,106,94,1
114,94,106,114,94,80,111,94,76,94,84,99,76,112,71,103,88,1
110,90,102,114,90,53,85,83,57,83,53,81,53,83,50,75,74,1
105,87,97,119,94,53,85,83,57,91,46,78,50,79,56,87,92,1
119,94,111,119,97,57,98,91,60,98,50,78,56,87,60,103,92,1
106,87,106,111,91,88,103,88,88,92,88,87,93,103,88,107,96,3
87,67,79,83,59,67,83,71,71,67,70,63,70,83,78,91,78,7
89,67,87,96,79,86,104,89,90,85,96,94,92,108,92,99,86,3
100,83,79,96,75,56,83,85,63,89,56,79,59,91,59,91,86,1
100,83,79,96,79,52,79,78,52,78,56,83,52,81,49,73,75,1
109,79,91,96,79,66,109,96,63,89,67,98,75,108,67,99,86,1
109,92,91,104,87,70,113,100,70,100,67,90,67,103,67,99,86,1
80,63,83,92,70,87,99,83,87,86,89,87,85,106,89,102,87,3
88,74,83,88,78,71,77,72,75,83,70,73,67,71,78,88,83,7
112,92,91,100,81,63,95,86,56,79,63,94,57,97,57,84,80,1
104,85,91,108,89,52,84,86,52,79,50,76,50,75,50,71,76,1
92,78,75,88,78,56,81,79,52,79,53,80,57,84,57,75,73,1
100,81,87,108,85,56,84,79,59,86,57,87,57,88,60,92,87,1
122,96,109,122,96,67,108,98,75,98,67,94,67,106,70,111,97,1
68,57,73,72,57,67,75,62,67,65,80,76,80,98,88,111,91,7
114,90,108,119,94,89,106,94,93,97,88,87,88,111,92,111,94,3
105,86,81,101,79,50,75,76,50,76,50,76,50,66,53,69,72,1
82,68,70,82,72,53,71,73,53,76,57,76,53,73,53,73,79,1
105,83,84,93,83,60,88,87,57,87,53,83,57,89,60,94,87,1
97,83,106,114,94,76,89,87,84,94,76,74,76,95,80,107,96,7
105,90,84,101,80,57,94,87,53,87,53,88,50,83,53,79,81,1
89,76,75,89,80,60,73,76,60,79,56,74,64,83,64,95,85,1
105,83,84,101,80,57,85,83,53,79,56,78,56,87,56,83,81,1
119,97,102,114,90,72,111,98,68,87,68,96,71,112,68,112,92,1
105,80,92,97,80,68,89,83,68,83,68,92,71,103,68,99,88,1
110,87,92,110,87,64,98,87,64,87,64,85,60,99,64,91,88,1
110,87,92,110,90,64,85,87,68,94,60,85,64,91,71,91,92,5
110,90,88,110,90,68,89,94,72,94,64,88,71,91,76,95,99,5
93,76,71,85,65,68,69,68,60,68,60,70,53,54,56,57,67,7
85,65,63,74,65,60,66,68,60,68,53,70,56,57,56,61,67,7
111,87,106,106,87,88,107,85,84,81,88,87,88,103,88,103,79,3
98,79,85,98,83,56,87,78,56,81,67,87,63,95,63,95,87,1
102,87,98,111,87,60,91,85,56,85,63,87,59,95,59,91,87,1
113,85,103,104,81,88,103,87,88,79,90,89,86,100,86,104,89,3
108,85,103,104,81,93,107,87,84,79,82,78,90,104,90,109,89,3
96,81,83,100,81,67,95,87,63,83,63,92,63,100,63,96,89,1
104,85,95,108,88,55,91,87,63,87,52,85,56,87,63,87,85,1
122,103,112,122,92,67,111,96,71,100,63,96,66,100,66,104,103,1
104,79,95,100,79,86,104,89,86,85,87,86,92,112,96,112,98,3
96,79,103,113,92,78,87,81,86,89,83,83,87,103,87,99,86,7
89,75,68,85,71,49,71,78,49,74,46,75,49,73,49,73,79,1
89,79,95,109,87,59,83,81,59,85,56,79,56,84,63,99,94,1
123,96,103,118,96,70,113,96,70,100,67,98,75,112,71,112,101,1
118,96,103,118,92,70,109,100,66,100,75,101,71,112,71,112,101,1
118,129,32,113,125,52,53,114,49,125,52,105,49,45,46,32,135,2
113,125,32,118,129,49,40,125,46,133,49,124,46,32,46,30,139,2
118,96,99,118,96,70,96,92,70,92,56,79,63,88,67,84,94,5
67,62,61,70,62,52,53,66,59,63,52,68,52,60,59,63,68,5
100,81,87,104,85,56,84,86,63,94,57,80,57,88,57,88,83,1
112,118,53,108,114,52,54,105,49,124,60,97,47,40,44,31,136,2
101,83,103,110,90,89,102,87,85,87,84,87,88,106,84,98,87,3
93,83,81,101,83,53,84,87,50,80,53,76,53,77,53,77,76,1
93,79,81,93,79,53,79,76,57,80,53,76,57,77,53,77,76,1
119,90,99,114,90,67,102,90,63,90,60,83,60,85,64,98,91,1
97,105,45,110,124,47,40,122,44,136,60,94,53,59,50,31,128,2
114,135,34,110,124,44,31,133,44,136,44,131,44,31,47,31,124,2
114,87,92,101,87,84,98,87,72,87,88,92,76,95,68,99,88,3
110,94,88,101,83,53,85,83,50,76,53,85,50,75,50,71,78,1
93,83,79,97,83,64,81,83,64,83,64,81,68,87,60,83,81,1
114,90,106,114,90,64,98,91,68,94,56,74,64,83,68,99,88,1
