@relation satimage

@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
109,87,75,96,79,66,96,92,59,85,59,79,59,88,63,95,86,1
87,74,79,96,78,59,83,79,59,87,59,81,59,83,59,87,85,1
101,80,79,101,76,53,85,87,50,76,50,85,53,79,53,71,74,1
104,85,100,112,92,63,99,94,67,94,57,83,57,88,60,88,83,1
115,94,89,98,79,71,112,99,68,85,71,100,71,111,71,103,96,1
97,83,88,101,83,64,94,83,68,79,68,96,64,103,60,91,81,1
119,101,111,114,90,72,115,98,72,98,80,103,80,116,76,116,96,1
82,72,70,82,72,47,67,65,50,73,50,76,50,69,53,69,72,1
101,80,75,97,80,50,69,76,50,76,46,74,50,71,50,75,78,1
115,94,106,120,94,64,103,99,64,96,67,92,71,111,67,107,96,1
105,83,92,105,87,53,85,83,53,83,53,81,53,79,46,79,78,1
114,97,111,119,97,76,111,94,72,91,76,99,71,116,76,107,103,1
130,101,108,130,101,67,111,94,67,97,68,98,68,111,64,111,98,1
124,101,111,124,101,64,115,98,60,98,64,103,64,116,64,121,96,1
105,83,88,90,75,63,97,87,63,83,68,102,64,106,64,94,83,1
113,87,111,118,92,66,104,89,66,92,63,86,67,108,71,112,94,1
119,97,111,119,97,68,111,98,72,98,64,96,68,107,71,112,103,1
96,81,87,108,89,63,91,90,67,94,60,90,67,102,70,106,94,1
130,101,112,124,98,63,111,97,63,101,68,98,68,115,60,111,98,1
98,79,81,98,79,53,79,81,53,78,48,79,51,75,51,72,75,1
83,70,71,87,74,51,72,71,55,75,52,70,52,71,56,75,74,1
128,96,107,123,96,74,113,100,70,96,63,94,67,108,75,112,101,1
120,98,111,115,102,64,121,96,64,99,67,100,71,111,67,111,96,1
118,96,107,123,100,63,109,96,63,96,67,86,67,99,67,103,94,1
122,103,112,122,99,71,111,100,71,100,66,96,66,113,70,113,103,1
114,87,102,114,87,68,102,91,64,87,64,88,64,99,64,95,85,1
100,83,91,109,87,59,83,81,63,85,63,83,59,73,63,81,83,1
96,79,75,93,75,52,79,78,52,81,49,72,52,70,49,66,75,1
96,81,83,100,85,59,73,75,63,83,63,80,63,79,67,88,87,1
122,96,112,122,99,71,107,96,67,100,66,96,66,113,70,109,100,1
82,76,73,86,76,56,68,74,64,85,51,71,51,68,59,72,75,1
108,85,83,100,81,51,83,83,51,79,56,78,52,79,52,79,78,1
114,94,115,119,101,68,106,98,72,98,64,88,68,112,68,116,99,1
96,85,83,108,85,56,81,83,56,83,50,76,53,88,57,88,87,1
108,88,107,118,96,75,103,96,75,96,74,92,70,100,66,96,92,1
130,101,108,114,90,67,111,97,70,97,68,98,64,111,68,111,102,1
120,98,115,125,98,68,116,103,64,103,67,96,71,116,67,111,100,1
122,100,109,117,96,67,108,94,63,94,63,90,67,102,67,102,90,1
119,97,106,114,97,64,111,94,64,98,64,96,68,107,64,112,96,1
106,83,81,102,83,53,95,85,53,81,55,83,51,83,51,79,79,1
100,87,87,104,87,56,91,89,56,85,52,86,52,81,49,73,79,1
108,92,100,108,96,63,99,94,63,90,60,87,63,92,63,92,87,1
82,76,66,86,76,53,64,74,53,67,51,71,48,61,51,61,71,1
88,78,71,88,74,49,73,79,49,79,47,73,50,75,50,79,76,1
118,96,107,113,92,66,104,92,63,92,59,90,59,95,59,91,86,1
114,98,108,124,98,67,115,101,67,94,68,98,68,115,68,115,98,1
100,85,79,96,81,63,95,86,63,83,60,83,63,84,63,84,80,1
98,83,89,102,87,64,87,85,68,88,75,87,71,95,75,91,92,1
110,94,95,105,90,63,92,94,63,87,57,83,60,85,60,85,87,1
119,98,103,114,90,70,106,90,67,94,64,91,64,98,60,98,87,1
94,79,81,98,79,60,79,81,64,85,59,79,63,87,63,95,83,1
89,73,71,85,73,53,77,76,53,76,53,78,53,75,53,71,74,1
108,85,83,100,85,63,95,87,63,83,63,89,63,100,63,104,92,1
114,97,102,114,90,64,102,94,64,94,64,92,64,103,64,103,99,1
96,75,83,96,79,63,91,89,59,85,59,86,59,91,56,88,83,1
93,83,84,97,83,63,75,80,63,80,60,76,60,81,68,89,87,1
89,76,71,82,73,53,77,79,50,76,50,78,56,75,56,68,67,1
104,85,83,100,81,49,73,79,49,79,50,76,47,67,47,71,73,1
118,96,103,118,96,66,100,92,66,96,67,83,67,95,63,91,79,1
86,72,70,86,72,53,79,76,53,73,53,76,57,77,57,73,72,1
105,94,97,110,94,64,98,91,57,91,68,88,60,91,53,87,85,1
119,97,111,124,97,68,111,98,68,98,64,99,68,107,68,112,99,1
98,83,85,102,79,56,87,81,56,81,63,87,63,95,67,95,87,1
124,94,111,119,97,72,111,98,72,98,64,96,64,112,68,107,96,1
94,76,77,90,76,56,83,78,56,81,59,79,71,99,67,103,87,1
128,103,116,122,99,67,111,100,67,100,66,100,66,113,66,113,100,1
100,81,87,100,81,56,81,79,52,75,57,90,57,84,50,79,76,1
114,97,88,110,97,68,102,94,60,94,71,96,64,91,60,91,88,1
115,91,89,102,83,68,87,88,60,78,75,87,67,83,59,72,71,1
96,79,83,96,83,56,75,74,56,78,56,79,56,81,59,84,83,1
84,70,75,92,74,56,73,75,59,79,53,73,53,71,53,75,76,1
114,94,99,114,90,70,106,94,67,90,68,94,72,106,72,106,94,1
118,100,111,123,100,66,109,100,66,96,67,98,67,108,63,103,94,1
114,90,106,114,90,60,94,87,64,91,43,125,46,48,53,75,92,1
89,73,79,89,73,68,89,79,64,72,76,96,68,99,68,91,78,1
114,94,95,105,86,63,97,94,57,90,60,91,57,102,57,94,87,1
97,79,73,86,79,47,67,73,47,73,53,72,50,66,50,66,76,1
93,75,79,96,79,56,83,85,56,81,56,83,56,88,56,88,83,1
97,83,77,90,75,63,79,80,60,80,60,79,68,89,68,98,91,1
112,89,104,112,92,67,108,98,71,94,67,94,67,111,63,111,94,1
120,102,115,125,102,97,121,103,88,96,75,92,79,111,79,107,92,1
96,83,87,96,83,56,79,81,59,81,59,83,56,81,56,81,79,1
110,97,40,105,122,60,89,94,53,113,64,92,60,91,60,83,92,1
108,92,100,117,96,59,99,90,59,90,60,83,57,92,57,97,87,1
101,86,88,101,83,50,79,80,53,83,57,76,57,81,57,85,79,1
115,94,94,111,87,53,95,88,50,85,51,87,51,83,48,75,75,1
100,87,83,104,83,52,79,78,49,81,56,83,52,77,52,73,75,1
112,89,100,112,92,67,103,94,71,98,67,94,70,106,70,106,94,1
118,92,87,109,96,66,109,100,66,100,71,101,71,112,71,112,98,1
100,83,87,100,87,63,104,92,63,89,67,94,67,103,67,99,94,1
89,80,84,97,80,60,77,79,60,83,64,85,64,95,64,99,92,1
119,94,111,124,94,68,111,98,64,102,71,96,71,112,68,112,99,1
98,83,85,98,87,56,91,85,56,85,59,87,55,87,55,91,87,1
125,98,115,125,98,64,112,96,64,96,71,100,71,111,71,107,96,1
100,85,99,108,92,63,95,92,63,92,63,89,66,96,66,100,92,1
115,102,115,125,102,64,116,99,64,96,71,100,67,111,67,111,100,1
113,87,95,113,92,63,96,89,63,89,63,90,63,103,59,99,90,1
90,76,81,90,79,60,91,85,64,88,67,92,71,103,67,103,92,1
122,100,109,122,100,67,108,98,67,94,67,76,63,102,67,102,94,1
119,98,112,119,94,67,111,94,63,94,68,98,68,111,64,111,102,1
120,102,115,125,98,80,116,103,80,99,75,100,75,116,75,116,100,1
119,94,88,105,86,78,97,97,70,83,88,102,88,111,76,89,76,1
102,83,85,94,72,76,112,99,68,88,84,96,75,107,67,107,92,1
82,73,75,89,76,53,73,76,53,79,64,88,60,83,53,75,74,1
114,90,102,114,90,60,85,83,64,91,60,78,56,68,64,83,88,1
118,96,99,113,92,74,109,96,66,92,67,90,63,99,59,91,90,1
108,85,95,104,85,67,103,92,63,92,70,100,66,113,66,109,100,1
128,99,116,128,103,75,116,100,75,100,78,96,74,113,70,113,96,1
100,81,91,100,81,67,99,87,71,87,66,100,66,109,63,109,92,1
96,79,83,104,83,59,91,85,56,78,59,86,56,88,56,84,83,1
82,75,77,93,79,53,75,73,53,80,53,72,53,73,53,73,76,1
104,87,83,96,79,66,87,89,70,89,67,83,59,77,59,73,79,1
114,90,92,105,80,68,102,87,68,83,71,103,68,112,71,103,88,1
119,94,103,114,94,67,102,90,63,94,64,91,68,106,68,111,98,1
112,92,109,122,96,67,95,86,67,86,67,76,63,79,67,84,76,1
123,100,107,118,92,63,96,89,66,92,59,90,59,99,59,99,90,1
122,96,116,122,99,71,111,100,67,96,66,100,66,113,66,113,100,1
105,87,88,105,87,53,85,83,57,87,60,81,56,83,56,91,85,1
104,87,95,100,83,66,100,89,66,85,67,98,67,103,63,91,83,1
130,98,112,124,98,63,111,97,67,97,64,98,68,111,68,111,98,1
114,94,106,114,94,72,106,94,76,94,76,103,76,112,76,112,99,1
109,92,107,118,96,52,83,81,59,85,56,83,56,84,59,88,86,1
109,87,95,104,87,70,104,92,63,89,67,94,63,95,63,95,90,1
96,81,83,96,81,75,91,92,75,87,63,85,63,83,66,87,85,1
125,98,111,115,94,68,112,99,76,99,67,100,67,111,71,111,96,1
114,94,108,114,94,70,111,97,70,94,72,94,72,106,76,111,94,1
120,102,111,115,94,84,116,99,76,92,79,96,71,103,67,99,87,1
115,94,111,115,94,76,107,99,71,99,71,96,75,103,75,103,96,1
104,81,96,104,81,63,99,86,59,86,63,97,63,106,60,97,94,1
91,78,68,83,74,59,72,71,55,75,70,89,63,79,56,63,70,1
119,94,108,114,94,63,106,94,63,90,64,98,64,106,64,102,94,1
101,83,84,97,83,53,84,83,53,83,57,83,57,85,57,85,83,1
100,88,83,104,88,63,87,87,63,87,66,92,66,87,63,83,85,1
118,88,91,104,85,63,83,83,63,83,56,74,56,75,59,79,81,1
96,85,87,96,78,63,91,83,63,75,63,94,63,97,63,88,83,1
117,96,109,112,96,71,108,98,67,98,67,101,67,111,67,115,101,1
118,96,107,118,96,66,113,96,66,96,67,94,63,108,63,112,94,1
111,98,111,120,102,64,99,92,68,99,63,92,63,103,71,103,96,1
122,99,112,128,99,71,111,96,67,96,70,92,70,100,66,104,96,1
114,90,106,114,94,68,89,87,64,91,64,85,68,91,68,91,85,1
118,96,116,122,99,79,111,100,75,100,66,81,74,100,78,113,96,1
109,96,99,113,92,66,96,92,63,81,63,90,59,91,59,91,86,1
109,87,91,109,87,66,100,89,66,92,56,79,59,84,59,88,86,1
122,96,107,118,96,84,103,96,71,92,78,96,78,104,74,83,89,1
115,98,111,115,98,71,107,96,71,96,71,96,71,111,71,107,100,1
119,94,106,119,97,64,106,94,64,102,64,99,64,107,68,112,96,1
122,96,103,113,92,79,107,100,67,96,95,96,86,104,74,104,96,1
85,73,75,89,76,50,73,76,53,76,50,74,53,75,53,75,78,1
100,81,87,100,81,63,103,92,67,87,66,100,66,113,66,109,100,1
119,97,106,114,94,64,106,94,64,94,64,88,64,103,60,103,92,1
128,99,112,122,99,67,111,100,71,96,66,100,66,109,66,109,96,1
111,91,94,111,91,68,107,92,68,92,71,92,71,107,71,103,92,1
90,72,62,78,68,53,71,74,53,74,55,75,51,75,51,68,75,1
92,74,79,92,78,56,84,79,56,79,50,80,53,84,57,84,76,1
85,76,71,89,76,53,66,76,60,76,53,67,56,68,64,83,85,1
114,90,102,114,90,60,89,83,60,83,68,88,60,75,56,68,74,1
87,78,75,91,81,55,79,79,51,75,49,74,52,79,52,79,81,1
111,91,94,102,79,71,112,99,68,88,75,100,71,111,67,107,96,1
122,100,113,127,100,63,108,101,67,98,63,101,63,115,67,111,101,1
119,94,111,114,97,68,102,94,72,94,71,92,71,103,71,107,96,1
114,87,92,114,87,57,85,79,53,87,53,78,53,79,53,87,88,1
125,98,111,120,98,64,116,99,64,96,67,100,67,116,71,111,100,1
96,81,83,96,78,51,75,79,51,75,49,70,49,67,49,71,78,1
124,97,115,119,97,68,111,94,68,94,68,99,76,112,71,112,96,1
124,101,112,130,98,63,111,104,63,97,64,98,64,111,68,111,98,1
115,94,111,120,98,64,103,96,68,96,67,92,67,107,67,107,96,1
93,79,73,90,75,50,71,76,47,69,53,72,53,69,50,66,72,1
105,86,95,110,86,60,75,83,63,83,60,79,60,73,60,73,79,1
111,91,98,111,91,71,99,88,60,88,79,96,67,99,55,87,87,1
128,103,121,128,103,75,107,92,79,100,63,81,63,87,63,96,89,1
97,80,71,93,80,60,85,79,60,83,60,85,64,87,64,83,88,1
100,81,87,104,81,59,91,86,59,90,57,87,57,88,57,88,83,1
88,81,83,100,81,56,81,79,56,79,50,80,53,79,57,79,80,1
114,90,111,114,90,64,98,91,68,91,46,107,53,75,64,95,88,1
127,103,113,122,103,67,108,98,63,98,63,94,63,106,63,111,97,1
104,88,99,113,88,67,95,92,63,87,82,89,74,96,63,96,92,1
118,96,103,108,88,59,87,87,55,83,56,89,56,87,56,83,81,1
85,75,72,89,75,49,71,74,49,78,46,72,49,70,49,73,75,1
118,96,112,122,103,71,107,96,71,100,66,96,66,104,66,113,100,1
101,79,99,110,86,63,92,80,63,83,68,91,64,89,60,85,79,1
105,83,97,110,87,60,85,79,64,83,64,85,56,91,60,95,88,1
96,70,79,96,81,55,79,79,59,79,56,78,56,83,56,83,78,1
90,76,77,94,79,56,75,74,60,81,55,75,59,79,63,87,83,1
115,98,106,115,94,71,103,96,68,96,71,96,71,103,71,99,92,1
123,100,116,123,100,74,113,100,70,96,79,101,79,112,71,108,98,1
89,76,67,93,76,50,73,76,50,79,50,78,50,79,46,79,78,1
114,90,97,105,80,72,115,98,72,91,80,99,76,116,71,112,99,1
86,72,66,82,68,53,71,73,53,73,60,76,57,73,53,73,76,1
108,85,96,112,92,59,88,86,59,86,57,83,60,92,60,88,87,1
110,94,103,119,94,63,97,90,67,97,60,87,64,98,68,106,98,1
120,98,102,111,87,71,112,103,68,92,67,96,67,111,71,111,100,1
106,83,111,120,94,71,103,96,76,99,75,87,79,111,75,111,100,1
101,83,99,101,79,67,106,90,63,80,68,91,68,102,64,89,79,1
122,96,112,118,96,71,111,100,75,100,70,96,70,113,74,113,96,1
97,80,84,101,83,53,73,76,53,76,53,78,53,79,53,79,81,1
102,83,89,106,83,53,83,85,50,74,51,79,51,72,51,68,71,1
100,85,83,104,81,51,79,79,51,79,56,81,49,75,52,67,78,1
81,67,64,85,71,46,75,78,46,74,52,79,49,73,49,77,75,1
122,100,109,122,96,63,112,98,63,98,67,97,67,106,67,111,94,1
119,94,102,119,94,64,102,94,64,94,64,96,64,107,64,107,92,1
104,92,91,108,88,59,75,83,59,92,70,96,63,83,59,79,81,1
94,79,81,102,83,46,79,78,50,81,48,79,48,68,48,75,79,1
101,79,77,79,68,67,106,90,63,83,72,98,72,111,68,102,87,1
90,76,69,90,76,46,71,74,50,74,51,83,51,83,51,79,79,1
114,87,97,110,87,64,98,87,64,87,64,88,64,95,60,99,85,1
104,89,87,92,78,71,108,90,63,75,67,97,70,111,70,97,87,1
113,88,95,113,88,67,103,92,71,92,70,92,70,109,70,109,96,1
93,83,60,93,80,60,73,83,53,83,64,88,64,79,56,71,85,1
96,81,87,104,85,63,91,83,67,92,63,85,59,87,66,96,89,1
109,87,99,109,92,63,87,85,63,89,56,86,59,81,59,88,86,1
94,79,73,90,76,56,75,74,56,67,51,75,55,72,55,68,71,1
124,98,108,130,101,67,111,94,63,97,68,98,68,115,68,115,98,1
122,100,113,127,100,67,112,98,63,98,67,97,63,111,63,120,101,1
109,92,95,104,87,66,83,81,66,89,67,83,67,84,59,77,75,1
123,96,107,113,96,66,109,96,66,96,67,98,67,112,71,108,98,1
113,92,87,104,87,66,104,92,59,85,63,90,59,91,56,84,83,1
104,92,95,100,83,66,104,92,66,89,67,86,67,95,67,88,86,1
115,94,106,115,94,64,103,92,60,92,63,92,63,103,63,107,92,1
122,99,112,128,96,71,111,100,71,96,63,96,63,109,63,109,96,1
124,104,111,119,97,64,111,98,68,98,64,96,64,107,68,107,96,1
118,92,103,118,96,67,103,92,67,96,63,89,63,100,63,104,92,1
122,103,113,122,103,67,112,98,63,98,63,104,63,111,67,111,97,1
111,91,85,102,83,53,87,85,50,78,55,83,51,75,51,64,75,1
109,87,99,113,92,59,87,85,63,92,56,86,63,99,67,99,94,1
122,99,112,118,99,71,111,96,71,96,66,92,66,113,66,109,96,1
100,81,83,96,85,67,83,87,59,83,66,78,63,79,66,91,92,1
93,79,81,97,83,53,84,80,57,83,53,76,53,73,53,77,76,1
97,80,79,85,80,60,81,79,68,87,60,85,64,91,64,95,88,1
125,98,115,120,98,80,116,99,76,96,75,100,75,116,75,111,100,1
102,83,81,90,76,60,87,85,60,85,63,83,67,95,71,103,92,1
96,78,87,104,92,51,79,79,55,83,56,85,56,83,56,79,81,1
111,91,111,115,98,68,112,96,71,96,71,87,71,111,71,111,100,1
123,100,111,123,100,63,113,96,63,96,63,98,63,112,63,108,94,1
108,88,112,118,96,71,103,87,71,96,63,74,63,91,66,104,89,1
96,79,72,85,71,70,96,89,63,78,59,75,59,73,59,73,75,1
89,75,79,89,71,66,100,85,63,74,67,98,67,103,63,88,79,1
119,98,112,114,98,67,106,97,67,94,64,91,64,106,64,106,94,1
114,90,103,119,90,63,97,90,67,90,68,91,60,89,60,85,83,1
114,90,99,114,90,57,97,94,53,83,57,91,53,85,50,73,76,1
101,83,71,89,76,50,73,76,50,72,50,78,50,71,50,68,74,1
108,85,91,104,88,67,103,92,63,87,59,81,63,87,63,91,89,1
90,76,73,94,79,50,79,78,46,78,51,79,48,72,48,68,75,1
120,98,111,120,98,64,112,99,68,96,67,96,67,111,67,111,100,1
105,87,88,97,83,64,106,91,64,83,68,103,68,112,64,103,88,1
122,100,109,112,92,79,103,90,71,90,70,90,67,102,63,97,87,1
109,87,95,100,87,63,96,89,66,89,63,90,63,99,63,103,90,1
114,97,102,105,87,68,111,94,68,94,71,96,68,112,68,112,96,1
123,100,111,123,96,63,109,96,63,96,63,94,63,108,63,103,94,1
96,83,79,96,83,56,75,78,59,81,56,83,59,84,59,81,83,1
117,100,109,117,100,71,112,101,71,101,67,97,67,106,70,111,101,1
112,89,87,108,85,59,95,86,56,83,63,90,63,106,60,92,87,1
118,100,111,123,100,66,113,100,70,103,63,98,67,112,67,112,98,1
106,91,94,111,91,68,103,92,68,92,71,92,71,107,71,107,96,1
122,96,113,127,96,67,108,98,67,98,67,94,67,111,67,111,94,1
74,67,61,77,71,52,63,70,49,66,49,75,52,66,52,70,72,1
106,87,98,111,91,64,95,88,68,88,67,92,71,103,71,103,92,1
122,96,113,117,96,63,108,94,63,94,63,94,63,111,63,106,97,1
114,90,99,110,86,63,111,97,63,90,57,91,60,106,64,106,98,1
123,100,111,118,96,70,100,92,70,96,71,94,75,108,75,103,98,1
119,94,111,119,97,68,111,98,64,94,64,88,64,107,68,107,96,1
104,85,91,108,85,59,91,87,55,87,63,89,59,96,52,87,85,1
124,94,108,124,94,63,106,90,63,90,53,91,60,94,64,98,91,1
89,80,84,97,80,68,98,91,64,91,64,88,68,103,68,103,92,1
118,92,103,118,96,63,100,89,66,92,63,86,67,95,67,95,79,1
110,86,112,119,98,63,88,83,67,87,64,79,60,85,64,89,83,1
110,90,99,114,90,67,97,94,57,94,64,91,57,94,53,85,83,1
118,99,107,122,96,67,107,96,71,100,63,96,63,109,66,104,96,1
118,96,107,113,96,71,107,96,67,96,59,85,63,96,66,100,92,1
94,76,81,90,76,60,83,81,60,85,63,83,67,83,59,83,83,1
98,76,81,98,83,56,87,85,56,81,59,87,63,99,67,99,87,1
93,80,79,89,83,60,81,79,64,83,68,81,64,87,60,83,85,1
79,74,79,91,78,51,75,79,55,79,56,74,56,79,49,75,78,1
104,88,79,104,85,55,91,87,55,87,74,96,66,104,56,91,89,1
122,92,107,122,96,67,103,96,67,96,66,92,66,104,63,104,92,1
118,96,87,100,79,70,113,103,66,96,67,98,63,112,67,108,98,1
102,79,85,94,79,64,99,85,56,81,71,96,63,107,63,99,87,1
117,96,113,122,96,67,103,94,63,94,67,90,63,102,63,111,97,1
106,87,98,111,87,64,95,85,60,85,59,83,63,95,63,95,83,1
90,76,77,90,76,60,87,85,60,85,67,87,63,91,59,75,79,1
102,83,77,98,79,50,79,81,53,81,48,75,48,75,51,75,79,1
127,100,113,127,100,71,112,101,67,101,67,101,67,120,70,115,101,1
113,92,107,113,92,63,87,81,63,81,59,86,59,91,59,95,90,1
118,96,112,122,96,71,111,100,71,100,66,89,70,113,70,113,96,1
124,101,111,124,101,64,106,98,64,98,60,96,64,107,64,107,96,1
91,74,68,83,67,55,72,71,55,71,52,74,52,71,52,71,70,1
