@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R6-8,13,16,19,21,25,28-30,32,35-36,38,41-50,52-54,61-62,64-65,67-68,72-73,75,78-80,82-84,86'

@attribute MGODRK numeric
@attribute MGODPR numeric
@attribute MGODOV numeric
@attribute MFALLEEN numeric
@attribute MOPLHOOG numeric
@attribute MBERHOOG numeric
@attribute MBERBOER numeric
@attribute MSKA numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHHUUR numeric
@attribute MAUT1 numeric
@attribute MZFONDS numeric
@attribute MZPART numeric
@attribute MINK3045 numeric
@attribute MINK123M numeric
@attribute MINKGEM numeric
@attribute MKOOPKLA numeric
@attribute PWAPART numeric
@attribute PWABEDR numeric
@attribute PWALAND numeric
@attribute PPERSAUT numeric
@attribute PBESAUT numeric
@attribute PMOTSCO numeric
@attribute PVRAAUT numeric
@attribute PTRACTOR numeric
@attribute PWERKT numeric
@attribute PBROM numeric
@attribute PPLEZIER numeric
@attribute PFIETS numeric
@attribute PBYSTAND numeric
@attribute AWAPART numeric
@attribute AWALAND numeric
@attribute APERSAUT numeric
@attribute AAANHANG numeric
@attribute ATRACTOR numeric
@attribute ABROM numeric
@attribute AGEZONG numeric
@attribute AWAOREG numeric
@attribute ABRAND numeric
@attribute APLEZIER numeric
@attribute AFIETS numeric
@attribute AINBOED numeric
@attribute CARAVAN {0,1}

@data
0,5,2,2,3,2,0,2,5,0,2,7,8,1,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,3,0,0,1,1,7,0,3,5,8,1,1,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,6,3,5,5,9,0,5,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,6,1,2,1,1,1,1,5,2,2,7,7,2,4,0,4,3,3,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0
2,5,1,0,4,3,0,2,2,1,1,8,6,3,3,1,5,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,4,1,2,4,3,0,3,3,1,6,6,3,6,3,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5,2,3,0,1,0,1,5,1,4,7,9,0,7,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
9,0,0,3,2,2,1,2,3,1,2,4,7,2,2,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,3,0,8,8,4,0,5,2,0,8,5,3,6,1,1,6,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7,0,2,0,0,0,0,4,1,9,7,5,4,4,0,3,7,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1
0,5,1,0,2,4,0,3,4,1,3,5,6,4,5,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,6,2,0,1,1,0,1,6,3,8,6,8,1,4,1,3,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,5,1,3,2,1,1,1,5,1,4,6,7,2,5,0,3,5,3,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1
2,5,0,0,2,2,0,2,4,0,3,7,6,3,0,0,5,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,0,2,0,0,2,1,6,0,2,4,8,1,2,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,1,2,2,2,1,2,3,1,5,7,4,5,2,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,1,1,2,1,2,5,2,2,4,7,2,3,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,4,1,1,1,1,1,1,3,1,3,4,7,2,3,1,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,5,1,2,2,2,1,2,3,2,4,6,6,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,3,0,0,4,0,9,2,3,6,0,2,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8,1,4,1,2,0,2,4,0,9,7,6,3,3,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,6,1,6,0,0,1,0,7,2,9,1,8,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1,2,1,0,2,3,0,2,2,0,0,7,6,3,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,2,5,2,2,0,2,2,0,5,5,5,4,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,2,0,6,6,0,7,0,0,0,7,2,7,0,0,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,9,0,3,0,3,0,3,3,0,3,5,7,2,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,4,1,6,3,1,0,0,4,0,9,3,6,3,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,2,4,1,2,0,2,3,2,6,6,8,1,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,0,3,0,2,2,2,2,0,2,6,3,6,7,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2,5,2,0,4,3,0,2,2,1,0,9,4,5,2,0,5,7,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,6,0,0,2,2,0,3,4,0,2,7,2,7,5,0,4,1,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,4,2,0,0,0,0,0,6,0,3,6,9,0,5,0,4,3,2,0,0,5,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,3,3,1,0,1,0,1,5,0,3,6,8,1,6,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,0,3,2,4,0,5,2,0,4,7,7,2,4,0,5,6,2,0,0,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0
0,6,1,1,1,1,1,1,6,1,5,5,6,3,5,0,3,3,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2,2,2,0,2,2,0,2,6,0,9,7,4,5,9,0,3,4,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,5,0,6,3,0,0,0,2,2,7,5,7,2,4,0,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,4,1,5,1,2,0,2,5,1,7,6,7,2,3,0,3,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,5,0,0,0,4,0,0,5,1,1,9,4,5,4,0,4,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,7,2,0,2,2,0,2,0,0,0,7,7,2,6,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,5,1,3,2,1,1,1,5,1,4,6,7,2,5,0,3,4,0,0,4,6,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0
0,7,1,2,1,2,0,2,5,1,3,6,5,4,3,0,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,4,1,3,0,0,0,0,6,2,9,5,9,0,4,0,3,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,6,0,0,0,3,0,0,5,4,9,6,7,2,4,0,4,1,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,7,0,0,0,0,0,0,5,0,2,5,9,0,5,0,4,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,1,0,4,5,0,2,2,0,0,7,2,7,2,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,6,3,5,5,9,0,5,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,5,0,2,6,6,3,4,0,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,6,1,2,1,2,1,1,4,1,2,5,5,4,4,1,4,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,7,0,1,1,1,3,2,4,0,2,5,6,3,4,0,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,1,1,5,0,1,0,1,2,0,2,5,8,1,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,4,1,2,1,2,1,2,4,1,3,6,6,3,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,6,3,5,5,9,0,5,0,2,3,2,2,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,4,0,4,1,0,0,0,5,0,7,7,9,0,4,0,4,2,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,4,0,2,0,0,0,0,6,2,4,5,8,1,4,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,7,0,0,4,4,2,3,3,0,0,6,3,6,3,0,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,7,0,1,2,1,0,0,5,0,0,9,6,3,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,3,2,3,0,2,2,5,1,5,7,2,4,0,2,5,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,6,0,2,4,7,0,7,2,0,0,9,4,5,5,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,7,2,0,2,2,0,2,0,0,0,7,7,2,6,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,0,0,2,0,2,5,2,0,4,6,3,5,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,3,0,2,0,1,4,3,9,5,5,4,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,6,1,2,0,0,1,0,6,2,6,5,8,1,1,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,3,2,4,0,2,0,0,4,0,4,7,7,2,5,0,3,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,4,0,0,5,0,5,6,8,1,0,0,7,6,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,3,3,1,0,0,0,0,6,3,9,7,7,2,2,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,1,2,2,2,0,2,5,1,7,7,9,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,4,0,0,0,2,2,0,6,6,8,1,0,0,2,3,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
0,6,1,0,3,5,0,4,2,1,0,8,4,5,2,1,6,6,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
1,5,1,1,4,4,0,3,2,0,1,7,4,5,3,1,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,2,4,0,0,0,0,4,0,7,7,9,0,5,0,3,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,2,3,2,0,0,0,0,3,0,4,9,7,2,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,0,0,0,7,2,9,7,9,0,4,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,5,1,1,0,1,0,1,6,1,8,6,9,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,6,4,2,0,1,7,2,8,8,9,0,5,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,7,0,2,4,3,0,3,2,0,0,6,5,4,4,0,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
5,3,1,1,1,1,0,1,3,0,1,9,5,4,2,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,4,2,0,6,0,0,0,3,0,0,6,7,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,5,0,0,0,0,4,0,9,7,9,0,4,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,4,2,0,0,0,0,0,5,4,9,6,7,2,4,0,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,9,0,2,0,0,2,1,7,2,4,3,7,2,2,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,2,0,2,5,2,0,4,6,3,5,0,3,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,4,1,4,0,0,0,0,5,1,7,6,5,4,3,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,9,0,5,5,0,0,0,4,0,5,9,4,5,9,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,5,3,7,0,4,1,0,0,9,2,7,2,0,4,8,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0
0,4,2,2,2,3,0,3,3,1,3,7,5,4,3,0,4,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,8,1,0,2,3,0,3,4,0,0,7,6,3,6,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,5,3,1,0,0,0,0,4,0,8,4,9,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,6,1,2,1,1,1,1,5,2,2,7,7,2,4,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,3,0,6,0,9,7,9,0,5,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4,1,0,4,0,0,3,0,0,0,6,5,4,3,2,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,5,2,0,2,3,2,4,4,0,1,7,6,3,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,1,1,1,1,1,2,1,2,4,7,2,3,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,4,4,1,4,3,0,4,6,4,5,2,0,5,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,3,0,0,0,0,0,0,0,0,4,6,3,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,3,0,0,5,4,9,6,7,2,4,0,4,1,2,0,0,5,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,5,1,0,1,3,0,3,4,1,2,6,6,3,4,0,3,5,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0
0,4,1,3,1,2,0,1,3,3,8,6,8,1,4,0,2,3,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,5,0,4,0,0,3,0,4,0,9,6,9,0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,5,2,0,2,2,3,1,3,1,1,8,5,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,0,2,0,0,0,7,0,0,6,4,5,3,0,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,5,3,4,1,2,1,2,4,1,4,6,7,2,2,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,9,0,4,0,0,2,0,6,0,0,3,7,2,3,0,2,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4,1,5,1,2,0,2,5,1,7,6,7,2,3,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,2,0,2,2,0,3,0,0,9,5,2,7,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,4,0,2,3,2,0,2,1,0,2,7,5,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,4,1,2,0,0,3,2,3,4,3,5,7,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,1,1,1,1,0,1,3,1,5,7,7,2,4,0,3,3,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,4,0,4,1,0,4,4,0,7,7,6,3,1,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,5,3,3,0,0,7,1,2,4,0,5,4,5,3,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2,5,1,2,0,1,7,0,8,6,7,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,0,8,6,3,0,1,3,1,6,3,3,6,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,1,0,1,4,1,4,1,1,7,8,1,3,0,5,4,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,3,1,4,1,2,0,1,2,6,9,7,9,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,7,0,4,0,1,1,1,5,2,5,5,8,1,1,0,3,1,2,0,0,5,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,3,3,1,0,0,0,0,6,2,9,7,7,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,1,1,1,1,5,0,9,5,5,4,4,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5,1,0,4,3,0,2,2,1,1,8,6,3,3,1,5,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,2,0,0,0,0,0,6,0,3,6,9,0,5,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,4,1,2,1,1,1,1,4,1,5,6,8,1,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0
2,4,4,4,2,4,0,4,0,4,0,4,5,4,5,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,0,3,0,0,4,0,0,6,5,4,6,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,1,0,2,4,0,3,4,1,3,5,6,4,5,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,6,1,0,0,0,6,3,9,5,9,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,6,1,0,0,0,6,3,9,5,9,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,4,0,0,3,0,0,0,6,5,4,3,2,8,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,3,1,0,4,6,0,6,1,3,0,9,4,5,3,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,3,0,1,5,0,5,8,6,3,2,0,6,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,1,1,0,0,0,6,3,8,6,7,2,6,0,3,4,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,5,1,0,3,2,0,2,1,1,2,7,5,4,2,1,6,7,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
