@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1,10,17,19-22,24,26-30,38,41,43-44,51-52,56,60,63,68,71,76,78-81,85-86'

@attribute MOSTYPE numeric
@attribute MRELGE numeric
@attribute MOPLMIDD numeric
@attribute MBERHOOG numeric
@attribute MBERZELF numeric
@attribute MBERBOER numeric
@attribute MBERMIDD numeric
@attribute MBERARBO numeric
@attribute MSKB1 numeric
@attribute MSKB2 numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHHUUR numeric
@attribute MINK3045 numeric
@attribute MINK123M numeric
@attribute MKOOPKLA numeric
@attribute PWAPART numeric
@attribute PAANHANG numeric
@attribute PTRACTOR numeric
@attribute PPERSONG numeric
@attribute PZEILPL numeric
@attribute PINBOED numeric
@attribute APERSAUT numeric
@attribute AVRAAUT numeric
@attribute ALEVEN numeric
@attribute AGEZONG numeric
@attribute AWAOREG numeric
@attribute ABRAND numeric
@attribute AZEILPL numeric
@attribute ABYSTAND numeric
@attribute CARAVAN {0,1}

@data
8,9,5,2,0,0,4,2,2,3,4,0,3,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,7,2,0,2,2,0,0,0,2,6,0,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,7,4,2,1,1,2,3,2,2,3,1,5,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1,2,1,1,1,2,1,1,5,2,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
37,6,5,1,0,1,2,5,1,5,3,1,3,3,1,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,5,3,2,1,1,3,3,2,2,3,2,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4,3,5,0,0,0,0,5,4,0,9,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,4,2,0,0,3,4,2,3,4,0,9,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,1,0,0,0,1,1,3,0,1,7,2,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
10,7,5,3,1,0,4,0,4,2,2,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,4,5,2,0,0,5,3,2,4,2,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,9,3,6,2,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,5,5,3,0,0,2,4,0,3,3,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1,6,1,1,0,4,3,0,5,4,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,3,2,1,0,3,3,2,1,3,2,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,7,2,0,2,4,2,1,5,2,0,2,7,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,7,4,3,0,0,5,1,3,3,2,1,0,2,0,7,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
32,7,4,2,2,0,3,2,2,0,4,0,2,5,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,8,3,0,0,0,4,3,1,3,6,0,3,5,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22,8,4,1,0,0,3,2,2,3,5,0,3,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,5,5,4,2,0,2,3,0,2,2,0,4,4,0,6,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0
36,7,2,1,0,1,3,4,1,2,6,1,5,5,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,9,2,2,0,0,2,4,2,0,6,0,9,9,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,0,3,0,0,0,6,3,4,2,2,2,7,4,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,2,4,2,0,0,2,4,1,2,5,1,7,3,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,9,4,4,0,0,1,1,4,0,5,1,1,4,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,7,7,2,0,0,7,0,3,4,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,5,2,1,1,1,2,2,1,2,5,1,4,5,0,4,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0
32,7,3,2,1,0,4,1,2,1,5,1,3,3,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
38,6,1,0,0,0,4,5,1,2,6,2,9,4,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,7,0,3,0,0,3,2,0,0,5,4,9,4,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34,7,2,0,2,0,2,2,0,4,5,0,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,5,5,0,0,2,1,2,5,2,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7,0,0,0,0,0,4,0,0,6,3,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7,4,0,0,0,6,0,4,0,5,0,2,4,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37,6,3,2,1,1,4,2,2,3,4,1,2,4,1,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
41,8,4,1,1,3,2,1,1,3,4,0,2,4,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
24,3,8,1,0,0,5,2,2,6,2,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,6,4,2,1,1,3,2,2,2,4,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,7,0,0,0,0,0,4,0,0,6,3,5,5,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,3,6,0,0,0,4,3,2,3,5,0,7,4,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
33,7,2,0,0,0,3,0,1,1,6,2,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8,1,4,0,2,2,0,1,3,3,0,0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,7,3,1,0,0,7,1,3,2,5,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,6,2,3,0,0,1,6,2,1,2,5,1,4,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,6,3,7,0,0,0,0,0,0,2,0,0,5,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,7,7,2,0,0,7,0,3,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,7,3,2,0,0,2,2,1,2,5,2,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,4,4,2,0,0,2,3,0,2,4,3,9,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,5,2,0,0,1,2,5,1,2,6,2,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7,5,2,0,0,5,2,1,5,4,0,4,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,6,4,4,0,0,3,0,4,0,5,0,5,0,0,6,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
33,6,3,0,0,0,3,4,1,1,6,3,9,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,4,3,2,0,0,3,2,2,2,5,1,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,6,0,2,0,3,4,1,5,2,0,6,0,0,3,0,0,0,0,0,0,6,0,8,0,0,1,0,0,0
11,9,4,5,1,0,2,1,1,2,2,1,0,2,1,6,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0
13,8,4,4,1,0,3,1,2,3,2,0,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,3,5,0,0,0,7,2,5,0,4,0,7,5,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,6,6,0,0,0,7,2,3,4,3,0,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,9,0,0,0,0,2,4,0,0,7,2,9,4,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0
38,7,2,1,0,0,6,2,2,1,6,1,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,5,2,0,0,4,2,1,1,7,2,8,5,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,6,3,3,0,0,5,1,2,3,2,0,0,4,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10,8,5,1,0,0,5,1,3,3,3,0,1,2,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8,5,3,0,0,0,6,0,6,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,7,0,0,0,7,2,5,0,4,0,9,4,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,7,0,0,0,0,0,4,0,0,5,4,9,4,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,5,3,0,0,2,0,5,0,0,7,2,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,7,3,2,0,0,2,2,1,2,5,2,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,7,3,0,0,0,9,0,3,1,5,1,7,3,0,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,4,0,0,0,0,9,0,5,0,4,0,5,9,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,4,7,0,0,0,0,0,4,1,0,0,2,0,8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,5,3,3,1,0,2,3,1,2,3,1,3,3,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,9,3,3,1,0,4,1,2,2,4,0,0,6,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,3,5,0,0,0,5,1,5,1,4,0,8,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,6,2,1,0,1,4,4,2,2,5,2,2,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,9,0,0,0,3,0,0,0,3,6,0,9,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,7,3,0,0,0,9,0,0,6,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,7,3,3,0,2,3,2,0,2,4,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,5,1,0,1,4,3,3,4,2,1,2,3,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,7,4,4,0,1,3,2,2,2,3,0,4,2,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
33,9,4,0,0,0,3,4,3,6,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,0,3,0,0,3,2,0,0,5,4,9,4,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,7,3,3,0,0,2,3,0,2,4,1,2,4,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23,4,4,2,0,0,2,4,3,2,3,3,8,4,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,5,3,0,0,3,3,4,3,3,4,0,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,7,0,2,2,3,2,2,1,4,3,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,0,0,0,0,3,6,2,0,7,0,0,3,0,8,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0
17,5,4,2,1,1,3,4,1,2,4,1,4,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,5,3,0,0,2,0,5,3,0,6,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,2,4,2,0,0,2,4,1,2,5,1,7,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,9,6,2,5,0,2,0,2,4,0,0,9,0,0,6,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11,6,6,2,0,0,5,1,3,4,1,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
41,7,2,0,0,3,0,3,0,2,3,4,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,6,1,0,0,6,2,5,1,3,1,5,4,0,3,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0
38,7,4,1,0,0,1,5,1,0,4,0,7,1,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,6,2,0,0,7,2,0,0,4,2,4,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,4,2,1,0,3,0,1,0,7,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,1,3,3,0,0,4,0,3,3,3,1,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8,2,1,0,4,1,5,2,3,4,1,1,3,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,8,1,2,0,0,2,3,0,1,2,6,9,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,4,2,1,0,1,3,3,1,2,5,2,5,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,6,3,0,0,0,3,4,1,1,6,2,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,5,1,0,1,4,3,1,4,5,0,9,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,6,4,3,1,0,5,1,2,3,2,1,1,3,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,8,3,0,0,0,4,3,1,3,6,0,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,6,3,1,1,1,3,2,2,3,4,1,5,4,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,5,3,4,0,0,2,4,2,0,0,4,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,7,3,3,0,0,3,0,0,5,4,0,0,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,7,3,4,0,0,1,2,0,2,4,1,3,5,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,3,1,0,0,0,0,4,0,0,6,3,9,3,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0
31,3,2,0,0,0,0,4,0,0,6,3,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,3,0,0,0,9,0,0,6,0,0,0,3,2,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,8,3,6,0,0,1,3,1,1,1,3,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
8,7,4,3,0,0,2,2,2,1,5,0,5,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,7,2,0,0,0,3,4,1,1,6,3,8,6,0,4,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0
8,7,5,2,1,0,4,2,3,4,1,1,2,2,1,7,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8,9,5,0,0,0,9,0,4,0,5,0,0,9,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,6,4,3,0,0,5,2,1,3,4,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
34,5,3,1,0,5,1,2,2,4,3,2,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,5,2,0,0,4,1,3,1,5,1,8,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,4,5,2,0,0,3,3,3,3,3,0,8,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,7,4,0,0,4,1,4,0,1,5,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9,4,2,0,0,5,1,1,3,4,1,2,2,3,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,6,2,1,0,2,2,5,2,2,5,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,7,2,0,0,3,0,3,0,2,3,4,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,5,3,0,0,6,0,3,3,3,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,0,0,0,0,0,3,0,0,9,0,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,5,5,2,0,0,5,3,4,3,2,0,4,4,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,7,5,2,0,0,3,4,4,3,2,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6,2,4,0,2,2,3,2,6,2,0,2,0,0,4,2,0,3,0,0,0,2,0,0,0,0,1,0,1,0
41,5,3,1,1,2,2,1,2,3,4,1,3,4,1,4,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0
8,5,3,0,0,0,6,0,6,0,3,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23,0,5,2,0,0,4,2,2,2,4,2,9,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,9,3,0,0,0,2,2,2,2,6,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,5,3,0,0,2,0,5,0,0,7,2,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,9,0,0,0,0,3,0,3,6,0,9,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,5,9,4,2,0,2,1,4,0,5,0,0,2,1,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,9,5,2,0,0,7,0,3,2,4,0,3,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,9,4,0,2,0,0,0,0,0,7,0,7,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,5,2,0,0,4,2,3,0,3,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,2,7,1,0,2,0,1,2,0,0,0,3,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,3,3,3,1,1,2,3,1,3,3,2,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,5,5,2,0,1,4,3,3,2,3,0,2,2,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,7,1,1,0,0,3,0,1,1,8,0,3,7,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,8,5,2,0,0,3,3,1,5,4,0,8,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,7,5,4,0,0,3,0,2,3,3,0,1,5,0,8,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
31,5,1,1,0,0,1,8,0,1,5,3,8,2,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,9,4,0,0,0,3,3,0,5,4,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,4,4,0,0,4,0,2,2,2,0,1,5,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,5,3,1,0,1,1,7,1,3,5,1,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5,4,3,1,1,3,2,2,2,4,1,4,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,5,4,1,1,0,3,4,1,3,3,2,7,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,7,6,0,0,0,9,0,0,6,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
31,6,3,1,0,0,3,4,2,2,4,3,6,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,6,4,1,1,0,3,4,2,2,5,1,5,4,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,7,1,1,0,0,3,0,1,1,8,0,3,7,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,7,7,0,0,0,7,2,3,5,2,0,9,5,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,3,3,0,1,2,1,2,1,3,2,2,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,6,1,2,0,0,3,2,1,5,2,0,3,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,7,0,0,0,0,2,4,0,0,7,2,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,0,0,0,0,0,4,0,0,7,2,9,4,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,5,4,2,2,0,2,1,2,0,4,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,5,9,0,0,0,0,4,5,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,7,1,1,0,0,3,0,1,1,8,0,3,7,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,7,4,1,1,0,3,3,2,0,6,0,2,6,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,7,5,3,1,1,4,2,2,3,2,1,6,3,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,7,5,2,1,0,5,1,3,3,2,1,1,2,1,7,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
22,1,6,1,0,0,6,3,4,3,3,0,9,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,9,2,1,0,0,3,3,1,3,6,1,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,5,1,0,0,5,1,3,3,3,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,1,1,0,0,3,5,1,2,5,2,7,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,7,2,1,0,3,2,3,2,3,4,1,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,6,2,1,0,0,4,1,1,2,6,1,8,5,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,7,0,0,0,0,0,4,0,0,5,4,9,4,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,5,6,1,0,0,5,1,4,1,4,1,8,4,0,6,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
34,9,4,2,0,0,5,1,1,3,4,1,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,3,2,1,1,3,1,2,3,3,1,3,3,1,7,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
41,6,2,1,0,1,4,4,2,2,5,2,2,4,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,5,3,1,0,5,1,2,2,4,3,2,5,5,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
36,6,5,2,0,0,4,0,2,0,5,0,4,3,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,5,4,2,1,1,4,3,2,1,4,2,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
