@relation crx

@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
t,negative
f,negative
t,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
t,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
t,negative
f,negative
f,negative
t,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
t,negative
t,negative
f,negative
t,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
